RA_CODE_2021,M_15_19_CF_Own_CCO,M_15_19_CF_Oth_CCO,M_15_19_CF_Own_CC_Oth_CC,M_15_19_CF_Total,M_15_19_DNPCC,M_15_19_UCC_NS,M_15_19_Total,M_20_24_CF_Own_CCO,M_20_24_CF_Oth_CCO,M_20_24_CF_Own_CC_Oth_CC,M_20_24_CF_Total,M_20_24_DNPCC,M_20_24_UCC_NS,M_20_24_Total,M_25_34_CF_Own_CCO,M_25_34_CF_Oth_CCO,M_25_34_CF_Own_CC_Oth_CC,M_25_34_CF_Total,M_25_34_DNPCC,M_25_34_UCC_NS,M_25_34_Total,M_35_44_CF_Own_CCO,M_35_44_CF_Oth_CCO,M_35_44_CF_Own_CC_Oth_CC,M_35_44_CF_Total,M_35_44_DNPCC,M_35_44_UCC_NS,M_35_44_Total,M_45_54_CF_Own_CCO,M_45_54_CF_Oth_CCO,M_45_54_CF_Own_CC_Oth_CC,M_45_54_CF_Total,M_45_54_DNPCC,M_45_54_UCC_NS,M_45_54_Total,M_55_64_CF_Own_CCO,M_55_64_CF_Oth_CCO,M_55_64_CF_Own_CC_Oth_CC,M_55_64_CF_Total,M_55_64_DNPCC,M_55_64_UCC_NS,M_55_64_Total,M_65_74_CF_Own_CCO,M_65_74_CF_Oth_CCO,M_65_74_CF_Own_CC_Oth_CC,M_65_74_CF_Total,M_65_74_DNPCC,M_65_74_UCC_NS,M_65_74_Total,M_75_84_CF_Own_CCO,M_75_84_CF_Oth_CCO,M_75_84_CF_Own_CC_Oth_CC,M_75_84_CF_Total,M_75_84_DNPCC,M_75_84_UCC_NS,M_75_84_Total,M_85ov_CF_Own_CCO,M_85ov_CF_Oth_CCO,M_85ov_CF_Own_CC_Oth_CC,M_85ov_CF_Total,M_85ov_DNPCC,M_85ov_UCC_NS,M_85ov_Total,M_Tot_CF_Own_CCO,M_Tot_CF_Oth_CCO,M_Tot_CF_Own_CC_Oth_CC,M_Tot_CF_Total,M_Tot_DNPCC,M_Tot_UCC_NS,M_Tot_Total,F_15_19_CF_Own_CCO,F_15_19_CF_Oth_CCO,F_15_19_CF_Own_CC_Oth_CC,F_15_19_CF_Total,F_15_19_DNPCC,F_15_19_UCC_NS,F_15_19_Total,F_20_24_CF_Own_CCO,F_20_24_CF_Oth_CCO,F_20_24_CF_Own_CC_Oth_CC,F_20_24_CF_Total,F_20_24_DNPCC,F_20_24_UCC_NS,F_20_24_Total,F_25_34_CF_Own_CCO,F_25_34_CF_Oth_CCO,F_25_34_CF_Own_CC_Oth_CC,F_25_34_CF_Total,F_25_34_DNPCC,F_25_34_UCC_NS,F_25_34_Total,F_35_44_CF_Own_CCO,F_35_44_CF_Oth_CCO,F_35_44_CF_Own_CC_Oth_CC,F_35_44_CF_Total,F_35_44_DNPCC,F_35_44_UCC_NS,F_35_44_Total,F_45_54_CF_Own_CCO,F_45_54_CF_Oth_CCO,F_45_54_CF_Own_CC_Oth_CC,F_45_54_CF_Total,F_45_54_DNPCC,F_45_54_UCC_NS,F_45_54_Total,F_55_64_CF_Own_CCO,F_55_64_CF_Oth_CCO,F_55_64_CF_Own_CC_Oth_CC,F_55_64_CF_Total,F_55_64_DNPCC,F_55_64_UCC_NS,F_55_64_Total,F_65_74_CF_Own_CCO,F_65_74_CF_Oth_CCO,F_65_74_CF_Own_CC_Oth_CC,F_65_74_CF_Total,F_65_74_DNPCC,F_65_74_UCC_NS,F_65_74_Total,F_75_84_CF_Own_CCO,F_75_84_CF_Oth_CCO,F_75_84_CF_Own_CC_Oth_CC,F_75_84_CF_Total,F_75_84_DNPCC,F_75_84_UCC_NS,F_75_84_Total,F_85ov_CF_Own_CCO,F_85ov_CF_Oth_CCO,F_85ov_CF_Own_CC_Oth_CC,F_85ov_CF_Total,F_85ov_DNPCC,F_85ov_UCC_NS,F_85ov_Total,F_Tot_CF_Own_CCO,F_Tot_CF_Oth_CCO,F_Tot_CF_Own_CC_Oth_CC,F_Tot_CF_Total,F_Tot_DNPCC,F_Tot_UCC_NS,F_Tot_Total,P_15_19_CF_Own_CCO,P_15_19_CF_Oth_CCO,P_15_19_CF_Own_CC_Oth_CC,P_15_19_CF_Total,P_15_19_DNPCC,P_15_19_UCC_NS,P_15_19_Total,P_20_24_CF_Own_CCO,P_20_24_CF_Oth_CCO,P_20_24_CF_Own_CC_Oth_CC,P_20_24_CF_Total,P_20_24_DNPCC,P_20_24_UCC_NS,P_20_24_Total,P_25_34_CF_Own_CCO,P_25_34_CF_Oth_CCO,P_25_34_CF_Own_CC_Oth_CC,P_25_34_CF_Total,P_25_34_DNPCC,P_25_34_UCC_NS,P_25_34_Total,P_35_44_CF_Own_CCO,P_35_44_CF_Oth_CCO,P_35_44_CF_Own_CC_Oth_CC,P_35_44_CF_Total,P_35_44_DNPCC,P_35_44_UCC_NS,P_35_44_Total,P_45_54_CF_Own_CCO,P_45_54_CF_Oth_CCO,P_45_54_CF_Own_CC_Oth_CC,P_45_54_CF_Total,P_45_54_DNPCC,P_45_54_UCC_NS,P_45_54_Total,P_55_64_CF_Own_CCO,P_55_64_CF_Oth_CCO,P_55_64_CF_Own_CC_Oth_CC,P_55_64_CF_Total,P_55_64_DNPCC,P_55_64_UCC_NS,P_55_64_Total,P_65_74_CF_Own_CCO,P_65_74_CF_Oth_CCO,P_65_74_CF_Own_CC_Oth_CC,P_65_74_CF_Total,P_65_74_DNPCC,P_65_74_UCC_NS,P_65_74_Total,P_75_84_CF_Own_CCO,P_75_84_CF_Oth_CCO,P_75_84_CF_Own_CC_Oth_CC,P_75_84_CF_Total,P_75_84_DNPCC,P_75_84_UCC_NS,P_75_84_Total,P_85ov_CF_Own_CCO,P_85ov_CF_Oth_CCO,P_85ov_CF_Own_CC_Oth_CC,P_85ov_CF_Total
RA23,0,0,0,0,60,7,72,4,3,0,3,40,4,53,35,5,0,41,79,13,131,83,0,0,84,66,18,172,35,5,0,42,115,10,167,10,18,0,28,284,26,339,0,15,0,17,273,32,324,0,0,0,0,141,11,159,0,0,0,0,48,14,63,171,48,0,225,1121,137,1477,0,0,0,0,44,5,54,6,0,0,8,30,4,37,58,3,3,63,58,5,125,102,4,6,119,33,17,170,22,9,0,32,116,16,166,12,36,0,46,248,22,320,0,35,0,35,192,18,239,0,0,0,0,143,15,158,0,0,0,0,58,12,71,195,94,10,297,925,115,1340,0,4,0,4,106,12,122,3,4,0,13,73,7,89,89,6,5,101,137,16,258,189,4,11,202,104,35,342,61,16,0,72,231,27,335,18,56,0,75,535,48,657,0,54,0,54,469,47,566,0,0,0,0,282,34,311,0,0,0,0
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,9,16,0,0,0,0,0,3,3,0,0,0,0,3,7,10,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,24,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,9,16,0,0,0,0,0,3,3,0,0,0,0,6,9,14,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
RA29,0,8,0,10,133,94,234,12,7,0,20,199,128,345,99,15,7,118,433,385,939,132,16,4,158,324,523,1008,64,11,0,77,374,463,912,11,12,0,23,327,294,644,0,26,0,27,231,135,392,0,0,0,0,61,29,90,0,0,0,0,4,11,15,319,104,16,432,2082,2059,4576,3,14,0,19,125,84,229,28,17,5,46,187,91,321,157,34,10,202,372,306,878,135,25,3,166,219,345,730,52,18,0,74,227,181,479,6,45,0,51,262,117,429,0,23,0,24,128,62,224,0,3,0,3,42,7,58,0,0,0,0,12,10,19,376,181,25,583,1582,1205,3373,9,28,0,33,251,174,459,38,25,5,63,389,216,671,252,49,16,315,806,691,1819,261,43,12,321,545,870,1736,115,31,9,152,600,644,1393,15,58,0,74,591,403,1074,3,48,0,49,364,196,613,0,10,0,10,107,40,152,0,0,0,0
RA30,355,4131,26,4511,94377,5363,104246,3232,3002,104,6336,97832,7374,111539,50976,4754,1220,56948,160814,17452,235209,117216,3828,2651,123701,89838,14113,227650,72206,5061,1415,78687,121297,11770,211755,12306,11681,227,24213,143134,8773,176122,2065,16241,95,18399,114056,6967,139422,326,3898,24,4247,67513,5049,76805,21,165,3,181,20609,2893,23683,258698,52760,5760,317220,909469,79750,1306440,602,7199,61,7862,87184,5102,100150,6707,5562,370,12631,93079,6687,112406,80275,8557,3266,92098,139798,15017,246916,145437,6258,5536,157233,72240,11855,241334,70409,12048,2256,84709,130630,9577,224915,5470,30827,383,36680,146742,7779,191204,1308,28249,199,29755,118683,6955,155397,306,4740,39,5084,76901,6519,88507,49,241,7,296,32219,5870,38383,310555,103680,12116,426350,897476,75372,1399201,958,11332,84,12367,181560,10466,204395,9935,8568,470,18970,190909,14060,223940,131252,13314,4481,149053,300612,32469,482124,262656,10087,8186,280927,162079,25971,468983,142610,17114,3670,163394,251929,21347,436674,17772,42508,615,60895,289882,16548,367325,3375,44485,301,48157,232735,13927,294820,628,8641,63,9328,144412,11569,165311,73,402,8,482
RA31,164,1386,17,1565,26900,2572,31037,1479,811,49,2338,21137,2633,26108,15962,1371,559,17898,30243,6375,54517,27293,1164,960,29416,20230,5891,55532,16007,2028,476,18512,37668,5751,61935,2985,4672,108,7760,54050,5084,66894,567,4713,32,5309,52200,3975,61475,100,975,5,1081,29547,2612,33236,11,54,0,64,7839,1154,9055,64573,17164,2206,83941,279809,36042,399798,316,2444,28,2790,24111,2098,29000,3115,1644,170,4927,18107,1889,24933,24809,2260,1615,28681,23289,4100,56068,34919,1849,2005,38775,16389,3854,59020,15775,5144,764,21682,39876,4003,65562,1391,11650,121,13161,53810,3917,70886,345,7800,42,8181,50539,3622,62347,97,1267,8,1374,30532,3068,34973,23,71,0,97,11350,1873,13324,80776,34134,4757,119663,268010,28433,416111,477,3830,47,4354,51013,4670,60040,4593,2454,217,7265,39248,4529,51039,40771,3631,2168,46575,53540,10481,110592,62213,3015,2964,68194,36616,9737,114549,31783,7169,1245,40195,77543,9753,127493,4376,16320,229,20923,107860,8997,137784,910,12510,75,13488,102735,7600,123830,192,2241,12,2451,60075,5682,68209,30,128,0,160
RA32,95,889,9,993,17906,2436,21332,903,542,34,1479,16012,3260,20756,10532,1022,363,11926,25016,6839,43772,19081,864,693,20642,15864,5813,42321,11596,1424,373,13393,26874,5537,45799,2421,2943,71,5438,35914,4794,46147,455,2903,11,3367,30430,3449,37249,78,671,0,750,15414,1875,18042,9,33,0,41,3955,664,4663,45175,11280,1569,58031,187388,34671,280083,218,1571,28,1808,16326,2148,20283,1915,1143,114,3177,13771,2100,19055,16701,1721,984,19406,19925,4867,44196,24515,1451,1397,27368,13216,4022,44603,10979,3296,512,14797,27630,3930,46347,980,7220,80,8275,33625,3433,45335,210,4801,25,5036,26872,2694,34606,64,827,8,895,15240,1843,17979,9,57,0,62,5518,1014,6600,55589,22090,3153,80833,172122,26052,278997,311,2460,34,2806,34234,4579,41613,2820,1687,155,4660,29782,5365,39805,27232,2743,1349,31329,44938,11708,87970,43601,2317,2093,48009,29080,9833,86925,22576,4718,892,28188,54500,9460,92148,3398,10167,149,13714,69542,8225,91486,664,7702,38,8402,57309,6144,71853,142,1502,13,1649,30656,3716,36024,20,84,5,102
RA33,17,96,0,117,1561,318,1997,116,69,4,190,1624,407,2225,1365,127,40,1529,2835,1002,5363,1897,109,60,2065,1717,741,4527,979,155,18,1161,2922,823,4905,226,283,7,518,3961,754,5234,33,204,0,240,3001,475,3714,0,36,0,40,1418,222,1678,0,3,0,3,280,75,358,4634,1099,139,5871,19308,4827,30007,44,148,3,197,1299,251,1747,292,128,13,434,1412,281,2126,2047,204,143,2396,2168,631,5195,2187,190,140,2513,1303,517,4322,864,355,52,1268,2573,502,4345,84,701,8,798,3018,524,4346,24,324,0,350,2265,342,2952,13,61,0,72,1129,219,1414,0,8,0,11,368,77,459,5551,2124,363,8040,15534,3343,26915,66,249,4,313,2864,569,3749,408,198,16,626,3035,690,4358,3408,326,186,3923,4998,1632,10558,4080,297,198,4577,3016,1259,8851,1841,513,74,2429,5499,1327,9252,309,986,18,1317,6974,1283,9574,60,527,0,594,5262,813,6674,16,101,0,110,2547,443,3097,0,14,0,15
RA34,25,96,3,127,1267,237,1630,159,94,4,254,1267,285,1811,1009,140,49,1196,2028,643,3865,1214,122,49,1389,1237,480,3115,592,190,34,818,2025,516,3362,132,222,14,366,2572,528,3464,28,136,0,167,1822,293,2277,8,21,0,28,816,169,1016,0,0,0,0,191,40,231,3169,1029,156,4352,13228,3193,20769,49,167,6,226,1060,231,1517,331,171,24,524,1077,243,1838,1487,263,124,1878,1565,470,3915,1487,239,120,1847,1035,373,3253,550,334,56,937,1887,408,3229,87,459,14,554,2227,413,3192,18,208,7,233,1444,209,1885,3,30,0,37,738,126,893,0,4,0,4,284,50,333,4011,1874,351,6243,11310,2518,20069,74,264,7,353,2324,471,3147,487,265,28,780,2344,527,3652,2501,406,172,3073,3589,1114,7783,2702,365,174,3239,2272,854,6369,1140,527,90,1756,3911,920,6589,217,675,26,922,4796,939,6658,49,342,4,400,3264,501,4165,16,46,0,61,1554,296,1912,0,5,0,5
RA35,0,0,0,0,0,0,0,0,0,0,0,4,9,4,0,0,0,0,11,30,37,0,0,0,0,14,45,55,0,0,0,0,15,31,42,0,0,0,0,0,3,3,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,108,149,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,3,13,13,0,0,0,0,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,24,28,0,0,0,0,0,0,0,0,0,0,0,3,14,16,0,0,0,0,13,34,49,0,0,0,0,12,52,64,0,0,0,0,15,32,45,0,0,0,0,0,8,5,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0
RA39,0,10,0,11,187,72,272,23,10,0,41,253,151,444,163,37,3,209,688,407,1301,253,31,13,291,447,462,1194,94,18,6,113,529,395,1042,16,35,0,52,934,306,1297,5,43,0,50,997,216,1253,0,9,0,9,222,50,283,0,0,0,0,15,8,23,559,193,26,775,4266,2065,7108,4,23,0,21,207,60,291,45,28,0,75,284,123,493,225,37,14,279,701,365,1345,283,11,20,310,307,264,885,97,50,9,153,519,220,887,4,91,0,97,884,188,1170,0,67,0,65,687,113,870,0,0,0,5,140,22,160,0,0,0,0,16,5,25,660,306,43,1013,3745,1372,6127,4,31,0,36,396,129,566,74,37,3,115,538,279,934,391,76,16,486,1389,772,2649,529,36,30,599,748,728,2077,192,65,12,271,1046,619,1929,21,130,0,147,1815,499,2468,5,110,0,118,1679,328,2124,0,13,0,16,363,69,444,0,0,0,0
RA40,114,1564,14,1691,35507,1623,38823,817,1324,26,2167,41145,2074,45388,18980,2125,455,21562,68132,4884,94580,45380,1529,1258,48170,36093,4182,88452,27229,1881,736,29845,49624,3566,83040,4936,5943,119,11001,63751,3011,77760,846,10381,43,11265,49818,2439,63520,155,2675,9,2839,30953,1756,35551,9,144,0,157,12244,1037,13441,98478,27556,2655,128690,387279,24577,540543,178,2588,17,2787,32441,1463,36691,1924,2406,106,4438,37218,1748,43410,30125,3604,1388,35122,55893,4004,95017,55022,2512,2671,60209,27678,3249,91148,25384,4675,1010,31069,51685,2801,85549,2296,15833,184,18316,62912,2579,83803,612,17017,85,17719,51924,2599,72241,149,3005,22,3173,38103,2469,43752,23,167,0,189,20108,1869,22172,115719,51807,5494,173022,377961,22787,573770,293,4157,27,4478,67940,3087,75510,2745,3725,132,6604,78367,3822,88794,49106,5731,1846,56679,124028,8883,189595,100405,4043,3930,108376,63778,7438,179592,52613,6555,1747,60915,101311,6364,168590,7234,21775,306,29317,126665,5588,161563,1459,27400,130,28988,101747,5034,135765,308,5679,23,6013,69061,4232,79299,35,304,5,343
RA41,22,221,0,247,4282,389,4923,136,143,4,277,3555,310,4145,2468,220,86,2771,4631,673,8073,4771,183,188,5143,3149,701,8992,3269,375,91,3735,6725,747,11210,640,1133,14,1785,10588,767,13132,119,1426,6,1554,10471,700,12720,21,301,0,321,6316,462,7104,0,11,0,14,1801,185,1998,11444,4015,388,15847,51520,4938,72302,40,411,3,454,3971,373,4796,285,275,13,573,3040,193,3800,3667,356,242,4262,3465,432,8164,5930,314,373,6613,2381,413,9408,2972,842,142,3961,7059,629,11646,245,2648,21,2922,10079,637,13633,66,2243,16,2321,10048,657,13027,20,308,3,330,6378,479,7190,6,14,0,22,2527,273,2813,13226,7408,812,21450,48951,4080,74478,62,633,3,695,8254,763,9716,419,410,19,851,6590,506,7952,6132,582,323,7035,8096,1111,16241,10700,496,558,11753,5537,1110,18405,6241,1218,236,7694,13786,1373,22857,884,3782,37,4707,20662,1398,26765,181,3672,21,3875,20522,1361,25754,44,608,4,654,12695,943,14290,4,29,0,32
RA42,38,254,6,297,4895,566,5756,240,175,3,418,4206,508,5138,3217,300,94,3608,6302,1290,11199,5158,205,197,5563,3917,1268,10741,2930,399,83,3412,8085,1198,12695,554,1235,21,1805,12201,1152,15160,119,1195,5,1319,11734,1019,14075,17,190,0,207,6415,689,7314,6,8,0,11,1955,261,2229,12279,3959,408,16643,59715,7954,84306,51,455,6,504,4118,459,5085,544,348,25,914,3238,307,4463,4769,469,311,5541,4411,724,10675,6247,368,409,7020,2990,738,10754,2591,1096,108,3798,8050,809,12654,232,2819,20,3070,10793,890,14754,71,1710,9,1788,10636,889,13313,24,264,0,289,6993,775,8055,0,15,0,13,2917,425,3364,14523,7540,884,22953,54154,6014,83115,86,707,4,802,9015,1021,10840,782,518,29,1332,7451,816,9595,7982,769,407,9154,10704,2008,21873,11405,565,610,12580,6906,2006,21495,5517,1502,187,7207,16142,2002,25351,789,4047,38,4877,22993,2046,29912,191,2909,15,3115,22371,1914,27394,40,457,0,494,13411,1463,15370,3,28,0,28
RA43,3,51,0,55,964,127,1145,37,37,0,78,814,94,979,783,61,19,865,1402,258,2534,1347,50,53,1450,835,288,2580,750,89,18,856,1671,323,2845,136,262,3,399,2638,297,3332,29,259,0,287,2376,221,2881,4,52,0,64,1316,144,1523,0,4,0,4,389,51,445,3087,868,100,4055,12415,1804,18264,7,80,4,81,817,101,1002,104,73,5,180,640,72,895,1120,109,74,1303,1016,176,2490,1480,62,116,1666,622,168,2449,598,231,36,858,1627,214,2699,52,579,8,645,2282,197,3119,16,380,3,401,2091,198,2686,3,53,0,55,1247,132,1429,0,7,0,7,529,90,622,3376,1566,247,5189,10866,1347,17398,8,134,4,144,1779,228,2149,145,106,5,250,1452,163,1874,1900,172,95,2171,2420,436,5027,2831,116,168,3118,1457,457,5028,1347,318,56,1713,3291,542,5550,190,835,14,1036,4923,496,6454,46,637,6,681,4470,412,5567,10,109,0,115,2563,280,2957,0,7,0,7
RA44,0,61,5,70,265,69,403,21,48,6,79,257,61,393,240,76,32,350,470,143,966,343,51,22,423,298,105,817,171,75,15,259,541,140,936,33,94,0,123,817,119,1053,7,73,3,86,662,97,841,6,8,0,13,325,56,398,0,3,0,6,75,24,106,819,496,89,1403,3699,818,5914,3,66,8,78,204,78,357,52,61,14,131,189,40,354,353,95,56,507,337,126,972,345,72,58,478,223,84,783,143,146,14,305,480,101,881,18,175,0,200,582,100,874,6,109,0,112,478,78,669,0,19,0,20,227,30,277,0,0,0,0,96,29,120,929,746,158,1831,2809,654,5292,9,128,7,151,467,146,758,78,112,19,206,448,100,750,593,170,94,861,807,273,1938,687,125,84,903,518,185,1601,311,218,31,559,1017,238,1819,45,271,0,325,1395,215,1932,11,176,6,196,1135,178,1511,3,28,0,34,551,93,678,0,4,0,5
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA49,0,0,0,0,54,14,74,7,0,0,10,71,24,108,45,4,0,53,180,93,320,55,6,4,64,129,94,289,29,6,5,34,170,94,299,4,13,0,19,192,97,311,0,3,0,3,165,46,214,0,0,0,0,31,5,40,0,0,0,0,6,0,7,144,45,11,198,1006,471,1668,7,10,0,19,78,17,112,7,6,0,10,68,16,95,67,12,3,87,147,72,305,64,8,5,72,85,82,245,25,10,0,34,95,43,178,3,22,0,29,144,27,197,0,10,0,10,110,17,141,0,5,0,6,23,4,26,0,0,0,0,10,0,10,177,83,9,263,759,288,1306,7,16,0,21,134,35,186,12,7,0,23,147,40,206,112,23,4,139,321,166,627,119,9,9,143,214,176,534,54,19,5,76,265,138,478,9,33,0,46,339,129,513,0,18,0,18,276,60,359,0,7,0,3,51,11,64,0,0,0,0
RA50,200,2933,22,3150,56254,2775,62185,1400,2066,45,3510,58408,4170,66092,30818,3487,822,35121,100321,11673,147123,74937,2646,2134,79722,59465,10526,149710,44632,3136,1161,48933,75915,8494,133337,8042,8916,216,17174,91281,6392,114846,1405,13913,59,15381,69699,4088,89170,253,3579,22,3855,40442,3115,47410,36,186,0,219,13522,1927,15662,161717,40863,4486,207064,565308,53163,825535,311,4754,48,5121,51552,2677,59342,3444,4043,201,7691,53565,3340,64600,52143,6546,2587,61279,83592,8408,153281,91683,4720,5222,101621,45019,6746,153391,42199,8402,1911,52518,78755,5397,136666,3554,24915,291,28760,87934,4508,121194,976,23985,140,25101,68747,4156,98001,228,4329,30,4584,45789,4036,54408,35,248,0,284,21154,3462,24896,194569,81956,10431,286951,536105,42738,865795,509,7687,74,8272,107805,5455,121530,4841,6110,249,11203,111975,7519,130689,82959,10034,3412,96403,183913,20084,300403,166621,7361,7359,181343,104489,17274,303100,86837,11540,3072,101447,154669,13888,270009,11593,33837,504,45932,179216,10892,236044,2377,37906,193,40483,138445,8248,187175,483,7906,54,8443,86234,7150,101828,69,435,0,503
RA51,28,311,3,344,6066,565,6974,247,168,8,430,4496,782,5707,3374,305,114,3801,6649,2154,12603,7024,277,302,7595,4709,2160,14470,4486,452,147,5090,8881,1948,15915,796,1237,23,2052,12327,1449,15831,127,1396,11,1533,11395,1010,13931,19,249,0,279,5917,560,6760,4,12,0,13,1535,259,1810,16115,4418,607,21137,61981,10881,93996,33,558,0,596,5477,490,6562,503,314,31,845,3591,378,4817,5456,517,397,6373,5040,840,12248,8980,492,713,10193,3825,862,14876,4318,1203,240,5758,9445,926,16134,310,3254,31,3597,11882,884,16363,86,2271,13,2367,10577,821,13762,29,304,3,334,6011,628,6973,3,21,0,27,2278,369,2676,19731,8934,1428,30091,58120,6194,94409,59,873,6,940,11544,1049,13537,752,483,38,1278,8089,1161,10528,8836,817,515,10165,11690,2993,24852,16006,767,1014,17795,8530,3025,29343,8807,1655,383,10847,18327,2873,32047,1107,4491,55,5650,24209,2341,32193,215,3669,23,3899,21975,1827,27697,53,553,4,612,11929,1188,13733,6,33,5,45
RA52,13,247,3,264,4617,595,5476,215,146,8,375,3676,543,4600,2974,252,88,3316,5725,1445,10485,5008,210,184,5404,3918,1441,10765,3012,328,95,3440,7303,1424,12168,656,833,22,1502,10530,1288,13319,103,855,0,960,9267,1022,11243,26,156,0,178,4893,609,5682,3,8,0,9,1431,237,1681,12004,3032,410,15452,51362,8611,75423,39,459,10,510,4013,532,5050,545,287,33,869,2875,432,4175,4378,422,336,5140,4133,970,10247,6316,401,474,7187,2915,1047,11148,2726,951,151,3827,7349,1036,12213,284,2101,34,2420,9589,1008,13017,58,1429,7,1502,8290,893,10676,22,214,0,238,4863,628,5725,0,14,0,14,1903,356,2272,14369,6282,1048,21698,45932,6893,74522,58,709,9,773,8635,1128,10528,762,436,42,1238,6556,975,8776,7352,674,432,8457,9861,2414,20730,11322,608,657,12588,6828,2491,21911,5740,1282,241,7263,14648,2467,24378,937,2933,52,3927,20115,2303,26343,163,2286,18,2457,17554,1909,21921,46,370,0,421,9759,1234,11411,4,24,0,30
RA53,23,111,0,135,1832,395,2359,114,81,9,207,1632,431,2271,1665,167,49,1885,3451,1181,6525,3183,136,104,3427,2448,1163,7038,1462,155,48,1667,3611,1062,6343,222,358,8,586,4271,898,5758,26,221,0,250,2665,470,3385,9,45,0,55,1147,204,1405,0,0,0,3,306,58,368,6716,1280,217,8212,21373,5866,35449,23,213,4,233,1464,349,2048,216,142,15,375,1312,320,2004,2512,272,196,2977,2903,1004,6881,3444,223,295,3964,1800,903,6663,1177,394,70,1638,3186,750,5574,90,763,6,863,3316,573,4755,10,374,0,385,2104,353,2853,3,77,0,80,1044,188,1313,0,6,0,5,361,82,447,7470,2462,590,10526,17485,4519,32531,41,325,6,369,3289,742,4404,336,222,23,577,2947,751,4280,4174,442,244,4861,6351,2192,13402,6631,363,399,7388,4250,2065,13702,2637,545,124,3311,6795,1809,11917,311,1121,12,1449,7586,1474,10505,33,599,0,635,4774,825,6236,14,118,0,131,2198,390,2719,4,0,0,4
RA54,23,187,4,214,1024,321,1561,134,155,25,313,1256,559,2125,1181,222,118,1523,3065,1731,6320,1765,202,146,2111,2043,1497,5656,785,225,58,1067,2686,1288,5044,145,230,17,388,2801,950,4137,30,126,6,163,1546,375,2079,5,28,0,29,547,136,709,0,0,0,8,86,21,111,4073,1372,372,5810,15060,6874,27745,56,239,23,317,855,256,1425,276,197,55,524,950,355,1834,1489,292,241,2019,2108,892,5020,1640,267,241,2151,1213,703,4069,479,390,76,942,1905,591,3442,56,419,13,487,2018,514,3019,5,195,8,215,1067,223,1496,5,42,3,47,431,99,577,0,6,3,9,99,37,147,4006,2052,655,6714,10654,3676,21036,77,426,28,535,1881,582,2991,413,351,77,837,2206,915,3963,2675,511,357,3543,5173,2621,11339,3408,469,382,4259,3262,2201,9719,1264,616,134,2011,4596,1875,8486,203,649,27,876,4821,1459,7161,40,318,10,368,2612,594,3574,4,66,3,74,976,238,1286,3,12,3,15
RA55,0,0,0,0,3,7,7,0,0,0,0,9,13,25,10,0,0,13,48,44,99,18,0,0,22,67,68,157,4,0,0,4,50,45,103,0,3,0,4,27,20,55,0,0,0,0,9,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,3,3,45,211,197,455,0,0,0,0,0,0,3,0,0,0,0,5,5,11,0,0,0,0,10,3,14,0,0,0,0,9,3,11,0,0,0,0,5,8,9,0,0,0,0,5,0,3,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,35,19,61,0,0,0,0,5,3,6,0,0,0,0,15,15,31,11,0,0,14,56,46,116,18,0,0,22,75,76,170,9,0,0,9,56,47,109,0,3,0,4,35,21,62,0,0,0,0,12,3,18,0,0,0,0,0,0,0,0,0,0,0
