RA_CODE_2021,COB_Aus_Arth,COB_Aus_Asth,COB_Aus_Canc_rem,COB_Aus_Dem_Alzh,COB_Aus_Dia_ges_dia,COB_Aus_HD_HA_ang,COB_Aus_Kid_dis,COB_Aus_LC_COPD_emph,COB_Aus_MHC_dep_anx,COB_Aus_Stroke,COB_Aus_oth_LTHC,COB_Aus_no_LTHC,COB_AUS_LTHC_NS,COB_Aus_Tot,COB_Bo_Ocea_Ant_Arth,COB_Bo_Ocea_Ant_Asth,COB_Bo_Ocea_Ant_Can_rem,COB_Bo_Ocea_Ant_Dem_Alzh,COB_Bo_Ocea_Ant_Dia_ges_dia,COB_Bo_Ocea_Ant_HD_HA_ang,COB_Bo_Ocea_Ant_Kid_dis,COB_Bo_Ocea_Ant_LC_COPD_emph,COB_Bo_Ocea_Ant_MHC_dep_anx,COB_Bo_Ocea_Ant_Stroke,COB_Bo_Ocea_Ant_oth_LTHC,COB_Bo_Ocea_Ant_no_LTHC,COB_Bo_Ocea_Ant_LTHC_NS,COB_Bo_Ocea_Ant_Tot,COB_Bo_UK_CI_IM_Arth,COB_Bo_UK_CI_IM_Asth,COB_Bo_UK_CI_IM_Can_rem,COB_Bo_UK_CI_IM_Dem_Alzh,COB_Bo_UK_CI_IM_Dia_ges_dia,COB_Bo_UK_CI_IM_HD_HA_ang,COB_Bo_UK_CI_IM_Kid_dis,COB_Bo_UK_CI_IM_LC_COPD_emph,COB_Bo_UK_CI_IM_MHC_dep_anx,COB_Bo_UK_CI_IM_Stroke,COB_Bo_UK_CI_IM_oth_LTHC,COB_Bo_UK_CI_IM_no_LTHC,COB_Bo_UK_CI_IM_LTHC_NS,COB_Bo_UK_CI_IM_Tot,COB_Bo_NW_Eu_Arth,COB_Bo_NW_Eu_Asth,COB_Bo_NW_Eu_Can_rem,COB_Bo_NW_Eu_Dem_Alzh,COB_Bo_NW_Eu_Dia_ges_dia,COB_Bo_NW_Eu_HD_HA_ang,COB_Bo_NW_Eu_Kid_dis,COB_Bo_NW_Eu_LC_COPD_emph,COB_Bo_NW_Eu__MHC_Dep_anx,COB_Bo_NW_Eu_Stroke,COB_Bo_NW_Eu_oth_LTHC,COB_Bo_NW_Eu_no_LTHC,COB_Bo_NW_Eu_LTHC_NS,COB_Bo_NW_Eu_Tot,COB_Bo_SE_Eu_Asth,COB_Bo_SE_Eu_Arth,COB_Bo_SE_Eu_Can_rem,COB_Bo_SE_Eu_Dem_Alzh,COB_Bo_SE_Eu_Dia_ges_dia,COB_Bo_SE_Eu_HD_HA_ang,COB_Bo_SE_Eu_Kid_dis,COB_Bo_SE_Eu_LC_COPD_emph,COB_Bo_SE_Eu_MHC_Dep_anx,COB_Bo_SE_Eu_Stroke,COB_Bo_SE_Eu_oth_LTHC,COB_Bo_SE_Eu_no_LTHC,COB_Bo_SE_Eu_LTHC_NS,COB_Bo_SE_Eu_Tot,COB_Bo_NA_ME_Asth,COB_Bo_NA_ME_Arth,COB_Bo_NA_ME_Can_rem,COB_Bo_NA_ME_Dem_Alzh,COB_Bo_NA_ME_Dia_ges_dia,COB_Bo_NA_ME_HD_HA_ang,COB_Bo_NA_ME_Kid_dis,COB_Bo_NA_ME_LC_COPD_emph,COB_Bo_NA_ME_MHC_Dep_anx,COB_Bo_NA_ME_Stroke,COB_Bo_NA_ME_oth_LTHC,COB_Bo_NA_ME_no_LTHC,COB_Bo_NA_ME_LTHC_NS,COB_Bo_NA_ME_Tot,COB_Bo_SE_Asia_Arth,COB_Bo_SE_Asia_Asth,COB_Bo_SE_Asia_Can_rem,COB_Bo_SE_Asia_Dem_Alzh,COB_Bo_SE_Asia_Dia_ges_dia,COB_Bo_SE_Asia_HD_HA_ang,COB_Bo_SE_Asia_Kid_dis,COB_Bo_SE_Asia_LC_COPD_emph,COB_Bo_SE_Asia_MHC_Dep_anx,COB_Bo_SE_Asia_Stroke,COB_Bo_SE_Asia_oth_LTHC,COB_Bo_SE_Asia_no_LTHC,COB_Bo_SE_Asia_LTHC_NS,COB_Bo_SE_Asia_Tot,COB_Bo_NE_Asia_Arth,COB_Bo_NE_Asia_Asth,COB_Bo_NE_Asia_Can_rem,COB_Bo_NE_Asia_Dem_Alzh,COB_Bo_NE_Asia_Dia_ges_dia,COB_Bo_NE_Asia_HD_HA_ang,COB_Bo_NE_Asia_Kid_dis,COB_Bo_NE_Asia_LC_COPD_emph,COB_Bo_NE_Asia_MHC_Dep_anx,COB_Bo_NE_Asia_Stroke,COB_Bo_NE_Asia_oth_LTHC,COB_Bo_NE_Asia_no_LTHC,COB_Bo_NE_Asia_LTHC_NS,COB_Bo_NE_Asia_Tot,COB_Bo_SC_Asia_Arth,COB_Bo_SC_Asia_Asth,COB_Bo_SC_Asia_Can_rem,COB_Bo_SC_Asia_Dem_Alzh,COB_Bo_SC_Asia_Dia_ges_dia,COB_Bo_SC_Asia_HD_HA_ang,COB_Bo_SC_Asia_Kid_dis,COB_Bo_SC_Asia_LC_COPD_emph,COB_Bo_SC_Asia_MHC_Dep_anx,COB_Bo_SC_Asia_Stroke,COB_Bo_SC_Asia_oth_LTHC,COB_Bo_SC_Asia_no_LTHC,COB_Bo_SC_Asia_LTHC_NS,COB_Bo_SC_Asia_Tot,COB_Bo_Amer_Arth,COB_Bo_Amer_Asth,COB_Bo_Amer_Can_rem,COB_Bo_Amer_Dem_Alzh,COB_Bo_Amer_Dia_ges_dia,COB_Bo_Amer_HD_HA_ang,COB_Bo_Amer_Kid_dis,COB_Bo_Amer_LC_COPD_emph,COB_Bo_Amer_MHC_Dep_anx,COB_Bo_Amer_Stroke,COB_Bo_Amer_oth_LTHC,COB_Bo_Amer_no_LTHC,COB_Bo_Amer_LTHC_NS,COB_Bo_Amer_Tot,COB_Bo_SS_Afr_Arth,COB_Bo_SS_Afr_Asth,COB_Bo_SS_Afr_Can_rem,COB_Bo_SS_Afr_Dem_Alzh,COB_Bo_SS_Afr_Dia_ges_dia,COB_Bo_SS_Afr_HD_HA_ang,COB_Bo_SS_Afr_Kid_dis,COB_Bo_SS_Afr_LC_COPD_emph,COB_Bo_SS_Afr_MHC_Dep_anx,COB_Bo_SS_Afr_Stroke,COB_Bo_SS_Afr_oth_LTHC,COB_Bo_SS_Afr_no_LTHC,COB_Bo_SS_Afr_LTHC_NS,COB_Bo_SS_Afr_Tot,COB_Bo_Tot_ob_Arth,COB_Bo_Tot_ob_Asth,COB_Bo_Tot_ob_Can_rem,COB_Bo_Tot_ob_Dem_Alzh,COB_Bo_Tot_ob_Dia_ges_dia,COB_Bo_Tot_ob_HD_HA_ang,COB_Bo_Tot_ob_Kid_dis,COB_Bo_Tot_ob_LC_COPD_emph,COB_Bo_Tot_ob_MHC_Dep_anx,COB_Bo_Tot_ob_Stroke,COB_Bo_Tot_ob_oth_LTHC,COB_Bo_Tot_ob_no_LTHC,COB_Bo_Tot_ob_LTHC_NS,COB_Bo_Tot_ob_Tot,COB_COB_NS_Arth,COB_COB_NS_Asth,COB_COB_NS_Can_rem,COB_COB_NS_Dem_Alzh,COB_COB_NS_Dia_ges_dia,COB_COB_NS_HD_HA_ang,COB_COB_NS_Kid_dis,COB_COB_NS_LC_COPD_emph,COB_COB_NS__MHC_Dep_anx,COB_COB_NS_Stroke,COB_COB_NS_oth_LTHC,COB_COB_NS_no_LTHC,COB_COB_NS_LTHC_NS,COB_COB_NS_Tot,COB_Tot_Arth,COB_Tot_Asth,COB_Tot_Can_rem,COB_Tot_Dem_Alzh,COB_Tot_Dia_ges_dia,COB_Tot_HD_HA_ang,COB_Tot_Kid_dis,COB_Tot_LC_COPD_emph,COB_Tot_MHC_Dep_anx,COB_Tot_Stroke,COB_Tot_oth_LTHC,COB_Tot_no_LTHC,COB_Tot_LTHC_NS,COB_Tot_Tot,LFS_Emp_Arth,LFS_Emp_Asth,LFS_Emp_Can_rem,LFS_Emp_Dem_Alzh
RA55,3,10,4,0,0,8,0,0,7,0,5,124,0,151,0,5,0,0,0,4,0,0,0,0,0,18,0,28,0,3,0,0,0,0,0,0,0,0,0,24,0,30,0,0,0,0,0,0,0,0,0,0,0,14,0,18,0,0,0,0,0,0,0,0,0,0,0,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,6,40,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,7,0,15,7,4,0,0,0,6,0,0,4,0,7,124,3,146,0,0,0,0,0,0,0,0,0,0,0,0,211,217,14,16,8,0,0,9,0,0,8,3,8,248,226,514,13,17,4,0
RA59,293,303,99,0,151,136,32,73,567,28,340,1899,1589,4775,27,19,4,0,8,17,0,3,24,0,16,141,61,271,48,21,19,0,21,12,3,10,34,7,35,238,53,431,10,6,5,0,3,4,0,0,9,0,6,117,19,166,3,0,0,0,3,5,0,0,3,0,0,64,25,95,3,0,0,0,0,0,0,0,6,0,0,26,13,41,0,3,3,0,4,0,0,0,8,0,8,74,8,106,0,0,0,0,0,0,0,0,6,0,0,27,5,40,5,0,0,0,0,0,0,0,5,0,0,47,8,63,7,5,0,0,3,3,0,6,9,0,3,72,16,116,6,5,0,0,5,0,0,0,4,0,13,61,11,97,99,66,33,9,49,41,4,20,108,10,85,864,211,1429,6,3,3,0,9,4,0,4,13,0,8,27,1795,1851,399,371,130,11,198,185,33,103,688,40,430,2794,3591,8055,76,126,20,0
RA61,32098,28200,9100,2163,12718,11199,2892,6120,35986,3172,25733,150097,11132,268067,457,342,143,22,213,157,42,82,424,46,349,1904,100,3453,3085,1194,948,303,1119,1301,247,560,1470,325,1721,5647,407,13156,761,236,270,126,344,396,79,148,343,114,506,2002,124,4061,610,135,158,129,344,309,70,81,243,94,341,1449,92,2951,71,68,27,8,74,47,12,6,60,12,110,1314,49,1705,222,219,67,17,225,101,20,33,178,30,307,4997,123,6158,85,108,47,15,109,54,31,11,138,25,221,7857,112,8617,175,186,45,14,390,101,35,30,177,25,368,13441,263,14881,255,246,92,23,112,94,20,35,338,29,308,2355,73,3478,222,163,77,21,117,91,26,31,208,21,267,2256,74,3214,5939,2899,1872,687,3058,2649,580,1010,3592,714,4505,43225,1413,61677,835,371,212,94,398,376,109,232,457,112,301,1529,12295,15739,38874,31472,11184,2938,16173,14220,3584,7367,40039,3991,30544,194848,24834,345491,11659,15000,3255,59
RA62,22836,17644,6026,1041,9283,8205,2115,5153,20032,2169,15202,90307,6336,163502,417,252,134,22,168,171,41,105,282,41,281,1575,99,2831,2293,823,702,152,1016,974,223,559,1041,240,1228,3631,285,9066,503,158,155,40,208,258,36,119,211,64,297,1219,80,2502,162,46,44,24,96,87,19,27,72,19,93,458,31,879,26,13,9,4,18,8,0,9,18,6,26,162,5,250,111,75,28,5,111,35,13,9,53,9,103,1196,62,1636,24,28,13,5,23,11,3,0,31,5,34,825,9,965,43,42,9,4,58,22,7,9,27,5,41,1569,27,1769,168,104,60,7,83,72,11,28,134,15,141,739,30,1277,106,68,50,9,63,56,10,26,90,6,99,586,12,981,3843,1607,1196,268,1844,1694,371,886,1959,405,2342,11974,638,22156,915,412,216,55,402,406,95,259,435,126,338,1804,10207,14073,27600,19657,7442,1368,11534,10299,2579,6303,22427,2704,17891,104084,17175,199732,7402,8066,1878,32
RA63,950,627,256,50,418,382,90,205,750,80,584,3451,217,6280,34,23,8,0,11,15,4,6,25,0,14,65,3,148,88,42,24,12,34,46,4,29,56,10,62,146,10,356,17,0,6,3,17,9,5,5,10,0,14,63,7,118,10,0,0,0,3,4,0,0,10,0,4,32,3,62,0,0,0,0,0,0,0,0,0,0,0,4,0,5,9,3,0,0,4,0,0,0,0,0,7,65,0,82,0,4,0,0,0,0,0,0,0,0,0,56,0,58,3,0,0,0,4,0,0,0,0,0,0,219,0,225,10,9,4,0,3,0,0,0,9,0,7,40,0,75,3,4,3,0,3,5,0,0,10,0,4,37,4,71,173,84,53,16,84,75,16,37,124,12,114,729,22,1212,54,14,12,0,22,19,4,10,29,3,19,79,749,930,1171,725,325,70,524,476,109,257,900,95,716,4261,989,8423,288,253,92,0
RA64,251,171,96,12,93,113,24,60,187,21,160,1169,74,1975,0,3,0,0,4,8,0,0,0,5,0,33,0,49,20,0,3,0,3,6,0,5,9,8,13,24,8,74,8,0,4,0,6,8,4,4,0,0,3,20,0,48,5,0,0,0,0,3,0,0,3,0,5,13,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,6,0,0,29,4,42,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,25,0,25,4,0,4,0,0,5,0,0,0,0,0,9,0,19,0,0,0,0,3,0,0,0,0,0,0,14,0,20,43,11,16,4,22,27,8,11,17,9,27,178,16,304,17,9,0,0,8,6,7,8,8,4,3,19,193,250,311,189,113,21,115,144,35,77,205,34,194,1361,289,2533,116,95,51,0
RA65,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,12,3,19,0,0,0,0
RA69,100,108,27,3,39,38,14,27,250,11,101,435,122,973,6,0,0,0,0,0,0,0,8,0,7,6,5,27,7,7,3,0,3,0,0,0,11,0,9,17,11,53,0,0,0,0,4,0,0,0,5,0,0,14,3,19,0,0,0,0,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,4,0,0,0,0,0,5,0,0,7,0,11,0,0,0,0,0,0,0,0,0,0,0,8,0,10,0,0,0,0,0,0,0,0,0,0,0,8,5,13,3,0,0,0,0,0,0,0,7,0,0,8,0,11,0,0,0,0,0,0,0,0,0,0,0,4,0,7,18,14,10,0,10,4,0,3,25,3,20,73,20,153,5,8,0,0,0,0,0,0,7,0,0,16,215,243,120,121,37,5,53,45,18,38,288,12,117,529,357,1377,24,29,11,0
RA72,5311,6878,1876,250,3065,2331,664,1276,6825,535,6672,60274,4246,89266,294,243,101,19,197,136,37,62,238,31,265,2127,109,3338,533,301,209,41,287,216,58,148,319,54,414,2646,131,4482,174,104,86,33,91,108,19,50,92,24,167,1346,76,2069,284,92,80,47,222,167,33,52,131,44,214,1526,83,2456,23,21,5,0,30,3,4,8,26,0,30,523,24,656,444,416,136,46,721,229,115,52,237,62,651,8423,316,11020,57,44,31,5,69,23,15,5,31,3,108,2237,34,2575,108,137,24,13,306,75,24,12,83,11,233,7816,133,8747,58,76,21,0,52,33,11,12,73,5,89,907,27,1254,50,83,31,3,60,20,9,9,71,5,117,1792,65,2217,2023,1513,727,221,2032,1017,330,410,1297,234,2298,29350,1000,38817,112,71,32,13,94,53,28,34,77,18,81,630,10831,11826,7445,8465,2638,491,5187,3405,1020,1719,8196,790,9047,90258,16079,139902,3628,5102,1181,24
RA73,1660,2391,579,168,1786,1291,484,487,2088,252,2299,22229,2239,33691,89,121,38,14,108,50,14,24,67,13,93,1057,44,1530,137,94,47,13,84,71,16,39,92,17,114,594,37,1070,39,28,22,5,28,34,6,5,36,11,39,342,14,523,22,18,11,3,27,18,7,5,20,5,27,175,7,285,6,11,0,0,19,3,0,0,9,0,11,255,16,317,38,54,10,3,74,19,11,8,15,3,60,1166,52,1458,0,3,3,0,6,3,0,0,6,0,16,413,5,451,14,28,3,0,60,11,6,0,14,0,52,1581,42,1781,36,33,6,0,18,3,0,0,36,0,57,773,20,940,20,20,8,0,34,18,7,6,14,0,41,557,19,719,398,398,152,38,462,240,61,87,303,51,510,6912,264,9070,32,21,13,6,35,23,11,6,23,8,30,319,3809,4282,2087,2812,748,215,2286,1549,557,584,2413,309,2841,29457,6309,47048,1037,1624,360,8
RA74,574,1510,196,118,2364,1969,583,329,1038,135,1881,26462,1870,36458,27,40,14,0,27,15,0,9,29,0,36,426,24,616,17,19,10,0,16,12,5,10,21,0,17,203,12,302,13,7,9,0,0,3,0,6,6,5,0,133,4,166,0,3,0,0,8,3,0,0,3,4,5,78,0,97,0,0,0,0,0,0,0,0,0,0,3,32,4,41,12,11,0,0,11,3,3,0,3,0,14,314,15,369,0,0,0,0,5,0,0,0,0,0,3,103,0,116,0,0,0,0,0,0,0,0,3,0,5,234,4,249,0,3,4,0,0,0,0,0,6,0,4,84,0,101,5,10,4,0,9,3,0,0,4,0,3,159,5,187,87,101,37,5,67,39,15,19,79,11,99,1762,60,2248,7,12,5,4,17,9,6,0,9,0,14,259,3027,3351,673,1619,243,118,2454,2019,605,355,1130,152,1996,28478,4965,42054,354,692,120,7
RA75,0,10,0,0,3,0,0,0,0,0,0,43,0,56,0,3,0,0,0,0,0,0,0,0,0,5,0,11,0,0,0,0,0,0,0,0,0,0,0,7,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,19,0,22,0,0,0,0,0,0,0,0,0,0,0,0,19,21,0,11,0,0,3,0,0,0,0,0,0,58,24,99,0,5,0,0
RA79,125,153,57,7,139,155,76,51,186,14,173,1197,152,2106,11,8,6,0,6,7,3,5,17,4,7,71,0,107,13,9,3,0,5,3,4,3,12,4,7,98,0,144,5,4,0,0,0,3,0,0,7,0,5,61,0,83,0,0,0,0,0,0,0,0,5,0,3,32,0,41,0,0,0,0,0,3,0,0,3,0,0,3,0,9,0,0,0,0,5,0,0,0,4,0,6,10,0,21,0,0,0,0,0,0,0,0,0,0,0,12,0,12,3,0,4,0,3,0,0,3,0,0,0,15,0,25,0,3,0,0,0,0,0,0,0,0,0,28,3,35,0,0,0,0,0,0,0,0,0,0,0,10,0,16,37,24,15,6,20,20,8,14,44,10,27,349,6,487,0,4,0,0,9,0,0,0,0,3,13,31,851,906,165,179,81,8,169,181,84,61,237,24,217,1580,1017,3500,25,43,14,0
RA80,24890,33683,8600,1484,9951,9152,2768,4312,37882,2017,32891,184891,9067,305954,712,760,260,57,506,338,95,100,708,70,831,4477,206,7605,2887,1525,1031,268,1064,1226,314,580,1775,286,2284,7546,385,15976,1066,482,384,136,462,532,140,216,549,162,872,3550,131,6674,1844,500,567,284,1043,843,230,290,733,249,1231,5198,288,10136,281,267,104,13,294,154,64,35,280,26,458,4037,154,5536,882,1071,328,75,998,438,186,104,761,118,1557,12956,363,17991,334,402,208,37,544,259,80,62,475,60,974,15407,255,18348,755,863,219,46,1811,565,145,84,623,92,1383,28170,643,33780,677,668,228,50,351,233,74,92,920,57,854,5317,138,8286,349,366,114,22,270,167,55,27,419,33,455,4162,120,5890,9786,6897,3447,993,7353,4746,1377,1583,7254,1138,10904,90828,2689,130217,335,142,110,156,156,155,40,92,211,65,229,804,15342,17032,35012,40721,12155,2625,17454,14063,4187,5984,45342,3224,44019,276522,27093,453198,13000,24173,4363,35
RA81,45,66,15,0,21,13,7,10,63,5,38,384,18,574,0,0,0,0,0,0,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0,3,0,3,16,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,9,0,10,5,0,3,0,3,3,0,0,3,0,9,38,0,60,0,0,0,0,0,0,0,0,0,0,0,5,52,51,52,66,15,0,21,19,7,10,63,5,46,421,71,690,33,40,9,0
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA89,26,42,5,0,13,15,0,3,93,6,50,184,26,384,7,5,0,0,0,0,0,0,0,0,3,8,3,24,6,0,0,0,0,0,0,0,0,0,4,0,0,13,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,8,0,13,0,0,0,0,0,0,0,0,0,0,0,9,0,13,0,0,0,0,0,0,0,0,0,0,0,13,0,18,0,4,0,0,0,0,0,0,0,0,0,8,0,13,4,0,0,0,0,0,0,0,0,0,0,4,0,5,11,11,6,0,3,5,0,4,19,3,10,66,11,117,0,0,0,0,0,0,0,0,0,0,0,4,102,114,42,53,18,0,17,18,0,10,108,6,62,253,138,605,15,20,7,0
RA91,17,20,4,8,31,17,4,7,29,5,19,116,10,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,15,0,0,0,0,0,0,0,0,0,0,0,0,91,93,20,23,7,8,32,17,4,7,29,3,24,124,106,310,6,6,0,0
RA94,156,175,55,14,79,83,23,40,120,13,153,1737,81,2471,33,32,19,0,20,27,6,10,19,10,35,256,39,432,16,8,11,0,10,10,0,3,7,3,6,61,5,115,5,0,0,0,0,5,0,0,0,0,0,21,4,35,0,0,0,0,0,0,4,0,0,0,7,8,4,17,0,0,0,0,0,0,0,0,0,0,0,0,67,67,15,20,5,0,31,10,3,0,9,5,28,365,36,503,0,0,0,0,0,0,0,0,0,0,3,12,5,24,0,0,0,0,0,0,0,0,0,0,4,13,36,50,0,5,3,0,6,3,6,0,0,0,3,38,8,56,0,0,0,0,3,3,0,0,0,0,9,22,35,67,71,67,37,5,72,60,17,14,42,16,84,790,238,1361,3,6,3,0,4,3,3,0,3,3,7,60,557,644,231,249,98,24,157,145,44,47,164,31,244,2593,875,4473,111,142,51,5
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA99,0,0,0,0,0,0,0,0,0,0,0,9,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,9,8,11,0,0,0,0
