RA_CODE_2021,M_0_cond_0_14,M_0_cond_15_24,M_0_cond_25_34,M_0_cond_35_44,M_0_cond_45_54,M_0_cond_55_64,M_0_cond_65_74,M_0_cond_75_84,M_0_cond_85_over,M_0_cond_Tot,M_1_cond_0_14,M_1_cond_15_24,M_1_cond_25_34,M_1_cond_35_44,M_1_cond_45_54,M_1_cond_55_64,M_1_cond_65_74,M_1_cond_75_84,M_1_cond_85_over,M_1_cond_Tot,M_2_cond_0_14,M_2_cond_15_24,M_2_cond_25_34,M_2_cond_35_44,M_2_cond_45_54,M_2_cond_55_64,M_2_cond_65_74,M_2_cond_75_84,M_2_cond_85_over,M_2_cond_Tot,M_3_or_mo_cond_0_14,M_3_or_mo_cond_15_24,M_3_or_mo_cond_25_34,M_3_or_mo_cond_35_44,M_3_or_mo_cond_45_54,M_3_or_mo_cond_55_64,M_3_or_mo_cond_65_74,M_3_or_mo_cond_75_84,M_3_or_mo_cond_85_over,M_3_or_mo_cond_Tot,M_1m_cond_Tot_0_14,M_1m_cond_Tot_15_24,M_1m_cond_Tot_25_34,M_1m_cond_Tot_35_44,M_1m_cond_Tot_45_54,M_1m_cond_Tot_55_64,M_1m_cond_Tot_65_74,M_1m_cond_Tot_75_84,M_1m_cond_Tot_85_over,M_1m_cond_Tot_Tot,M_cond_NS_0_14,M_cond_NS_15_24,M_cond_NS_25_34,M_cond_NS_35_44,M_cond_NS_45_54,M_cond_NS_55_64,M_cond_NS_65_74,M_cond_NS_75_84,M_cond_NS_85_over,M_cond_NS_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_over,M_Tot_Tot,F_0_cond_0_14,F_0_cond_15_24,F_0_cond_25_34,F_0_cond_35_44,F_0_cond_45_54,F_0_cond_55_64,F_0_cond_65_74,F_0_cond_75_84,F_0_cond_85_over,F_0_cond_Tot,F_1_cond_0_14,F_1_cond_15_24,F_1_cond_25_34,F_1_cond_35_44,F_1_cond_45_54,F_1_cond_55_64,F_1_cond_65_74,F_1_cond_75_84,F_1_cond_85_over,F_1_cond_Tot,F_2_cond_0_14,F_2_cond_15_24,F_2_cond_25_34,F_2_cond_35_44,F_2_cond_45_54,F_2_cond_55_64,F_2_cond_65_74,F_2_cond_75_84,F_2_cond_85_over,F_2_cond_Tot,F_3_or_mo_cond_0_14,F_3_or_mo_cond_15_24,F_3_or_mo_cond_25_34,F_3_or_mo_cond_35_44,F_3_or_mo_cond_45_54,F_3_or_mo_cond_55_64,F_3_or_mo_cond_65_74,F_3_or_mo_cond_75_84,F_3_or_mo_cond_85_over,F_3_or_mo_cond_Tot,F_1m_cond_Tot_0_14,F_1m_cond_Tot_15_24,F_1m_cond_Tot_25_34,F_1m_cond_Tot_35_44,F_1m_cond_Tot_45_54,F_1m_cond_Tot_55_64,F_1m_cond_Tot_65_74,F_1m_cond_Tot_75_84,F_1m_cond_Tot_85_over,F_1m_cond_Tot_Tot,F_cond_NS_0_14,F_cond_NS_15_24,F_cond_NS_25_34,F_cond_NS_35_44,F_cond_NS_45_54,F_cond_NS_55_64,F_cond_NS_65_74,F_cond_NS_75_84,F_cond_NS_85_over,F_cond_NS_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_over,F_Tot_Tot,P_0_cond_0_14,P_0_cond_15_24,P_0_cond_25_34,P_0_cond_35_44,P_0_cond_45_54,P_0_cond_55_64,P_0_cond_65_74,P_0_cond_75_84,P_0_cond_85_over,P_0_cond_Tot,P_1_cond_0_14,P_1_cond_15_24,P_1_cond_25_34,P_1_cond_35_44,P_1_cond_45_54,P_1_cond_55_64,P_1_cond_65_74,P_1_cond_75_84,P_1_cond_85_over,P_1_cond_Tot,P_2_cond_0_14,P_2_cond_15_24,P_2_cond_25_34,P_2_cond_35_44,P_2_cond_45_54,P_2_cond_55_64,P_2_cond_65_74,P_2_cond_75_84,P_2_cond_85_over,P_2_cond_Tot,P_3_or_mo_cond_0_14,P_3_or_mo_cond_15_24,P_3_or_mo_cond_25_34,P_3_or_mo_cond_35_44,P_3_or_mo_cond_45_54,P_3_or_mo_cond_55_64,P_3_or_mo_cond_65_74,P_3_or_mo_cond_75_84,P_3_or_mo_cond_85_over,P_3_or_mo_cond_Tot,P_1m_cond_Tot_0_14,P_1m_cond_Tot_15_24,P_1m_cond_Tot_25_34,P_1m_cond_Tot_35_44,P_1m_cond_Tot_45_54,P_1m_cond_Tot_55_64,P_1m_cond_Tot_65_74,P_1m_cond_Tot_75_84,P_1m_cond_Tot_85_over,P_1m_cond_Tot_Tot,P_cond_NS_0_14,P_cond_NS_15_24,P_cond_NS_25_34,P_cond_NS_35_44,P_cond_NS_45_54,P_cond_NS_55_64,P_cond_NS_65_74,P_cond_NS_75_84,P_cond_NS_85_over,P_cond_NS_Tot
RA23,185,82,95,103,99,159,128,57,17,925,34,26,23,33,34,80,87,45,20,382,4,4,7,8,8,32,50,23,7,139,0,0,0,0,8,26,28,12,6,84,38,23,28,41,52,143,159,87,27,606,22,13,13,24,15,45,39,14,12,193,246,119,131,172,167,339,324,159,63,1728,189,50,78,98,90,152,96,43,19,821,21,24,27,36,34,86,68,48,20,367,0,0,13,9,14,24,33,24,16,137,0,0,0,4,5,25,18,19,7,85,26,26,39,49,50,131,123,96,39,587,26,11,4,19,22,30,19,15,14,170,238,85,125,170,166,320,239,158,71,1579,374,132,175,200,192,308,223,101,39,1749,53,48,55,68,72,164,155,98,39,750,7,3,17,17,20,62,87,46,17,275,0,0,0,5,19,49,48,37,11,168,62,49,68,97,108,272,286,183,73,1191,52,27,17,47,34,72,54,35,24,364
RA25,0,0,0,0,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,7,0,0,0,25,0,0,6,16,3,10,4,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,6,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,9,0,0,0,29
RA29,273,237,381,275,225,184,109,24,0,1707,56,96,127,147,137,98,73,24,0,755,7,14,28,48,48,44,53,18,0,260,0,7,10,12,39,36,25,3,4,138,58,118,167,203,228,174,153,43,4,1152,263,221,392,530,468,284,133,19,8,2314,594,575,939,1008,912,644,392,90,15,5170,258,206,345,176,105,153,66,13,3,1322,44,121,161,128,88,80,47,16,9,696,6,39,40,48,68,34,20,12,3,264,0,8,21,27,38,46,23,9,0,164,48,165,223,204,190,155,91,40,10,1124,235,183,312,354,183,122,67,9,6,1475,549,556,878,730,479,429,224,58,19,3915,535,449,725,446,326,333,176,41,10,3028,100,209,293,272,223,178,121,42,7,1453,10,59,71,99,114,75,74,23,4,520,0,10,25,37,80,78,52,15,5,303,109,278,386,408,411,335,242,85,14,2271,501,403,707,880,652,410,198,23,9,3785
RA30,264648,162856,172015,161624,137837,95646,55445,21550,4898,1076526,29548,30793,35765,38581,42487,44473,42423,23962,6867,294902,2091,3663,5691,7052,10324,15196,19895,14417,4852,83165,104,311,740,1639,3584,7586,12659,11660,4613,42904,31740,34771,42190,47276,56398,67262,74974,50031,16323,420970,25288,18154,21001,18751,17521,13208,9004,5226,2460,130622,321678,215785,235209,227650,211755,176122,139422,76805,23683,1628118,256323,146610,167519,163014,139124,100233,61993,24395,6852,1066065,22238,41395,48285,46733,48855,49169,47312,28501,11186,343667,1651,7278,10970,11679,15261,18910,22406,16308,8085,112553,104,575,1561,3042,6489,10474,14207,12904,7667,57023,23996,49251,60817,61458,70602,78555,83925,57713,26939,513247,23500,16695,18575,16862,15188,12417,9483,6392,4601,123709,303815,212547,246916,241334,224915,191204,155397,88507,38383,1703021,520972,309466,339539,324640,276961,195885,117437,45945,11742,2142586,51784,72189,84049,85313,91348,93641,89733,52463,18050,638567,3735,10944,16660,18732,25583,34106,42302,30720,12934,195722,213,885,2304,4685,10074,18056,26867,24562,12280,99925,55733,84025,103009,108731,127000,145813,158902,107748,43264,934220,48785,34848,39579,35611,32710,25631,18484,11618,7064,254330
RA31,73376,40794,36719,35549,36212,32358,21854,8691,1825,287379,9986,8526,8578,10031,12781,17137,18491,9972,2597,98095,780,1130,1541,2082,3782,6752,9463,6284,1799,33602,55,109,266,611,1599,4067,6919,5612,1797,21034,10824,9765,10382,12726,18154,27960,34870,21867,6192,152737,9151,6585,7414,7261,7564,6583,4756,2683,1037,53029,93350,57150,54517,55532,61935,66894,61475,33236,9055,493146,71397,35505,35394,36085,36557,33100,22118,8728,2318,281203,7822,10827,12002,12675,14923,18457,19076,11162,3960,110906,628,2135,3040,3833,5607,8386,9780,6614,2865,42887,36,175,545,1217,2817,5487,6853,5486,2675,25291,8483,13134,15587,17726,23347,32330,35708,23270,9502,179086,8666,5293,5091,5205,5658,5456,4528,2973,1503,44376,88547,53934,56068,59020,65562,70886,62347,34973,13324,504663,144773,76296,72120,71631,72770,65461,43967,17417,4147,568579,17807,19355,20583,22708,27701,35589,37561,21137,6564,209007,1409,3267,4577,5910,9390,15142,19243,12897,4666,76493,93,285,814,1833,4412,9554,13769,11098,4467,46323,19305,22900,25971,30451,41503,60284,70574,45132,15693,331821,17817,11881,12502,12469,13221,12035,9283,5656,2534,97400
RA32,53066,30151,29767,27447,27402,22985,13951,5002,1005,210786,5613,4892,5496,6514,8464,11154,10873,5411,1356,59764,356,543,864,1272,2354,4018,5074,3154,860,18492,22,52,123,324,860,2227,3480,2514,845,10442,5984,5487,6481,8109,11672,17397,19419,11082,3063,88700,7735,6452,7528,6758,6726,5761,3876,1961,593,47392,66792,42088,43772,42321,45799,46147,37249,18042,4663,346876,50990,26764,28798,28421,26946,22244,13156,4992,1272,203585,4114,6497,7950,8378,9776,11302,10161,5519,1922,65624,232,1138,1695,2223,3181,4633,4905,3171,1370,22544,21,87,241,600,1434,2764,3215,2472,1207,12037,4367,7729,9881,11205,14392,18694,18281,11160,4494,100204,7276,4844,5521,4982,5008,4391,3171,1821,835,37855,62631,39333,44196,44603,46347,45335,34606,17979,6600,341633,104059,56914,58564,55865,54353,45235,27104,9996,2277,414361,9722,11390,13441,14896,18244,22458,21034,10930,3277,125386,591,1686,2555,3493,5534,8647,9977,6323,2228,41036,35,134,364,927,2293,4987,6693,4987,2053,22483,10352,13215,16363,19314,26071,36089,37697,22241,7561,188902,15014,11294,13050,11740,11732,10155,7047,3788,1424,85244
RA33,5960,3039,3659,3012,2860,2640,1418,477,77,23138,524,404,550,577,821,1164,1009,488,99,5639,29,42,72,87,206,394,451,303,62,1655,4,8,15,21,75,199,323,183,51,867,555,453,637,685,1107,1758,1784,972,214,8160,977,729,1071,827,943,838,515,243,69,6205,7498,4227,5363,4527,4905,5234,3714,1678,358,37500,5717,2704,3568,2779,2525,2092,1145,407,94,21026,338,543,748,729,853,1016,783,399,147,5555,15,68,154,171,263,406,399,231,86,1788,0,6,13,43,115,243,258,181,64,929,357,612,923,942,1223,1663,1442,815,293,8267,866,557,712,611,598,596,369,200,64,4555,6941,3878,5195,4322,4345,4346,2952,1414,459,33851,11678,5747,7228,5784,5384,4727,2559,884,169,44164,866,949,1295,1305,1677,2180,1795,882,244,11192,49,105,229,258,467,797,849,534,149,3439,3,15,29,61,186,438,582,363,115,1799,915,1066,1550,1627,2332,3421,3223,1783,513,16432,1844,1285,1780,1436,1538,1427,881,440,133,10761
RA34,4691,2665,2793,2106,2032,1674,910,302,52,17226,369,265,358,394,573,805,614,298,73,3743,17,17,34,75,136,241,266,145,38,955,0,3,8,14,50,134,168,106,37,515,391,282,400,483,754,1176,1046,548,145,5214,893,498,672,528,574,608,328,170,33,4307,5979,3440,3865,3115,3362,3464,2277,1016,231,26748,4574,2491,2793,2137,1826,1490,694,256,72,16331,264,379,507,530,693,804,556,262,107,4099,6,41,90,111,193,277,251,125,56,1154,0,4,19,41,69,163,145,131,48,621,275,428,620,686,957,1246,952,518,212,5877,812,444,510,433,446,455,237,119,55,3522,5663,3357,3915,3253,3229,3192,1885,893,333,25733,9268,5151,5582,4243,3865,3165,1600,552,126,33554,639,638,866,924,1259,1606,1166,557,175,7849,21,61,117,181,326,523,515,272,92,2109,3,4,31,56,114,303,310,237,82,1142,660,704,1020,1167,1700,2424,1995,1066,357,11097,1713,942,1181,957,1025,1065,565,290,91,7825
RA35,0,0,14,15,10,0,0,0,0,39,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,9,24,40,31,3,0,0,0,107,0,4,37,55,42,3,3,0,0,149,0,0,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,5,0,0,0,0,0,24,0,9,13,7,0,4,0,0,0,28,0,5,13,13,10,0,0,0,0,42,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,14,37,47,34,8,0,0,0,133
RA39,531,361,668,479,360,521,461,89,8,3482,74,94,168,172,182,249,297,77,4,1322,16,20,36,58,55,106,168,37,0,496,0,0,6,19,36,79,109,30,4,282,89,120,211,245,267,433,572,149,10,2090,136,238,421,469,419,341,224,40,3,2284,753,719,1301,1194,1042,1297,1253,283,23,7861,505,383,690,382,355,473,345,49,0,3179,51,146,196,157,187,268,215,48,3,1266,9,44,62,65,77,130,111,25,9,518,0,6,18,19,43,86,79,15,4,267,54,196,279,236,298,486,402,90,17,2057,124,199,380,267,232,217,127,28,5,1578,680,777,1345,885,887,1170,870,160,25,6807,1035,747,1356,859,713,999,803,137,5,6662,127,241,363,329,367,516,510,124,11,2587,20,65,97,118,127,234,280,65,9,1011,0,0,23,41,78,166,179,50,12,549,145,309,491,483,567,918,973,240,29,4146,255,435,800,739,648,553,354,67,9,3862
RA40,99045,65370,71287,63624,54106,41678,24993,10052,2785,432944,10697,11682,14356,15406,17131,20425,20138,11482,3984,125293,611,1350,2305,2867,4387,7159,9238,6681,2840,37441,37,108,316,633,1573,3528,5822,5324,2821,20166,11344,13145,16975,18905,23086,31109,35207,23483,9645,182897,7667,5693,6316,5920,5846,4972,3322,2014,1014,42761,118059,84207,94580,88452,83040,77760,63520,35551,13441,658606,96354,57145,66406,62394,52725,43645,28447,11764,3865,422749,7799,14999,18240,17761,18934,21862,22562,14763,6839,143751,576,2746,4501,4611,6133,8658,10876,8316,4940,51371,34,198,622,1261,2744,5015,6652,6272,4854,27654,8408,17942,23366,23630,27815,35533,40092,29350,16636,222772,7058,5011,5241,5117,5010,4624,3709,2634,1670,40069,111827,80095,95017,91148,85549,83803,72241,43752,22172,685593,195402,122515,137695,126013,106837,85325,53440,21817,6644,855691,18496,26680,32601,33166,36064,42283,42705,26240,10817,269051,1185,4098,6812,7486,10516,15816,20112,15000,7784,88810,74,310,935,1891,4319,8541,12479,11595,7677,47817,19757,31083,40342,42538,50903,66641,75294,52834,26277,405673,14724,10702,11557,11036,10853,9596,7031,4641,2686,82837
RA41,11904,6702,5617,5978,6968,6853,4962,2041,420,51450,1536,1321,1385,1687,2378,3410,3955,2255,627,18548,81,191,228,341,610,1200,1863,1358,432,6315,3,10,35,79,254,675,1104,982,371,3510,1625,1520,1642,2113,3241,5280,6927,4592,1430,28375,1134,840,812,907,1002,1008,831,471,153,7145,14663,9065,8073,8992,11210,13132,12720,7104,1998,86964,11509,5858,5158,5975,6696,6791,5194,2044,531,49758,1173,1743,1913,2049,2702,3578,3995,2336,842,20326,78,310,449,590,967,1503,1901,1325,643,7769,11,27,72,183,415,827,1085,982,554,4151,1253,2080,2430,2816,4088,5911,6983,4644,2039,32242,1096,658,581,616,860,930,854,503,238,6329,13860,8599,8164,9408,11646,13633,13027,7190,2813,88342,23417,12564,10779,11955,13659,13642,10156,4085,950,101211,2705,3062,3295,3736,5085,6984,7955,4591,1472,38874,161,504,679,929,1579,2708,3767,2684,1078,14076,16,37,98,263,671,1499,2190,1965,926,7666,2880,3602,4073,4930,7329,11191,13909,9237,3474,60617,2230,1496,1389,1521,1866,1930,1683,971,394,13474
RA42,13615,7766,7537,6795,7504,7331,5138,1899,473,58063,1861,1693,1816,1918,2597,4015,4214,2205,631,20950,110,200,307,412,772,1431,2090,1344,429,7099,12,19,50,118,355,897,1454,1181,447,4529,1984,1913,2178,2445,3723,6346,7753,4722,1501,32572,1718,1214,1480,1500,1465,1484,1184,689,256,10983,17317,10893,11199,10741,12695,15160,14075,7314,2229,101624,13453,6256,6692,6519,7193,6883,5001,2157,655,54807,1337,1976,2326,2349,2715,3891,3942,2412,971,21918,100,404,639,705,1062,1628,1971,1486,651,8671,0,39,111,246,603,1161,1363,1220,673,5416,1436,2414,3080,3301,4387,6680,7280,5129,2303,36010,1634,876,898,929,1077,1189,1037,773,407,8823,16525,9548,10675,10754,12654,14754,13313,8055,3364,99636,27064,14021,14232,13319,14704,14217,10137,4056,1127,112873,3199,3670,4144,4266,5316,7909,8153,4617,1599,42872,207,606,952,1122,1837,3056,4063,2829,1085,15762,15,59,167,363,956,2057,2811,2408,1121,9943,3421,4326,5259,5751,8109,13024,15032,9852,3804,68574,3351,2093,2378,2430,2538,2677,2225,1458,659,19811
RA43,3356,1519,1797,1758,1778,1725,1148,454,86,13613,336,329,363,414,518,820,850,469,140,4227,14,34,46,57,123,287,388,251,84,1290,0,4,10,10,34,137,224,187,85,697,353,367,423,481,673,1234,1462,901,311,6214,383,243,310,337,395,375,274,164,48,2529,4092,2128,2534,2580,2845,3332,2881,1523,445,22358,3219,1291,1692,1595,1649,1639,1127,440,127,12781,246,338,456,498,567,725,769,453,210,4267,14,65,118,132,175,307,351,223,112,1504,0,9,13,23,64,182,188,176,83,740,254,414,584,654,809,1215,1310,851,408,6509,369,184,218,201,249,263,243,136,85,1952,3846,1896,2490,2449,2699,3119,2686,1429,622,21242,6574,2811,3487,3358,3424,3359,2274,897,214,26394,580,668,818,914,1089,1543,1616,920,349,8496,26,102,161,191,294,596,744,478,197,2792,0,8,27,35,98,316,414,362,175,1435,607,776,1009,1136,1484,2453,2779,1755,720,12723,747,428,524,536,639,637,518,302,136,4473
RA44,1012,594,684,566,572,517,346,131,16,4437,67,69,114,128,156,264,247,118,30,1200,4,0,19,18,38,95,101,62,15,346,0,0,5,4,15,45,50,31,19,165,66,73,138,146,208,395,399,211,65,1709,172,124,147,102,154,141,102,55,25,1018,1250,794,966,817,936,1053,841,398,106,7163,1044,515,658,494,511,410,291,82,27,4019,89,101,148,152,181,223,179,73,34,1179,6,4,32,37,66,84,72,51,21,360,0,0,3,9,17,44,54,36,12,173,92,103,181,198,262,347,299,160,71,1711,182,94,134,89,111,121,82,39,23,878,1316,714,972,783,881,874,669,277,120,6607,2050,1112,1334,1060,1081,923,633,212,48,8457,160,170,264,283,341,483,428,193,63,2378,8,11,48,52,101,170,170,108,40,706,0,0,10,13,31,87,100,66,32,333,159,181,325,342,472,749,695,364,135,3418,349,217,280,198,266,256,180,97,51,1897
RA45,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,3,5,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5
RA49,133,89,150,130,113,106,63,17,0,801,23,40,64,41,55,67,55,7,4,350,6,12,11,16,23,12,24,5,0,116,0,0,0,3,6,18,22,9,0,67,31,52,78,59,88,103,96,18,6,537,42,43,97,94,96,101,53,7,0,538,208,182,320,289,299,311,214,40,7,1873,127,92,137,78,67,83,45,11,5,647,26,50,62,55,40,40,31,7,0,308,4,27,24,19,14,17,24,0,0,129,0,3,9,11,11,21,17,3,0,76,27,85,99,83,60,73,70,11,3,518,42,37,73,79,46,37,22,3,0,345,197,214,305,245,178,197,141,26,10,1506,262,181,283,211,181,196,108,24,3,1444,50,87,126,96,92,107,84,11,3,664,7,38,37,36,39,29,50,6,4,248,0,7,16,12,25,42,36,10,0,143,56,136,174,140,154,177,166,31,12,1047,84,79,166,178,144,138,77,11,0,882
RA50,172105,99402,109690,109212,89368,65232,37584,14113,3361,700074,16565,16772,20404,22625,24585,28018,27546,15032,4719,176262,920,1752,2781,3764,5556,8492,11788,8577,3045,46667,39,135,322,727,1702,3837,6606,6387,2766,22526,17522,18658,23507,27117,31845,40349,45936,29993,10529,245454,13939,10221,13926,13378,12126,9264,5648,3303,1773,83581,203568,128278,147123,149710,133337,114846,89170,47410,15662,1029106,166582,88372,108199,108546,88280,66870,41887,15502,4689,688933,12179,22593,27723,27313,28374,30562,29719,18189,7807,204462,786,3678,5769,6283,8022,10872,13060,9774,5078,63310,46,294,703,1422,2896,5304,7440,6829,4418,29348,13011,26561,34189,35012,39295,46726,50224,34793,17305,297117,13179,9006,10892,9834,9097,7599,5897,4122,2897,72515,192769,123943,153281,153391,136666,121194,98001,54408,24896,1058569,338690,187772,217885,217757,177643,132106,79475,29618,8057,1389006,28741,39365,48131,49933,52959,58572,57266,33226,12529,380727,1701,5426,8543,10046,13582,19365,24845,18352,8121,109978,82,427,1022,2148,4598,9139,14051,13213,7185,51869,30530,45217,57698,62129,71136,87080,96157,64791,27836,542570,27121,19227,24819,23211,21225,16855,11539,7423,4671,156093
RA51,17803,9140,8116,9254,9716,8305,5602,2043,396,70382,2330,1681,1765,2233,2866,3767,4221,2044,523,21432,129,194,282,399,735,1283,1852,1177,379,6422,8,18,45,99,232,610,1040,892,293,3239,2460,1898,2090,2732,3828,5665,7118,4110,1194,31093,2048,1643,2395,2485,2371,1864,1212,607,218,14837,22315,12683,12603,14470,15915,15831,13931,6760,1810,116314,17152,7664,7908,9710,9623,8415,5493,2014,471,68454,1560,2171,2628,2927,3539,4156,4163,2271,860,24271,108,372,534,814,1165,1648,1903,1181,546,8273,7,40,82,226,465,823,1135,840,502,4109,1670,2580,3247,3964,5168,6628,7201,4285,1901,36651,1903,1132,1090,1202,1338,1322,1073,674,301,10035,20729,11377,12248,14876,16134,16363,13762,6973,2676,115138,34962,16807,16024,18964,19339,16719,11094,4055,871,138832,3885,3852,4390,5165,6402,7925,8388,4311,1382,45706,231,571,813,1211,1899,2928,3754,2364,922,14694,15,57,122,322,692,1432,2178,1730,796,7343,4134,4477,5329,6699,9001,12291,14317,8400,3100,67745,3952,2769,3488,3683,3709,3182,2278,1280,518,24869
RA52,13738,7165,7104,7000,7364,6818,4432,1546,394,55555,1635,1371,1472,1746,2210,3216,3216,1743,520,17124,78,172,220,274,610,1068,1458,1016,300,5194,4,11,36,56,219,569,906,744,292,2827,1715,1554,1725,2076,3038,4846,5580,3497,1109,25144,2169,1356,1657,1688,1765,1651,1231,642,179,12341,17620,10078,10485,10765,12168,13319,11243,5682,1681,93046,13435,6006,6468,6978,6974,6400,4135,1580,439,52409,1101,1718,2066,2170,2596,3261,3074,1824,671,18492,86,323,467,547,908,1253,1489,1006,473,6554,3,23,63,169,378,770,897,708,417,3429,1192,2068,2600,2884,3887,5282,5458,3543,1559,28469,2045,1151,1181,1285,1358,1330,1083,608,278,10311,16667,9228,10247,11148,12213,13017,10676,5725,2272,91191,27168,13174,13571,13980,14337,13225,8569,3123,831,107967,2738,3090,3539,3918,4804,6479,6296,3566,1191,35611,164,498,690,825,1521,2315,2943,2027,773,11745,9,32,96,224,598,1337,1801,1446,707,6259,2904,3625,4325,4957,6925,10130,11035,7046,2667,53615,4217,2506,2836,2974,3122,2986,2319,1245,456,22652
RA53,7741,3174,4425,4695,3818,2886,1350,402,86,28577,637,486,717,892,1039,1286,906,400,116,6475,28,43,96,129,217,387,380,242,62,1583,0,3,9,30,61,174,250,147,48,726,666,529,827,1054,1316,1848,1537,777,225,8786,1571,926,1272,1289,1212,1014,500,219,58,8062,9981,4631,6525,7038,6343,5758,3385,1405,368,45432,7522,2696,4559,4284,3181,2408,1070,382,83,26174,488,553,1034,1059,1114,1081,821,394,133,6693,25,85,180,243,279,383,346,202,86,1829,0,6,32,43,129,198,214,139,66,830,520,647,1241,1348,1525,1669,1384,736,286,9348,1428,711,1077,1035,869,683,399,190,80,6474,9471,4050,6881,6663,5574,4755,2853,1313,447,42002,15261,5873,8978,8974,6995,5294,2418,785,173,54756,1128,1046,1754,1950,2150,2370,1728,797,251,13171,50,127,274,379,498,769,727,441,146,3411,0,11,40,70,192,371,466,283,110,1552,1182,1179,2070,2400,2837,3514,2922,1515,506,18138,3000,1632,2353,2323,2075,1697,895,415,137,14533
RA54,4635,2516,3985,3404,2792,1957,808,219,36,20351,304,264,474,580,669,817,520,182,25,3840,12,19,55,82,165,245,218,89,19,901,4,3,9,20,52,110,132,80,9,413,322,286,536,678,887,1172,874,351,52,5164,1173,889,1797,1573,1367,1011,399,138,21,8360,6129,3691,6320,5656,5044,4137,2079,709,111,33874,4374,2278,3360,2529,1882,1455,556,153,27,16607,222,306,566,594,620,625,409,191,44,3570,9,52,114,144,216,236,166,71,23,1027,0,9,15,30,82,149,121,64,20,492,229,364,698,775,918,1009,691,326,82,5089,1153,622,971,764,646,555,256,103,37,5105,5761,3261,5020,4069,3442,3019,1496,577,147,26800,9013,4796,7342,5927,4673,3411,1363,372,60,36959,526,565,1042,1177,1282,1445,929,370,67,7414,22,72,162,223,382,478,382,160,39,1926,5,11,26,50,134,256,252,141,30,909,548,651,1237,1456,1803,2183,1562,675,137,10246,2328,1510,2760,2342,2012,1564,650,243,57,13466
RA55,0,15,54,74,46,23,0,0,0,216,0,0,5,11,8,7,4,0,0,32,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,5,12,7,13,4,0,0,43,0,14,44,70,43,20,4,0,0,204,0,30,99,157,103,55,14,0,0,455,0,0,5,4,5,5,3,0,0,33,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,8,3,3,8,0,0,0,0,20,0,13,14,11,9,3,4,0,0,58,0,21,60,80,54,24,5,0,0,247,0,3,3,14,8,7,3,0,0,41,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,3,3,17,7,13,4,0,0,43,0,22,46,76,51,27,3,0,0,226
