RA_CODE_2021,F_AccomFoodS_Cert,F_AccomFoodS_ID_NS,F_AccomFoodS_ToT,F_TransPostWhse_PD,F_TransPostWhse_GD_GC,F_TransPostWhse_BD,F_TransPostWhse_AdD_D,F_TransPostWhse_Cert,F_TransPostWhse_ID_NS,F_TransPostWhse_ToT,F_InfoMedTelecom_PD,F_InfoMedTelecom_GD_GC,F_InfoMedTelecom_BD,F_InfoMedTelecom_AdD_D,F_InfoMedTelecom_Cert,F_InfoMedTelecom_ID_NS,F_InfoMedTelecom_ToT,F_FinInsurS_PD,F_FinInsurS_GD_GC,F_FinInsurS_BD,F_FinInsurS_AdD_D,F_FinInsurS_Cert,F_FinInsurS_ID_NS,F_FinInsurS_ToT,F_RentHirREserv_PD,F_RentHirREserv_GD_GC,F_RentHirREserv_BD,F_RentHirREserv_AdD_D,F_RentHirREserv_Cert,F_RentHirREserv_ID_NS,F_RentHirREserv_ToT,F_ProScieTechServ_PD,F_ProScieTechServ_GD_GC,F_ProScieTechServ_BD,F_ProScieTechServ_AdD_D,F_ProScieTechServ_Cert,F_ProScieTechServ_ID_NS,F_ProScieTechServ_ToT,F_AdminSupServ_PD,F_AdminSupServ_GD_GC,F_AdminSupServ_BD,F_AdminSupServ_AdD_D,F_AdminSupServ_Cert,F_AdminSupServ_ID_NS,F_AdminSupServ_ToT,F_PubAdmiSafety_PD,F_PubAdmiSafety_GD_GC,F_PubAdmiSafety_BD,F_PubAdmiSafety_AdD_D,F_PubAdmiSafety_Cert,F_PubAdmiSafety_ID_NS,F_PubAdmiSafety_ToT,F_EducTrain_PD,F_EducTrain_GD_GC,F_EducTrain_BD,F_EducTrain_AdD_D,F_EducTrain_Cert,F_EducTrain_ID_NS,F_EducTrain_ToT,F_HealthCareSocA_PD,F_HealthCareSocA_GD_GC,F_HealthCareSocA_BD,F_HealthCareSocA_AdD_D,F_HealthCareSocA_Cert,F_HealthCareSocA_ID_NS,F_HealthCareSocA_ToT,F_ArtRecServ_PD,F_ArtRecServ_GD_GC,F_ArtRecServ_BD,F_ArtRecServ_AdD_D,F_ArtRecServ_Cert,F_ArtRecServ_ID_NS,F_ArtRecServ_ToT,F_OthServ_PD,F_OthServ_GD_GC,F_OthServ_BD,F_OthServ_AdD_D,F_OthServ_Cert,F_OthServ_ID_NS,F_OthServ_ToT,F_ID_NS_PD,F_ID_NS_GD_GC,F_ID_NS_BD,F_ID_NS_AdD_D,F_ID_NS_Cert,F_ID_NS_ID_NS,F_ID_NS_ToT,F_ToT_PD,F_ToT_GD_GC,F_ToT_BD,F_ToT_AdD_D,F_ToT_Cert,F_ToT_ID_NS,F_ToT_ToT,P_AgriForestFish_PD,P_AgriForestFish_GD_GC,P_AgriForestFish_BD,P_AgriForestFish_AdD_D,P_AgriForestFish_Cert,P_AgriForestFish_ID_NS,P_AgriForestFish_ToT,P_Min_PD,P_Min_GD_GC,P_Min_BD,P_Min_AdD_D,P_Min_Cert,P_Min_ID_NS,P_Min_ToT,P_Mnfg_PD,P_Mnfg_GD_GC,P_Mnfg_BD,P_Mnfg_AdD_D,P_Mnfg_Cert,P_Mnfg_ID_NS,P_Mnfg_ToT,P_EGW_WS_PD,P_EGW_WS_GD_GC,P_EGW_WS_BD,P_EGW_WS_AdD_D,P_EGW_WS_Cert,P_EGW_WS_ID_NS,P_EGW_WS_ToT,P_Cnstn_PD,P_Cnstn_GD_GC,P_Cnstn_BD,P_Cnstn_AdD_D,P_Cnstn_Cert,P_Cnstn_ID_NS,P_Cnstn_ToT,P_WTrade_PD,P_WTrade_GD_GC,P_WTrade_BD,P_WTrade_AdD_D,P_WTrade_Cert,P_WTrade_ID_NS,P_WTrade_ToT,P_RTrade_PD,P_RTrade_GD_GC,P_RTrade_BD,P_RTrade_AdD_D,P_RTrade_Cert,P_RTrade_ID_NS,P_RTrade_ToT,P_AccomFoodS_PD,P_AccomFoodS_GD_GC,P_AccomFoodS_BD,P_AccomFoodS_AdD_D,P_AccomFoodS_Cert,P_AccomFoodS_ID_NS,P_AccomFoodS_ToT,P_TransPostWhse_PD,P_TransPostWhse_GD_GC,P_TransPostWhse_BD,P_TransPostWhse_AdD_D,P_TransPostWhse_Cert,P_TransPostWhse_ID_NS,P_TransPostWhse_ToT,P_InfoMedTelecom_PD,P_InfoMedTelecom_GD_GC,P_InfoMedTelecom_BD,P_InfoMedTelecom_AdD_D,P_InfoMedTelecom_Cert,P_InfoMedTelecom_ID_NS,P_InfoMedTelecom_ToT,P_FinInsurS_PD,P_FinInsurS_GD_GC,P_FinInsurS_BD,P_FinInsurS_AdD_D,P_FinInsurS_Cert,P_FinInsurS_ID_NS,P_FinInsurS_ToT,P_RentHirREserv_PD,P_RentHirREserv_GD_GC,P_RentHirREserv_BD,P_RentHirREserv_AdD_D,P_RentHirREserv_Cert,P_RentHirREserv_ID_NS,P_RentHirREserv_ToT,P_ProScieTechServ_PD,P_ProScieTechServ_GD_GC,P_ProScieTechServ_BD,P_ProScieTechServ_AdD_D,P_ProScieTechServ_Cert,P_ProScieTechServ_ID_NS,P_ProScieTechServ_ToT,P_AdminSupServ_PD,P_AdminSupServ_GD_GC,P_AdminSupServ_BD,P_AdminSupServ_AdD_D,P_AdminSupServ_Cert,P_AdminSupServ_ID_NS,P_AdminSupServ_ToT,P_PubAdmiSafety_PD,P_PubAdmiSafety_GD_GC,P_PubAdmiSafety_BD,P_PubAdmiSafety_AdD_D,P_PubAdmiSafety_Cert,P_PubAdmiSafety_ID_NS,P_PubAdmiSafety_ToT,P_EducTrain_PD
RA62,959,122,1646,7,7,58,83,284,34,477,19,6,54,39,61,5,186,18,19,65,105,200,24,431,5,8,43,111,161,24,339,121,80,402,201,386,36,1236,32,19,121,151,370,40,730,141,90,471,356,578,54,1694,507,343,1853,574,1111,87,4470,564,445,2176,1569,3114,263,8129,40,13,103,66,134,16,370,39,18,102,166,699,34,1058,15,7,80,71,181,124,495,1775,1206,6828,4592,11050,1191,26640,275,74,940,726,2395,319,4725,27,11,109,90,845,37,1119,153,41,497,428,2679,196,3993,27,13,100,114,521,20,797,52,22,231,344,4220,152,5004,36,21,132,175,882,49,1292,86,41,400,403,2171,182,3286,172,45,418,355,1486,167,2636,52,22,161,260,1443,133,2067,22,13,107,74,139,10,358,36,37,133,164,267,21,665,9,10,69,163,272,30,553,301,140,883,413,653,61,2461,54,29,185,233,751,56,1306,254,166,793,635,1284,101,3233,715
RA63,94,11,241,0,0,4,0,23,0,32,0,0,0,0,6,0,8,0,0,0,6,7,0,12,0,0,0,4,3,5,18,0,0,16,4,10,0,29,0,0,16,8,12,6,48,0,0,10,6,14,0,22,25,0,60,11,36,3,143,12,12,39,29,45,12,145,0,0,5,4,11,0,21,8,0,3,0,16,0,24,0,0,3,4,9,4,25,90,23,247,157,373,59,953,21,3,51,32,104,17,223,4,3,22,23,162,11,232,4,0,10,11,33,0,67,0,0,3,0,26,0,27,6,0,7,4,91,0,110,0,0,0,0,8,0,9,9,7,15,20,51,9,105,68,5,96,78,157,24,429,0,0,8,11,57,6,81,0,0,3,3,4,0,13,0,0,4,6,8,0,16,0,0,4,12,5,5,23,5,0,24,4,13,0,57,9,0,23,16,38,3,87,8,3,17,11,41,0,77,32
RA64,14,5,18,0,0,5,0,5,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,9,3,0,5,9,0,0,14,0,0,0,0,5,0,9,4,0,7,8,14,0,36,4,0,24,5,12,5,59,4,3,30,16,25,4,77,0,0,0,0,4,4,3,0,0,0,5,3,0,9,0,0,4,0,6,0,10,23,18,108,62,133,21,367,8,6,22,39,78,13,165,0,0,0,3,0,0,5,6,4,4,8,33,0,53,0,0,0,0,24,0,24,0,0,3,5,62,4,69,0,0,5,0,3,0,10,0,0,13,3,19,0,38,0,0,10,11,20,5,38,0,0,3,7,29,6,40,0,0,0,0,3,0,3,0,0,0,0,0,0,6,0,0,0,3,4,0,11,6,0,9,9,0,0,29,0,0,0,0,6,0,13,4,3,9,12,26,0,61,8
RA65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA69,5,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,8,0,0,0,0,0,0,3,0,0,3,0,3,0,11,0,0,3,0,0,0,5,0,3,10,6,3,0,19,0,0,0,0,0,0,7,0,0,0,0,4,0,4,0,0,0,0,4,0,3,4,4,33,17,33,4,92,0,0,3,0,5,4,12,0,0,0,0,0,0,7,0,0,0,0,7,0,4,0,0,0,0,0,0,5,0,0,0,0,21,0,26,0,0,0,0,0,0,0,0,0,0,4,8,0,12,0,0,3,0,6,0,8,0,0,0,0,8,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,4,4,0,10,0,4,0,0,3,0,11,0,0,3,0,3,0,11,0
RA72,459,80,1558,28,24,97,71,208,22,451,10,13,76,27,34,7,169,24,16,93,115,134,15,397,30,9,91,102,155,12,401,365,130,666,204,310,37,1710,60,15,188,150,238,45,694,646,486,1644,1038,1313,114,5244,718,466,1576,443,729,71,4009,1024,581,2674,890,1131,189,6484,49,24,161,72,141,20,457,97,29,221,176,408,36,971,67,26,189,117,215,115,732,3612,1898,9127,4246,6732,915,26531,51,5,131,77,238,9,519,66,13,187,127,804,40,1236,53,9,164,179,772,41,1221,108,38,236,179,440,19,1022,111,23,505,437,3160,121,4349,33,11,134,112,422,36,744,404,31,768,352,1114,127,2806,411,38,1010,589,939,142,3127,151,51,407,403,949,75,2038,41,23,161,70,117,11,428,48,33,172,188,171,21,628,54,18,160,156,293,24,698,749,217,1439,395,649,77,3520,121,26,336,265,529,72,1354,1257,763,2965,2228,3343,254,10805,1092
RA73,121,33,374,3,0,16,11,42,6,86,12,3,11,3,14,0,43,0,4,6,16,18,0,49,0,0,10,12,34,0,67,68,29,134,43,88,8,369,8,10,54,29,64,10,171,185,80,379,258,346,39,1289,188,149,503,134,239,41,1256,387,188,985,363,435,66,2429,14,18,63,28,68,7,195,30,21,80,47,116,13,303,14,5,50,31,59,60,217,999,544,2603,1174,1963,328,7608,7,0,47,39,140,22,249,9,5,20,20,109,8,170,21,4,45,34,144,8,258,7,0,25,39,112,3,188,21,4,94,93,796,38,1044,8,0,35,23,92,4,165,68,14,181,107,320,33,725,65,14,213,144,274,55,757,13,3,77,82,217,22,415,13,7,29,10,37,4,104,4,3,19,28,25,4,77,4,0,20,21,59,3,109,115,42,240,83,214,33,726,22,12,82,58,143,15,335,363,130,710,605,1051,86,2947,269
RA74,129,12,250,3,0,14,9,14,4,47,0,0,5,3,4,0,9,0,0,5,4,8,0,16,0,0,0,0,8,0,17,3,3,14,6,16,0,42,4,3,15,6,36,3,72,38,29,86,86,190,32,458,95,90,298,90,164,32,767,72,56,221,107,214,53,715,19,0,29,17,31,13,115,6,0,18,12,34,3,76,5,5,12,5,23,39,84,297,204,892,477,1145,221,3225,13,8,70,88,336,33,548,21,14,77,55,287,21,471,0,0,7,9,48,4,63,0,0,0,3,48,4,51,4,3,13,26,239,19,301,0,0,3,8,18,0,28,23,8,68,31,159,24,311,36,5,120,83,265,22,521,4,10,31,38,67,6,156,0,0,3,0,9,0,16,0,0,7,3,8,0,18,3,0,0,3,10,0,23,8,3,32,13,29,3,85,7,3,29,23,92,8,159,65,42,152,187,460,72,980,150
RA75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,5,0,12,3,17,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA79,8,3,38,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,3,0,0,8,3,0,0,17,0,0,5,4,0,0,9,0,0,7,3,3,0,20,5,4,6,4,0,0,20,3,0,12,3,3,0,32,0,0,5,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,0,8,11,24,12,82,33,31,13,196,0,0,8,8,11,4,29,0,0,3,0,4,0,13,0,0,0,0,0,0,7,0,0,0,0,0,0,3,0,0,3,3,19,5,37,0,0,0,0,0,0,6,0,0,6,0,6,0,20,7,7,21,7,22,3,63,0,0,3,5,8,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,6,3,0,13,5,5,0,33,0,0,3,4,3,0,13,4,0,15,3,9,0,29,7
RA80,829,103,3235,102,27,183,132,189,25,655,259,108,531,147,119,18,1183,301,102,476,291,231,48,1444,160,42,334,233,338,39,1141,2432,835,4405,966,950,145,9734,349,112,748,421,483,77,2189,7337,3239,13058,4286,3582,404,31904,3754,1490,5617,1222,1403,148,13626,3454,1412,7478,2627,2599,366,17942,316,137,704,205,289,26,1682,324,111,704,568,972,67,2742,278,48,448,180,153,233,1326,20713,7919,38130,13140,13898,1880,95689,74,29,123,70,114,11,424,23,7,35,11,34,3,108,362,50,715,381,1115,55,2678,258,62,424,191,446,25,1411,564,110,1775,1387,6997,247,11075,141,31,362,208,422,20,1198,1498,176,2586,1210,2233,242,7937,1328,110,2321,1450,2012,254,7462,611,98,842,586,1111,148,3387,554,212,1251,414,461,47,2938,622,175,1109,524,378,84,2894,308,75,686,460,623,55,2215,6239,1730,10685,2331,2083,375,23447,752,196,1398,724,1102,144,4300,16093,5579,24878,8392,7347,865,63138,6457
RA81,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,5,4,0,14,0,0,0,0,0,0,0,0,8,16,11,3,0,42,6,3,3,3,8,0,23,0,0,10,3,6,0,20,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,13,11,55,40,25,10,147,0,4,11,4,9,0,23,0,0,0,0,0,0,0,0,0,4,0,8,0,7,0,0,0,0,4,0,4,0,0,0,6,29,0,38,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,3,3,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,5,0,0,6,0,0,3,0,0,0,8,0,3,17,10,5,0,34,0,0,5,0,3,0,9,11,8,26,17,9,0,69,6
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA89,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,3,0,0,5,5,0,12,3,0,0,24,0,0,3,0,0,0,11,4,0,8,5,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,4,33,9,9,0,78,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0,0,6,4,6,0,10,0,0,7,0,4,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,4,0,14,0,0,0,3,0,0,7,9,3,16,3,4,0,32,4
RA91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,9,0,0,9,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,9,0,9,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,16,10,8,0,30,0
RA94,26,16,73,3,0,4,0,10,0,15,0,0,0,0,3,0,0,0,0,4,3,4,0,11,0,0,0,4,0,0,8,5,0,8,7,4,0,22,4,0,8,8,21,0,39,16,10,25,39,40,5,135,13,17,36,8,26,6,106,8,7,31,17,17,13,95,3,0,3,6,9,0,17,0,0,3,4,3,0,9,0,0,6,5,4,5,23,50,49,172,134,208,63,677,0,0,0,7,10,0,25,0,0,7,10,35,0,52,0,0,3,3,17,0,19,0,0,3,3,26,0,37,0,0,11,15,92,9,128,0,0,0,0,7,0,9,3,4,20,9,39,11,86,0,0,23,19,58,24,126,7,0,8,5,29,7,59,0,0,0,0,10,0,14,0,0,4,0,6,0,17,0,0,4,8,4,0,17,5,0,14,14,8,0,43,3,0,15,12,39,6,74,27,17,52,58,124,11,291,12
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
