RA_CODE_2021,F_Kidney_disease_0_14,F_Kidney_disease_15_24,F_Kidney_disease_25_34,F_Kidney_disease_35_44,F_Kidney_disease_45_54,F_Kidney_disease_55_64,F_Kidney_disease_65_74,F_Kidney_disease_75_84,F_Kidney_disease_85_over,F_Kidney_disease_Tot,F_Lung_cond_0_14,F_Lung_cond_15_24,F_Lung_cond_25_34,F_Lung_cond_35_44,F_Lung_cond_45_54,F_Lung_cond_55_64,F_Lung_cond_65_74,F_Lung_cond_75_84,F_Lung_cond_85_over,F_Lung_cond_Tot,F_Mental_health_cond_0_14,F_Mental_health_cond_15_24,F_Mental_health_cond_25_34,F_Mental_health_cond_35_44,F_Mental_health_cond_45_54,F_Mental_health_cond_55_64,F_Mental_health_cond_65_74,F_Mental_health_cond_75_84,F_Mental_health_cond_85_over,F_Mental_health_cond_Tot,F_Stroke_0_14,F_Stroke_15_24,F_Stroke_25_34,F_Stroke_35_44,F_Stroke_45_54,F_Stroke_55_64,F_Stroke_65_74,F_Stroke_75_84,F_Stroke_85_over,F_Stroke_Tot,F_Other_0_14,F_Other_15_24,F_Other_25_34,F_Other_35_44,F_Other_45_54,F_Other_55_64,F_Other_65_74,F_Other_75_84,F_Other_85_over,F_Other_Tot,F_None_0_14,F_None_15_24,F_None_25_34,F_None_35_44,F_None_45_54,F_None_55_64,F_None_65_74,F_None_75_84,F_None_85_over,F_None_Tot,F_NS_0_14,F_NS_15_24,F_NS_25_34,F_NS_35_44,F_NS_45_54,F_NS_55_64,F_NS_65_74,F_NS_75_84,F_NS_85_over,F_NS_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_over,F_Tot_Tot,P_Arthritis_0_14,P_Arthritis_15_24,P_Arthritis_25_34,P_Arthritis_35_44,P_Arthritis_45_54,P_Arthritis_55_64,P_Arthritis_65_74,P_Arthritis_75_84,P_Arthritis_85_over,P_Arthritis_Tot,P_Asthma_0_14,P_Asthma_15_24,P_Asthma_25_34,P_Asthma_35_44,P_Asthma_45_54,P_Asthma_55_64,P_Asthma_65_74,P_Asthma_75_84,P_Asthma_85_over,P_Asthma_Tot,P_Cancer_0_14,P_Cancer_15_24,P_Cancer_25_34,P_Cancer_35_44,P_Cancer_45_54,P_Cancer_55_64,P_Cancer_65_74,P_Cancer_75_84,P_Cancer_85_over,P_Cancer_Tot,P_Dementia_0_14,P_Dementia_15_24,P_Dementia_25_34,P_Dementia_35_44,P_Dementia_45_54,P_Dementia_55_64,P_Dementia_65_74,P_Dementia_75_84,P_Dementia_85_over,P_Dementia_Tot,P_Diabetes_0_14,P_Diabetes_15_24,P_Diabetes_25_34,P_Diabetes_35_44,P_Diabetes_45_54,P_Diabetes_55_64,P_Diabetes_65_74,P_Diabetes_75_84,P_Diabetes_85_over,P_Diabetes_Tot,P_Heart_disease_0_14,P_Heart_disease_15_24,P_Heart_disease_25_34,P_Heart_disease_35_44,P_Heart_disease_45_54,P_Heart_disease_55_64,P_Heart_disease_65_74,P_Heart_disease_75_84,P_Heart_disease_85_over,P_Heart_disease_Tot,P_Kidney_disease_0_14,P_Kidney_disease_15_24,P_Kidney_disease_25_34,P_Kidney_disease_35_44,P_Kidney_disease_45_54,P_Kidney_disease_55_64,P_Kidney_disease_65_74,P_Kidney_disease_75_84,P_Kidney_disease_85_over,P_Kidney_disease_Tot,P_Lung_cond_0_14,P_Lung_cond_15_24,P_Lung_cond_25_34,P_Lung_cond_35_44,P_Lung_cond_45_54,P_Lung_cond_55_64,P_Lung_cond_65_74,P_Lung_cond_75_84,P_Lung_cond_85_over,P_Lung_cond_Tot,P_Mental_health_cond_0_14,P_Mental_health_cond_15_24,P_Mental_health_cond_25_34,P_Mental_health_cond_35_44,P_Mental_health_cond_45_54,P_Mental_health_cond_55_64,P_Mental_health_cond_65_74,P_Mental_health_cond_75_84,P_Mental_health_cond_85_over,P_Mental_health_cond_Tot,P_Stroke_0_14,P_Stroke_15_24,P_Stroke_25_34,P_Stroke_35_44,P_Stroke_45_54,P_Stroke_55_64,P_Stroke_65_74,P_Stroke_75_84,P_Stroke_85_over,P_Stroke_Tot,P_Other_0_14,P_Other_15_24,P_Other_25_34,P_Other_35_44,P_Other_45_54,P_Other_55_64,P_Other_65_74,P_Other_75_84,P_Other_85_over,P_Other_Tot,P_None_0_14,P_None_15_24,P_None_25_34,P_None_35_44,P_None_45_54,P_None_55_64,P_None_65_74,P_None_75_84,P_None_85_over,P_None_Tot
RA62,20,21,37,55,114,209,334,347,181,1297,17,3,36,92,337,761,1100,651,205,3207,453,1674,2179,2151,2387,2378,1446,539,277,13487,5,5,19,38,123,210,307,302,184,1196,532,582,872,1138,1648,2147,1752,812,410,9897,12367,5947,6276,6067,6566,6718,4533,1748,432,50659,1490,849,837,862,1034,1208,1054,657,256,8245,15832,9586,10706,11064,13309,16138,14030,7403,2663,100727,50,138,481,1108,3144,6719,8782,5351,1819,27600,2697,2081,2297,2409,2680,3012,2829,1337,320,19657,29,29,84,234,674,1619,2533,1734,502,7442,7,0,3,13,27,85,195,528,502,1368,57,136,268,532,1367,2671,3630,2269,590,11534,77,61,93,197,705,1966,3347,2766,1074,10299,39,43,63,90,211,414,694,719,305,2579,39,25,75,174,620,1449,2161,1382,381,6303,943,2666,3321,3425,3974,4081,2643,990,376,22427,12,10,29,65,240,447,827,750,330,2704,1406,1132,1426,1829,2787,3914,3289,1489,626,17891,24723,12985,13364,12321,13392,13635,9377,3508,776,104084
RA63,0,0,0,3,0,11,13,17,5,53,0,0,0,0,8,34,45,17,4,113,16,42,74,91,85,124,50,26,8,504,0,0,0,0,3,9,8,10,4,39,13,17,27,43,56,92,68,39,11,361,432,167,334,230,228,317,214,50,10,1986,58,36,74,46,51,81,52,21,18,452,558,285,534,427,486,766,614,260,85,4026,0,6,13,37,127,328,379,221,59,1171,92,57,72,76,105,139,121,59,17,725,0,0,3,12,38,63,125,70,15,325,0,0,0,0,0,4,8,21,29,70,0,11,11,16,67,142,178,84,21,524,4,3,0,8,49,93,179,106,31,476,0,0,4,3,13,16,38,25,8,109,0,0,0,5,30,68,99,44,13,257,33,64,105,143,169,214,121,40,20,900,0,0,0,0,9,17,30,30,16,95,37,33,47,71,107,182,157,66,19,716,841,391,718,513,516,680,451,125,29,4261
RA64,0,0,0,0,0,0,9,9,4,16,0,0,0,0,0,3,18,13,0,43,4,7,19,23,13,20,25,4,7,130,0,0,0,0,0,3,3,7,0,13,9,0,4,8,9,16,25,6,9,88,141,46,76,92,74,92,74,23,7,630,32,7,9,23,17,21,15,13,6,144,190,66,121,159,133,206,206,104,35,1219,0,0,11,11,22,62,117,73,21,311,24,15,19,22,17,32,50,17,0,189,0,0,0,4,9,31,30,29,11,113,0,0,0,0,0,0,0,5,13,21,0,0,0,8,4,28,39,25,6,115,0,0,0,3,7,27,51,39,19,144,0,0,0,3,0,0,13,11,6,35,0,0,0,0,5,9,32,18,9,77,3,6,27,40,32,33,40,12,7,205,0,0,0,0,7,4,18,8,0,34,12,4,9,21,24,44,46,19,7,194,297,111,182,192,160,185,166,57,4,1361
RA65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,12
RA69,0,0,0,0,0,3,0,0,0,8,0,0,0,3,6,9,7,0,0,23,0,42,21,28,23,19,6,0,0,145,0,0,0,0,0,0,0,0,0,10,0,6,6,11,16,19,9,0,0,59,49,34,49,27,21,28,19,4,0,232,5,19,11,24,18,31,28,4,0,136,61,108,92,97,78,98,72,13,4,616,0,0,8,16,26,38,21,9,3,120,7,22,29,17,18,15,9,0,0,121,0,0,0,3,6,10,6,3,0,37,0,0,0,0,0,4,0,0,0,5,0,0,0,9,18,8,14,0,0,53,0,0,0,0,7,7,17,3,3,45,0,0,0,0,3,8,0,0,0,18,0,0,0,3,4,11,11,0,0,38,4,69,51,51,53,34,16,0,0,288,0,0,0,5,4,3,5,0,0,12,4,12,8,21,32,23,9,0,0,117,102,90,107,64,70,51,40,7,0,529
RA72,6,10,26,51,70,94,110,82,23,482,24,13,16,23,109,223,230,157,42,837,181,813,1224,1048,729,547,286,96,39,4966,4,0,5,19,55,69,87,73,27,339,423,373,662,845,784,770,604,265,100,4814,11352,5500,9293,7364,5307,3423,1664,437,61,44400,1444,872,1324,1145,911,704,424,179,66,7075,13861,7879,13199,11286,9043,7139,4513,1776,465,69161,14,79,307,616,1281,1919,1964,1005,264,7445,1254,938,1610,1395,1215,1029,711,262,55,8465,18,23,75,179,416,653,785,410,64,2638,0,3,5,10,11,44,101,185,131,491,27,91,226,485,894,1398,1346,606,125,5187,50,51,89,151,416,824,1034,586,199,3405,35,29,51,117,138,195,245,168,47,1020,66,23,41,65,196,449,482,320,75,1719,388,1221,1805,1645,1327,1022,541,189,54,8196,9,0,9,33,97,174,238,173,49,790,1112,715,1092,1414,1427,1484,1120,503,168,9047,22674,11971,18500,14691,10883,7049,3435,922,129,90258
RA73,5,13,17,36,61,79,56,26,17,307,14,5,11,13,40,71,81,41,16,285,36,213,376,255,246,191,82,24,9,1432,6,0,4,5,23,43,33,23,4,144,119,88,236,212,288,308,166,80,36,1535,3789,1871,3098,2244,1670,1162,506,112,21,14481,564,301,504,411,385,337,205,67,21,2783,4683,2650,4476,3508,3141,2726,1497,515,161,23355,7,26,77,147,335,592,558,250,91,2087,352,272,474,457,422,460,256,91,26,2812,5,6,26,40,110,221,211,109,19,748,0,0,0,0,4,22,58,71,51,215,19,41,129,269,481,631,476,190,49,2286,73,66,73,114,212,373,382,203,52,1549,12,11,26,51,112,139,119,67,20,557,22,15,17,31,64,151,169,81,29,584,88,315,573,434,414,346,174,51,20,2413,6,0,4,16,44,87,72,58,11,309,334,196,365,377,476,553,340,146,53,2841,7793,3960,6006,4528,3369,2435,1093,243,29,29457
RA74,8,10,37,47,86,88,46,11,5,342,11,3,3,29,38,47,29,8,0,169,14,88,141,121,89,74,24,6,3,562,0,0,0,15,13,17,12,8,0,57,107,79,130,173,209,190,115,36,7,1043,4099,2870,2823,1948,1255,683,253,50,13,13983,539,338,448,313,251,213,86,17,0,2201,4923,3635,3915,3092,2450,1790,804,206,41,20863,4,16,30,83,133,201,139,58,7,673,193,137,200,267,330,297,148,46,7,1619,4,4,12,8,43,89,60,23,0,243,0,0,0,3,6,17,45,26,12,118,29,84,172,440,650,613,351,105,20,2454,198,302,244,270,375,360,200,55,7,2019,23,27,53,82,148,161,80,25,12,605,29,8,13,52,70,90,57,24,4,355,55,189,257,250,180,131,50,14,3,1130,0,4,6,19,28,52,31,11,0,152,263,178,234,288,384,354,205,74,15,1996,8441,5866,5584,3927,2546,1438,540,111,19,28478
RA75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3,4,0,3,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,6,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,20,15,12,8,0,0,0,58
RA79,0,0,0,9,7,20,8,4,0,44,0,0,0,5,3,10,9,0,0,29,0,6,27,30,15,24,3,5,0,109,0,0,0,0,0,4,0,0,0,8,3,3,14,25,24,17,13,4,0,99,153,88,182,120,84,73,32,4,0,745,32,48,105,71,105,98,33,0,0,482,190,162,364,268,280,279,114,17,4,1675,0,0,0,14,27,60,58,5,0,165,11,7,36,30,34,35,22,0,0,179,0,0,0,8,13,18,28,4,0,81,0,0,0,4,3,0,5,0,0,8,0,0,9,12,43,60,39,4,0,169,0,6,14,19,35,58,36,5,0,181,0,3,0,4,24,31,13,3,0,84,0,0,0,6,10,22,15,0,0,61,6,14,41,55,50,48,22,8,0,237,0,0,0,0,3,9,4,0,0,24,10,11,25,41,56,45,27,3,0,217,355,149,356,269,183,166,91,12,3,1580
RA80,28,35,82,154,239,316,451,516,273,2087,34,35,70,155,295,593,864,765,331,3149,983,5885,6559,5093,4048,2717,1516,765,394,27963,9,8,28,66,141,231,310,425,292,1511,1501,2507,3825,4037,3793,3744,3205,1827,919,25359,33317,18591,25037,21584,15377,10464,6467,2467,600,133908,2316,2154,2164,1775,1465,1165,1030,575,317,12963,40066,29993,38948,34956,28295,23415,18999,10555,4316,229538,88,371,1179,2461,4697,7539,9221,6681,2776,35012,5459,5585,7309,6748,5281,4292,3567,1866,615,40721,65,125,343,747,1462,2494,3504,2541,881,12155,5,7,3,17,33,99,347,961,1152,2625,130,308,707,1531,2690,3924,4488,2794,883,17454,124,163,247,503,1144,2365,3941,3656,1912,14063,74,74,162,293,465,642,1005,969,501,4187,78,76,126,284,553,1071,1679,1496,612,5984,2104,8750,10206,8302,6811,4664,2643,1287,578,45342,18,28,53,134,289,499,777,898,542,3224,3802,4062,5867,6552,6658,6754,5740,3186,1406,44019,67440,40219,52831,44947,32084,21025,12258,4630,1080,276522
RA81,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,4,0,4,7,9,3,3,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,10,0,0,0,24,60,31,32,32,27,15,5,0,0,197,3,3,0,6,5,9,3,0,0,31,69,38,49,51,45,50,21,7,5,332,0,0,0,3,15,16,12,3,0,52,16,10,11,11,5,9,4,0,0,66,0,0,0,0,0,10,0,5,0,15,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,6,9,0,0,21,0,0,0,0,3,5,4,0,0,19,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,3,0,0,10,4,8,8,17,12,11,0,0,0,63,0,0,0,0,0,0,0,0,0,5,4,3,4,12,7,9,4,0,0,46,127,51,61,65,48,33,12,6,0,421
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,9,8,5,8,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,7,5,6,5,8,0,0,0,29,15,39,33,19,13,11,0,0,0,132,0,3,7,7,4,6,4,0,0,40,21,74,53,33,30,35,10,8,0,273,0,0,0,3,3,20,10,3,4,42,5,12,9,8,3,6,3,0,0,53,0,0,0,0,0,3,7,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,3,0,3,0,17,0,0,0,0,3,4,6,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,10,4,40,19,20,14,11,0,0,0,108,0,0,0,0,3,0,0,0,0,6,0,9,12,8,14,14,5,0,0,62,35,75,57,37,28,11,4,0,0,253
RA91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,5,0,0,16,0,0,0,0,0,3,0,0,0,3,0,5,0,0,5,3,0,0,0,13,21,9,10,6,8,3,6,0,0,63,11,8,3,3,6,8,4,5,0,47,36,21,19,15,29,16,10,10,0,158,0,0,0,0,6,4,5,3,0,20,3,4,0,0,4,3,4,0,0,23,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,3,3,0,8,0,0,4,0,9,3,11,7,0,32,0,0,0,0,6,4,0,0,0,17,0,0,0,0,0,0,4,0,0,4,0,0,0,6,0,0,0,0,0,7,0,0,4,6,3,5,8,4,0,29,0,0,0,0,0,3,3,0,0,3,0,3,0,0,9,0,0,0,0,24,32,24,19,13,13,14,6,3,0,124
RA94,0,0,0,0,0,7,4,0,0,18,0,0,0,0,0,4,4,5,0,16,7,21,16,13,21,17,8,0,0,91,0,0,0,0,0,3,0,4,3,12,4,8,5,20,20,35,22,13,3,131,272,118,150,189,178,212,121,41,10,1284,54,29,47,50,42,43,25,20,4,316,342,183,224,297,285,370,253,123,31,2106,0,0,4,13,24,64,71,41,20,231,33,26,22,40,36,37,28,15,3,249,3,0,0,8,12,21,29,17,5,98,0,0,0,0,0,0,3,10,4,24,0,0,4,5,17,43,59,21,5,157,0,0,0,0,12,24,64,25,16,145,0,0,0,3,3,16,4,12,6,44,0,0,0,0,0,15,20,12,0,47,9,24,24,35,32,25,12,3,0,164,0,0,0,0,4,4,8,11,3,31,16,7,8,30,42,59,47,23,14,244,600,230,285,347,353,418,263,80,21,2593
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,9
