RA_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
RA51,3952,2769,3488,3683,3709,3182,2278,1280,518,24869,43044,24058,24852,29343,32047,32193,27697,13733,4482,231450
RA52,4217,2506,2836,2974,3122,2986,2319,1245,456,22652,34282,19297,20730,21911,24378,26343,21921,11411,3958,184237
RA53,3000,1632,2353,2323,2075,1697,895,415,137,14533,19447,8681,13402,13702,11917,10505,6236,2719,815,87426
RA54,2328,1510,2760,2342,2012,1564,650,243,57,13466,11890,6952,11339,9719,8486,7161,3574,1286,258,60672
RA55,0,22,46,76,51,27,3,0,0,226,0,42,116,170,109,62,18,0,0,514
RA59,190,352,661,811,748,503,245,69,15,3591,772,820,1512,1543,1313,1144,758,155,30,8055
RA61,4528,3302,3681,3093,3040,2758,2230,1512,699,24834,58514,40211,54006,43338,41917,41632,36485,21148,8238,345491
RA62,3076,1831,1736,1870,2175,2502,2251,1239,491,17175,32473,19879,21114,21225,25727,31591,28526,14657,4537,199732
RA63,128,98,143,105,121,168,137,59,29,989,1123,633,1052,876,1052,1563,1385,583,160,8423
RA64,55,16,29,44,45,36,36,25,3,289,396,147,255,312,293,406,436,226,54,2533
RA65,0,0,0,0,0,0,0,0,0,3,0,0,4,4,7,0,0,0,0,19
RA69,18,41,49,54,42,68,75,6,0,357,129,215,228,198,203,199,163,31,3,1377
RA72,2947,2046,3166,2653,2232,1607,942,359,125,16079,28294,16701,25950,22108,18400,14637,9374,3608,833,139902
RA73,1181,745,1169,1010,860,738,423,158,33,6309,9822,5519,8596,7064,6102,5457,3171,1067,253,47048
RA74,1136,750,1023,708,573,498,216,51,0,4965,10331,7462,7666,6054,4860,3540,1634,433,76,42054
RA75,0,0,6,4,5,3,0,0,0,24,0,15,23,22,19,17,0,0,0,99
RA79,74,97,193,168,213,186,79,12,0,1017,446,276,661,573,591,579,318,49,7,3500
RA80,4773,4579,4830,3784,3164,2451,1906,1075,530,27093,82732,60383,77542,69181,56029,45239,35590,19328,7175,453198
RA81,8,6,3,3,13,16,9,3,0,71,161,78,92,105,95,94,52,12,4,690
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA89,7,21,17,35,22,22,11,0,0,138,50,148,108,104,77,78,34,10,4,605
RA91,24,14,12,15,14,8,14,7,0,106,65,42,32,35,47,37,27,16,0,310
RA94,105,72,203,146,126,97,74,40,6,875,759,363,544,605,616,729,561,239,67,4473
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA99,0,0,0,0,0,4,0,0,0,8,0,0,4,0,0,3,0,0,0,11
