RA_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Primry_Othr_non_Govt_M,Primry_Othr_non_Govt_F,Primry_Othr_non_Govt_P,Primary_Tot_Primary_M,Primary_Tot_Primary_F,Primary_Tot_Primary_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_non_Govt_M,Secondary_Other_non_Govt_F,Secondary_Other_non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_edu_Ft_15_24_M,Tert_Voc_edu_Ft_15_24_F,Tert_Voc_edu_Ft_15_24_P,Tert_Voc_edu_Ft_25_ov_M,Tert_Voc_edu_Ft_25_ov_F,Tert_Voc_edu_Ft_25_ov_P,Tert_Voc_edu_Pt_15_24_M,Tert_Voc_edu_Pt_15_24_F,Tert_Voc_edu_Pt_15_24_P,Tert_Voc_edu_Pt_25_ov_M,Tert_Voc_edu_Pt_25_ov_F,Tert_Voc_edu_Pt_25_ov_P,Tert_Voc_edu_F_Pt_ns_M,Tert_Voc_edu_F_Pt_ns_F,Tert_Voc_edu_F_Pt_ns_P,Tert_Voc_edu_Tot_M,Tert_Voc_edu_Tot_F,Tert_Voc_edu_Tot_P,Tert_Uni_oth_h_edu_Ft_15_24_M,Tert_Uni_oth_h_edu_Ft_15_24_F,Tert_Uni_oth_h_edu_Ft_15_24_P,Tert_Uni_oth_h_edu_Ft_25_ov_M,Tert_Uni_oth_h_edu_Ft_25_ov_F,Tert_Uni_oth_h_edu_Ft_25_ov_P,Tert_Uni_oth_h_edu_Pt_15_24_M,Tert_Uni_oth_h_edu_Pt_15_24_F,Tert_Uni_oth_h_edu_Pt_15_24_P,Tert_Uni_oth_h_edu_Pt_25_ov_M,Tert_Uni_oth_h_edu_Pt_25_ov_F,Tert_Uni_oth_h_edu_Pt_25_ov_P,Tert_Uni_oth_h_edu_F_Pt_ns_M,Tert_Uni_oth_h_edu_F_Pt_ns_F,Tert_Uni_oth_h_edu_F_Pt_ns_P,Tert_Uni_other_high_edu_Tot_M,Tert_Uni_other_high_edu_Tot_F,Tert_Uni_other_high_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
RA23,29,20,50,101,83,184,14,19,35,0,0,0,118,105,225,88,68,158,0,0,0,0,0,5,92,72,162,0,5,5,0,7,7,0,3,7,5,15,22,0,0,0,12,31,42,3,3,12,0,4,7,0,0,3,0,18,18,0,0,0,7,27,36,14,60,75,3,3,9,4,6,9,0,0,0,16,6,19,145,126,276,414,393,805
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,3,29,25,3,29
RA29,45,31,78,137,129,266,10,10,20,9,11,18,155,154,303,63,78,137,6,4,17,3,14,14,73,97,172,12,26,36,6,29,37,13,4,20,24,27,52,4,0,3,54,92,146,39,50,90,23,41,69,5,20,21,22,42,64,0,0,0,91,152,244,148,246,391,13,11,25,17,25,39,0,0,0,27,40,71,2220,1366,3584,2670,1932,4600
RA30,31360,28617,59972,98000,93165,191171,24197,23454,47649,19502,19165,38662,141929,136046,277970,68735,64931,133665,23273,21928,45199,25540,25571,51111,117742,112621,230357,5803,5928,11731,6517,10458,16978,7918,6279,14197,12782,22321,35106,125,130,257,33147,45123,78270,35632,47940,83567,15435,21441,36878,5758,7962,13721,15419,27172,42597,119,142,261,72372,104660,177033,105669,149948,255608,5586,5768,11360,8470,12921,21389,138,146,282,14190,18837,33028,86404,81288,167694,497279,527354,1024629
RA31,6916,6501,13416,28154,26685,54840,7623,7325,14957,5113,5196,10316,40960,39278,80234,21224,20310,41533,7591,7486,15079,6355,6516,12873,35217,34343,69562,1177,1125,2300,879,1468,2344,2326,2034,4355,2775,5870,8643,46,46,94,7197,10543,17739,2611,5020,7628,1645,3443,5089,919,1768,2685,2870,6677,9548,28,44,69,8072,16950,25026,15290,27539,42826,1195,1214,2408,2201,3335,5529,33,50,84,3421,4592,8022,39334,31730,71067,141141,143981,285123
RA32,4874,4466,9342,19010,17720,36735,7473,7300,14773,2311,2145,4456,28840,27203,56044,15194,14208,29407,5454,6104,11552,2572,2559,5133,23247,22902,46142,892,635,1523,725,1247,1973,1414,1187,2602,1985,4223,6212,32,43,74,5041,7331,12379,2387,4607,6992,1341,2576,3922,566,1113,1680,2182,4857,7039,23,24,49,6502,13175,19680,11558,20538,32097,799,827,1622,1454,2417,3867,31,41,76,2286,3280,5570,38336,29643,67976,109149,108025,217167
RA33,486,452,940,2422,2237,4658,652,655,1310,99,85,184,3177,2986,6166,1370,1225,2597,464,425,895,125,128,250,1966,1770,3741,44,38,84,66,54,115,120,109,230,173,298,468,5,0,9,407,504,912,55,159,208,59,121,182,31,91,125,156,416,573,0,0,0,303,783,1089,710,1294,2002,66,81,146,125,175,293,5,8,7,191,258,450,5262,3774,9030,11790,10532,22326
RA34,394,400,792,2154,2091,4245,393,401,796,54,74,131,2607,2573,5177,1063,1000,2064,141,119,261,97,93,190,1303,1220,2520,36,34,74,53,71,123,65,92,161,107,213,321,3,0,7,272,411,684,14,105,121,39,97,137,16,56,72,105,283,390,0,4,4,178,543,718,450,950,1398,33,29,57,50,86,134,4,6,7,84,114,200,3637,2947,6578,8472,8196,16668
RA35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,24,137,115,25,136
RA39,39,35,76,196,200,400,12,6,26,43,53,97,257,265,518,94,100,197,14,16,32,31,32,60,142,144,293,13,14,28,24,38,65,9,20,26,37,74,113,0,9,9,77,154,238,28,47,79,29,34,63,5,19,28,31,50,74,0,0,0,92,148,239,177,303,483,34,28,66,19,29,55,0,0,0,54,66,114,2143,1446,3582,2806,2251,5060
RA40,11392,10498,21893,38565,35526,74091,11023,10664,21689,8913,8881,17797,58585,55161,113741,20662,19243,39903,9600,9825,19427,9640,9716,19357,39947,38835,78785,2404,1866,4270,2769,4075,6843,3177,2131,5307,5661,8477,14147,75,60,126,14086,16610,30695,16687,21120,37800,7526,9477,17000,2113,2706,4817,5983,10088,16073,72,72,143,32378,43463,75842,46524,60145,106670,1996,2082,4070,3159,4649,7807,71,63,131,5221,6792,12012,26419,24843,51260,188088,196280,384364
RA41,1231,1114,2338,5029,4617,9650,619,596,1218,1741,1696,3433,7385,6919,14300,3181,3100,6284,412,396,811,1420,1557,2978,5017,5060,10071,157,155,306,109,260,368,512,354,868,528,959,1490,13,10,25,1325,1736,3061,615,1160,1774,202,462,659,111,192,303,278,914,1188,0,8,5,1211,2728,3939,2535,4465,7000,125,141,273,225,445,666,8,3,12,356,594,952,5386,4671,10056,21913,22821,44730
RA42,1356,1339,2697,6273,5867,12142,1478,1449,2923,769,746,1517,8526,8074,16608,4159,3967,8129,861,892,1753,514,504,1017,5544,5370,10910,117,174,294,121,297,418,601,358,958,551,1068,1621,12,12,22,1401,1913,3310,173,588,763,130,464,604,63,180,245,279,829,1109,4,5,10,650,2072,2727,2054,3984,6041,136,159,301,235,455,690,15,12,30,393,630,1023,8723,6843,15561,26587,26242,52836
RA43,317,293,616,1484,1363,2851,349,338,685,137,123,260,1973,1830,3804,895,750,1642,150,214,359,112,114,223,1151,1078,2235,28,23,61,24,34,54,93,66,161,122,219,344,3,4,8,276,352,630,29,86,116,33,72,109,7,35,40,63,206,268,0,0,0,133,405,540,409,758,1165,23,25,46,43,111,152,3,4,9,69,141,205,2042,1550,3592,5962,5649,11615
RA44,125,140,263,517,557,1076,12,9,18,43,50,89,569,611,1182,303,289,597,5,5,6,16,27,39,320,318,639,0,9,6,5,10,18,17,14,37,31,48,79,3,3,4,54,88,143,8,26,29,15,18,30,4,12,15,20,53,73,0,0,0,49,110,156,106,199,301,6,3,8,7,23,31,0,0,0,15,28,44,851,678,1529,1979,1970,3949
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,4,0,4
RA49,13,13,31,60,64,122,11,8,17,9,8,17,77,80,156,26,61,87,3,3,4,8,15,21,38,70,111,8,3,6,5,8,14,3,4,10,12,12,20,0,0,0,22,25,50,13,7,16,7,10,16,0,8,8,11,13,19,0,0,0,26,40,71,49,66,117,6,7,16,13,11,20,0,0,0,19,15,35,496,314,814,694,564,1263
RA50,19042,17522,36567,63344,59451,122799,14453,14373,28822,12210,12094,24304,90150,86078,176234,41057,38193,79256,15114,14895,30007,15995,15629,31625,72247,68819,141071,4866,4572,9431,3919,6600,10519,6131,3575,9704,6935,11951,18883,96,89,186,21939,26781,48722,22332,28633,50970,8942,11815,20758,3731,4682,8416,8794,14481,23269,102,126,225,43901,59737,103641,65972,86643,152610,3139,3408,6546,5292,8207,13496,100,96,196,8529,11711,20243,56386,46191,102574,312331,316962,629290
RA51,1811,1753,3563,6664,5993,12657,1812,1760,3572,1458,1353,2810,9943,9116,19058,5090,4752,9837,1536,1614,3151,1394,1470,2866,8018,7847,15865,353,331,679,161,468,625,884,490,1378,586,1360,1944,14,7,28,2003,2649,4657,337,723,1059,185,582,763,100,223,321,402,1215,1620,0,3,11,1026,2755,3780,3036,5416,8445,237,264,504,386,702,1087,13,15,23,636,979,1613,11775,7117,18892,35216,32230,67446
RA52,1468,1404,2870,5214,4777,9999,1293,1304,2596,815,874,1687,7341,6967,14304,3885,3674,7565,1081,1202,2281,771,896,1663,5753,5782,11528,280,297,583,151,280,428,690,410,1101,555,1261,1822,11,4,19,1683,2259,3941,187,347,530,173,362,537,63,161,225,357,935,1291,7,7,10,792,1802,2593,2479,4067,6547,172,168,338,309,502,813,12,7,20,490,676,1168,9770,7972,17744,27304,26864,54167
RA53,777,743,1519,3372,3276,6648,547,484,1030,141,121,264,4063,3889,7953,1946,1843,3787,359,373,729,177,199,374,2484,2409,4901,86,86,173,59,77,134,229,174,407,304,670,974,12,8,12,692,1004,1698,59,154,209,57,192,249,20,66,88,205,497,703,0,4,6,344,908,1253,1039,1914,2951,64,71,135,131,250,375,3,3,3,197,320,519,6820,5498,12319,15380,14776,30157
RA54,458,432,887,1997,1787,3783,331,314,649,178,158,338,2517,2251,4766,926,906,1838,125,119,245,127,156,282,1183,1182,2367,60,37,92,38,47,83,78,65,146,175,269,443,0,0,6,344,417,763,21,61,83,41,71,114,13,39,50,143,283,424,0,0,0,220,454,673,567,877,1441,42,30,77,63,108,178,3,5,5,108,146,253,7545,4418,11957,12375,9308,21683
RA55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,9,0,8,13,0,17,0,0,0,0,0,3,0,0,0,0,0,3,193,20,219,209,28,237
RA59,22,18,41,94,92,181,13,7,22,23,17,35,121,114,243,39,47,83,4,3,6,9,4,19,51,55,109,13,11,16,9,18,33,11,6,15,7,25,34,0,0,0,44,59,99,14,25,42,13,17,31,0,3,9,15,25,46,3,0,3,52,68,122,96,130,224,16,16,32,7,16,23,0,0,4,23,34,55,2227,1260,3489,2535,1623,4160
RA61,2285,2189,4470,10312,9377,19687,2807,2897,5706,1705,1685,3384,14833,13964,28802,5937,5623,11560,2434,2592,5029,2103,1993,4097,10484,10223,20706,682,709,1388,1573,1663,3232,1195,672,1869,1892,1969,3860,26,24,48,5358,5042,10398,2619,3218,5836,2016,2430,4454,401,578,977,1629,2998,4624,15,9,26,6684,9231,15915,12060,14293,26353,715,768,1486,733,1160,1893,18,14,30,1470,1944,3412,8380,7910,16293,49506,50527,100036
RA62,971,926,1895,5979,5756,11740,1307,1251,2557,673,697,1371,7971,7714,15677,3933,3725,7655,1001,1067,2070,675,640,1316,5616,5441,11054,335,339,673,242,369,608,686,411,1094,686,1027,1712,21,9,31,1967,2158,4128,341,715,1057,261,515,774,93,189,277,488,1085,1570,5,11,17,1181,2509,3698,3155,4675,7834,272,289,564,249,465,711,11,17,27,539,771,1309,6772,6392,13165,25015,25924,50935
RA63,41,46,85,168,183,351,71,58,124,3,7,11,243,247,491,129,119,245,4,9,7,13,12,21,144,136,283,10,6,17,23,19,40,20,12,35,32,41,67,0,0,0,79,70,156,15,11,28,17,22,41,0,4,4,26,47,73,0,3,3,57,89,141,140,160,298,19,11,27,9,29,31,0,0,0,28,38,65,457,396,859,1055,1029,2081
RA64,23,8,30,84,97,183,0,0,0,0,0,0,84,97,183,41,36,76,3,0,7,6,9,14,52,44,94,10,0,10,3,0,0,5,8,6,9,18,27,0,0,0,19,22,42,0,3,9,0,4,3,0,0,0,3,8,12,0,0,0,5,18,27,29,38,67,3,0,0,0,6,10,0,0,0,4,9,12,115,117,233,314,310,625
RA65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3
RA69,9,5,9,27,15,41,3,0,4,0,3,3,28,18,53,8,19,30,4,0,7,0,0,3,13,19,33,6,0,9,0,4,4,8,9,9,3,8,9,0,0,0,21,23,35,0,4,3,8,3,9,0,4,0,4,16,14,0,0,0,13,22,32,30,39,68,0,0,0,0,9,8,0,0,5,0,10,13,210,130,337,296,223,519
RA72,1350,1272,2621,4626,4401,9030,699,705,1401,774,844,1616,6113,5952,12064,2791,2804,5590,744,701,1444,796,811,1604,4333,4317,8648,172,141,312,331,352,680,308,229,532,620,982,1602,11,5,10,1431,1706,3134,675,950,1628,796,1250,2043,213,364,579,971,2049,3020,8,11,18,2665,4622,7288,4106,6334,10440,347,364,706,357,669,1023,5,7,16,709,1038,1746,7411,5686,13102,24018,24608,48624
RA73,434,364,793,1488,1361,2850,494,481,980,250,244,497,2238,2093,4330,615,574,1191,335,348,685,351,320,674,1301,1246,2547,28,17,49,50,59,105,85,57,145,180,299,481,4,0,8,344,435,780,39,85,126,97,191,282,28,67,96,294,598,892,3,0,3,459,939,1400,812,1376,2182,70,64,137,83,158,239,5,9,15,158,234,389,3038,2365,5401,7979,7673,15648
RA74,419,405,826,2305,2058,4364,92,90,182,110,118,234,2510,2269,4779,1010,1012,2022,48,63,107,155,107,255,1209,1181,2388,9,18,30,15,25,39,24,32,51,85,118,199,0,3,5,133,190,333,21,36,51,30,59,85,5,35,44,94,213,302,4,0,3,151,336,489,284,528,812,31,30,60,45,64,106,0,3,5,81,95,179,2535,2014,4545,7037,6493,13530
RA75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,20,0,23,22,0,22
RA79,5,8,14,56,38,101,0,0,3,13,7,27,77,57,132,12,16,26,3,0,3,10,11,17,26,24,48,0,0,0,0,0,0,0,3,4,4,8,15,0,0,0,9,11,21,0,0,4,13,4,16,0,0,0,4,15,25,0,0,0,20,24,46,20,39,68,11,8,22,0,6,6,0,0,0,12,10,26,643,579,1224,793,709,1503
RA80,4594,4226,8815,12960,12029,24985,4504,4207,8713,2177,2262,4434,19664,18520,38185,8449,7688,16138,3639,3454,7096,2227,2398,4622,14327,13554,27885,720,661,1377,1064,1137,2198,1554,954,2510,2469,3211,5676,19,14,30,5826,5973,11801,7619,9088,16708,3180,3509,6692,1135,1474,2619,4243,5886,10130,28,25,61,16208,19990,36207,22068,25994,48058,1058,938,1990,1628,2102,3729,11,22,28,2689,3062,5750,9512,8541,18051,72855,73896,146749
RA81,11,9,24,24,16,45,9,5,12,7,4,11,35,26,58,15,3,14,8,8,22,0,4,10,29,17,51,0,3,3,0,0,0,5,6,9,0,7,11,0,0,0,3,18,18,0,3,4,3,0,3,0,0,0,6,6,11,0,0,0,15,13,19,17,29,45,0,5,0,0,4,5,0,0,0,0,5,8,26,32,57,121,119,242
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA89,3,0,8,6,5,9,0,0,0,0,0,0,6,5,9,9,23,36,0,0,5,0,0,0,11,25,37,0,4,8,0,0,3,0,0,0,3,4,7,0,0,0,9,14,21,11,6,21,4,4,9,3,5,5,0,0,8,0,0,0,14,18,35,23,31,54,0,0,0,3,6,5,0,0,0,3,6,4,97,36,131,148,104,248
RA91,6,3,7,7,15,19,0,0,0,0,0,0,4,15,21,4,4,14,0,4,3,0,0,0,4,7,16,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,4,5,6,6,3,10,0,0,0,0,0,0,0,0,0,0,0,0,50,41,89,73,75,143
RA94,47,30,74,180,154,337,0,0,0,0,0,0,183,154,336,107,108,216,0,4,4,0,0,3,108,109,223,3,0,5,5,3,7,14,10,17,16,20,41,0,0,0,34,35,68,0,9,8,0,3,5,0,10,5,5,19,24,0,0,3,14,40,56,51,77,124,4,0,4,3,14,17,0,0,0,7,12,20,533,275,811,923,659,1585
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0
