RA_CODE_2021,F_Health_Occ_Mng,F_Health_Occ_Pro,F_Health_Occ_TTW,F_Health_Occ_CPS,F_Health_Occ_CA,F_Health_Occ_Sal,F_Health_Occ_MOD,F_Health_Occ_Lab,F_Health_Occ_IDNS,F_Health_Total,F_Educat_Occ_Mng,F_Educat_Occ_Pro,F_Educat_Occ_TTW,F_Educat_Occ_CPS,F_Educat_Occ_CA,F_Educat_Occ_Sal,F_Educat_Occ_MOD,F_Educat_Occ_Lab,F_Educat_Occ_IDNS,F_Educat_Total,F_ManagCom_Occ_Mng,F_ManagCom_Occ_Pro,F_ManagCom_Occ_TTW,F_ManagCom_Occ_CPS,F_ManagCom_Occ_CA,F_ManagCom_Occ_Sal,F_ManagCom_Occ_MOD,F_ManagCom_Occ_Lab,F_ManagCom_Occ_IDNS,F_ManagCom_Total,F_SocietCultu_Occ_Mng,F_SocietCultu_Occ_Pro,F_SocietCultu_Occ_TTW,F_SocietCultu_Occ_CPS,F_SocietCultu_Occ_CA,F_SocietCultu_Occ_Sal,F_SocietCultu_Occ_MOD,F_SocietCultu_Occ_Lab,F_SocietCultu_Occ_IDNS,F_SocietCultu_Total,F_CreatArt_Occ_Mng,F_CreatArt_Occ_Pro,F_CreatArt_Occ_TTW,F_CreatArt_Occ_CPS,F_CreatArt_Occ_CA,F_CreatArt_Occ_Sal,F_CreatArt_Occ_MOD,F_CreatArt_Occ_Lab,F_CreatArt_Occ_IDNS,F_CreatArt_Total,F_FoodHospPersServ_Occ_Mng,F_FoodHospPersServ_Occ_Pro,F_FoodHospPersServ_Occ_TTW,F_FoodHospPersServ_Occ_CPS,F_FoodHospPersServ_Occ_CA,F_FoodHospPersServ_Occ_Sal,F_FoodHospPersServ_Occ_MOD,F_FoodHospPersServ_Occ_Lab,F_FoodHospPersServ_Occ_IDNS,F_FoodHospPersServ_Total,F_MixFieldProg_Occ_Mng,F_MixFieldProg_Occ_Pro,F_MixFieldProg_Occ_TTW,F_MixFieldProg_Occ_CPS,F_MixFieldProg_Occ_CA,F_MixFieldProg_Occ_Sal,F_MixFieldProg_Occ_MOD,F_MixFieldProg_Occ_Lab,F_MixFieldProg_Occ_IDNS,F_MixFieldProg_Total,F_FS_ID_Occ_Mng,F_FS_ID_Occ_Pro,F_FS_ID_Occ_TTW,F_FS_ID_Occ_CPS,F_FS_ID_Occ_CA,F_FS_ID_Occ_Sal,F_FS_ID_Occ_MOD,F_FS_ID_Occ_Lab,F_FS_ID_Occ_IDNS,F_FS_ID_Total,F_FS_NS_Occ_Mng,F_FS_NS_Occ_Pro,F_FS_NS_Occ_TTW,F_FS_NS_Occ_CPS,F_FS_NS_Occ_CA,F_FS_NS_Occ_Sal,F_FS_NS_Occ_MOD,F_FS_NS_Occ_Lab,F_FS_NS_Occ_IDNS,F_FS_NS_Total,F_Tot_Occ_Mng,F_Tot_Occ_Pro,F_Tot_Occ_TTW,F_Tot_Occ_CPS,F_Tot_Occ_CA,F_Tot_Occ_Sal,F_Tot_Occ_MOD,F_Tot_Occ_Lab,F_Tot_Occ_IDNS,F_Total_Total,P_NatPhySci_Occ_Mng,P_NatPhySci_Occ_Pro,P_NatPhySci_Occ_TTW,P_NatPhySci_Occ_CPS,P_NatPhySci_Occ_CA,P_NatPhySci_Occ_Sal,P_NatPhySci_Occ_MOD,P_NatPhySci_Occ_Lab,P_NatPhySci_Occ_IDNS,P_NatPhySci_Total,P_InfoTechn_Occ_Mng,P_InfoTechn_Occ_Pro,P_InfoTechn_Occ_TTW,P_InfoTechn_Occ_CPS,P_InfoTechn_Occ_CA,P_InfoTechn_Occ_Sal,P_InfoTechn_Occ_MOD,P_InfoTechn_Occ_Lab,P_InfoTechn_Occ_IDNS,P_InfoTechn_Total,P_EngRelTech_Occ_Mng,P_EngRelTech_Occ_Pro,P_EngRelTech_Occ_TTW,P_EngRelTech_Occ_CPS,P_EngRelTech_Occ_CA,P_EngRelTech_Occ_Sal,P_EngRelTech_Occ_MOD,P_EngRelTech_Occ_Lab,P_EngRelTech_Occ_IDNS,P_EngRelTech_Total,P_ArchitBuild_Occ_Mng,P_ArchitBuild_Occ_Pro,P_ArchitBuild_Occ_TTW,P_ArchitBuild_Occ_CPS,P_ArchitBuild_Occ_CA,P_ArchitBuild_Occ_Sal,P_ArchitBuild_Occ_MOD,P_ArchitBuild_Occ_Lab,P_ArchitBuild_Occ_IDNS,P_ArchitBuild_Total,P_AgriEnviRelStu_Occ_Mng,P_AgriEnviRelStu_Occ_Pro,P_AgriEnviRelStu_Occ_TTW,P_AgriEnviRelStu_Occ_CPS,P_AgriEnviRelStu_Occ_CA,P_AgriEnviRelStu_Occ_Sal,P_AgriEnviRelStu_Occ_MOD,P_AgriEnviRelStu_Occ_Lab,P_AgriEnviRelStu_Occ_IDNS,P_AgriEnviRelStu_Total,P_Health_Occ_Mng,P_Health_Occ_Pro,P_Health_Occ_TTW,P_Health_Occ_CPS,P_Health_Occ_CA,P_Health_Occ_Sal,P_Health_Occ_MOD,P_Health_Occ_Lab,P_Health_Occ_IDNS,P_Health_Total,P_Educat_Occ_Mng,P_Educat_Occ_Pro,P_Educat_Occ_TTW,P_Educat_Occ_CPS,P_Educat_Occ_CA,P_Educat_Occ_Sal,P_Educat_Occ_MOD,P_Educat_Occ_Lab,P_Educat_Occ_IDNS,P_Educat_Total,P_ManagCom_Occ_Mng,P_ManagCom_Occ_Pro,P_ManagCom_Occ_TTW,P_ManagCom_Occ_CPS,P_ManagCom_Occ_CA,P_ManagCom_Occ_Sal,P_ManagCom_Occ_MOD,P_ManagCom_Occ_Lab,P_ManagCom_Occ_IDNS,P_ManagCom_Total,P_SocietCultu_Occ_Mng,P_SocietCultu_Occ_Pro,P_SocietCultu_Occ_TTW,P_SocietCultu_Occ_CPS,P_SocietCultu_Occ_CA,P_SocietCultu_Occ_Sal,P_SocietCultu_Occ_MOD,P_SocietCultu_Occ_Lab,P_SocietCultu_Occ_IDNS,P_SocietCultu_Total,P_CreatArt_Occ_Mng,P_CreatArt_Occ_Pro,P_CreatArt_Occ_TTW,P_CreatArt_Occ_CPS,P_CreatArt_Occ_CA,P_CreatArt_Occ_Sal,P_CreatArt_Occ_MOD,P_CreatArt_Occ_Lab,P_CreatArt_Occ_IDNS,P_CreatArt_Total
RA43,133,567,42,295,113,43,17,24,10,1230,107,585,12,173,61,15,9,26,9,992,217,144,38,115,456,159,23,62,12,1222,95,130,25,478,137,59,19,64,12,1008,22,30,9,9,24,15,5,5,0,122,75,10,139,102,71,72,14,63,6,561,0,0,0,0,0,0,0,0,0,0,3,8,5,19,14,4,0,3,0,56,17,12,6,40,32,19,7,24,19,179,779,1609,346,1276,989,419,97,333,82,5931,52,61,37,17,18,3,5,18,3,211,25,21,12,7,16,10,6,11,0,107,362,259,1059,46,65,73,263,277,40,2437,172,25,380,20,23,18,76,91,15,816,424,111,96,46,51,37,61,175,19,1014,159,680,54,327,119,45,28,41,10,1465,154,749,20,183,59,17,20,36,15,1253,419,235,103,135,486,226,59,95,22,1791,137,180,63,584,144,72,30,91,17,1323,34,50,20,12,32,20,4,23,0,198
RA44,27,146,0,58,24,5,0,14,0,283,34,235,0,58,26,4,0,4,0,363,61,33,7,31,85,28,0,17,4,273,26,43,3,138,36,12,3,23,3,289,10,5,0,9,0,0,0,4,0,38,12,0,30,15,18,6,6,12,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,13,14,15,4,30,19,5,0,15,13,118,221,500,60,362,232,78,17,117,23,1611,10,16,7,0,9,0,0,5,0,38,5,3,3,4,0,4,0,4,0,20,100,33,230,11,16,12,60,94,7,565,50,4,61,3,4,0,22,28,0,178,90,23,15,13,6,13,12,45,5,218,32,168,7,80,30,8,9,18,5,352,59,302,11,67,32,4,4,7,0,477,122,52,16,44,97,40,13,32,5,414,46,53,3,172,45,13,7,32,3,375,23,11,9,13,3,3,0,8,0,72
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA49,0,30,6,4,9,0,3,0,0,59,0,6,0,0,0,0,0,0,0,9,8,11,3,8,13,7,0,3,0,50,0,8,5,22,6,0,0,7,0,42,0,0,0,3,0,0,0,4,0,13,0,3,9,6,0,0,0,3,0,15,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,10,19,63,18,41,30,15,3,23,3,228,0,8,0,0,4,0,0,4,0,11,4,4,0,0,0,0,0,0,0,9,4,14,29,0,5,0,11,16,0,79,5,0,8,0,0,4,3,4,0,32,3,0,0,0,0,0,0,11,0,11,7,37,6,7,9,0,3,5,0,73,0,15,0,3,0,0,0,0,0,22,16,14,3,9,19,18,6,7,0,92,8,17,5,26,6,0,0,9,0,69,0,0,3,4,0,5,0,6,0,19
RA50,3022,41791,2713,12881,4842,1881,475,1230,434,69271,3553,25794,573,11994,3690,1284,249,894,232,48273,14445,20250,2215,8061,30014,8033,1121,3693,992,88833,5520,17976,1535,19509,9349,3009,634,2689,610,60843,1960,5488,1057,2270,2702,1897,242,723,151,16488,2346,857,6356,5679,4130,2800,568,1996,245,24978,26,35,14,103,70,72,19,86,7,431,545,1096,260,932,867,376,116,266,97,4563,565,853,375,1358,1304,683,178,642,1318,7276,36445,129955,20547,66523,62153,22481,4622,14480,4474,361672,4224,14587,3550,2254,2521,1264,757,1143,303,30607,3656,10960,3093,1354,1948,1153,1329,1451,272,25219,18256,30471,55399,3759,6044,3341,11426,8170,1674,138542,5310,4641,19130,1224,1966,1138,3133,3779,521,40838,1814,2618,2682,750,977,615,943,1595,148,12140,5058,55774,3759,16004,5447,2282,1267,1948,641,92182,5305,33468,1161,13032,4074,1522,893,1307,335,61095,33126,39574,6365,11657,37813,13182,5717,7233,1914,156574,9383,27473,3239,26119,11586,4233,2471,4642,1002,90149,3177,9401,2820,3333,3492,2940,1097,1712,268,28251
RA51,393,3269,355,1253,520,212,95,215,41,6355,442,2806,85,1527,415,169,55,188,17,5697,1135,976,253,676,2809,813,151,491,66,7366,489,1079,187,2280,720,344,83,407,66,5644,151,314,107,184,188,161,21,93,12,1220,266,72,740,585,407,333,91,309,32,2834,0,0,0,16,5,8,0,6,3,50,42,95,36,78,65,31,16,36,14,424,92,80,62,175,149,106,30,142,125,962,3441,9486,2453,7046,5734,2394,693,2231,421,33902,298,721,309,121,142,61,65,148,20,1877,153,227,189,76,99,78,65,135,13,1022,1585,1343,8039,297,468,304,1794,1127,247,15211,573,235,2413,128,153,103,597,572,69,4837,675,421,514,150,175,143,260,465,47,2841,555,4210,475,1450,557,223,188,293,60,8014,681,3571,197,1635,446,205,173,249,28,7178,2081,1654,655,876,3123,1126,465,771,123,10865,704,1477,314,2786,797,419,204,581,80,7360,225,474,232,242,203,197,74,185,23,1854
RA52,401,2547,219,1036,412,169,50,171,26,5023,558,2308,71,1088,332,92,49,108,25,4636,883,706,150,463,2083,549,110,343,57,5346,364,873,109,1518,523,232,72,279,37,4008,89,193,66,105,131,79,28,67,10,761,227,51,452,427,324,204,73,218,14,1983,0,3,9,9,3,9,0,8,0,44,39,47,22,68,37,15,11,23,4,255,86,52,54,146,101,72,32,113,91,748,3063,7393,1483,5101,4302,1596,551,1638,290,25414,265,600,164,93,101,37,43,91,12,1400,73,128,112,50,72,50,65,82,8,630,1465,914,5748,285,250,241,1418,1036,153,11503,470,149,1474,110,82,74,359,322,45,3090,1138,422,431,158,205,176,326,552,46,3450,517,3275,269,1191,440,173,116,217,36,6239,757,2977,125,1163,350,102,121,147,38,5791,1671,1150,336,598,2295,757,324,526,82,7750,516,1203,200,1951,572,293,165,398,48,5350,137,282,133,149,149,124,59,120,13,1172
RA53,249,1194,81,308,220,62,44,57,16,2231,331,1228,50,434,176,49,30,62,14,2363,586,347,141,269,1134,277,84,207,32,3078,233,403,55,591,299,84,39,113,23,1834,66,117,29,66,80,22,13,21,5,420,123,34,171,209,176,84,48,103,16,975,4,0,0,3,4,0,0,5,0,17,23,16,16,25,30,10,7,14,5,144,48,47,25,70,86,34,9,75,60,452,1890,3667,801,2057,2397,686,365,787,187,12834,124,180,94,40,64,18,13,32,4,569,48,32,61,28,31,24,20,28,8,272,958,699,3695,121,230,110,733,485,133,7158,254,67,759,46,46,27,241,213,36,1681,560,163,158,49,88,42,141,189,17,1405,316,1475,116,366,228,67,87,75,20,2748,428,1512,103,456,185,54,69,82,23,2914,1066,521,339,341,1255,372,207,314,66,4482,330,551,110,779,329,98,93,164,28,2479,87,159,72,77,92,30,27,46,8,599
RA54,88,531,36,163,100,25,45,68,8,1060,173,632,22,244,81,17,22,22,13,1236,279,142,65,149,453,104,87,112,23,1425,126,183,30,276,138,45,54,91,13,976,21,40,8,41,35,10,7,35,0,206,60,19,98,84,95,46,50,91,13,554,0,3,0,0,0,0,0,0,0,7,16,6,8,7,18,6,8,8,5,84,18,43,14,61,36,27,19,38,53,302,898,1786,388,1126,1070,305,373,559,141,6652,63,186,71,53,30,15,32,26,3,479,11,25,21,7,14,6,20,19,0,132,413,472,2316,115,85,31,642,309,81,4466,132,41,397,45,32,17,238,138,27,1076,197,132,68,53,69,18,93,106,10,743,123,698,60,223,111,34,88,94,8,1433,242,819,48,272,91,18,79,36,20,1625,490,229,181,214,521,145,188,185,37,2188,173,282,75,430,162,57,114,140,17,1457,38,63,22,54,39,20,29,50,7,328
RA55,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,6,0,23,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,4,25,39,0,6,0,10,24,6,110,0,0,5,0,0,0,5,10,0,16,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,6,0,3,7,3,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,3
RA59,5,54,6,25,4,4,0,10,3,103,0,7,0,18,7,3,0,8,0,48,17,11,11,15,33,10,3,21,3,124,5,20,0,34,11,3,0,12,3,96,8,12,0,5,5,0,0,7,0,39,0,0,7,7,3,3,0,13,0,41,0,0,0,0,0,0,0,3,0,6,0,0,0,5,0,0,0,0,0,3,0,0,5,5,0,0,0,0,4,9,39,129,29,126,71,28,15,88,10,532,3,13,5,7,0,0,0,12,0,37,5,6,3,0,0,0,0,0,0,14,12,43,105,6,9,3,34,30,0,245,6,3,34,0,4,3,12,17,4,77,0,3,6,4,0,0,0,9,0,26,3,59,9,32,4,4,3,16,3,125,0,14,5,18,7,4,0,9,0,64,31,28,13,19,38,17,8,30,3,190,11,30,7,45,16,8,5,24,3,144,10,19,3,13,10,0,0,8,0,63
RA61,446,7604,353,1925,625,255,34,127,62,11434,576,4424,85,1477,467,109,14,85,31,7283,2296,2601,319,1949,5027,1413,89,739,228,14668,1080,3214,263,4143,1452,477,62,406,144,11251,318,975,154,358,377,192,23,95,16,2500,393,152,1077,918,646,409,40,355,44,4035,9,7,0,19,14,14,0,13,3,72,115,226,44,151,158,56,9,28,27,813,86,144,65,256,203,121,20,143,169,1205,5987,21336,3045,11856,9635,3397,380,2443,779,58846,612,2198,511,346,331,152,71,189,46,4447,563,1468,751,429,357,301,239,475,65,4648,1767,2368,5563,597,626,460,1177,1232,193,13994,1573,756,3789,208,204,164,296,467,94,7555,580,586,585,217,196,131,152,366,40,2856,647,10183,443,2466,707,314,104,210,98,15176,880,6061,166,1709,547,148,51,137,52,9748,4987,4748,1324,3015,6435,2418,951,1790,416,26078,1812,4851,527,5594,1878,663,219,655,208,16414,522,1705,421,557,505,337,86,227,42,4401
RA62,318,2687,203,1017,277,135,27,121,35,4817,308,2040,48,930,190,87,10,73,17,3704,928,726,163,562,2307,661,71,359,54,5839,442,1040,154,2566,594,253,42,372,72,5528,125,260,65,115,121,69,21,59,6,843,260,69,664,533,284,271,43,311,31,2452,4,3,0,9,0,8,0,7,0,29,42,53,13,70,54,25,3,32,18,313,79,57,54,188,123,117,16,171,84,889,2890,7432,1684,6184,4228,1743,300,1842,338,26640,254,429,161,91,103,27,28,90,8,1187,105,258,171,59,78,50,43,111,17,898,1169,777,4260,289,319,224,1241,1016,151,9452,979,173,1903,102,93,89,311,392,54,4097,1045,341,474,120,138,106,284,564,48,3116,432,3461,255,1227,307,153,53,166,52,6115,469,2677,105,1013,223,112,41,122,28,4782,1784,1238,433,753,2638,920,320,679,114,8884,647,1486,265,3116,689,312,131,483,91,7219,186,431,141,173,151,95,40,115,15,1339
RA63,13,52,6,23,11,3,0,11,0,114,21,73,0,28,11,4,0,8,0,145,40,17,4,60,62,25,0,29,4,235,13,20,0,67,15,3,0,20,3,146,9,15,0,3,3,0,0,0,0,34,24,0,18,25,18,9,0,20,3,120,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,12,6,0,0,9,3,7,0,11,4,39,143,187,40,224,136,64,15,125,15,953,8,17,4,8,3,0,3,5,0,45,9,5,7,0,0,0,4,13,0,38,42,42,151,16,16,3,80,63,4,416,39,3,43,3,0,0,18,18,4,124,57,17,10,3,5,3,6,32,0,135,13,73,0,28,16,6,3,11,0,149,26,81,9,33,12,4,0,15,4,184,78,25,34,76,73,33,11,78,10,423,22,25,8,76,13,5,0,29,3,181,9,20,4,6,3,0,0,6,0,52
RA64,14,36,0,8,10,0,0,3,0,70,15,32,0,8,8,0,0,5,0,66,19,4,0,8,23,0,0,11,0,76,3,3,5,21,14,4,0,6,0,54,0,3,0,0,0,0,0,0,0,9,0,0,5,5,13,0,0,9,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,6,0,4,0,15,75,83,18,59,64,20,0,41,3,367,6,3,4,0,5,0,0,0,0,11,0,0,5,0,0,0,0,0,0,0,30,7,56,0,4,4,16,32,6,152,22,3,18,0,0,0,4,3,0,55,32,4,0,3,3,8,3,20,3,86,19,43,0,9,6,0,0,4,0,87,17,38,0,8,9,0,0,3,0,84,41,4,7,8,28,4,3,16,0,116,10,7,5,27,14,4,0,12,0,71,4,7,4,3,0,0,0,0,0,23
