RA_CODE_2021,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
RA23,0,0,0,22,8,0,0,0,0,0,0,0,0,0,7,20,0,0,0,0,0,0,0,0,0,0,3,3,39,8,0,97,6,27,11,14,3,32,10,252
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA30,552,1216,110,88431,3857,657,440,3181,800,1847,360,839,499,1689,14714,28885,271,37,238,253,112,138,36,38,93,213,1267,2697,96886,18296,4794,106396,23332,59182,7456,19146,6339,26973,16806,385606
RA31,90,192,20,13429,1362,196,141,1153,216,619,124,267,129,660,7522,12372,99,6,102,95,32,36,12,22,26,108,369,900,22939,4117,1235,27738,4321,14138,1782,4703,1578,8625,8164,99334
RA32,77,112,16,9880,1166,144,83,854,157,410,91,200,83,393,5299,8876,100,7,59,62,11,15,7,4,33,77,294,681,17660,2663,768,18786,2757,8918,1114,2973,997,4657,5758,67048
RA33,3,10,3,1075,254,12,15,124,11,58,8,24,10,50,465,1023,26,3,11,12,0,6,0,0,5,6,40,115,1985,187,129,1638,297,981,97,196,94,480,531,6621
RA34,3,5,4,497,235,20,9,87,8,66,9,19,11,80,358,899,15,0,12,0,0,7,0,0,9,22,70,135,1385,154,78,835,165,577,61,214,77,711,465,4714
RA35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA40,134,417,36,28782,1546,288,109,1593,196,762,138,380,157,760,5428,11370,70,19,62,100,39,50,12,17,35,101,331,831,34546,8422,1218,49577,6175,22407,2220,8671,1640,12982,6113,153963
RA41,20,35,4,2337,300,66,15,378,34,130,31,80,26,105,974,2150,19,0,12,19,6,14,7,3,4,13,40,129,3908,1061,190,6034,716,2345,335,955,253,1351,1069,18227
RA42,15,37,3,1731,370,45,25,399,37,94,15,56,15,97,1077,2238,24,6,12,14,4,3,7,3,7,25,72,179,3860,829,241,6169,704,2307,315,888,234,1477,1213,18239
RA43,3,3,0,515,94,12,8,99,15,18,4,7,8,18,296,570,5,0,0,5,0,5,0,0,3,0,9,23,854,226,60,1456,194,501,91,161,55,187,317,4096
RA44,0,0,0,82,36,5,5,27,4,8,0,10,0,25,73,202,0,0,4,0,0,0,0,3,3,12,22,47,249,49,17,298,39,110,21,79,18,227,103,1213
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA50,506,864,82,63279,2637,477,273,2706,393,1491,243,642,300,1206,20367,30735,147,16,151,157,56,72,22,18,63,100,795,1600,54282,10663,2186,79895,9831,44653,3622,11797,3409,15476,21700,257513
RA51,64,35,7,3689,408,85,37,458,60,205,44,78,40,167,2854,4440,25,3,18,31,7,16,3,0,4,10,88,201,4604,1060,298,7749,858,3731,544,1021,423,1356,2986,24619
RA52,34,27,4,2750,374,56,26,352,53,132,29,53,15,114,1711,2920,10,3,14,16,3,6,5,5,10,12,77,161,3855,762,208,5507,666,2760,313,748,287,941,1836,17891
RA53,48,7,6,2447,273,23,15,220,25,71,9,18,15,29,757,1455,9,0,8,12,6,0,3,0,3,13,41,99,2431,267,120,2783,455,1402,161,212,167,348,836,9185
RA54,4,0,5,682,113,13,9,64,10,34,3,14,9,75,345,692,8,0,3,5,0,0,4,5,0,16,45,96,956,142,83,881,161,594,73,194,90,863,418,4465
RA55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA61,36,90,4,5770,469,117,32,472,68,189,37,82,29,198,1213,2909,12,0,12,17,0,7,5,6,4,21,80,166,7607,2446,350,12138,1470,4598,539,2005,389,2796,1362,35699
RA62,14,29,5,1679,277,71,26,387,39,139,35,84,41,147,969,2217,8,0,11,15,5,5,3,4,3,14,54,130,3364,1055,226,6123,781,2663,380,1171,317,1822,1081,18970
RA63,0,5,0,37,19,4,0,12,3,9,0,6,0,10,30,94,0,0,0,0,0,0,0,0,0,0,0,3,100,32,11,149,20,97,15,24,6,87,30,572
RA64,0,0,0,23,12,4,0,0,0,3,0,0,0,0,7,27,0,0,0,0,0,0,0,0,0,0,0,5,49,16,7,68,6,24,3,12,0,5,11,203
RA65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA72,36,52,5,3752,311,21,18,109,39,86,17,25,20,56,1321,2020,7,0,16,9,3,0,0,0,9,7,51,102,5479,564,193,3402,809,2149,217,521,197,739,1408,15671
RA73,5,3,0,726,98,5,7,32,9,26,9,17,8,69,302,586,4,0,0,0,0,4,0,0,5,11,29,65,1374,172,62,826,185,555,49,180,58,659,368,4496
RA74,0,0,0,205,41,11,4,23,6,34,0,38,16,172,86,430,6,0,9,0,0,4,0,4,3,35,73,126,531,123,60,311,56,452,20,370,76,2023,193,4208
RA75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA80,86,337,10,21650,649,49,43,323,75,200,29,74,39,145,1373,3012,38,0,15,11,11,11,0,3,10,16,90,200,19268,2237,621,14739,2931,6971,728,1936,458,2749,1547,54184
RA81,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,30,7,0,31,8,7,0,0,0,0,0,86
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,5,5,0,0,0,0,3,9,18
RA94,0,0,0,48,11,0,0,7,0,0,0,0,0,0,20,50,0,0,0,0,0,0,0,0,0,0,0,0,117,26,14,111,14,47,5,23,6,16,20,396
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
