RA_CODE_2021,POL_Tamil_UOLSE_NWorNAA,POL_Tamil_UOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_UOLSE_VWorW,POL_Thai_UOLSE_NWorNAA,POL_Thai_UOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_UOLSE_VWorW,POL_Turkish_UOLSE_NWorNAA,POL_Turkish_UOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_UOLSE_VWorW,POL_Vietnamese_UOLSE_NWorNAA,POL_Vietnamese_UOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_UOLSE_VWorW,POL_Oth_UOLSE_NWorNAA,POL_Oth_UOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_UOLSE_VWorW,POL_Tot_UOLSE_NWorNAA,POL_Tot_UOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LUatH_NS_SEO,P_LUatH_NS_UOLSE_VWorW,P_LUatH_NS_UOLSE_NWorNAA,P_LUatH_NS_UOLSE_Tot,P_LUatH_NS_NS,P_LUatH_NS_Tot,P_Tot_SEO,P_Tot_UOLSE_VWorW,P_Tot_UOLSE_NWorNAA,P_Tot_UOLSE_Tot,P_Tot_NS,P_Tot_Tot
RA23,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,6,0,3,0,3,..,20,3,23,0,23,..,84,14,95,0,100,..,6,0,6,266,274,2932,89,14,101,267,3305
RA25,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,27,27,13,5,0,5,27,38
RA29,0,6,0,6,..,7,0,7,0,7,..,25,13,32,0,35,..,32,14,42,0,42,..,187,40,227,6,229,..,794,171,962,15,977,..,37,7,45,3575,3624,4485,834,179,1012,3592,9089
RA30,336,6098,62,6160,..,6412,1307,7721,56,7778,..,2115,322,2442,25,2465,..,20235,7980,28215,216,28433,..,72882,12867,85749,1738,87485,..,471662,72004,543663,5902,549570,..,12740,1926,14665,153247,167918,2613648,484399,73932,558335,159155,3331137
RA31,78,677,9,692,..,1086,310,1402,9,1405,..,152,39,189,0,189,..,994,482,1473,23,1500,..,10673,2565,13241,309,13544,..,47125,7280,54404,774,55188,..,2807,362,3174,65096,68273,874354,49936,7647,57581,65875,997806
RA32,27,429,0,432,..,1107,231,1332,10,1342,..,105,13,121,0,122,..,895,307,1204,12,1218,..,15736,2116,17856,427,18280,..,51729,6706,58440,860,59296,..,3100,374,3474,64477,67951,561262,54830,7078,61908,65336,688508
RA33,0,33,0,33,..,65,17,80,0,80,..,9,3,10,0,10,..,38,15,50,0,50,..,2466,147,2611,89,2698,..,5125,367,5495,132,5625,..,319,50,369,8566,8931,56803,5440,416,5861,8694,71351
RA34,0,7,0,7,..,33,6,31,0,38,..,0,0,0,0,0,..,58,77,134,0,136,..,8258,1409,9665,285,9944,..,9130,1567,10692,304,10998,..,359,71,430,5903,6336,35146,9486,1633,11119,6209,52481
RA35,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,19,0,21,0,22,..,0,0,0,128,128,32,19,0,21,130,183
RA39,0,0,0,0,..,13,3,18,0,18,..,5,0,5,0,5,..,21,5,23,0,23,..,272,31,300,7,316,..,1031,135,1163,19,1184,..,56,4,62,3455,3517,9972,1085,140,1226,3475,14670
RA40,151,3134,29,3160,..,1661,350,2011,21,2030,..,630,83,711,9,716,..,14830,6168,20995,132,21125,..,35608,8942,44545,883,45428,..,247661,43610,291272,2924,294193,..,5110,981,6088,45062,51148,998854,252768,44593,297361,47989,1344200
RA41,4,31,0,31,..,133,20,146,4,156,..,37,14,53,0,53,..,235,166,404,0,405,..,1189,176,1369,42,1414,..,5834,851,6683,100,6788,..,384,17,393,9053,9450,159066,6212,870,7084,9154,175307
RA42,8,127,8,136,..,154,38,193,0,190,..,70,16,87,0,87,..,210,68,275,0,275,..,2148,723,2874,71,2945,..,9117,1810,10924,177,11101,..,609,64,674,14312,14986,175168,9729,1874,11599,14493,201259
RA43,0,6,0,8,..,36,11,48,0,48,..,5,0,4,0,5,..,26,4,29,0,29,..,275,40,312,13,324,..,1500,129,1631,28,1660,..,117,12,124,3377,3502,38434,1617,140,1757,3404,43592
RA44,0,5,0,5,..,9,0,9,0,9,..,0,0,0,0,0,..,3,0,3,0,3,..,2222,256,2476,154,2636,..,2750,302,3051,178,3229,..,115,18,128,1253,1378,9163,2859,319,3174,1429,13768
RA45,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,8,0,8,0,8,..,0,0,0,5,5,0,8,0,8,5,12
RA49,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,9,0,8,0,8,..,85,10,92,11,105,..,270,33,302,11,314,..,32,6,32,770,806,2261,300,34,334,777,3377
RA50,564,8342,95,8439,..,5461,916,6382,41,6426,..,1560,365,1927,11,1940,..,15200,6319,21510,161,21674,..,63051,9980,73030,1398,74423,..,382301,54075,436375,4681,441060,..,9808,1382,11192,92887,104082,1542535,392109,55458,447565,97568,2087667
RA51,4,90,0,89,..,310,59,374,3,373,..,17,0,17,0,17,..,225,118,346,6,347,..,2291,359,2654,78,2723,..,12736,1398,14133,210,14343,..,649,47,696,17548,18241,198858,13386,1442,14828,17760,231450
RA52,0,106,4,109,..,346,69,415,0,414,..,23,0,21,0,21,..,251,101,354,4,351,..,2853,523,3367,76,3447,..,11676,1405,13081,180,13262,..,664,81,747,16893,17641,153328,12345,1487,13826,17076,184237
RA53,4,67,0,67,..,315,40,355,6,355,..,22,3,29,0,30,..,120,20,136,0,136,..,2191,123,2315,55,2374,..,7411,504,7913,122,8041,..,573,46,623,11893,12511,66881,7987,550,8535,12013,87426
RA54,0,35,0,36,..,158,33,187,3,193,..,8,0,11,0,11,..,148,84,233,3,232,..,7533,607,8140,209,8353,..,10575,935,11513,273,11783,..,428,193,622,11408,12029,36859,11007,1127,12133,11680,60672
RA55,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,11,0,11,0,11,..,61,3,66,0,66,..,0,0,0,219,221,232,59,3,65,218,514
RA59,3,4,0,4,..,3,0,3,0,3,..,0,0,0,0,0,..,10,0,15,0,15,..,97,16,114,3,117,..,432,51,479,9,486,..,70,5,78,3411,3488,4079,497,56,555,3421,8055
RA61,23,396,3,396,..,386,48,443,5,449,..,72,11,78,0,78,..,1135,165,1301,18,1318,..,3965,923,4889,167,5054,..,36186,4277,40462,497,40965,..,1037,158,1196,14435,15625,288897,37224,4434,41656,14936,345491
RA62,5,64,0,64,..,132,27,163,0,163,..,14,8,18,0,18,..,102,31,135,5,134,..,1273,155,1437,39,1477,..,6307,598,6907,105,7009,..,443,18,463,11517,11980,180745,6756,618,7371,11621,199732
RA63,0,6,0,6,..,10,0,9,0,9,..,0,0,0,0,0,..,7,0,10,0,9,..,66,3,69,0,71,..,488,22,507,5,515,..,13,0,16,827,843,7061,504,23,525,835,8423
RA64,0,0,0,0,..,3,0,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,20,0,20,0,20,..,107,10,117,0,120,..,11,0,11,224,233,2181,122,10,128,226,2533
RA65,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,3,3,11,0,0,0,3,19
RA69,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,18,3,27,0,23,..,63,11,73,3,74,..,4,0,4,314,325,978,70,11,77,318,1377
RA72,39,487,6,488,..,694,183,873,5,878,..,37,5,45,0,45,..,992,319,1312,3,1319,..,4116,581,4703,136,4836,..,29227,3351,32576,399,32976,..,870,135,1002,12647,13650,93277,30097,3486,33584,13042,139902
RA73,5,34,0,34,..,101,12,116,0,116,..,8,3,7,0,7,..,143,82,223,0,223,..,7672,988,8656,198,8856,..,12071,1424,13498,264,13757,..,407,73,478,4766,5246,28042,12480,1496,13977,5025,47048
RA74,0,16,0,16,..,31,9,37,0,37,..,6,0,6,0,6,..,19,6,23,0,25,..,22325,3799,26116,638,26762,..,23433,3930,27363,676,28043,..,343,89,431,3315,3745,10269,23777,4018,27794,3992,42054
RA75,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,7,0,11,0,11,..,0,0,0,24,24,63,7,4,11,24,99
RA79,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,310,41,349,36,392,..,454,56,514,42,551,..,109,11,125,1214,1343,1605,567,70,636,1259,3500
RA80,102,2387,25,2417,..,1059,224,1280,11,1291,..,348,30,384,11,391,..,4036,950,4985,41,5029,..,14216,1746,15966,307,16261,..,99376,11083,110451,1104,111557,..,1770,256,2031,16777,18804,322837,101148,11334,112484,17878,453198
RA81,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,18,0,18,0,18,..,6,0,6,52,52,618,22,0,22,52,690
RA85,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0
RA89,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,18,3,19,0,19,..,71,10,78,0,81,..,5,0,5,125,130,400,76,10,82,127,605
RA91,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,9,0,9,..,13,0,14,0,13,..,0,0,0,91,92,200,13,0,14,94,310
RA94,0,4,0,4,..,5,5,6,0,6,..,0,0,0,0,0,..,0,4,4,0,4,..,703,19,720,8,728,..,1552,348,1898,27,1926,..,15,10,21,771,794,1751,1568,356,1919,797,4473
RA95,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0
RA99,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,3,5,0,5,..,0,0,0,3,3,5,3,3,5,3,11
