RA_CODE_2021,Age_yr_55_P,Age_yr_56_M,Age_yr_56_F,Age_yr_56_P,Age_yr_57_M,Age_yr_57_F,Age_yr_57_P,Age_yr_58_M,Age_yr_58_F,Age_yr_58_P,Age_yr_59_M,Age_yr_59_F,Age_yr_59_P,Age_yr_55_59_M,Age_yr_55_59_F,Age_yr_55_59_P,Age_yr_60_M,Age_yr_60_F,Age_yr_60_P,Age_yr_61_M,Age_yr_61_F,Age_yr_61_P,Age_yr_62_M,Age_yr_62_F,Age_yr_62_P,Age_yr_63_M,Age_yr_63_F,Age_yr_63_P,Age_yr_64_M,Age_yr_64_F,Age_yr_64_P,Age_yr_60_64_M,Age_yr_60_64_F,Age_yr_60_64_P,Age_yr_65_M,Age_yr_65_F,Age_yr_65_P,Age_yr_66_M,Age_yr_66_F,Age_yr_66_P,Age_yr_67_M,Age_yr_67_F,Age_yr_67_P,Age_yr_68_M,Age_yr_68_F,Age_yr_68_P,Age_yr_69_M,Age_yr_69_F,Age_yr_69_P,Age_yr_65_69_M,Age_yr_65_69_F,Age_yr_65_69_P,Age_yr_70_M,Age_yr_70_F,Age_yr_70_P,Age_yr_71_M,Age_yr_71_F,Age_yr_71_P,Age_yr_72_M,Age_yr_72_F,Age_yr_72_P,Age_yr_73_M,Age_yr_73_F,Age_yr_73_P,Age_yr_74_M,Age_yr_74_F,Age_yr_74_P,Age_yr_70_74_M,Age_yr_70_74_F,Age_yr_70_74_P,Age_yr_75_M,Age_yr_75_F,Age_yr_75_P,Age_yr_76_M,Age_yr_76_F,Age_yr_76_P,Age_yr_77_M,Age_yr_77_F,Age_yr_77_P,Age_yr_78_M,Age_yr_78_F,Age_yr_78_P,Age_yr_79_M,Age_yr_79_F,Age_yr_79_P,Age_yr_75_79_M,Age_yr_75_79_F,Age_yr_75_79_P,Age_yr_80_84_M,Age_yr_80_84_F,Age_yr_80_84_P,Age_yr_85_89_M,Age_yr_85_89_F,Age_yr_85_89_P,Age_yr_90_94_M,Age_yr_90_94_F,Age_yr_90_94_P,Age_yr_95_99_M,Age_yr_95_99_F,Age_yr_95_99_P,Age_yr_100_yr_over_M,Age_yr_100_yr_over_F,Age_yr_100_yr_over_P,Tot_M,Tot_F,Tot_P
RA23,54,25,25,42,34,31,59,32,38,67,40,36,74,156,137,299,41,28,74,35,28,69,39,42,80,34,42,73,38,32,65,186,180,363,46,26,72,24,34,61,40,28,66,40,29,63,35,23,59,184,137,323,30,20,54,28,15,47,9,14,23,23,22,50,45,27,73,143,102,245,27,15,42,23,22,52,12,22,32,24,20,38,10,17,29,93,99,191,66,59,123,38,39,76,15,32,41,4,7,15,0,0,0,1728,1579,3305
RA25,0,5,6,9,0,0,0,0,0,0,0,0,0,5,6,9,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,6,0,6,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,6,38
RA29,145,56,43,92,56,42,98,59,46,104,82,41,120,353,212,563,75,49,126,51,47,100,61,46,105,56,39,98,48,41,87,288,217,511,71,33,102,52,35,80,46,36,84,64,21,88,37,20,58,271,141,418,35,16,51,17,19,42,25,9,37,16,13,26,25,14,34,116,74,194,31,14,44,15,15,24,8,8,20,12,8,18,12,0,15,70,42,120,20,14,34,7,14,26,5,0,3,0,3,3,0,0,0,5170,3915,9089
RA30,38095,18412,19535,37953,18948,20089,39036,18631,20302,38936,18226,19859,38089,92664,99444,192103,18150,19722,37873,17187,18522,35711,16651,18341,34994,15881,17921,33800,15592,17248,32838,83461,91761,175220,15449,16924,32372,14792,16447,31237,14167,16134,30302,14116,16018,30130,14007,15624,29627,72523,81140,153669,13616,15294,28912,13467,15037,28504,13176,14645,27819,13009,14155,27168,13634,15119,28756,66898,74260,141157,11025,12214,23244,10456,11741,22194,9659,10764,20425,8171,9309,17476,8112,9078,17185,47423,53097,100523,29386,35404,64789,15373,21842,37219,6710,12243,18945,1455,3779,5236,151,524,668,1628118,1703021,3331137
RA31,12562,6270,6893,13165,6630,7183,13811,6859,7270,14127,7067,7428,14498,32926,35242,68164,7119,7370,14489,6748,7345,14095,6840,7090,13934,6657,7082,13731,6608,6770,13374,33971,35648,69620,6464,6843,13301,6395,6752,13152,6319,6561,12878,6446,6239,12689,6236,6276,12516,31859,32666,64526,6166,6166,12330,6001,6173,12180,5798,5868,11668,5766,5607,11379,5883,5857,11742,29619,29677,59298,4897,4795,9686,4690,4688,9380,4170,4221,8388,3670,3826,7494,3479,3623,7102,20899,21154,42052,12338,13818,26153,6170,8072,14244,2374,3981,6357,480,1117,1599,30,149,179,493146,504663,997806
RA32,8897,4546,4494,9041,4753,4638,9394,4813,4822,9633,4782,4811,9595,23365,23192,46560,4781,4742,9532,4726,4599,9326,4530,4333,8863,4469,4323,8790,4273,4149,8419,22781,22143,44919,4200,3966,8167,4139,3956,8097,3924,3842,7767,3973,3671,7651,3887,3414,7300,20126,18853,38981,3745,3264,7012,3495,3299,6791,3358,3100,6456,3162,3032,6197,3361,3059,6414,17119,15749,32869,2720,2471,5189,2547,2473,5021,2309,2253,4563,1920,1950,3875,1788,1879,3665,11288,11025,22314,6758,6951,13710,3225,3960,7181,1196,2008,3204,231,552,788,10,81,89,346876,341633,688508
RA33,946,514,415,931,556,487,1041,563,475,1032,577,460,1035,2685,2309,4987,541,447,990,502,424,928,520,430,951,456,371,827,525,364,894,2548,2043,4588,412,359,765,425,359,779,413,317,731,392,310,701,385,300,684,2024,1643,3665,344,293,634,344,278,627,335,245,579,321,235,558,345,258,602,1691,1311,3005,233,194,431,238,179,416,235,208,441,167,151,321,172,153,325,1052,888,1940,631,530,1160,249,293,541,91,128,223,17,27,45,0,9,9,37500,33851,71351
RA34,691,346,366,708,397,328,725,354,315,669,336,320,656,1771,1682,3452,347,386,730,348,279,627,355,289,641,338,284,622,308,275,583,1690,1515,3207,317,256,572,300,225,527,265,184,453,226,216,441,227,181,413,1334,1060,2398,206,196,398,196,167,360,183,159,336,186,145,331,180,157,337,945,825,1768,144,130,276,137,135,268,127,100,232,110,96,209,115,105,222,633,573,1205,381,325,702,155,212,368,61,99,158,11,25,36,0,6,3,26748,25733,52481
RA35,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,28,183
RA39,195,108,74,181,103,93,200,135,113,247,145,132,279,582,521,1101,143,138,281,158,122,278,130,133,257,145,131,272,139,137,277,715,652,1367,143,151,297,147,88,238,139,129,272,139,99,244,149,71,223,730,535,1269,134,85,225,120,88,208,101,52,154,92,59,149,73,53,131,525,330,854,63,30,98,53,25,81,45,23,65,33,24,65,30,12,41,220,124,348,63,37,101,17,18,35,0,4,7,0,4,4,0,0,0,7861,6807,14670
RA40,16234,8000,8449,16453,8088,8503,16596,8096,8521,16621,7910,8549,16460,39991,42363,82356,8065,8647,16712,7724,8399,16124,7572,8332,15903,7364,7993,15352,7052,8067,15118,37770,41438,79212,6881,7842,14718,6858,7551,14416,6502,7526,14026,6526,7409,13929,6388,7183,13569,33149,37514,70663,6181,7197,13377,6152,6947,13103,5848,6809,12655,5846,6703,12540,6346,7077,13419,30375,34727,65103,4986,5800,10785,4573,5429,10004,4279,4966,9238,3847,4642,8482,3698,4348,8047,21376,25181,46555,14173,18573,32747,8460,12253,20712,3914,7177,11090,951,2404,3355,113,335,445,658606,685593,1344200
RA41,2330,1212,1318,2529,1295,1351,2649,1325,1419,2748,1299,1419,2713,6287,6686,12972,1423,1371,2790,1372,1388,2758,1327,1491,2813,1367,1359,2722,1369,1349,2715,6851,6946,13797,1298,1382,2686,1323,1296,2615,1241,1352,2596,1371,1327,2694,1290,1313,2603,6521,6674,13196,1258,1366,2624,1300,1255,2557,1220,1228,2450,1176,1218,2389,1239,1291,2526,6195,6357,12556,1117,1033,2153,964,973,1938,891,888,1772,780,781,1556,714,763,1479,4462,4446,8902,2646,2743,5386,1316,1596,2913,537,892,1432,126,292,421,11,37,48,86964,88342,175307
RA42,2754,1446,1331,2771,1474,1466,2936,1549,1512,3069,1601,1502,3098,7451,7179,14630,1588,1642,3230,1551,1553,3105,1538,1497,3034,1539,1436,2975,1499,1448,2945,7716,7576,15285,1556,1435,2994,1478,1405,2884,1568,1337,2896,1454,1424,2873,1384,1361,2744,7440,6962,14399,1364,1310,2677,1389,1321,2711,1380,1233,2613,1180,1153,2336,1324,1334,2649,6639,6355,12990,997,1083,2075,1014,1071,2085,944,942,1892,774,852,1623,721,799,1518,4444,4744,9188,2869,3308,6175,1456,1948,3403,625,1029,1656,132,342,467,11,48,64,101624,99636,201259
RA43,592,329,288,617,299,277,575,339,345,681,378,293,673,1651,1491,3143,345,322,665,348,336,681,351,345,698,322,297,621,321,327,650,1688,1621,3314,313,311,627,310,274,580,318,275,594,322,283,603,282,270,553,1551,1412,2960,294,253,542,265,253,516,262,256,522,251,246,499,266,266,531,1333,1277,2609,216,181,395,215,180,404,191,190,378,180,174,355,175,160,341,980,890,1868,546,544,1090,299,360,657,114,199,312,30,56,83,6,8,9,22358,21242,43592
RA44,172,91,70,168,107,87,193,109,91,201,127,109,231,525,436,959,135,94,225,93,87,181,93,86,177,93,87,178,119,89,209,530,441,969,94,90,189,112,81,195,88,83,178,108,68,170,73,77,149,475,394,874,99,55,157,70,76,141,70,53,117,57,57,118,69,35,101,364,269,633,53,30,84,65,51,114,45,27,74,38,42,80,42,29,71,245,183,426,152,98,252,61,61,121,32,57,86,13,10,20,0,0,0,7163,6607,13768
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12
RA49,58,29,18,50,35,17,46,18,19,39,19,24,46,152,97,241,42,23,69,36,26,57,35,20,53,29,14,46,26,15,46,161,106,265,32,17,48,19,27,48,27,15,37,16,15,35,26,7,35,121,83,205,14,12,23,28,9,38,25,9,35,14,5,16,10,20,34,94,58,150,5,3,6,7,5,10,9,3,11,4,4,7,11,0,12,31,15,44,7,17,18,4,5,4,0,6,3,0,0,4,0,0,0,1873,1506,3377
RA50,24624,11995,12595,24588,12281,12723,25000,12299,12667,24965,11915,12414,24329,60572,62939,123506,11661,12205,23867,11217,12036,23249,10772,11687,22461,10502,11276,21771,10124,11053,21182,54271,58262,112534,10278,11050,21326,9600,10876,20477,9221,10508,19734,9139,10166,19304,8929,9816,18747,47175,52411,99586,8782,9437,18220,8479,9224,17699,8104,9100,17205,8153,8698,16850,8475,9139,17614,41995,45591,87588,6571,7015,13582,6139,6652,12790,5883,6432,12319,5028,5681,10714,5046,5590,10634,28670,31365,60035,18745,23047,41789,10217,14561,24777,4344,7671,12011,1022,2316,3339,84,350,432,1029106,1058569,2087667
RA51,3163,1571,1590,3162,1603,1630,3232,1622,1654,3284,1571,1672,3247,7963,8115,16078,1664,1761,3422,1561,1642,3200,1626,1643,3275,1473,1687,3155,1549,1514,3064,7871,8246,16116,1596,1607,3206,1405,1507,2917,1460,1409,2867,1369,1457,2825,1396,1342,2740,7226,7333,14557,1408,1377,2782,1322,1338,2657,1362,1219,2579,1261,1200,2461,1358,1304,2660,6708,6428,13140,988,973,1959,924,929,1849,868,864,1735,723,722,1446,714,726,1439,4212,4221,8431,2547,2752,5300,1216,1632,2840,476,799,1274,108,220,328,10,23,35,116314,115138,231450
RA52,2535,1281,1249,2533,1315,1280,2598,1425,1367,2788,1356,1385,2743,6665,6539,13205,1407,1370,2776,1313,1278,2598,1343,1365,2708,1287,1253,2545,1304,1205,2520,6659,6476,13137,1314,1240,2557,1246,1175,2418,1179,1117,2299,1154,1163,2315,1107,1135,2240,5991,5835,11825,1127,1023,2150,1091,988,2075,1019,963,1981,1006,927,1931,1013,943,1962,5251,4842,10098,774,791,1563,771,692,1460,717,686,1402,603,599,1204,629,629,1257,3498,3398,6893,2190,2332,4516,1137,1415,2560,445,643,1085,92,182,273,8,31,37,93046,91191,184237
RA53,1083,610,512,1123,646,515,1158,599,517,1115,588,499,1092,3019,2558,5573,636,479,1113,572,478,1048,497,442,932,514,405,914,524,400,922,2738,2195,4930,445,392,840,438,355,790,368,317,683,352,273,627,310,314,624,1909,1654,3560,332,285,609,292,220,508,295,244,538,280,230,512,280,221,505,1477,1199,2673,195,158,357,198,177,375,176,176,350,138,163,303,162,139,303,875,814,1686,532,504,1030,250,293,543,104,124,223,14,28,39,0,3,4,45432,42002,87426
RA54,821,432,305,735,433,331,762,442,306,751,437,327,763,2235,1592,3832,422,310,740,428,287,718,371,302,670,351,249,599,327,276,602,1898,1426,3330,310,249,560,259,172,434,241,158,397,253,158,411,219,142,364,1279,883,2164,217,158,375,171,122,298,141,120,264,130,110,243,135,94,229,795,612,1411,116,99,211,109,79,187,84,74,156,73,72,141,92,63,155,471,383,855,239,196,434,75,85,157,20,45,68,5,15,29,3,0,5,33874,26800,60672
RA55,4,10,0,10,0,0,0,11,0,11,4,0,4,26,0,26,11,0,12,10,0,10,6,3,7,5,0,8,0,0,0,27,3,34,4,0,4,0,0,4,5,0,3,0,0,0,5,0,3,9,3,13,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,455,58,514
RA59,133,55,47,105,41,49,89,63,45,110,69,46,114,330,226,552,99,64,172,47,37,84,65,49,117,64,45,107,66,48,116,339,250,588,69,64,128,61,47,111,40,27,67,51,37,91,49,32,83,268,204,478,50,39,86,37,29,71,31,14,45,28,17,48,24,7,37,176,112,281,25,14,41,27,10,36,20,4,17,10,4,13,6,0,7,88,26,114,29,15,42,7,12,17,3,9,13,4,0,4,0,0,0,4639,3416,8055
RA61,3749,1900,2110,4011,2052,2252,4305,1994,2213,4204,2165,2261,4428,9922,10784,20706,2089,2318,4407,1989,2220,4203,1963,2226,4186,1966,2134,4099,1897,2136,4031,9892,11033,20927,1930,2131,4052,1771,2046,3815,1680,2050,3726,1778,1971,3750,1708,2015,3720,8871,10200,19071,1632,1961,3591,1677,1860,3532,1550,1754,3299,1578,1723,3300,1765,1919,3686,8206,9210,17419,1256,1580,2835,1203,1428,2633,1198,1404,2603,1012,1188,2199,997,1190,2192,5667,6788,12452,3848,4845,8690,2020,3003,5021,887,1595,2481,171,474,648,12,65,82,168271,177214,345491
RA62,2739,1389,1430,2822,1532,1567,3099,1621,1624,3245,1636,1683,3314,7452,7770,15226,1636,1766,3407,1626,1746,3368,1636,1627,3263,1611,1558,3171,1495,1656,3151,7998,8363,16358,1604,1482,3084,1549,1499,3046,1428,1518,2948,1519,1454,2967,1547,1373,2922,7642,7321,14964,1465,1353,2816,1392,1410,2798,1315,1340,2658,1311,1311,2613,1370,1301,2676,6853,6712,13559,1091,1031,2120,946,1019,1961,944,930,1876,806,786,1594,769,730,1495,4560,4486,9050,2700,2913,5613,1311,1658,2969,465,793,1256,90,203,294,4,17,19,99008,100727,199732
RA63,133,73,64,142,68,81,145,57,71,127,95,89,185,355,381,732,96,85,182,77,69,150,77,77,157,86,78,163,93,87,179,435,390,829,73,87,161,92,63,155,80,71,149,74,72,141,95,65,160,423,355,773,85,51,138,75,57,130,63,59,112,62,46,111,65,51,120,346,267,614,45,44,86,61,30,90,40,37,78,32,36,66,31,21,52,210,160,369,106,101,212,50,57,104,26,19,46,0,3,9,0,0,0,4397,4026,8423
RA64,30,26,23,45,12,23,44,23,30,56,25,26,48,99,119,219,23,10,30,23,20,39,21,20,36,26,18,42,16,24,41,105,85,187,28,20,47,29,21,49,29,34,61,27,25,51,18,17,38,131,114,245,22,18,37,20,23,39,24,14,37,21,32,51,18,17,36,98,97,197,26,10,35,12,17,30,15,10,22,18,4,23,12,10,25,79,55,137,44,49,90,13,23,40,6,11,13,0,0,5,0,0,0,1312,1219,2533
RA65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,19
RA69,19,0,15,22,18,4,24,9,8,17,17,9,24,57,57,111,16,10,28,12,8,24,13,3,14,3,14,19,5,11,17,54,42,91,14,0,14,10,4,14,11,14,23,10,7,18,10,8,22,61,34,91,3,12,13,12,10,21,6,6,10,8,4,9,6,6,13,31,36,68,0,4,8,5,0,5,0,0,0,0,3,0,4,3,9,13,8,24,0,7,6,0,4,3,0,0,0,0,0,0,0,0,0,758,616,1377
RA72,1668,809,756,1575,774,744,1518,831,778,1609,824,732,1553,4082,3842,7923,748,779,1522,699,689,1389,712,633,1347,650,593,1243,602,607,1212,3416,3301,6714,604,522,1128,563,557,1123,559,529,1080,513,492,1002,499,428,922,2732,2525,5252,453,475,925,467,422,882,418,372,787,396,359,754,403,369,769,2133,1993,4120,309,274,575,255,238,492,240,211,452,211,178,392,203,188,395,1215,1086,2307,613,692,1306,256,287,547,95,137,232,23,31,53,0,0,3,70739,69161,139902
RA73,578,281,274,556,294,304,594,289,278,566,295,302,593,1442,1455,2891,288,289,577,236,248,484,257,250,508,243,248,492,261,236,495,1286,1271,2560,242,228,472,207,189,395,204,177,384,194,164,353,157,165,317,1005,919,1921,167,150,313,166,139,306,135,96,235,100,112,207,102,83,190,668,577,1247,86,78,169,79,60,136,60,59,121,69,59,127,53,50,105,356,313,663,201,201,404,60,102,158,26,50,79,3,9,12,0,4,5,23688,23355,47048
RA74,446,212,200,412,203,175,380,182,198,382,173,171,344,988,973,1966,222,184,410,135,158,296,139,171,310,140,157,296,125,144,267,764,813,1580,144,134,282,99,118,219,94,108,209,90,88,173,87,68,156,522,522,1044,75,86,163,71,53,121,58,54,112,54,42,96,50,42,99,313,278,593,42,35,76,38,31,63,18,34,53,32,16,45,29,14,39,148,130,281,73,78,152,25,27,55,6,6,15,0,6,8,0,0,0,21188,20863,42054
RA75,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,4,4,0,4,3,0,3,9,0,9,0,0,0,0,0,0,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,15,99
RA79,46,35,30,64,21,27,51,36,38,72,32,27,57,154,138,296,30,28,54,32,32,61,26,25,54,24,29,50,39,25,57,146,139,289,29,27,51,26,10,40,33,18,45,14,20,35,24,10,38,124,89,215,21,5,27,19,11,23,16,4,18,17,3,19,11,4,14,78,25,103,6,5,8,6,6,12,4,5,6,0,0,0,4,0,5,20,9,32,15,7,13,6,4,7,0,0,0,0,0,0,0,0,0,1826,1675,3500
