RA_CODE_2021,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
RA23,40,0,0,0,0,40,38,0,0,0,0,38,17,0,0,0,0,17,36,0,0,0,0,34,25,0,0,0,0,25,34,0,0,0,0,31,6,0,0,0,0,6,8,0,0,0,0,8,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,18,0,0,0,0,18,228,0,0,0,4,230
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA30,14693,1388,1437,13,17,17540,5235,756,476,4,3,6468,4289,694,516,6,0,5512,7830,1334,1049,18,16,10246,11674,2164,1808,13,17,15678,39951,7762,6330,34,52,54122,60134,8629,7195,32,71,76058,91187,6905,6335,39,73,104534,45719,2241,2230,8,22,50226,36349,1488,1781,11,38,39669,24734,886,1388,12,31,27053,21066,1901,1647,17,24,24659,362862,36153,32193,208,369,431771
RA31,5171,153,85,23,14,5451,2609,116,56,5,4,2787,2588,127,61,13,7,2789,5378,202,104,29,7,5725,8175,290,163,26,20,8670,24370,657,274,64,21,25381,24528,421,154,35,18,25157,22817,229,118,42,34,23238,8299,77,36,23,12,8453,5623,50,28,13,11,5726,3420,42,25,15,16,3518,7170,135,52,19,8,7387,120147,2497,1152,305,178,124280
RA32,3412,121,120,18,17,3685,1674,88,79,12,5,1855,1712,129,109,11,8,1956,3513,239,272,23,4,4046,5054,285,326,19,8,5691,14852,558,542,36,18,16010,15619,315,344,31,25,16329,14206,179,221,32,26,14661,4823,52,72,15,8,4964,3460,44,55,8,11,3569,2194,27,54,19,19,2312,4456,110,144,25,19,4756,74968,2140,2329,253,160,79847
RA33,451,8,3,6,10,486,156,6,0,0,0,161,159,4,0,0,0,169,295,4,5,6,0,306,398,8,0,3,4,405,938,19,6,10,3,980,806,10,3,3,0,825,773,11,5,8,4,799,256,0,6,4,0,264,210,0,0,0,0,213,210,0,0,3,0,216,424,0,7,3,4,437,5074,82,29,47,28,5261
RA34,269,12,0,7,17,310,100,0,0,0,0,103,149,5,0,0,0,153,210,0,0,7,0,217,217,13,0,0,0,231,340,11,0,6,7,369,203,11,0,5,0,214,201,10,0,10,4,225,74,8,0,5,0,85,58,4,0,0,3,65,112,5,0,11,9,136,181,3,0,3,10,194,2111,78,7,51,56,2299
RA35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA40,7764,1028,313,13,15,9136,3537,542,167,8,0,4250,3316,521,185,4,0,4027,6361,1034,421,11,10,7837,9413,1509,765,10,6,11702,30351,4124,1804,19,59,36357,33938,4051,1203,10,57,39255,32132,3608,729,12,63,36549,12414,1307,212,11,28,13972,10128,936,158,9,16,11246,7206,597,132,8,14,7968,7970,951,295,5,14,9239,164529,20213,6386,104,292,191528
RA41,1204,20,7,0,5,1240,829,27,0,0,3,858,767,39,0,4,7,811,1521,32,5,3,0,1566,2041,40,5,0,10,2090,5499,64,10,5,8,5586,4816,28,5,0,7,4858,3847,14,0,6,9,3875,1423,6,0,0,7,1437,1036,0,0,0,0,1039,667,0,0,0,3,676,1128,13,0,6,3,1147,24772,278,38,35,62,25185
RA42,1290,91,11,8,0,1405,1116,142,7,0,7,1277,1269,135,11,0,4,1415,2506,239,30,12,3,2794,3181,230,16,6,0,3430,5496,224,22,10,12,5764,3273,69,12,15,7,3367,2031,46,0,12,3,2092,550,12,6,8,0,569,400,12,0,5,0,414,336,12,3,0,0,345,1175,73,10,7,0,1267,22618,1274,122,89,41,24137
RA43,309,6,0,4,0,318,201,8,0,0,0,213,186,7,0,5,0,201,395,20,4,6,0,418,527,21,3,5,0,558,1010,26,3,0,0,1039,754,14,0,6,0,775,505,12,0,3,0,515,156,3,0,0,0,160,116,0,0,0,0,121,84,4,0,0,0,89,251,10,0,0,0,260,4495,131,18,25,6,4677
RA44,65,0,0,0,0,72,52,0,0,0,0,54,43,0,0,0,0,46,77,0,0,0,0,82,86,0,0,0,0,86,196,0,0,0,0,203,96,0,0,0,0,98,76,0,0,0,0,76,21,0,0,0,0,21,17,0,0,0,0,17,13,0,0,0,0,19,49,0,0,0,0,53,803,0,5,8,0,818
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA50,11748,1340,463,9,5,13567,3894,452,171,4,0,4519,3491,450,221,0,0,4158,6176,920,400,12,3,7517,9025,1347,658,15,3,11046,33186,4916,2217,16,18,40349,49571,5846,2285,19,26,57753,70675,5857,1937,15,51,78538,32555,2327,772,3,14,35677,26114,1969,700,7,8,28802,20589,1263,497,9,16,22369,15809,1413,507,13,14,17752,282823,28119,10827,118,164,322052
RA51,1341,37,8,7,6,1391,622,25,5,5,0,656,582,25,7,0,0,614,1068,40,8,5,0,1122,1617,66,3,6,0,1698,5295,176,18,9,4,5505,6544,118,11,7,7,6693,7165,94,10,5,8,7283,2975,36,3,3,3,3018,2185,37,3,3,5,2229,1317,25,0,3,6,1356,1741,52,4,4,9,1802,32434,738,86,62,58,33376
RA52,1099,34,4,3,10,1139,600,13,0,0,0,616,560,27,4,0,0,592,1224,49,9,4,3,1286,1499,58,6,9,8,1576,4164,153,7,13,7,4349,3946,93,6,11,11,4064,3810,102,0,7,3,3923,1281,24,0,0,3,1313,997,28,0,0,0,1028,623,20,0,0,3,646,1232,21,5,8,5,1268,21028,621,46,60,50,21802
RA53,409,10,4,0,7,437,162,11,0,5,0,176,152,13,0,0,4,172,296,29,0,4,0,338,345,29,7,5,0,392,911,73,10,8,0,997,917,46,0,0,0,973,1132,62,5,16,0,1222,570,24,0,0,5,594,544,9,0,0,3,560,388,7,0,3,0,403,373,13,0,9,0,397,6207,325,38,57,20,6656
RA54,120,3,0,9,5,134,67,0,0,3,0,71,55,0,0,3,0,67,97,3,0,0,3,103,112,6,0,0,0,119,249,4,4,14,4,270,194,12,4,3,0,218,251,6,4,11,6,277,122,5,0,10,0,136,100,3,0,6,0,114,90,0,0,14,13,120,100,3,0,8,5,113,1565,47,8,83,33,1743
RA55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA61,2087,81,65,0,3,2235,1108,44,39,0,0,1198,1048,48,42,0,0,1143,2103,99,104,6,0,2312,3216,119,134,0,4,3478,9398,313,335,11,6,10067,8908,230,186,11,0,9339,7457,176,97,5,11,7752,2565,65,27,4,6,2667,1900,42,26,4,0,1974,1256,29,23,4,0,1321,1885,60,61,0,4,2006,42944,1313,1155,41,33,45487
RA62,1353,35,5,4,3,1400,1032,14,0,10,0,1059,1031,14,4,3,0,1059,2023,41,5,7,3,2075,2810,34,4,6,5,2854,6573,65,4,8,5,6666,4428,26,0,13,3,4471,2892,11,0,10,4,2920,847,0,4,0,0,851,630,3,3,3,4,641,416,0,0,5,0,421,1261,9,3,4,3,1275,25302,250,36,63,32,25677
RA63,77,0,0,0,4,75,100,0,0,0,0,99,63,0,0,0,0,67,109,0,0,0,0,116,88,0,0,0,0,95,128,0,0,0,0,132,75,0,0,0,0,75,42,0,0,0,0,45,12,0,0,0,0,12,12,0,0,0,0,12,12,0,0,0,0,12,48,0,0,0,0,47,769,8,0,9,4,781
RA64,22,0,0,0,0,22,11,0,0,0,0,11,13,0,0,0,0,13,24,0,0,0,0,21,24,0,0,0,0,24,43,0,0,0,6,44,23,0,0,0,0,23,17,0,0,0,0,17,8,0,0,0,0,11,5,0,0,0,0,5,3,0,0,0,0,3,16,0,0,0,0,16,204,0,0,0,4,210
RA65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA72,423,25,73,0,0,521,123,10,29,0,0,166,122,15,34,0,0,174,263,43,77,3,0,380,337,54,131,4,0,521,1259,201,380,8,0,1842,1834,220,436,4,0,2492,3640,220,394,0,3,4254,2222,93,166,0,0,2482,1810,51,122,3,0,1987,1089,35,72,0,0,1199,731,51,86,3,0,873,13847,1016,1991,27,3,16881
RA73,109,14,0,5,0,133,50,12,0,0,0,62,52,6,0,0,0,60,80,28,5,4,3,120,157,50,9,5,0,223,454,159,7,3,3,631,758,157,8,0,5,936,902,86,4,4,8,1009,400,23,0,3,3,426,259,23,0,3,6,285,164,4,0,0,5,175,191,21,4,4,0,223,3575,590,44,28,35,4274
RA74,24,0,0,3,0,32,10,0,0,0,0,10,7,0,0,0,0,7,10,0,0,0,0,15,12,0,0,0,0,16,47,0,0,4,0,46,25,0,0,3,0,27,17,0,0,4,0,22,10,0,0,0,0,8,5,0,0,0,0,7,0,0,0,0,0,7,16,0,0,0,0,20,182,4,0,16,4,207
RA75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA80,2142,350,235,0,0,2725,612,96,71,0,0,775,527,115,96,0,0,735,886,215,226,0,0,1334,1190,313,385,0,0,1889,3748,1234,1936,0,3,6915,5669,2352,2383,0,6,10409,11764,2757,1985,0,0,16512,7961,956,602,0,5,9520,7227,693,512,0,6,8430,4972,404,302,0,4,5682,2082,355,283,0,0,2715,48783,9835,9001,4,32,67657
RA81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,8,0,0,0,0,8,17,0,0,0,0,17,28,0,0,0,0,28,15,0,0,0,0,15,14,0,0,0,0,14,12,0,0,0,0,12,5,0,0,0,0,5,100,0,0,0,0,100
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA94,16,0,3,0,0,17,9,0,0,0,0,9,5,0,0,0,0,9,20,3,0,0,0,21,20,0,0,0,0,21,65,8,6,0,0,71,45,0,0,0,0,49,41,4,0,0,0,44,14,0,0,0,0,14,6,0,0,0,0,6,3,0,0,0,0,9,15,0,0,0,0,15,255,13,6,0,4,276
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
