RA_CODE_2021,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
RA59,0,0,5,13,7,8,5,13,5,53,4,20,20,39,15,13,16,51,5,185,33,85,82,76,31,20,49,118,6,501,40,67,69,41,32,15,46,40,4,355,15,36,58,17,30,6,57,24,4,248,12,27,27,30,24,9,35,41,5,216,0,9,6,4,10,0,12,6,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,257,272,223,150,77,213,292,33,1614
RA61,135,124,1004,1530,381,2905,278,1663,144,8164,631,1782,2607,3079,1462,2395,582,1662,248,14440,3615,9902,6496,6656,4379,3205,2152,4197,762,41367,5102,9648,4302,4214,4238,1857,1603,2640,619,34233,5301,8425,3638,3931,4982,1954,1651,2464,532,32877,3718,6062,2989,3002,4150,1656,1799,2313,398,26090,1028,1852,773,678,1011,464,443,695,133,7079,188,152,62,49,101,54,53,59,56,788,11,10,4,6,4,11,0,0,21,59,19726,37967,21877,23144,20713,14505,8558,15693,2905,165093
RA62,151,43,819,697,160,1447,150,1083,87,4645,402,450,1469,1141,538,854,443,1182,113,6579,1632,2460,2948,2114,1322,1089,1222,2416,253,15456,2312,2927,2437,1997,1618,994,1352,1901,312,15848,2880,2937,2408,2449,2207,1267,1659,2354,352,18523,2780,2675,2287,2151,2212,1071,1873,2395,318,17770,1229,819,524,391,517,280,479,578,167,4988,320,95,38,18,65,34,38,75,80,760,43,8,3,0,3,0,0,5,23,80,11751,12414,12938,10966,8646,7033,7226,11989,1696,84657
RA63,4,0,19,24,9,31,5,36,0,123,15,5,35,45,14,13,16,60,0,206,91,83,123,126,53,30,63,176,17,755,107,83,88,68,38,26,57,109,10,588,133,60,87,64,61,39,76,108,14,631,146,86,73,93,59,50,86,155,12,761,62,29,32,10,33,11,28,42,14,265,14,0,0,0,0,0,3,6,6,38,0,0,0,0,0,0,0,0,0,4,569,347,452,423,273,200,339,689,70,3370
RA64,0,0,10,4,3,10,0,20,0,50,3,0,15,7,0,4,0,18,3,63,26,21,31,22,19,9,15,48,8,201,57,40,37,11,27,13,6,57,7,247,51,36,17,27,15,16,18,33,7,225,84,28,31,23,35,14,20,55,5,292,80,13,17,8,21,5,14,22,5,175,26,6,3,0,0,4,0,0,0,39,4,0,0,0,0,0,0,0,0,5,334,137,167,104,117,71,72,253,32,1288
RA65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,12
RA69,0,0,0,0,0,0,0,3,0,12,0,0,4,8,0,3,0,8,0,33,9,18,11,6,7,5,10,12,5,79,4,10,11,7,3,9,9,11,4,69,0,8,9,13,6,0,16,11,3,63,7,5,3,3,9,3,5,5,3,42,0,3,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,50,48,39,27,21,37,50,11,309
RA72,63,70,447,684,271,1114,135,678,86,3549,322,736,1148,1624,905,740,331,580,156,6544,1845,5013,3076,3420,2703,1216,958,1367,386,19994,2595,4367,2587,2356,2418,790,811,1108,318,17350,2562,3136,1965,1682,2215,650,846,1062,247,14362,1773,2137,1234,935,1583,499,721,768,169,9815,472,665,309,227,423,176,186,219,62,2731,57,58,20,10,41,22,17,17,12,265,7,3,0,0,7,0,0,0,7,22,9679,16185,10791,10944,10565,5211,4011,5798,1448,74631
RA73,15,34,122,212,82,271,26,157,35,954,66,246,280,364,168,131,54,150,40,1496,500,1544,844,1087,624,306,187,435,168,5696,668,1202,603,832,546,159,167,323,122,4626,718,889,457,648,556,141,196,321,97,4026,575,759,390,468,456,139,189,281,81,3346,193,235,119,88,120,47,76,77,20,987,22,18,9,12,17,6,11,11,0,98,0,0,0,0,0,0,0,0,0,7,2754,4933,2832,3704,2569,1205,918,1757,566,21232
RA74,7,36,30,93,20,56,12,154,33,443,30,185,99,218,76,66,32,256,55,1007,291,591,259,603,242,144,127,343,70,2682,329,584,266,486,222,105,166,230,68,2455,311,429,233,403,182,62,122,212,49,2005,277,391,158,219,137,44,110,159,29,1527,82,106,37,64,38,17,25,56,10,440,15,8,6,7,8,3,3,3,0,53,0,0,0,0,0,0,0,0,0,3,1350,2338,1089,2086,920,507,592,1404,322,10616
RA75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,0,0,0,3,0,0,0,10,0,16,0,7,4,0,0,0,0,0,0,10,0,0,4,0,0,0,0,6,0,10,0,3,0,0,0,0,0,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,9,5,0,0,4,26,0,56
RA79,0,0,0,7,0,0,0,5,0,13,0,10,6,9,0,0,0,12,0,34,13,34,13,22,10,8,10,52,9,175,20,34,13,12,10,3,0,18,4,126,9,19,9,5,12,3,10,18,5,84,7,11,3,5,8,7,3,7,4,53,0,6,4,0,3,0,0,4,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,107,49,62,46,19,31,107,22,500
RA80,542,559,1179,3400,821,3998,299,1858,166,12821,1911,5397,3354,5516,4205,3189,575,1585,517,26250,8724,23144,7473,6992,8789,3362,1598,3297,1487,64862,13597,21811,5161,4728,8095,1652,1105,2165,1334,59647,12190,15379,3711,3572,7660,1361,1060,1614,1017,47558,6047,8828,2258,2251,5150,1111,986,1343,536,28511,1113,2585,579,568,1227,424,351,409,147,7395,131,301,71,43,138,71,29,52,31,866,16,24,5,0,7,10,0,11,11,80,44273,78028,23783,27081,36079,15170,5998,12328,5259,247998
RA81,0,0,3,5,0,6,0,6,0,21,0,3,10,4,8,0,3,3,0,29,15,15,21,7,3,3,0,3,0,79,25,37,16,4,9,0,0,3,0,99,21,17,12,7,12,4,0,4,4,79,14,12,9,6,8,0,0,6,0,62,6,3,0,0,5,0,0,0,0,22,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,92,92,64,35,46,13,11,36,7,394
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA89,3,0,0,6,0,12,0,5,0,22,3,4,9,13,4,6,0,3,0,36,4,17,8,5,11,9,3,0,0,59,5,13,7,3,0,0,0,11,0,38,4,7,3,0,0,6,0,0,0,32,7,11,0,4,3,0,0,0,0,23,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,51,25,30,27,21,5,19,0,216
RA91,3,0,8,0,0,0,0,0,0,11,6,4,0,4,0,0,0,5,0,15,7,9,3,0,0,0,0,0,0,13,7,4,0,4,3,0,0,0,5,17,7,0,0,3,0,0,0,0,0,16,4,6,0,0,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,21,7,10,8,0,0,10,0,93
RA94,0,0,7,50,3,12,4,15,4,95,6,20,24,28,15,6,6,18,0,123,23,49,69,62,41,12,18,35,4,315,73,59,65,60,55,23,26,41,9,408,84,64,74,56,67,22,24,52,7,446,105,57,101,45,65,34,27,57,13,496,29,27,42,15,25,19,30,33,9,227,13,5,4,6,3,3,0,6,3,36,4,0,0,0,0,0,0,0,0,4,330,278,380,319,270,132,135,260,38,2152
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3
