RA_CODE_2021,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
RA23,3,4,5,0,0,0,0,12,0,0,0,0,4,0,0,5,12,10,3,0,0,0,0,26,82,118,83,45,43,7,0,376,0,0,0,0,0,0,0,0,97,129,86,49,49,10,0,416,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,10,0,0,0,0,0,0,0,3,14,24,17,10,14,4,0,80,0,0,0,0,0,0,0,3,14,28,18,13,14,4,0,93,108,158,105,58,65,13,0,509
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA30,43260,47928,27222,17043,21947,10115,5056,172577,17193,17013,9971,6401,7951,2957,1103,62591,17986,17317,9596,5753,7203,2723,1039,61620,77487,79671,49116,32409,40587,15008,5537,299810,688,761,400,219,165,43,9,2288,156610,162697,96307,61830,77854,30841,12749,598886,3818,6768,5027,3888,5398,2423,1290,28608,3686,5288,3498,2501,3098,958,402,19435,2045,3657,2746,1872,2417,819,385,13949,15411,23295,16190,11766,14078,3956,1759,86452,985,1003,566,366,257,52,18,3261,25952,40010,28033,20399,25256,8203,3860,151704,182561,202705,124341,82224,103112,39045,16607,750587
RA31,3742,4497,2944,1850,2509,654,277,16473,2348,2687,1730,1216,1391,237,90,9701,2764,3028,1821,1096,1337,221,74,10339,29874,32737,21231,14315,16517,2686,822,118186,212,216,157,95,41,10,0,733,38942,43173,27880,18573,21794,3815,1254,155428,311,586,440,355,458,158,69,2376,656,941,674,487,582,95,32,3473,368,669,531,421,477,74,25,2567,7906,11324,7712,5715,5882,743,229,39515,332,336,227,144,87,10,3,1142,9584,13864,9586,7122,7491,1077,358,49078,48522,57035,37459,25693,29286,4895,1615,204511
RA32,3178,3753,2152,1427,1851,486,169,13016,1692,1808,1108,743,925,164,44,6479,2659,2552,1427,891,1095,177,48,8850,20289,22118,13846,8976,10278,1553,457,77520,158,140,105,63,45,5,3,511,27976,30364,18637,12100,14194,2374,729,106373,268,542,436,340,451,123,69,2221,440,717,493,328,397,69,26,2475,325,635,509,342,396,60,31,2296,5082,7419,5013,3652,3771,529,169,25630,264,304,199,122,51,6,6,948,6379,9617,6654,4787,5063,783,296,33568,34348,39981,25290,16879,19257,3156,1022,139942
RA33,316,262,148,85,105,18,6,939,142,142,56,39,40,6,0,416,243,205,110,52,48,5,5,658,2649,2782,1525,859,858,71,20,8765,16,21,18,3,0,0,0,66,3371,3413,1855,1033,1052,100,27,10849,7,25,18,10,17,0,0,91,26,26,27,7,15,3,0,103,19,38,16,18,10,0,0,95,811,979,616,372,281,17,3,3081,34,31,18,10,9,0,0,108,906,1105,694,412,330,26,5,3478,4274,4513,2548,1450,1386,121,40,14324
RA34,65,70,27,19,22,5,0,212,68,62,35,13,6,0,0,193,114,115,43,16,24,0,0,316,2268,2330,1254,624,482,46,11,7006,21,29,21,11,0,0,0,84,2544,2606,1381,683,545,51,11,7815,7,12,10,7,11,0,0,35,17,37,7,5,13,0,0,73,13,19,15,0,6,0,0,50,775,964,560,289,228,16,0,2846,28,35,22,22,0,0,0,105,835,1066,619,321,252,18,3,3107,3370,3668,1999,1006,793,64,18,10921
RA35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA40,17721,18930,9808,6009,8080,4880,2928,68351,4219,4358,2655,1796,2420,1272,681,17404,4907,4496,2490,1550,1995,1001,589,17031,32990,32829,19486,12983,16205,7156,3714,125364,199,200,111,81,46,16,9,666,60038,60810,34551,22418,28744,14334,7920,228810,1278,2208,1661,1254,1840,1099,810,10148,932,1435,971,696,999,428,279,5736,508,905,714,511,678,324,202,3838,6254,9618,6832,4956,5847,2117,1123,36745,327,332,217,167,99,29,16,1174,9291,14501,10393,7581,9454,3999,2428,57639,69329,75314,44936,29994,38204,18330,10347,286452
RA41,314,354,265,191,286,109,46,1578,303,415,253,212,291,100,34,1604,455,458,265,177,222,79,35,1690,5466,6092,3852,2607,3073,848,323,22262,42,34,24,19,10,3,0,141,6578,7361,4658,3207,3887,1140,444,27268,28,29,44,28,46,21,10,205,88,125,89,67,80,23,4,468,41,96,62,50,76,13,6,347,878,1446,1006,744,838,211,58,5186,42,43,27,18,18,3,0,150,1073,1740,1222,906,1065,274,81,6355,7654,9099,5883,4110,4947,1412,522,33628
RA42,582,614,342,205,282,48,15,2089,221,248,189,105,148,15,9,943,363,320,165,105,120,25,7,1106,6309,6810,4265,2843,3178,449,103,23959,36,44,33,24,11,0,0,151,7507,8035,4993,3289,3739,546,131,28243,42,60,43,26,47,7,0,231,75,104,72,58,76,5,5,394,27,76,53,41,60,9,0,271,1647,2173,1475,1101,1201,169,30,7790,65,85,56,47,22,3,0,278,1848,2504,1697,1269,1407,196,39,8969,9360,10541,6691,4557,5148,738,176,37212
RA43,87,104,48,28,28,6,0,305,73,79,51,18,29,0,0,246,117,109,48,27,28,3,0,336,1665,1736,1066,627,681,71,8,5853,16,9,6,3,6,0,0,42,1956,2038,1218,711,769,86,12,6789,3,9,6,6,3,0,0,32,10,14,24,8,15,0,0,78,4,9,17,9,10,0,0,53,266,395,255,178,187,24,4,1310,6,15,15,3,10,0,0,48,290,442,316,214,222,30,4,1518,2248,2485,1533,920,991,115,16,8301
RA44,27,24,7,6,6,0,0,71,20,11,4,4,0,0,0,44,32,31,12,9,3,0,0,91,489,545,321,201,144,18,7,1731,7,8,5,3,0,0,0,27,582,627,347,217,159,19,7,1958,0,0,4,0,3,0,0,7,0,4,0,0,0,0,0,4,0,0,0,0,3,0,0,7,129,167,117,73,66,8,0,554,5,13,6,0,0,0,0,31,139,187,126,77,69,8,0,609,718,813,482,292,233,25,12,2566
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA50,39998,41946,23359,14856,19706,10519,6174,156563,12028,11263,6307,4134,5253,2172,1046,42209,12796,11985,6322,4078,4790,1903,991,42869,42599,40795,24647,16103,19235,7065,3293,153740,448,463,273,161,79,30,16,1465,107876,106454,60911,39337,49066,21692,11520,396848,2604,4608,3490,2629,3785,1914,1355,20397,2035,3020,2085,1493,1789,644,348,11407,1349,2279,1564,1214,1466,530,335,8729,7677,11478,7833,5794,6571,1815,1018,42181,497,548,330,173,125,42,21,1734,14164,21929,15307,11294,13736,4936,3076,84448,122036,128383,76217,50632,62803,26628,14593,481297
RA51,1262,1415,998,649,853,142,74,5395,892,1016,627,424,504,55,30,3550,1063,1203,659,409,493,68,19,3924,6371,7369,4532,3056,3438,411,147,25319,41,74,46,31,12,3,0,206,9632,11077,6861,4568,5296,682,276,38388,87,142,113,90,137,18,15,603,169,304,208,154,160,20,8,1014,134,227,172,134,177,15,0,857,1270,1934,1394,1047,1133,94,21,6897,62,75,39,41,19,0,0,242,1717,2684,1929,1471,1619,148,46,9611,11348,13763,8792,6037,6913,823,323,48002
RA52,1022,1157,697,477,557,76,40,4030,544,582,356,223,257,34,4,1992,803,763,414,295,286,26,4,2593,5482,5779,3398,2162,2261,187,31,19300,41,45,19,24,12,0,0,155,7898,8329,4890,3178,3381,316,80,28067,73,120,102,59,104,12,4,473,109,192,128,89,111,12,8,646,73,129,113,77,108,8,0,500,1081,1605,1142,834,821,67,15,5560,69,93,43,39,15,0,0,258,1404,2133,1521,1097,1157,99,28,7433,9300,10463,6409,4277,4535,415,102,35504
RA53,673,649,331,180,242,19,5,2101,354,333,151,87,68,3,0,994,564,546,254,115,106,4,0,1585,3272,3391,1877,1043,887,59,12,10540,31,33,3,11,4,0,0,81,4895,4947,2621,1431,1299,92,16,15305,35,41,25,23,44,5,0,169,39,66,32,27,33,7,0,206,38,64,39,37,35,8,0,213,475,692,455,328,309,18,3,2280,30,42,24,8,8,0,0,109,619,907,578,421,418,30,7,2980,5512,5854,3196,1854,1723,125,21,18282
RA54,291,259,134,70,67,0,0,828,170,128,57,29,33,4,0,427,258,191,84,37,26,5,0,590,1893,1872,1006,537,372,22,3,5714,20,21,17,10,4,0,0,72,2633,2475,1297,676,503,29,8,7627,8,14,21,14,15,0,0,70,10,21,14,3,10,0,0,65,7,25,9,8,4,0,0,51,632,810,496,279,218,19,3,2459,21,36,22,15,4,0,0,100,676,913,566,319,243,24,3,2746,3312,3394,1863,1000,751,52,15,10376
RA55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA61,2594,1982,962,526,753,309,159,7286,823,938,610,401,530,197,87,3588,875,985,594,328,424,150,51,3411,9782,10254,6423,4246,5115,1686,598,38106,40,43,36,16,19,0,0,157,14122,14198,8618,5523,6834,2340,901,52543,158,226,179,135,187,83,54,1021,178,289,220,158,256,83,27,1216,72,164,132,105,144,58,35,708,2464,3667,2527,1823,2077,582,235,13377,111,109,76,52,32,10,0,392,2983,4463,3135,2270,2703,814,355,16719,17106,18656,11753,7795,9534,3160,1254,69259
RA62,343,345,200,122,179,42,25,1246,318,418,233,168,207,42,20,1413,439,421,260,180,181,45,15,1542,6092,6311,4079,2793,3135,687,178,23277,39,55,43,33,15,3,0,191,7228,7549,4813,3302,3724,823,226,27663,10,24,23,30,40,8,6,140,83,120,103,84,88,18,6,503,31,88,72,49,60,9,14,327,1473,2129,1478,1090,1195,221,57,7639,70,86,68,40,22,0,0,295,1673,2450,1739,1301,1398,263,82,8904,8903,9997,6552,4593,5125,1084,314,36571
RA63,23,20,11,4,6,0,0,64,3,7,6,0,0,0,0,18,27,17,6,0,0,0,0,55,209,226,111,68,65,4,10,689,0,0,0,0,0,0,0,0,264,268,133,75,73,6,10,826,5,0,0,0,0,0,0,4,3,4,0,4,0,0,0,12,0,0,3,0,0,0,0,4,40,74,46,44,17,6,0,226,6,0,0,0,0,0,0,16,52,79,55,49,20,6,4,260,317,349,185,127,93,11,6,1090
RA64,0,0,6,6,4,0,0,12,7,5,3,0,0,0,0,18,10,13,3,0,0,0,0,26,72,85,47,25,13,0,0,243,0,0,0,0,0,0,0,4,88,108,59,30,20,0,0,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,7,0,0,0,0,0,5,8,13,10,13,9,0,0,50,0,0,0,0,0,0,0,0,9,16,10,12,13,0,0,56,102,123,65,41,27,0,0,357
RA65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA72,2235,2007,1013,621,852,318,139,7188,457,484,282,171,205,33,17,1650,850,728,381,217,260,43,12,2499,3980,3724,2102,1390,1382,213,99,12902,27,40,13,11,6,3,0,102,7559,6990,3796,2412,2714,610,269,24342,135,212,142,119,146,54,37,846,113,147,95,53,71,20,5,505,84,154,113,74,94,10,10,540,728,1203,735,555,526,64,25,3828,81,71,30,23,12,0,0,217,1147,1794,1121,824,841,148,78,5950,8706,8779,4916,3235,3546,759,347,30291
RA73,594,510,237,108,153,30,14,1651,133,123,66,35,33,3,0,391,207,155,79,36,34,3,3,504,1458,1482,915,482,477,57,7,4877,26,23,15,9,9,0,0,79,2413,2289,1307,666,697,96,23,7506,35,54,42,26,23,6,0,193,20,41,20,19,17,0,0,118,19,26,21,13,16,0,0,96,430,638,444,276,197,18,0,2008,31,17,8,12,5,0,0,78,536,776,534,347,253,30,5,2485,2951,3071,1846,1020,956,125,30,9988
RA74,95,78,33,20,20,0,0,249,49,44,19,8,5,0,0,127,60,58,29,14,10,0,0,174,1996,2122,1281,719,495,53,8,6669,24,14,12,10,0,0,0,59,2223,2322,1369,768,532,55,8,7277,0,4,4,4,5,0,0,19,0,4,4,0,0,0,0,7,9,3,4,3,5,0,0,21,730,937,603,390,212,24,6,2898,21,14,12,9,4,0,0,63,756,958,625,409,223,25,3,3006,2981,3283,1996,1176,756,77,12,10280
RA75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
