RA_CODE_2021,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ag_For_Fshg_15_19,F_Ag_For_Fshg_20_24,F_Ag_For_Fshg_25_34,F_Ag_For_Fshg_35_44,F_Ag_For_Fshg_45_54,F_Ag_For_Fshg_55_64,F_Ag_For_Fshg_65_74,F_Ag_For_Fshg_75_84,F_Ag_For_Fshg_85ov,F_Ag_For_Fshg_Tot,F_Mining_15_19,F_Mining_20_24,F_Mining_25_34,F_Mining_35_44,F_Mining_45_54,F_Mining_55_64,F_Mining_65_74,F_Mining_75_84,F_Mining_85ov,F_Mining_Tot,F_Manufact_15_19,F_Manufact_20_24,F_Manufact_25_34,F_Manufact_35_44,F_Manufact_45_54,F_Manufact_55_64,F_Manufact_65_74,F_Manufact_75_84,F_Manufact_85ov,F_Manufact_Tot,F_El_Gas_Wt_Waste_15_19,F_El_Gas_Wt_Waste_20_24,F_El_Gas_Wt_Waste_25_34,F_El_Gas_Wt_Waste_35_44,F_El_Gas_Wt_Waste_45_54,F_El_Gas_Wt_Waste_55_64,F_El_Gas_Wt_Waste_65_74,F_El_Gas_Wt_Waste_75_84,F_El_Gas_Wt_Waste_85ov,F_El_Gas_Wt_Waste_Tot,F_Constru_15_19,F_Constru_20_24,F_Constru_25_34,F_Constru_35_44,F_Constru_45_54,F_Constru_55_64,F_Constru_65_74,F_Constru_75_84,F_Constru_85ov,F_Constru_Tot,F_WhlesaleTde_15_19,F_WhlesaleTde_20_24,F_WhlesaleTde_25_34,F_WhlesaleTde_35_44,F_WhlesaleTde_45_54,F_WhlesaleTde_55_64,F_WhlesaleTde_65_74,F_WhlesaleTde_75_84,F_WhlesaleTde_85ov,F_WhlesaleTde_Tot,F_RetTde_15_19,F_RetTde_20_24,F_RetTde_25_34,F_RetTde_35_44,F_RetTde_45_54,F_RetTde_55_64,F_RetTde_65_74,F_RetTde_75_84,F_RetTde_85ov,F_RetTde_Tot,F_Accom_food_15_19,F_Accom_food_20_24,F_Accom_food_25_34,F_Accom_food_35_44,F_Accom_food_45_54,F_Accom_food_55_64,F_Accom_food_65_74,F_Accom_food_75_84,F_Accom_food_85ov,F_Accom_food_Tot,F_Trans_post_wrehsg_15_19,F_Trans_post_wrehsg_20_24,F_Trans_post_wrehsg_25_34,F_Trans_post_wrehsg_35_44,F_Trans_post_wrehsg_45_54,F_Trans_post_wrehsg_55_64,F_Trans_post_wrehsg_65_74,F_Trans_post_wrehsg_75_84,F_Trans_post_wrehsg_85ov,F_Trans_post_wrehsg_Tot,F_Info_media_teleco_15_19,F_Info_media_teleco_20_24,F_Info_media_teleco_25_34,F_Info_media_teleco_35_44,F_Info_media_teleco_45_54,F_Info_media_teleco_55_64,F_Info_media_teleco_65_74,F_Info_media_teleco_75_84,F_Info_media_teleco_85ov,F_Info_media_teleco_Tot,F_Fin_Insur_15_19,F_Fin_Insur_20_24,F_Fin_Insur_25_34,F_Fin_Insur_35_44,F_Fin_Insur_45_54,F_Fin_Insur_55_64,F_Fin_Insur_65_74,F_Fin_Insur_75_84,F_Fin_Insur_85ov,F_Fin_Insur_Tot,F_RtnHir_REst_15_19,F_RtnHir_REst_20_24,F_RtnHir_REst_25_34,F_RtnHir_REst_35_44,F_RtnHir_REst_45_54,F_RtnHir_REst_55_64,F_RtnHir_REst_65_74,F_RtnHir_REst_75_84,F_RtnHir_REst_85ov,F_RtnHir_REst_Tot,F_Pro_scien_tec_15_19,F_Pro_scien_tec_20_24,F_Pro_scien_tec_25_34,F_Pro_scien_tec_35_44,F_Pro_scien_tec_45_54,F_Pro_scien_tec_55_64,F_Pro_scien_tec_65_74,F_Pro_scien_tec_75_84,F_Pro_scien_tec_85ov,F_Pro_scien_tec_Tot,F_Admin_supp_15_19,F_Admin_supp_20_24,F_Admin_supp_25_34,F_Admin_supp_35_44,F_Admin_supp_45_54,F_Admin_supp_55_64,F_Admin_supp_65_74,F_Admin_supp_75_84,F_Admin_supp_85ov,F_Admin_supp_Tot,F_Public_admin_sfty_15_19,F_Public_admin_sfty_20_24,F_Public_admin_sfty_25_34,F_Public_admin_sfty_35_44,F_Public_admin_sfty_45_54,F_Public_admin_sfty_55_64,F_Public_admin_sfty_65_74,F_Public_admin_sfty_75_84,F_Public_admin_sfty_85ov,F_Public_admin_sfty_Tot,F_Educ_trng_15_19,F_Educ_trng_20_24,F_Educ_trng_25_34,F_Educ_trng_35_44,F_Educ_trng_45_54,F_Educ_trng_55_64,F_Educ_trng_65_74,F_Educ_trng_75_84,F_Educ_trng_85ov,F_Educ_trng_Tot,F_HlthCare_SocAs_15_19,F_HlthCare_SocAs_20_24,F_HlthCare_SocAs_25_34,F_HlthCare_SocAs_35_44,F_HlthCare_SocAs_45_54,F_HlthCare_SocAs_55_64,F_HlthCare_SocAs_65_74,F_HlthCare_SocAs_75_84,F_HlthCare_SocAs_85ov,F_HlthCare_SocAs_Tot,F_Art_recn_15_19,F_Art_recn_20_24,F_Art_recn_25_34,F_Art_recn_35_44,F_Art_recn_45_54,F_Art_recn_55_64,F_Art_recn_65_74,F_Art_recn_75_84,F_Art_recn_85ov,F_Art_recn_Tot,F_Oth_scs_15_19,F_Oth_scs_20_24,F_Oth_scs_25_34,F_Oth_scs_35_44,F_Oth_scs_45_54,F_Oth_scs_55_64,F_Oth_scs_65_74,F_Oth_scs_75_84,F_Oth_scs_85ov,F_Oth_scs_Tot
RA45,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA49,13,33,116,93,83,63,16,5,0,419,0,0,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,7,0,0,7,0,0,3,0,0,0,10,0,0,3,0,0,0,0,0,0,6,0,0,3,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,3,6,7,5,0,6,0,0,0,26,10,4,10,5,3,0,3,0,0,33,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,3,0,0,0,24,4,0,7,0,3,6,3,0,0,27,0,0,5,7,0,3,0,0,0,19,0,0,8,10,3,4,0,0,0,20,0,6,23,15,15,17,3,0,0,81,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,8
RA50,27267,48450,120075,126391,109482,82547,25105,3266,239,542823,87,168,539,564,612,466,203,46,6,2687,109,1067,4616,4679,3179,1508,201,17,0,15378,812,1034,3005,3562,3511,2400,567,67,3,14961,40,171,827,1078,822,437,82,4,0,3449,204,972,3847,3902,3143,2199,516,40,0,14831,212,609,1726,2020,1993,1370,312,36,4,8277,8674,9290,10329,8375,8551,6948,1671,125,11,53977,11346,7349,7211,4696,3560,2283,552,34,4,37030,194,809,2383,2544,2605,1868,455,37,0,10881,220,391,899,731,600,422,106,13,0,3389,121,715,3402,4127,3333,1909,402,39,9,14064,115,575,1807,1899,1820,1392,502,88,8,8206,301,2790,9686,9993,7002,4002,1244,129,6,35155,370,1535,4256,4114,3595,2614,659,49,0,17203,260,1572,6123,7624,7388,5451,1075,66,0,29571,1458,3973,12381,15953,18192,13153,3095,204,6,68412,1768,9784,28273,27008,25300,20082,4911,266,8,117401,1150,1457,2217,1858,1418,956,327,39,0,9429,1060,2292,5440,4688,3908,2541,690,84,3,20706
RA51,3436,4037,9238,10991,12246,10732,3596,547,71,54896,72,109,271,278,328,346,278,75,7,1766,25,145,299,347,368,204,19,0,0,1409,178,183,468,571,522,319,83,13,0,2335,0,28,70,87,86,72,12,0,0,354,36,96,323,419,422,324,61,3,0,1683,33,44,114,139,195,136,46,6,0,712,1013,577,926,1164,1319,1116,221,18,0,6356,1323,493,717,802,769,529,140,11,0,4781,24,59,126,186,282,266,94,10,0,1041,33,21,50,52,35,25,11,0,0,231,0,38,158,199,204,156,31,0,0,788,20,65,150,164,181,150,63,0,0,806,29,105,341,572,495,320,119,11,0,2001,48,102,305,434,496,342,97,10,0,1835,61,149,427,632,791,561,108,8,0,2738,128,198,888,1639,2100,1565,330,20,0,6874,240,644,1772,2403,2705,2431,526,26,0,10740,92,79,147,149,140,96,35,4,0,737,119,187,455,413,480,318,70,8,0,2049
RA52,2669,3332,7952,8208,9180,9033,3509,703,87,44661,84,126,364,461,572,620,494,145,12,2889,44,161,390,365,325,188,17,3,0,1498,66,86,206,225,215,172,55,10,0,1036,4,8,32,44,32,29,8,0,0,160,16,48,189,233,223,207,60,3,0,982,31,81,148,133,139,105,20,6,0,660,769,441,672,756,947,813,239,21,0,4654,853,336,550,524,535,480,139,24,0,3452,30,47,119,182,269,273,101,17,0,1029,13,25,37,30,27,35,6,0,0,175,12,54,134,140,140,105,15,3,0,602,16,46,100,107,129,98,28,5,0,535,45,109,321,346,295,271,95,10,0,1487,31,67,189,229,292,256,54,10,0,1130,34,95,375,516,623,458,97,5,0,2211,73,266,878,1374,1626,1341,273,24,0,5849,171,562,1574,1709,2021,1908,489,28,0,8462,47,35,82,86,94,93,21,0,0,450,106,150,298,291,290,232,65,8,0,1442
RA53,1101,1520,4896,5485,4741,3933,1276,240,28,23224,22,49,203,301,326,382,180,57,4,1520,19,106,437,372,222,67,13,0,0,1229,19,20,84,63,47,44,8,4,0,291,4,9,40,58,34,12,0,0,0,148,16,24,137,122,106,74,18,0,0,503,18,23,96,76,64,29,11,0,0,321,283,134,326,354,341,283,62,8,0,1798,244,157,384,270,243,206,65,6,0,1574,24,50,192,194,180,144,42,0,0,823,10,8,21,20,20,13,9,0,0,94,5,16,69,60,31,22,7,0,0,211,6,39,87,64,72,40,8,0,0,333,16,33,133,137,86,59,14,0,0,484,19,54,164,202,165,116,29,0,0,749,31,70,312,361,305,203,51,3,0,1338,35,138,677,838,738,467,122,5,0,3014,91,249,856,852,711,585,136,6,0,3484,22,10,51,66,48,32,11,0,0,240,40,44,177,172,122,84,17,0,0,654
RA54,437,1035,3687,3372,3022,2418,699,103,17,14786,37,72,150,120,137,117,51,13,0,700,23,108,402,323,224,119,8,0,0,1208,4,10,30,26,26,14,7,0,0,115,0,0,9,9,11,14,6,0,0,49,3,20,58,60,47,38,7,0,0,232,7,9,11,16,13,15,0,0,0,71,81,62,172,159,141,148,33,9,0,810,97,111,319,172,136,141,43,4,0,1020,5,30,75,72,67,53,16,4,0,327,0,0,6,5,7,9,0,0,0,26,0,4,24,12,13,7,0,0,0,65,10,16,38,31,26,18,7,4,0,148,3,16,61,60,34,31,9,0,0,206,11,47,139,123,88,80,17,0,0,499,12,56,199,212,206,141,27,4,0,854,32,118,467,410,378,263,55,0,0,1729,39,90,413,369,288,315,81,9,0,1598,14,18,52,32,39,28,4,0,0,191,18,18,71,73,58,44,9,0,0,283
RA55,3,12,60,92,55,30,5,0,0,246,0,3,6,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA59,19,101,268,211,156,115,28,0,0,899,0,10,19,0,0,5,0,0,0,38,0,6,13,8,8,9,0,0,0,38,0,0,15,3,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,5,0,0,0,3,5,7,4,0,0,25,0,0,3,4,3,0,0,0,0,5,0,9,10,9,6,9,3,0,0,47,22,21,54,9,12,14,0,0,0,142,0,3,9,3,4,8,0,0,0,29,0,0,0,5,0,0,0,0,0,7,0,0,5,6,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,3,0,9,13,20,4,4,0,0,0,44,0,7,14,3,0,3,0,0,0,29,5,0,7,7,3,7,0,0,0,32,0,7,10,11,10,10,3,0,0,50,4,14,32,31,15,29,5,0,0,124,3,0,9,0,0,0,0,0,0,17,3,0,8,6,4,5,0,0,0,24
RA61,3790,7200,21564,17158,15985,12977,3911,528,34,83148,26,73,262,213,182,142,64,9,0,976,0,3,19,19,17,6,3,0,0,67,219,206,519,442,433,349,103,12,0,2273,3,46,243,309,231,99,11,0,0,944,30,90,350,377,307,268,79,8,0,1516,20,80,185,173,211,157,43,0,0,870,1310,1380,2023,1313,1354,1146,291,25,0,8841,1711,1086,1943,909,656,467,121,18,0,6901,32,98,235,241,280,236,73,4,0,1187,21,64,212,189,158,145,34,0,0,821,19,129,587,580,478,278,51,6,0,2132,21,127,259,192,216,169,53,13,0,1051,66,314,1225,1064,860,592,182,15,0,4308,54,188,580,568,592,412,119,12,0,2530,59,348,1427,1970,2135,1374,233,4,0,7552,173,569,2233,2777,3033,2193,545,33,0,11559,225,1750,5769,4505,4548,4194,858,54,3,21916,163,182,371,298,296,259,80,7,0,1666,117,343,895,645,606,405,123,16,0,3156
RA62,2284,3436,8118,7946,9114,9230,3066,514,65,43779,91,178,513,448,501,519,263,85,4,2600,0,12,57,38,43,26,7,5,0,179,108,161,358,361,442,413,78,5,4,1918,0,7,67,58,65,38,5,0,0,245,28,65,158,186,182,161,41,6,0,821,25,52,102,121,140,102,35,0,0,576,753,576,854,822,1010,769,156,15,0,4949,821,506,600,519,613,558,125,8,0,3747,12,47,127,194,281,266,41,14,0,978,14,23,46,50,60,57,13,0,0,261,6,45,138,148,146,130,23,4,0,648,8,46,116,84,97,93,33,3,0,492,41,112,340,378,362,286,105,6,0,1637,34,85,222,295,357,328,53,6,0,1388,19,97,350,511,644,505,85,4,0,2214,71,235,834,1266,1392,1188,220,14,0,5233,130,660,1876,1848,2433,2577,447,18,0,9978,57,44,90,96,122,101,41,3,0,553,84,144,348,301,296,227,64,0,0,1468
RA63,63,112,393,316,340,411,149,26,0,1814,9,10,22,16,21,14,13,7,0,106,3,3,23,9,7,6,3,0,0,57,0,0,4,7,5,9,0,0,0,36,0,0,0,3,0,0,0,0,0,0,0,0,3,4,0,9,0,0,0,18,0,0,0,4,0,0,0,0,0,8,19,9,20,34,30,50,5,0,0,170,15,26,138,64,62,75,29,0,0,401,0,4,14,4,17,17,3,0,0,62,0,0,5,0,0,0,0,0,0,7,0,0,0,3,3,0,0,0,0,16,0,0,4,0,4,9,5,0,0,17,0,0,7,10,4,12,9,0,0,41,0,6,18,12,14,24,7,0,0,93,0,0,3,9,5,9,10,0,0,39,0,12,46,36,37,36,11,0,0,176,3,15,28,28,43,54,11,0,0,190,0,0,3,10,3,10,0,0,0,32,0,7,20,5,0,0,3,0,0,41
RA64,31,31,108,127,114,149,111,28,7,703,0,5,14,5,17,23,24,3,0,92,0,0,0,0,0,0,0,0,0,0,3,4,9,12,6,14,0,0,0,50,0,0,0,0,0,0,0,0,0,6,0,0,5,0,0,5,0,0,0,13,0,0,0,0,0,0,0,0,0,7,0,3,7,5,13,12,7,0,0,58,8,3,8,7,11,14,0,0,0,46,0,0,5,6,0,16,3,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,6,0,0,0,8,3,0,3,0,0,18,0,0,0,9,0,7,0,0,0,15,0,0,5,15,10,16,5,0,0,48,0,5,11,19,18,13,0,0,0,66,0,5,15,14,28,24,9,0,0,99,0,0,0,5,0,0,4,0,0,3,0,0,0,3,0,4,0,0,0,10
RA65,0,0,0,3,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA69,5,18,46,36,42,20,3,0,0,174,0,0,3,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,10,0,4,0,0,0,22,5,3,3,5,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,4,0,0,3,7,0,0,0,0,0,11,0,0,0,4,3,0,0,0,0,5,0,0,7,0,10,5,0,0,0,26,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,3
RA72,1748,3517,10045,8685,7304,5120,1561,158,14,38166,10,19,64,61,76,53,22,5,0,311,7,12,95,73,58,32,3,0,0,283,37,60,95,113,109,70,17,0,0,501,0,15,91,118,97,53,5,0,0,379,26,55,277,296,273,181,32,0,0,1151,10,27,86,92,85,46,15,0,0,350,455,388,727,507,497,339,110,5,0,3031,609,348,903,537,312,218,47,3,0,2986,33,67,174,172,161,127,22,4,0,763,10,24,66,59,25,27,11,0,0,225,4,32,196,142,119,44,13,0,0,556,8,41,147,131,108,74,35,12,0,562,37,143,623,504,378,261,88,7,0,2049,24,81,307,305,282,178,40,3,0,1222,80,483,1655,1763,1539,953,188,9,0,6673,105,267,968,1225,1123,740,172,14,0,4612,115,590,2566,1838,1261,934,246,9,0,7560,85,106,205,132,120,66,21,0,0,739,68,119,377,343,234,146,45,5,0,1339
RA73,471,775,2755,2379,1953,1747,560,68,9,10708,14,18,34,33,28,16,9,3,0,154,0,0,9,12,8,9,0,0,0,44,8,8,25,19,18,3,7,0,0,88,3,0,4,8,15,12,0,0,0,44,9,18,65,62,64,45,12,4,0,272,3,13,30,23,23,20,4,0,0,116,133,55,201,98,108,116,25,0,0,741,89,59,218,116,80,87,22,0,0,675,5,15,42,25,43,37,10,0,0,167,6,7,17,10,10,7,0,0,0,63,0,9,21,25,11,10,0,0,0,73,3,13,23,22,20,13,6,0,0,103,5,20,149,101,108,73,14,0,0,470,9,24,73,70,57,54,11,0,0,296,19,115,440,409,371,260,47,0,0,1667,64,79,360,319,367,294,78,0,0,1562,52,201,933,666,547,397,117,9,0,2912,27,27,81,46,43,36,24,0,0,284,19,30,106,100,84,66,19,0,0,426
