RA_CODE_2021,M_Singapore_0_4,M_Singapore_5_14,M_Singapore_15_24,M_Singapore_25_44,M_Singapore_45_54,M_Singapore_55_64,M_Singapore_65_74,M_Singapore_75_84,M_Singapore_85ov,M_Singapore_Tot,M_South_Africa_0_4,M_South_Africa_5_14,M_South_Africa_15_24,M_South_Africa_25_44,M_South_Africa_45_54,M_South_Africa_55_64,M_South_Africa_65_74,M_South_Africa_75_84,M_South_Africa_85ov,M_South_Africa_Tot,M_Sri_Lanka_0_4,M_Sri_Lanka_5_14,M_Sri_Lanka_15_24,M_Sri_Lanka_25_44,M_Sri_Lanka_45_54,M_Sri_Lanka_55_64,M_Sri_Lanka_65_74,M_Sri_Lanka_75_84,M_Sri_Lanka_85ov,M_Sri_Lanka_Tot,M_Taiwan_0_4,M_Taiwan_5_14,M_Taiwan_15_24,M_Taiwan_25_44,M_Taiwan_45_54,M_Taiwan_55_64,M_Taiwan_65_74,M_Taiwan_75_84,M_Taiwan_85ov,M_Taiwan_Tot,M_Thailand_0_4,M_Thailand_5_14,M_Thailand_15_24,M_Thailand_25_44,M_Thailand_45_54,M_Thailand_55_64,M_Thailand_65_74,M_Thailand_75_84,M_Thailand_85ov,M_Thailand_Tot,M_Turkey_0_4,M_Turkey_5_14,M_Turkey_15_24,M_Turkey_25_44,M_Turkey_45_54,M_Turkey_55_64,M_Turkey_65_74,M_Turkey_75_84,M_Turkey_85ov,M_Turkey_Tot,M_USA_0_4,M_USA_5_14,M_USA_15_24,M_USA_25_44,M_USA_45_54,M_USA_55_64,M_USA_65_74,M_USA_75_84,M_USA_85ov,M_USA_Tot,M_Vietnam_0_4,M_Vietnam_5_14,M_Vietnam_15_24,M_Vietnam_25_44,M_Vietnam_45_54,M_Vietnam_55_64,M_Vietnam_65_74,M_Vietnam_75_84,M_Vietnam_85ov,M_Vietnam_Tot,M_Wales_0_4,M_Wales_5_14,M_Wales_15_24,M_Wales_25_44,M_Wales_45_54,M_Wales_55_64,M_Wales_65_74,M_Wales_75_84,M_Wales_85ov,M_Wales_Tot,M_Zimbabwe_0_4,M_Zimbabwe_5_14,M_Zimbabwe_15_24,M_Zimbabwe_25_44,M_Zimbabwe_45_54,M_Zimbabwe_55_64,M_Zimbabwe_65_74,M_Zimbabwe_75_84,M_Zimbabwe_85ov,M_Zimbabwe_Tot,M_Elsewhere_0_4,M_Elsewhere_5_14,M_Elsewhere_15_24,M_Elsewhere_25_44,M_Elsewhere_45_54,M_Elsewhere_55_64,M_Elsewhere_65_74,M_Elsewhere_75_84,M_Elsewhere_85ov,M_Elsewhere_Tot,M_COB_NS_0_4,M_COB_NS_5_14,M_COB_NS_15_24,M_COB_NS_25_44,M_COB_NS_45_54,M_COB_NS_55_64,M_COB_NS_65_74,M_COB_NS_75_84,M_COB_NS_85ov,M_COB_NS_Tot,M_Tot_0_4,M_Tot_5_14,M_Tot_15_24,M_Tot_25_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Afghanistan_0_4,F_Afghanistan_5_14,F_Afghanistan_15_24,F_Afghanistan_25_44,F_Afghanistan_45_54,F_Afghanistan_55_64,F_Afghanistan_65_74,F_Afghanistan_75_84,F_Afghanistan_85ov,F_Afghanistan_Tot,F_Australia_0_4,F_Australia_5_14,F_Australia_15_24,F_Australia_25_44,F_Australia_45_54,F_Australia_55_64,F_Australia_65_74,F_Australia_75_84,F_Australia_85ov,F_Australia_Tot,F_Bangladesh_0_4,F_Bangladesh_5_14,F_Bangladesh_15_24,F_Bangladesh_25_44,F_Bangladesh_45_54,F_Bangladesh_55_64,F_Bangladesh_65_74,F_Bangladesh_75_84,F_Bangladesh_85ov,F_Bangladesh_Tot,F_Bosnia_Herzegov_0_4,F_Bosnia_Herzegov_5_14,F_Bosnia_Herzegov_15_24,F_Bosnia_Herzegov_25_44,F_Bosnia_Herzegov_45_54,F_Bosnia_Herzegov_55_64,F_Bosnia_Herzegov_65_74,F_Bosnia_Herzegov_75_84,F_Bosnia_Herzegov_85ov,F_Bosnia_Herzegov_Tot,F_Brazil_0_4,F_Brazil_5_14,F_Brazil_15_24,F_Brazil_25_44,F_Brazil_45_54,F_Brazil_55_64,F_Brazil_65_74,F_Brazil_75_84,F_Brazil_85ov,F_Brazil_Tot,F_Cambodia_0_4,F_Cambodia_5_14,F_Cambodia_15_24,F_Cambodia_25_44,F_Cambodia_45_54,F_Cambodia_55_64,F_Cambodia_65_74,F_Cambodia_75_84,F_Cambodia_85ov,F_Cambodia_Tot,F_Canada_0_4,F_Canada_5_14,F_Canada_15_24,F_Canada_25_44,F_Canada_45_54,F_Canada_55_64,F_Canada_65_74,F_Canada_75_84,F_Canada_85ov,F_Canada_Tot
RA23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,13,7,29,17,38,34,23,11,161,54,193,119,305,167,339,324,159,63,1728,0,0,0,0,0,0,0,0,0,0,66,154,76,247,125,264,193,123,52,1302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,7,0,0,0,24,0,0,0,17,3,10,4,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA29,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,0,0,0,0,17,0,0,0,7,0,3,0,0,0,16,0,0,0,5,0,0,0,0,0,8,0,0,6,0,0,0,0,0,0,6,0,0,0,8,3,3,0,0,0,12,3,6,4,11,4,0,0,0,0,25,0,0,0,3,4,7,0,0,0,15,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,7,7,47,21,6,14,0,0,116,82,152,196,811,414,269,123,20,10,2079,222,370,575,1944,912,644,392,90,15,5170,0,0,0,0,0,0,0,0,0,3,115,187,298,689,232,260,124,26,10,1934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,7,0,0,0,3,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,14
RA30,51,339,385,984,479,316,239,78,16,2884,97,1230,2357,6608,3928,2719,1605,635,134,19301,25,230,489,1850,818,702,510,260,67,4952,82,335,507,3308,666,455,581,175,18,6136,44,425,698,1277,226,103,54,11,3,2843,3,40,40,431,228,187,62,45,12,1054,185,783,955,2255,1087,950,775,342,73,7405,51,435,915,2622,2106,1774,1061,332,108,9405,3,100,157,553,499,435,376,249,64,2451,0,49,307,1240,730,647,359,95,16,3448,377,2963,4719,17326,6834,5923,4774,2961,954,46830,3866,9086,9663,24726,10095,8121,6631,4441,2092,78722,99545,222131,215785,462858,211755,176122,139422,76805,23683,1628118,17,156,324,964,273,110,45,21,8,1922,87292,178527,158767,288327,138735,118179,97939,55351,24057,1147173,8,109,125,791,156,78,37,11,0,1317,0,9,33,636,340,445,219,99,21,1798,24,161,452,4583,505,156,92,29,6,6005,10,45,82,473,276,203,127,47,28,1283,77,324,421,2374,791,592,391,144,56,5171
RA31,11,29,26,110,64,42,23,9,4,310,24,200,384,950,674,573,292,152,40,3283,9,61,45,300,133,59,38,20,5,668,6,19,40,321,9,6,13,4,0,417,3,74,77,136,38,12,3,0,0,349,9,7,0,23,23,17,9,8,0,100,20,91,115,268,181,223,239,101,17,1263,0,41,80,207,120,62,24,4,4,551,0,9,24,58,58,89,102,76,16,437,0,37,81,205,230,212,130,34,7,936,60,380,462,1582,759,889,939,657,191,5922,1320,3541,3656,8914,5232,5203,4220,2567,926,35585,26815,66532,57150,110049,61935,66894,61475,33236,9055,493146,0,9,20,45,16,3,4,0,0,104,23717,56890,46116,89025,50308,53993,47053,25618,9975,402692,3,15,26,134,21,13,7,0,0,210,0,0,0,8,8,12,5,5,0,32,0,17,50,204,79,22,10,3,0,394,0,11,3,49,12,7,4,0,0,102,10,52,42,305,140,169,138,44,12,909
RA32,0,8,16,44,42,27,22,10,0,166,9,139,204,563,357,262,140,36,8,1731,8,26,48,174,60,50,44,27,4,437,0,16,14,162,12,8,4,0,0,220,8,86,110,232,37,16,12,5,0,506,0,0,3,22,16,19,0,3,0,71,8,55,68,271,126,165,187,80,16,968,0,35,66,139,97,41,27,5,0,419,0,3,12,73,48,74,53,41,5,310,0,15,42,128,114,96,52,19,4,466,56,369,582,2304,844,910,780,535,154,6538,1391,3748,4586,10615,5163,4926,3542,1817,582,36370,19602,47186,42088,86095,45799,46147,37249,18042,4663,346876,0,3,0,16,0,0,0,0,0,22,16803,38642,31935,62216,33100,32635,24715,12500,4599,257146,0,5,12,33,10,0,0,0,0,60,0,0,0,13,0,6,7,0,0,34,0,10,15,186,27,19,10,5,0,275,0,4,8,49,19,0,10,0,0,97,9,29,48,356,112,137,101,40,6,841
RA33,0,0,0,0,3,0,0,0,0,9,6,22,18,78,29,25,15,5,0,197,0,3,6,23,8,8,5,0,0,41,0,0,0,8,0,0,0,0,0,13,3,4,0,8,3,0,0,0,0,18,0,0,0,0,0,0,0,0,0,5,3,3,13,21,3,8,16,5,0,76,0,3,0,12,3,0,0,0,0,25,0,0,0,8,0,3,0,3,0,20,0,4,15,28,13,17,7,0,0,78,3,3,21,206,52,57,80,64,7,486,215,419,601,1649,811,797,500,239,55,5290,2498,4993,4227,9885,4905,5234,3714,1678,358,37500,0,0,0,0,0,0,0,0,0,0,2115,4078,3157,6795,3285,3176,2208,1042,328,26181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7,3,0,0,0,0,14,0,0,0,0,0,0,0,0,0,3,0,3,0,39,8,11,3,3,0,67
RA34,0,0,0,0,0,0,4,0,0,8,0,0,0,32,16,8,5,0,0,60,0,0,0,13,0,3,0,0,0,18,0,0,0,8,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,10,10,4,7,0,0,32,0,9,12,45,3,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,0,0,0,15,0,4,6,62,18,30,18,11,5,156,154,334,375,1027,486,541,299,160,39,3410,1964,4017,3440,6977,3362,3464,2277,1016,231,26748,0,0,0,0,0,0,0,0,0,0,1720,3417,2885,5710,2589,2475,1516,710,274,21292,0,3,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,8,0,0,5,3,0,0,0,0,0,7,0,0,0,15,0,10,0,0,0,22
RA35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,67,29,3,0,0,0,109,0,0,4,91,42,3,3,0,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA39,0,0,0,4,0,0,0,0,0,4,6,0,4,17,3,6,8,4,0,49,0,0,0,0,0,0,0,0,0,8,0,0,0,14,0,0,0,0,0,14,0,0,3,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,9,8,7,3,0,0,35,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,6,0,0,11,0,6,21,121,14,24,23,7,0,217,37,63,162,602,259,226,173,37,5,1560,277,478,719,2497,1042,1297,1253,283,23,7861,0,0,0,0,0,0,0,0,0,0,182,360,477,1102,563,778,567,98,19,4153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,4,15,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,3,0,9,4,5,4,0,0,21
RA40,20,119,175,444,167,104,125,43,11,1201,24,330,447,1062,672,398,231,117,22,3296,29,209,275,1279,405,188,106,62,12,2566,5,30,71,392,43,37,25,11,0,615,21,88,165,523,71,35,8,9,0,922,0,15,11,121,60,44,39,27,11,333,57,229,259,646,329,296,238,116,27,2192,35,280,701,1942,1433,1517,909,241,84,7151,3,32,61,183,188,287,207,135,58,1155,8,25,67,233,139,95,41,6,4,616,153,1404,2345,6721,2974,2514,2163,1472,646,20392,1005,2396,2736,7316,3268,3043,2475,1778,910,24921,37315,80737,84207,183025,83040,77760,63520,35551,13441,658606,22,273,745,1652,466,200,75,17,3,3453,33126,65634,60361,116007,57936,54146,44030,23601,11429,466281,13,121,95,648,96,34,7,4,0,1021,0,7,14,356,207,277,160,79,23,1128,5,50,43,800,73,22,16,7,0,1018,11,64,111,706,399,320,245,72,31,1952,27,81,92,471,173,184,109,40,11,1190
