RA_CODE_2021,P_Mng_0,P_Mng_1_19,P_Mng_20_29,P_Mng_30_34,P_Mng_35_39,P_Mng_40_44,P_Mng_45_49,P_Mng_50_over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_19,P_Pro_20_29,P_Pro_30_34,P_Pro_35_39,P_Pro_40_44,P_Pro_45_49,P_Pro_50_over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_19,P_TTW_20_29,P_TTW_30_34,P_TTW_35_39,P_TTW_40_44,P_TTW_45_49,P_TTW_50_over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_19,P_CPS_20_29,P_CPS_30_34,P_CPS_35_39,P_CPS_40_44,P_CPS_45_49,P_CPS_50_over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_19,P_CA_20_29,P_CA_30_34,P_CA_35_39,P_CA_40_44,P_CA_45_49,P_CA_50_over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_19,P_Sal_20_29,P_Sal_30_34,P_Sal_35_39,P_Sal_40_44,P_Sal_45_49,P_Sal_50_over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_19,P_MOD_20_29,P_MOD_30_34,P_MOD_35_39,P_MOD_40_44,P_MOD_45_49,P_MOD_50_over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_19,P_Lab_20_29,P_Lab_30_34,P_Lab_35_39,P_Lab_40_44,P_Lab_45_49,P_Lab_50_over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_24,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
RA32,1201,1826,2034,1822,6052,8271,3435,14335,593,39577,2945,4678,5538,5300,10721,11111,3583,7769,371,52017,2088,2918,2733,2274,10294,11850,4338,10842,801,48135,2426,7843,7628,5413,7712,5382,1728,3180,719,42034,1606,4347,4841,3372,10536,6421,1593,2602,307,35627,1167,8444,4438,2395,4604,2800,854,1545,356,26606,1739,1680,1697,1155,3948,4739,2261,10447,661,28319,1619,8584,5176,3397,6949,5246,1632,4407,966,37987,399,555,333,288,922,808,253,844,1832,6236,15190,40882,34420,25421,61741,56620,19673,55969,6614,316533
RA33,152,291,236,197,514,906,369,3414,138,6213,229,314,367,319,689,938,339,784,51,4017,240,262,185,149,642,940,745,1638,102,4902,206,490,491,366,709,391,116,302,81,3150,149,394,422,232,749,630,188,337,44,3141,79,465,253,161,360,216,61,132,44,1768,296,193,138,93,353,516,644,1804,125,4167,231,787,493,298,657,614,250,1071,126,4526,66,49,42,33,59,90,31,133,298,786,1633,3245,2620,1846,4725,5232,2748,9615,1003,32678
RA34,114,175,126,116,367,673,242,2458,106,4381,210,189,242,240,563,733,218,542,40,2975,127,179,123,107,429,618,209,914,77,2785,139,355,332,296,479,450,78,298,70,2500,116,237,221,177,606,443,87,262,39,2201,42,215,149,114,183,145,38,117,28,1036,134,130,72,52,190,286,137,912,73,1984,155,462,282,190,532,601,166,1108,105,3593,39,60,30,21,64,78,11,112,268,675,1079,1998,1585,1310,3414,4030,1187,6722,802,22125
RA35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,5,17,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,26,5,29
RA39,30,29,30,14,48,59,12,56,5,290,55,75,60,40,86,119,13,34,10,488,40,35,39,14,72,73,26,63,15,386,78,88,83,51,62,34,10,20,12,429,40,48,46,18,68,39,9,13,6,275,38,45,38,18,31,18,3,13,8,208,35,23,27,17,36,41,25,109,12,319,46,117,78,74,121,112,41,118,23,732,9,6,9,9,15,10,0,9,38,98,371,466,404,251,535,500,136,436,124,3219
RA40,2204,3801,4860,4493,17430,19108,8159,17100,456,77609,6654,14549,17034,15782,39620,32676,10004,16928,875,154124,2864,6570,7283,5531,22547,21589,6034,9497,961,82889,5089,21503,18155,10886,14070,8224,2847,3987,1067,85821,3286,10109,12180,8707,29275,13805,3579,4158,488,85586,2252,19331,10213,4409,9083,5433,1699,2330,542,55301,1529,3228,3716,2567,9112,6969,2544,5413,611,35687,2432,17113,10518,5257,11836,7029,2072,3246,963,60459,578,1265,911,672,2387,1625,449,898,2348,11128,26881,97470,84861,58297,155366,116460,37387,63554,8324,648608
RA41,404,858,937,819,1783,2600,1156,3540,157,12250,657,1363,1553,1361,2154,2287,760,1420,97,11641,481,1067,1064,792,2790,2910,873,1756,173,11907,671,2509,2085,1243,1338,933,307,431,142,9665,329,1424,1465,998,2159,1302,302,467,66,8503,305,2036,1193,605,948,647,226,312,118,6384,317,410,410,296,928,1000,421,1244,111,5137,545,2860,1489,905,1877,1853,422,686,237,10878,111,158,111,65,204,218,47,130,378,1421,3812,12688,10300,7085,14174,13754,4516,9980,1481,77793
RA42,454,922,977,775,1818,2967,1267,4961,229,14376,613,1002,1284,1133,2316,2327,846,1469,76,11062,444,896,864,731,2775,3102,1021,1960,177,11962,672,2389,2453,1554,1650,1081,305,630,218,10945,340,1329,1425,1053,2227,1189,328,413,64,8366,296,2314,1430,741,1113,742,197,374,133,7334,438,493,492,326,1270,1432,928,2189,165,7732,677,3153,1674,1104,2461,1990,602,1109,321,13097,125,190,114,65,278,196,76,190,495,1725,4055,12684,10718,7474,15897,15030,5575,13291,1879,86611
RA43,136,256,269,205,411,766,332,1517,55,3944,176,280,324,252,455,503,181,433,25,2635,156,225,218,180,538,689,232,687,51,2978,146,521,518,330,321,214,64,127,40,2275,113,350,348,256,412,248,64,134,20,1945,66,484,282,182,241,173,57,80,29,1595,155,117,105,70,190,215,109,629,33,1619,206,649,378,200,382,391,100,322,64,2696,40,29,26,21,50,40,10,72,117,410,1195,2926,2478,1689,2994,3230,1134,4005,428,20087
RA44,29,59,66,53,129,203,98,493,30,1156,39,64,92,105,199,164,60,109,30,870,35,61,42,44,101,134,40,157,12,620,38,127,105,78,166,103,30,53,32,733,20,82,56,61,136,66,19,40,0,490,21,84,59,26,59,38,14,22,13,332,28,35,33,10,39,63,16,192,11,435,43,161,117,70,98,127,39,139,28,822,10,15,6,9,11,7,0,10,63,133,263,688,586,455,933,900,326,1217,218,5579
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
RA49,7,8,7,4,17,17,3,9,0,66,19,12,8,13,25,19,4,18,3,123,7,11,9,3,20,19,7,22,6,106,4,23,16,11,12,3,0,7,7,76,8,13,5,5,11,5,3,9,0,64,7,15,7,3,8,5,0,3,0,57,11,9,6,0,10,15,6,14,3,66,5,41,20,16,17,14,3,17,6,141,8,0,0,0,4,0,5,3,15,27,70,122,87,60,133,94,31,93,38,724
RA50,3526,5989,7321,6288,22133,32776,13034,31895,824,123791,10768,24691,25951,20354,50952,63361,18219,33419,1563,249280,6371,10728,10822,8289,30248,38462,12852,32992,2263,153037,5916,32308,25530,14493,19203,14458,4140,7896,1791,125733,5152,18078,18875,11503,34992,26055,6168,8823,961,130606,2923,29471,15485,6459,11781,9027,2531,4595,902,83179,4352,6125,5656,3690,12532,12378,5629,20493,1461,72304,3804,25458,14606,7333,12901,11388,3421,10038,1613,90560,789,1713,1203,804,2651,2748,734,2051,4601,17292,43605,154566,125454,79209,197383,210657,66733,152204,15987,1045782
RA51,553,894,897,763,1686,2707,1163,3761,160,12587,956,1884,1932,1607,2683,3274,1092,2213,101,15733,1199,1357,1272,993,3192,4589,1710,5092,314,19721,739,2893,2505,1576,1719,1427,384,813,173,12230,592,2007,1922,1121,2489,1809,446,782,88,11257,410,2833,1611,832,1203,855,240,462,100,8545,957,657,607,370,1164,1690,955,3877,201,10485,690,3374,1901,1110,1921,1845,659,1621,301,13414,137,201,115,96,207,272,76,273,511,1888,6223,16094,12769,8476,16259,18461,6732,18893,1953,105860
RA52,574,870,920,694,1296,2522,1063,5034,217,13190,719,1365,1290,1113,2123,2633,956,1940,88,12232,672,923,872,705,1972,2987,1387,4060,241,13825,523,1930,1743,1196,1439,1320,384,734,152,9417,419,1456,1276,916,2017,1541,370,649,78,8715,269,1878,1084,562,996,769,263,413,79,6313,680,592,546,287,776,1235,807,3658,182,8756,538,2619,1528,898,1379,1590,593,1425,255,10813,133,142,109,55,148,173,61,202,421,1442,4524,11772,9363,6412,12145,14779,5885,18113,1708,84694
RA53,286,390,394,330,739,1441,690,3383,77,7741,448,462,503,473,1113,1403,482,1048,53,5988,463,391,336,266,853,1545,807,2931,155,7762,251,726,523,443,738,658,194,389,82,4010,231,598,580,365,1059,910,308,541,44,4635,111,644,333,201,436,362,131,249,46,2515,335,267,200,113,383,656,481,1971,81,4488,218,925,564,320,510,684,312,1047,119,4703,60,61,36,35,73,140,54,202,251,903,2404,4466,3465,2551,5907,7809,3462,11760,903,42735
RA54,141,137,121,89,332,583,291,1511,59,3258,212,247,223,197,642,742,310,855,60,3489,311,229,188,108,419,619,379,2336,89,4684,194,302,328,276,523,489,142,405,65,2724,148,230,240,149,529,400,149,369,24,2238,44,237,147,96,183,140,58,119,22,1051,387,201,134,62,190,255,236,2557,88,4114,159,398,249,213,334,385,148,1095,101,3087,55,39,23,19,55,59,23,143,222,643,1652,2029,1655,1211,3203,3663,1748,9389,733,25289
RA55,0,0,0,0,0,0,0,7,0,9,0,0,0,0,0,0,0,29,0,33,4,3,0,0,0,4,0,67,0,83,0,0,0,0,0,0,0,4,0,9,0,0,0,0,5,0,0,8,0,10,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,23,0,31,3,8,0,0,0,0,4,76,5,98,0,0,0,0,0,0,0,7,0,6,13,14,5,3,5,5,11,220,5,277
RA59,21,16,5,4,20,25,6,17,5,107,42,42,31,15,25,49,15,24,3,257,30,20,21,16,33,38,13,98,5,272,11,42,44,18,34,24,7,27,5,223,24,27,8,13,27,32,7,12,4,150,9,17,13,3,10,13,0,4,0,77,25,16,7,13,7,20,10,104,6,213,18,35,30,22,48,48,14,80,3,292,0,3,0,0,6,0,3,8,5,33,181,208,163,110,217,250,70,370,33,1614
RA61,601,1104,1376,1253,4334,4772,1925,4221,139,19726,1855,4060,4918,4231,9300,7257,2294,3834,214,37967,663,1723,2013,1541,5921,6349,1362,2014,292,21877,1277,5400,5104,3156,3840,2142,730,1157,337,23144,998,2583,3161,2266,6737,3036,777,1029,127,20713,657,4915,2673,1228,2518,1333,456,551,181,14505,386,843,923,552,1917,1804,760,1224,147,8558,638,4435,2739,1355,2960,1956,553,782,270,15693,154,323,260,197,572,415,116,220,650,2905,7235,25378,23170,15783,38093,29067,8976,15025,2359,165093
RA62,425,888,860,710,1739,2647,942,3343,188,11751,716,1577,1710,1368,2543,2353,735,1313,114,12414,503,1075,1078,849,3038,3596,904,1664,223,12938,773,2572,2586,1467,1526,976,317,574,177,10966,433,1438,1475,953,2285,1250,298,446,75,8646,337,2316,1309,648,1130,663,231,296,111,7033,450,530,535,344,1277,1456,730,1739,169,7226,688,2936,1687,1092,2043,1831,537,901,272,11989,138,206,128,85,218,219,66,183,468,1696,4456,13543,11361,7521,15802,14984,4757,10451,1785,84657
RA63,35,41,41,31,74,116,39,189,9,569,19,57,33,23,41,71,28,63,4,347,12,42,37,36,94,87,36,105,10,452,38,101,83,56,62,44,6,30,13,423,13,52,63,29,54,24,7,16,3,273,9,48,44,24,35,22,6,9,8,200,28,23,20,13,45,45,23,138,3,339,49,174,102,59,108,84,16,83,15,689,8,4,3,5,7,4,3,11,20,70,221,542,426,279,514,492,167,644,77,3370
RA64,9,26,27,30,33,57,33,100,11,334,9,13,24,15,17,34,6,16,0,137,3,11,13,18,39,40,10,22,0,167,9,28,25,9,11,10,0,10,0,104,11,23,19,17,25,14,0,3,0,117,9,17,13,7,3,18,0,5,0,71,3,5,3,4,13,18,3,12,4,72,17,62,25,24,25,59,16,29,3,253,3,8,3,0,3,4,5,6,8,32,71,196,152,126,171,262,76,201,32,1288
RA65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,12
RA69,3,5,0,0,5,6,0,0,0,24,8,7,8,7,10,7,4,0,0,50,6,5,8,0,10,16,7,0,0,48,5,12,8,3,0,3,0,0,0,39,0,4,7,4,6,0,0,0,0,27,0,9,8,0,3,0,0,0,0,21,0,5,0,0,9,9,4,5,0,37,3,13,9,6,9,9,0,4,0,50,0,0,0,0,4,3,0,0,6,11,26,48,49,24,56,56,18,23,10,309
RA72,397,281,333,412,2063,2449,970,2708,76,9679,924,1014,1102,1200,4446,4067,1111,2180,138,16185,457,517,616,529,2540,3000,866,2047,208,10791,555,1369,1385,973,2298,2192,724,1241,200,10944,537,780,874,758,3844,2184,583,883,115,10565,204,1361,907,476,1056,635,171,341,61,5211,271,257,371,211,697,768,320,1066,66,4011,176,1171,881,525,1108,876,233,692,130,5798,84,86,80,62,289,250,39,157,406,1448,3611,6837,6548,5143,18343,16415,5016,11325,1401,74631
RA73,119,105,97,98,654,619,274,756,30,2754,295,305,329,388,1370,1229,327,630,55,4933,110,154,138,123,674,803,246,541,39,2832,193,407,325,287,1020,644,241,515,67,3704,133,208,202,172,986,497,116,215,39,2569,48,271,161,86,272,172,61,119,11,1205,41,64,67,42,179,184,66,262,16,918,76,282,182,111,433,308,78,241,46,1757,38,28,22,27,104,99,22,59,175,566,1053,1814,1529,1332,5689,4555,1442,3335,484,21232
RA74,64,48,32,35,256,257,124,510,27,1350,150,213,191,138,591,512,143,346,45,2338,59,69,85,50,200,223,125,267,12,1089,115,218,254,227,565,354,77,230,46,2086,53,62,82,57,305,206,37,89,14,920,16,109,98,43,98,81,23,24,19,507,28,41,39,12,82,89,56,216,19,592,47,160,134,94,248,217,65,413,42,1404,37,12,11,7,22,21,0,15,196,322,565,942,909,665,2386,1962,660,2111,415,10616
RA75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,18,0,18,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,4,0,0,0,0,0,13,3,26,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,42,3,56
RA79,15,5,3,3,3,11,3,6,0,54,28,16,7,8,18,17,6,9,3,107,8,5,3,0,8,6,0,19,3,49,12,3,6,4,13,15,4,3,4,62,12,7,9,3,4,5,0,5,0,46,6,3,0,5,0,3,3,3,0,19,0,0,0,0,0,0,5,13,3,31,9,18,7,8,25,13,5,23,8,107,0,3,0,0,3,0,0,0,13,22,92,62,38,34,83,59,22,82,27,500
RA80,2016,1446,2163,2397,10149,12335,4883,8689,187,44273,3310,5854,6155,5346,22377,21267,5205,8126,379,78028,812,1753,1912,1399,6075,6966,1841,2717,303,23783,1446,6953,4697,2610,4966,3274,1098,1731,305,27081,1650,3374,3845,2663,13485,7331,1655,1849,231,36079,716,5486,2708,1032,2439,1464,457,747,112,15170,254,739,716,391,1090,1215,502,968,121,5998,519,3437,2243,831,2041,1845,428,783,205,12328,222,401,363,275,1330,1099,240,532,783,5259,10958,29450,24805,16929,63954,56807,16311,26143,2633,247998
RA81,6,3,3,8,18,29,9,17,0,92,3,8,11,12,22,19,6,10,0,92,5,3,0,6,10,29,6,9,5,64,9,5,0,3,0,0,5,3,0,35,3,3,7,3,13,11,3,5,0,46,0,4,3,0,0,0,0,3,0,13,0,0,0,0,5,0,0,0,0,11,0,9,0,3,3,11,0,0,0,36,0,0,0,0,4,0,0,0,0,7,28,40,35,39,68,101,27,54,7,394
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA89,8,0,6,3,4,9,0,12,0,28,0,7,8,4,16,13,3,4,0,51,5,3,0,0,5,4,5,3,0,25,0,10,5,3,4,7,0,4,0,30,3,4,0,4,14,0,0,0,0,27,0,17,3,0,0,0,0,0,0,21,0,0,3,4,0,0,0,0,0,5,3,5,4,0,0,3,0,0,0,19,0,0,0,0,0,0,0,0,0,0,16,45,20,12,45,33,12,25,3,216
RA91,3,0,0,0,4,7,3,8,3,28,3,3,5,0,4,3,0,0,0,21,0,0,0,0,5,5,0,0,0,7,3,0,3,0,0,0,0,3,0,10,0,0,0,0,4,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,10,0,0,0,0,0,0,0,0,6,0,9,8,6,0,16,19,3,18,3,93
