RA_CODE_2021,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_married,M_75_84_yr_Tot,M_85ov_Married,M_85ov_Separated,M_85ov_Divorced,M_85ov_Widowed,M_85ov_Never_married,M_85ov_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_married,F_75_84_yr_Tot,F_85ov_Married,F_85ov_Separated,F_85ov_Divorced,F_85ov_Widowed,F_85ov_Never_married,F_85ov_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_married,P_75_84_yr_Tot,P_85ov_Married,P_85ov_Separated,P_85ov_Divorced,P_85ov_Widowed,P_85ov_Never_married,P_85ov_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_married,P_Tot_Tot
RA23,0,0,0,0,72,72,0,0,0,0,49,53,37,0,4,0,91,131,83,6,11,0,64,172,91,6,21,7,47,167,183,22,57,7,78,339,206,17,56,17,34,324,95,9,17,17,17,159,30,7,5,20,5,63,731,64,173,55,450,1477,0,0,0,0,54,54,0,0,0,0,36,37,56,0,7,0,63,125,99,6,0,3,57,170,101,15,18,0,38,166,205,16,53,12,33,320,166,7,33,29,9,239,84,0,13,61,4,158,18,0,6,54,3,71,725,48,123,154,286,1340,0,0,0,0,122,122,5,0,0,0,88,89,96,3,9,0,150,258,189,9,20,6,116,342,189,26,39,8,79,335,385,34,107,22,115,657,371,24,87,43,40,566,176,12,32,74,21,311,47,7,5,67,3,133,1456,108,300,216,739,2817
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,9,0,0,0,16,0,0,3,0,0,3,3,5,3,0,0,10,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,11,13,6,0,8,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,9,0,0,0,16,0,0,3,0,0,3,7,5,3,0,0,14,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,13,6,0,8,38
RA29,0,0,0,0,234,234,9,0,0,0,337,345,92,35,27,0,783,939,241,98,84,0,575,1008,195,137,156,4,417,912,215,82,166,14,164,644,169,51,115,20,38,392,39,7,28,14,8,90,9,0,4,4,0,15,963,416,581,56,2551,4576,0,0,0,0,231,229,13,0,0,0,304,321,119,58,20,7,682,878,166,60,79,16,412,730,103,65,116,14,185,479,157,39,119,32,79,429,96,13,66,13,28,224,19,6,11,17,6,58,5,4,0,10,0,19,676,246,425,103,1924,3373,0,0,0,0,461,459,18,0,0,3,641,671,207,93,52,7,1467,1819,409,162,165,11,992,1736,300,203,272,18,600,1393,371,123,283,49,243,1074,269,66,180,36,62,613,59,8,45,33,12,152,9,4,7,13,0,29,1642,658,1005,165,4474,7946
RA30,98,25,20,21,104077,104246,2368,167,69,48,108878,111539,64324,3513,3624,183,163561,235209,132825,8862,13514,459,71990,227650,130124,11237,24876,1171,44346,211755,112900,8585,27833,2640,24165,176122,95928,5740,21893,5630,10232,139422,53924,2274,8883,8323,3406,76805,13365,432,1582,7373,930,23683,605859,40840,102292,25861,531592,1306440,134,28,20,14,99953,100150,4683,397,108,57,107162,112406,85431,6154,5960,354,149019,246916,143015,12621,19858,1317,64529,241334,131596,14137,35920,3778,39480,224915,110603,10259,40809,9367,20167,191204,87651,5920,32214,21065,8549,155397,39363,1842,13384,30836,3082,88507,6765,260,2950,27082,1323,38383,609232,51625,151215,93864,493265,1399201,231,59,40,39,204029,204395,7051,562,175,110,216040,223940,149756,9663,9585,542,312580,482124,275840,21481,33373,1772,136517,468983,261723,25377,60794,4950,83831,436674,223498,18844,68641,12007,44334,367325,183580,11664,54101,26695,18779,294820,93282,4111,22267,39157,6488,165311,20131,695,4530,34463,2259,62072,1215090,92460,253514,119723,1024858,2705645
RA31,37,5,5,3,30984,31037,885,82,26,14,25103,26108,16604,1143,934,60,35770,54517,30485,2780,3562,142,18570,55532,35444,3790,7772,459,14478,61935,40905,3561,11171,1229,10027,66894,41349,2825,10219,2813,4275,61475,22841,1018,4097,3796,1487,33236,5053,171,655,2816,360,9055,193607,15371,38429,11334,141048,399798,58,15,11,3,28916,29000,1606,122,28,18,23153,24933,21039,1896,1553,127,31450,56068,33121,3888,5085,486,16434,59020,37507,4397,10521,1275,11862,65562,42823,3886,13719,3684,6778,70886,37869,2244,10968,8554,2716,62347,16636,697,4236,12466,938,34973,2480,86,811,9582,366,13324,193138,17235,46938,36199,122606,416111,96,21,12,10,59896,60040,2490,203,55,33,48247,51039,37644,3045,2492,193,67218,110592,63604,6662,8647,628,35006,114549,72948,8185,18296,1733,26336,127493,83729,7445,24888,4914,16804,137784,79220,5068,21183,11370,6988,123830,39475,1717,8329,16263,2419,68209,7535,257,1471,12400,724,22375,386748,32608,85368,47536,263652,815909
RA32,30,19,4,3,21278,21332,524,64,13,12,20137,20756,11354,786,697,48,30883,43772,21683,1861,2716,102,15955,42321,24822,2606,5664,316,12394,45799,26075,2556,7980,831,8701,46147,22811,1958,6877,1806,3795,37249,11455,702,2512,2128,1246,18042,2491,101,353,1429,279,4663,121261,10658,26818,6677,114675,280083,30,4,0,8,20240,20283,818,66,28,21,18113,19055,14546,1213,964,99,27371,44196,24035,2578,3617,292,14087,44603,25456,2972,7186,874,9856,46347,25988,2464,8828,2425,5621,45335,19747,1424,6361,5104,1973,34606,8155,400,2221,6633,572,17979,1149,42,352,4879,168,6600,119918,11180,29562,20335,98002,278997,58,23,5,15,41520,41613,1337,136,37,34,38257,39805,25905,2003,1662,152,58255,87970,45718,4440,6332,385,30045,86925,50278,5582,12853,1188,22247,92148,52066,5024,16810,3252,14324,91486,42558,3383,13236,6911,5768,71853,19611,1093,4731,8762,1819,36024,3641,147,711,6312,452,11258,241179,21835,56382,27008,212678,559083
RA33,5,0,0,0,1993,1997,55,7,0,0,2161,2225,1384,78,77,3,3814,5363,2247,181,264,8,1830,4527,2494,268,571,45,1526,4905,2784,299,914,109,1125,5234,2094,225,703,192,502,3714,947,74,272,234,154,1678,175,5,35,111,30,358,12190,1139,2835,706,13135,30007,5,0,0,0,1741,1747,82,9,0,0,2033,2126,1701,103,82,13,3294,5195,2297,190,229,37,1572,4322,2494,233,481,84,1055,4345,2598,196,730,211,607,4346,1774,114,400,460,209,2952,646,28,127,574,42,1414,81,4,20,338,11,459,11683,877,2070,1712,10565,26915,5,0,0,0,3740,3749,136,13,3,0,4196,4358,3088,180,168,16,7112,10558,4543,369,493,44,3403,8851,4992,504,1049,131,2579,9252,5384,496,1643,322,1729,9574,3874,341,1099,648,707,6674,1593,102,399,808,198,3097,265,13,49,447,39,817,23879,2021,4904,2422,23703,56924
RA34,7,0,0,9,1614,1630,38,6,3,0,1764,1811,806,54,36,0,2972,3865,1336,85,123,6,1564,3115,1576,155,298,28,1297,3362,1817,165,470,93,917,3464,1227,140,392,157,363,2277,526,59,152,153,124,1016,107,7,17,66,36,231,7434,674,1494,517,10643,20769,3,3,0,0,1514,1517,53,0,3,0,1785,1838,969,60,49,8,2834,3915,1366,115,147,24,1614,3253,1542,123,289,70,1203,3229,1769,148,412,222,651,3192,967,64,263,337,250,1885,342,17,87,379,71,893,53,0,12,255,11,333,7074,536,1255,1289,9922,20069,13,3,0,9,3126,3147,92,6,4,0,3544,3652,1771,117,80,11,5803,7783,2695,201,268,24,3174,6369,3114,284,594,99,2497,6589,3584,312,881,311,1564,6658,2200,211,653,496,614,4165,870,68,240,535,191,1912,162,4,32,322,54,574,14500,1210,2753,1805,20564,40838
RA35,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,31,37,42,9,0,0,11,55,27,0,5,0,8,42,0,0,0,0,4,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,71,8,9,0,55,149,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,9,13,0,0,0,0,8,7,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,26,28,0,0,0,0,0,0,0,0,0,0,16,16,4,0,0,0,39,49,43,9,0,0,22,64,31,0,5,0,8,45,0,0,0,0,4,5,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,76,8,16,0,83,183
RA39,0,0,0,0,271,272,11,4,0,0,426,444,135,54,26,6,1083,1301,230,118,83,6,753,1194,242,131,195,4,472,1042,578,124,305,17,274,1297,641,130,313,63,107,1253,156,26,60,34,12,283,5,3,3,6,0,23,2006,593,977,134,3398,7108,0,0,0,5,288,291,15,9,0,0,466,493,174,60,25,0,1086,1345,248,82,99,14,439,885,281,87,195,16,306,887,641,71,299,43,124,1170,504,45,221,69,33,870,79,11,38,35,6,160,4,0,5,13,4,25,1943,363,881,194,2749,6127,3,0,0,5,556,566,22,9,0,0,894,934,314,112,46,6,2169,2649,479,204,180,16,1192,2077,522,224,395,23,776,1929,1217,195,598,62,394,2468,1146,184,528,132,140,2124,229,28,95,72,19,444,9,9,4,25,6,44,3948,959,1855,326,6142,13234
RA40,19,13,10,13,38773,38823,864,60,33,16,44417,45388,27563,1158,1278,43,64526,94580,52041,3163,4889,151,28201,88452,48607,4097,9428,506,20407,83040,47478,3526,12222,1232,13311,77760,43249,2410,9706,2737,5426,63520,25516,877,3820,3869,1472,35551,7647,197,728,4497,371,13441,252983,15496,42098,13062,216911,540543,56,13,9,6,36606,36691,2058,167,60,14,41105,43410,36285,2006,2123,128,54474,95017,54565,4374,7149,538,24516,91148,48757,5071,13483,1526,16711,85549,47278,4089,17485,4189,10754,83803,40697,2382,14608,9903,4652,72241,19871,748,5813,15866,1453,43752,3864,123,1494,16120,578,22172,253436,18970,62232,48283,190852,573770,73,23,20,12,75382,75510,2923,231,88,27,85526,88794,63852,3165,3399,173,119003,189595,106611,7538,12029,693,52721,179592,97362,9170,22910,2031,37117,168590,94758,7617,29709,5412,24064,161563,83941,4796,24313,12640,10076,135765,45389,1618,9636,19733,2927,79299,11503,312,2223,20618,944,35608,506418,34466,104333,61348,407762,1114313
