RA_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
RA72,56309,55301,111611,28961,22136,51101,6841,11686,18528,2358,2645,5004,1655,1477,3131,39816,37943,77762,11155,12770,23923,4.2,3.9,4,70.7,68.6,69.7,67.8,65.9,66.9,3547,4197,7745,937,2150,3085,7221,10956,18186,4566,5332,9898,13543,6746,20299,740,998,1741,747,876,1624,15036,8622,23662,49380,49197,98576,12981,13295,26284,27925,27202,55125,30389,31553,61951
RA73,18552,18672,37223,8247,6774,15022,1764,2910,4671,700,839,1540,555,493,1050,11266,11015,22282,5312,5815,11122,4.9,4.5,4.7,60.7,59,59.9,57.7,56.4,57,802,1106,1910,216,625,842,1792,3027,4822,1225,1457,2680,3867,1973,5840,225,309,530,228,293,518,4318,2572,6886,16527,16518,33041,3958,4388,8343,10255,10273,20532,8645,9223,17873
RA74,15786,15942,31720,3881,3234,7113,993,1529,2523,481,494,977,1108,932,2044,6473,6189,12655,7456,8284,15738,17.2,15.1,16.2,41,38.8,39.9,33.9,33,33.5,210,315,522,88,220,308,589,1012,1595,457,573,1031,2014,1084,3102,324,418,749,251,287,540,2597,1795,4389,16225,16312,32535,2627,2772,5405,12537,12752,25287,4665,4823,9487
RA75,83,11,94,40,6,46,0,0,6,12,0,12,4,0,4,58,3,63,6,4,8,3.6,0,3.3,65.9,45.5,63.5,63.5,45.5,61.5,0,0,0,0,0,0,6,0,7,6,0,6,16,6,23,6,0,3,6,0,6,25,4,32,42,10,53,15,0,18,21,3,29,35,5,37
RA79,1567,1486,3052,132,121,252,60,73,132,50,63,115,70,58,127,312,320,633,645,605,1251,22.5,18.6,20.5,19.8,21.5,20.6,15.4,17.5,16.4,32,50,84,20,34,60,91,166,259,63,85,157,231,92,324,16,14,30,19,23,39,261,125,389,541,431,972,721,747,1469,289,235,525,779,786,1563
RA80,180997,189472,370469,92826,70394,163218,26854,44331,71190,5659,7927,13591,5402,4500,9899,130738,127154,257894,42314,54952,97268,4.1,3.5,3.8,72.2,67.1,69.6,69.2,64.7,66.9,27441,25273,52714,6457,10325,16787,40513,49266,89783,15227,19077,34299,25089,14571,39654,1469,2029,3496,2003,3614,5619,28565,20211,48772,171583,178023,349613,40202,40732,80935,103287,108498,211783,97194,99588,196783
RA81,269,263,528,156,100,253,41,71,114,17,12,29,5,5,6,216,189,401,26,57,82,1.9,1.6,1.7,80.5,71.4,76,79,70.2,74.7,16,15,29,5,14,19,38,58,99,25,43,69,75,27,107,0,0,8,5,8,9,84,38,120,290,273,565,37,29,61,194,180,375,106,105,211
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA89,315,249,560,61,49,108,25,54,83,9,6,19,29,21,48,135,129,264,89,88,169,22.6,14.7,18.7,42.5,51.8,46.6,32.9,44.2,37.9,10,21,36,0,7,10,21,50,69,16,22,36,46,18,68,8,3,10,0,4,6,57,26,78,78,45,120,153,189,348,46,23,68,182,207,383
RA91,125,122,246,44,19,59,0,18,19,5,6,14,3,0,7,53,45,102,29,37,66,3.8,8.7,6.1,43.4,37.7,40.6,41.8,34.4,38.1,0,6,7,0,4,3,16,9,25,12,4,11,18,15,31,0,0,5,0,3,5,25,22,46,81,93,176,16,16,38,49,62,113,38,42,83
RA94,1948,1768,3713,771,519,1285,244,461,702,79,87,164,21,25,45,1114,1083,2195,568,448,1015,2.1,2.2,2.1,57.2,61.5,59.2,56,60.1,58,35,61,94,10,51,62,120,208,325,107,173,283,482,167,651,33,51,84,20,38,59,532,253,790,1508,1495,3007,307,312,619,1082,1075,2156,632,657,1285
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA99,6,4,11,3,6,5,4,0,4,0,0,0,0,0,4,5,4,8,0,0,0,16.7,33.3,22.2,66.7,100,75,55.6,66.7,58.3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,5,6,4,0,0,0,5,6,4
