RA_CODE_2021,Sme_Usl_ad_1_yr_ago_as_2021_M,Sme_Usl_ad_1_yr_ago_as_2021_F,Sme_Usl_ad_1_yr_ago_as_2021_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
RA23,1429,1294,2722,44,43,88,6,8,16,48,66,112,0,0,3,11,8,14,5,3,5,0,0,0,0,3,4,0,0,0,0,0,0,76,90,164,4,5,9,5,0,5,127,133,263,170,129,293,1719,1561,3282
RA25,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,3,27,36,6,38
RA29,847,576,1426,345,229,576,90,83,174,1209,1233,2442,81,96,179,32,23,50,27,26,52,19,13,29,15,11,22,7,9,20,0,0,0,1475,1495,2970,159,136,290,24,22,48,2008,1884,3889,2274,1409,3682,5124,3875,9002
RA30,1244647,1304665,2549312,39269,42909,82175,15166,16215,31383,9863,10616,20478,190449,204978,395428,1735,1882,3611,1571,1656,3233,1023,1184,2204,1241,1246,2487,1340,1351,2685,18,22,42,222397,239149,461545,13097,13741,26841,5674,5027,10706,280444,300826,581268,83807,79505,163313,1608897,1684997,3293895
RA31,375526,388453,763972,15885,17370,33260,3236,3455,6697,1980,2063,4037,46785,51597,98384,405,391,787,431,437,871,316,331,654,387,413,804,209,202,407,14,10,22,53761,58901,112657,1923,1884,3801,1594,1406,3002,73161,79559,152727,39468,31806,71280,488161,499819,987980
RA32,252371,252219,504584,13209,14381,27583,2426,2492,4916,1887,1919,3806,29579,32343,61926,405,470,873,554,631,1179,242,224,464,627,629,1255,213,213,424,0,0,3,35929,38921,74855,1794,1532,3332,1134,916,2051,52064,55751,107820,38764,30192,68958,343194,338168,681360
RA33,26346,24225,50577,2073,2162,4232,317,290,609,110,132,247,2263,2293,4559,66,59,132,77,78,159,18,18,37,81,81,165,14,15,21,0,0,0,2954,2981,5928,171,150,325,141,111,254,5338,5403,10741,5326,3776,9106,37012,33406,70418
RA34,19403,18777,38182,1321,1436,2765,191,185,377,74,88,167,1639,1800,3436,36,36,70,56,68,118,18,21,40,74,73,144,7,21,26,0,0,0,2089,2288,4377,65,64,132,93,61,149,3573,3860,7423,3443,2761,6205,26420,25392,51808
RA35,39,5,47,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,3,0,4,109,24,130,149,28,183
RA39,1455,1091,2545,722,578,1295,431,462,889,277,302,586,2200,2296,4494,80,73,160,117,139,261,44,47,95,39,59,96,24,25,51,0,0,0,3220,3403,6627,166,178,343,60,50,111,4166,4209,8378,2204,1478,3681,7825,6776,14601
RA40,539470,564650,1104125,12698,13468,26172,3014,2656,5672,3475,3146,6619,1503,1574,3076,57396,60463,117862,637,659,1289,278,300,574,628,693,1325,302,289,593,3,0,3,67233,69784,137020,3907,4078,7981,1470,1250,2717,85311,88575,173887,26514,25420,51930,651286,678651,1329941
RA41,71469,72933,144404,2575,2876,5446,198,183,380,328,328,655,173,190,366,5241,5625,10862,76,79,156,42,45,88,113,106,226,12,9,28,3,6,9,6184,6582,12768,204,197,402,167,128,296,9133,9785,18915,5560,4875,10430,86164,87582,173747
RA42,80351,79807,160164,4470,4789,9262,278,239,510,595,546,1138,264,279,542,4586,4901,9486,132,123,256,44,51,101,138,148,282,13,8,20,0,0,0,6044,6296,12339,357,284,645,234,189,425,11112,11557,22667,9127,7320,16446,100584,98689,199271
RA43,17195,16462,33660,1344,1392,2733,65,65,134,100,67,165,97,107,203,1000,1010,2008,75,78,158,11,13,26,37,38,79,3,0,4,0,0,0,1394,1384,2777,47,69,119,46,21,68,2828,2868,5693,2104,1664,3771,22124,20991,43119
RA44,5437,4985,10428,324,331,655,31,24,56,48,48,97,39,39,82,305,331,637,29,29,63,8,7,8,31,38,65,3,0,3,0,0,0,496,511,1011,20,16,38,5,14,20,845,871,1717,820,680,1503,7105,6540,13644
RA45,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,12,0,12
RA49,369,226,596,148,74,225,36,41,72,42,38,81,66,63,129,499,564,1067,32,32,64,6,6,16,14,13,22,3,8,6,0,0,0,703,765,1467,41,43,86,55,32,84,947,917,1865,538,354,890,1854,1490,3345
RA50,823841,855892,1679733,22436,24161,46596,3335,3250,6588,3628,3616,7241,2611,2723,5332,878,848,1737,92891,99411,192301,423,475,893,671,662,1334,324,331,656,45,47,82,104796,111371,216166,8130,8488,16615,2531,2278,4804,137884,146296,284181,54738,44363,99105,1016468,1046546,2063022
RA51,87911,90425,178335,4392,4728,9116,275,270,543,360,301,660,278,282,558,94,104,196,9087,9851,18945,66,75,140,101,99,196,18,20,41,9,0,11,10286,11006,21287,570,545,1114,305,243,549,15550,16520,32067,11683,7096,18772,115143,114038,229179
RA52,69688,69446,139135,3701,3800,7500,230,194,424,226,238,457,291,261,551,87,95,179,6947,7385,14334,58,52,112,84,95,187,14,17,26,8,0,8,7937,8328,16267,517,393,910,221,200,422,12376,12724,25097,9970,8081,18051,92036,90249,182285
RA53,30488,28331,58820,3164,3334,6494,184,165,358,206,188,395,325,305,628,97,77,174,3011,3058,6076,32,35,62,78,98,174,14,9,21,3,6,10,3961,3931,7889,200,208,412,149,128,279,7477,7602,15078,6862,5507,12366,44826,41444,86265
RA54,20607,17317,37919,1411,1468,2881,182,153,335,151,162,313,312,272,582,94,74,173,2719,2323,5047,29,27,56,133,102,238,5,4,8,0,7,7,3627,3126,6752,226,170,391,104,70,176,5373,4832,10200,7497,4295,11798,33474,26443,59915
RA55,200,24,229,0,0,0,7,0,3,0,0,0,6,3,10,0,0,0,31,4,39,0,0,0,3,0,3,0,0,0,0,0,0,46,9,55,10,0,14,0,0,0,55,10,71,200,19,216,455,58,514
RA59,650,443,1089,269,221,487,144,127,273,133,121,259,180,191,365,40,42,86,775,793,1565,27,17,42,30,25,58,3,12,8,0,0,0,1335,1324,2661,99,96,192,43,20,61,1743,1662,3403,2228,1281,3513,4620,3386,8005
RA61,134029,142196,276222,3290,3561,6847,1858,1672,3525,1945,1752,3701,923,1012,1940,159,157,316,218,274,495,14137,15290,29429,116,119,233,104,121,226,0,0,3,19465,20396,39863,750,766,1524,460,383,845,23966,25109,49079,8467,8136,16607,166464,175440,341904
RA62,79758,81059,160818,2971,3203,6165,751,721,1466,703,651,1357,626,678,1309,97,81,174,168,171,334,5616,6265,11884,70,72,142,43,38,84,0,0,0,8079,8676,16755,275,265,542,166,173,345,11492,12316,23809,6797,6492,13284,98041,99867,197915
RA63,3228,2942,6166,231,239,472,71,50,120,48,40,87,59,61,119,4,6,19,4,6,9,221,211,430,4,7,12,0,0,4,0,0,0,413,387,800,16,12,25,5,0,12,665,638,1305,471,413,887,4359,3994,8357
RA64,1072,953,2022,58,66,129,7,4,5,8,5,13,7,7,12,4,0,5,5,7,5,23,31,57,0,0,0,0,0,0,4,4,5,48,59,110,6,4,12,0,0,3,117,132,251,115,124,237,1306,1209,2518
RA65,8,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,4,13,0,19
RA69,178,106,280,64,46,107,27,26,48,23,29,54,20,37,62,8,10,21,4,7,9,197,198,394,0,4,3,0,0,0,0,0,0,284,314,593,15,11,23,7,3,8,362,374,736,224,138,360,761,612,1377
RA72,49380,49197,98576,1362,1427,2787,932,879,1816,1102,1084,2189,869,890,1759,358,388,750,403,434,833,55,57,114,6957,7216,14180,137,146,279,3,3,10,10815,11111,21924,508,548,1053,305,215,525,12981,13295,26284,7401,5716,13118,69763,68209,137973
RA73,16527,16518,33041,851,997,1848,284,310,596,317,382,698,293,295,581,168,199,359,129,129,260,21,25,44,1546,1704,3247,26,22,50,0,0,0,2781,3060,5838,249,242,493,79,83,164,3958,4388,8343,2869,2169,5041,23353,23074,46427
RA74,16225,16312,32535,1002,1047,2050,147,174,320,155,160,317,287,316,608,74,78,151,108,114,220,21,16,30,705,752,1455,11,13,28,0,0,0,1508,1624,3130,59,44,101,60,56,116,2627,2772,5405,2087,1544,3630,20940,20626,41569
RA75,42,10,53,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,4,0,4,3,0,3,3,0,3,0,0,0,0,0,0,20,0,20,0,0,0,0,0,0,15,0,18,25,0,24,83,15,99
RA79,541,431,972,165,137,306,82,99,179,91,95,184,122,135,261,28,36,64,65,59,120,7,9,21,108,123,232,8,4,9,0,0,0,509,557,1069,36,46,83,8,3,13,721,747,1469,557,486,1038,1816,1661,3479
RA80,171583,178023,349613,3163,3284,6448,7213,7317,14533,2226,2105,4329,1553,1513,3068,372,382,752,432,410,846,148,146,294,239,238,479,21936,22539,44477,11,11,23,34130,34667,68798,2342,2350,4696,556,433,993,40202,40732,80935,9162,8383,17553,220954,227146,448097
RA81,290,273,565,5,0,5,7,4,6,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,20,17,36,0,0,0,30,21,50,0,0,3,3,3,5,37,29,61,30,22,52,352,327,677
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA89,78,45,120,17,29,45,22,37,56,19,13,26,12,0,8,0,4,4,0,0,4,0,0,5,0,0,0,70,92,159,0,0,0,127,147,273,12,10,26,5,0,0,153,189,348,98,36,135,331,273,601
RA91,81,93,176,0,0,0,12,7,18,0,0,0,3,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,14,14,31,0,0,0,0,0,0,16,16,38,47,44,93,141,157,300
RA94,1508,1495,3007,92,109,204,47,41,85,16,7,22,51,41,90,0,0,3,63,70,135,0,0,0,3,4,16,11,7,23,0,0,4,188,184,373,18,18,39,5,0,4,307,312,619,526,285,813,2344,2093,4435
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,4,0,0,0,0,0,0,5,6,4,5,0,8,6,4,11
