RA_CODE_2021,Count_home_Census_Nt_0_14_yr,Count_hom_Census_Nt_15_24_yr,Count_hom_Census_Nt_25_34_yr,Count_hom_Census_Nt_35_44_yr,Count_hom_Census_Nt_45_54_yr,Count_hom_Census_Nt_55_64_yr,Count_hom_Census_Nt_65_74_yr,Count_hom_Census_Nt_75_84_yr,Count_hom_Census_Nt_85ov,Counted_home_Census_Night_Tot,VisSame_SA2_0_14_yr,VisSame_SA2_15_24_yr,VisSame_SA2_25_34_yr,VisSame_SA2_35_44_yr,VisSame_SA2_45_54_yr,VisSame_SA2_55_64_yr,VisSame_SA2_65_74_yr,VisSame_SA2_75_84_yr,VisSame_SA2_85ov,VisSame_SA2_Total,VisDiff_SA2_NSW_0_14_yr,VisDiff_SA2_NSW_15_24_yr,VisDiff_SA2_NSW_25_34_yr,VisDiff_SA2_NSW_35_44_yr,VisDiff_SA2_NSW_45_54_yr,VisDiff_SA2_NSW_55_64_yr,VisDiff_SA2_NSW_65_74_yr,VisDiff_SA2_NSW_75_84_yr,VisDiff_SA2_NSW_85ov,VisDiff_SA2_NSW_Total,VisDiff_SA2_VIC_0_14_yr,VisDiff_SA2_VIC_15_24_yr,VisDiff_SA2_VIC_25_34_yr,VisDiff_SA2_VIC_35_44_yr,VisDiff_SA2_VIC_45_54_yr,VisDiff_SA2_VIC_55_64_yr,VisDiff_SA2_VIC_65_74_yr,VisDiff_SA2_VIC_75_84_yr,VisDiff_SA2_VIC_85ov,VisDiff_SA2_VIC_Total,VisDiff_SA2_QLD_0_14_yr,VisDiff_SA2_QLD_15_24_yr,VisDiff_SA2_QLD_25_34_yr,VisDiff_SA2_QLD_35_44_yr,VisDiff_SA2_QLD_45_54_yr,VisDiff_SA2_QLD_55_64_yr,VisDiff_SA2_QLD_65_74_yr,VisDiff_SA2_QLD_75_84_yr,VisDiff_SA2_QLD_85ov,VisDiff_SA2_QLD_Total,VisDiff_SA2_SA_0_14_yr,VisDiff_SA2_SA_15_24_yr,VisDiff_SA2_SA_25_34_yr,VisDiff_SA2_SA_35_44_yr,VisDiff_SA2_SA_45_54_yr,VisDiff_SA2_SA_55_64_yr,VisDiff_SA2_SA_65_74_yr,VisDiff_SA2_SA_75_84_yr,VisDiff_SA2_SA_85ov,VisDiff_SA2_SA_Total,VisDiff_SA2_WA_0_14_yr,VisDiff_SA2_WA_15_24_yr,VisDiff_SA2_WA_25_34_yr,VisDiff_SA2_WA_35_44_yr,VisDiff_SA2_WA_45_54_yr,VisDiff_SA2_WA_55_64_yr,VisDiff_SA2_WA_65_74_yr,VisDiff_SA2_WA_75_84_yr,VisDiff_SA2_WA_85ov,VisDiff_SA2_WA_Total,VisDiff_SA2_TAS_0_14_yr,VisDiff_SA2_TAS_15_24_yr,VisDiff_SA2_TAS_25_34_yr,VisDiff_SA2_TAS_35_44_yr,VisDiff_SA2_TAS_45_54_yr,VisDiff_SA2_TAS_55_64_yr,VisDiff_SA2_TAS_65_74_yr,VisDiff_SA2_TAS_75_84_yr,VisDiff_SA2_TAS_85ov,VisDiff_SA2_TAS_Total,VisDiff_SA2_NT_0_14_yr,VisDiff_SA2_NT_15_24_yr,VisDiff_SA2_NT_25_34_yr,VisDiff_SA2_NT_35_44_yr,VisDiff_SA2_NT_45_54_yr,VisDiff_SA2_NT_55_64_yr,VisDiff_SA2_NT_65_74_yr,VisDiff_SA2_NT_75_84_yr,VisDiff_SA2_NT_85ov,VisDiff_SA2_NT_Total,VisDiff_SA2_ACT_0_14_yr,VisDiff_SA2_ACT_15_24_yr,VisDiff_SA2_ACT_25_34_yr,VisDiff_SA2_ACT_35_44_yr,VisDiff_SA2_ACT_45_54_yr,VisDiff_SA2_ACT_55_64_yr,VisDiff_SA2_ACT_65_74_yr,VisDiff_SA2_ACT_75_84_yr,VisDiff_SA2_ACT_85ov,VisDiff_SA2_ACT_Total,VisDiff_SA2_OT_0_14_yr,VisDiff_SA2_OT_15_24_yr,VisDiff_SA2_OT_25_34_yr,VisDiff_SA2_OT_35_44_yr,VisDiff_SA2_OT_45_54_yr,VisDiff_SA2_OT_55_64_yr,VisDiff_SA2_OT_65_74_yr,VisDiff_SA2_OT_75_84_yr,VisDiff_SA2_OT_85ov,VisDiff_SA2_OT_Total,VisDiff_SA2_Tot_0_14_yr,VisDiff_SA2_Tot_15_24_yr,VisDiff_SA2_Tot_25_34_yr,VisDiff_SA2_Tot_35_44_yr,VisDiff_SA2_Tot_45_54_yr,VisDiff_SA2_Tot_55_64_yr,VisDiff_SA2_Tot_65_74_yr,VisDiff_SA2_Tot_75_84_yr,VisDiff_SA2_Tot_85ov,VisDiff_SA2_Tot_Total,Vis_Tot_Visitrs_0_14_yr,Vis_Tot_Visitrs_15_24_yr,Vis_Tot_Visitrs_25_34_yr,Vis_Tot_Visitrs_35_44_yr,Vis_Tot_Visitrs_45_54_yr,Vis_Tot_Visitrs_55_64_yr,Vis_Tot_Visitrs_65_74_yr,Vis_Tot_Visitrs_75_84_yr,Vis_Tot_Visitrs_85ov,Vis_Tot_Visitrs_Total,Total_0_14_yr,Total_15_24_yr,Total_25_34_yr,Total_35_44_yr,Total_45_54_yr,Total_55_64_yr,Total_65_74_yr,Total_75_84_yr,Total_85ov,Total_Total
RA23,472,188,234,325,322,613,524,299,122,3096,8,0,0,0,0,0,0,0,0,17,0,0,0,4,0,6,3,3,0,15,13,13,18,21,18,40,27,6,0,159,0,0,0,0,0,0,0,0,0,0,4,0,5,3,0,6,3,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,19,16,19,25,22,46,31,12,0,189,22,17,18,23,28,50,39,12,0,207,495,201,252,352,344,663,556,310,128,3301
RA25,0,0,6,16,3,14,5,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,10,21,0,0,0,0,31,0,0,26,57,107,77,12,0,0,270,0,0,0,15,9,14,0,0,0,37,0,0,0,13,12,8,0,0,0,27,0,0,10,3,9,0,0,0,0,25,0,4,11,32,26,46,4,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,45,129,176,145,12,0,0,525,0,9,45,129,176,145,16,0,0,524,0,9,52,140,182,158,16,0,0,565
RA29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA30,615599,411676,463455,455067,422299,350898,280841,159597,59777,3219211,375,422,444,372,367,490,592,500,221,3778,840,1122,1477,1106,1066,1599,1942,863,239,10260,315,425,855,630,585,1501,3301,2134,371,10123,8642,13757,13232,9267,8859,9132,7282,4041,2020,76239,29,91,101,92,73,175,351,185,38,1140,61,129,121,115,136,160,170,65,11,965,37,54,137,62,87,263,567,304,57,1564,60,80,83,61,85,71,52,18,4,502,80,65,134,87,100,214,306,140,17,1138,8,0,3,3,0,3,15,0,0,32,10064,15722,16153,11426,10999,13120,13984,7747,2758,101970,10439,16141,16592,11805,11367,13612,14575,8246,2975,105751,626039,427822,480046,466872,433666,364513,295415,167844,62754,3324963
RA31,178216,104925,104015,108639,119748,128198,116004,65132,21264,946137,216,206,170,145,237,331,419,310,144,2184,174,200,261,249,315,793,1451,539,63,4051,115,77,153,125,207,808,2247,980,94,4805,3673,5551,5065,4107,4994,6271,5284,2180,807,37936,14,40,35,25,37,98,301,137,15,706,22,42,51,36,56,73,112,11,6,407,16,26,42,22,47,136,284,117,10,691,29,34,29,35,39,29,27,5,4,229,21,23,29,22,30,79,98,35,3,347,0,0,0,0,0,0,0,0,0,4,4072,5995,5667,4614,5732,8286,9805,4010,1001,49178,4286,6199,5836,4762,5966,8619,10219,4320,1143,51359,182507,111119,109855,113402,125718,136817,126225,69450,22410,997497
RA32,126456,76327,82237,81992,86093,84896,67362,34409,10799,650577,159,168,188,183,208,261,270,159,73,1673,342,342,554,502,582,1537,2481,821,91,7254,281,227,453,342,415,1803,3443,1252,122,8349,3274,5125,7382,6294,7450,8419,6257,2134,482,46821,47,59,81,78,91,311,654,273,24,1620,78,80,172,96,114,266,325,83,9,1223,82,36,78,96,150,375,502,150,26,1497,54,76,142,82,109,93,53,20,0,622,53,41,112,81,113,175,221,89,9,905,3,0,0,3,0,0,0,0,0,9,4222,5992,8985,7585,9028,12984,13931,4816,760,68306,4384,6161,9172,7770,9232,13249,14203,4982,831,69977,130836,82490,91407,89763,95326,98140,81568,39386,11634,720554
RA33,13917,7198,9773,8275,8580,8733,6122,2876,747,66231,43,130,106,74,67,81,63,34,6,603,83,83,147,138,188,488,640,128,10,1917,75,47,52,86,123,370,663,168,5,1582,592,1181,2151,2129,2659,2951,1993,430,50,14140,10,14,19,23,20,103,132,36,7,371,7,13,30,39,38,87,64,9,0,286,7,3,12,9,21,67,69,18,5,208,12,7,9,9,17,11,11,0,0,77,3,3,14,6,9,26,38,10,0,110,0,0,0,0,0,0,0,0,0,0,800,1343,2437,2439,3076,4109,3618,801,73,18694,846,1475,2543,2512,3143,4188,3676,836,78,19302,14763,8669,12319,10791,11729,12923,9798,3714,825,85527
RA34,10887,5946,7136,5878,5968,6022,3761,1750,542,47888,126,112,121,63,78,64,58,22,4,645,111,143,162,131,189,604,929,252,18,2540,103,60,82,83,153,578,952,235,15,2260,666,951,1617,1544,1999,2503,2263,444,42,12022,39,28,34,47,54,135,208,61,3,605,11,19,58,39,45,63,60,15,0,308,9,9,10,13,23,76,105,21,0,265,12,11,20,9,21,22,27,5,0,116,7,6,21,6,18,62,61,10,0,193,0,0,0,0,0,0,0,0,0,0,959,1225,1995,1876,2498,4042,4599,1034,75,18308,1080,1335,2118,1939,2577,4112,4655,1055,74,18953,11972,7281,9251,7811,8546,10132,8419,2807,617,66841
RA35,0,6,20,46,38,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,13,21,11,11,0,3,0,0,60,0,0,3,0,4,0,0,0,0,11,6,6,35,33,25,30,5,0,0,139,0,0,3,12,0,0,3,0,0,19,0,0,3,9,0,0,0,0,0,9,0,0,0,0,5,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,20,71,61,46,34,14,0,0,240,6,20,71,61,46,34,14,0,0,240,6,24,87,111,79,34,14,0,0,354
RA39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA40,225806,158089,181672,173951,162998,154907,129456,76468,34363,1297709,169,140,138,172,177,229,304,216,129,1675,93,169,226,181,171,171,146,47,8,1200,97,178,352,214,162,230,159,40,9,1447,29,81,136,93,124,119,103,25,0,717,3766,5333,5304,3746,3400,3412,2773,1719,1049,30498,36,50,84,72,87,93,69,19,3,519,9,18,24,31,25,57,43,8,0,216,52,69,83,63,72,83,52,8,0,491,6,13,13,16,18,11,7,0,0,85,0,0,0,0,0,0,0,0,0,0,4093,5921,6223,4418,4064,4172,3353,1862,1071,35171,4260,6061,6364,4587,4241,4404,3650,2077,1200,36851,230073,164148,188034,178540,167235,159310,133105,78545,35564,1334560
RA41,27846,16537,15298,17582,21765,25077,23973,13588,4608,166281,32,33,30,33,56,72,84,40,32,416,12,10,16,6,7,25,25,5,0,109,6,10,19,30,21,76,69,13,0,236,11,4,10,7,12,21,23,5,0,99,479,742,643,483,614,824,890,356,148,5159,0,5,8,6,6,20,19,0,0,70,0,0,0,4,13,6,14,15,0,52,3,4,11,7,12,27,9,3,0,65,0,0,0,0,0,5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,517,773,702,533,684,998,1053,402,150,5812,549,808,731,568,742,1072,1140,445,183,6227,28391,17339,16028,18151,22500,26155,25107,14038,4787,172501
RA42,32965,19001,20607,20353,23932,27784,25190,14434,5343,189604,53,54,58,60,73,102,101,90,29,621,17,24,19,35,43,67,74,20,6,301,64,54,94,85,100,221,269,56,7,936,12,14,45,26,40,61,52,12,0,266,757,1121,1277,1044,1356,1724,1456,569,172,9480,4,3,14,15,19,32,33,7,3,139,4,12,23,12,19,52,69,11,0,205,6,15,6,14,13,19,4,0,0,81,0,0,4,3,0,9,3,0,0,15,0,0,0,0,0,0,0,0,0,0,860,1246,1492,1236,1587,2185,1960,673,187,11418,912,1304,1552,1289,1662,2287,2066,765,216,12046,33879,20305,22161,21647,25591,30069,27254,15198,5555,201650
RA43,7637,3654,4626,4669,5032,5747,4910,2725,1000,39996,11,9,22,13,27,29,29,24,7,168,0,12,24,46,27,44,48,15,0,206,10,15,44,16,26,64,86,14,0,273,0,15,52,60,94,89,34,0,0,348,203,506,1198,841,889,994,633,195,44,5500,15,6,24,46,29,35,34,0,0,191,0,0,12,5,20,16,22,4,0,75,9,0,4,10,4,5,6,3,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,553,1354,1036,1081,1241,862,233,40,6641,252,559,1375,1051,1110,1271,889,258,45,6814,7887,4218,6000,5718,6140,7019,5797,2980,1047,46806
RA44,2467,1387,1784,1510,1641,1729,1340,608,217,12675,8,16,6,18,8,8,12,0,0,89,20,3,19,22,15,44,74,16,0,211,26,19,31,50,53,129,143,46,0,503,10,10,57,70,70,67,67,0,0,349,114,225,567,492,631,807,510,130,15,3485,7,9,5,14,17,34,55,5,5,136,19,5,12,19,19,43,47,17,0,176,6,7,9,16,11,12,9,0,0,76,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,193,283,702,676,810,1145,897,217,17,4937,208,297,714,690,817,1150,911,221,20,5028,2670,1686,2497,2200,2459,2878,2251,834,239,17708
RA45,0,0,0,3,5,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,12,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,7,3,0,0,0,25,0,0,0,15,7,3,0,0,0,25,0,0,0,16,10,0,0,0,0,34
RA49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
