RA_CODE_2021,Ag_For_Fish_OcMngr,Ag_For_Fish_OcProf,Ag_For_Fish_OcTechTrdW,Ag_For_Fish_OcComPerS,Ag_For_Fish_OcClericAdm,Ag_For_Fish_OcSalesWk,Ag_For_Fish_OcMacOp_Driv,Ag_For_Fish_OcLab,Ag_For_Fish_OcID_NS,Agri_for_fish_Tot,Mining_OcMngr,Mining_OcProf,Mining_OcTechTrdW,Mining_OcComPerS,Mining_OcClericAdm,Mining_OcSalesWk,Mining_OcMacOp_Driv,Mining_OcLab,Mining_OcID_NS,Mining_Tot,Manufact_OcMngr,Manufact_OcProf,Manufact_OcTechTrdW,Manufact_OcComPerS,Manufact_OcClericAdm,Manufact_OcSalesWk,Manufact_OcMacOp_Driv,Manufact_OcLab,Manufact_OcID_NS,Manufacturing_Tot,El_Gas_W_W_OcMngr,El_Gas_W_W_OcProf,El_Gas_W_W_OcTechTrdW,El_Gas_W_W_OcComPerS,El_Gas_W_W_OcClericAdm,El_Gas_W_W_OcSalesWk,El_Gas_W_W_OcMacOp_Driv,El_Gas_W_W_OcLab,El_Gas_W_W_OcID_NS,El_Gas_W_W_Tot,Construc_OcMngr,Construc_OcProf,Construc_OcTechTrdW,Construc_OcComPerS,Construc_OcClericAdm,Construc_OcSalesWk,Construc_OcMacOp_Driv,Construc_OcLab,Construc_OcID_NS,Construction_Tot,WhlesaleTde_OcMngr,WhlesaleTde_OcProf,WhlesaleTde_OcTechTrdW,WhlesaleTde_OcComPerS,WhlesaleTde_OcClericAdm,WhlesaleTde_OcSalesWk,WhlesaleTde_OcMacOp_Driv,WhlesaleTde_OcLab,WhlesaleTde_OcID_NS,WhlesaleTde_Tot,RetTde_OcMngr,RetTde_OcProf,RetTde_OcTechTrdW,RetTde_OcComPerS,RetTde_OcClericAdm,RetTde_OcSalesWk,RetTde_OcMacOp_Driv,RetTde_OcLab,RetTde_OcID_NS,RetTde_Tot,Acom_food_OcMngr,Acom_food_OcProf,Acom_food_OcTechTrdW,Acom_food_OcComPerS,Acom_food_OcClericAdm,Acom_food_OcSalesWk,Acom_food_OcMacOp_Driv,Acom_food_OcLab,Acom_food_OcID_NS,Acom_food_scs_Tot,Trans_po_wh_OcMngr,Trans_po_wh_OcProf,Trans_po_wh_OcTechTrdW,Trans_po_wh_OcComPerS,Trans_po_wh_OcClericAdm,Trans_po_wh_OcSalesWk,Trans_po_wh_OcMacOp_Driv,Trans_po_wh_OcLab,Trans_po_wh_OcID_NS,Trans_po_wh_Tot,Infon_med_tel_OcMngr,Infon_med_tel_OcProf,Infon_med_tel_OcTechTrdW,Infon_med_tel_OcComPerS,Infon_med_tel_OcClericAdm,Infon_med_tel_OcSalesWk,Infon_med_tel_OcMacOp_Driv,Infon_med_tel_OcLab,Infon_med_tel_OcID_NS,Infon_med_tel_Tot,Fin_and_ins_s_OcMngr,Fin_and_ins_s_OcProf,Fin_and_ins_s_OcTechTrdW,Fin_and_ins_s_OcComPerS,Fin_and_ins_s_OcClericAdm,Fin_and_ins_s_OcSalesWk,Fin_and_ins_s_OcMacOp_Driv,Fin_and_ins_s_OcLab,Fin_and_ins_s_OcID_NS,Fin_and_ins_s_Tot,Rent_hi_re_es_OcMngr,Rent_hi_re_es_OcProf,Rent_hi_re_es_OcTechTrdW,Rent_hi_re_es_OcComPerS,Rent_hi_re_es_OcClericAdm,Rent_hi_re_es_OcSalesWk,Rent_hi_re_es_OcMacOp_Driv,Rent_hi_re_es_OcLab,Rent_hi_re_es_OcID_NS,Rent_hi_re_es_Tot,Prof_sci_tec_OcMngr,Prof_sci_tec_OcProf,Prof_sci_tec_OcTechTrdW,Prof_sci_tec_OcComPerS,Prof_sci_tec_OcClericAdm,Prof_sci_tec_OcSalesWk,Prof_sci_tec_OcMacOp_Driv,Prof_sci_tec_OcLab,Prof_sci_tec_OcID_NS,Prof_sci_tec_Tot,Admin_sup_s_OcMngr,Admin_sup_s_OcProf,Admin_sup_s_OcTechTrdW,Admin_sup_s_OcComPerS,Admin_sup_s_OcClericAdm,Admin_sup_s_OcSalesWk,Admin_sup_s_OcMacOp_Driv,Admin_sup_s_OcLab,Admin_sup_s_OcID_NS,Admin_sup_s_Tot,Pub_adm_sfty_OcMngr,Pub_adm_sfty_OcProf,Pub_adm_sfty_OcTechTrdW,Pub_adm_sfty_OcComPerS,Pub_adm_sfty_OcClericAdm,Pub_adm_sfty_OcSalesWk,Pub_adm_sfty_OcMacOp_Driv,Pub_adm_sfty_OcLab,Pub_adm_sfty_OcID_NS,Pub_adm_sfty_Tot,Educ_training_OcMngr,Educ_training_OcProf,Educ_training_OcTechTrdW,Educ_training_OcComPerS,Educ_training_OcClericAdm,Educ_training_OcSalesWk,Educ_training_OcMacOp_Driv,Educ_training_OcLab,Educ_training_OcID_NS,Educ_training_Tot,Hlth_care_soc_OcMngr,Hlth_care_soc_OcProf,Hlth_care_soc_OcTechTrdW,Hlth_care_soc_OcComPerS,Hlth_care_soc_OcClericAdm,Hlth_care_soc_OcSalesWk,Hlth_care_soc_OcMacOp_Driv,Hlth_care_soc_OcLab,Hlth_care_soc_OcID_NS,Hlth_care_soc_Tot,ArtRecreatOcMngr,ArtRecreatOcProf,ArtRecreatOcTechTrdW,ArtRecreatOcComPerS,ArtRecreatOcClericAdm,ArtRecreatOcSalesWk,ArtRecreatOcMacOp_Driv,ArtRecreatOcLab,ArtRecreatOcID_NS,ArtRecreatTot,Other_scs_OcMngr,Other_scs_OcProf,Other_scs_OcTechTrdW,Other_scs_OcCom_PS_W,Other_scs_OcClericAdmin,Other_scs_OcSalesWk,Other_scs_OcMacOp_Driv,Other_scs_OcLab,Other_scs_OcID_NS,Other_scs_Tot,ID_NS_OcMngr,ID_NS_OcProf,ID_NS_OcTechTrdW,ID_NS_OcComPerS,ID_NS_OcClericAdm,ID_NS_OcSalesWk,ID_NS_OcMacOp_Driv,ID_NS_OcLab,ID_NS_OcID_NS,ID_NS_Tot
RA61,1098,368,332,14,202,59,220,1286,57,3637,63,108,115,0,31,4,185,33,16,554,1306,639,2484,243,579,595,1205,1847,119,9018,499,937,555,6,612,79,363,154,82,3287,2218,367,7251,23,1057,124,948,1757,157,13909,627,278,252,17,451,734,809,229,35,3439,2397,624,882,148,798,9115,631,1504,82,16187,2041,153,2071,3706,466,1431,246,2683,96,12904,553,329,207,167,1224,256,2966,248,74,6027,309,771,342,16,300,197,9,43,22,2013,515,1091,40,13,1890,115,3,13,83,3770,283,194,67,13,349,891,25,105,40,1960,999,5502,1179,35,1725,85,23,91,82,9708,463,505,594,382,476,69,98,2087,61,4729,2018,3833,702,2462,4124,74,151,424,288,14057,1279,9501,641,3135,1594,45,33,530,96,16858,1422,10895,863,10470,3530,150,173,1264,230,28998,575,819,320,940,308,138,17,247,58,3432,635,656,2490,1065,618,112,88,624,65,6360,424,389,505,296,372,244,343,515,1159,4249
RA62,3823,288,575,24,393,82,723,2987,125,9015,117,136,482,11,64,3,798,86,24,1719,870,357,1772,137,462,282,1141,1795,110,6939,126,131,297,4,170,14,243,75,35,1104,1222,132,3615,0,578,74,879,992,90,7589,380,203,359,11,261,491,330,176,25,2242,1162,211,523,79,357,4477,286,744,36,7884,1067,30,833,1503,191,665,99,1369,31,5791,349,177,217,141,732,135,1956,362,38,4099,62,181,133,5,69,49,5,12,3,527,128,258,4,5,499,27,4,13,19,948,89,54,42,12,165,376,15,40,10,808,238,1347,506,17,838,35,13,49,19,3070,175,255,403,241,199,31,93,1062,32,2478,457,794,319,905,1158,26,179,333,102,4268,357,3491,287,1672,581,18,20,440,32,6889,522,3729,364,5427,1403,53,73,658,94,12330,174,302,154,236,77,33,6,109,10,1101,199,205,1650,417,268,47,52,288,21,3146,229,128,390,128,197,115,309,388,829,2716
RA63,185,30,18,4,11,3,11,167,0,432,18,21,91,6,16,0,185,20,5,364,30,3,16,0,0,6,5,48,0,119,4,4,18,0,0,0,14,0,0,43,34,3,67,0,13,0,33,34,4,192,5,0,0,0,8,4,10,4,0,26,43,0,8,4,12,131,4,29,0,245,140,5,116,160,48,16,0,180,6,675,18,13,13,9,28,13,42,10,0,147,0,3,7,0,3,0,0,0,0,18,7,7,0,0,13,0,0,0,0,27,8,0,0,0,4,22,0,0,0,29,6,35,11,0,16,0,0,5,0,81,14,0,14,24,6,8,4,80,0,146,8,12,9,20,24,0,15,30,4,125,10,99,5,59,16,0,3,17,0,214,7,65,6,95,27,0,3,22,0,232,3,30,7,12,3,0,0,8,0,57,9,4,37,17,13,0,0,10,6,91,18,5,4,5,7,0,7,21,42,111
RA64,209,4,4,0,7,0,9,84,5,317,0,0,0,0,0,0,0,0,0,5,15,0,16,0,6,3,6,57,0,103,3,0,24,0,0,0,6,0,0,30,25,0,36,0,7,0,15,16,0,98,4,0,0,0,0,9,0,4,0,20,8,5,10,0,5,46,6,7,0,89,12,0,15,24,0,3,0,10,0,73,13,4,4,0,16,7,26,5,0,67,0,0,3,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,4,10,0,0,0,0,3,0,3,0,15,0,19,4,0,6,0,0,0,0,31,0,5,7,0,5,0,0,14,0,30,16,6,7,8,20,0,8,11,9,81,6,37,0,18,4,0,0,10,0,88,3,37,0,40,14,0,0,21,0,124,5,5,0,0,0,0,0,3,0,17,3,0,23,5,4,0,0,4,0,38,10,3,5,0,7,0,4,4,16,48
RA65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA69,0,0,0,0,0,0,3,10,0,20,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,11,6,0,19,0,0,0,0,0,0,0,0,0,5,4,0,15,0,0,0,4,13,4,35,0,0,0,0,0,0,0,0,0,3,4,0,5,0,0,15,3,3,0,34,3,0,4,12,0,0,0,7,0,28,0,4,0,0,4,0,11,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,9,0,0,3,0,0,0,0,13,0,5,0,4,0,0,0,3,0,15,0,0,0,0,6,0,0,0,0,18,0,11,4,4,0,0,0,0,0,12,0,16,0,8,5,0,0,0,0,37,0,4,0,4,0,0,0,0,0,10,0,0,3,3,0,0,0,6,0,10,3,0,0,0,0,0,4,0,3,18
RA72,339,81,98,10,85,15,34,198,9,863,117,195,588,7,107,10,512,104,25,1670,256,111,778,11,223,147,194,184,8,1921,236,252,313,5,234,13,144,58,22,1273,911,244,2985,51,739,56,534,940,93,6556,234,80,159,0,194,235,265,78,14,1251,847,186,330,56,311,2994,204,503,24,5449,913,65,907,1378,288,703,126,1277,52,5714,358,361,245,175,539,132,1318,144,36,3310,89,230,121,4,80,49,6,6,6,586,108,263,7,14,386,40,0,4,11,835,168,61,62,11,181,392,24,63,17,979,505,2169,576,41,726,28,13,40,27,4116,224,237,242,197,237,22,76,1029,29,2295,2273,3166,1093,3503,3218,51,244,147,235,13939,576,3308,151,1323,646,18,7,155,46,6218,668,4306,273,3244,1232,48,60,274,62,10171,270,232,114,263,425,59,0,63,43,1459,311,314,1187,444,353,37,37,210,24,2915,276,320,556,224,359,156,215,341,658,3114
RA73,181,44,30,5,28,9,34,172,5,514,20,19,86,3,8,0,113,15,7,269,55,52,155,6,19,25,13,54,5,381,27,19,98,0,38,3,46,14,3,247,212,33,769,16,170,11,108,206,20,1547,64,25,19,3,43,63,59,19,0,298,270,50,117,14,79,748,51,139,7,1471,292,22,222,285,82,107,12,274,13,1317,81,79,62,41,113,35,272,23,9,710,17,66,24,3,25,13,0,8,0,157,18,24,0,3,60,0,0,0,3,112,32,12,6,0,44,60,0,17,0,174,102,409,151,23,191,10,9,16,21,920,74,55,44,88,52,13,5,222,6,569,496,794,362,1158,682,21,81,165,95,3848,189,1093,62,503,209,3,12,68,13,2154,331,1771,117,1225,438,18,47,189,45,4179,108,143,56,124,53,10,8,32,6,535,111,141,334,124,145,17,6,68,10,949,73,79,112,82,86,30,45,71,304,873
RA74,228,129,74,12,44,7,32,474,4,1004,57,89,193,13,33,0,222,38,6,651,5,7,62,0,8,3,3,9,0,100,5,3,23,4,8,0,15,19,0,74,78,3,171,4,39,11,51,84,3,448,17,7,4,3,4,3,4,14,0,49,160,32,45,44,28,355,35,82,0,778,153,22,141,217,48,38,10,166,8,798,29,48,19,33,31,22,64,13,4,251,3,17,4,0,0,0,0,0,0,27,0,3,0,0,29,0,0,7,0,40,7,6,0,0,11,10,3,0,0,39,4,43,14,7,41,0,0,0,0,116,42,33,23,40,12,14,29,70,3,268,190,254,67,621,223,10,36,199,9,1622,132,798,91,422,93,0,21,73,4,1635,111,478,59,565,178,11,53,81,8,1546,59,269,21,36,32,5,4,8,7,439,42,57,74,45,43,3,9,35,0,302,19,39,20,22,13,14,9,35,262,428
RA75,0,10,0,0,0,0,0,9,0,20,0,0,4,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7
RA79,3,0,6,0,0,0,5,26,0,41,0,5,5,0,0,0,3,0,0,16,0,0,5,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,6,0,13,0,5,0,6,16,0,42,0,0,0,0,0,0,0,8,0,7,5,0,4,4,0,11,0,4,0,33,3,0,8,24,8,6,0,27,0,81,4,0,6,6,5,0,8,0,0,24,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,10,0,15,10,19,0,0,12,0,0,0,0,38,4,9,3,0,0,0,0,9,0,21,3,9,0,5,6,0,0,0,0,37,6,21,0,0,0,0,0,0,0,28,6,32,0,12,0,0,0,3,0,47,6,4,0,4,0,0,0,4,0,17,0,3,0,0,0,0,0,0,0,11,3,6,0,3,4,0,0,8,16,39
RA80,190,74,93,5,43,16,32,150,14,618,35,36,20,0,13,0,35,5,3,149,717,530,1240,119,312,401,322,424,49,4113,325,458,313,4,317,57,227,152,32,1877,2433,735,8554,34,1247,176,798,2233,259,16467,377,307,225,17,249,403,273,82,29,1959,2414,662,855,174,684,9387,439,1286,90,15999,2351,136,2489,5116,487,1850,417,2785,99,15735,440,379,191,111,1079,238,2590,144,78,5251,610,1765,458,41,496,227,24,32,56,3711,505,1395,41,16,1385,85,3,5,75,3506,551,407,69,24,540,1256,30,75,41,3002,4276,16352,1855,119,3733,209,48,69,423,27080,661,1103,625,416,874,66,49,2614,72,6479,22310,25472,1929,4579,16803,131,252,436,1997,73913,2022,13466,652,4255,2266,66,28,399,160,23305,1867,11937,785,8952,3813,137,160,531,242,28426,857,1105,307,1422,431,165,20,141,60,4519,828,897,2546,1361,759,142,61,437,64,7084,517,821,529,313,545,168,188,327,1412,4817
RA81,26,0,4,0,0,0,0,10,0,34,0,0,0,0,0,0,0,0,0,0,5,3,3,0,0,6,0,0,0,12,0,0,4,0,0,0,0,0,0,4,6,0,29,0,3,0,5,7,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,11,5,0,0,0,4,0,0,0,0,14,0,0,0,0,3,0,0,0,0,3,0,4,0,0,0,0,0,0,0,4,4,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,3,20,4,0,3,0,0,0,0,36,0,3,0,0,0,0,0,0,0,8,33,28,0,3,7,0,0,0,4,73,3,17,4,7,6,0,0,0,0,47,3,12,0,9,6,0,0,0,0,33,0,0,0,9,7,0,0,0,0,16,0,0,11,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,4,13
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA89,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,8,0,16,0,0,0,0,0,0,0,0,0,0,3,0,6,0,4,14,0,0,0,22,3,0,0,12,0,3,0,3,0,22,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,3,0,0,0,0,15,4,0,0,3,0,0,0,0,0,4,11,12,0,4,10,0,0,0,0,40,0,5,0,4,0,0,0,0,0,19,0,16,0,4,5,0,0,0,0,30,0,0,0,0,0,3,0,0,0,11,0,0,5,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,6
RA91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,3,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,16,7,0,8,3,0,0,0,0,40,0,6,0,6,0,0,0,0,0,6,0,4,0,0,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3
RA94,18,0,3,0,0,0,0,10,0,30,11,10,26,0,5,0,33,8,0,93,0,3,17,0,0,0,3,0,0,29,0,4,20,0,9,0,7,4,0,49,24,3,103,0,19,0,21,27,0,203,4,0,6,0,4,5,4,0,0,20,45,7,14,7,20,80,5,12,0,194,62,0,39,63,21,15,0,47,0,245,20,9,3,12,14,11,14,16,0,99,0,3,9,0,0,0,0,0,0,15,4,0,0,0,13,5,0,0,0,26,0,0,5,0,3,6,0,4,3,24,3,14,8,7,16,0,0,0,0,56,25,10,15,31,16,0,7,59,0,150,60,62,45,82,67,3,22,27,10,377,10,77,4,42,6,0,4,10,0,152,14,41,4,47,26,0,0,13,0,144,8,13,10,18,6,0,0,6,0,65,6,3,38,6,7,0,0,0,3,61,8,14,18,11,15,4,6,20,21,116
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
