RA_CODE_2021,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
RA52,..,19805,19805,23701,1461,25162,8710,242,8951,8170,55,8214,3813,19,3829,1889,16,1903,46275,21590,67865
RA53,..,7590,7590,8784,676,9461,3788,154,3936,4292,34,4323,2106,8,2111,944,8,951,19909,8465,28374
RA54,..,4489,4489,4261,346,4609,1962,76,2038,1963,32,1994,1096,17,1113,1051,14,1063,10330,4970,15302
RA55,..,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
RA59,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA61,..,37889,37889,42702,3408,46109,19897,1202,21097,17641,551,18194,6964,192,7157,3300,91,3387,90501,43338,133834
RA62,..,23723,23723,29821,1585,31407,10235,177,10416,8717,48,8763,3717,25,3742,1921,18,1938,54415,25581,79992
RA63,..,1357,1357,1303,91,1399,325,5,332,272,9,275,102,0,102,53,0,53,2054,1463,3519
RA64,..,394,394,411,23,437,106,4,107,88,0,88,35,0,35,13,0,13,651,421,1071
RA65,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA69,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA72,..,11060,11060,13270,1804,15077,7993,576,8571,7335,190,7528,3149,61,3209,1838,20,1855,33581,13710,47297
RA73,..,3881,3881,3952,495,4452,2165,187,2349,1916,57,1973,1017,15,1032,1024,7,1032,10072,4646,14718
RA74,..,1873,1873,1533,153,1683,884,25,910,1043,10,1048,834,5,835,2295,0,2293,6587,2064,8644
RA75,..,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
RA79,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA80,..,43313,43313,50225,4754,54988,25823,2006,27821,26912,746,27656,9934,222,10158,4146,114,4260,117044,51158,168200
RA81,..,27,27,67,0,67,25,0,30,49,0,45,20,0,20,14,0,14,168,35,201
RA85,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA89,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA91,..,20,20,24,4,27,7,0,7,15,0,15,4,0,4,14,0,14,68,19,89
RA94,..,476,476,482,26,503,174,0,175,154,0,154,92,0,93,48,0,48,945,502,1444
RA95,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA99,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
