RA_CODE_2021,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
RA39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA40,3013,4786,7796,1316,1888,3199,1492,5597,7090,1804,11487,13285,5724,28142,33868,7028,17941,24971,21299,11806,33105,20980,14542,35523,25112,15459,40570,28614,11821,40435,21262,9469,30726,22104,6963,29068,47609,10306,57913,35607,1768,37375,27348,2306,29654,17479,595,18070,43226,3372,46594,21519,2715,24234,2998,4583,7582,355525,165534,521065
RA41,420,526,947,198,268,468,211,669,884,256,1466,1722,996,4292,5293,1089,2759,3846,4186,1693,5881,3716,1846,5569,4025,1691,5717,4550,1077,5626,2869,866,3734,3104,518,3621,5850,712,6563,4070,75,4141,2938,124,3064,1649,21,1674,3731,224,3956,3874,213,4084,580,734,1318,48317,19779,68092
RA42,562,704,1270,287,349,642,272,1196,1475,354,2459,2818,1393,6364,7759,1459,3157,4617,5219,2059,7280,4045,2518,6561,4130,2316,6445,4803,1572,6374,3137,1188,4329,3379,806,4181,6392,1067,7461,4208,127,4342,2969,215,3184,1606,37,1645,3105,362,3468,4268,237,4508,985,1281,2263,52579,28035,80613
RA43,118,177,293,52,73,119,63,229,296,61,439,503,254,1155,1413,249,605,853,896,391,1285,702,538,1239,831,493,1318,997,324,1320,642,254,897,721,169,894,1345,303,1643,922,35,964,681,76,756,383,16,403,911,139,1050,1093,72,1162,162,242,408,11080,5735,16814
RA44,43,57,92,17,22,37,25,90,110,19,166,183,115,340,454,89,123,212,232,105,347,213,123,339,222,125,347,254,114,365,160,85,243,175,64,239,286,107,396,236,9,250,167,22,189,86,5,88,171,29,202,374,17,398,111,133,248,2998,1737,4730
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA50,5171,7357,12530,2053,2585,4641,2383,6654,9037,2730,13248,15974,7856,30414,38274,9393,20199,29594,25844,13326,39169,24206,16592,40798,29676,19411,49079,34218,16460,50679,27446,14518,41968,29346,11322,40667,66457,20025,86486,52692,2524,55224,46391,5314,51702,30404,1090,31494,95978,7726,103702,52817,5507,58322,4900,5541,10433,549956,219810,769764
RA51,580,687,1271,285,284,571,295,773,1068,364,1641,2006,1157,4205,5363,1299,2473,3767,4093,1621,5711,3304,1880,5188,3918,1953,5871,4274,1427,5707,3042,1197,4239,3368,952,4313,7215,1536,8747,5549,159,5707,4478,399,4871,2672,72,2743,6292,456,6747,7546,429,7982,746,804,1549,60471,22948,83418
RA52,473,671,1143,236,284,520,274,798,1076,262,1467,1732,953,3745,4695,990,2248,3241,3225,1399,4626,2569,1861,4427,2883,1854,4734,3260,1296,4561,2351,1213,3560,2616,941,3555,5552,1576,7127,4232,130,4357,3442,376,3822,2014,63,2074,4915,474,5387,5297,332,5630,738,863,1598,46275,21590,67865
RA53,163,233,390,78,84,165,81,238,325,104,471,578,269,895,1165,277,509,788,717,401,1115,663,511,1175,805,704,1505,930,615,1539,729,631,1362,893,524,1417,2209,1104,3313,1809,96,1909,1896,350,2246,1246,71,1314,4156,506,4662,2564,199,2762,324,324,649,19909,8465,28374
RA54,79,143,223,49,52,97,104,251,355,117,321,438,357,486,843,254,239,494,604,221,823,511,303,809,567,361,924,571,391,963,417,363,779,495,348,842,1033,673,1711,848,49,898,824,168,990,517,25,536,1338,185,1521,1358,115,1473,281,294,575,10330,4970,15302
RA55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
RA59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA61,636,1017,1652,296,423,721,349,1339,1693,489,2796,3289,1608,7683,9288,2025,4859,6893,5728,3362,9092,5442,3879,9322,6561,4105,10663,7827,2923,10759,5656,2491,8154,5770,1752,7519,12222,2444,14669,8802,495,9298,6655,615,7276,4258,181,4442,9542,878,10425,5832,787,6623,782,1285,2073,90501,43338,133834
RA62,482,663,1140,280,305,590,290,990,1277,406,2191,2602,1423,6291,7714,1575,3228,4804,5695,1826,7518,4379,2264,6645,4568,2049,6617,5112,1211,6332,3436,1043,4482,3470,761,4232,6450,869,7325,4291,104,4397,2864,153,3018,1586,30,1616,3026,264,3292,4309,238,4547,762,1082,1846,54415,25581,79992
RA63,25,39,61,13,20,31,15,64,76,17,145,164,69,340,412,65,162,226,226,100,329,176,111,288,171,110,284,179,61,234,107,65,175,115,54,170,214,62,277,150,0,154,101,15,117,47,0,47,96,23,124,227,19,244,29,64,94,2054,1463,3519
RA64,4,12,21,4,7,14,0,17,22,5,27,32,12,71,89,10,44,50,63,41,103,45,32,79,50,40,91,51,29,83,42,18,60,30,18,48,86,24,108,57,4,58,38,3,42,21,0,21,43,3,52,57,0,59,10,23,37,651,421,1071
RA65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA72,184,354,542,59,104,171,116,282,398,170,694,865,350,1066,1419,416,688,1099,865,623,1493,873,977,1847,1307,1207,2517,1651,1190,2843,1454,1160,2616,1673,1005,2681,4442,1811,6251,3658,303,3962,3273,439,3710,2478,161,2645,6465,696,7159,3825,610,4437,296,339,638,33581,13710,47297
RA73,72,116,188,93,58,147,133,140,278,112,203,309,253,404,650,186,246,429,395,214,608,381,315,695,513,413,922,559,438,994,442,384,826,440,292,731,1157,573,1730,1009,77,1082,946,149,1095,606,41,651,1503,219,1725,1116,188,1302,169,179,343,10072,4646,14718
RA74,19,23,40,79,25,102,166,109,268,81,89,164,360,89,452,205,72,276,456,108,565,501,144,638,488,231,718,510,187,702,373,211,585,375,177,552,599,331,927,465,18,481,329,58,385,225,12,237,418,54,477,731,38,766,219,85,300,6587,2064,8644
RA75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
RA79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA80,547,1016,1557,239,375,612,248,948,1200,319,1877,2198,855,4165,5019,1092,2724,3816,2533,2654,5191,2735,3320,6049,4040,4105,8144,5682,4340,10026,5099,4771,9876,5484,4131,9611,14010,8227,22238,12104,966,13075,12015,1947,13966,9800,574,10376,33656,3174,36829,6036,1091,7123,539,753,1290,117044,51158,168200
RA81,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,3,0,0,0,4,0,6,5,4,4,7,7,8,6,0,5,3,0,6,17,6,20,23,0,22,12,0,16,13,0,13,58,0,61,12,4,11,0,0,0,168,35,201
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA91,0,0,0,0,0,0,0,0,0,0,0,7,3,5,6,0,0,0,0,0,0,0,3,8,9,0,5,0,0,0,0,0,0,3,4,9,3,0,7,0,0,0,6,0,4,7,0,7,4,0,4,9,0,9,19,3,21,68,19,89
RA94,8,16,22,7,13,18,6,14,18,7,33,44,14,79,95,21,45,67,49,46,94,51,45,98,60,52,112,72,37,114,64,31,94,66,35,101,123,29,153,95,0,96,72,12,79,52,0,49,94,9,100,87,3,93,5,14,21,945,502,1444
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
