RA_CODE_2021,M_Arthritis_0_14,M_Arthritis_15_24,M_Arthritis_25_34,M_Arthritis_35_44,M_Arthritis_45_54,M_Arthritis_55_64,M_Arthritis_65_74,M_Arthritis_75_84,M_Arthritis_85_over,M_Arthritis_Tot,M_Asthma_0_14,M_Asthma_15_24,M_Asthma_25_34,M_Asthma_35_44,M_Asthma_45_54,M_Asthma_55_64,M_Asthma_65_74,M_Asthma_75_84,M_Asthma_85_over,M_Asthma_Tot,M_Cancer_0_14,M_Cancer_15_24,M_Cancer_25_34,M_Cancer_35_44,M_Cancer_45_54,M_Cancer_55_64,M_Cancer_65_74,M_Cancer_75_84,M_Cancer_85_over,M_Cancer_Tot,M_Dementia_0_14,M_Dementia_15_24,M_Dementia_25_34,M_Dementia_35_44,M_Dementia_45_54,M_Dementia_55_64,M_Dementia_65_74,M_Dementia_75_84,M_Dementia_85_over,M_Dementia_Tot,M_Diabetes_0_14,M_Diabetes_15_24,M_Diabetes_25_34,M_Diabetes_35_44,M_Diabetes_45_54,M_Diabetes_55_64,M_Diabetes_65_74,M_Diabetes_75_84,M_Diabetes_85_over,M_Diabetes_Tot,M_Heart_disease_0_14,M_Heart_disease_15_24,M_Heart_disease_25_34,M_Heart_disease_35_44,M_Heart_disease_45_54,M_Heart_disease_55_64,M_Heart_disease_65_74,M_Heart_disease_75_84,M_Heart_disease_85_over,M_Heart_disease_Tot,M_Kidney_disease_0_14,M_Kidney_disease_15_24,M_Kidney_disease_25_34,M_Kidney_disease_35_44,M_Kidney_disease_45_54,M_Kidney_disease_55_64,M_Kidney_disease_65_74,M_Kidney_disease_75_84,M_Kidney_disease_85_over,M_Kidney_disease_Tot,M_Lung_cond_0_14,M_Lung_cond_15_24,M_Lung_cond_25_34,M_Lung_cond_35_44,M_Lung_cond_45_54,M_Lung_cond_55_64,M_Lung_cond_65_74,M_Lung_cond_75_84,M_Lung_cond_85_over,M_Lung_cond_Tot,M_Mental_health_cond_0_14,M_Mental_health_cond_15_24,M_Mental_health_cond_25_34,M_Mental_health_cond_35_44,M_Mental_health_cond_45_54,M_Mental_health_cond_55_64,M_Mental_health_cond_65_74,M_Mental_health_cond_75_84,M_Mental_health_cond_85_over,M_Mental_health_cond_Tot,M_Stroke_0_14,M_Stroke_15_24,M_Stroke_25_34,M_Stroke_35_44,M_Stroke_45_54,M_Stroke_55_64,M_Stroke_65_74,M_Stroke_75_84,M_Stroke_85_over,M_Stroke_Tot,M_Other_0_14,M_Other_15_24,M_Other_25_34,M_Other_35_44,M_Other_45_54,M_Other_55_64,M_Other_65_74,M_Other_75_84,M_Other_85_over,M_Other_Tot,M_None_0_14,M_None_15_24,M_None_25_34,M_None_35_44,M_None_45_54,M_None_55_64,M_None_65_74,M_None_75_84,M_None_85_over,M_None_Tot,M_NS_0_14,M_NS_15_24,M_NS_25_34,M_NS_35_44,M_NS_45_54,M_NS_55_64,M_NS_65_74,M_NS_75_84,M_NS_85_over,M_NS_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_over,M_Tot_Tot,F_Arthritis_0_14,F_Arthritis_15_24,F_Arthritis_25_34,F_Arthritis_35_44,F_Arthritis_45_54,F_Arthritis_55_64,F_Arthritis_65_74,F_Arthritis_75_84,F_Arthritis_85_over,F_Arthritis_Tot,F_Asthma_0_14,F_Asthma_15_24,F_Asthma_25_34,F_Asthma_35_44,F_Asthma_45_54,F_Asthma_55_64,F_Asthma_65_74,F_Asthma_75_84,F_Asthma_85_over,F_Asthma_Tot,F_Cancer_0_14,F_Cancer_15_24,F_Cancer_25_34,F_Cancer_35_44,F_Cancer_45_54,F_Cancer_55_64,F_Cancer_65_74,F_Cancer_75_84,F_Cancer_85_over,F_Cancer_Tot,F_Dementia_0_14,F_Dementia_15_24,F_Dementia_25_34,F_Dementia_35_44,F_Dementia_45_54,F_Dementia_55_64,F_Dementia_65_74,F_Dementia_75_84,F_Dementia_85_over,F_Dementia_Tot,F_Diabetes_0_14,F_Diabetes_15_24,F_Diabetes_25_34,F_Diabetes_35_44,F_Diabetes_45_54,F_Diabetes_55_64,F_Diabetes_65_74,F_Diabetes_75_84,F_Diabetes_85_over,F_Diabetes_Tot,F_Heart_disease_0_14,F_Heart_disease_15_24,F_Heart_disease_25_34,F_Heart_disease_35_44,F_Heart_disease_45_54,F_Heart_disease_55_64,F_Heart_disease_65_74,F_Heart_disease_75_84,F_Heart_disease_85_over,F_Heart_disease_Tot
RA23,0,0,3,5,21,52,75,38,7,201,33,16,13,20,17,34,27,7,3,169,0,0,0,0,9,14,24,18,9,67,0,0,0,0,0,6,0,4,4,9,3,0,0,3,10,35,44,26,5,128,0,0,0,4,3,32,52,21,9,116,0,0,0,0,0,0,4,3,0,12,0,0,0,0,4,18,23,14,4,59,14,8,12,23,27,53,23,6,0,162,0,0,0,0,3,4,12,5,3,23,19,6,13,9,18,31,30,17,8,143,171,77,87,98,96,145,120,46,17,858,22,13,13,24,15,45,39,14,12,193,246,119,131,172,167,339,324,159,63,1728,0,0,3,17,15,62,66,64,31,263,16,12,23,23,16,36,27,20,3,168,5,0,0,4,7,14,15,17,11,69,0,0,0,0,0,0,4,0,3,7,0,0,0,5,12,23,20,17,3,79,0,0,0,0,4,17,25,14,10,70
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,10,0,0,0,11,3,7,0,0,0,25,0,0,6,16,3,10,4,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA29,0,4,15,27,53,54,56,17,0,224,41,34,52,48,52,31,22,12,0,296,0,0,4,6,14,14,28,11,0,79,0,0,0,0,8,0,0,3,0,18,0,0,4,13,31,38,45,9,0,145,0,3,4,9,30,40,59,18,0,165,0,0,0,3,15,9,4,6,0,38,0,4,8,3,33,17,25,4,0,88,23,100,125,162,164,82,35,9,0,700,0,0,0,5,6,8,9,4,0,39,47,32,52,64,78,61,38,3,0,379,240,225,360,256,202,157,101,22,0,1568,263,221,392,530,468,284,133,19,8,2314,594,575,939,1008,912,644,392,90,15,5170,0,3,23,28,54,69,50,20,6,263,31,57,78,74,59,52,23,7,5,389,0,0,4,9,9,24,12,0,0,65,0,0,0,0,0,0,0,0,0,11,0,0,7,13,31,17,7,4,0,91,0,6,3,11,12,15,14,11,6,69
RA30,253,890,3130,6378,12568,21599,27712,19597,6433,98560,22342,17302,18974,18838,15535,11953,9875,5228,1447,121491,329,494,996,1914,3949,8629,14678,11762,3713,46461,30,26,53,80,178,496,1782,4111,3319,10075,486,1188,2131,5002,10978,17438,21410,13500,3216,75338,608,633,981,2123,6432,14855,24030,19763,7281,76703,318,287,479,799,1429,2203,3470,3489,1664,14143,662,361,548,1063,2347,5252,8327,7364,2363,28285,8975,17888,22123,21435,20642,16231,11153,5384,1956,125789,114,118,221,483,1278,2735,4489,4562,1835,15830,17822,10914,11751,14683,17961,19637,17298,9927,3965,123952,251608,155864,164775,152740,127649,86031,48625,18605,4005,1009896,25288,18154,21001,18751,17521,13208,9004,5226,2460,130622,321678,215785,235209,227650,211755,176122,139422,76805,23683,1628118,310,1401,4083,9060,21044,35810,47837,34963,15709,170220,15965,19275,25652,25694,23843,20281,18116,10122,3392,162341,265,445,1301,3396,7724,11502,14108,9979,3921,52633,26,23,43,55,159,395,1652,4679,6549,13577,511,1116,2441,4642,8756,13589,16215,10981,3798,62044,511,620,950,1493,3473,7543,13601,14260,9081,51536
RA31,85,295,890,1992,4826,10499,14918,9722,2744,45970,7658,4629,4520,4780,4614,4864,4491,2418,544,38510,91,113,257,495,1238,3486,6562,5018,1388,18642,15,7,17,34,61,271,762,1499,1064,3731,189,353,593,1409,3618,7119,9860,6031,1278,30434,197,205,306,642,2234,6137,10964,8460,2729,31868,102,85,144,238,469,977,1695,1693,657,6061,202,100,172,410,1139,3078,4912,3668,983,14660,3175,5329,5582,6084,7194,7479,5791,2457,679,43769,33,43,76,173,462,1114,2091,1949,686,6634,5520,3124,2810,3807,5525,7786,7084,3688,1221,40559,69406,38878,35056,33458,33489,29104,19444,7770,1542,268144,9151,6585,7414,7261,7564,6583,4756,2683,1037,53029,93350,57150,54517,55532,61935,66894,61475,33236,9055,493146,106,414,1244,3211,8065,16404,21679,14770,5874,71766,5607,5422,6763,7397,7897,8691,7799,4053,1119,54746,86,121,335,891,2223,4174,5671,3725,1240,18472,5,12,19,19,69,219,593,1673,2143,4744,188,366,769,1429,3189,5681,7002,4692,1430,24753,178,174,311,527,1388,3512,6097,5980,3298,21462
RA32,53,171,602,1332,2926,6066,7669,4635,1291,24747,4249,2719,2816,2806,2823,2837,2283,1103,244,21875,64,83,164,338,789,2197,3748,2407,646,10443,10,4,13,22,39,166,482,858,595,2184,81,198,342,932,2411,4461,5580,3044,635,17689,151,141,205,433,1509,3865,5960,4070,1263,17600,65,55,89,136,302,640,1023,811,321,3448,114,67,91,228,630,1734,2520,1787,431,7607,1585,2690,3291,3801,4452,4289,2850,1105,332,24391,27,29,43,119,258,737,1207,960,321,3701,3086,1822,1852,2442,3658,4618,3750,1907,632,23761,50720,28924,28633,26041,25533,20895,12588,4447,864,198649,7735,6452,7528,6758,6726,5761,3876,1961,593,47392,66792,42088,43772,42321,45799,46147,37249,18042,4663,346876,45,235,697,1758,4451,8909,10329,6789,2715,35927,2909,3219,4216,4450,4547,4647,3771,1726,456,29942,59,68,203,631,1498,2468,3021,1722,564,10232,8,6,9,8,35,133,405,962,1133,2696,99,235,489,1030,2135,3512,3838,2406,699,14435,134,143,193,393,879,2118,3110,2840,1495,11296
RA33,9,17,49,93,221,525,678,397,85,2073,451,252,320,283,290,308,212,97,23,2226,9,6,14,15,70,203,338,199,34,889,0,5,0,0,5,17,42,53,56,166,5,19,53,115,290,494,579,256,49,1856,23,27,23,48,163,411,536,356,74,1650,8,9,11,16,40,69,106,68,27,353,9,9,13,17,72,179,229,152,29,712,82,169,244,232,311,370,237,85,12,1746,0,0,3,6,32,76,93,77,20,316,241,107,156,178,295,401,307,143,55,1881,5756,2958,3567,2899,2697,2453,1318,425,67,22142,977,729,1071,827,943,838,515,243,69,6205,7498,4227,5363,4527,4905,5234,3714,1678,358,37500,9,14,59,141,367,709,756,480,152,2671,265,284,433,395,403,428,319,136,35,2694,5,12,21,42,110,217,227,125,29,789,0,0,0,0,4,10,27,65,76,184,9,25,67,140,270,408,393,195,49,1554,21,19,22,49,109,212,275,204,94,1004
RA34,5,7,23,50,151,333,373,201,55,1200,295,149,178,179,160,179,142,61,16,1363,0,6,14,23,42,118,152,96,28,485,0,0,0,0,4,17,25,52,40,140,4,20,47,107,268,425,348,156,35,1417,28,26,26,44,126,296,330,199,46,1124,0,4,6,15,38,62,65,50,22,264,23,4,5,8,30,114,138,79,18,417,47,81,148,140,167,194,116,36,11,939,0,0,4,4,15,46,69,38,19,195,166,76,80,123,183,247,168,84,38,1161,4552,2601,2741,2020,1919,1549,822,270,43,16527,893,498,672,528,574,608,328,170,33,4307,5979,3440,3865,3115,3362,3464,2277,1016,231,26748,0,14,42,88,240,474,423,260,116,1658,190,214,275,277,293,293,232,112,28,1913,5,6,16,19,84,124,109,80,21,457,0,6,0,0,0,8,35,43,41,140,8,26,73,167,279,434,345,166,36,1541,20,38,56,60,99,195,155,144,74,840
RA35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,15,10,0,0,0,0,39,0,9,24,40,31,3,0,0,0,107,0,4,37,55,42,3,3,0,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA39,3,3,15,39,65,175,248,69,3,622,51,47,71,75,54,73,70,6,4,463,0,0,0,15,11,46,107,31,5,215,0,0,0,0,0,5,12,4,3,22,0,0,14,15,47,87,142,47,0,355,0,3,6,15,33,101,188,48,3,402,0,0,4,6,4,12,24,11,0,64,0,3,4,9,27,56,82,26,4,202,40,83,151,169,148,156,102,15,0,864,0,0,0,5,7,25,33,12,0,81,49,49,49,72,94,144,130,21,0,605,502,339,647,445,330,472,408,90,3,3236,136,238,421,469,419,341,224,40,3,2284,753,719,1301,1194,1042,1297,1253,283,23,7861,0,3,21,36,96,266,236,48,10,723,30,65,114,84,81,118,99,23,0,615,0,0,3,8,34,61,56,13,0,177,0,0,0,0,0,6,6,4,3,22,0,0,9,22,30,79,60,16,7,219,0,4,6,7,18,57,62,29,7,188
RA40,88,317,1180,2401,4981,9655,12627,9322,4103,44671,8686,6837,7728,7358,6189,5502,4695,2561,900,50458,127,160,351,695,1321,3530,6347,4967,2012,19505,6,14,24,36,72,254,793,1894,2014,5096,208,479,963,2558,5264,9191,11451,7310,2329,39756,209,225,367,756,2609,6642,10840,9050,4251,34939,173,166,206,307,538,977,1481,1460,808,6123,227,138,225,349,866,2213,3435,2954,1287,11681,2284,6396,8895,8610,8880,7808,5249,2457,1156,51738,38,31,74,165,547,1238,2103,2028,1099,7329,6523,4079,4417,5673,7348,9026,8002,4410,2130,51606,94059,62768,68609,60256,49926,37409,21812,8705,2319,405866,7667,5693,6316,5920,5846,4972,3322,2014,1014,42761,118059,84207,94580,88452,83040,77760,63520,35551,13441,658606,106,500,1647,3557,8668,16691,23194,18361,10164,82874,5909,7318,9920,9906,9144,9238,8569,4992,2045,67035,101,153,385,1087,2674,4635,6249,4460,2100,21840,10,17,14,29,70,207,849,2550,4321,8060,194,463,1117,2224,4238,7063,8862,6429,3011,33604,191,193,347,536,1394,3265,6036,6675,5405,24027
RA41,18,40,130,345,820,1846,2740,1994,624,8553,1224,778,732,877,924,1047,917,516,128,7153,17,22,34,69,211,590,1232,993,290,3453,0,0,0,8,5,31,133,276,250,700,30,62,84,202,576,1307,2006,1317,363,5957,26,26,41,85,360,1129,2098,1736,616,6118,18,16,19,38,74,162,260,237,86,907,29,13,26,39,154,434,705,583,203,2175,359,763,873,971,1243,1377,1133,494,127,7339,0,10,9,21,77,202,358,362,152,1181,795,442,421,575,952,1476,1379,734,251,7018,11303,6421,5374,5644,6462,6176,4461,1838,360,48034,1134,840,812,907,1002,1008,831,471,153,7145,14663,9065,8073,8992,11210,13132,12720,7104,1998,86964,27,79,177,497,1338,2936,4058,2939,1269,13319,867,875,1023,1176,1346,1543,1535,801,244,9411,18,16,38,145,401,766,1068,729,246,3429,0,0,0,4,6,29,105,339,484,964,29,55,98,213,504,967,1395,963,413,4637,22,18,29,64,197,558,1034,1044,654,3614
RA42,19,49,182,400,1011,2349,3164,2015,679,9876,1591,1060,1060,1000,1028,1163,1065,596,157,8714,14,17,36,78,197,622,1323,1011,316,3610,0,3,4,3,21,49,155,374,260,865,35,79,129,288,864,1875,2641,1565,399,7885,30,36,57,110,434,1357,2309,1774,648,6754,21,20,27,51,84,233,331,314,124,1206,36,20,35,73,231,609,975,680,215,2879,357,878,1056,1123,1397,1537,1151,427,159,8082,5,5,11,16,96,245,440,380,164,1362,874,542,539,686,1133,1588,1344,648,270,7612,13008,7421,7225,6427,6953,6712,4649,1737,419,54541,1718,1214,1480,1500,1465,1484,1184,689,256,10983,17317,10893,11199,10741,12695,15160,14075,7314,2229,101624,23,79,251,597,1581,3335,4271,3238,1450,14836,1105,1155,1426,1430,1578,1864,1705,962,299,11523,11,25,54,144,347,774,1038,765,248,3401,0,0,0,5,6,48,160,434,557,1216,34,62,169,345,730,1445,1843,1316,466,6417,30,25,44,107,265,694,1104,1219,716,4223
RA43,0,9,35,67,163,458,575,347,122,1771,296,231,214,229,191,254,221,80,27,1742,0,4,9,18,37,123,254,202,74,720,0,0,0,0,0,6,25,54,49,136,4,8,18,36,132,300,438,302,94,1335,10,5,3,11,76,218,431,336,144,1240,3,0,3,6,13,22,50,49,26,171,9,4,12,11,22,123,170,112,42,495,48,141,199,195,233,282,198,85,29,1401,0,0,3,3,11,60,72,68,28,245,164,102,100,115,190,285,256,104,45,1359,3235,1452,1737,1696,1661,1602,1059,422,73,12932,383,243,310,337,395,375,274,164,48,2529,4092,2128,2534,2580,2845,3332,2881,1523,445,22358,0,20,52,99,242,586,746,512,212,2471,194,185,266,284,268,315,269,162,52,1998,0,3,5,25,82,171,203,129,47,670,0,0,0,0,0,6,31,64,101,205,6,8,33,56,104,256,278,210,77,1031,4,8,15,18,35,104,186,190,137,699
RA44,3,4,14,26,35,125,138,94,20,459,50,34,58,48,59,67,56,22,3,391,0,3,9,0,11,43,58,33,14,172,0,0,0,0,0,7,7,19,14,43,4,8,24,22,56,125,126,61,15,437,3,6,7,16,42,99,112,69,29,374,0,0,6,0,11,12,15,9,5,62,0,0,0,4,11,41,45,26,7,132,18,22,58,48,51,72,29,15,6,315,0,0,0,0,5,13,34,16,12,74,36,22,36,25,68,100,40,32,5,375,977,581,656,553,526,467,329,122,14,4231,172,124,147,102,154,141,102,55,25,1018,1250,794,966,817,936,1053,841,398,106,7163,0,0,13,26,63,138,148,90,39,522,54,44,75,81,82,89,68,29,15,532,0,0,0,6,15,30,43,40,11,146,0,0,0,0,5,0,9,10,15,37,4,11,32,47,80,104,87,40,9,408,11,6,7,18,18,49,42,44,23,226
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,5,0,0,0,0,5,0,0,0,3,5,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA49,0,0,10,6,21,32,37,13,0,123,21,26,28,21,19,12,9,4,0,153,0,0,0,0,6,10,19,0,4,40,0,0,0,0,0,0,0,0,0,5,0,0,3,6,21,32,34,6,0,98,5,0,3,0,0,17,33,8,0,65,0,0,0,0,0,5,4,0,0,11,0,0,0,0,4,13,11,3,0,33,11,40,53,45,52,46,19,3,0,267,0,0,4,0,3,4,3,0,0,21,9,14,14,20,36,42,25,5,0,162,127,89,143,124,101,92,54,17,0,744,42,43,97,94,96,101,53,7,0,538,208,182,320,289,299,311,214,40,7,1873,0,4,15,12,14,46,47,8,0,141,17,40,34,37,22,18,24,0,0,196,0,0,0,0,0,11,12,0,0,31,0,0,0,0,0,4,0,4,0,8,0,0,3,0,8,12,12,7,0,46,0,0,4,0,8,7,13,0,3,33
RA50,145,492,1562,3290,6423,11827,15738,11273,4067,54820,12910,9354,10156,10317,8492,6625,5323,2849,883,66905,211,260,548,1085,2128,4935,8576,6702,2292,26734,3,19,22,44,98,295,963,2275,2012,5730,319,628,1291,3463,7150,11349,14240,8820,2426,49690,282,252,468,1136,3714,8981,14423,11454,4403,45106,214,154,253,499,725,1262,1944,2123,1062,8236,270,165,264,478,1153,2733,4624,3988,1481,15162,4146,9348,12356,11992,10867,8737,5776,2696,1004,66921,42,59,104,305,663,1436,2527,2688,1213,9039,9652,6027,6194,7728,9735,11109,10096,5474,2418,68446,164724,95372,105731,104236,83379,59372,33200,12374,2792,661175,13939,10221,13926,13378,12126,9264,5648,3303,1773,83581,203568,128278,147123,149710,133337,114846,89170,47410,15662,1029106,213,816,2318,5034,11507,20784,27921,20948,10187,99715,8944,10071,13552,13561,12168,11162,9562,5151,1856,86029,169,229,669,1907,4192,6600,8303,5605,2242,29920,12,21,15,28,57,259,892,2876,4178,8335,303,681,1336,2903,5374,8792,11127,7292,2963,40765,208,238,337,720,1810,4227,7542,7902,5239,28225
RA51,19,67,179,445,928,2000,2773,1706,505,8619,1824,928,896,1042,1008,914,830,428,109,7989,30,26,45,104,242,757,1299,906,254,3669,0,0,4,4,6,46,126,281,193,653,41,85,123,281,775,1403,2027,1127,262,6126,33,38,48,111,403,1131,2051,1519,518,5842,28,13,21,38,95,171,283,277,102,1037,31,22,36,43,156,460,804,619,154,2323,592,959,1100,1271,1426,1372,1000,411,114,8234,5,3,12,14,85,217,413,336,128,1232,1051,631,478,709,1013,1417,1362,697,229,7587,17049,8719,7816,8819,9119,7595,5044,1828,330,66321,2048,1643,2395,2485,2371,1864,1212,607,218,14837,22315,12683,12603,14470,15915,15831,13931,6760,1810,116314,36,90,258,691,1814,3347,4237,2666,1174,14312,1154,1012,1233,1564,1579,1568,1427,653,224,10417,26,14,68,215,512,917,1204,733,220,3922,0,0,4,3,9,43,137,307,433,942,35,62,155,289,601,1065,1440,834,346,4826,23,26,37,74,211,549,1043,929,581,3481
RA52,16,52,135,322,788,1624,2248,1423,463,7072,1299,839,758,800,777,863,692,328,87,6444,17,24,46,61,222,558,1055,799,244,3015,0,0,0,6,11,27,94,267,194,608,41,55,132,249,657,1337,1600,1022,235,5336,23,19,43,71,376,994,1604,1268,467,4862,20,9,29,25,86,163,230,231,114,913,31,12,10,24,132,414,677,482,146,1925,341,744,850,892,1091,1193,803,316,113,6345,8,5,13,17,58,153,292,306,115,962,796,450,399,536,806,1156,1022,580,213,5970,13142,6867,6852,6670,6884,6284,4028,1368,341,52431,2169,1356,1657,1688,1765,1651,1231,642,179,12341,17620,10078,10485,10765,12168,13319,11243,5682,1681,93046,24,57,198,476,1253,2557,3135,2167,921,10788,867,893,1096,1098,1289,1284,1087,562,182,8363,5,11,47,143,362,701,859,592,210,2941,0,3,6,3,18,37,95,293,414,870,22,47,127,265,575,1059,1235,747,249,4330,15,19,32,67,196,528,859,792,484,2992
RA53,6,13,58,147,288,603,583,300,91,2078,504,283,423,451,332,340,182,90,14,2612,3,5,15,42,86,222,256,175,50,861,0,0,3,0,3,12,27,34,28,112,21,27,64,138,323,522,464,235,48,1849,19,13,22,52,143,367,438,267,93,1403,10,9,25,26,36,64,78,53,17,320,17,5,9,18,46,140,194,107,30,576,122,232,329,378,390,355,191,52,14,2076,0,0,0,15,26,55,109,66,19,279,310,141,186,238,330,375,276,121,36,2006,7498,3079,4294,4537,3614,2703,1234,359,74,27390,1571,926,1272,1289,1212,1014,500,219,58,8062,9981,4631,6525,7038,6343,5758,3385,1405,368,45432,5,20,88,182,412,718,744,423,156,2746,355,280,540,554,492,431,305,122,35,3116,10,8,23,89,171,209,196,134,29,863,0,0,0,0,0,6,25,51,68,163,11,23,72,105,255,347,344,167,62,1393,19,16,21,28,96,179,215,152,84,821
RA54,4,10,37,82,176,301,323,120,21,1071,226,140,234,254,201,169,111,30,7,1369,0,3,8,15,53,143,131,66,9,437,0,0,0,0,5,6,14,27,11,78,5,26,59,151,303,398,309,122,17,1384,23,22,34,56,144,299,250,134,16,983,8,4,14,21,41,54,50,42,3,246,8,8,8,17,37,90,121,61,6,358,53,110,207,212,204,193,102,24,0,1105,0,0,3,8,22,36,40,34,5,150,170,76,119,175,213,233,163,42,12,1206,4492,2458,3897,3288,2661,1830,735,207,33,19595,1173,889,1797,1573,1367,1011,399,138,21,8360,6129,3691,6320,5656,5044,4137,2079,709,111,33874,3,12,36,93,215,338,317,160,32,1211,146,161,303,289,301,271,157,50,5,1675,0,7,14,33,68,119,81,44,7,383,0,0,0,0,3,9,22,42,22,110,5,27,60,167,298,361,233,101,28,1277,21,25,29,61,124,153,119,60,15,613
RA55,0,0,0,0,0,0,0,0,0,11,0,0,0,8,4,4,0,0,0,15,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,15,54,75,45,23,0,0,0,218,0,14,44,70,43,20,4,0,0,204,0,30,99,157,103,55,14,0,0,455,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA59,0,6,4,14,23,53,55,18,0,175,14,22,39,36,21,12,19,9,0,171,0,0,0,5,13,17,34,7,0,72,0,0,0,0,0,0,0,0,0,3,0,6,4,12,16,33,44,10,0,133,0,3,0,8,18,26,51,17,0,129,0,0,0,5,7,0,3,3,0,25,0,0,0,4,7,10,20,4,0,54,9,47,73,66,72,42,18,9,0,337,0,0,0,0,5,4,15,0,0,26,13,22,23,30,37,52,42,7,0,223,255,164,303,277,186,168,124,15,4,1496,101,176,396,530,514,334,158,50,10,2281,389,414,822,926,842,667,444,118,14,4639,0,0,4,22,34,70,80,10,6,222,11,33,41,38,28,29,21,3,0,200,0,0,4,5,9,19,20,4,0,59,0,0,0,0,0,0,0,0,0,0,0,4,10,8,14,15,24,0,6,74,0,0,8,3,10,13,18,3,0,57
RA61,33,106,371,775,1649,3003,4187,2829,1004,13958,2519,1829,1902,1777,1539,1423,1296,700,209,13197,23,50,94,191,355,967,1779,1318,453,5232,4,8,3,10,22,77,244,474,429,1263,67,132,257,512,1050,1946,2548,1637,465,8612,66,55,77,187,601,1607,2750,2280,896,8516,25,37,49,86,150,260,456,435,185,1678,35,27,57,120,309,665,1023,858,295,3386,938,2207,2716,2532,2582,2142,1424,621,260,15427,0,11,22,42,147,339,591,568,275,1997,1710,1119,1169,1375,1867,2198,1944,1084,516,12986,23047,14195,19764,13638,11313,9134,5686,2294,510,99583,2344,1768,2039,1635,1652,1441,1071,683,262,12894,30040,20490,27164,21031,20059,19813,17070,9519,3088,168271,34,181,542,1260,2856,5234,7061,5253,2484,24914,1768,2122,2661,2675,2520,2393,2338,1332,451,18275,24,58,106,321,737,1242,1711,1227,533,5951,5,0,9,10,16,44,230,583,788,1680,57,125,320,503,956,1579,2043,1433,538,7556,48,60,85,136,351,774,1447,1677,1130,5700
