RA_CODE_2021,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_resp,Samoan_BP_B_OS,Samoan_FO_B_OS,Samoan_MO_B_OS,Samoan_BP_B_Aus,Samoan_BP_NS,Samoan_Tot_resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_resp
RA23,16,60,67,1242,13,1392,0,0,0,49,0,49,9,0,0,9,0,20,3,0,0,0,0,7,10,7,7,9,0,38,118,70,58,1135,15,1396,15,0,5,0,0,21,9,4,0,0,0,14,26,9,11,331,4,380,4,3,0,3,0,16,3,0,0,0,0,3,13,0,0,0,0,16,21,10,15,297,0,352,12,9,0,19,3,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,6,7,0,0,6,0,8,4,0,4,9,0,22,0,0,0,0,0,3,0,0,0,0,0,0,36,19,15,294,4,360,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,11,0,16,59,10,11,29,6,111,0,0,0,20,246,278,301,120,117,2480,281,3305
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,3,0,0,7,28,38
RA29,61,230,123,1415,47,1874,7,9,6,208,5,242,179,7,4,13,0,206,18,0,0,0,0,24,53,31,5,42,0,126,370,173,124,1249,35,1952,54,0,8,0,0,55,25,5,0,14,0,47,74,23,13,136,4,250,34,18,4,18,0,77,11,0,0,6,0,21,95,0,4,3,0,99,106,48,23,445,7,626,72,22,20,106,3,222,4,0,0,0,0,7,27,6,0,8,0,38,10,0,0,8,0,19,12,8,6,27,0,53,44,0,9,5,0,58,43,12,5,0,3,65,23,6,3,19,0,52,18,0,0,0,0,18,23,0,0,0,0,23,103,60,48,350,7,572,22,0,0,0,0,23,14,0,0,0,0,21,20,3,0,3,0,29,19,5,0,0,0,26,48,0,3,0,0,48,14,5,5,15,4,37,595,69,42,93,19,810,32,9,4,45,3572,3671,1800,426,258,2909,3693,9089
RA30,34685,133722,108605,760338,8237,1045594,1105,5925,3600,73086,1024,84737,122505,3237,5958,8398,729,140834,7439,1622,866,3052,74,13061,25496,8359,5347,15876,265,55336,320164,117960,90607,718879,9152,1256767,39667,1452,7171,1705,250,50240,13047,2268,1677,6879,135,24007,38750,13075,9658,118656,1052,181187,9811,3791,1863,10838,142,26443,6699,1366,740,2154,66,11015,73851,2467,1681,1871,202,80077,68556,26875,18922,254493,1916,370764,32774,11619,5729,44651,527,95305,20953,160,955,220,52,22346,3369,1181,558,2884,31,8019,1844,355,236,518,14,2970,3992,1831,1103,5590,66,12582,40851,5823,4004,2323,350,53348,29820,10067,7336,3502,316,51033,12893,2573,2065,7239,116,24884,8697,1060,1114,2919,108,13893,27508,2807,1336,561,299,32510,81036,28770,21709,208356,1684,341548,6534,795,495,976,65,8857,21824,2782,2180,856,89,27741,13568,1327,1093,3097,102,19185,6232,588,451,594,31,7902,27691,792,1441,747,134,30800,10668,2546,1678,9501,95,24489,296474,32073,31213,50001,2893,412656,17830,2035,1825,15370,153416,190482,1134093,247295,195667,1576857,177223,3331137
RA31,5100,30455,24138,326667,4371,390725,181,1808,1099,44581,665,48332,5956,305,533,2621,63,9477,782,232,87,558,18,1687,6939,2118,1345,4556,90,15044,63236,28335,21833,295553,4674,413631,9767,228,1778,505,85,12364,2052,366,282,2016,29,4740,8657,3926,2802,66818,644,82845,646,458,132,1411,24,2668,1013,269,94,454,16,1853,6050,305,166,473,21,7012,11824,5841,4121,89432,940,112158,4147,2203,801,11617,160,18935,1062,25,105,36,7,1233,214,104,71,493,7,892,93,34,13,65,0,202,1459,692,286,2725,38,5204,3618,937,696,663,46,5958,4236,2086,1529,1159,74,9093,1774,467,285,1861,43,4436,933,201,175,806,15,2123,752,172,101,99,15,1133,16053,7124,5161,78637,775,107742,397,92,44,155,12,691,3589,446,345,196,28,4606,1541,229,112,875,16,2774,635,76,45,106,3,863,1288,45,91,55,7,1480,2032,595,432,2830,47,5929,34758,5680,4723,19679,704,65550,2286,530,408,8375,63073,74672,160213,55840,42605,665504,73640,997806
RA32,4534,19874,18109,199071,2657,244244,187,1989,1079,43484,732,47460,5123,329,520,2586,57,8621,797,258,92,710,15,1866,4174,1312,915,2759,59,9217,39760,18094,14688,174196,2648,249375,7434,226,1461,449,82,9651,2007,276,253,1280,20,3835,7042,2377,1922,27996,308,39644,972,405,207,1720,28,3331,747,202,90,362,7,1418,5302,204,185,303,19,6022,8373,4030,3045,57113,538,73093,8762,3707,1625,20770,259,35121,1586,23,103,14,0,1727,143,40,31,223,0,436,76,20,5,49,0,146,934,479,303,2260,23,4001,2810,672,568,519,42,4621,3030,1301,979,785,56,6150,1459,311,247,1039,33,3082,636,134,120,493,19,1408,864,195,82,123,14,1286,10600,4545,3608,47994,443,67187,294,78,27,95,4,496,1900,202,245,122,18,2485,1769,246,147,1059,24,3239,507,67,43,92,3,711,1166,39,107,30,8,1348,1367,394,262,1732,31,3781,34455,5302,5788,23093,896,69535,1785,318,352,4706,62930,70087,127763,39349,32699,418743,69954,688508
RA33,313,1516,1496,21548,320,25191,14,230,85,10773,188,11292,249,22,32,322,12,633,48,17,8,24,0,89,330,98,71,197,0,703,2699,1359,1180,17134,293,22665,891,10,177,70,14,1154,139,10,24,122,4,298,480,178,154,2667,36,3511,33,13,7,98,0,161,50,12,7,27,0,99,257,15,15,10,0,295,622,294,248,5504,64,6739,539,245,95,1321,30,2227,30,0,0,0,0,35,10,3,0,21,0,34,0,0,0,0,0,9,36,34,9,131,0,213,532,72,54,53,5,718,292,97,83,62,0,534,95,23,13,101,0,228,33,6,10,34,0,83,157,14,7,3,7,179,684,348,267,4503,51,5862,25,5,6,12,0,50,203,23,26,7,0,251,208,14,11,96,0,325,31,8,5,14,0,63,68,0,4,0,0,66,80,33,16,139,3,279,2409,324,349,1830,61,4971,151,36,19,571,8284,9065,9193,2969,2570,47486,9138,71351
RA34,107,644,688,13040,207,14687,16,133,74,12859,235,13318,125,15,6,192,0,342,22,5,3,14,0,48,142,41,36,101,0,321,1070,610,625,10338,232,12883,177,4,54,48,5,288,50,3,10,56,0,127,207,78,78,1520,27,1906,9,8,5,42,0,62,15,12,3,10,0,41,127,4,5,24,4,168,247,128,123,3342,43,3880,95,53,42,440,5,634,22,0,0,0,0,22,5,0,0,4,0,14,0,0,0,0,0,10,20,13,5,41,0,77,149,21,42,22,5,240,119,52,52,28,0,254,26,4,7,51,0,98,19,0,3,21,0,44,28,13,8,46,3,90,317,176,132,2777,29,3438,7,6,0,4,0,14,73,11,6,3,0,92,36,4,0,32,0,75,9,0,3,3,0,13,123,0,0,0,0,125,31,5,5,73,0,111,1051,366,280,9214,231,11138,53,6,10,452,5615,6134,3543,1478,1355,39688,6415,52481
RA35,0,0,0,8,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,11,0,23,16,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,0,0,0,0,128,128,26,7,4,16,130,183
RA39,89,412,333,3294,64,4192,8,34,22,684,37,783,145,10,7,9,4,177,20,4,0,7,0,35,116,29,24,39,0,208,1159,341,261,2698,75,4536,58,5,17,12,8,95,93,7,4,29,0,132,180,29,29,387,5,632,19,9,0,9,0,40,15,5,0,13,0,26,66,9,3,4,0,74,276,67,63,862,16,1293,130,32,17,153,0,341,31,0,0,0,0,30,11,3,0,14,0,24,0,0,0,0,0,6,14,6,5,17,0,41,102,19,21,6,6,151,121,27,24,21,5,198,50,12,5,24,0,88,16,0,0,3,0,25,15,4,4,4,0,32,281,100,63,780,9,1229,7,3,0,0,0,20,32,4,6,5,0,53,70,3,5,18,0,98,8,0,0,4,0,11,25,0,3,0,0,24,38,10,5,32,3,80,752,81,73,274,30,1205,64,10,8,94,3434,3597,3155,745,560,6577,3637,14670
RA40,15407,48721,36876,297306,3647,401958,255,1437,753,18950,418,21813,51823,951,1913,1665,259,56605,4935,906,507,2218,56,8623,9699,3408,2190,6536,112,21938,119795,47883,37264,282004,4293,491239,14627,438,2000,521,92,17673,2912,572,453,2514,37,6484,15602,6686,4633,61251,586,88758,18839,3992,1827,12383,239,37292,2938,671,326,1281,39,5254,39887,727,528,489,84,41716,20507,7846,5443,67870,629,102293,41502,10589,4500,36021,581,93192,4100,86,284,129,9,4610,2935,828,440,1321,19,5552,960,170,106,443,13,1686,2803,919,540,2613,41,6911,1428,549,296,372,34,2685,2413,1257,919,561,25,5181,10148,1787,1135,4516,117,17699,4352,439,464,951,50,6257,324,122,28,21,0,500,25476,9819,7596,65415,647,108965,5077,582,351,845,30,6887,3998,550,461,208,12,5235,3357,352,300,857,20,4893,2771,202,189,126,13,3297,19962,721,771,536,111,22096,4802,1087,804,3393,43,10132,138180,11039,8679,16722,1225,175841,6430,493,433,4742,43956,56059,509833,95978,70186,613418,54781,1344200
RA41,1033,5960,4800,57442,823,70061,18,159,76,3000,72,3332,620,32,70,127,10,863,212,61,25,126,3,435,1684,468,317,938,33,3445,17065,6111,5148,51234,979,80534,1075,22,163,50,16,1319,309,69,49,402,8,836,2305,1065,807,17820,213,22211,407,133,38,363,17,957,214,57,21,114,7,419,337,48,33,66,5,491,2393,902,600,10140,130,14171,1528,611,249,2236,49,4675,44,0,14,9,0,77,60,34,6,90,3,198,30,9,3,18,0,61,176,78,43,214,6,518,200,56,58,42,6,364,305,170,122,97,4,694,572,121,97,479,14,1287,202,25,23,85,5,349,20,0,4,0,0,29,3273,1279,971,11550,181,17249,107,24,16,39,3,182,287,54,38,34,0,414,205,42,27,115,5,391,40,8,13,11,4,86,378,14,19,15,10,443,580,124,89,523,9,1326,3828,913,709,1924,96,7467,237,66,60,1143,8494,10000,32009,10746,8457,113534,10560,175307
RA42,1160,5003,3954,71909,1245,83270,33,283,107,8057,151,8636,830,15,67,242,3,1162,353,66,27,227,12,692,1504,467,332,982,23,3313,10489,4973,3972,60991,1244,81664,1309,33,268,68,23,1702,216,38,28,322,8,609,1692,816,589,15727,195,19019,1018,155,88,742,23,2030,175,60,10,101,3,351,1046,38,24,65,6,1182,1508,724,528,12017,164,14939,1613,551,185,2579,64,4998,52,10,25,13,0,93,31,17,3,80,0,135,26,6,6,16,0,52,138,42,23,160,3,370,385,100,73,69,9,629,317,179,100,95,3,705,446,117,62,463,9,1094,126,20,11,55,0,218,43,6,0,0,0,54,2772,1067,825,13208,185,18068,112,21,4,35,0,176,348,29,56,21,3,452,234,37,18,137,0,434,69,13,10,11,0,95,236,15,24,14,9,296,390,112,75,478,5,1058,5996,707,558,2121,125,9511,369,83,52,1794,13355,15656,28992,9255,7021,139829,16160,201259
RA43,148,1092,916,16106,219,18479,9,54,30,1399,38,1526,103,12,3,40,3,159,153,47,20,117,3,339,284,86,70,268,12,710,2175,1099,921,13719,287,18198,356,10,61,23,4,451,67,7,18,89,0,187,384,167,151,3331,55,4089,62,19,8,123,0,218,24,11,3,13,0,56,99,4,3,11,0,115,347,198,133,2786,33,3498,205,86,33,451,13,774,10,0,12,0,0,30,8,0,5,29,0,44,11,0,4,0,0,15,19,7,8,26,0,63,125,38,24,7,6,187,85,41,30,22,0,175,83,44,9,86,0,213,33,6,6,24,0,77,11,0,0,0,0,12,478,267,242,3066,30,4078,16,0,0,9,0,30,127,21,8,11,0,166,36,5,0,27,0,64,9,0,0,8,0,22,28,5,7,3,0,42,77,23,19,118,0,233,945,188,165,512,25,1847,54,16,16,375,3207,3664,5257,2077,1690,30811,3756,43592
RA44,44,226,233,3561,51,4118,4,29,11,3655,104,3804,29,0,3,7,3,38,58,8,0,14,0,80,50,18,19,44,0,135,420,222,228,2894,43,3810,78,0,17,5,0,99,9,0,0,16,0,32,108,49,29,755,9,950,109,15,3,67,4,199,22,7,0,8,0,40,72,5,0,3,0,82,74,33,24,750,14,903,49,15,11,83,0,167,5,0,0,0,0,5,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,8,0,10,30,5,0,9,0,53,20,3,11,0,0,32,30,7,0,34,0,71,7,0,0,9,0,13,0,0,0,0,0,0,102,62,43,628,8,842,37,7,0,9,0,50,9,5,3,0,0,21,8,0,0,9,0,16,31,0,0,0,0,31,7,0,0,0,0,12,6,12,6,17,0,44,331,67,34,187,11,628,15,3,0,157,1212,1391,1468,479,393,10003,1417,13768
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,5,5,8,0,0,0,5,12
RA49,26,90,68,732,20,937,6,18,10,205,12,244,45,3,4,7,7,59,6,0,0,0,0,12,18,13,5,12,0,49,258,110,94,634,23,1109,9,0,0,0,0,5,21,0,0,3,0,26,30,12,13,142,3,198,11,0,0,8,0,15,7,3,0,3,0,12,18,0,0,3,0,23,34,28,9,152,3,223,40,13,6,57,0,114,3,0,0,0,0,3,6,0,0,0,0,8,5,0,0,3,0,6,0,0,5,5,0,7,11,3,4,5,0,22,11,9,4,0,0,23,14,7,5,8,0,32,6,4,0,0,0,14,0,0,0,0,0,0,47,16,18,164,4,247,3,0,0,0,0,6,0,0,0,6,0,3,9,0,0,4,0,14,0,0,0,0,0,0,6,0,0,0,0,6,7,0,0,8,0,21,142,21,9,53,7,235,13,0,0,16,772,808,652,202,148,1548,831,3377
RA50,29097,94293,77460,377493,4424,582767,589,2809,1779,32587,692,38461,102029,2273,4290,2988,526,112103,9503,2712,1457,7731,146,21553,21178,5811,3928,10566,194,41677,300419,84608,67602,314366,5682,772679,34541,546,2724,601,138,38547,9730,1114,953,2517,72,14390,24056,5308,4394,24982,384,59126,6023,2048,1074,5272,75,14492,3102,552,367,857,30,4911,67366,2300,1640,1744,197,73256,70415,15444,11360,86138,1058,184414,46116,15110,7369,46036,642,115283,7540,117,410,118,16,8201,1914,440,251,531,11,3153,6429,1106,699,2291,60,10593,1982,705,383,1376,30,4477,18740,2556,1672,790,193,23942,13227,5115,3070,1490,115,23015,11956,1899,1565,4197,106,19734,4497,370,621,768,43,6295,2301,316,105,58,20,2800,70990,17669,13671,77828,963,181122,6454,572,362,655,40,8076,23810,2240,1946,594,101,28682,7756,643,568,1775,56,10803,5502,483,316,367,24,6688,20674,515,942,412,74,22617,11810,2053,1440,4236,66,19608,251239,19472,19373,21043,1982,313112,12294,1020,843,5336,92231,111731,977545,167217,132728,703481,106702,2087667
RA51,1913,10694,8866,66488,925,88882,35,409,205,5705,108,6466,1411,75,128,189,12,1813,289,136,92,467,17,995,2437,773,482,1402,36,5134,28533,10493,8562,56525,1119,105240,2307,28,225,59,14,2633,776,111,110,365,5,1368,2552,681,579,4126,67,7997,215,119,40,405,9,792,177,59,30,104,3,370,1154,106,62,152,5,1480,5328,1749,1321,13243,193,21845,3224,1349,618,6369,99,11659,246,4,45,7,0,303,80,25,14,16,0,134,64,28,16,118,5,232,143,55,35,126,4,361,1633,327,236,97,27,2322,1355,701,370,216,32,2674,924,232,193,577,18,1944,266,33,48,111,4,464,106,10,10,5,0,132,6218,2137,1712,12772,177,23018,145,26,17,38,0,226,1726,200,169,63,5,2169,396,58,43,272,3,775,103,18,16,16,3,159,297,17,35,13,9,367,1013,237,146,619,16,2035,8199,1421,1367,2165,136,13281,478,122,121,1067,17075,18867,57521,18782,14867,120870,19412,231450
RA52,1408,7330,6404,54680,876,70693,31,475,219,8743,227,9696,990,45,91,219,12,1355,253,114,50,438,7,871,1848,552,325,1148,23,3892,17375,6966,5866,45324,962,76480,2609,35,267,60,23,2991,453,69,60,225,0,798,1773,444,478,3708,66,6467,153,66,37,192,0,451,138,33,16,54,6,250,1180,68,57,107,10,1419,3081,1186,860,10678,141,15956,1585,744,343,3632,61,6366,84,4,9,3,0,99,29,6,6,25,0,63,176,37,19,126,0,358,86,47,15,71,4,216,1853,256,233,90,41,2472,1055,466,309,169,15,2015,588,128,91,440,5,1254,149,16,26,52,3,245,166,20,3,11,5,207,4172,1429,1194,10177,151,17125,96,6,5,30,0,140,1229,117,90,63,6,1497,282,29,20,161,3,499,84,12,17,11,0,123,324,9,19,6,4,364,615,168,122,488,3,1406,7519,1019,1068,2178,144,11923,486,114,79,1023,16243,17947,41003,12871,10503,101430,18432,184237
RA53,620,3011,2986,23969,296,30882,29,420,207,8544,211,9406,632,40,54,203,12,938,97,47,25,183,7,359,556,211,154,399,18,1340,6284,2668,2396,18337,341,30037,1532,23,150,61,12,1773,255,18,26,121,0,420,756,226,237,1799,26,3043,70,25,24,112,0,227,51,19,14,19,0,101,719,42,21,49,0,824,1464,461,405,4525,54,6912,519,295,132,1485,16,2447,52,0,9,0,0,66,20,0,3,12,0,34,45,12,7,19,0,82,26,31,14,46,0,115,986,142,117,74,19,1336,623,239,160,84,6,1109,160,47,46,148,8,406,63,5,12,39,0,119,86,7,8,10,0,107,1722,609,533,4353,52,7269,39,10,4,11,0,61,470,56,82,22,0,634,206,16,16,60,0,295,69,6,10,9,0,91,113,0,15,0,3,134,192,47,49,180,0,463,3770,586,632,1754,73,6809,273,60,39,486,11609,12455,17518,5415,4889,47074,12534,87426
RA54,352,1377,1431,10836,239,14241,24,272,110,15931,343,16681,438,20,33,75,7,571,135,40,26,97,3,303,309,91,66,220,3,699,3759,1213,1191,7961,265,14389,682,9,70,19,3,785,195,14,11,47,3,272,465,88,100,785,21,1456,37,23,12,59,3,135,39,9,0,15,0,61,300,20,8,29,3,353,916,248,196,2281,45,3686,395,132,84,693,19,1313,46,0,4,0,0,52,26,0,0,5,0,36,28,14,5,10,0,53,25,10,5,24,0,68,733,60,45,47,14,895,326,82,79,33,8,534,96,17,18,75,0,203,42,9,8,22,0,75,79,9,3,3,0,93,1013,290,257,1923,31,3512,45,5,3,10,0,68,218,34,20,3,0,272,145,10,4,39,4,192,31,0,3,3,0,42,172,3,12,5,0,200,137,25,18,87,0,267,2601,290,299,747,71,4010,161,17,33,306,11125,11650,10969,2554,2367,32782,11994,60672
RA55,9,8,4,59,3,76,0,0,0,7,0,7,4,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,8,49,11,4,50,0,116,16,0,0,0,0,13,4,0,0,0,0,4,8,0,0,10,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,19,0,36,7,0,0,8,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,17,7,0,0,0,0,4,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,24,3,0,11,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,3,4,0,44,12,0,0,0,218,228,169,17,10,115,221,514
RA59,38,167,166,1347,24,1746,6,8,6,354,25,402,51,0,0,8,0,67,13,3,0,8,0,28,52,12,9,13,0,89,602,174,149,916,17,1856,34,0,9,0,0,34,44,0,0,5,0,52,104,17,7,95,4,227,7,7,0,4,0,18,7,0,0,3,0,14,23,0,0,0,0,29,146,32,16,278,6,481,79,19,10,60,3,175,8,0,0,0,0,8,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,11,44,8,5,0,0,56,50,8,9,6,4,73,20,3,0,11,0,37,12,0,0,0,0,8,4,0,0,0,0,4,141,29,34,255,0,463,0,0,0,0,0,5,34,3,9,0,0,52,25,0,0,0,0,32,9,0,0,0,0,9,14,0,0,0,0,14,17,0,5,7,0,31,314,29,24,68,16,450,19,6,0,32,3432,3489,1481,314,268,2478,3512,8055
RA61,1616,11486,7961,111099,1328,133494,45,416,207,12615,165,13448,9856,182,334,548,40,10956,450,155,60,318,11,992,2924,1145,762,2817,26,7668,19097,11056,7682,108802,1552,148185,1691,66,451,80,14,2287,634,155,93,574,15,1477,2858,1126,718,7651,86,12439,978,282,99,790,15,2163,305,166,43,213,5,733,4586,144,123,167,14,5027,3514,2157,1355,28312,289,35629,2009,906,285,3020,45,6268,703,24,76,41,0,846,152,60,29,108,0,349,51,14,11,27,0,96,143,91,41,213,0,491,283,171,97,156,0,712,652,389,253,262,0,1560,1337,450,200,1138,12,3135,442,63,52,173,5,734,69,35,18,14,0,138,4581,2711,1826,23214,184,32516,224,42,22,69,0,362,702,132,107,66,0,1006,566,78,49,226,7,923,519,28,13,31,3,596,1230,29,38,26,3,1331,811,227,157,827,13,2024,23705,2532,1932,4527,233,32923,920,114,78,2298,13604,17022,73424,20806,14206,220197,16856,345491
