RA_CODE_2021,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
RA41,659,768,722,689,272,29,3625,27,256,434,534,662,645,151,20,2732,712,2379,2981,2831,2570,2583,981,208,15243,249,1198,1852,2656,3099,2718,1072,180,13020,2475,5174,5465,5804,6010,4299,1802,404,31434,457,477,433,355,323,247,65,22,2379,144,246,375,579,642,648,310,90,3026,3081,5892,6276,6738,6972,5195,2183,515,36846,35,78,96,134,133,153,173,46,846,1250,1080,1175,1616,1869,2054,1632,858,11534,5380,11338,13472,15272,16030,14036,6463,1857,83845
RA42,496,362,378,245,71,13,2239,46,293,373,394,470,357,85,13,2028,616,3005,2838,2196,1740,1461,553,112,12522,260,1222,1702,2306,2512,2073,687,144,10913,3066,6570,6012,6265,6345,4252,1646,390,34557,492,702,562,439,377,237,61,3,2874,174,273,380,569,566,473,203,39,2686,3735,7548,6949,7276,7295,4963,1912,431,40113,53,99,127,114,153,159,103,37,849,1820,1822,1874,2165,2664,2786,2361,1039,16532,6585,14601,14359,14817,15211,12042,5775,1798,85192
RA43,129,94,88,73,35,3,588,5,75,79,86,108,96,29,0,472,136,827,768,528,422,343,128,29,3180,55,317,441,538,587,438,174,31,2592,618,1526,1433,1397,1382,853,310,79,7589,89,137,137,92,83,51,7,0,596,39,71,113,126,133,110,38,10,643,744,1733,1682,1619,1594,1012,352,83,8822,9,26,37,31,38,45,11,15,211,402,471,491,566,622,588,424,211,3772,1363,3607,3627,3453,3464,2590,1158,374,19637
RA44,47,26,16,7,0,0,152,0,23,27,20,22,18,4,0,116,42,256,153,139,130,69,30,0,824,14,97,126,132,154,102,23,0,650,154,362,316,356,331,220,51,13,1811,23,50,40,18,24,16,5,0,174,18,41,27,40,32,26,9,0,187,195,450,377,415,385,262,62,13,2161,3,5,5,3,8,14,8,0,40,253,300,215,280,272,247,144,63,1781,513,1185,950,1010,985,717,266,82,5720
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,3,6,0,0,0,0,9
RA49,17,13,4,3,0,0,76,0,4,6,3,9,9,0,0,29,12,78,44,30,42,21,3,0,234,5,23,28,26,42,22,4,0,154,50,101,79,84,85,69,9,0,472,19,22,6,0,5,5,0,0,60,0,6,10,8,8,8,0,0,45,69,127,95,94,103,83,9,0,577,3,0,4,8,4,0,0,0,12,77,172,183,149,143,75,13,8,820,173,443,376,325,345,212,26,9,1909
RA50,30331,19867,13018,7832,2796,559,100784,817,8238,10486,9637,7511,4448,1369,226,42737,21142,80667,79778,55270,35629,23984,9348,2338,308147,9853,28734,35054,33178,28075,19638,8614,2316,165457,30850,60698,55603,50177,44133,28277,12486,3360,285587,10386,4689,3384,2718,2256,1519,572,113,25646,2181,3185,4643,6137,5936,4740,2429,788,30028,43418,68576,63629,59025,52329,34536,15489,4264,341260,939,1985,2504,2294,2102,2275,1566,548,14213,13145,21151,19472,16733,14654,13300,11886,8288,118633,91018,234021,241256,196004,153310,106013,51067,18542,1091231
RA51,870,786,718,593,225,29,3778,42,404,722,799,706,479,125,18,3294,590,3396,4641,4188,3173,2458,973,212,19633,450,1882,2870,3354,3434,2623,1050,226,15884,4011,7688,8352,8216,7453,4819,1722,348,42614,1465,674,491,427,395,263,77,20,3806,223,304,530,738,780,670,266,58,3571,5693,8662,9376,9383,8626,5758,2060,425,49988,55,137,194,200,235,285,171,47,1325,2037,2352,2526,2862,2758,2573,1894,920,17916,8903,17351,21198,21573,19657,14761,6496,1884,111819
RA52,701,588,513,372,128,19,2927,35,352,476,537,501,344,81,16,2352,618,2877,3263,2849,2272,1642,597,136,14243,358,1430,1977,2252,2500,1923,740,157,11338,2883,6028,5592,5637,5373,3383,1243,289,30442,1221,615,420,382,321,185,59,6,3202,160,233,349,525,576,483,191,50,2575,4263,6874,6360,6544,6272,4057,1500,348,36217,43,108,119,169,147,196,122,45,951,2076,2292,2482,2719,2842,2708,1923,940,17980,7449,14491,15385,15652,15044,11237,5081,1661,85998
RA53,423,276,170,84,19,0,1411,19,277,343,246,174,76,14,4,1158,301,2171,2040,1305,761,351,136,28,7096,149,887,1300,1115,908,425,154,34,4969,1190,3545,3510,2695,1984,906,245,43,14119,452,298,250,154,101,39,14,0,1312,63,132,193,226,208,112,40,6,996,1711,3983,3950,3076,2295,1063,299,52,16430,27,52,69,74,77,45,26,10,385,1476,2213,2125,1937,1654,1020,544,184,11150,3707,10000,10255,8024,6044,3061,1193,312,42594
