UCL_CODE_2021,P_OthServ_0,P_OthServ_1_19,P_OthServ_20_29,P_OthServ_30_34,P_OthServ_35_39,P_OthServ_40_44,P_OthServ_45_49,P_OthServ_50_over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_29,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
UCL113012,15,32,29,16,38,40,10,9,5,204,6,43,20,13,31,26,6,19,49,222,465,1134,782,454,1045,964,295,544,101,5784
UCL113013,22,36,30,21,69,52,20,25,3,270,9,27,19,16,68,40,16,25,76,301,383,803,693,445,1350,1046,345,546,144,5755
UCL113014,12,30,47,20,61,73,19,45,4,310,13,26,14,14,44,51,18,36,58,275,371,904,739,403,1191,1211,545,1277,117,6766
UCL113015,14,23,24,12,48,38,9,12,0,173,16,15,8,11,27,22,6,10,32,153,280,609,537,349,868,679,165,349,86,3918
UCL113016,3,45,32,25,68,59,17,21,0,272,11,27,23,17,39,42,5,9,57,230,287,959,864,657,1301,1047,274,557,139,6080
UCL113017,10,42,30,17,26,40,13,14,3,206,20,36,4,14,16,25,4,12,59,190,330,1153,811,484,945,880,220,489,121,5439
UCL113018,3,8,8,0,3,6,10,3,0,36,9,0,0,5,7,3,0,5,11,42,59,144,92,84,180,192,43,124,17,940
UCL114001,5,5,13,9,22,18,5,8,0,89,0,11,9,4,13,9,0,7,16,70,135,363,301,224,422,326,80,211,30,2083
UCL114002,5,12,16,11,18,17,0,8,0,91,12,12,10,4,16,12,4,3,15,83,120,413,332,211,409,328,107,215,46,2175
UCL114003,8,4,9,14,52,26,7,16,3,138,12,14,13,10,54,36,3,15,26,183,187,418,436,426,868,550,145,327,88,3448
UCL114004,7,10,6,6,20,28,3,17,0,99,5,12,5,3,18,18,5,21,26,103,117,375,309,245,663,545,156,409,56,2875
UCL114005,0,8,13,5,5,26,3,4,4,71,0,8,11,8,13,12,5,6,34,90,90,267,241,159,398,377,121,226,62,1931
UCL114006,3,9,15,9,12,25,7,15,0,96,8,8,6,0,20,25,9,6,16,103,135,331,276,190,427,552,113,242,33,2301
UCL114007,5,16,16,9,33,25,6,20,0,136,3,14,16,12,22,27,6,16,22,144,124,464,389,281,703,594,174,392,55,3178
UCL114008,4,15,17,4,23,22,12,11,0,114,7,10,11,6,25,20,10,3,30,121,117,390,315,215,605,492,187,331,64,2716
UCL114009,7,12,11,17,25,25,4,13,0,113,3,8,7,6,15,31,0,13,18,108,184,587,362,248,854,767,219,398,50,3672
UCL114010,3,10,15,9,25,44,10,19,4,141,3,15,4,5,28,18,9,13,26,125,103,367,304,245,621,575,194,421,63,2900
UCL114011,4,12,19,4,26,22,6,14,0,104,5,10,11,6,17,11,0,8,22,95,92,294,240,150,358,292,64,205,39,1738
UCL114012,8,3,11,5,27,27,3,12,0,93,6,4,3,3,17,25,8,7,15,99,222,240,271,215,930,954,290,462,41,3621
UCL114013,9,26,10,7,46,41,12,28,0,186,8,7,12,4,21,13,9,19,30,119,162,416,347,259,668,568,287,768,64,3543
UCL114014,51,33,9,4,28,32,5,10,4,182,17,11,12,6,16,23,5,12,15,109,373,492,379,253,622,710,172,334,27,3362
UCL114015,4,18,24,14,51,30,13,14,0,173,6,21,15,11,29,27,4,9,27,158,139,506,378,339,945,643,221,355,79,3614
UCL114016,0,20,14,10,10,32,12,29,0,133,8,14,13,10,26,26,13,13,29,153,112,396,341,215,693,778,251,424,54,3274
UCL114017,7,26,28,7,22,17,0,9,0,121,4,18,21,7,23,27,4,14,20,136,219,730,579,392,624,734,181,412,47,3913
UCL114018,3,23,9,16,20,18,3,9,0,112,4,17,13,0,19,15,7,8,16,115,166,613,484,319,643,605,159,344,52,3383
UCL114019,4,18,12,6,33,32,7,19,0,131,13,15,13,4,24,13,7,26,29,150,115,263,281,196,567,588,206,527,72,2807
UCL114020,10,30,22,14,25,36,9,19,0,170,3,13,10,3,24,32,7,12,24,136,239,648,472,327,826,760,226,494,66,4066
UCL114021,11,27,24,7,31,23,16,30,4,181,5,33,23,6,29,21,3,11,30,161,174,712,589,407,764,599,177,417,77,3911
UCL114022,0,14,12,5,19,13,10,4,0,80,8,17,8,5,12,3,0,4,32,96,101,403,287,212,399,260,68,141,60,1929
UCL114023,0,8,13,3,27,28,5,22,4,114,5,13,9,7,26,27,6,19,21,122,100,264,237,173,569,454,186,439,65,2482
UCL114024,9,21,21,8,45,40,13,26,0,183,5,26,9,12,29,22,3,17,27,159,165,521,438,341,932,768,315,688,56,4233
UCL114025,5,23,13,11,19,12,3,9,0,102,5,22,16,8,15,14,0,12,24,115,158,543,446,315,515,529,131,323,48,3010
UCL114026,23,20,8,7,18,23,0,10,0,107,8,16,7,7,17,15,3,11,21,105,278,343,238,145,529,513,134,267,49,2493
UCL114027,5,17,14,5,10,24,0,8,0,86,3,14,4,5,14,9,6,6,8,70,160,441,269,157,369,345,97,175,23,2043
UCL114028,0,13,16,7,20,15,8,15,0,91,5,9,4,0,13,12,8,5,20,76,96,318,235,146,567,436,188,380,32,2400
UCL114029,29,19,8,6,24,33,12,17,0,141,18,16,6,0,18,29,12,19,18,135,321,370,257,165,533,603,164,355,48,2823
UCL114030,0,18,11,4,8,11,4,4,0,62,3,8,6,0,10,11,4,0,15,66,122,354,236,153,348,305,78,166,33,1797
UCL114031,25,11,14,7,19,19,7,12,0,118,7,11,12,3,20,14,5,10,21,100,279,368,375,213,564,488,132,262,31,2712
UCL114032,15,13,5,0,14,19,10,11,5,86,7,8,8,9,19,23,7,11,12,106,236,275,260,146,488,433,124,265,33,2271
UCL114033,5,7,10,5,22,17,8,16,0,86,3,20,7,7,21,15,7,17,23,119,117,418,322,229,611,467,165,414,52,2801
UCL114034,11,19,19,10,42,44,10,14,0,179,0,18,8,10,30,15,8,11,24,115,138,458,375,321,731,544,142,302,48,3068
UCL114035,6,27,15,8,27,15,0,8,0,105,4,14,8,4,15,14,0,12,28,99,97,353,355,225,529,396,111,232,58,2368
UCL114036,6,8,18,3,14,18,13,11,4,81,8,10,3,3,11,7,5,11,23,90,129,402,318,225,397,365,98,233,46,2217
UCL114037,4,13,15,12,23,28,8,5,0,105,0,6,3,5,15,18,0,6,17,83,116,369,310,193,592,584,169,328,48,2706
UCL114038,7,19,20,4,43,22,7,12,0,136,8,20,4,6,32,27,10,10,36,143,135,445,348,240,662,576,193,340,70,3018
UCL115001,0,3,0,0,12,12,3,5,0,44,0,5,0,0,0,4,4,3,9,27,49,102,90,64,178,151,56,142,19,843
UCL115002,7,24,11,9,12,9,0,10,0,79,6,3,7,6,16,11,3,6,12,69,173,361,252,157,355,374,112,190,24,1995
UCL115003,14,5,4,0,5,19,0,6,0,52,4,3,3,0,15,11,3,3,12,62,170,176,123,88,277,285,74,192,18,1405
UCL115004,0,6,4,0,10,0,0,0,0,16,0,5,0,0,4,0,0,3,6,31,29,146,100,77,160,131,27,65,20,753
UCL115005,0,0,0,0,4,10,3,0,0,16,0,3,0,0,0,0,0,9,0,15,14,52,44,40,80,80,38,69,8,437
UCL115006,0,3,10,9,4,10,0,0,0,33,4,19,14,6,4,13,4,0,6,63,49,221,166,112,137,194,42,111,18,1055
