UCL_CODE_2021,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
UCL115086,19,234,315,133,102,803,18,825
UCL115087,6,117,182,82,44,433,9,434
UCL115088,12,202,270,84,27,587,4,595
UCL115089,101,567,536,206,97,1511,31,1547
UCL115090,48,280,153,46,30,566,13,575
UCL115091,15,246,198,58,42,558,15,572
UCL115092,21,269,277,80,42,687,12,697
UCL115093,8,115,176,77,59,435,0,434
UCL115094,82,554,352,94,43,1126,14,1147
UCL115095,31,169,147,48,17,417,7,426
UCL115096,35,619,678,175,101,1619,18,1636
UCL115097,31,440,429,127,63,1091,11,1101
UCL115098,36,202,155,40,20,457,9,470
UCL115099,99,517,385,105,54,1155,37,1188
UCL115100,70,492,376,76,40,1063,39,1103
UCL115101,28,333,418,128,40,946,16,963
UCL115102,56,355,264,86,39,802,24,823
UCL115103,23,163,133,45,17,382,12,393
UCL115104,30,200,226,77,38,565,11,570
UCL115105,44,227,238,73,33,616,14,628
UCL115106,88,425,368,131,72,1090,24,1119
UCL115107,66,529,507,155,73,1324,27,1354
UCL115108,0,99,306,146,107,660,5,660
UCL115109,113,712,507,129,52,1507,31,1539
UCL115110,124,593,494,153,86,1443,35,1478
UCL115111,81,502,442,141,83,1253,23,1275
UCL115112,5,216,394,115,51,774,10,789
UCL115113,51,254,239,90,41,679,27,711
UCL115114,56,395,362,107,59,975,19,994
UCL115115,56,648,726,280,104,1815,37,1855
UCL115116,77,823,711,168,71,1848,45,1890
UCL115117,32,403,216,44,26,726,13,739
UCL115118,20,270,246,78,30,646,10,654
UCL115119,68,418,522,219,164,1388,13,1406
UCL115120,10,151,445,205,202,1019,9,1024
UCL115121,54,274,245,117,56,743,12,754
UCL115122,77,398,352,98,54,988,21,1007
UCL115123,8,144,239,84,51,524,7,531
UCL115124,22,483,724,236,113,1577,24,1599
UCL115125,72,667,499,123,66,1432,31,1462
UCL115126,14,156,153,63,32,416,3,422
UCL115127,9,204,220,62,24,515,4,516
UCL115128,9,260,392,93,40,794,5,799
UCL115129,9,135,268,83,61,569,3,567
UCL115130,100,748,542,143,68,1604,71,1674
UCL115131,57,579,657,204,135,1635,22,1658
UCL115132,21,280,299,68,29,698,17,712
UCL115133,51,661,531,109,37,1392,12,1405
UCL115134,132,673,552,198,106,1664,29,1694
UCL115135,108,552,388,119,52,1232,41,1275
UCL115136,7,143,303,128,115,701,4,699
UCL115137,63,470,564,224,171,1499,14,1511
UCL115138,5,227,353,89,40,716,9,726
UCL115139,33,343,384,126,59,949,48,997
UCL115140,19,202,196,53,27,501,10,513
UCL115141,25,224,232,76,37,595,13,605
UCL115142,28,462,435,99,43,1066,16,1083
UCL115143,64,385,358,106,60,974,12,988
UCL115144,69,507,414,105,62,1162,25,1184
UCL115145,11,300,249,45,23,624,12,635
UCL115146,43,431,455,141,78,1151,8,1157
UCL115147,11,130,238,39,13,430,0,432
UCL115148,36,235,224,57,34,579,13,598
UCL115149,24,121,95,31,19,288,6,293
UCL115150,23,124,139,53,63,392,0,395
UCL115151,22,249,299,132,73,768,8,777
UCL115152,29,214,141,53,15,453,23,479
UCL115153,53,234,183,53,16,539,12,554
UCL115154,37,207,212,78,27,553,12,570
UCL115155,168,749,509,149,81,1652,49,1700
UCL115156,34,201,180,51,24,483,31,518
UCL115157,50,246,164,59,29,552,17,575
UCL115158,59,417,406,131,64,1073,28,1098
UCL115159,0,107,246,133,102,592,6,603
UCL115160,9,119,448,169,120,859,9,861
UCL115161,118,730,649,188,101,1789,48,1832
UCL115162,13,363,507,143,80,1112,6,1118
