UCL_CODE_2021,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
UCL112012,8,9,104,117,28,316,32,237,4,862,49,95,166,217,111,167,40,221,18,1079,200,532,388,410,276,212,127,333,38,2513,277,647,329,345,267,173,126,237,36,2449,264,569,275,397,352,175,132,272,43,2476,239,451,238,330,339,148,164,295,21,2226,56,151,68,80,88,42,37,67,9,591,8,16,13,4,6,3,0,6,10,71,0,0,0,0,0,0,0,0,4,10,1092,2477,1586,1898,1467,1240,656,1683,180,12278
UCL112013,0,0,12,5,0,31,0,11,0,58,8,8,21,23,12,9,4,12,0,88,28,56,40,41,29,19,13,20,4,246,37,42,30,31,34,14,18,25,0,230,40,42,34,32,39,14,14,13,0,231,41,39,25,16,29,12,14,22,3,205,12,8,7,4,8,0,4,13,5,53,3,0,5,0,0,0,0,5,0,12,0,0,0,0,0,0,0,0,0,0,171,192,164,148,150,91,66,125,22,1128
UCL112014,13,10,85,72,24,150,22,144,14,537,32,109,187,159,54,114,55,120,11,835,170,391,386,290,232,127,127,195,50,1968,221,386,313,207,210,101,155,159,28,1784,236,392,259,232,255,112,179,145,36,1848,192,304,211,195,252,101,135,147,25,1562,68,113,41,31,69,25,36,36,10,431,12,15,5,0,8,4,3,3,4,54,0,0,0,0,0,0,0,0,0,0,951,1729,1484,1190,1108,728,706,943,175,9017
UCL112015,20,11,96,122,26,342,26,224,20,885,67,90,281,307,101,192,52,165,17,1286,257,631,649,569,321,306,170,300,43,3251,345,528,432,448,275,183,128,282,41,2663,297,406,299,457,311,170,186,294,47,2472,199,331,239,345,256,143,170,243,32,1953,36,76,53,70,59,41,49,59,6,452,13,12,5,7,7,4,8,3,11,63,0,0,0,0,0,0,0,0,3,6,1234,2082,2065,2319,1358,1376,788,1569,220,13026
UCL112016,23,23,180,234,49,400,39,255,17,1216,75,211,349,336,146,189,97,182,26,1617,400,1248,828,609,448,299,311,338,65,4549,501,1107,556,517,505,225,254,326,67,4060,506,849,418,419,563,204,271,332,58,3620,338,557,315,308,448,167,215,326,43,2710,88,189,68,61,142,64,92,95,11,812,28,24,8,5,18,8,11,9,0,102,0,0,0,0,0,0,0,0,0,8,1959,4209,2718,2495,2316,1546,1290,1867,290,18698
UCL112017,24,13,154,371,49,500,36,329,25,1506,77,187,291,460,157,261,57,161,42,1698,258,1012,570,561,319,272,107,253,54,3409,541,1216,551,513,470,259,119,258,67,3995,676,1170,518,604,678,295,168,345,66,4524,485,824,394,502,621,293,219,364,45,3747,143,268,101,115,172,94,61,84,15,1071,33,25,11,8,13,12,10,8,18,140,0,0,0,0,0,0,0,0,8,16,2239,4721,2595,3141,2485,1995,787,1804,335,20108
UCL112018,22,20,160,175,50,369,39,249,23,1110,77,175,274,243,113,177,61,268,16,1397,261,789,566,536,302,284,216,763,55,3772,343,592,406,396,301,197,195,543,39,3009,326,534,309,387,387,210,197,378,31,2762,283,458,241,288,406,176,223,347,35,2455,79,160,84,73,121,52,69,83,7,711,17,15,13,7,20,4,14,3,6,103,0,0,0,0,0,0,0,0,5,13,1409,2735,2059,2104,1692,1465,1013,2636,226,15329
UCL112019,29,35,302,323,83,607,39,288,31,1738,107,252,508,577,197,387,100,278,43,2449,473,1375,964,781,502,405,238,513,96,5357,622,1219,646,543,538,301,239,539,84,4715,656,1036,502,501,678,272,257,400,76,4385,470,775,409,451,622,251,307,378,61,3721,164,230,118,97,159,82,106,117,9,1076,30,22,17,8,18,13,4,23,9,133,3,0,0,0,0,0,3,0,0,14,2561,4936,3456,3278,2797,2315,1291,2546,404,23590
UCL113001,9,5,72,78,11,145,13,108,4,451,25,45,91,121,46,92,20,88,5,531,106,277,238,208,98,105,49,125,19,1227,182,351,234,230,146,114,50,130,25,1451,202,349,182,238,198,121,62,168,18,1539,178,310,176,214,208,117,90,174,17,1484,68,118,57,62,73,51,42,54,6,530,12,14,3,8,4,9,0,8,0,63,0,4,0,0,0,0,0,0,6,9,790,1479,1041,1150,795,742,328,858,100,7279
UCL113002,9,0,39,38,9,107,0,64,3,281,11,23,59,54,23,58,9,47,6,295,65,111,159,112,84,76,41,84,20,748,111,101,109,129,101,69,42,111,11,782,126,106,161,134,126,86,55,113,17,924,121,137,101,151,136,101,56,113,12,930,40,53,33,32,52,45,31,36,8,324,6,11,0,0,0,0,0,4,4,33,0,0,0,0,0,0,0,0,0,0,496,544,663,657,532,537,232,576,85,4320
