UCL_CODE_2021,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
UCL121079,9,0,13,82,27,7,118,305,14,437
UCL121080,18,0,18,193,57,8,260,505,21,782
UCL121081,4,0,4,118,43,4,161,267,20,449
UCL121082,21,5,22,148,85,14,242,588,117,955
UCL121083,9,0,12,124,39,0,169,594,23,786
UCL121084,10,0,10,170,28,4,204,434,25,658
UCL121085,6,0,6,210,61,12,274,507,23,804
UCL121086,39,3,38,90,44,4,130,542,40,715
UCL121087,12,0,14,102,34,3,143,359,26,528
UCL121088,3,0,4,116,36,3,151,283,41,477
UCL121089,13,0,20,132,69,9,214,486,12,712
UCL121090,8,0,8,132,57,10,200,480,18,701
UCL121091,15,0,18,98,61,9,159,392,50,597
UCL121092,11,0,11,231,19,4,259,573,59,891
UCL121093,5,0,13,223,58,11,293,533,38,864
UCL121094,19,7,24,81,27,7,119,419,91,627
UCL121095,9,0,9,124,44,5,177,339,22,530
UCL121096,14,0,14,100,29,5,129,529,30,691
UCL121097,8,0,8,116,32,5,151,383,17,552
UCL121098,23,0,23,116,67,5,186,525,15,727
UCL121099,25,3,27,82,19,0,100,410,26,530
UCL121100,16,4,16,189,71,9,269,582,24,874
UCL121101,16,0,17,154,78,6,236,611,64,912
UCL121102,21,0,21,145,57,6,216,564,51,827
UCL121103,26,7,35,157,54,7,216,525,68,803
UCL121104,22,4,26,115,32,0,148,415,46,609
UCL121105,16,0,16,74,33,3,109,418,46,573
UCL121106,5,0,5,97,38,0,133,710,47,888
UCL121107,38,4,49,154,60,5,214,497,41,750
UCL121108,11,3,19,133,53,9,193,413,57,662
UCL121109,4,4,7,88,34,4,127,262,25,409
UCL121110,29,4,30,160,38,5,205,542,42,792
UCL121111,20,19,41,86,39,9,131,389,95,619
UCL121112,11,0,11,148,55,3,203,341,38,590
UCL121113,13,0,13,53,19,7,82,310,37,430
UCL121114,3,0,3,133,52,3,188,441,71,697
UCL121115,7,0,13,62,31,0,96,456,39,587
UCL121116,13,0,13,202,42,4,250,474,20,746
UCL121117,7,0,10,94,30,8,133,370,36,541
UCL121118,7,0,7,110,14,4,126,275,10,411
UCL121119,17,0,14,124,55,8,184,509,32,727
UCL121120,6,3,7,30,13,0,41,244,115,408
UCL121121,0,0,0,81,30,8,121,277,23,425
UCL121122,3,0,7,125,43,6,174,266,37,481
UCL121123,8,3,9,108,32,0,138,331,84,550
UCL121124,10,0,11,45,17,3,66,370,21,461
UCL121125,18,6,29,93,39,10,138,597,66,807
UCL121126,10,0,10,100,30,0,137,305,19,460
UCL121127,3,0,3,117,27,5,147,368,29,555
UCL121128,14,0,14,184,51,0,237,515,33,781
UCL122001,3,0,3,39,10,5,59,134,6,200
UCL122002,4,3,7,24,12,0,29,148,44,224
UCL122003,5,0,5,69,21,3,89,237,9,330
UCL122004,8,0,8,25,26,0,48,121,0,169
UCL122005,10,5,6,30,18,6,50,220,21,292
UCL122006,13,0,14,31,15,4,49,153,20,232
UCL122007,26,0,24,37,15,4,58,317,27,396
UCL122008,0,0,0,56,11,0,64,118,36,221
UCL122009,0,0,0,49,19,4,67,160,16,247
UCL122010,3,0,3,67,25,0,98,168,11,284
UCL122011,0,0,0,59,20,0,83,205,26,313
UCL122012,14,0,14,26,22,0,52,160,26,234
UCL122013,0,0,0,22,8,0,27,132,19,176
