UCL_CODE_2021,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_resp,Samoan_BP_B_OS,Samoan_FO_B_OS,Samoan_MO_B_OS,Samoan_BP_B_Aus,Samoan_BP_NS,Samoan_Tot_resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_resp
UCL112002,159,1060,760,13089,109,15175,3,81,47,2376,32,2547,216,13,33,89,5,355,39,11,5,37,0,102,168,69,44,216,3,505,1249,988,758,11640,126,14757,241,7,51,18,0,321,41,13,13,88,0,157,182,98,50,861,7,1199,30,16,14,73,4,135,38,14,8,19,0,79,301,22,3,6,0,335,314,249,162,4377,25,5131,127,106,34,424,0,692,32,0,3,0,0,38,70,38,5,60,0,169,7,4,0,0,0,11,36,19,15,103,0,173,84,27,13,27,4,154,88,52,23,41,0,213,67,24,8,76,3,180,28,8,10,31,0,73,20,20,0,4,0,43,362,238,197,2966,14,3781,39,4,0,14,0,52,54,18,10,10,0,90,44,3,4,41,0,93,62,6,6,0,0,71,70,0,9,0,0,78,65,29,14,108,0,221,1331,206,166,429,13,2148,60,17,12,252,2277,2611,4598,1960,1395,25724,2556,36230
UCL112003,229,1587,1078,7339,85,10308,3,41,32,798,8,891,395,27,45,69,0,543,97,19,17,36,7,172,289,101,77,162,6,638,2727,1530,1018,7726,109,13106,197,0,39,14,0,252,164,31,31,98,0,333,533,155,142,750,12,1603,117,29,34,103,5,282,152,31,15,40,3,245,174,32,21,11,0,243,763,432,285,3515,22,5019,342,129,89,397,4,959,54,0,4,0,0,58,60,24,16,19,0,126,18,0,3,0,0,26,98,57,22,93,0,273,49,23,18,29,0,120,112,60,46,42,3,258,259,48,38,82,0,425,116,24,11,33,0,191,43,9,3,3,0,60,784,450,284,2632,12,4164,41,9,9,10,0,64,65,16,27,13,0,117,121,17,6,23,0,166,31,4,6,8,0,45,105,3,10,0,0,117,125,56,15,150,6,348,1612,448,312,617,23,3012,58,15,10,83,1114,1280,7606,3012,2084,15992,1344,30049
UCL112004,158,1061,729,6291,119,8356,4,15,11,371,4,404,204,10,21,31,3,271,70,15,15,32,0,132,193,69,34,99,3,408,2225,1097,746,6317,117,10505,104,17,15,5,3,138,111,25,8,78,0,225,289,88,67,515,4,954,119,14,11,96,6,246,64,22,4,25,6,118,296,10,11,0,0,310,482,264,146,2571,38,3498,271,126,32,345,6,780,41,3,3,0,0,55,47,12,4,48,0,114,33,12,0,18,0,60,54,21,13,53,0,143,19,3,9,9,0,33,88,30,32,33,0,182,129,30,20,48,3,229,46,13,9,17,3,86,14,0,0,0,0,22,593,296,183,2128,29,3231,32,0,0,8,0,40,78,14,13,3,0,107,66,9,9,14,0,97,13,0,4,0,0,24,31,5,6,3,0,38,80,20,11,80,3,203,1440,225,184,349,15,2212,63,11,3,91,975,1147,5999,2009,1326,13167,1262,23762
UCL112005,76,611,410,8624,124,9842,0,48,20,2051,24,2146,94,8,8,31,0,134,13,4,3,20,0,49,63,29,18,82,0,197,678,558,361,7512,117,9230,109,0,42,16,0,175,30,8,4,56,5,101,108,59,29,639,6,847,6,12,4,37,0,61,17,6,3,0,0,21,65,9,6,9,0,87,139,92,50,1575,14,1870,54,35,6,247,0,345,6,0,0,0,0,6,17,0,4,16,0,36,0,0,0,0,0,0,14,15,0,42,0,76,49,27,7,20,0,98,34,41,28,22,0,129,24,7,4,56,0,94,18,8,7,20,0,48,11,8,3,4,0,22,258,203,127,2144,22,2755,7,4,0,3,0,15,12,8,9,9,0,37,22,6,0,24,0,50,5,0,0,0,0,5,21,0,0,0,0,21,23,7,5,100,0,139,351,90,63,345,7,860,27,14,4,233,2615,2894,1879,1101,714,16633,2885,23211
UCL112006,190,790,548,13518,102,15145,9,149,43,5842,73,6122,300,15,20,118,0,447,15,5,3,11,0,35,124,50,40,176,0,391,785,685,513,11704,144,13835,346,4,53,19,0,426,29,8,9,88,0,137,112,49,39,977,8,1184,42,11,12,84,0,156,20,8,0,9,0,34,675,10,8,11,0,711,171,172,98,3680,25,4148,74,55,23,392,0,554,55,0,4,0,0,62,40,14,8,39,0,106,6,0,0,0,0,7,10,21,3,71,0,105,74,15,12,23,0,127,45,40,31,35,0,151,55,17,19,74,0,160,29,3,15,15,0,61,8,0,0,0,0,13,204,178,117,2626,17,3137,9,0,0,0,0,8,67,13,11,6,0,94,23,4,4,25,0,59,76,3,10,3,0,98,51,3,6,0,0,56,23,15,6,73,0,115,2380,152,122,400,15,3070,118,16,15,222,3062,3426,5292,1436,1028,27633,3379,38783
UCL112007,13,142,125,2464,50,2802,0,11,0,181,3,197,24,8,0,19,0,49,6,4,0,3,0,11,47,17,7,29,0,103,255,140,114,2346,25,2886,28,0,6,3,0,43,0,0,0,14,0,14,35,9,14,194,0,252,8,5,0,10,0,17,9,0,0,0,0,9,38,0,0,0,0,38,51,21,26,684,11,791,52,24,11,176,4,261,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,5,11,6,0,9,0,29,14,4,0,0,0,24,7,8,3,4,0,32,8,0,0,6,0,13,0,0,0,0,0,0,0,0,0,0,0,0,72,47,18,611,3,756,0,0,0,6,0,0,6,3,0,0,0,8,3,0,0,3,0,4,3,0,0,0,0,3,16,0,0,0,0,19,11,3,0,14,0,25,80,7,19,56,0,163,0,0,0,72,363,446,690,273,222,5024,440,6654
UCL112008,94,672,413,7091,268,8543,0,35,23,1058,35,1153,87,5,4,44,0,143,41,9,0,15,0,63,121,33,11,35,3,211,1104,640,422,6866,180,9206,108,0,19,6,0,135,34,13,11,51,3,110,141,35,31,491,12,708,20,11,0,25,0,61,30,4,0,17,0,48,62,9,6,7,0,70,186,115,70,1990,36,2398,126,57,13,216,5,417,19,0,4,0,0,22,18,7,0,19,0,47,6,0,0,0,0,8,56,23,7,40,4,125,23,15,11,7,3,56,39,17,14,27,5,102,65,11,0,24,0,101,18,4,0,8,0,31,3,0,0,0,0,3,285,175,109,1556,34,2155,6,0,0,0,3,12,35,3,3,0,0,45,38,0,0,16,0,48,5,0,0,0,4,7,21,0,0,0,0,21,37,17,6,38,5,102,522,118,63,219,19,941,24,6,3,152,996,1181,2766,1199,738,14340,1510,20554
UCL112009,82,629,468,8585,128,9889,4,23,31,1048,4,1110,208,0,14,64,4,294,24,4,3,9,3,49,70,24,22,93,0,211,821,599,439,7866,134,9865,187,6,31,10,0,235,41,11,5,53,0,103,105,64,40,563,7,778,65,27,10,48,4,156,19,13,3,17,0,54,216,6,7,3,0,237,194,166,73,2671,30,3129,97,48,14,195,0,356,51,0,6,0,0,53,25,10,0,23,5,58,9,0,0,0,0,9,25,16,4,78,0,121,51,12,4,5,0,79,47,20,19,23,0,110,42,21,0,42,0,102,19,0,4,20,0,39,17,8,0,0,0,25,234,168,117,1846,11,2374,17,0,5,0,0,22,20,5,8,10,0,44,41,0,11,24,0,75,7,0,0,4,0,16,22,9,0,0,0,28,26,18,9,81,0,134,1001,137,92,216,16,1461,56,5,4,185,1752,2008,3148,1184,826,16749,2052,23963
UCL112010,315,495,284,4434,67,5606,4,52,25,1000,27,1105,254,3,17,22,0,292,12,0,0,5,0,16,56,18,14,39,0,127,764,349,231,3999,66,5407,369,0,33,4,9,411,22,0,6,22,0,53,81,34,26,373,6,506,11,0,3,20,0,34,0,4,0,3,0,6,1255,18,6,5,11,1292,100,62,47,1253,13,1472,1775,487,161,2216,42,4681,21,0,0,3,0,20,23,6,4,11,0,41,10,0,0,0,0,12,12,6,0,20,0,34,70,14,6,4,0,99,51,28,17,13,0,109,9,8,0,14,0,37,3,0,0,6,0,8,342,22,24,4,4,396,86,90,65,1043,16,1301,9,0,0,7,0,18,80,12,3,3,0,100,78,12,12,34,0,136,16,0,0,0,0,15,16,0,0,0,0,16,13,5,5,36,0,52,2661,170,83,156,38,3110,174,9,5,98,1212,1501,7559,1173,642,9983,1446,20799
UCL112011,76,554,362,8274,78,9348,0,67,29,2032,11,2147,29,5,3,36,0,75,17,3,0,11,0,37,64,34,26,83,0,209,520,533,362,7189,78,8682,136,12,37,7,0,192,6,6,5,38,0,62,101,46,29,579,3,759,10,12,0,32,0,54,3,3,0,12,0,23,55,8,3,10,0,81,105,73,53,1432,15,1677,38,41,6,183,0,262,14,0,0,0,0,13,3,6,0,7,0,18,7,6,0,11,0,24,15,10,3,31,0,57,18,16,6,15,0,49,33,24,24,30,0,108,43,14,5,63,0,122,9,3,0,15,0,28,14,9,0,3,3,28,176,163,112,1763,13,2232,6,0,4,0,0,10,15,8,3,6,0,31,26,12,0,29,0,68,6,3,0,0,0,9,15,0,0,0,0,22,25,21,4,98,0,150,285,86,52,263,3,693,20,10,12,203,865,1108,1499,1038,670,15768,1034,20015
