UCL_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Primry_Othr_non_Govt_M,Primry_Othr_non_Govt_F,Primry_Othr_non_Govt_P,Primary_Tot_Primary_M,Primary_Tot_Primary_F,Primary_Tot_Primary_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_non_Govt_M,Secondary_Other_non_Govt_F,Secondary_Other_non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_edu_Ft_15_24_M,Tert_Voc_edu_Ft_15_24_F,Tert_Voc_edu_Ft_15_24_P,Tert_Voc_edu_Ft_25_ov_M,Tert_Voc_edu_Ft_25_ov_F,Tert_Voc_edu_Ft_25_ov_P,Tert_Voc_edu_Pt_15_24_M,Tert_Voc_edu_Pt_15_24_F,Tert_Voc_edu_Pt_15_24_P,Tert_Voc_edu_Pt_25_ov_M,Tert_Voc_edu_Pt_25_ov_F,Tert_Voc_edu_Pt_25_ov_P,Tert_Voc_edu_F_Pt_ns_M,Tert_Voc_edu_F_Pt_ns_F,Tert_Voc_edu_F_Pt_ns_P,Tert_Voc_edu_Tot_M,Tert_Voc_edu_Tot_F,Tert_Voc_edu_Tot_P,Tert_Uni_oth_h_edu_Ft_15_24_M,Tert_Uni_oth_h_edu_Ft_15_24_F,Tert_Uni_oth_h_edu_Ft_15_24_P,Tert_Uni_oth_h_edu_Ft_25_ov_M,Tert_Uni_oth_h_edu_Ft_25_ov_F,Tert_Uni_oth_h_edu_Ft_25_ov_P,Tert_Uni_oth_h_edu_Pt_15_24_M,Tert_Uni_oth_h_edu_Pt_15_24_F,Tert_Uni_oth_h_edu_Pt_15_24_P,Tert_Uni_oth_h_edu_Pt_25_ov_M,Tert_Uni_oth_h_edu_Pt_25_ov_F,Tert_Uni_oth_h_edu_Pt_25_ov_P,Tert_Uni_oth_h_edu_F_Pt_ns_M,Tert_Uni_oth_h_edu_F_Pt_ns_F,Tert_Uni_oth_h_edu_F_Pt_ns_P,Tert_Uni_other_high_edu_Tot_M,Tert_Uni_other_high_edu_Tot_F,Tert_Uni_other_high_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
UCL114001,36,48,80,123,125,249,45,48,92,24,39,66,196,212,406,99,78,172,34,40,76,21,22,42,153,138,296,9,0,10,7,13,15,12,12,28,22,32,48,0,0,0,45,60,111,17,17,31,8,22,29,11,6,14,12,42,51,0,0,0,45,83,130,90,143,241,4,4,5,9,17,23,0,0,0,8,15,28,101,111,214,596,668,1267
UCL114002,36,27,62,135,156,289,40,35,75,4,9,12,181,195,374,109,107,210,31,25,56,15,8,20,148,138,285,4,6,19,9,4,14,27,11,39,15,37,56,0,0,0,52,66,120,11,18,25,6,19,27,0,7,9,5,18,31,0,0,0,20,67,86,77,133,211,3,5,8,3,14,15,0,0,0,9,13,24,214,202,413,661,709,1371
UCL114003,99,93,196,273,254,533,129,128,253,19,21,40,424,404,825,168,166,332,62,60,120,19,31,44,246,250,497,10,29,39,7,34,41,39,41,75,35,86,119,0,0,0,91,195,281,15,17,39,8,24,24,5,16,17,14,36,57,0,0,0,38,99,138,132,286,418,0,0,5,12,19,34,0,4,4,18,22,43,511,509,1021,1426,1575,2997
UCL114004,77,75,149,172,132,300,56,55,109,22,21,43,254,205,458,127,91,222,27,30,53,11,18,33,166,136,306,5,11,12,0,14,12,26,27,59,31,67,104,0,0,0,62,120,181,9,19,32,5,17,24,5,4,6,25,50,78,0,0,0,51,93,143,114,211,326,6,15,21,7,14,26,0,0,0,15,27,50,386,172,560,1018,828,1847
UCL114005,64,49,113,153,133,282,58,54,110,0,0,3,212,187,401,118,92,210,50,65,116,5,3,12,173,159,336,4,9,17,8,5,11,23,14,35,13,31,45,0,0,0,51,62,109,3,17,19,0,8,6,0,3,3,3,17,23,0,0,0,8,42,54,59,104,162,0,5,9,3,3,10,0,0,0,5,11,14,183,171,350,699,683,1380
UCL114006,36,45,79,132,109,242,44,36,78,0,0,0,180,147,326,106,134,238,14,25,39,10,12,22,132,166,305,0,11,12,7,4,10,23,14,35,16,51,62,0,0,0,41,78,123,14,11,23,0,11,7,0,9,7,4,24,23,0,0,0,15,48,64,58,125,188,6,6,7,6,13,13,0,0,0,4,19,25,148,145,296,570,647,1214
UCL114007,90,93,180,247,226,468,57,68,128,13,5,16,316,301,621,176,168,346,40,63,109,21,11,39,244,247,489,7,12,19,3,9,11,38,31,71,30,73,100,0,0,0,86,120,204,11,13,21,0,7,15,3,13,16,8,34,47,0,0,0,27,70,95,111,193,307,7,5,8,8,10,18,0,0,0,13,14,28,300,288,587,1076,1133,2209
UCL114008,53,46,100,162,144,309,50,52,102,7,13,18,217,208,425,151,142,292,3,20,27,12,19,35,166,178,347,5,9,14,4,7,11,28,25,54,22,47,72,0,0,0,62,90,156,4,12,20,0,10,11,0,17,15,14,31,42,0,0,0,23,70,98,86,162,251,0,4,3,4,14,16,3,0,3,5,22,23,323,315,634,854,937,1792
UCL114009,119,124,238,181,179,357,74,79,151,43,48,96,297,303,605,84,78,161,45,54,98,47,50,99,171,176,354,21,14,34,10,7,15,22,22,44,50,54,107,0,0,0,102,92,195,195,472,669,56,89,142,21,34,54,61,94,151,0,0,0,329,689,1013,432,781,1213,16,5,18,19,15,36,0,0,0,37,19,54,134,185,317,1194,1588,2782
UCL114010,84,65,146,178,193,375,93,96,189,11,10,21,286,303,588,83,92,174,92,113,207,6,9,17,178,215,392,9,4,11,3,11,11,32,29,62,15,58,83,0,0,0,62,108,171,9,16,27,0,10,11,4,24,31,14,41,56,0,0,0,33,91,126,100,194,296,4,3,7,8,19,25,0,5,5,17,21,38,327,316,642,981,1115,2099
UCL114011,37,34,73,168,129,292,32,42,68,4,0,6,204,169,371,126,112,241,4,0,4,0,0,5,131,112,245,0,4,6,4,5,12,9,23,30,21,44,68,0,0,0,41,75,116,4,6,10,5,9,17,8,3,11,4,29,30,0,0,0,18,54,71,59,128,186,4,7,8,0,13,11,0,0,0,7,13,16,288,315,603,722,778,1501
UCL114012,154,119,273,170,151,325,126,115,236,66,101,166,371,358,726,76,88,160,61,69,131,45,32,77,179,190,368,4,8,8,8,0,12,27,14,35,31,53,82,0,0,0,68,72,138,28,29,55,24,28,49,8,13,23,81,90,165,0,0,0,133,157,290,196,228,424,13,10,21,28,30,62,0,0,0,43,37,83,109,108,215,1052,1042,2093
UCL114013,127,104,226,262,233,495,99,90,190,38,39,74,403,362,769,135,86,216,65,95,158,36,28,65,232,206,438,4,5,12,4,15,18,34,22,58,32,74,103,0,0,0,75,123,200,12,17,27,5,13,18,5,12,18,12,82,93,0,0,0,33,116,157,114,243,352,3,9,13,0,26,25,0,0,0,4,30,41,395,397,790,1275,1334,2612
UCL114014,116,124,237,249,199,446,66,95,159,16,8,26,332,301,632,163,170,339,56,67,119,19,17,36,237,256,494,12,7,16,3,7,11,51,39,89,29,49,77,0,0,0,94,99,192,33,55,91,12,30,34,10,12,20,29,37,64,0,0,0,80,134,209,173,231,407,7,3,7,15,19,30,0,0,0,18,20,38,52,77,130,922,1015,1935
