UCL_CODE_2021,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
UCL112002,62,15,239,136,68,48,47,72,13,700,0,0,6,12,3,3,0,0,0,32,15,11,10,14,20,9,11,12,6,111,24,17,45,46,24,27,22,35,40,271,1322,3045,1854,1848,1332,618,484,696,165,11366
UCL112003,59,11,147,96,57,42,18,47,0,478,0,0,0,0,0,0,0,4,0,11,23,72,20,18,24,10,8,14,10,201,11,38,22,17,37,15,10,14,32,205,1443,3757,1292,1322,1098,467,281,474,141,10275
UCL112004,60,10,131,69,56,35,16,42,3,424,0,3,0,0,0,0,0,0,0,5,31,37,15,12,19,9,5,14,3,144,25,21,24,15,27,21,13,19,22,180,1320,2435,1099,796,780,460,205,391,95,7579
UCL112005,47,15,163,112,43,37,47,63,4,538,0,0,0,0,0,6,0,0,0,10,3,4,13,10,4,0,12,16,8,63,11,17,23,20,16,12,25,25,23,166,498,802,1134,940,536,330,512,429,72,5265
UCL112006,83,30,215,151,98,75,26,84,10,764,0,5,8,8,0,5,0,4,0,26,11,16,18,23,24,4,12,23,3,144,22,44,47,56,36,29,33,51,72,385,1395,3353,1893,2111,1521,744,501,782,206,12498
UCL112007,12,6,50,23,20,8,4,13,3,140,0,0,0,0,0,0,0,0,0,0,6,3,4,0,6,0,0,0,0,26,6,0,13,5,6,3,12,7,6,53,267,471,353,253,195,84,61,121,26,1830
UCL112008,42,7,147,86,25,40,6,47,7,402,0,0,0,0,0,0,0,4,0,4,3,8,6,8,4,3,0,10,0,45,20,19,22,39,18,25,5,27,29,203,478,1134,729,849,495,302,111,316,73,4486
UCL112009,45,17,151,101,38,49,27,53,3,481,0,0,0,0,4,5,0,7,0,20,18,17,15,9,10,4,13,5,0,91,16,20,33,27,6,11,21,42,37,212,775,1496,1153,1269,750,366,373,476,124,6786
UCL112010,32,7,116,63,36,20,15,61,6,364,0,0,0,0,0,0,4,10,0,11,9,7,16,13,7,3,13,49,3,121,16,16,35,25,24,15,19,71,55,269,784,1369,1046,711,661,329,280,787,136,6091
UCL112011,42,11,130,78,36,37,31,42,3,402,0,0,0,0,0,0,0,0,0,3,4,0,11,6,10,0,9,5,0,57,15,7,31,27,21,11,32,26,26,189,412,829,1265,902,711,314,510,399,78,5425
UCL112012,45,5,161,91,45,51,23,79,4,505,0,4,0,0,0,0,0,0,0,11,11,15,13,16,17,4,9,16,0,99,22,23,34,30,20,19,15,35,35,226,772,2335,1175,1382,987,468,287,660,112,8182
UCL112013,8,0,10,9,9,8,5,4,0,50,0,0,0,0,0,0,0,0,0,0,0,3,7,4,4,0,0,3,0,17,0,0,8,3,4,8,3,9,3,34,120,181,124,117,91,43,30,51,10,763
UCL112014,34,9,115,68,43,38,31,43,8,386,0,0,0,0,0,0,0,0,0,6,8,18,5,14,9,6,6,11,4,76,9,8,26,21,14,8,22,12,28,148,721,1604,1155,901,730,315,315,380,113,6243
UCL112015,74,19,210,139,47,69,36,81,4,682,0,0,3,3,0,3,0,0,0,11,18,17,15,27,12,5,12,16,7,133,24,21,43,50,29,36,27,32,38,296,921,1958,1644,1689,929,571,348,680,124,8879
UCL112016,91,29,276,144,95,70,52,91,12,861,3,0,4,5,4,0,0,5,0,19,23,31,25,24,19,10,12,9,4,150,22,41,35,28,38,34,36,55,46,341,1497,4000,2125,1780,1571,596,618,707,162,13055
UCL112017,119,35,319,166,111,89,34,106,14,1005,3,3,0,8,6,0,0,6,0,15,23,31,25,25,21,15,16,10,9,180,35,33,41,48,43,44,18,35,64,355,1738,4452,2046,2167,1734,812,339,753,199,14239
UCL112018,72,19,201,132,68,64,39,104,12,709,0,4,0,5,0,5,0,8,0,20,9,22,16,13,12,3,12,23,0,109,22,15,33,38,35,35,29,81,38,324,979,2567,1500,1496,1075,555,435,971,122,9705
UCL112019,112,25,288,202,101,96,41,121,8,999,5,4,6,5,4,9,0,14,0,43,32,31,24,27,27,16,10,22,6,207,27,28,57,52,35,28,39,61,65,392,1891,4637,2555,2252,1841,836,563,957,220,15753
UCL113001,52,4,139,83,24,40,10,37,0,408,0,0,0,0,0,0,0,0,0,8,3,8,9,6,12,8,4,6,0,59,7,13,27,19,19,16,10,25,23,158,580,1393,802,839,551,323,142,344,53,5035
UCL113002,28,10,80,46,28,21,14,35,6,264,0,0,0,0,0,0,0,0,0,3,3,4,9,0,3,4,4,0,3,32,13,10,10,19,15,15,5,20,11,117,339,514,486,468,335,224,99,248,45,2759
UCL113003,24,10,103,61,26,22,7,19,0,271,0,0,0,0,0,0,3,0,0,7,9,9,7,4,4,6,8,3,0,51,17,9,28,20,10,10,18,28,27,166,454,1073,859,791,452,172,300,214,78,4402
UCL113004,41,7,141,40,17,21,9,22,5,307,0,0,0,0,0,0,0,0,0,0,16,11,5,8,10,3,4,9,0,68,17,15,22,14,0,9,0,18,32,128,722,1202,566,548,275,248,73,283,104,4024
UCL113005,20,10,90,69,27,29,17,30,0,285,0,0,0,0,0,0,0,0,0,0,5,8,5,5,4,6,7,6,0,48,15,5,16,33,11,7,13,32,24,147,372,914,568,874,507,254,177,332,55,4039
UCL113006,16,4,35,36,10,15,7,17,0,143,0,0,0,0,0,0,0,0,0,3,0,0,4,5,0,5,3,7,0,26,3,9,8,28,4,15,11,24,18,121,181,404,249,503,203,138,87,175,41,1965
UCL113007,26,14,71,41,28,17,10,21,3,237,0,0,0,0,0,0,0,3,0,5,12,29,6,7,6,0,6,3,0,62,5,18,20,6,12,12,10,11,11,102,784,1747,759,553,529,202,158,162,72,4972
UCL113008,20,3,58,33,39,14,19,32,3,226,0,0,0,0,0,0,0,0,0,9,5,3,4,4,4,0,4,0,0,33,5,0,10,16,11,11,16,6,16,87,264,509,526,430,337,137,242,198,39,2672
UCL113009,27,5,48,38,31,17,15,11,6,192,0,0,0,0,0,0,0,0,0,0,10,3,13,5,3,0,7,6,4,53,11,5,20,6,9,3,8,3,19,85,415,723,742,496,456,165,168,155,74,3389
UCL113010,30,4,79,50,21,21,34,29,3,272,0,0,0,0,0,0,0,0,0,0,8,4,9,0,0,3,10,7,3,48,6,0,15,14,7,15,17,14,17,101,380,808,789,463,349,196,398,249,46,3673
UCL113011,9,0,51,31,18,21,33,19,0,186,0,0,0,0,0,0,0,0,0,3,5,0,20,3,0,0,9,3,4,53,0,10,18,8,4,9,25,15,24,112,209,457,798,348,309,142,440,220,50,2971
UCL113012,47,8,119,64,17,31,13,38,6,337,0,0,0,0,0,0,0,0,0,3,10,7,8,4,8,0,7,3,4,50,13,19,23,18,10,10,9,11,15,123,598,968,703,571,447,220,132,237,65,3936
UCL113013,19,6,91,57,31,25,18,34,3,288,0,0,0,0,0,0,0,0,0,0,4,3,3,6,11,4,12,9,3,53,6,9,16,12,9,14,23,30,20,133,331,558,694,602,470,207,248,272,51,3442
UCL113014,28,6,82,58,15,30,47,30,0,297,0,0,0,0,0,0,0,0,0,0,4,3,8,4,3,5,16,9,9,63,12,3,16,10,12,9,34,16,19,142,427,769,1003,558,512,200,643,239,63,4412
UCL113015,24,6,74,47,17,24,5,26,4,225,0,0,0,0,0,0,0,0,0,0,4,11,3,7,6,0,4,3,0,39,10,4,15,14,4,12,7,15,16,101,285,465,522,497,280,158,95,207,45,2556
UCL113016,30,6,96,63,16,22,6,47,3,285,0,0,0,0,0,0,0,3,0,7,6,9,7,15,4,0,4,3,5,41,13,10,17,29,17,22,20,28,21,168,346,884,571,805,367,264,147,342,58,3775
UCL113017,43,0,117,58,24,28,8,38,7,317,0,0,0,0,0,3,0,0,0,5,6,5,4,9,0,0,0,9,0,38,13,5,18,16,12,14,4,19,11,121,517,874,722,534,370,271,89,272,58,3703
UCL113018,12,0,16,6,12,3,0,8,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,5,6,3,0,3,4,7,37,79,113,149,74,64,33,30,39,14,588
UCL114001,15,0,31,25,6,10,0,10,0,92,0,0,0,0,0,0,0,0,0,0,0,3,3,7,3,6,0,3,0,24,3,4,4,0,7,4,3,3,8,41,173,432,234,248,181,69,42,96,18,1492
UCL114002,11,4,59,18,9,6,9,17,0,132,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,13,7,4,11,7,4,7,5,14,8,70,162,334,287,271,126,93,64,116,26,1481
UCL114003,13,6,51,35,14,15,4,31,0,166,0,0,0,0,0,0,0,4,0,4,0,0,7,3,4,3,3,10,0,28,4,5,8,15,3,13,10,31,8,96,179,294,315,376,233,129,102,287,18,1947
UCL114004,14,3,34,14,15,12,8,9,0,117,0,0,0,0,0,0,0,0,0,3,12,4,4,4,4,0,0,0,0,32,9,0,12,4,6,4,8,11,7,66,267,508,313,280,229,111,100,98,36,1938
UCL114005,14,6,31,10,6,7,3,3,4,83,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,17,0,5,9,8,3,9,8,15,10,69,125,259,205,231,131,70,92,103,23,1232
UCL114006,12,0,30,21,12,10,4,21,0,118,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,7,0,17,0,4,11,6,3,0,7,13,4,46,167,259,261,198,131,78,81,178,18,1378
UCL114007,23,3,40,33,12,12,3,19,0,148,0,0,0,0,0,0,0,0,0,3,3,0,3,0,6,0,0,4,0,10,9,7,17,10,9,12,10,22,19,113,252,378,309,342,219,123,79,165,32,1890
UCL114008,13,5,35,21,7,8,9,12,0,106,0,0,0,0,0,0,0,0,0,8,8,6,0,0,4,0,0,0,0,24,9,3,21,12,6,7,9,8,9,76,213,391,289,287,190,89,91,112,37,1697
UCL114009,10,9,32,33,11,15,7,8,0,121,0,0,0,0,0,6,0,0,0,10,0,9,6,8,0,0,0,0,0,30,5,9,8,10,8,0,5,8,7,70,266,923,398,445,258,151,79,115,19,2654
UCL114010,15,0,35,24,15,17,11,14,3,129,0,0,0,0,0,0,0,0,0,0,0,0,5,6,3,0,0,4,0,24,14,4,15,18,7,3,6,11,11,90,239,432,321,257,179,89,107,127,29,1794
UCL114011,4,3,27,7,5,10,0,15,0,78,0,0,0,0,0,0,0,0,0,3,4,3,0,0,0,3,0,0,0,10,3,0,6,5,3,8,6,14,4,53,112,220,168,190,134,84,48,113,22,1093
UCL114012,20,8,37,17,28,6,0,3,0,126,0,0,0,0,0,0,0,0,0,0,19,29,4,3,7,0,3,3,0,64,3,0,7,10,6,7,7,3,9,54,630,900,333,254,427,96,47,45,54,2789
UCL114013,11,0,35,29,14,17,24,21,3,163,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,8,0,21,4,6,12,7,5,3,13,14,14,80,250,467,404,316,214,102,259,157,41,2210
UCL114014,11,3,31,16,13,12,5,10,0,108,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,20,3,9,9,6,5,4,3,0,10,55,348,741,458,314,307,127,102,96,36,2529
UCL114015,3,4,43,31,7,21,7,20,0,133,0,0,0,0,0,0,0,0,0,7,3,5,0,0,0,0,8,12,0,27,9,0,8,11,11,13,5,31,4,91,215,472,361,411,199,159,87,258,33,2198
UCL114016,11,0,32,30,11,11,11,20,0,119,4,0,0,0,0,0,0,0,0,0,3,3,6,0,0,0,3,6,0,29,7,3,9,4,6,3,8,18,10,70,243,430,369,264,224,82,120,194,40,1963
UCL114017,30,4,60,19,15,15,0,5,0,154,0,0,0,0,0,0,0,0,0,0,5,7,3,4,4,3,0,10,0,35,14,6,18,7,7,8,4,5,10,78,513,1121,418,299,279,163,58,107,38,2990
UCL114018,26,9,74,38,22,21,5,15,0,218,0,0,0,0,0,0,0,0,0,0,12,0,5,6,4,0,0,0,0,34,9,4,9,6,4,9,8,6,0,61,332,633,402,323,256,188,69,145,25,2380
UCL114019,13,6,26,21,13,9,7,10,0,101,0,0,0,0,0,0,0,3,0,4,3,4,0,3,0,0,5,0,6,19,7,11,9,7,14,12,15,18,7,98,205,438,269,247,200,87,101,122,31,1690
UCL114020,17,7,87,32,19,11,13,26,8,208,0,0,0,0,0,0,0,0,0,0,6,3,0,3,9,10,0,6,0,41,4,0,5,3,9,9,16,7,4,59,382,733,556,313,306,163,136,196,34,2817
UCL114021,20,3,68,34,16,20,9,20,0,191,0,0,0,0,0,0,0,0,0,3,6,4,9,3,3,0,0,3,0,36,8,4,11,11,4,6,6,9,15,73,264,608,467,449,274,154,135,219,33,2600
UCL114022,5,3,35,25,12,10,4,18,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,13,7,3,6,11,5,0,5,11,13,70,123,287,201,237,131,76,46,118,21,1240
UCL114023,8,0,29,8,8,7,11,14,0,89,0,0,0,0,0,0,0,0,0,0,5,3,5,5,0,0,0,6,0,16,5,4,14,8,6,6,13,8,8,79,168,372,271,194,162,81,149,97,21,1508
UCL114024,24,5,51,21,20,12,8,23,0,169,0,0,0,0,0,0,0,0,0,5,5,9,5,4,3,0,9,3,0,37,5,10,17,10,8,3,10,12,3,85,312,626,456,353,319,126,240,157,24,2611
UCL114025,25,4,52,31,14,8,3,7,0,137,0,0,0,0,0,0,0,0,0,0,7,7,10,3,0,0,0,5,0,39,0,8,7,12,4,4,6,6,6,54,298,673,391,313,240,82,43,116,34,2187
UCL114026,7,0,33,17,15,12,0,8,0,97,0,0,0,0,0,0,0,0,0,0,6,9,5,3,7,0,0,3,5,39,0,0,6,3,5,4,0,3,10,43,197,426,332,243,224,95,77,92,38,1728
UCL114027,12,3,45,21,7,12,9,7,6,115,0,0,0,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,14,7,4,9,4,0,8,0,3,3,41,195,298,270,193,168,102,53,83,26,1380
UCL114028,7,4,27,17,11,9,12,12,0,98,0,0,0,0,0,0,0,8,0,8,4,3,0,4,5,0,4,3,0,16,4,3,8,0,0,0,9,12,6,44,149,325,314,165,150,72,164,175,16,1521
UCL114029,11,4,16,13,20,8,5,6,0,84,0,0,0,0,0,0,0,0,0,0,0,3,5,4,8,0,0,3,0,31,4,0,11,8,6,0,5,3,11,47,258,342,407,206,289,85,136,90,25,1836
UCL114030,18,0,31,22,7,10,3,22,0,113,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,10,8,0,7,0,0,3,3,9,7,50,160,280,196,212,133,81,39,112,19,1238
UCL114031,14,3,28,20,22,14,9,16,3,133,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4,11,5,0,25,3,3,5,5,8,4,11,6,3,52,197,298,392,306,223,109,104,131,30,1794
UCL114032,9,5,22,13,22,3,9,12,0,95,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,4,0,0,14,4,8,0,0,4,3,4,4,5,32,155,279,320,201,206,80,110,118,23,1487
UCL114033,15,0,26,19,10,12,10,20,0,126,0,0,0,0,0,0,0,4,0,3,0,3,5,0,0,0,5,0,0,14,4,4,12,0,3,3,7,7,11,57,200,377,340,251,161,80,121,156,29,1718
UCL114034,13,11,53,43,27,22,0,25,0,187,0,0,0,3,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,10,0,7,9,14,8,4,14,16,12,81,180,337,393,404,266,135,104,158,30,2007
UCL114035,12,6,29,30,12,12,0,21,0,124,0,0,0,0,0,0,0,0,0,0,7,3,3,0,4,0,0,8,0,27,8,5,6,13,3,3,6,19,10,64,234,340,212,230,145,74,54,207,14,1508
UCL114036,9,4,49,28,15,8,0,16,0,132,0,0,0,0,0,0,0,0,0,0,3,0,0,4,5,0,3,0,0,16,8,5,9,3,6,4,3,6,12,57,209,416,237,215,162,88,35,131,23,1517
UCL114037,8,6,35,18,15,8,0,11,0,110,0,0,0,0,0,0,0,0,0,0,3,4,3,8,4,3,0,0,0,30,5,10,7,4,5,6,6,7,11,68,241,454,342,298,258,81,59,98,34,1872
UCL114038,10,5,45,36,14,17,8,16,0,147,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,4,0,13,4,7,9,9,9,6,4,11,8,64,200,390,330,313,198,127,61,167,30,1809
UCL115001,5,0,10,5,0,4,4,4,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,13,0,0,6,0,0,0,5,0,0,9,32,62,143,57,47,15,73,49,4,472
UCL115002,3,4,26,20,12,7,6,11,0,93,0,0,0,0,0,0,0,0,0,0,4,6,3,0,3,0,0,0,3,29,5,4,5,0,0,0,4,0,12,28,177,320,302,196,158,85,55,91,25,1418
UCL115003,6,0,19,6,4,4,6,3,0,57,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,8,0,0,4,4,6,0,0,5,9,25,124,202,202,107,134,41,60,50,18,941
UCL115004,4,0,9,6,0,0,0,3,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,5,0,0,0,0,0,0,0,25,0,19,73,128,62,71,47,22,14,78,4,514
UCL115005,8,0,6,0,3,5,0,5,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,9,31,46,38,39,20,7,13,23,0,233
UCL115006,9,0,10,7,4,0,0,3,0,37,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,4,0,4,0,15,3,6,4,0,0,0,0,0,4,20,139,327,84,63,70,46,10,38,10,800
UCL115007,6,0,9,4,4,7,8,12,3,59,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,13,0,4,4,0,6,0,4,6,9,31,121,183,217,119,120,52,93,67,26,999
UCL115008,0,0,5,0,0,0,0,5,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,6,3,0,0,0,3,0,8,28,62,44,29,24,10,17,28,6,238
UCL115009,8,0,13,7,3,4,4,8,0,51,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,7,5,0,3,5,0,0,0,5,0,20,81,89,85,68,54,20,21,52,8,475
UCL115010,4,0,6,4,0,0,0,5,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,3,0,6,23,35,25,29,8,13,11,16,0,168
UCL115011,0,0,13,0,6,0,5,8,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,0,0,9,3,0,0,0,0,0,0,0,4,5,51,96,83,74,50,31,28,33,4,439
UCL115012,0,0,4,0,0,0,0,5,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,9,0,15,27,25,18,42,23,9,20,46,0,199
UCL115013,9,0,28,9,8,8,8,20,0,79,0,0,0,0,0,0,0,0,0,3,0,3,0,6,0,0,0,0,0,14,0,5,9,8,5,4,3,7,5,35,78,279,176,185,101,57,40,125,8,1062
UCL115014,5,0,18,12,3,13,0,5,0,64,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,16,0,7,0,0,3,0,0,4,0,19,109,372,107,161,101,44,20,54,13,984
UCL115015,0,0,12,3,3,4,0,6,0,31,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,9,0,0,4,4,0,0,0,4,6,19,70,84,94,73,35,33,10,44,16,450
UCL115016,4,0,3,5,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,4,0,0,0,0,0,11,37,68,65,44,47,21,15,30,11,346
UCL115017,11,4,11,4,4,3,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,3,3,6,0,3,0,0,0,0,19,129,260,92,62,67,37,12,21,8,682
UCL115018,3,0,3,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,3,0,0,0,0,0,11,24,28,24,40,21,12,12,18,0,162
UCL115019,8,5,19,13,7,0,5,4,0,66,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,21,3,4,0,0,4,3,0,0,7,26,204,574,192,172,153,62,41,73,22,1489
UCL115020,3,0,19,17,5,3,6,7,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,9,5,0,5,5,5,6,28,62,128,158,135,89,42,84,80,13,788
UCL115021,4,0,3,4,4,0,0,4,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,11,44,55,35,39,34,11,37,27,5,280
UCL115022,9,4,16,12,12,8,0,5,0,70,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,0,6,4,4,0,6,10,4,29,110,254,132,149,98,55,24,51,9,895
UCL115023,0,0,3,6,0,3,0,3,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,3,3,6,0,3,23,47,62,59,48,38,17,17,28,3,322
UCL115024,3,0,10,0,4,0,0,0,0,15,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,8,0,9,0,0,0,0,0,0,6,21,42,112,51,86,34,12,11,19,12,378
UCL115025,5,0,11,8,6,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,10,0,0,5,0,9,3,3,0,3,23,78,160,131,76,63,28,29,24,7,588
UCL115026,0,0,15,0,0,0,3,3,0,29,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,5,0,0,0,14,0,0,3,0,0,0,0,0,0,5,63,115,77,39,48,15,27,29,6,415
UCL115027,14,5,17,7,7,7,10,4,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,10,0,0,5,0,6,0,0,4,3,19,94,154,255,114,111,36,126,49,18,956
UCL115028,5,0,10,4,8,10,0,3,6,42,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,14,8,4,5,5,0,4,0,4,0,24,119,271,121,101,83,30,17,43,14,805
UCL115029,3,0,15,3,0,5,4,4,0,35,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,6,0,4,4,5,0,0,0,0,0,18,82,157,83,77,47,44,12,36,11,543
UCL115030,0,0,9,4,0,0,5,4,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,3,0,10,9,33,34,31,21,13,20,25,3,199
