UCL_CODE_2021,F_ID_NS_15_19,F_ID_NS_20_24,F_ID_NS_25_34,F_ID_NS_35_44,F_ID_NS_45_54,F_ID_NS_55_64,F_ID_NS_65_74,F_ID_NS_75_84,F_ID_NS_85ov,F_ID_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ag_For_Fshg_15_19,P_Ag_For_Fshg_20_24,P_Ag_For_Fshg_25_34,P_Ag_For_Fshg_35_44,P_Ag_For_Fshg_45_54,P_Ag_For_Fshg_55_64,P_Ag_For_Fshg_65_74,P_Ag_For_Fshg_75_84,P_Ag_For_Fshg_85ov,P_Ag_For_Fshg_Tot,P_Mining_15_19,P_Mining_20_24,P_Mining_25_34,P_Mining_35_44,P_Mining_45_54,P_Mining_55_64,P_Mining_65_74,P_Mining_75_84,P_Mining_85ov,P_Mining_Tot,P_Manufact_15_19,P_Manufact_20_24,P_Manufact_25_34,P_Manufact_35_44,P_Manufact_45_54,P_Manufact_55_64,P_Manufact_65_74,P_Manufact_75_84,P_Manufact_85ov,P_Manufact_Tot,P_El_Gas_Wt_Waste_15_19,P_El_Gas_Wt_Waste_20_24,P_El_Gas_Wt_Waste_25_34,P_El_Gas_Wt_Waste_35_44,P_El_Gas_Wt_Waste_45_54,P_El_Gas_Wt_Waste_55_64,P_El_Gas_Wt_Waste_65_74,P_El_Gas_Wt_Waste_75_84,P_El_Gas_Wt_Waste_85ov,P_El_Gas_Wt_Waste_Tot,P_Constru_15_19,P_Constru_20_24,P_Constru_25_34,P_Constru_35_44,P_Constru_45_54,P_Constru_55_64,P_Constru_65_74,P_Constru_75_84,P_Constru_85ov,P_Constru_Tot,P_WhlesaleTde_15_19,P_WhlesaleTde_20_24,P_WhlesaleTde_25_34,P_WhlesaleTde_35_44,P_WhlesaleTde_45_54,P_WhlesaleTde_55_64,P_WhlesaleTde_65_74,P_WhlesaleTde_75_84,P_WhlesaleTde_85ov,P_WhlesaleTde_Tot,P_RetTde_15_19,P_RetTde_20_24,P_RetTde_25_34,P_RetTde_35_44,P_RetTde_45_54,P_RetTde_55_64,P_RetTde_65_74,P_RetTde_75_84,P_RetTde_85ov,P_RetTde_Tot,P_Accom_food_15_19,P_Accom_food_20_24,P_Accom_food_25_34,P_Accom_food_35_44,P_Accom_food_45_54,P_Accom_food_55_64,P_Accom_food_65_74,P_Accom_food_75_84,P_Accom_food_85ov,P_Accom_food_Tot,P_Trans_post_wrehsg_15_19,P_Trans_post_wrehsg_20_24,P_Trans_post_wrehsg_25_34,P_Trans_post_wrehsg_35_44,P_Trans_post_wrehsg_45_54,P_Trans_post_wrehsg_55_64,P_Trans_post_wrehsg_65_74,P_Trans_post_wrehsg_75_84,P_Trans_post_wrehsg_85ov,P_Trans_post_wrehsg_Tot,P_Info_media_teleco_15_19,P_Info_media_teleco_20_24,P_Info_media_teleco_25_34,P_Info_media_teleco_35_44,P_Info_media_teleco_45_54,P_Info_media_teleco_55_64,P_Info_media_teleco_65_74,P_Info_media_teleco_75_84,P_Info_media_teleco_85ov,P_Info_media_teleco_Tot,P_Fin_Insur_15_19,P_Fin_Insur_20_24,P_Fin_Insur_25_34,P_Fin_Insur_35_44,P_Fin_Insur_45_54,P_Fin_Insur_55_64,P_Fin_Insur_65_74,P_Fin_Insur_75_84,P_Fin_Insur_85ov,P_Fin_Insur_Tot,P_RtnHir_REst_15_19,P_RtnHir_REst_20_24,P_RtnHir_REst_25_34,P_RtnHir_REst_35_44,P_RtnHir_REst_45_54,P_RtnHir_REst_55_64,P_RtnHir_REst_65_74,P_RtnHir_REst_75_84,P_RtnHir_REst_85ov,P_RtnHir_REst_Tot,P_Pro_scien_tec_15_19,P_Pro_scien_tec_20_24,P_Pro_scien_tec_25_34,P_Pro_scien_tec_35_44,P_Pro_scien_tec_45_54,P_Pro_scien_tec_55_64,P_Pro_scien_tec_65_74,P_Pro_scien_tec_75_84,P_Pro_scien_tec_85ov,P_Pro_scien_tec_Tot,P_Admin_supp_15_19,P_Admin_supp_20_24,P_Admin_supp_25_34,P_Admin_supp_35_44,P_Admin_supp_45_54,P_Admin_supp_55_64,P_Admin_supp_65_74,P_Admin_supp_75_84,P_Admin_supp_85ov,P_Admin_supp_Tot,P_Public_admin_sfty_15_19,P_Public_admin_sfty_20_24,P_Public_admin_sfty_25_34,P_Public_admin_sfty_35_44,P_Public_admin_sfty_45_54,P_Public_admin_sfty_55_64,P_Public_admin_sfty_65_74,P_Public_admin_sfty_75_84,P_Public_admin_sfty_85ov,P_Public_admin_sfty_Tot,P_Educ_trng_15_19,P_Educ_trng_20_24,P_Educ_trng_25_34,P_Educ_trng_35_44,P_Educ_trng_45_54,P_Educ_trng_55_64,P_Educ_trng_65_74,P_Educ_trng_75_84,P_Educ_trng_85ov,P_Educ_trng_Tot,P_HlthCare_SocAs_15_19,P_HlthCare_SocAs_20_24,P_HlthCare_SocAs_25_34,P_HlthCare_SocAs_35_44,P_HlthCare_SocAs_45_54,P_HlthCare_SocAs_55_64,P_HlthCare_SocAs_65_74,P_HlthCare_SocAs_75_84,P_HlthCare_SocAs_85ov,P_HlthCare_SocAs_Tot,P_Art_recn_15_19,P_Art_recn_20_24,P_Art_recn_25_34,P_Art_recn_35_44,P_Art_recn_45_54,P_Art_recn_55_64,P_Art_recn_65_74,P_Art_recn_75_84,P_Art_recn_85ov,P_Art_recn_Tot
UCL115111,4,0,7,7,4,4,0,0,0,32,35,59,146,121,100,131,40,4,0,639,4,8,18,19,24,25,21,8,3,131,0,4,8,4,7,6,0,0,0,33,4,8,8,7,12,5,3,0,0,54,0,0,4,8,9,9,0,0,0,32,0,11,23,19,17,22,7,0,0,95,0,3,6,9,9,12,0,0,0,43,13,16,19,26,9,26,6,0,0,123,16,4,11,4,10,14,7,0,0,69,0,9,10,9,17,18,9,0,0,67,0,0,0,3,0,0,0,0,0,3,0,0,0,3,4,3,0,0,0,16,0,0,4,4,0,4,0,0,0,13,4,3,12,4,6,9,6,0,0,36,0,3,7,9,4,5,0,0,0,26,0,8,15,12,20,9,9,0,0,73,4,13,30,46,23,25,11,0,0,149,4,13,43,43,28,60,8,4,0,202,0,0,4,3,0,0,0,0,0,12
UCL115112,0,4,7,3,0,3,0,0,0,17,45,56,206,150,74,49,10,0,0,593,0,0,0,0,0,0,3,0,0,7,5,15,79,57,30,10,3,0,0,199,0,3,36,17,11,9,0,0,0,82,0,0,5,3,0,4,0,0,0,18,5,7,35,21,13,7,0,0,0,86,0,0,9,6,5,6,0,0,0,32,13,19,22,23,12,8,0,0,0,99,26,10,27,16,15,5,0,0,0,101,4,0,11,9,4,8,0,0,0,32,0,0,5,0,0,0,0,0,0,5,0,0,4,11,5,0,0,0,0,31,0,0,5,0,4,0,0,0,0,11,0,3,17,18,8,0,0,0,0,47,0,7,27,19,7,6,0,0,0,64,0,4,18,19,11,8,0,0,0,68,0,3,30,18,4,6,8,0,0,65,4,11,43,30,23,22,4,0,0,137,0,5,4,5,0,0,0,0,0,9
UCL115113,0,3,5,3,4,0,6,0,0,23,21,31,108,51,88,61,20,4,0,393,5,6,13,5,13,14,4,0,0,62,10,26,46,24,30,15,0,0,0,163,0,4,3,4,0,0,0,0,0,12,0,0,9,3,5,0,0,0,0,14,0,5,6,3,5,10,7,0,0,38,0,0,4,0,0,0,0,0,0,9,17,0,13,12,12,8,7,0,0,66,5,0,10,9,8,11,3,0,0,47,3,5,3,0,3,6,0,0,0,31,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,7,0,0,6,6,8,7,0,0,0,29,4,5,18,10,25,16,6,0,0,81,0,8,42,13,25,8,8,0,0,104,0,7,30,15,23,21,9,0,0,93,0,0,0,0,0,0,0,0,0,5
UCL115114,6,0,3,6,4,4,0,0,0,26,36,35,98,72,91,81,29,3,0,438,3,3,9,18,3,10,6,0,0,59,0,0,0,3,0,0,0,0,0,3,11,22,65,49,58,46,8,0,0,257,0,0,0,0,0,0,0,0,0,3,3,7,14,13,12,8,8,0,0,77,0,3,4,0,0,3,0,0,0,11,20,12,7,4,14,7,0,0,0,74,0,7,10,11,15,9,4,3,0,62,0,5,4,10,6,9,12,0,0,45,0,0,0,5,0,0,0,0,0,4,0,0,0,3,3,0,0,0,0,11,0,0,3,0,0,0,0,0,0,4,0,0,8,7,5,3,5,3,0,31,0,4,4,4,5,8,0,0,0,27,0,9,10,11,20,14,5,0,0,78,0,3,12,6,15,14,3,0,0,53,5,3,33,24,17,16,5,0,0,115,0,0,0,7,3,3,0,0,0,17
UCL115115,0,7,16,17,14,0,5,0,0,63,56,68,195,283,301,206,53,4,0,1166,0,7,9,6,14,5,0,0,0,32,0,0,0,0,0,0,0,0,0,6,0,15,16,17,32,9,0,0,0,94,0,0,7,6,6,0,4,0,0,21,6,10,42,55,49,27,7,0,0,205,0,4,3,8,14,5,0,0,0,36,38,31,34,39,52,37,8,0,0,232,40,31,68,39,36,14,4,0,0,236,8,4,5,7,12,22,5,0,0,58,3,0,0,14,4,0,3,0,0,24,0,0,0,3,8,0,0,0,0,20,0,0,9,14,6,11,8,0,0,42,0,3,20,48,36,24,11,0,0,149,0,6,11,19,13,24,11,0,0,80,0,0,6,17,25,16,0,0,0,67,0,3,27,52,71,42,15,0,0,212,3,13,57,90,96,93,23,4,0,378,0,0,12,20,8,4,6,0,0,45
UCL115116,4,0,6,3,11,7,3,0,0,30,50,41,190,198,187,162,58,0,0,876,0,0,3,4,6,5,0,0,0,17,0,0,9,5,3,0,0,0,0,19,5,4,11,16,12,16,3,0,0,72,0,0,0,8,0,8,0,0,0,20,15,20,38,41,34,10,7,0,0,169,0,0,3,4,6,6,0,0,0,15,22,22,24,35,19,22,10,0,0,157,32,4,11,19,24,16,10,0,0,114,0,0,5,12,8,23,0,0,0,54,0,0,0,4,0,3,0,0,0,7,0,0,5,8,4,9,0,0,0,25,0,0,6,5,7,3,0,0,0,18,0,3,10,16,11,14,0,0,0,62,0,0,7,15,11,12,0,0,0,47,5,0,23,30,31,21,0,0,0,108,0,10,53,44,44,33,21,0,0,217,4,15,104,81,86,76,21,0,0,383,0,0,7,8,3,0,3,0,0,22
UCL115117,0,0,0,0,0,0,0,0,0,0,24,8,37,53,51,46,11,4,0,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,5,0,0,0,0,0,20,0,3,0,0,0,0,0,0,0,3,3,5,17,16,12,6,3,0,0,67,0,0,0,0,3,0,0,0,0,3,4,4,8,8,5,7,0,0,0,45,15,0,6,5,7,9,0,0,0,44,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,7,0,0,6,0,6,5,0,0,0,18,0,0,0,0,6,3,0,0,0,19,0,0,9,16,7,3,3,0,0,42,0,0,8,11,3,6,9,0,0,36,3,4,10,19,20,20,5,0,0,81,0,0,0,0,0,3,0,0,0,10
UCL115118,4,0,0,3,4,0,0,0,0,10,29,12,53,70,73,73,26,0,0,328,0,0,0,3,4,3,3,3,0,21,0,0,0,0,0,0,0,0,0,0,9,0,19,7,7,9,0,0,0,55,0,0,0,0,4,0,0,0,0,8,7,8,18,15,17,22,3,0,0,92,0,0,0,0,4,0,0,0,0,8,11,3,0,14,21,12,0,0,0,64,17,5,17,10,6,19,12,0,0,87,3,0,0,4,9,5,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,6,4,4,7,7,5,0,0,32,0,0,0,3,12,5,0,0,0,27,0,0,10,9,20,6,3,0,0,45,0,0,6,13,11,16,3,0,0,60,0,3,13,14,18,24,9,0,0,81,4,0,4,5,4,4,3,0,0,21
UCL115119,0,4,9,10,8,6,0,0,0,34,49,76,210,182,211,168,27,4,0,929,0,0,8,0,4,3,0,0,0,17,0,0,3,4,11,5,0,0,0,26,3,8,29,26,36,27,3,0,0,140,0,3,6,7,8,3,0,0,0,28,30,37,81,56,53,26,6,0,0,290,0,0,11,8,11,8,6,3,0,45,26,27,26,30,34,25,15,0,0,181,41,22,20,9,14,13,3,0,0,108,0,3,16,18,26,19,8,0,0,91,0,0,5,0,0,6,0,0,0,15,0,3,11,13,8,6,3,0,0,38,0,6,5,10,6,0,0,0,0,29,4,12,27,24,19,18,3,0,0,98,0,5,15,8,16,13,0,0,0,55,0,4,39,32,28,27,3,0,0,134,0,7,42,42,57,40,6,0,0,197,3,18,62,54,61,55,12,0,0,260,0,4,4,4,0,3,0,0,0,14
UCL115120,0,5,0,10,4,10,0,0,0,37,57,75,128,217,198,121,25,3,0,826,0,0,0,6,9,4,0,0,0,23,0,0,0,5,6,0,0,0,0,9,3,9,11,36,29,22,4,0,0,109,0,0,0,7,9,5,0,0,0,22,25,41,72,103,79,43,17,4,0,380,0,6,0,16,20,12,0,0,0,60,24,14,24,25,30,29,7,0,0,156,37,8,5,6,3,0,0,0,0,57,0,0,8,15,28,9,3,0,0,60,0,0,0,4,7,0,0,0,0,12,0,0,10,13,5,16,4,0,0,47,0,3,6,7,13,3,0,0,0,33,0,12,16,33,23,12,0,0,0,91,0,5,5,17,13,13,0,0,0,51,3,7,24,27,38,12,3,3,0,117,11,16,33,45,26,21,7,0,0,153,4,27,22,26,40,27,3,0,0,158,0,0,3,12,3,6,0,0,0,27
UCL115121,0,5,0,0,8,0,0,0,0,5,10,22,61,63,54,55,13,0,0,286,0,0,0,4,0,5,0,0,0,10,0,6,15,9,18,4,0,0,0,55,0,8,10,12,10,9,4,0,0,46,0,0,10,7,5,13,0,0,0,33,0,7,8,15,13,10,4,0,0,58,0,0,0,0,0,7,0,0,0,10,6,3,18,14,12,11,0,0,0,61,9,6,9,12,3,10,0,0,0,47,0,0,4,3,8,8,3,0,0,22,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,14,0,6,4,5,8,6,0,0,0,26,0,0,10,22,9,9,3,0,0,65,0,0,7,10,5,10,4,0,0,39,0,12,12,14,20,23,4,0,0,77,0,0,0,3,0,0,4,0,0,8
UCL115122,0,0,3,0,5,0,5,0,0,18,29,44,76,88,100,95,29,4,0,465,0,5,11,6,7,5,9,7,0,54,0,3,7,12,13,0,0,0,0,37,0,9,9,7,6,15,3,0,0,51,0,3,0,6,3,10,0,0,0,16,3,5,10,13,13,5,0,0,0,55,0,0,0,5,5,3,3,0,0,18,22,14,5,17,24,14,4,0,0,101,9,6,7,10,16,13,5,0,0,64,0,3,10,9,14,23,13,3,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,5,3,3,0,0,5,3,0,5,3,7,9,0,0,0,33,0,0,7,10,7,11,0,0,0,29,0,3,12,8,20,17,4,0,0,61,0,13,17,18,15,13,8,3,0,80,8,12,44,28,28,37,18,0,0,164,0,0,0,0,0,0,0,0,0,7
UCL115123,0,0,4,0,0,4,0,0,0,8,28,19,54,70,92,53,20,4,0,341,6,3,3,9,8,0,0,0,0,17,0,0,0,4,0,4,0,0,0,12,0,6,9,5,15,11,6,0,0,47,0,0,0,0,4,4,0,0,0,5,10,6,23,12,20,17,0,0,0,90,0,0,0,0,10,0,0,0,0,14,3,7,7,5,10,9,5,0,0,52,19,6,9,0,11,9,0,0,0,53,0,0,0,4,3,0,3,0,0,26,0,0,0,5,9,0,0,0,0,11,0,0,0,4,3,0,0,0,0,13,0,0,0,0,3,0,3,0,0,8,0,0,9,18,7,3,7,0,0,45,0,5,7,8,8,10,5,0,0,34,0,0,10,15,15,10,0,0,0,48,0,7,11,21,29,14,5,0,0,83,0,4,14,24,23,22,8,0,0,88,5,0,0,0,4,0,0,0,0,18
UCL115124,0,5,7,10,0,5,0,0,0,20,75,81,247,254,203,201,44,0,0,1105,0,0,33,32,13,9,3,0,0,97,0,0,0,0,3,3,0,0,0,10,3,4,9,10,20,9,3,0,0,65,0,0,0,8,5,3,0,0,0,18,12,16,69,57,35,25,4,0,0,214,4,0,10,3,7,8,0,0,0,35,33,22,41,32,33,27,9,0,0,202,56,20,32,18,21,13,5,0,0,163,0,3,6,17,14,10,7,0,0,62,0,0,9,7,4,0,0,0,0,22,0,0,7,15,8,0,0,0,0,33,4,5,5,9,5,8,5,0,0,34,0,0,21,28,13,16,3,0,0,88,3,3,18,21,9,11,4,0,0,65,0,6,43,65,42,24,6,0,0,181,3,3,42,48,67,43,19,0,0,225,6,25,82,93,79,101,20,0,0,408,3,0,3,0,8,3,0,0,0,22
UCL115125,5,4,0,0,4,0,3,0,0,12,39,34,110,121,121,120,32,0,0,577,0,0,0,0,0,3,0,0,0,11,0,0,9,4,0,0,0,0,0,7,4,6,5,10,14,6,5,0,0,55,0,0,0,6,3,6,0,0,0,13,4,16,45,58,34,29,0,0,0,184,0,0,3,3,3,4,0,0,0,22,13,7,10,10,17,14,9,0,0,83,28,17,15,13,29,20,11,0,0,129,0,0,0,6,7,9,0,0,0,26,0,0,0,0,0,4,0,0,0,6,0,0,0,6,0,3,0,0,0,8,0,0,0,6,0,0,0,0,0,7,0,4,13,17,10,7,3,0,0,61,3,0,3,6,7,15,5,0,0,43,0,4,20,33,36,20,3,0,0,103,3,5,27,26,27,25,6,0,0,114,8,4,37,34,44,57,17,0,0,197,5,0,5,3,8,0,3,0,0,27
UCL115126,0,0,0,0,0,0,0,0,0,4,15,17,24,53,72,66,19,0,0,265,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,3,7,3,0,0,0,19,0,0,0,5,4,0,0,0,0,6,7,9,4,17,10,13,0,0,0,52,0,0,0,0,0,5,0,0,0,6,12,4,4,10,6,12,0,0,0,49,17,4,6,0,3,7,0,0,0,44,0,6,5,0,3,6,3,0,0,13,0,0,0,0,0,0,0,0,0,4,0,0,0,4,6,6,0,0,0,10,0,0,0,0,6,0,0,0,0,4,0,0,8,7,11,6,3,0,0,38,0,0,0,3,0,4,0,0,0,19,0,0,3,8,14,10,6,0,0,38,0,0,4,13,21,19,3,0,0,57,0,3,8,20,21,38,14,0,0,103,0,0,0,5,0,0,0,0,0,10
UCL115127,0,0,0,3,0,0,0,0,0,9,18,12,41,54,55,65,19,0,0,262,0,0,0,3,0,4,0,0,0,9,0,0,0,5,3,0,0,0,0,10,0,0,3,0,7,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,3,8,18,22,26,10,6,0,0,86,0,0,4,0,3,0,0,0,0,5,4,4,0,10,7,10,0,0,0,47,13,3,9,12,9,13,0,0,0,71,0,0,0,3,3,0,0,0,0,4,0,0,0,5,7,0,0,0,0,8,0,0,0,0,0,4,0,0,0,7,0,0,0,0,0,4,4,0,0,11,0,0,3,8,7,10,3,0,0,38,0,0,3,7,6,6,4,0,0,27,0,0,0,0,4,5,0,0,0,15,0,0,13,15,10,14,3,0,0,52,0,4,14,17,24,23,6,0,0,79,0,0,0,0,0,3,3,0,0,8
UCL115128,0,0,11,11,5,3,0,0,0,36,35,33,96,113,141,113,32,0,0,561,0,0,4,0,3,0,0,0,0,15,0,0,0,4,3,0,0,0,0,8,0,4,8,14,12,3,0,0,0,43,0,0,0,0,6,0,0,0,0,7,3,6,35,32,39,23,0,0,0,132,0,0,0,3,7,5,0,0,0,19,14,16,14,15,17,10,5,0,0,90,26,14,21,10,12,6,0,0,0,94,0,0,0,3,6,0,0,0,0,11,0,0,0,11,3,9,0,0,0,24,0,0,0,0,3,0,0,0,0,9,0,0,0,4,9,4,0,0,0,16,0,0,15,31,28,15,4,0,0,92,4,7,7,5,11,8,0,0,0,47,0,0,0,10,11,10,0,0,0,39,0,3,20,19,37,23,3,0,0,108,3,3,24,38,52,49,13,0,0,176,0,0,3,5,4,6,0,0,0,19
UCL115129,0,0,0,7,5,5,0,0,0,16,21,31,59,81,86,97,18,6,0,393,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,5,0,0,0,9,0,0,6,4,6,9,0,0,0,29,0,0,0,0,0,0,0,0,0,0,10,20,19,8,23,17,3,0,0,92,0,0,0,3,3,5,3,0,0,15,9,0,5,9,7,12,0,0,0,37,19,8,8,7,3,3,0,0,0,46,0,0,0,4,11,4,0,0,0,23,0,0,4,6,11,0,0,0,0,31,0,0,4,7,17,6,0,0,0,37,0,0,0,7,5,0,0,0,0,17,0,8,31,23,26,16,11,0,0,113,0,0,3,3,3,9,0,0,0,19,0,0,10,14,19,13,4,0,0,63,0,4,12,16,33,46,0,0,0,122,3,11,12,17,28,32,14,0,0,121,0,4,4,0,3,4,0,0,0,11
UCL115130,0,3,0,7,4,0,3,0,0,15,21,33,87,85,106,143,29,0,0,496,0,0,3,0,0,3,0,0,0,11,0,0,0,0,5,3,0,0,0,10,4,0,7,5,10,3,5,0,0,40,0,0,3,7,4,4,0,0,0,16,10,14,40,27,20,23,13,0,0,152,0,0,0,3,0,3,0,0,0,13,16,9,13,13,20,21,13,0,0,104,10,15,17,20,17,33,9,4,0,121,4,3,8,0,8,20,0,0,0,47,0,0,0,0,0,6,0,0,0,6,0,0,0,6,0,4,0,0,0,13,0,0,4,3,0,0,9,0,0,17,0,0,3,4,6,6,7,0,0,31,3,0,0,10,16,13,6,0,0,48,0,3,13,15,24,19,8,0,0,74,0,5,8,5,17,23,3,0,0,70,0,12,26,27,35,57,9,0,0,169,0,4,0,0,5,3,0,0,0,10
UCL115131,0,0,6,7,5,0,0,0,0,30,47,68,143,139,161,150,33,0,0,739,0,0,0,4,4,3,0,0,0,19,0,0,6,13,3,4,0,0,0,27,5,3,15,20,36,17,3,0,0,105,0,3,3,4,3,4,0,0,0,15,7,24,24,23,29,33,0,0,0,154,0,3,6,9,7,7,0,0,0,37,25,15,28,21,33,40,5,0,0,168,35,33,24,21,18,18,0,0,0,148,0,4,9,4,19,23,3,0,0,70,0,5,0,0,0,0,0,0,0,11,0,5,7,6,5,8,3,0,0,30,0,3,5,0,3,9,3,0,0,23,0,7,13,10,9,9,7,0,0,58,0,4,13,19,20,15,3,0,0,72,0,5,32,30,41,17,0,0,0,124,0,3,13,10,17,18,10,0,0,78,4,14,44,55,59,73,17,0,0,264,3,4,0,0,8,5,0,0,0,16
UCL115132,0,0,0,0,0,0,0,0,0,4,16,19,45,56,72,94,26,4,0,333,0,0,4,3,0,6,4,0,0,16,0,0,0,0,0,0,0,0,0,0,0,3,12,3,5,4,0,0,0,32,0,0,0,0,0,3,0,0,0,13,3,6,19,10,8,21,5,0,0,62,0,0,0,0,0,3,0,0,0,10,11,5,6,10,14,16,5,0,0,57,15,6,12,14,19,17,7,0,0,93,0,0,0,0,8,4,0,0,0,13,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,7,0,0,0,5,3,3,0,0,0,6,0,0,9,4,3,12,5,0,0,35,0,0,9,0,4,7,3,0,0,25,0,0,4,12,16,11,0,0,0,42,0,0,4,19,25,22,9,0,0,80,0,11,17,19,22,45,9,0,0,123,0,0,0,0,0,0,0,0,0,7
UCL115133,4,0,0,3,9,0,4,0,0,15,16,14,26,49,68,103,34,0,0,305,0,0,0,5,0,0,7,0,0,9,0,0,3,6,7,8,0,0,0,16,0,0,4,3,9,15,3,0,0,29,0,0,0,3,4,4,4,0,0,11,3,0,8,8,10,27,5,0,0,63,0,0,0,0,3,0,0,0,0,12,7,8,4,8,7,22,14,5,0,64,15,9,12,9,3,24,4,0,0,73,0,0,0,0,0,11,4,0,0,21,0,0,0,0,0,5,3,0,0,9,0,0,3,3,0,5,4,4,0,12,0,0,5,0,9,0,0,0,0,14,0,0,0,4,5,7,10,0,0,18,0,0,0,4,3,7,9,3,0,19,0,0,5,8,0,13,3,0,0,24,0,0,3,7,13,8,0,0,0,34,0,3,15,15,34,47,15,0,0,127,0,0,0,0,4,0,5,0,0,5
UCL115134,6,0,6,0,3,5,0,3,0,17,52,75,152,137,176,178,54,4,0,824,10,22,35,32,26,31,17,3,0,182,0,0,3,0,0,0,0,0,0,11,10,4,8,11,18,12,0,0,0,62,0,4,15,9,7,8,0,0,0,42,5,13,36,16,11,22,10,0,0,121,5,5,6,15,10,9,4,0,0,48,17,21,43,28,30,40,15,0,0,194,33,20,18,22,17,16,6,0,0,134,0,4,11,8,12,30,19,0,0,87,0,3,0,0,4,0,3,0,0,10,0,4,0,3,4,12,0,0,0,19,0,0,0,0,0,0,0,0,0,11,5,9,18,10,17,10,14,0,0,83,0,9,13,4,9,15,0,0,0,47,0,5,18,19,23,27,3,0,0,95,5,13,22,29,45,39,13,0,0,168,7,11,46,41,53,52,23,0,0,228,3,0,0,4,7,7,0,0,0,21
UCL115135,3,3,0,7,3,9,3,0,0,29,26,29,70,88,81,130,44,4,0,468,0,3,3,6,3,7,8,9,0,41,0,5,0,3,0,4,0,0,0,10,0,9,3,4,7,6,5,0,0,31,0,0,4,0,0,0,0,0,0,8,3,5,18,13,15,26,5,0,0,85,0,3,0,0,5,3,3,0,0,16,25,11,6,15,18,28,12,3,0,117,7,9,12,11,7,14,5,0,0,74,0,3,0,5,10,12,10,3,0,37,0,0,0,0,0,4,0,0,0,8,0,0,4,3,3,3,0,0,0,10,0,0,0,0,3,0,0,0,0,12,0,0,6,9,14,10,6,0,0,43,0,0,4,4,3,4,4,6,0,24,0,0,12,16,28,11,4,0,0,75,0,3,15,23,16,20,11,0,0,86,4,5,21,22,17,35,12,0,0,125,0,0,0,0,4,0,0,0,0,7
UCL115136,0,0,5,0,9,0,0,0,0,12,39,41,114,130,123,66,11,0,0,530,0,0,3,0,3,3,3,0,0,17,0,0,0,3,0,3,0,0,0,14,4,0,13,15,19,9,0,0,0,69,0,0,5,7,0,3,0,0,0,16,14,28,70,46,36,14,8,0,0,211,0,3,9,0,17,5,0,0,0,40,12,11,17,16,7,15,4,0,0,89,28,12,3,7,3,4,0,0,0,62,0,0,8,12,12,10,0,0,0,47,0,0,0,0,0,0,0,0,0,4,0,0,4,3,9,7,0,0,0,23,0,0,7,9,0,0,0,0,0,16,0,0,11,17,6,6,0,0,0,45,0,4,8,12,8,9,6,0,0,38,0,4,20,27,19,7,0,0,0,74,3,6,29,23,24,21,0,0,0,113,0,9,23,33,35,19,7,0,0,124,0,3,0,3,5,0,0,0,0,16
UCL115137,3,4,0,3,8,4,0,0,0,25,55,125,231,182,177,145,34,0,0,940,0,10,7,5,8,3,3,0,0,31,0,5,6,12,9,3,0,0,0,38,10,11,43,37,33,32,10,0,0,176,0,0,10,4,11,7,0,0,0,29,26,54,114,61,26,23,10,0,0,326,0,6,21,12,12,9,0,0,0,58,15,20,42,29,28,28,0,0,0,171,34,18,5,8,3,7,0,0,0,83,0,5,13,10,25,14,5,0,0,76,0,0,0,3,0,0,0,0,0,11,0,0,4,0,5,7,0,0,0,21,0,3,20,10,4,4,0,0,0,35,4,11,19,11,18,7,0,0,0,67,0,4,15,7,10,9,0,0,0,55,0,0,32,36,24,24,6,0,0,121,6,20,38,34,35,31,9,0,0,169,4,36,73,45,46,48,13,0,0,269,5,5,7,7,5,4,0,0,0,31
