UCL_CODE_2021,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
UCL114009,42,190,36,74,7,435,58,50,288,102,124,10,634,0,0,3,5,7,0,12,5,0,11,18,45,4,80,0,0,9,12,28,9,58,255,127,879,377,934,73,2654
UCL114010,14,130,30,59,9,282,14,18,80,64,129,13,317,0,0,0,0,4,0,12,4,0,10,6,89,0,107,3,0,7,6,31,15,52,76,54,374,240,963,86,1794
UCL114011,22,44,19,24,0,127,28,5,57,32,93,9,224,3,0,3,3,4,0,12,3,0,6,6,52,0,67,0,0,3,6,30,11,51,59,33,202,151,591,57,1093
UCL114012,20,113,32,29,0,220,44,35,168,53,26,7,342,4,0,4,0,8,0,19,7,0,7,9,51,0,72,3,0,21,5,28,12,72,377,169,878,553,760,61,2789
UCL114013,27,110,29,76,6,279,14,15,71,71,149,8,335,0,0,0,0,12,0,12,0,0,20,13,106,0,138,0,0,5,9,34,7,56,103,61,416,285,1266,82,2210
UCL114014,30,139,29,42,3,316,43,21,123,70,94,5,364,8,3,9,8,14,0,43,9,4,13,18,91,0,139,3,0,12,14,45,12,84,223,106,661,450,1024,67,2529
UCL114015,26,131,34,67,5,280,27,19,100,72,246,13,462,0,0,0,0,6,4,12,3,0,7,15,110,3,133,0,0,4,3,50,10,72,81,56,415,284,1274,92,2198
UCL114016,33,150,35,72,9,322,12,3,78,43,114,5,261,0,0,0,0,9,0,7,0,0,8,11,64,0,89,3,0,4,11,38,11,70,85,60,430,258,1049,80,1963
UCL114017,39,220,44,59,4,460,103,39,280,87,91,10,597,6,4,18,7,22,4,58,3,3,22,22,55,0,106,11,3,32,15,24,22,96,313,128,1095,477,886,92,2990
UCL114018,35,107,34,35,7,248,46,29,186,90,137,10,506,0,0,10,8,13,0,36,3,0,8,19,56,0,88,3,0,13,8,38,8,69,153,116,623,374,1043,76,2380
UCL114019,20,130,25,37,3,239,26,7,83,45,79,9,253,0,0,3,0,8,0,14,0,0,8,13,69,0,98,4,0,3,7,33,13,64,79,53,443,255,769,86,1690
UCL114020,41,137,44,42,3,348,60,26,187,73,114,14,468,5,0,11,6,5,0,37,6,4,15,22,94,0,140,4,0,7,19,40,7,71,282,111,725,462,1158,79,2817
UCL114021,37,152,29,72,6,336,42,21,162,120,197,25,569,6,0,20,6,23,0,58,4,0,9,15,100,3,133,0,0,15,15,41,17,93,139,93,601,398,1268,107,2600
UCL114022,18,63,17,34,6,148,13,15,74,59,121,11,291,0,0,0,8,0,0,9,0,0,6,13,41,3,63,0,0,5,3,28,10,47,58,49,212,206,651,67,1240
UCL114023,8,85,21,18,6,160,12,7,59,60,112,7,255,5,0,13,0,10,0,26,7,0,8,8,51,6,77,0,0,3,6,29,14,53,79,39,321,195,792,79,1508
UCL114024,31,160,38,63,5,312,29,26,100,66,177,15,412,0,0,0,5,7,0,16,0,0,13,16,104,3,132,0,0,9,9,45,13,69,127,82,527,363,1413,99,2611
UCL114025,29,156,33,50,6,328,53,28,150,93,132,15,473,0,3,14,7,12,0,33,0,0,12,14,58,0,83,0,0,20,16,19,9,69,164,88,645,379,858,51,2187
UCL114026,15,92,44,38,0,246,30,13,68,48,92,11,255,0,0,5,5,13,0,25,0,0,9,16,56,0,78,7,0,7,9,43,0,59,141,47,374,326,802,42,1728
UCL114027,12,57,21,23,3,135,11,6,64,45,86,8,230,0,0,3,6,11,0,21,0,0,6,9,50,0,67,3,0,14,3,29,7,53,82,35,312,250,656,44,1380
UCL114028,9,100,25,38,9,196,17,4,49,37,61,5,181,0,3,0,6,27,0,42,0,4,3,7,50,0,73,0,0,6,0,13,9,35,71,36,332,226,791,74,1521
UCL114029,11,85,38,49,5,229,18,14,73,44,73,9,228,0,0,3,3,9,0,11,0,0,3,8,89,3,108,0,0,9,6,50,7,80,79,48,295,305,1053,53,1836
UCL114030,21,74,18,30,0,152,16,7,71,43,91,3,233,0,0,3,6,6,0,17,0,0,0,9,40,0,46,0,0,0,4,16,7,33,50,40,265,187,644,54,1238
UCL114031,8,60,16,42,0,140,11,13,78,68,179,11,360,0,0,3,0,7,0,12,0,0,6,7,74,4,94,0,0,7,8,42,9,63,48,37,261,275,1113,63,1794
UCL114032,4,52,28,32,0,163,20,15,59,60,89,5,249,0,0,0,3,6,0,8,0,0,0,9,51,0,60,0,0,3,9,42,6,60,73,26,225,252,863,47,1487
UCL114033,25,97,24,37,3,197,11,17,72,66,120,8,294,3,0,7,8,11,0,30,3,0,6,8,57,0,68,0,0,6,0,43,16,67,72,63,358,217,948,66,1718
UCL114034,16,78,40,52,3,194,16,14,97,96,259,16,495,0,0,8,3,9,0,23,4,5,6,17,100,3,133,0,0,4,9,44,10,65,38,52,280,323,1240,80,2007
UCL114035,11,79,25,22,5,160,28,17,81,74,83,13,285,0,0,4,0,0,0,9,4,0,7,15,51,3,82,0,5,5,5,22,8,50,105,53,406,295,582,63,1508
UCL114036,25,83,30,22,0,180,23,13,95,60,80,11,280,0,0,3,3,7,0,15,3,0,0,9,38,6,57,6,3,12,5,15,11,50,101,61,389,248,661,69,1517
UCL114037,20,106,25,34,3,215,21,13,90,52,116,11,303,0,0,11,3,8,0,27,5,0,5,13,59,3,84,4,0,6,4,25,12,47,135,83,465,294,834,59,1872
