UCL_CODE_2021,M_0_149_CFNC,M_0_149_CF_C_und15,M_0_149_CFNC_und15,M_0_149_1PF_C_und15,M_0_149_1PFNC_und15,M_0_149_OthF,M_0_149_Tot,M_150_299_CFNC,M_150_299_CF_C_und15,M_150_299_CFNC_und15,M_150_299_1PF_C_und15,M_150_299_1PFNC_und15,M_150_299_OthF,M_150_299_Tot,M_300_449_CFNC,M_300_449_CF_C_und15,M_300_449_CFNC_und15,M_300_449_1PF_C_und15,M_300_449_1PFNC_und15,M_300_449_OthF,M_300_449_Tot,M_450_599_CFNC,M_450_599_CF_C_und15,M_450_599_CFNC_und15,M_450_599_1PF_C_und15,M_450_599_1PFNC_und15,M_450_599_OthF,M_450_599_Tot,M_600_799_CFNC,M_600_799_CF_C_und15,M_600_799_CFNC_und15,M_600_799_1PF_C_und15,M_600_799_1PFNC_und15,M_600_799_OthF,M_600_799_Tot,M_800_999_CFNC,M_800_999_CF_C_und15,M_800_999_CFNC_und15,M_800_999_1PF_C_und15,M_800_999_1PFNC_und15,M_800_999_OthF,M_800_999_Tot,M_1000_1199_CFNC,M_1000_1199_CF_C_und15,M_1000_1199_CFNC_und15,M_1000_1199_1PF_C_und15,M_1000_1199_1PFNC_und15,M_1000_1199_OthF,M_1000_1199_Tot,M_1200_1399_CFNC,M_1200_1399_CF_C_und15,M_1200_1399_CFNC_und15,M_1200_1399_1PF_C_und15,M_1200_1399_1PFNC_und15,M_1200_1399_OthF,M_1200_1399_Tot,M_1400_1599_CFNC,M_1400_1599_CF_C_und15,M_1400_1599_CFNC_und15,M_1400_1599_1PF_C_und15,M_1400_1599_1PFNC_und15,M_1400_1599_OthF,M_1400_1599_Tot,M_1600_1799_CFNC,M_1600_1799_CF_C_und15,M_1600_1799_CFNC_und15,M_1600_1799_1PF_C_und15,M_1600_1799_1PFNC_und15,M_1600_1799_OthF,M_1600_1799_Tot,M_1800_1999_CFNC,M_1800_1999_CF_C_und15,M_1800_1999_CFNC_und15,M_1800_1999_1PF_C_und15,M_1800_1999_1PFNC_und15,M_1800_1999_OthF,M_1800_1999_Tot,M_2000_2199_CFNC,M_2000_2199_CF_C_und15,M_2000_2199_CFNC_und15,M_2000_2199_1PF_C_und15,M_2000_2199_1PFNC_und15,M_2000_2199_OthF,M_2000_2199_Tot,M_2200_2399_CFNC,M_2200_2399_CF_C_und15,M_2200_2399_CFNC_und15,M_2200_2399_1PF_C_und15,M_2200_2399_1PFNC_und15,M_2200_2399_OthF,M_2200_2399_Tot,M_2400_2599_CFNC,M_2400_2599_CF_C_und15,M_2400_2599_CFNC_und15,M_2400_2599_1PF_C_und15,M_2400_2599_1PFNC_und15,M_2400_2599_OthF,M_2400_2599_Tot,M_2600_2999_CFNC,M_2600_2999_CF_C_und15,M_2600_2999_CFNC_und15,M_2600_2999_1PF_C_und15,M_2600_2999_1PFNC_und15,M_2600_2999_OthF,M_2600_2999_Tot,M_3000_3999_CFNC,M_3000_3999_CF_C_und15,M_3000_3999_CFNC_und15,M_3000_3999_1PF_C_und15,M_3000_3999_1PFNC_und15,M_3000_3999_OthF,M_3000_3999_Tot,M_4000_4999_CFNC,M_4000_4999_CF_C_und15,M_4000_4999_CFNC_und15,M_4000_4999_1PF_C_und15,M_4000_4999_1PFNC_und15,M_4000_4999_OthF,M_4000_4999_Tot,M_5000over_CFNC,M_5000over_CF_C_und15,M_5000over_CFNC_und15,M_5000over_1PF_C_und15,M_5000over_1PFNC_und15,M_5000over_OthF,M_5000over_Tot,M_NS_CFNC,M_NS_CF_C_und15,M_NS_CFNC_und15,M_NS_1PF_C_und15,M_NS_1PFNC_und15,M_NS_OthF,M_NS_Tot,Tot_CFNC,Tot_CF_C_und15,Tot_CFNC_und15,Tot_1PF_C_und15,Tot_1PFNC_und15,Tot_OthF,Tot_Tot
UCL112002,47,10,17,3,12,0,89,14,5,4,3,4,0,26,22,8,7,5,5,0,42,23,9,4,4,5,0,55,29,22,15,12,9,0,89,42,42,32,12,24,0,148,63,69,37,19,27,3,213,83,132,36,29,24,4,315,84,167,43,48,26,3,368,133,203,57,33,26,0,458,89,169,46,30,13,0,348,104,214,54,26,30,0,429,39,110,14,5,3,0,168,28,57,15,8,5,0,114,58,132,44,10,9,0,242,54,106,27,3,7,0,204,17,31,21,3,0,0,67,9,16,13,0,0,0,42,46,66,24,12,11,6,163,981,1565,508,271,233,21,3575
UCL112003,59,24,23,3,14,0,130,17,5,9,0,0,0,36,27,13,11,0,11,0,58,24,7,6,10,8,0,48,53,19,18,7,13,0,113,41,41,23,10,9,0,128,59,49,21,16,13,4,161,45,89,41,19,21,0,218,65,90,33,25,24,0,240,89,119,41,20,30,0,307,90,122,35,18,13,0,271,129,202,75,26,25,4,455,76,114,26,15,13,0,238,54,59,20,3,0,0,147,106,153,50,16,17,0,336,126,173,51,4,7,0,365,27,42,12,3,0,0,90,25,26,20,0,0,0,80,66,50,15,12,16,3,167,1174,1405,525,224,237,23,3587
UCL112004,48,18,5,4,0,3,75,13,4,4,0,0,0,25,12,11,8,0,3,0,39,10,8,4,4,0,0,27,18,5,10,4,5,0,38,30,13,10,0,3,0,63,27,17,15,5,9,0,83,41,37,24,3,13,0,117,43,31,13,7,3,0,104,38,50,19,9,11,0,128,34,59,10,12,6,0,115,65,112,33,12,14,0,240,24,71,14,3,8,0,123,31,48,9,9,4,0,101,56,152,37,13,11,0,258,102,199,39,8,7,0,350,47,71,23,7,0,0,152,48,79,33,5,5,0,163,38,53,12,11,10,3,130,714,1036,339,103,124,23,2338
UCL112005,19,9,0,7,6,0,51,6,0,6,0,4,0,15,22,8,9,5,3,0,47,20,4,0,4,0,0,34,26,11,12,9,10,0,76,37,29,22,16,22,0,126,46,54,22,17,28,5,173,89,106,42,47,27,3,311,83,125,36,22,8,4,277,80,122,32,26,10,0,274,37,76,30,8,13,3,174,41,81,34,12,7,0,183,11,29,13,0,0,0,51,5,13,8,0,0,0,27,26,49,11,0,5,0,90,24,53,18,3,3,0,101,8,14,3,3,0,0,30,0,5,0,0,0,0,16,39,34,21,15,11,4,116,614,822,328,215,167,18,2160
UCL112006,29,26,7,0,5,0,75,10,0,4,0,0,0,17,20,11,4,7,11,3,47,19,14,12,3,4,3,66,35,42,11,15,11,0,114,72,71,44,29,13,5,225,84,126,43,48,24,0,329,132,195,47,54,29,6,466,148,206,44,41,13,7,458,117,268,60,35,16,4,500,62,164,34,21,12,0,295,115,193,44,20,10,0,388,28,86,19,12,0,0,150,17,35,18,0,5,0,72,48,112,12,13,10,0,193,52,73,23,3,5,0,158,15,32,9,4,0,0,57,10,17,8,3,0,0,39,58,71,34,28,18,0,214,1072,1749,470,321,187,38,3842
UCL112007,10,6,3,0,0,0,17,0,0,0,0,0,0,0,9,0,0,0,0,0,13,10,0,5,0,0,0,9,7,7,3,0,0,0,23,13,11,4,3,0,0,30,16,22,8,3,0,0,54,17,28,11,7,3,0,69,23,36,17,3,4,0,76,27,47,11,9,0,0,94,14,40,18,0,0,0,71,17,30,14,4,0,0,71,6,15,0,0,0,0,23,5,5,3,0,0,0,13,9,27,8,0,0,0,47,0,22,8,0,0,0,30,3,7,6,0,0,0,17,0,8,0,0,0,0,7,12,15,9,0,0,0,38,207,326,124,33,19,4,710
UCL112008,26,5,6,0,8,0,48,14,0,5,0,0,0,20,21,0,6,3,3,0,30,21,5,4,0,0,0,27,28,9,4,6,10,0,55,54,14,15,8,7,0,98,30,19,9,8,9,0,78,42,25,19,6,3,6,103,26,38,23,13,12,0,109,38,57,15,6,8,0,121,22,55,19,4,8,0,105,46,70,23,12,5,0,155,18,18,14,6,0,0,59,18,23,4,4,4,0,50,28,42,19,4,0,0,89,23,24,13,4,4,0,67,9,17,0,0,0,0,27,11,5,7,0,0,0,15,38,17,11,7,7,0,78,500,440,201,91,92,13,1336
UCL112009,29,13,4,0,5,0,52,14,0,3,0,3,0,23,9,4,10,0,6,0,30,14,10,0,3,3,0,31,24,12,17,4,6,0,62,42,37,19,11,15,0,127,57,71,19,21,17,0,180,59,79,31,29,15,4,214,80,109,27,12,15,6,245,84,112,35,19,21,0,277,48,109,33,10,4,0,209,71,140,33,17,9,0,269,31,52,14,11,6,0,115,25,33,6,0,6,0,60,47,68,20,3,6,0,142,32,62,16,6,8,0,121,11,16,4,0,0,0,39,12,10,4,3,5,0,27,31,30,12,8,8,0,88,721,964,310,152,148,13,2314
UCL112010,15,21,12,6,4,0,55,0,4,5,4,7,0,17,14,8,11,0,5,0,35,7,11,10,0,4,0,34,16,20,14,3,12,0,59,37,44,12,11,8,0,118,33,61,19,9,11,0,136,59,112,40,25,12,0,257,42,104,38,12,4,3,206,44,107,33,11,12,3,206,33,62,15,12,8,6,125,46,78,35,5,8,0,169,13,35,6,0,0,0,60,4,16,10,0,0,0,28,18,41,7,0,4,0,76,19,38,20,3,4,0,84,7,13,9,0,0,0,29,5,12,0,0,0,0,19,28,35,21,9,15,0,110,438,828,317,103,114,17,1818
UCL112011,17,10,10,3,6,3,51,9,4,3,0,0,0,21,13,7,7,0,0,0,34,15,5,10,0,7,0,32,32,10,16,12,8,0,83,42,26,30,13,22,0,128,47,72,32,13,22,0,184,89,116,42,33,21,0,294,64,114,30,22,25,0,259,97,148,39,30,9,0,327,46,116,20,17,5,0,203,72,121,37,20,11,0,257,30,58,11,6,6,0,105,15,37,4,0,0,0,54,35,77,19,3,3,0,136,25,60,15,8,4,0,125,13,11,6,0,0,0,32,10,10,0,0,0,0,20,44,46,14,12,12,0,130,720,1043,352,200,163,20,2496
UCL112012,25,17,19,4,12,0,78,14,8,3,0,10,0,34,17,10,9,8,0,0,44,30,10,13,10,12,0,69,34,17,17,14,19,5,111,60,33,26,16,30,3,169,60,71,28,31,31,0,226,88,145,27,48,39,0,354,75,133,32,45,24,4,312,102,165,42,22,26,6,361,45,109,23,19,21,0,215,78,136,35,26,14,3,282,22,51,10,3,6,0,88,13,17,11,0,4,0,35,27,34,21,4,8,0,87,26,39,11,3,6,0,81,9,12,0,6,0,0,19,0,9,4,0,0,0,16,34,35,16,12,18,3,122,748,1037,354,271,270,23,2696
UCL112013,4,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,9,0,4,3,0,22,3,12,0,0,3,0,23,12,20,4,0,0,0,39,3,22,4,3,3,0,37,10,24,0,0,0,0,37,12,21,5,0,0,0,42,3,16,0,0,0,0,21,11,14,3,0,0,0,30,0,4,0,0,0,0,9,4,0,0,0,0,0,3,0,9,3,0,0,0,18,4,4,0,0,0,0,16,3,3,0,0,0,0,10,4,4,0,0,0,0,3,11,4,0,0,0,0,13,97,177,33,10,10,0,333
UCL112014,34,21,13,3,8,0,68,10,4,3,0,0,0,19,19,5,6,0,6,0,41,19,10,3,0,5,0,34,23,11,14,3,8,4,62,22,21,19,4,5,5,80,25,38,23,6,8,0,106,67,37,27,5,26,0,160,48,72,31,11,16,4,181,56,92,35,18,16,0,221,54,84,32,5,3,0,179,101,144,49,14,9,0,314,44,87,12,6,6,3,157,25,44,16,6,0,0,83,68,125,34,11,11,0,239,44,96,33,9,5,0,190,23,26,16,0,0,0,62,9,11,11,0,0,0,39,42,51,27,12,12,0,141,726,962,403,115,149,18,2373
UCL112015,38,23,14,0,6,0,86,21,3,0,0,0,0,30,34,7,12,3,13,0,68,20,8,0,0,5,0,33,46,26,16,7,5,0,106,53,33,35,15,15,4,161,68,61,23,14,27,0,192,68,102,43,34,38,3,284,80,75,24,28,27,0,236,80,155,52,35,23,0,338,72,155,24,17,8,0,280,79,171,34,23,10,0,324,42,90,19,13,6,0,169,23,50,4,8,0,0,91,60,87,27,11,8,0,189,49,82,16,7,3,0,164,23,12,13,3,0,0,46,8,10,7,0,0,0,20,50,55,19,14,9,4,150,918,1205,379,242,217,18,2981
UCL112016,40,18,11,4,7,0,83,16,3,4,3,0,0,22,26,8,6,4,6,0,51,18,21,5,3,4,3,59,47,52,7,20,3,3,134,55,63,23,22,17,0,185,72,108,34,22,21,0,261,98,175,50,31,30,0,394,129,222,50,37,25,0,469,147,269,47,42,33,0,538,91,223,39,31,15,3,409,100,253,58,17,11,0,438,48,118,21,10,4,0,197,23,68,9,0,0,0,101,61,134,32,9,5,3,244,60,113,47,10,7,0,238,13,56,14,3,5,0,87,21,36,0,5,0,0,66,52,70,38,13,14,0,188,1115,2021,503,284,220,27,4164
UCL112017,80,27,19,4,8,3,132,21,8,11,4,3,0,43,42,17,8,0,10,0,79,30,21,8,4,11,0,70,55,26,18,10,11,0,121,61,48,33,7,19,0,168,74,55,36,32,14,0,217,72,74,40,30,30,0,259,101,125,42,27,22,0,318,109,175,60,37,29,0,412,97,159,33,27,12,0,325,145,266,74,25,22,0,522,63,122,34,22,5,6,248,29,75,19,12,8,0,137,94,181,50,10,13,3,354,92,186,42,13,4,0,347,26,51,22,5,5,0,105,26,35,4,0,0,0,69,52,60,29,12,13,0,163,1268,1711,584,276,240,21,4096
UCL112018,25,18,6,5,0,0,50,5,6,0,0,5,0,16,14,8,8,4,5,0,40,20,3,11,3,0,0,41,54,26,15,10,13,5,129,91,60,33,31,24,0,245,112,124,42,55,18,3,360,117,150,51,40,23,0,382,94,156,46,36,24,3,356,90,178,49,33,23,9,380,49,91,23,12,8,0,182,63,109,39,9,8,0,226,16,38,10,5,0,0,74,11,17,8,0,0,0,30,24,46,30,0,3,0,110,27,43,21,3,0,0,95,3,15,9,0,0,0,33,9,7,0,0,0,0,15,48,39,18,5,7,5,118,873,1152,402,257,182,30,2888
UCL112019,52,29,20,6,13,5,119,17,3,7,0,7,0,39,34,18,16,11,7,0,86,30,13,8,8,9,0,68,63,42,19,15,16,4,154,90,93,49,37,35,3,300,144,183,70,56,29,3,485,199,308,72,71,44,9,699,142,268,71,54,44,0,575,153,270,80,32,28,8,568,89,167,45,20,20,0,344,109,197,97,16,13,3,441,33,77,13,8,3,0,138,14,48,18,0,0,0,73,57,122,46,11,5,3,244,44,141,53,7,8,0,258,35,39,17,0,4,0,104,16,30,18,0,0,0,61,74,71,49,23,6,4,233,1390,2120,754,379,301,39,4984
UCL113001,21,10,3,5,3,0,50,8,0,7,0,0,0,20,16,4,0,0,0,0,16,15,6,0,0,0,0,17,17,4,5,6,7,0,39,25,3,11,7,8,0,49,28,18,5,6,8,0,72,32,27,13,5,16,0,84,17,39,7,14,11,0,87,36,42,23,11,13,0,129,31,54,14,4,7,0,97,42,56,21,6,9,0,136,24,38,12,5,9,0,85,7,22,6,0,0,0,34,31,57,12,9,4,0,113,34,45,18,7,6,3,115,14,17,5,0,0,0,36,5,9,0,0,0,0,18,42,23,4,7,10,0,84,449,478,164,92,105,12,1297
UCL113002,20,3,4,0,0,0,33,3,0,7,0,6,0,16,13,10,3,4,3,0,29,11,3,4,0,4,0,20,16,0,3,6,4,0,34,21,7,4,6,8,0,49,26,9,3,5,12,0,53,29,25,16,8,9,0,79,36,24,10,9,10,0,89,37,27,14,10,9,0,100,22,19,8,12,0,0,63,33,27,13,6,4,0,77,14,18,3,0,4,0,38,8,3,3,0,0,0,16,19,18,10,7,0,0,53,7,17,6,0,8,0,37,12,3,4,0,0,0,13,4,0,4,0,0,0,5,14,7,6,0,3,0,37,341,218,120,78,68,7,840
UCL113003,28,7,5,7,8,0,53,15,4,3,8,3,0,34,40,24,17,16,21,0,125,39,31,17,19,11,0,130,74,83,24,28,19,0,239,78,90,20,26,17,0,240,65,94,38,24,21,0,236,49,70,30,5,4,0,166,33,47,24,7,8,0,112,24,37,18,6,0,0,83,10,19,0,4,4,0,34,27,23,4,4,3,0,65,4,0,0,0,0,0,8,4,0,3,0,0,0,5,9,12,4,0,0,0,18,4,9,0,0,0,0,27,0,0,0,0,6,0,10,0,4,0,0,0,0,3,33,26,16,20,5,0,104,536,588,226,183,142,14,1688
UCL113004,16,5,3,0,0,0,28,9,0,0,0,4,0,8,6,0,0,0,7,0,15,4,0,0,0,0,0,8,4,4,0,4,0,0,8,3,3,4,3,0,0,18,12,6,4,0,0,0,22,11,8,5,4,3,0,29,8,10,0,5,5,0,29,14,19,3,4,0,0,34,6,12,7,0,0,0,14,24,28,9,5,5,0,74,10,15,0,0,0,0,26,11,11,8,0,0,0,27,16,34,6,4,0,0,60,21,61,21,8,5,0,106,11,35,9,3,0,0,55,28,42,4,8,4,0,87,10,19,8,7,4,0,54,210,298,88,55,46,3,701
UCL113005,23,3,6,3,4,0,37,8,0,0,0,0,0,11,14,0,4,0,4,0,22,16,3,3,6,6,0,39,36,22,10,7,18,0,96,44,36,19,23,14,0,138,59,92,18,31,14,0,202,73,97,24,23,16,0,239,48,69,15,18,10,0,168,40,85,21,20,8,4,184,16,43,10,5,4,0,78,34,57,16,11,4,0,117,4,8,0,7,0,0,18,5,4,3,0,0,0,8,9,21,7,3,4,0,34,14,10,0,0,0,0,32,0,8,6,0,0,0,18,0,3,0,0,0,0,10,23,19,7,12,4,0,69,463,589,177,166,122,12,1523
UCL113006,5,8,0,0,5,0,21,8,0,0,0,0,0,7,9,4,3,0,5,0,18,9,5,0,0,3,0,21,14,11,5,9,9,0,55,14,25,12,6,15,4,84,36,35,26,22,13,0,127,31,51,12,21,8,0,129,23,41,12,8,3,0,81,27,23,9,15,13,0,80,9,11,10,5,0,0,31,9,14,8,3,0,0,37,8,4,0,6,0,0,15,0,0,0,0,0,0,3,7,3,5,0,0,0,19,0,3,0,3,0,0,9,0,0,0,0,0,0,0,3,0,0,0,0,0,6,10,18,9,3,4,3,48,230,258,107,101,83,14,792
