UCL_CODE_2021,R_1_74_LT_Real_estate_agent,R_1_74_LT_Ste_terr_hsg_auth,R_1_74_LT_com_hou_pro,R_1_74_LT_Psn_not_Sme_hhd,R_1_74_LT_Other_Lld_type,R_1_74_LT_Lld_type_ns,R_1_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_com_hou_pro,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_com_hou_pro,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_com_hou_pro,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_com_hou_pro,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_com_hou_pro,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_com_hou_pro,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_com_hou_pro,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_com_hou_pro,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_com_hou_pro,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_com_hou_pro,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_com_hou_pro,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_com_hou_pro,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_ovr_LT_com_hou_pro,R_950_over_LT_Psn_not_Sme_hhd,R_950_over_LT_Other_Lld_type,R_950_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_com_hou_pro,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_com_hou_pro,Tot_LT_Psn_not_Sme_hhd,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
UCL112002,4,14,12,0,0,0,33,0,30,10,0,0,0,51,29,152,23,22,0,0,233,131,78,14,47,10,0,273,141,69,14,72,5,0,295,366,33,14,98,8,5,517,937,55,25,198,21,0,1235,1137,20,9,131,10,4,1303,399,0,0,38,0,0,439,38,0,0,10,0,0,46,3,0,0,4,0,0,9,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,6,47,25,9,39,16,23,154,3227,496,109,661,71,30,4592
UCL112003,0,3,0,5,0,0,12,0,6,5,0,0,0,14,9,9,11,15,0,0,38,11,56,82,24,8,5,192,27,6,21,33,10,0,89,77,7,43,60,5,5,198,238,17,27,117,4,0,398,694,3,25,170,8,0,910,500,5,5,66,3,0,578,134,0,0,16,4,0,154,42,0,0,9,0,0,43,18,0,0,0,0,0,21,6,0,0,0,0,0,7,0,0,0,0,0,0,0,22,8,21,42,5,8,99,1766,123,242,544,46,20,2742
UCL112004,0,4,0,0,0,0,3,0,0,0,0,0,0,8,3,5,8,8,7,0,34,19,34,41,15,11,3,117,5,9,16,12,3,0,53,26,20,20,18,7,0,90,107,11,10,39,5,0,170,289,11,23,71,3,0,398,319,10,9,50,4,0,390,309,0,0,29,3,0,346,128,0,0,16,0,0,153,50,0,0,9,0,0,59,22,0,0,6,0,0,29,37,0,0,10,0,0,43,20,9,3,21,7,0,59,1345,111,136,300,55,10,1959
UCL112005,0,0,4,0,0,0,5,0,4,6,3,0,0,12,6,38,7,31,4,4,83,36,89,20,26,19,0,191,46,27,3,45,4,0,127,206,59,17,45,3,3,329,726,50,18,107,18,3,916,755,43,8,95,3,4,899,93,0,0,15,0,0,109,13,0,0,0,0,0,13,5,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,28,15,9,18,8,7,81,1913,318,93,384,53,19,2785
UCL112006,0,21,5,4,0,0,26,3,25,5,4,0,0,42,30,192,13,25,10,6,281,164,107,45,58,19,4,392,146,56,30,67,4,4,307,489,66,20,127,16,6,720,987,43,26,235,33,7,1322,1165,22,26,202,38,4,1465,250,4,4,43,5,3,312,45,0,0,10,0,0,56,6,0,0,0,0,0,11,6,0,0,0,0,0,5,0,0,0,0,0,0,7,3,0,0,0,4,0,10,70,45,0,43,22,7,189,3367,571,184,819,153,46,5134
UCL112007,0,0,12,3,3,0,18,0,0,0,0,0,0,0,0,0,7,0,4,0,10,5,0,3,10,11,0,28,20,0,0,7,0,0,26,58,3,0,13,3,0,76,83,0,0,22,3,0,114,104,6,0,16,8,0,129,61,0,0,6,0,0,65,5,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,5,0,0,4,5,0,18,337,12,24,92,39,3,501
UCL112008,6,0,3,3,0,0,9,0,3,4,0,0,0,10,3,13,11,13,10,0,55,34,74,73,28,17,9,231,59,23,22,32,3,0,145,179,28,20,62,8,0,295,413,12,19,107,16,0,569,494,13,12,123,9,3,650,279,0,0,37,3,3,329,60,0,0,6,0,0,70,16,0,3,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,16,6,23,0,8,73,1570,179,177,442,68,23,2456
UCL112009,5,14,0,4,0,0,19,0,38,3,3,0,0,46,21,186,17,23,5,0,255,67,101,58,27,10,0,268,69,25,4,42,6,0,151,207,30,12,59,6,0,319,570,63,5,120,21,5,780,793,16,10,132,14,4,967,172,3,0,23,9,0,209,18,0,0,10,0,0,24,4,0,0,0,0,0,5,0,0,0,0,0,0,3,3,0,0,0,0,0,3,3,0,0,0,0,0,4,36,29,6,31,7,7,115,1969,508,117,476,70,18,3157
UCL112010,0,11,3,4,0,0,15,4,11,0,4,0,0,19,21,72,4,27,16,0,142,75,80,35,59,27,6,277,106,43,11,42,12,0,216,248,34,12,75,25,0,404,433,11,9,104,20,4,586,534,9,0,103,25,0,677,85,0,0,28,14,0,129,13,0,0,4,0,0,21,6,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,16,11,30,10,8,104,1562,287,82,485,149,28,2597
UCL112011,6,5,0,3,0,0,10,0,5,0,3,0,0,4,7,20,3,11,3,0,43,20,52,17,17,3,0,112,49,19,0,22,0,0,94,118,24,7,43,0,4,202,424,22,6,95,14,0,566,629,33,3,63,10,0,737,256,3,0,11,0,0,271,13,0,0,3,0,0,16,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,20,14,3,22,0,9,68,1550,196,43,301,35,15,2131
UCL112012,0,11,6,3,3,0,23,0,16,0,5,0,0,20,11,188,26,34,7,4,270,66,74,87,45,25,3,301,107,16,29,72,47,6,287,273,39,34,129,39,10,520,561,36,23,226,18,4,863,667,15,8,256,16,4,959,238,6,0,68,3,4,315,64,0,0,27,0,0,91,11,0,0,8,0,0,20,0,0,0,0,0,0,8,3,0,0,0,0,0,3,0,0,0,4,0,0,6,33,28,8,23,10,9,119,2033,426,230,901,175,37,3795
UCL112013,0,0,0,0,6,0,6,0,0,0,0,0,0,0,3,0,0,0,4,0,4,16,0,5,3,0,0,29,8,3,0,14,0,0,26,9,0,5,4,0,0,16,20,0,0,4,0,0,30,26,0,0,0,5,0,31,3,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,86,3,13,28,17,0,157
UCL112014,0,0,0,7,0,0,10,0,0,0,0,3,0,7,0,11,7,9,10,0,45,10,13,5,28,11,0,67,29,7,12,28,7,4,79,75,6,3,36,6,0,130,201,3,4,82,7,0,310,652,0,0,120,13,0,786,411,0,3,57,0,0,473,76,0,0,8,0,0,87,12,0,0,0,0,0,14,5,0,0,0,0,0,3,4,0,0,0,0,0,4,5,0,0,0,0,0,5,36,5,5,23,11,5,68,1519,52,38,395,72,12,2083
UCL112015,3,4,10,3,0,0,20,0,18,10,0,0,0,31,5,51,59,16,5,5,141,43,157,147,27,12,0,388,77,65,43,48,11,0,242,196,118,95,52,149,6,614,531,108,99,138,50,5,928,1040,37,41,185,29,8,1340,505,5,10,64,6,0,588,80,0,0,8,4,0,93,15,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,3,0,6,3,0,0,3,0,0,9,39,53,23,31,19,12,172,2537,620,539,574,287,34,4588
UCL112016,0,21,4,7,0,0,29,0,39,10,0,5,0,52,26,219,26,22,5,0,294,69,167,43,37,9,8,329,118,52,21,68,9,0,269,384,77,22,98,18,0,599,845,70,24,153,22,5,1115,1231,26,13,137,10,7,1420,599,4,0,47,5,0,659,118,0,0,10,0,0,138,15,0,0,6,0,0,19,0,0,0,3,0,0,7,0,0,0,0,0,0,3,11,0,0,8,3,0,18,68,74,8,30,14,15,212,3484,738,178,628,99,32,5158
UCL112017,3,6,7,0,5,0,25,7,4,3,4,4,0,23,3,36,48,22,14,9,124,19,122,170,28,30,3,374,48,34,30,51,4,0,167,255,54,69,91,11,6,478,717,36,62,165,12,10,1000,1545,29,73,330,33,0,2018,1041,4,8,140,4,4,1207,301,3,0,43,0,0,354,99,0,0,14,3,0,118,22,0,0,3,0,0,28,12,0,0,4,0,0,17,7,0,3,5,4,0,19,66,27,29,43,15,14,194,4149,358,501,952,146,40,6140
UCL112018,0,15,3,4,0,0,27,8,15,5,0,5,0,34,27,65,25,37,8,5,167,195,143,62,55,10,6,469,247,57,22,87,9,4,433,623,135,44,132,7,16,958,1295,106,33,251,16,5,1699,1166,24,13,170,23,8,1401,128,3,0,23,3,0,161,24,0,0,6,0,0,39,6,0,0,3,0,0,10,3,0,0,6,0,0,3,0,0,0,0,0,0,3,3,0,0,0,4,0,5,56,51,13,33,5,24,188,3792,610,225,813,91,67,5595
UCL112019,6,25,5,6,3,0,42,3,63,10,7,0,0,82,36,302,26,31,19,4,420,358,175,59,84,13,5,696,378,75,33,98,12,0,600,654,124,20,182,71,3,1053,1457,47,16,285,47,0,1853,1123,13,9,170,30,3,1355,323,4,4,36,3,0,366,59,0,0,11,3,0,67,13,0,3,3,0,0,19,4,0,0,0,0,0,4,5,0,0,0,0,0,3,8,0,0,5,0,0,9,69,51,8,51,23,16,231,4494,882,191,967,231,36,6801
UCL113001,0,9,3,0,0,0,19,0,11,0,0,0,0,15,6,229,23,18,14,3,285,7,65,31,13,18,3,128,5,30,7,18,15,0,72,28,39,9,28,27,0,142,168,35,8,88,38,5,333,458,18,9,111,15,0,604,381,12,8,81,9,0,488,231,0,0,50,0,0,288,120,0,0,13,0,0,144,19,0,0,6,0,0,25,0,0,0,0,0,0,0,0,0,0,8,0,0,3,24,31,9,21,5,4,90,1447,474,101,449,145,21,2642
UCL113002,0,4,0,0,0,0,5,0,4,3,0,0,0,9,0,62,3,7,5,0,83,14,33,22,26,12,0,96,26,17,8,18,0,0,77,110,23,26,55,5,4,226,245,16,11,65,13,4,361,385,9,9,94,12,4,516,124,3,0,35,5,0,161,26,0,0,7,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,19,4,12,6,3,63,958,189,85,322,67,15,1634
UCL113003,0,13,0,9,26,0,46,7,10,11,8,19,0,55,29,12,7,69,17,4,129,158,32,28,126,31,0,377,125,19,9,113,27,0,290,211,22,8,117,19,0,381,151,9,0,67,5,0,237,79,5,0,26,6,0,116,11,0,0,0,0,0,12,0,0,0,6,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6,0,32,16,6,74,777,116,72,568,176,22,1724
UCL113004,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,6,0,0,15,0,23,0,23,35,8,11,0,86,0,7,7,19,9,0,40,7,6,11,22,14,0,57,10,4,11,24,20,0,71,24,3,8,53,20,0,116,61,0,0,51,3,0,115,137,4,0,66,7,4,213,138,0,3,56,3,0,197,92,0,0,48,4,0,147,78,0,0,29,0,0,108,115,0,0,70,0,0,187,25,3,8,27,10,6,68,688,53,83,471,116,9,1428
UCL113005,0,5,3,0,0,0,7,0,7,3,0,0,0,15,10,101,15,20,5,4,149,57,45,59,46,25,5,226,68,26,5,60,7,5,173,207,29,11,112,14,9,382,423,15,7,200,21,5,671,401,3,18,89,16,6,529,75,0,0,11,4,0,95,14,0,0,0,0,0,15,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,22,27,11,23,8,4,84,1286,254,131,559,99,30,2355
UCL113006,0,0,4,0,0,0,8,0,4,5,0,0,0,8,8,8,14,12,0,0,36,32,47,57,30,11,0,176,58,21,32,25,6,5,148,122,24,31,47,16,0,241,231,20,16,71,7,0,344,215,14,21,40,14,0,298,16,0,0,0,0,0,18,5,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,15,6,13,8,3,60,697,163,184,244,59,12,1350
UCL113007,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,5,5,4,0,0,8,5,9,0,8,0,0,28,4,5,6,13,3,0,27,9,4,0,9,0,0,30,40,4,7,27,4,0,78,144,0,0,62,3,0,206,228,4,0,49,4,0,287,185,0,0,30,0,0,212,76,0,0,15,0,0,89,16,0,0,6,0,0,22,5,0,0,0,0,0,8,5,0,0,3,0,0,11,6,0,4,11,4,0,26,733,36,24,235,13,9,1040
UCL113008,0,11,0,3,0,0,18,0,25,0,3,0,0,31,13,134,11,17,0,4,182,32,51,8,27,10,0,125,59,20,5,30,4,0,121,205,23,12,35,4,0,278,376,29,4,48,3,0,461,181,3,0,23,3,0,211,25,0,0,0,0,0,27,3,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,23,3,11,3,0,50,914,325,38,207,31,9,1516
UCL113009,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,4,4,0,0,10,0,0,11,9,8,0,4,98,0,115,18,5,0,9,28,0,56,159,0,0,28,4,0,198,187,0,0,15,4,0,208,92,0,0,6,0,0,89,21,0,0,0,0,0,21,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,3,9,0,29,506,12,0,87,147,0,754
UCL113010,0,0,0,3,4,0,11,0,6,0,0,0,0,5,3,17,6,4,4,0,37,19,40,19,26,5,0,107,18,16,7,12,5,0,63,58,28,10,21,0,3,117,206,48,5,42,9,0,299,389,10,4,66,5,3,475,289,0,0,26,6,0,318,54,0,0,4,0,0,57,11,0,0,0,0,0,9,0,0,0,0,0,0,0,6,0,0,0,0,0,6,4,0,0,0,0,0,5,21,13,0,10,11,3,57,1082,170,53,208,42,9,1564
UCL113011,0,0,0,0,0,0,9,0,4,0,4,0,0,8,7,27,9,4,0,0,50,52,80,25,18,8,0,184,61,27,9,21,0,0,123,140,29,10,45,6,0,236,244,46,15,52,7,0,360,323,9,0,45,5,0,383,65,3,0,6,0,0,74,4,0,0,4,0,0,7,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,16,11,0,8,5,7,46,922,227,75,216,33,8,1486
UCL113012,0,0,3,5,0,0,11,0,0,0,0,4,0,7,0,8,24,8,14,3,57,6,22,24,3,3,0,62,22,5,6,22,0,5,54,56,7,8,24,39,0,142,174,6,4,50,12,0,252,418,0,0,65,4,0,490,289,0,0,43,3,0,332,97,0,0,10,0,0,116,40,0,0,7,0,0,48,4,0,0,0,0,0,4,0,0,0,0,0,0,3,4,0,0,0,0,0,4,13,3,4,13,15,3,55,1137,67,72,237,98,17,1629
UCL113013,0,6,0,0,0,0,8,0,0,0,0,0,0,6,3,36,16,6,3,0,58,8,99,34,11,8,0,160,8,39,6,11,6,0,66,67,93,23,32,42,6,259,388,106,44,79,15,5,627,467,51,21,74,34,0,641,153,0,0,15,11,0,179,4,0,0,0,0,0,9,3,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,17,3,15,3,6,67,1128,442,147,246,125,14,2097
