UCL_CODE_2021,F_Chile_0_4,F_Chile_5_14,F_Chile_15_24,F_Chile_25_44,F_Chile_45_54,F_Chile_55_64,F_Chile_65_74,F_Chile_75_84,F_Chile_85ov,F_Chile_Tot,F_China_0_4,F_China_5_14,F_China_15_24,F_China_25_44,F_China_45_54,F_China_55_64,F_China_65_74,F_China_75_84,F_China_85ov,F_China_Tot,F_Croatia_0_4,F_Croatia_5_14,F_Croatia_15_24,F_Croatia_25_44,F_Croatia_45_54,F_Croatia_55_64,F_Croatia_65_74,F_Croatia_75_84,F_Croatia_85ov,F_Croatia_Tot,F_Egypt_0_4,F_Egypt_5_14,F_Egypt_15_24,F_Egypt_25_44,F_Egypt_45_54,F_Egypt_55_64,F_Egypt_65_74,F_Egypt_75_84,F_Egypt_85ov,F_Egypt_Tot,F_England_0_4,F_England_5_14,F_England_15_24,F_England_25_44,F_England_45_54,F_England_55_64,F_England_65_74,F_England_75_84,F_England_85ov,F_England_Tot,F_Fiji_0_4,F_Fiji_5_14,F_Fiji_15_24,F_Fiji_25_44,F_Fiji_45_54,F_Fiji_55_64,F_Fiji_65_74,F_Fiji_75_84,F_Fiji_85ov,F_Fiji_Tot,F_France_0_4,F_France_5_14,F_France_15_24,F_France_25_44,F_France_45_54,F_France_55_64,F_France_65_74,F_France_75_84,F_France_85ov,F_France_Tot,F_Germany_0_4,F_Germany_5_14,F_Germany_15_24,F_Germany_25_44,F_Germany_45_54,F_Germany_55_64,F_Germany_65_74,F_Germany_75_84,F_Germany_85ov,F_Germany_Tot,F_Greece_0_4,F_Greece_5_14,F_Greece_15_24,F_Greece_25_44,F_Greece_45_54,F_Greece_55_64,F_Greece_65_74,F_Greece_75_84,F_Greece_85ov,F_Greece_Tot,F_Hong_Kong_SAR_Ch_0_4,F_Hong_Kong_SAR_Ch_5_14,F_Hong_Kong_SAR_Ch_15_24,F_Hong_Kong_SAR_Ch_25_44,F_Hong_Kong_SAR_Ch_45_54,F_Hong_Kong_SAR_Ch_55_64,F_Hong_Kong_SAR_Ch_65_74,F_Hong_Kong_SAR_Ch_75_84,F_Hong_Kong_SAR_Ch_85ov,F_Hong_Kong_SAR_Ch_Tot,F_India_0_4,F_India_5_14,F_India_15_24,F_India_25_44,F_India_45_54,F_India_55_64,F_India_65_74,F_India_75_84,F_India_85ov,F_India_Tot,F_Indonesia_0_4,F_Indonesia_5_14,F_Indonesia_15_24,F_Indonesia_25_44,F_Indonesia_45_54,F_Indonesia_55_64,F_Indonesia_65_74,F_Indonesia_75_84,F_Indonesia_85ov,F_Indonesia_Tot,F_Iran_0_4,F_Iran_5_14,F_Iran_15_24,F_Iran_25_44,F_Iran_45_54,F_Iran_55_64,F_Iran_65_74,F_Iran_75_84,F_Iran_85ov,F_Iran_Tot,F_Iraq_0_4,F_Iraq_5_14,F_Iraq_15_24,F_Iraq_25_44,F_Iraq_45_54,F_Iraq_55_64,F_Iraq_65_74,F_Iraq_75_84,F_Iraq_85ov,F_Iraq_Tot,F_Ireland_0_4,F_Ireland_5_14,F_Ireland_15_24,F_Ireland_25_44,F_Ireland_45_54,F_Ireland_55_64,F_Ireland_65_74,F_Ireland_75_84,F_Ireland_85ov,F_Ireland_Tot,F_Italy_0_4,F_Italy_5_14,F_Italy_15_24,F_Italy_25_44,F_Italy_45_54,F_Italy_55_64,F_Italy_65_74,F_Italy_75_84,F_Italy_85ov,F_Italy_Tot,F_Japan_0_4,F_Japan_5_14,F_Japan_15_24,F_Japan_25_44,F_Japan_45_54,F_Japan_55_64,F_Japan_65_74,F_Japan_75_84,F_Japan_85ov,F_Japan_Tot,F_Korea_South_0_4,F_Korea_South_5_14,F_Korea_South_15_24,F_Korea_South_25_44,F_Korea_South_45_54,F_Korea_South_55_64,F_Korea_South_65_74,F_Korea_South_75_84,F_Korea_South_85ov,F_Korea_South_Tot,F_Lebanon_0_4,F_Lebanon_5_14,F_Lebanon_15_24,F_Lebanon_25_44,F_Lebanon_45_54,F_Lebanon_55_64,F_Lebanon_65_74,F_Lebanon_75_84,F_Lebanon_85ov,F_Lebanon_Tot,F_Malaysia_0_4,F_Malaysia_5_14,F_Malaysia_15_24,F_Malaysia_25_44,F_Malaysia_45_54,F_Malaysia_55_64,F_Malaysia_65_74,F_Malaysia_75_84,F_Malaysia_85ov,F_Malaysia_Tot
UCL112002,0,0,0,6,0,0,4,3,0,8,0,6,0,21,4,8,6,0,0,54,0,0,0,5,0,9,0,4,0,16,0,0,0,3,0,0,6,0,0,9,0,4,13,41,53,67,65,56,27,330,0,0,0,5,10,5,4,0,0,23,0,0,0,7,0,0,3,0,0,14,0,0,0,7,0,8,11,11,0,39,0,0,0,0,0,0,0,0,0,7,0,0,0,4,0,0,0,0,0,6,0,16,10,101,8,6,3,0,0,144,0,4,0,3,3,0,4,0,0,18,0,0,0,8,3,0,4,0,0,18,0,0,0,4,0,0,0,0,0,3,0,0,0,5,3,4,9,5,3,36,0,0,0,0,0,0,5,3,7,18,0,0,4,0,12,0,0,0,0,20,0,0,4,12,5,0,0,0,0,16,0,0,0,0,0,0,3,0,0,7,0,0,0,10,11,4,3,0,0,20
UCL112003,0,0,0,8,4,7,8,0,0,37,0,3,14,28,16,17,13,0,0,87,0,0,0,0,0,6,4,7,0,18,0,0,0,0,0,0,12,3,0,15,0,6,14,82,100,209,239,135,55,856,0,0,0,3,0,3,6,3,0,18,0,4,0,13,10,12,12,4,3,51,0,0,0,19,25,20,37,37,9,146,0,0,0,0,0,4,7,4,0,9,0,0,0,16,8,8,8,0,0,37,4,4,9,25,7,10,13,4,0,63,0,0,7,12,5,3,0,4,0,36,0,0,0,3,0,6,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,5,0,7,7,7,13,10,4,52,0,0,0,5,9,6,14,4,3,39,0,0,0,11,13,9,9,0,0,45,0,0,5,8,12,9,0,0,0,32,0,0,0,3,0,5,0,0,0,9,0,0,0,9,11,12,5,0,0,41
UCL112004,0,0,0,5,0,4,6,0,0,13,0,4,0,20,7,16,4,5,0,54,0,0,0,0,0,3,6,0,0,17,0,0,0,0,0,0,0,6,0,8,0,12,17,62,77,120,211,158,73,737,0,0,0,9,0,3,3,3,0,21,0,0,0,6,3,4,3,3,0,25,0,0,0,8,10,8,24,25,5,68,0,0,0,0,0,5,6,3,0,14,0,4,0,11,4,10,3,3,0,32,0,6,7,88,15,10,3,3,3,138,0,0,0,9,0,0,5,4,0,16,0,0,0,6,3,3,0,0,0,10,0,0,0,0,0,3,0,0,0,4,0,0,0,4,3,0,10,3,0,29,0,3,0,5,0,9,7,11,9,43,0,0,0,8,0,0,6,0,0,18,0,0,0,6,3,0,0,0,0,14,0,0,0,3,3,0,5,0,0,7,0,6,0,9,4,4,0,3,0,22
UCL112005,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,4,17,24,42,57,31,16,186,0,0,0,3,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,6,0,0,0,0,7,5,3,9,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,11,0,0,0,16,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,10
UCL112006,0,0,0,0,0,0,0,0,0,0,0,5,5,37,18,9,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,10,5,33,15,48,37,23,9,193,0,3,0,19,5,5,0,0,0,27,0,0,0,6,0,0,0,0,0,7,0,0,0,8,0,0,5,11,0,27,0,0,0,0,0,4,3,4,0,14,0,0,0,8,0,3,6,0,0,15,6,38,9,246,20,19,3,8,0,348,0,0,0,3,0,6,0,0,0,12,0,0,0,7,0,0,0,0,0,9,0,0,0,0,3,0,0,0,0,0,0,4,0,8,0,5,0,0,0,8,0,0,0,6,0,0,5,3,5,13,0,0,0,3,0,0,0,0,0,9,0,0,4,20,0,0,0,0,0,30,0,0,0,0,7,0,3,0,0,20,0,0,0,12,3,4,0,0,0,21
UCL112007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,17,35,18,6,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,0,0,16,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,6,0,0,0,0,0,0,3,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3
UCL112008,0,0,0,0,0,0,0,0,0,4,0,0,0,7,5,3,3,0,0,22,0,0,0,0,0,0,4,3,0,10,0,0,0,5,0,0,0,5,0,7,0,0,4,16,23,54,117,93,49,348,0,0,0,0,0,3,0,3,0,9,0,0,0,9,0,3,3,0,0,16,0,0,0,4,3,0,11,9,9,44,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,17,3,0,0,4,0,32,0,0,0,5,3,0,0,0,0,15,0,0,0,0,0,0,0,0,0,10,0,0,0,4,0,0,0,0,0,4,0,0,0,8,0,3,3,6,4,23,0,0,0,0,0,0,5,6,4,12,0,0,0,0,0,0,0,0,0,4,0,0,0,6,4,0,0,0,0,11,0,0,0,0,0,3,0,0,0,3,0,0,0,0,4,0,7,0,0,6
UCL112009,0,0,0,0,5,0,4,0,0,6,0,0,5,29,7,9,5,0,0,53,0,0,0,0,0,5,4,4,0,11,0,0,0,0,0,0,0,0,0,4,0,4,5,31,23,41,64,44,15,218,0,0,0,12,8,0,0,0,0,21,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,5,10,5,27,0,0,0,0,0,5,0,5,0,14,0,0,0,0,0,0,0,0,0,3,3,6,5,72,4,7,3,0,3,107,0,0,0,7,6,6,0,0,0,18,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,12,0,0,0,0,0,3,3,9,0,14,0,0,0,4,0,0,0,0,0,5,0,0,0,18,0,0,0,0,0,27,0,3,0,3,0,0,0,0,0,3,0,0,0,11,5,5,4,0,0,21
UCL112010,0,0,0,3,0,5,0,0,0,12,0,0,4,21,13,8,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,9,17,13,19,8,10,0,87,0,4,7,22,14,14,5,0,0,79,0,0,0,5,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,7,31,44,493,132,77,26,6,0,823,0,0,0,11,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,3,0,0,0,10,0,0,3,14,8,24,91,135,96,376,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,8,0,0,0,0,0,0,3,0,0,5,0,4,12,81,9,0,0,0,0,109
UCL112011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,19,18,35,33,19,9,141,0,0,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,9,7,4,25,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,19,3,0,0,4,0,28,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
UCL112012,0,0,0,3,0,0,0,0,0,4,0,0,0,22,0,3,4,3,0,29,0,0,0,5,0,0,4,0,0,7,0,0,0,6,0,0,0,0,0,11,0,3,7,37,41,68,57,42,27,291,0,0,0,0,0,0,0,0,0,10,0,0,0,7,0,0,5,5,0,16,0,0,0,9,11,8,14,8,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,3,5,3,37,0,3,7,3,0,62,0,0,0,3,4,0,0,0,0,13,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,10,0,0,0,7,0,3,6,13,13,40,0,0,4,12,9,5,0,0,0,31,0,0,0,15,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,3,0,0,0,18
UCL112013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,8,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
UCL112014,0,0,0,3,0,0,0,0,0,9,0,0,0,7,5,6,3,6,0,22,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,10,0,6,10,27,48,84,69,90,42,376,0,0,0,4,5,0,8,3,0,16,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,6,13,8,6,41,0,0,0,0,0,0,6,0,0,7,0,0,0,4,0,3,0,0,0,11,0,3,5,16,0,0,10,4,4,35,0,0,0,0,0,0,3,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,8,0,0,5,4,4,4,4,0,0,21,0,0,0,10,0,7,8,3,0,18,0,0,0,5,3,0,0,0,0,11,0,0,0,10,3,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,4,3,4,3,18
