UCL_CODE_2021,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
UCL112012,156,8,0,0,0,161,63,7,3,0,0,74,80,12,3,0,0,98,146,23,8,0,0,175,213,18,8,0,0,247,681,61,15,0,0,764,760,27,9,0,0,800,615,20,6,0,0,640,146,0,0,0,0,149,85,0,0,0,0,87,35,0,0,0,0,35,154,8,0,0,0,165,3133,188,61,0,0,3386
UCL112013,11,0,0,0,0,11,5,0,0,0,0,6,5,0,0,0,0,6,24,0,0,0,0,25,33,3,0,0,0,29,87,0,0,0,0,86,83,0,0,0,0,83,60,0,0,0,0,66,19,0,0,0,0,19,14,0,0,0,0,14,12,0,0,0,0,12,19,0,0,0,0,19,368,0,4,0,0,373
UCL112014,111,8,0,0,0,121,47,3,0,0,0,50,42,9,0,0,0,50,78,0,0,0,0,82,93,0,0,0,0,98,297,8,0,0,0,310,435,7,0,0,0,443,697,7,3,0,0,711,342,0,0,0,0,351,201,0,0,0,0,201,102,0,0,0,0,102,152,3,4,0,0,155,2600,49,18,0,0,2668
UCL112015,152,10,3,0,0,171,92,0,0,0,0,92,50,8,0,0,0,56,128,11,4,0,0,144,191,10,3,0,0,209,545,42,4,0,0,588,641,32,3,0,0,681,837,15,3,0,0,859,303,8,0,0,0,309,169,4,0,0,0,172,76,7,0,0,0,82,184,11,0,0,0,203,3372,153,26,4,0,3555
UCL112016,128,10,3,0,0,144,74,3,3,0,0,78,77,7,0,0,0,84,186,6,3,0,0,195,236,10,3,0,0,258,827,41,15,0,0,883,1152,24,0,0,0,1175,1132,7,0,0,0,1139,380,4,0,0,0,384,254,0,0,0,0,254,154,0,0,0,0,160,233,5,4,0,0,242,4836,114,41,0,0,4995
UCL112017,201,34,16,0,5,258,84,23,4,0,0,114,67,17,15,0,0,97,118,37,13,0,0,168,182,28,21,0,0,228,457,96,70,0,0,614,717,109,53,0,0,890,1085,79,36,0,0,1197,497,16,12,0,0,524,337,17,11,0,0,365,176,8,9,0,0,188,178,20,15,0,0,206,4094,465,265,3,6,4839
UCL112018,107,12,0,0,0,117,61,0,0,0,0,66,54,7,0,0,0,61,162,8,0,0,0,175,296,13,0,0,0,315,922,35,4,0,0,959,836,21,3,0,3,865,530,4,0,0,0,537,146,3,0,0,0,150,100,4,0,0,0,105,54,0,0,0,5,63,152,5,0,0,0,162,3440,110,13,3,5,3575
UCL112019,201,10,6,0,0,217,111,5,4,0,0,114,102,0,0,0,0,111,213,4,16,0,0,231,385,4,26,0,0,418,1466,23,33,0,0,1523,1327,20,17,0,0,1361,997,4,8,0,0,1012,327,3,0,0,0,336,279,3,0,0,0,285,160,4,0,0,0,168,302,5,0,0,0,306,5875,81,110,6,0,6079
UCL113001,69,26,3,0,0,96,22,12,3,0,0,35,23,10,3,0,0,34,39,27,3,0,0,60,41,32,8,0,0,74,122,60,16,0,0,200,176,68,25,0,0,276,275,77,21,0,0,372,135,27,6,0,0,167,101,18,4,0,0,126,50,8,3,0,0,60,78,28,4,0,0,109,1123,385,97,6,0,1613
UCL113002,62,0,12,0,0,77,28,5,3,0,0,37,18,4,0,0,0,26,37,9,0,0,0,44,50,7,8,0,0,67,157,10,15,0,0,185,200,20,9,0,0,223,191,14,7,0,0,208,76,0,3,0,0,77,35,4,5,0,0,41,23,0,0,0,0,23,55,3,5,0,0,61,937,69,56,0,3,1059
