UCL_CODE_2021,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4to8_sty_blk_Ds,OPDs_F_ap_I_4to8_sty_blk_Ps,OPDs_F_ap_I_9_m_sty_blk_Ds,OPDs_F_ap_I_9_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
UCL121027,159,447,31,75,24,65,55,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,589,7,..,220,589
UCL121028,350,714,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347,723,488,..,840,723
UCL121029,221,564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,564,19,..,245,564
UCL121030,328,742,3,0,0,0,3,0,11,14,0,0,0,0,0,0,0,0,11,14,0,0,0,0,0,0,0,0,0,0,3,0,350,766,37,..,389,766
UCL121031,333,814,5,14,31,72,37,82,3,13,0,0,0,0,0,0,0,0,3,13,4,0,0,0,0,0,0,0,8,6,0,0,379,912,100,..,476,912
UCL121032,295,608,12,15,0,0,12,15,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,9,0,9,0,0,310,632,43,..,354,632
UCL121033,165,438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,435,7,..,177,435
UCL121034,245,726,6,17,8,28,18,45,24,85,5,6,0,0,0,0,6,16,40,107,0,0,0,0,0,0,0,0,0,0,0,9,300,886,116,..,417,886
UCL121035,369,1078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,367,1079,24,..,393,1079
UCL121036,425,1318,8,15,0,8,6,23,0,0,0,0,0,0,0,0,10,12,10,12,0,0,0,0,0,0,0,0,0,0,0,0,439,1350,19,..,463,1350
