UCL_CODE_2021,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4to8_sty_blk_Ds,OPDs_F_ap_I_4to8_sty_blk_Ps,OPDs_F_ap_I_9_m_sty_blk_Ds,OPDs_F_ap_I_9_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
UCL222097,103,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,314,9,..,110,314
UCL222098,124,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,334,73,..,198,334
UCL222099,80,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,205,8,..,88,205
UCL222100,113,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,0,0,117,214,41,..,155,214
UCL222101,99,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,243,8,..,109,243
UCL222102,165,363,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,170,369,146,..,312,369
UCL222103,70,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,204,4,..,74,204
UCL222104,118,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,289,9,..,125,289
UCL222105,90,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,201,10,..,102,201
UCL231001,146332,381391,443,978,143,344,587,1327,117,207,0,5,0,3,5,14,64,134,189,354,636,943,887,1422,83,158,99,227,1712,2748,393,825,149218,386645,29150,..,178369,386645
UCL279997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
UCL299994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
UCL301001,591786,1708733,29846,51730,69935,154312,99786,206037,34874,58017,34709,60444,30894,55444,30735,54149,1480,2932,132694,230981,891,1182,1393,1904,30,67,269,581,2580,3732,1418,2649,828265,2152135,56848,..,885110,2152135
UCL302001,124465,367316,16232,32148,30921,70944,47150,103096,8807,15639,14563,25872,10016,18333,16038,29157,259,593,49687,89597,751,1070,353,535,3,15,120,254,1225,1872,700,1296,223227,563175,26235,..,249462,563175
UCL302002,73873,199984,8532,14126,8572,17325,17103,31455,5491,9580,3328,5942,5721,10541,1956,3455,202,384,16697,29901,410,652,148,232,18,32,46,92,622,1002,305,583,108603,262920,14701,..,123301,262920
UCL303001,39444,107780,3000,5167,2915,5202,5913,10367,4918,8596,3218,5792,867,1594,414,769,20,50,9440,16804,147,245,170,286,21,23,78,155,414,721,373,640,55588,136304,5936,..,61523,136304
UCL303002,32005,81960,6086,10112,1684,3065,7774,13178,2186,3725,60,83,44,62,31,53,14,23,2332,3941,54,74,25,52,3,12,14,36,103,169,63,139,42276,99382,3760,..,46032,99382
UCL303003,50267,134888,4500,7090,3033,5160,7529,12246,1737,2686,1416,2277,1059,1878,587,1025,15,37,4820,7905,190,299,107,182,21,22,28,59,349,563,168,273,63128,155876,6587,..,69716,155876
UCL311001,16272,41712,1759,2706,419,723,2174,3429,1735,2618,0,0,0,0,0,0,4,5,1738,2622,235,380,40,56,4,8,26,43,299,491,38,74,20520,48330,1562,..,22091,48330
UCL311002,19030,46551,1673,2644,1220,2042,2889,4689,233,385,143,223,293,505,3,13,11,27,687,1154,220,375,159,245,8,8,29,55,414,682,131,263,23163,53341,2282,..,25440,53341
UCL311003,23589,62489,2482,4084,1237,2163,3722,6254,1120,1844,36,57,120,217,185,343,13,30,1476,2494,120,193,204,286,7,9,11,31,338,511,140,236,29265,71978,3022,..,32286,71978
UCL311004,20082,51285,1372,2334,527,841,1894,3175,1123,1801,20,37,22,31,101,177,26,55,1293,2098,33,61,24,34,0,5,11,9,69,106,59,119,23395,56778,2607,..,26006,56778
UCL312001,6983,15359,778,1168,924,1423,1703,2586,266,383,185,266,133,218,0,0,9,16,583,892,110,145,155,209,0,0,4,7,273,362,17,27,9553,19234,1316,..,10871,19234
UCL312002,10728,28176,393,611,639,1131,1033,1740,850,1336,154,213,172,272,89,132,0,0,1266,1951,17,19,28,64,0,0,0,3,49,84,19,34,13089,31989,1966,..,15061,31989
UCL312003,7913,18660,566,739,123,187,689,928,373,530,5,3,5,11,0,0,4,7,383,549,62,86,25,39,0,7,8,5,99,142,18,40,9097,20313,842,..,9947,20313
UCL312004,5938,16089,694,1180,651,1190,1347,2375,579,850,56,86,0,0,0,0,15,35,649,968,15,18,12,24,0,6,5,3,25,44,18,32,7981,19500,421,..,8406,19500
UCL313001,2332,6118,105,224,368,733,479,961,627,1122,257,471,60,113,0,0,0,0,939,1705,46,103,55,128,7,8,5,9,113,254,66,122,3922,9152,730,..,4653,9152
UCL313002,4275,10604,321,484,31,54,354,537,268,461,23,47,140,242,0,0,0,0,432,745,23,54,5,12,0,0,0,0,32,67,10,14,5106,11970,618,..,5728,11970
UCL313003,3939,10428,310,425,50,83,353,509,9,19,0,0,0,0,0,0,0,0,11,13,5,10,0,0,3,4,0,6,11,23,7,12,4321,10990,563,..,4881,10990
UCL313004,3772,10950,307,552,199,361,499,905,387,635,4,6,0,0,0,0,0,0,396,642,8,25,0,0,0,9,4,16,22,56,38,72,4736,12622,943,..,5674,12622
UCL313005,3683,10425,62,88,18,29,78,119,41,82,0,0,0,0,0,0,0,0,41,87,22,40,5,10,0,0,0,8,34,53,3,7,3836,10688,380,..,4217,10688
UCL313006,6694,16366,551,871,210,312,756,1180,221,320,0,0,0,0,0,0,4,3,230,322,3,5,0,0,3,16,12,27,19,41,34,49,7729,17958,660,..,8384,17958
UCL313007,3345,9498,122,201,24,63,146,263,13,27,0,0,0,0,0,0,3,5,18,30,0,0,0,0,0,0,0,3,0,3,4,4,3512,9802,191,..,3703,9802
UCL313008,3291,8364,178,269,8,16,184,288,343,545,0,0,0,0,0,0,0,0,343,545,14,22,0,0,0,6,0,10,15,35,6,20,3848,9248,393,..,4244,9248
UCL313009,4665,13599,873,1548,127,208,1002,1755,250,436,12,20,0,0,0,0,0,3,267,461,59,106,20,37,137,142,14,34,235,323,39,76,6203,16217,1362,..,7566,16217
UCL313010,4855,11731,590,863,42,88,637,951,112,161,0,0,0,0,0,0,0,3,113,163,8,14,3,3,6,13,7,24,21,51,28,53,5651,12952,617,..,6265,12952
UCL313011,2875,9090,149,368,74,186,224,549,0,0,0,0,7,17,0,0,0,0,11,16,0,0,0,0,0,0,0,0,0,0,0,0,3108,9663,176,..,3290,9663
UCL313012,5752,14750,390,572,125,201,511,776,405,657,82,148,104,184,8,14,0,3,607,1008,46,66,24,40,5,6,0,0,76,117,28,69,6978,16721,1089,..,8071,16721
UCL314001,2388,5701,260,382,38,55,297,433,213,311,0,0,0,0,0,0,0,0,213,311,20,40,7,14,4,7,6,10,37,67,22,29,2948,6548,300,..,3251,6548
UCL314002,2657,6214,419,653,69,112,490,758,33,49,0,4,0,0,0,0,0,0,31,56,51,65,0,0,0,0,0,15,55,72,18,33,3256,7139,417,..,3670,7139
UCL314003,2474,6407,414,695,127,255,543,946,10,9,0,0,0,0,0,0,4,4,7,14,23,36,21,31,0,13,0,3,52,79,4,14,3081,7462,294,..,3376,7462
UCL314004,1734,4789,101,199,19,49,124,253,212,395,0,0,0,0,0,0,6,5,213,404,0,0,0,0,0,0,0,0,0,0,3,0,2083,5447,132,..,2214,5447
UCL314005,1732,4425,68,115,13,28,85,142,109,190,0,0,0,0,0,0,13,26,122,214,14,29,5,3,0,0,0,0,23,29,0,7,1967,4818,342,..,2309,4818
UCL314006,2834,7214,384,599,147,289,531,891,0,0,7,15,0,0,0,0,0,0,10,17,74,134,18,30,4,15,10,11,108,197,20,33,3504,8352,531,..,4038,8352
UCL314007,2428,5662,272,497,61,101,329,592,9,13,0,0,0,0,0,0,0,0,9,13,29,64,7,16,0,3,14,27,55,109,3,6,2826,6383,448,..,3281,6383
UCL314008,1779,4647,312,547,30,60,342,605,44,98,0,0,0,0,0,0,0,7,46,99,14,16,0,5,0,0,0,0,14,20,0,0,2184,5377,417,..,2603,5377
UCL314009,2240,7283,6,11,4,21,12,27,7,11,0,0,0,0,0,0,4,19,14,32,0,0,0,0,0,0,0,0,0,0,4,0,2266,7350,87,..,2355,7350
UCL314010,2029,5367,240,493,61,152,293,647,123,283,0,0,0,0,0,0,0,0,123,283,9,9,4,18,0,0,6,11,18,38,11,12,2468,6349,220,..,2685,6349
UCL314011,1665,4290,177,274,27,52,201,325,55,97,0,0,0,0,0,0,0,0,55,97,15,30,0,0,0,0,3,10,17,42,8,10,1947,4759,217,..,2164,4759
UCL314012,1967,5319,58,104,0,10,64,112,48,73,0,0,0,0,0,0,0,0,48,73,0,0,0,0,0,5,0,0,0,8,0,0,2079,5513,181,..,2263,5513
UCL314013,2084,5226,283,523,112,223,395,745,138,271,10,29,17,27,0,0,0,0,171,331,7,13,0,0,0,3,21,52,25,69,7,18,2692,6385,320,..,3006,6385
UCL314014,1555,5036,28,39,15,27,38,64,3,6,0,0,0,0,0,0,13,26,13,31,0,0,0,0,0,0,0,0,0,0,0,7,1611,5147,72,..,1679,5147
UCL314015,1789,5249,0,0,3,12,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,1798,5261,101,..,1897,5261
UCL314016,2750,6918,36,53,6,10,36,66,310,528,0,0,0,0,0,0,0,0,310,528,50,64,0,0,20,28,4,6,68,95,6,14,3183,7619,297,..,3476,7619
UCL314017,2137,6420,156,286,280,507,432,790,28,33,9,19,0,0,0,0,0,0,37,47,0,0,0,0,0,0,3,3,3,3,5,5,2611,7275,1103,..,3707,7275
UCL314018,2124,6601,5,3,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2125,6609,51,..,2179,6609
UCL314019,1634,4367,155,264,31,54,182,325,16,26,0,0,0,0,0,0,7,7,18,33,0,0,0,0,0,0,0,0,0,0,0,4,1843,4728,91,..,1935,4728
UCL314020,2160,5207,191,318,28,59,222,379,13,27,0,0,0,0,0,0,0,0,13,27,0,5,3,4,0,7,3,12,17,30,6,9,2410,5661,577,..,2987,5661
UCL314021,3387,8624,177,288,100,158,273,456,11,13,12,17,15,36,0,0,29,54,66,121,136,184,31,58,0,0,0,4,171,244,9,12,3903,9453,227,..,4131,9453
UCL314022,2819,7101,121,176,20,38,141,208,6,18,7,14,0,0,0,0,4,0,17,34,0,0,0,8,0,6,23,51,27,61,12,25,3008,7428,310,..,3318,7428
UCL314023,3107,8319,52,90,42,57,95,144,224,353,25,34,33,50,0,0,6,3,278,443,71,123,0,0,8,9,0,0,78,135,5,11,3559,9055,410,..,3970,9055
UCL315001,321,793,9,11,25,44,39,58,34,68,20,28,7,14,0,0,0,0,67,117,5,3,0,0,0,0,0,0,4,6,3,0,428,969,260,..,692,969
UCL315002,820,2481,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,5,0,3,829,2494,30,..,861,2494
UCL315003,516,1117,8,8,0,0,12,11,6,12,0,0,0,0,0,0,0,0,6,12,0,4,0,0,0,0,0,0,0,4,5,13,547,1154,127,..,672,1154
UCL315004,215,986,8,12,0,0,8,12,5,14,0,0,0,0,0,0,0,0,5,14,0,0,0,0,0,0,0,0,0,0,0,0,236,1018,80,..,312,1018
UCL315005,404,948,21,29,0,0,21,29,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,8,19,11,23,0,0,435,1002,59,..,500,1002
UCL315006,213,868,30,65,7,32,35,101,8,20,0,0,0,0,0,0,0,0,8,20,0,0,9,9,0,0,3,6,10,17,16,44,286,1041,53,..,337,1041
UCL315007,1174,2816,34,55,10,24,40,83,107,145,0,0,0,0,0,0,5,4,111,148,12,27,0,0,0,0,0,0,19,30,0,0,1341,3077,122,..,1467,3077
UCL315008,1374,3606,20,25,9,12,31,39,73,108,0,0,0,0,0,0,0,0,73,108,0,0,0,0,0,0,0,0,0,0,0,0,1472,3750,695,..,2165,3750
UCL315009,973,2312,83,102,9,6,88,113,0,0,0,0,0,0,0,0,0,0,0,0,26,36,0,0,0,0,0,0,26,36,0,0,1081,2456,104,..,1183,2456
UCL315010,1127,2591,3,4,0,7,3,9,10,24,0,0,0,0,0,0,0,0,10,24,38,47,20,37,0,0,0,0,58,80,3,5,1207,2715,139,..,1340,2715
UCL315011,620,1196,8,8,4,3,7,13,31,53,0,0,0,0,0,0,0,0,26,54,67,89,0,0,0,0,0,0,69,97,0,4,732,1367,153,..,883,1367
UCL315012,1329,3950,19,36,35,72,50,110,0,7,0,0,0,0,0,0,0,6,4,4,30,53,0,0,0,0,0,0,34,53,0,6,1418,4123,118,..,1537,4123
UCL315013,596,1573,59,118,0,0,59,118,3,4,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,658,1697,64,..,722,1697
UCL315014,382,803,54,85,29,51,82,136,43,53,10,24,0,0,0,0,0,4,57,83,14,24,15,15,0,0,0,6,26,38,4,9,552,1063,190,..,741,1063
UCL315015,677,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,683,2013,29,..,709,2013
UCL315016,897,3035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,5,8,0,0,0,0,0,0,0,0,0,0,0,3,899,3044,24,..,924,3044
UCL315017,927,2033,29,43,0,0,29,43,44,63,0,0,0,0,0,0,0,0,44,63,4,15,0,0,0,0,0,6,6,16,9,12,1021,2173,269,..,1286,2173
UCL315018,271,1038,8,20,3,3,8,23,26,47,0,0,0,0,0,0,0,0,26,47,0,0,0,0,0,0,0,0,0,0,0,0,307,1117,12,..,319,1117
UCL315019,454,979,7,13,0,0,7,13,58,80,0,0,0,0,0,0,0,0,58,80,65,70,0,0,0,0,3,8,71,78,30,35,625,1179,66,..,693,1179
UCL315020,656,1599,38,47,68,132,104,180,14,20,0,0,0,0,0,0,0,0,14,20,12,23,0,0,0,0,0,0,12,23,4,4,786,1819,274,..,1063,1819
UCL315021,488,1123,27,34,0,0,27,34,8,12,0,0,0,0,0,0,0,0,8,12,0,0,0,3,0,0,4,5,6,3,0,0,526,1177,44,..,572,1177
UCL315022,705,1915,19,17,4,3,24,30,104,168,0,0,0,0,0,0,0,0,104,168,19,43,7,12,0,0,0,0,26,58,6,13,860,2178,206,..,1064,2178
UCL315023,472,1055,10,13,12,8,23,22,16,26,0,0,0,0,0,0,0,0,16,26,0,0,0,0,0,0,0,4,0,4,0,0,513,1106,314,..,825,1106
UCL315024,533,1357,59,99,18,25,82,128,3,10,0,0,0,0,0,0,5,9,7,15,10,29,0,3,10,14,3,10,27,57,0,10,654,1557,129,..,786,1557
UCL315025,1202,2576,3,4,3,9,5,14,4,10,0,0,0,0,0,0,0,0,4,10,0,0,0,4,34,61,0,0,34,63,5,11,1252,2671,156,..,1408,2671
UCL315026,1131,2896,14,28,22,40,31,69,187,269,0,0,0,0,0,0,5,3,186,274,0,5,0,0,0,5,0,0,6,10,0,0,1356,3247,68,..,1421,3247
UCL315027,682,1460,32,44,0,0,32,44,7,5,0,0,0,0,0,0,0,0,7,5,12,18,3,8,0,0,6,11,24,37,0,5,751,1545,50,..,799,1545
UCL315028,443,1259,4,8,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441,1269,25,..,468,1269
UCL315029,708,2029,6,7,0,0,6,7,0,0,0,0,0,0,0,0,6,10,6,10,6,15,0,0,0,0,0,4,8,20,5,9,732,2071,37,..,768,2071
UCL315030,254,1236,5,6,4,8,3,12,22,62,0,0,0,0,0,0,0,0,22,62,0,0,0,0,0,0,0,0,0,0,3,5,285,1323,56,..,340,1323
UCL315031,746,1897,21,32,28,40,46,75,18,27,0,0,0,0,0,0,0,0,18,27,0,0,0,0,0,0,0,0,0,0,3,8,818,2001,525,..,1337,2001
UCL315032,1684,4083,92,135,9,25,100,156,53,79,0,5,0,0,0,0,0,3,54,81,8,24,0,0,0,3,0,0,15,31,0,6,1853,4352,360,..,2214,4352
UCL315033,538,1102,10,22,0,0,10,22,0,0,0,0,0,0,0,0,0,0,0,0,3,3,33,58,0,0,0,0,40,67,0,3,595,1188,91,..,686,1188
UCL315034,358,1013,10,20,0,0,10,20,3,6,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,4,373,1042,25,..,394,1042
UCL315035,1039,3063,10,10,0,0,10,10,0,8,0,0,0,0,0,0,0,0,6,7,0,0,0,0,0,0,0,0,0,0,0,0,1052,3086,67,..,1117,3086
UCL315036,555,1283,33,51,6,10,37,56,0,6,0,0,0,0,0,0,0,0,0,6,11,15,11,9,0,0,3,10,23,35,5,9,627,1387,133,..,755,1387
UCL315037,1368,3811,21,45,0,0,21,45,0,0,0,0,0,0,0,0,6,10,6,10,0,0,0,0,0,0,0,0,0,0,0,7,1402,3872,74,..,1475,3872
UCL315038,626,1931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,626,1936,16,..,643,1936
UCL315039,86,337,120,461,9,21,135,486,6,13,0,0,0,0,0,0,0,0,6,13,0,0,0,0,0,0,0,3,0,3,10,15,234,853,80,..,317,853
UCL315040,28,62,4,5,0,0,6,4,10,24,0,0,0,0,0,0,0,0,10,24,0,0,13,26,0,0,0,0,13,26,62,120,119,239,23,..,141,239
UCL315041,441,1112,6,17,4,0,11,22,4,3,0,0,0,5,0,0,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,3,464,1143,80,..,544,1143
UCL315042,960,2279,39,67,12,17,50,86,0,4,0,0,0,0,0,0,0,0,0,4,5,7,0,0,0,0,6,15,14,27,18,32,1053,2425,145,..,1194,2425
UCL315043,448,967,0,0,0,0,0,0,29,40,0,0,0,0,0,0,0,0,32,41,0,0,0,0,0,5,0,3,3,4,0,0,479,1015,50,..,525,1015
UCL315044,1523,3483,100,137,42,51,141,184,81,117,8,13,0,0,0,0,0,0,94,131,4,4,0,0,0,0,6,16,10,24,11,21,1779,3841,300,..,2082,3841
UCL315045,997,2690,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,3,5,3,13,0,0,0,0,0,0,8,14,0,8,1008,2723,51,..,1058,2723
UCL315046,727,1947,19,57,0,8,19,66,0,14,0,0,0,0,0,0,0,0,0,14,0,3,7,12,0,0,0,5,10,14,6,9,764,2039,56,..,819,2039
UCL315047,676,1881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,5,5,684,1898,37,..,724,1898
UCL315048,522,1294,70,100,72,110,149,212,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,8,8,0,0,7,13,3,5,688,1519,125,..,807,1519
UCL315049,830,2003,27,50,0,0,27,50,40,89,0,0,0,0,0,0,0,0,40,89,13,15,5,5,0,0,3,17,22,35,0,0,917,2187,87,..,1012,2187
UCL315050,1356,3302,116,154,9,14,120,167,0,3,0,0,0,0,0,0,0,0,0,3,13,26,0,0,0,0,0,0,13,26,57,64,1551,3553,123,..,1670,3553
UCL315051,1496,4081,42,90,57,109,103,197,13,18,0,0,0,0,0,0,6,7,18,27,27,47,28,50,4,3,0,4,63,102,3,8,1676,4413,79,..,1752,4413
UCL315052,1029,3173,94,148,0,6,93,154,0,0,0,0,0,0,0,0,5,7,0,7,0,0,0,0,0,0,0,0,0,0,4,11,1131,3339,57,..,1190,3339
UCL315053,900,2082,47,63,15,29,66,95,33,39,0,0,0,0,0,0,0,0,33,39,17,35,3,14,0,0,5,7,24,58,15,26,1030,2300,216,..,1250,2300
UCL315054,1300,3467,77,142,0,0,76,140,7,14,0,0,0,0,0,0,0,0,7,14,6,5,0,0,0,0,0,0,6,7,0,0,1385,3632,117,..,1501,3632
UCL315055,1558,2895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,4,3,0,3,1565,2911,344,..,1905,2911
UCL315056,598,1438,3,5,5,5,7,3,54,65,0,0,0,0,0,0,0,0,54,65,0,11,0,0,0,0,0,0,0,11,0,0,659,1520,84,..,745,1520
UCL315057,1187,2549,62,85,41,68,100,154,13,26,4,6,0,0,0,0,9,8,22,37,0,0,0,0,0,0,0,0,0,0,4,11,1314,2751,116,..,1438,2751
UCL315058,1095,3262,12,15,0,0,12,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1110,3281,74,..,1187,3281
UCL315059,454,1308,17,29,23,52,44,83,12,22,0,0,0,0,0,0,0,0,12,22,0,0,0,0,0,0,0,0,0,0,0,0,510,1409,40,..,549,1409
UCL315060,743,2299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,8,0,0,746,2309,30,..,778,2309
UCL315061,372,1043,15,23,9,22,27,44,28,41,0,0,0,0,0,0,0,0,28,41,0,0,0,3,0,0,0,0,0,3,0,0,429,1131,338,..,764,1131
UCL315062,388,882,105,177,11,24,112,196,11,15,0,0,3,3,0,0,0,0,13,16,3,5,0,4,0,0,0,3,3,14,10,18,527,1129,190,..,717,1129
UCL315063,480,1172,21,28,0,0,21,28,0,0,0,0,0,0,0,0,0,0,0,3,10,19,7,11,0,0,0,0,19,28,0,3,517,1228,80,..,601,1228
UCL315064,419,1206,18,26,0,0,18,26,7,9,0,0,0,0,0,0,0,0,7,9,0,34,0,0,0,0,0,8,4,40,6,11,448,1288,27,..,478,1288
UCL315065,435,832,3,10,0,0,3,10,8,6,0,0,0,0,0,0,0,0,8,6,6,7,0,0,0,5,0,0,6,13,5,6,454,863,120,..,577,863
UCL315066,1046,2887,10,24,0,0,10,24,0,5,0,0,0,0,0,0,7,3,5,6,0,0,0,7,4,7,0,0,4,10,8,17,1070,2939,53,..,1122,2939
UCL315067,815,1977,7,13,13,29,24,41,16,31,17,31,0,0,0,0,0,0,33,57,9,17,6,3,3,5,0,0,12,27,3,17,890,2117,122,..,1017,2117
UCL315068,532,1348,33,67,6,12,44,83,48,93,0,0,4,0,0,0,0,0,50,88,5,7,0,0,0,0,3,16,10,20,9,23,642,1567,60,..,699,1567
UCL315069,985,1984,14,16,4,4,10,17,9,8,0,0,0,0,0,0,0,0,9,8,0,0,0,0,0,0,7,9,3,8,4,18,1011,2035,267,..,1278,2035
UCL315070,578,1429,14,18,0,0,14,18,20,26,0,0,0,0,0,0,0,0,20,26,0,0,6,0,0,0,0,0,5,6,0,0,614,1478,171,..,781,1478
UCL315071,333,908,0,0,0,4,0,4,12,25,0,0,0,0,0,0,0,0,12,25,17,20,0,0,0,0,0,5,17,22,0,0,369,955,49,..,419,955
UCL315072,336,794,0,9,0,0,0,9,27,66,0,0,0,0,0,0,0,0,27,66,25,38,0,6,0,0,0,0,30,45,7,7,398,922,78,..,475,922
UCL315073,711,1636,0,0,0,0,0,0,40,59,0,0,0,0,0,0,0,0,40,59,0,6,0,0,0,0,0,0,0,6,0,3,758,1707,124,..,881,1707
UCL315074,1241,2803,14,17,0,0,14,17,107,130,0,0,0,0,0,0,0,0,107,130,44,57,3,3,0,6,3,6,50,69,14,23,1429,3043,148,..,1576,3043
UCL315075,401,844,17,31,12,36,33,60,33,45,14,13,0,4,0,0,0,0,46,67,0,0,4,9,0,0,0,3,7,10,3,3,484,988,138,..,622,988
UCL315076,1464,3779,122,183,0,0,122,183,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,6,5,3,0,0,10,13,3,11,1599,3992,142,..,1740,3992
UCL315077,427,1780,3,7,3,9,3,16,40,71,0,0,0,0,0,0,0,0,40,71,0,0,0,0,8,15,3,0,17,22,3,7,491,1899,25,..,514,1899
UCL315078,951,2420,69,101,8,14,75,115,0,3,0,0,0,0,0,0,0,0,0,3,8,8,8,11,0,4,0,6,13,32,0,0,1045,2576,117,..,1159,2576
UCL315079,644,1596,5,10,7,6,10,17,0,0,0,0,0,0,0,0,0,0,0,0,10,16,0,0,0,0,0,8,9,20,0,5,672,1637,62,..,737,1637
UCL315080,771,1942,192,364,254,512,444,879,382,699,13,13,0,0,0,0,0,0,389,714,14,25,17,19,0,0,8,22,43,71,38,63,1684,3662,459,..,2147,3662
UCL315081,1023,2589,69,101,18,24,88,132,181,309,0,0,0,0,0,0,0,0,181,309,12,25,0,0,0,0,7,21,21,42,7,6,1317,3074,136,..,1451,3074
UCL315082,355,776,37,49,45,84,81,134,33,51,15,11,0,0,0,0,0,4,43,69,5,7,4,12,0,0,3,3,12,25,11,7,494,1015,354,..,853,1015
UCL315083,339,973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,344,980,16,..,359,980
UCL315084,767,1847,0,0,6,9,6,9,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,4,13,0,0,4,13,8,20,789,1892,90,..,880,1892
UCL315085,1027,2591,86,143,0,0,86,143,5,9,0,0,0,0,0,0,0,0,5,9,4,6,0,0,0,0,0,0,3,3,9,16,1128,2769,117,..,1245,2769
UCL315086,1739,3285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,0,4,0,6,0,0,10,25,8,15,1760,3332,387,..,2152,3332
UCL315087,822,2648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,16,12,16,0,3,0,0,0,0,0,0,0,3,6,14,842,2684,26,..,864,2684
UCL315088,1070,2725,120,200,3,8,129,209,19,30,0,0,0,0,0,0,0,0,19,30,11,29,0,0,0,0,0,0,11,29,7,19,1231,3016,193,..,1423,3016
UCL315089,834,2076,45,66,5,3,50,74,15,30,0,0,0,0,0,0,0,0,15,30,9,14,3,4,4,4,0,0,17,25,6,10,927,2223,138,..,1060,2223
