UCL_CODE_2021,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
UCL122103,3,0,7,19,38,26,22,47,12,167
UCL122104,0,0,5,86,88,48,67,62,0,355
UCL122105,0,0,0,34,102,45,27,25,6,246
UCL122106,5,0,3,31,26,14,16,83,77,256
UCL122107,6,0,4,51,81,48,47,54,9,283
UCL122108,0,4,6,23,54,29,24,44,32,199
UCL122109,0,0,0,13,20,9,4,31,12,89
UCL122110,7,0,3,56,81,48,30,54,10,287
UCL122111,3,0,3,61,74,51,43,48,10,288
UCL122112,0,0,6,22,75,43,33,66,19,263
UCL122113,0,0,0,29,46,30,28,25,5,167
UCL122114,0,0,11,37,87,34,38,42,15,261
UCL122115,0,0,5,29,62,48,39,40,16,239
UCL122116,0,0,10,51,62,50,41,27,22,252
UCL122117,0,0,0,57,108,44,36,69,13,336
UCL122118,0,0,0,33,70,27,34,50,17,229
UCL122119,0,0,5,53,94,49,29,46,18,289
UCL122120,0,0,6,66,94,65,45,74,20,359
UCL122121,0,0,0,41,71,30,22,38,26,230
UCL122122,3,0,4,71,123,62,57,37,8,365
UCL122123,3,0,5,26,33,28,22,45,13,174
UCL122124,0,0,0,46,65,44,27,22,9,216
UCL122125,5,3,8,18,41,26,22,42,30,184
UCL122126,0,0,5,57,118,53,43,46,13,336
UCL122127,16,4,15,41,68,31,24,65,23,253
UCL122128,3,0,5,22,35,19,28,36,14,166
UCL122129,0,0,10,35,81,44,32,42,14,252
UCL122130,0,0,3,27,55,23,18,32,21,168
UCL122131,0,0,5,71,83,15,5,69,118,363
UCL122132,9,0,13,52,72,34,40,147,38,380
UCL122133,5,0,5,32,39,22,21,71,49,247
UCL122134,0,0,6,70,98,53,32,52,24,316
UCL122135,0,0,3,47,29,23,12,66,27,208
UCL122136,0,0,0,21,14,18,18,57,9,138
UCL122137,11,5,29,32,41,28,31,65,43,234
UCL122138,9,0,16,38,70,35,24,91,28,290
UCL122139,0,0,0,38,61,33,23,56,8,220
UCL122140,0,12,16,17,24,16,17,44,43,168
UCL122141,0,0,6,60,96,49,17,66,20,309
UCL122142,0,0,0,34,43,23,16,41,13,172
UCL122143,0,5,4,25,46,28,16,27,35,177
UCL122144,19,0,28,53,92,34,48,109,20,363
UCL122145,3,0,3,28,48,26,36,43,23,205
UCL122146,4,0,11,37,58,30,18,73,18,230
UCL122147,10,0,10,27,33,21,27,66,21,188
UCL122148,0,0,5,19,42,25,27,49,29,192
UCL122149,0,0,0,53,60,31,26,78,38,281
UCL122150,0,0,4,62,119,54,40,66,24,362
UCL122151,3,0,8,36,48,34,24,59,41,250
UCL122152,3,0,3,40,47,41,47,84,26,285
UCL122153,3,0,7,57,108,53,44,51,17,327
UCL122154,0,0,9,75,132,59,23,39,20,347
UCL122155,7,0,13,77,111,58,44,92,47,415
UCL122156,0,0,5,66,91,39,31,101,15,345
UCL122157,0,0,0,91,92,62,30,65,12,351
UCL122158,19,3,22,30,45,21,22,69,3,188
UCL131001,3337,1114,8221,85047,127993,70757,57770,86886,44501,472950
UCL179997,0,0,0,0,0,0,0,0,0,0
UCL199994,23,19,49,1561,1512,614,402,2643,3376,10112
UCL201001,48597,11248,95489,771675,1018770,421012,286889,1058156,206331,3762827
UCL203001,1331,457,2790,17190,24452,10796,7523,20763,5120,85845
UCL203002,1348,421,2780,16273,23051,10333,7365,19826,4890,81745
UCL203003,2366,490,4583,30083,41794,18122,12307,37877,8335,148516
UCL211001,350,56,671,6030,8372,3768,2555,7925,1688,30334
UCL211002,372,51,591,9445,12577,5697,5432,19410,4396,56958
UCL212001,263,32,404,3445,4744,2074,1580,4514,811,17165
UCL212002,224,120,512,2103,3030,1365,1054,3051,863,11469
UCL212003,543,139,1016,5051,6962,3198,2442,9015,2513,29176
UCL212004,237,63,519,3589,5825,2888,1690,2699,925,17618
UCL212005,712,166,1352,7074,9576,4248,3388,12370,3252,39909
UCL212006,346,51,644,6542,8859,3900,2874,7249,1333,30766
UCL212007,180,80,414,3806,5911,2661,1647,2982,906,17912
UCL212008,370,140,725,4048,6211,2811,2073,5805,1579,22531
UCL212009,470,180,1045,5382,7703,3441,2256,6675,1783,27240
UCL213001,203,148,543,1945,2911,1471,1168,2894,1010,11408
UCL213002,110,196,465,1496,2636,1397,928,1339,1286,9080
UCL213003,268,54,492,1903,2494,1213,977,3069,601,10261
UCL213004,235,29,372,2223,3237,1536,1196,2936,634,11750
UCL213005,166,100,424,2582,3998,1931,1329,2935,586,13358
UCL213006,94,56,223,1836,2598,1327,863,1461,304,8387
UCL213007,289,58,576,2554,3566,1675,1232,3458,799,13281
UCL213008,156,21,262,2598,3532,1559,1182,3159,453,12488
UCL213009,130,76,301,2064,2811,1351,932,2436,446,10033
UCL213010,322,49,554,2182,3036,1518,1309,4106,1102,13251
UCL213011,237,81,467,1779,2494,1197,1083,3750,1311,11620
UCL213012,198,31,334,1533,2259,1165,843,2394,605,8798
UCL213013,255,73,460,2037,3116,1525,1132,2967,774,11554
UCL213014,205,53,417,1585,2184,993,796,2580,646,8798
UCL213015,38,0,75,2110,2894,1227,1078,3180,615,11106
UCL213016,399,120,793,3000,4449,2030,1450,4351,1024,16309
UCL213017,310,49,563,3103,4453,2054,1523,3639,836,15613
UCL213018,201,70,390,1251,1823,1009,634,2011,508,7238
UCL214001,156,29,282,1017,1502,674,574,1754,383,5910
UCL214002,78,10,114,907,1314,623,542,1040,181,4611
UCL214003,257,80,505,1415,2174,1088,824,2116,766,8379
UCL214004,144,26,237,802,1043,437,406,1508,329,4522
UCL214005,9,4,27,163,244,111,69,198,58,839
UCL214006,125,79,297,964,1601,840,663,1284,500,5860
UCL214007,3,0,16,791,1128,427,350,1026,204,3924
UCL214008,215,48,417,1472,2192,1040,785,2015,482,7992
UCL214009,175,23,291,1323,2093,1008,687,1717,426,7258
UCL214010,125,37,235,876,1635,931,515,892,257,5113
UCL214011,142,24,239,1343,1892,883,644,1882,451,7087
UCL214012,137,62,312,838,1307,615,460,1411,370,5003
UCL214013,156,29,268,759,1236,618,415,1052,227,4313
UCL214014,145,40,261,818,1304,684,660,1551,582,5602
UCL214015,98,24,218,864,1224,696,526,994,278,4575
UCL214016,240,45,383,1031,1510,912,641,2038,491,6620
UCL214017,142,18,296,821,1502,846,454,717,321,4657
UCL214018,97,89,306,1309,2248,1269,879,1720,669,8096
UCL214019,127,29,208,854,1215,591,430,1555,455,5101
UCL214020,74,77,225,805,1132,576,493,1275,480,4765
UCL214021,129,37,213,863,1173,523,401,1231,239,4436
UCL214022,187,56,369,1170,1804,963,750,1996,536,7209
UCL215001,14,5,34,211,480,228,108,129,93,1246
UCL215002,55,3,96,343,574,283,226,562,140,2126
UCL215003,60,9,102,501,936,446,283,394,176,2735
UCL215004,14,12,47,245,368,169,129,233,153,1292
UCL215005,35,7,50,134,214,114,114,268,102,946
UCL215006,33,14,73,371,606,293,200,541,113,2126
UCL215007,26,3,79,355,674,383,251,253,115,2032
UCL215008,4,0,11,308,473,217,159,249,42,1450
UCL215009,8,4,14,114,195,116,79,215,77,801
UCL215010,21,3,32,373,529,292,192,306,107,1798
UCL215011,25,12,51,163,238,124,83,293,98,1002
UCL215012,54,9,110,487,885,454,231,555,139,2756
UCL215013,3,0,6,579,792,308,268,885,139,2973
UCL215014,9,0,13,205,267,113,93,248,45,973
UCL215015,23,21,80,354,658,335,217,367,199,2129
UCL215016,33,9,68,612,891,400,322,855,193,3273
UCL215017,45,10,75,464,551,297,226,414,141,2090
UCL215018,65,15,127,410,698,340,255,590,170,2459
UCL215019,17,0,18,327,564,285,166,293,235,1870
UCL215020,57,15,96,178,260,143,125,376,90,1183
UCL215021,4,4,18,189,293,128,98,238,91,1021
UCL215022,23,7,45,649,939,475,409,976,347,3792
UCL215023,43,8,76,215,317,171,144,356,66,1274
UCL215024,68,13,121,225,393,239,177,432,132,1602
UCL215025,0,7,19,135,241,149,108,204,67,896
UCL215026,12,0,23,150,239,131,96,257,91,957
UCL215027,36,10,76,174,217,116,112,253,122,1011
UCL215028,58,37,133,399,613,310,249,542,260,2375
UCL215029,75,28,150,573,1051,488,278,654,261,3308
UCL215030,31,17,72,174,270,185,124,305,93,1154
UCL215031,49,14,87,167,295,155,143,300,108,1165
UCL215032,105,22,195,438,699,363,238,703,242,2681
UCL215033,0,0,3,421,631,291,187,422,44,2004
UCL215034,66,10,115,167,309,170,108,310,106,1171
UCL215035,14,7,23,256,409,173,124,217,100,1278
UCL215036,6,0,17,222,262,124,95,181,83,965
UCL215037,8,6,21,189,306,161,105,316,91,1170
UCL215038,53,12,107,254,361,191,169,468,191,1633
UCL215039,35,5,59,224,291,167,147,307,139,1276
UCL215040,34,14,62,165,244,124,111,329,143,1115
UCL215041,109,27,208,506,797,390,336,800,260,3087
UCL215042,0,0,4,205,303,142,121,177,70,1018
UCL215043,55,20,94,479,704,283,226,717,113,2517
UCL215044,14,0,34,256,388,225,157,228,84,1344
UCL215045,101,22,177,596,783,478,372,772,205,3201
UCL215046,5,0,19,279,388,192,160,249,85,1345
UCL215047,19,4,34,325,449,223,186,369,113,1669
UCL215048,7,0,21,308,403,154,140,337,109,1443
UCL215049,29,16,56,193,306,152,102,264,121,1134
UCL215050,3,3,22,435,724,449,298,274,130,2308
UCL215051,72,15,144,651,967,497,395,939,225,3673
UCL215052,32,0,59,208,395,225,141,223,57,1257
UCL215053,92,10,143,610,968,432,310,727,214,3259
UCL215054,74,15,100,237,385,220,164,505,183,1702
UCL215055,3,3,26,219,438,258,144,250,99,1416
UCL215056,20,0,25,214,311,167,130,313,154,1294
UCL215057,41,5,68,246,400,230,164,259,95,1395
UCL215058,28,6,51,198,206,154,105,216,83,960
UCL215059,32,8,69,344,645,320,206,267,118,1901
UCL215060,96,17,163,451,646,297,235,634,131,2396
UCL215061,44,26,88,303,440,217,172,436,145,1721
UCL215062,52,6,72,237,335,144,130,350,91,1292
UCL215063,20,7,40,179,242,141,114,160,46,876
UCL215064,67,17,123,299,365,201,173,503,115,1653
UCL215065,109,19,195,533,814,384,316,837,339,3219
UCL215066,55,16,94,247,369,243,209,416,216,1706
UCL215067,51,8,75,146,206,107,104,240,91,894
UCL215068,109,15,199,500,891,525,354,785,143,3201
UCL215069,75,26,160,499,825,510,305,486,218,2840
UCL215070,80,11,122,402,546,271,257,745,272,2502
UCL215071,18,0,28,606,856,478,299,495,120,2854
UCL215072,32,22,62,339,318,109,92,792,358,2013
UCL215073,93,21,162,382,569,281,276,719,195,2418
UCL215074,15,0,44,819,1152,540,444,772,164,3891
UCL215075,8,3,19,182,259,141,113,235,111,1033
UCL215076,41,8,74,347,568,294,189,435,97,1935
UCL215077,23,11,57,245,412,210,141,262,148,1414
UCL215078,7,0,14,333,431,191,141,309,68,1469
UCL215079,53,29,110,291,421,225,202,532,164,1835
UCL215080,14,3,33,300,460,247,211,432,89,1733
UCL215081,64,16,129,568,922,456,359,925,280,3507
UCL215082,9,3,13,321,478,281,240,283,105,1704
UCL215083,49,20,96,303,394,224,192,470,123,1713
UCL215084,46,7,69,182,277,134,82,306,86,1066
UCL215085,9,0,15,188,257,134,93,176,71,918
UCL215086,41,38,122,574,844,411,354,700,184,3063
UCL215087,8,0,10,252,371,194,160,258,114,1349
UCL215088,31,9,58,287,471,253,159,260,221,1643
UCL215089,38,41,109,273,487,248,203,475,196,1881
UCL215090,13,31,63,291,493,214,175,312,181,1673
UCL215091,7,0,13,254,414,216,135,232,42,1291
UCL215092,84,12,140,670,1230,588,382,691,144,3713
UCL215093,18,0,48,607,993,448,348,785,112,3294
UCL215094,0,0,0,152,226,121,96,153,65,810
UCL215095,8,0,16,158,243,108,102,228,65,905
UCL215096,16,4,38,365,577,256,199,437,101,1932
UCL215097,76,8,109,478,708,366,293,607,209,2656
UCL215098,11,3,33,213,347,149,130,249,41,1127
UCL215099,47,23,110,215,355,180,170,406,161,1494
UCL215100,39,6,61,203,262,165,121,260,90,1097
UCL221001,0,0,5,122,176,79,59,106,30,567
UCL221002,10,0,17,136,216,110,76,151,34,723
UCL221003,0,0,3,86,121,60,61,71,51,458
UCL221004,3,4,7,180,245,134,115,176,31,866
UCL221005,16,5,29,96,144,64,56,145,52,561
UCL221006,3,0,6,116,162,83,55,65,29,503
UCL221007,3,0,4,62,126,69,57,79,42,439
UCL221008,38,34,83,87,166,70,71,147,143,682
UCL221009,0,0,7,97,153,49,72,86,49,499
UCL221010,0,5,6,78,139,75,64,65,40,458
UCL221011,3,0,3,113,141,81,63,81,16,495
UCL221012,3,0,3,71,127,63,27,69,45,399
UCL221013,6,0,7,107,150,59,52,92,41,500
UCL221014,6,6,25,169,259,133,101,139,46,848
UCL221015,0,0,8,87,131,78,50,54,31,434
UCL221016,3,0,4,116,204,99,71,128,28,651
UCL221017,6,0,11,124,223,115,87,160,43,745
UCL221018,20,16,61,141,205,126,98,194,119,881
UCL221019,15,5,31,115,222,119,107,161,39,765
UCL221020,51,7,75,120,166,102,78,236,60,767
UCL221021,0,0,9,136,166,72,54,117,52,593
UCL221022,3,4,10,76,130,69,50,71,29,428
UCL221023,15,4,24,84,119,83,69,198,41,594
UCL221024,14,7,28,136,256,155,107,206,34,893
UCL221025,25,8,50,86,143,85,53,185,71,624
UCL221026,27,11,48,90,172,68,56,185,67,642
UCL221027,10,5,30,119,134,65,92,135,83,630
UCL221028,8,8,29,143,222,124,80,111,79,745
UCL221029,0,0,8,112,170,79,77,85,28,558
UCL221030,0,0,4,67,137,59,53,139,34,487
UCL221031,5,0,5,95,144,71,53,80,24,458
UCL221032,7,0,8,71,141,78,55,85,30,461
UCL221033,29,0,46,75,100,58,47,145,29,461
UCL221034,4,0,3,132,170,85,79,201,17,681
UCL221035,36,16,68,99,145,74,71,212,74,685
UCL221036,4,0,7,113,193,105,78,91,33,607
UCL221037,17,0,30,102,156,87,73,140,37,594
UCL221038,0,0,0,145,187,103,103,104,71,714
UCL221039,0,3,11,105,170,93,63,121,94,636
UCL221040,0,0,4,101,155,86,63,137,31,579
UCL221041,3,0,3,103,158,79,61,82,23,500
UCL221042,4,0,10,76,105,69,44,121,53,464
UCL221043,15,0,17,119,229,146,115,282,87,972
UCL221044,14,4,44,164,273,184,128,154,94,1003
UCL221045,7,0,8,113,199,104,60,96,29,602
UCL221046,3,0,5,242,349,144,104,178,42,1059
UCL221047,0,4,8,115,178,69,57,79,24,520
UCL221048,6,3,15,96,115,70,43,73,25,418
UCL221049,4,0,7,104,159,99,67,69,11,516
UCL221050,13,9,24,115,169,85,70,166,52,661
UCL221051,7,4,21,127,152,88,76,162,47,642
UCL221052,0,0,4,88,128,52,43,78,25,411
UCL221053,7,0,22,89,175,105,105,149,36,663
UCL221054,0,0,11,94,161,101,71,83,35,543
UCL221055,3,0,5,110,125,72,59,73,21,463
UCL221056,15,0,19,53,85,52,43,132,68,433
UCL221057,0,0,8,114,160,85,78,115,50,604
UCL221058,0,0,4,84,110,72,37,49,22,375
UCL221059,3,0,15,125,200,102,69,97,39,633
UCL221060,10,3,27,80,161,100,83,117,27,567
UCL221061,4,0,7,103,212,111,73,113,48,667
UCL221062,28,8,50,126,152,102,108,250,103,845
UCL221063,17,4,31,77,110,52,45,146,44,483
UCL221064,0,0,0,101,152,76,56,116,31,533
UCL221065,31,0,41,79,144,73,40,83,24,442
UCL221066,0,0,0,109,151,78,75,118,41,565
UCL221067,0,0,5,98,95,38,44,135,30,441
UCL221068,0,0,4,69,105,67,50,93,24,409
UCL221069,0,0,6,160,289,95,75,125,60,797
UCL221070,43,26,79,144,209,108,96,221,79,856
UCL221071,14,12,41,146,186,78,87,129,66,703
UCL221072,0,0,0,68,105,65,55,69,31,398
UCL221073,0,0,0,82,116,78,58,62,6,404
UCL221074,3,23,38,115,233,121,79,108,73,727
UCL221075,7,3,21,96,239,132,90,119,44,725
UCL221076,9,8,18,99,265,128,107,142,76,810
UCL221077,40,4,48,98,154,82,60,159,75,628
UCL221078,3,0,3,90,123,60,39,120,20,458
UCL221079,7,3,22,78,131,63,70,161,65,571
UCL221080,5,0,9,108,135,63,54,118,21,504
UCL221081,10,19,33,65,130,59,58,118,57,486
UCL221082,0,0,0,173,178,62,42,226,114,797
UCL221083,59,0,79,138,312,143,90,182,44,914
UCL221084,0,0,17,120,199,105,59,134,42,656
UCL222001,0,0,3,52,72,42,36,33,8,235
UCL222002,8,0,13,70,101,56,49,48,17,337
UCL222003,0,0,3,45,71,38,30,40,24,256
UCL222004,0,0,0,3,3,0,0,11,5,22
UCL222005,0,0,9,36,48,21,22,43,15,186
UCL222006,5,0,5,59,104,55,35,59,16,327
UCL222007,3,0,0,34,58,28,24,22,13,180
UCL222008,0,0,0,54,107,51,33,46,23,318
UCL222009,4,0,7,51,82,38,39,62,25,293
UCL222010,0,0,0,56,91,34,31,72,21,309
UCL222011,0,0,0,70,99,34,18,40,14,279
UCL222012,0,0,0,57,111,46,40,62,27,344
UCL222013,0,0,6,39,62,24,29,43,24,225
UCL222014,0,0,0,59,98,36,41,57,20,314
UCL222015,0,0,0,71,69,56,38,60,16,308
UCL222016,0,0,0,27,69,28,19,66,13,220
UCL222017,5,3,4,26,29,26,22,43,23,171
UCL222018,0,0,0,38,30,8,7,15,16,115
UCL222019,5,0,5,61,87,39,35,79,14,322
UCL222020,0,0,3,51,58,25,25,33,19,208
UCL222021,0,0,4,39,73,41,31,39,28,256
UCL222022,0,0,7,33,79,26,31,48,24,239
UCL222023,4,0,3,69,102,60,45,68,24,361
UCL222024,0,0,0,52,73,19,11,75,70,290
UCL222025,4,0,4,25,47,36,13,31,26,170
UCL222026,0,0,0,55,89,46,24,42,4,256
UCL222027,0,0,0,40,93,39,36,53,27,284
UCL222028,0,0,3,47,67,48,24,42,33,251
UCL222029,7,0,6,22,42,22,28,41,12,169
UCL222030,7,0,6,31,51,36,20,23,17,179
UCL222031,5,0,8,41,57,34,32,61,30,247
UCL222032,0,0,10,56,95,61,28,33,36,308
UCL222033,0,0,0,37,88,39,25,36,50,284
UCL222034,0,0,7,65,69,31,34,61,30,287
UCL222035,3,11,22,38,66,33,59,66,34,287
UCL222036,5,0,10,38,39,22,17,47,35,203
UCL222037,0,0,4,32,69,27,22,32,20,206
UCL222038,0,0,3,32,44,24,17,39,5,173
UCL222039,0,0,0,43,68,44,24,41,24,250
UCL222040,4,0,15,70,104,78,45,63,21,387
UCL222041,4,0,4,44,67,43,24,38,6,228
UCL222042,7,0,5,37,55,33,13,55,24,210
UCL222043,7,5,6,54,90,41,46,89,21,344
UCL222044,0,6,10,45,53,34,36,74,33,278
UCL222045,4,0,4,47,51,46,25,36,25,233
UCL222046,9,6,23,55,85,31,41,84,41,335
UCL222047,0,0,5,31,48,26,32,42,8,180
UCL222048,10,0,12,27,50,33,16,45,5,173
UCL222049,0,0,5,51,78,47,24,34,12,245
UCL222050,3,0,9,64,144,69,58,61,35,430
UCL222051,5,0,12,67,132,61,51,64,38,409
UCL222052,5,0,8,56,102,66,33,62,13,335
UCL222053,8,0,13,58,104,46,45,113,31,394
UCL222054,5,0,6,38,57,41,38,45,3,218
UCL222055,27,4,39,51,78,54,42,122,33,377
UCL222056,0,0,0,44,35,8,0,93,131,313
UCL222057,0,0,0,41,71,38,41,39,27,251
UCL222058,0,0,3,20,24,5,5,42,28,119
UCL222059,0,0,0,35,48,22,17,36,8,171
UCL222060,4,0,9,31,39,30,29,43,17,181
UCL222061,0,0,3,39,58,18,13,49,13,181
UCL222062,30,0,37,79,119,44,31,89,19,379
UCL222063,6,0,14,69,117,72,55,63,22,402
UCL222064,5,0,7,41,46,30,33,46,17,215
UCL222065,4,0,4,27,43,36,18,36,17,168
UCL222066,5,0,13,40,48,35,23,62,24,238
UCL222067,0,0,14,27,58,40,21,36,37,216
UCL222068,0,0,0,30,54,32,15,24,10,171
UCL222069,22,0,29,61,106,43,73,105,28,412
UCL222070,6,0,7,38,48,33,24,38,6,182
UCL222071,0,0,4,67,101,35,38,48,30,315
UCL222072,0,0,5,40,77,51,33,71,47,312
UCL222073,4,0,6,48,55,17,24,28,13,189
UCL222074,4,0,4,35,51,15,6,48,21,179
UCL222075,4,0,7,64,100,52,55,78,31,380
UCL222076,10,3,21,65,72,44,39,123,50,397
UCL222077,9,18,36,71,107,51,58,92,48,423
UCL222078,3,0,7,35,56,28,28,61,20,231
UCL222079,0,0,7,73,141,55,46,41,12,376
UCL222080,9,0,17,44,71,38,42,87,22,311
UCL222081,0,0,6,38,71,42,28,28,20,228
UCL222082,0,0,0,44,59,29,10,28,25,192
UCL222083,6,0,6,46,45,15,23,40,7,181
UCL222084,22,6,26,68,78,51,46,116,52,411
UCL222085,0,0,7,46,91,32,37,46,11,266
UCL222086,0,0,3,63,91,47,38,54,30,318
UCL222087,5,0,17,57,106,68,43,100,26,401
UCL222088,4,0,13,39,56,45,33,63,25,251
UCL222089,0,0,9,38,53,25,17,33,13,174
UCL222090,0,0,4,28,52,30,16,32,34,194
UCL222091,0,0,4,61,98,45,36,59,10,313
UCL222092,0,0,0,55,86,42,22,43,13,260
UCL222093,8,4,9,52,94,50,30,90,46,366
UCL222094,0,0,5,43,77,37,34,72,32,286
UCL222095,0,0,0,28,55,17,19,23,14,155
UCL222096,0,0,3,65,109,59,34,37,23,327
UCL222097,0,3,7,53,77,34,24,48,25,265
UCL222098,0,0,8,45,109,53,29,27,19,285
UCL222099,0,0,0,22,34,14,25,40,23,172
UCL222100,0,0,5,26,57,17,34,61,30,222
UCL222101,0,0,3,31,59,26,32,30,25,213
UCL222102,0,0,0,35,116,45,46,73,28,343
UCL222103,0,0,0,35,57,22,17,37,11,172
UCL222104,5,7,11,25,77,17,23,74,27,246
UCL222105,0,6,5,35,44,27,16,58,16,201
UCL231001,2306,903,5963,65495,96696,53383,42734,64628,33347,356286
UCL279997,0,0,0,0,3,0,0,8,27,38
UCL299994,12,17,29,1148,1118,391,326,1694,3270,7946
UCL301001,19722,5097,38897,397318,536767,220241,144534,446341,102399,1847605
UCL302001,6104,2321,12683,104737,135761,57445,38115,129328,35536,500919
UCL302002,3959,1243,8256,48112,69125,31983,20048,52812,14389,236469
UCL303001,1124,368,2243,24487,33650,13577,9003,31153,12246,124110
UCL303002,1700,361,3234,17447,24304,10284,7365,23511,5124,88037
UCL303003,1282,325,2470,27989,38606,15175,10451,35103,12800,140125
UCL311001,985,222,1830,7393,10523,5100,4104,12807,3163,43092
UCL311002,1008,333,2010,8209,12581,6366,5013,13146,3516,48828
UCL311003,713,247,1477,12575,17171,6871,5269,16057,6351,64297
UCL311004,754,249,1538,9709,13402,5704,4088,13618,4197,50714
UCL312001,443,130,956,2906,5069,2885,2062,4700,1129,18748
UCL312002,225,65,428,5193,7417,3085,2481,6964,2006,27142
UCL312003,432,83,771,3154,4466,2307,2036,5436,1374,18783
UCL312004,358,77,661,3233,4860,2179,1582,4171,1000,17022
UCL313001,21,7,39,1778,2367,908,598,2101,1043,8796
UCL313002,213,25,372,1945,3191,1556,1086,2610,563,10951
UCL313003,143,21,265,1804,2439,1062,855,2442,742,9350
UCL313004,23,27,79,2116,2869,1121,940,2399,1087,10530
UCL313005,41,36,117,1557,2204,966,832,2216,691,8463
UCL313006,415,69,714,3056,3952,1996,1644,4259,1036,15944
UCL313007,62,15,180,1751,2518,1251,911,1358,279,8069
UCL313008,158,47,310,1434,2068,940,843,2208,611,8108
UCL313009,51,26,114,2615,3521,1345,1039,3580,1609,13711
UCL313010,226,67,455,2142,2900,1467,1169,2942,847,11461
UCL313011,3,5,13,1165,1621,723,707,1930,441,6587
UCL313012,252,47,469,2889,4239,1950,1426,3625,1235,15359
UCL314001,154,76,321,1122,1524,730,608,1458,661,6103
UCL314002,143,43,281,1141,1568,780,611,2052,740,6894
UCL314003,131,75,273,1073,1530,745,626,1959,553,6485
UCL314004,76,13,137,862,1291,608,456,1148,333,4694
UCL314005,47,30,115,793,1082,508,403,1025,654,4460
UCL314006,123,18,211,1336,1822,783,651,2374,881,7854
UCL314007,127,30,210,1082,1391,697,593,1730,916,6411
UCL314008,48,30,117,902,1138,520,463,1224,637,4888
UCL314009,12,3,20,1111,1628,674,536,1389,429,5758
UCL314010,120,20,198,1009,1133,556,434,2089,493,5711
UCL314011,69,14,136,826,1125,461,350,1020,468,4247
UCL314012,44,29,108,879,1313,590,442,1084,418,4724
UCL314013,169,36,290,956,1283,593,492,1866,625,5812
UCL314014,48,0,62,780,1197,558,406,1069,260,4271
UCL314015,15,4,32,742,1168,591,512,1005,181,4211
UCL314016,131,46,290,1189,1568,796,615,1934,861,6964
UCL314017,10,3,13,1186,1680,589,494,1331,1340,6622
UCL314018,11,0,26,1195,1709,710,456,782,119,4968
UCL314019,89,13,167,816,1248,555,393,851,228,4092
UCL314020,32,47,116,996,1256,536,384,1295,650,5114
UCL314021,80,16,212,1335,2214,1282,967,2163,414,8377
UCL314022,65,26,198,1172,2042,1090,814,1144,446,6701
UCL314023,31,24,88,1441,2254,975,761,1653,484,7570
UCL315001,11,0,15,169,286,138,85,173,172,1027
UCL315002,3,0,12,404,631,297,213,398,69,2009
UCL315003,11,0,29,143,284,164,140,270,97,1090
UCL315004,0,0,0,348,209,15,7,184,79,836
UCL315005,15,4,32,153,253,78,106,239,97,928
UCL315006,0,0,0,203,220,39,63,176,96,793
UCL315007,38,40,106,460,727,380,316,725,204,2809
UCL315008,3,3,7,620,878,350,304,715,615,3482
UCL315009,101,29,186,363,552,298,286,666,165,2323
UCL315010,19,10,44,344,660,345,298,705,171,2526
UCL315011,21,11,55,184,311,275,187,361,114,1445
UCL315012,7,4,26,520,832,372,368,737,219,3050
UCL315013,4,0,9,262,376,164,142,299,115,1359
UCL315014,37,4,63,153,245,136,127,341,118,1116
UCL315015,7,5,19,312,481,220,170,387,83,1663
UCL315016,10,0,20,509,648,302,246,536,104,2340
UCL315017,44,12,86,403,447,208,165,625,280,2123
UCL315018,3,0,5,146,172,95,92,231,30,775
UCL315019,34,5,67,160,258,116,112,402,128,1180
UCL315020,28,11,46,305,418,172,151,388,144,1572
UCL315021,48,10,75,167,227,117,126,352,57,1048
UCL315022,12,4,22,374,460,197,158,490,284,1954
UCL315023,14,9,23,170,245,115,103,255,164,1059
UCL315024,9,4,13,247,372,141,112,352,223,1448
UCL315025,27,7,54,398,600,385,389,644,206,2627
UCL315026,53,69,168,562,772,431,296,628,236,2916
UCL315027,29,72,127,250,317,198,194,346,285,1590
UCL315028,12,0,11,201,305,136,131,217,50,1041
UCL315029,10,5,22,338,512,300,179,274,89,1696
UCL315030,0,0,4,325,305,31,6,228,59,952
UCL315031,0,0,4,295,498,197,145,458,544,2141
UCL315032,64,37,140,638,1037,519,419,999,371,3980
UCL315033,11,5,32,165,269,171,150,291,64,1107
UCL315034,11,0,8,178,262,135,82,140,71,867
UCL315035,8,0,13,431,633,327,267,538,120,2319
UCL315036,29,6,52,205,309,150,126,429,221,1430
UCL315037,26,0,62,592,978,476,369,680,148,3248
UCL315038,3,0,12,318,512,235,135,255,61,1526
UCL315039,0,0,0,134,69,36,35,414,86,775
UCL315040,0,0,0,402,346,49,26,490,362,1682
UCL315041,5,0,11,179,270,145,105,233,148,1080
UCL315042,69,14,129,365,538,255,244,660,220,2277
UCL315043,26,3,46,129,206,118,118,280,49,911
UCL315044,127,31,250,608,815,437,373,1013,393,3651
UCL315045,11,4,17,441,733,316,206,539,104,2337
UCL315046,34,16,64,312,338,185,161,661,246,1904
UCL315047,9,0,22,308,435,180,161,345,90,1516
UCL315048,16,4,28,230,337,206,179,335,117,1402
UCL315049,11,3,34,348,642,299,206,299,240,2026
