UCL_CODE_2021,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
UCL115146,40,16,106,462,762,388,208,435,119,2374
UCL115147,5,0,7,175,285,146,98,157,39,902
UCL115148,40,6,71,195,272,142,138,310,112,1172
UCL115149,0,12,12,98,157,58,36,214,499,1062
UCL115150,4,0,9,160,210,144,96,217,45,869
UCL115151,13,0,28,271,425,217,157,473,74,1622
UCL115152,32,7,48,133,207,115,91,309,80,941
UCL115153,29,32,77,167,244,105,87,346,185,1137
UCL115154,29,6,41,171,286,108,118,372,158,1218
UCL115155,86,23,154,506,782,384,313,1155,501,3636
UCL115156,42,7,63,147,248,141,109,324,174,1142
UCL115157,30,8,45,146,243,142,146,359,104,1130
UCL115158,51,28,132,398,605,245,223,515,198,2185
UCL115159,8,0,29,273,420,250,154,303,58,1458
UCL115160,7,0,10,391,646,334,199,378,81,2040
UCL115161,65,31,154,549,943,457,418,1016,319,3702
UCL115162,21,7,52,505,731,351,225,484,81,2373
UCL115163,92,10,117,280,449,202,170,478,59,1640
UCL115164,25,4,44,189,282,165,116,354,75,1182
UCL115165,9,0,16,163,211,135,85,210,57,864
UCL121001,7,0,22,143,177,102,79,178,44,723
UCL121002,15,5,36,73,90,44,34,153,78,473
UCL121003,3,0,5,112,186,102,75,80,41,605
UCL121004,6,0,17,147,206,124,90,119,40,711
UCL121005,0,0,0,83,129,86,54,77,29,463
UCL121006,4,0,12,84,175,77,44,99,62,547
UCL121007,12,34,61,132,189,97,106,210,113,837
UCL121008,0,4,3,35,35,24,31,157,148,424
UCL121009,21,14,42,110,141,66,66,207,138,724
UCL121010,4,0,9,83,171,89,63,100,56,568
UCL121011,9,0,18,129,132,93,85,207,106,755
UCL121012,0,0,6,131,211,131,107,140,17,726
UCL121013,10,4,14,73,99,38,29,230,104,573
UCL121014,5,0,8,73,108,59,49,93,54,439
UCL121015,0,5,13,130,232,100,58,104,22,637
UCL121016,11,0,11,87,141,65,31,93,43,449
UCL121017,0,0,0,126,209,92,62,97,22,610
UCL121018,0,0,3,112,201,112,102,134,32,693
UCL121019,0,0,8,97,189,95,56,89,9,535
UCL121020,0,0,8,95,139,79,47,63,21,448
UCL121021,23,3,37,88,136,62,36,116,56,494
UCL121022,15,4,40,92,142,74,55,194,66,626
UCL121023,9,0,11,63,132,80,73,142,46,536
UCL121024,4,0,15,63,110,65,50,109,30,415
UCL121025,0,0,6,108,149,83,43,89,8,482
UCL121026,11,6,19,161,261,100,84,157,74,838
UCL121027,3,5,12,102,151,77,32,82,34,488
UCL121028,4,0,13,111,215,104,99,126,41,696
UCL121029,3,0,5,76,115,62,43,138,37,471
UCL121030,3,3,14,112,179,86,43,225,94,734
UCL121031,3,4,12,132,244,169,109,131,45,829
