UCL_CODE_2021,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Com_Hp_DS_Sp_ho,R_Com_Hp_DS_SD_ro_t_h_t,R_Com_Hp_DS_Flt_apt,R_Com_Hp_DS_Ot_dwel,R_Com_Hp_DS_NS,R_Com_Hp_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
UCL321065,184,0,0,0,0,186,218,0,0,0,0,218,24,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,41,5,0,0,0,0,5,9,0,0,0,0,9,459,0,0,3,0,463
UCL321066,136,0,0,3,0,140,52,0,0,0,0,52,27,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,58,0,0,0,0,0,0,7,0,0,0,0,7,262,0,0,0,0,268
UCL321067,17,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,79,4,0,0,0,87,9,0,0,0,0,9,0,0,0,0,0,0,8,3,0,0,0,16,8,0,0,0,0,8,106,8,0,0,0,115,9,0,0,0,0,7,6,0,0,0,0,6,137,9,0,0,3,151
UCL321068,82,0,0,0,0,87,186,0,0,0,0,186,19,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,39,5,0,0,0,0,5,0,0,0,0,0,0,308,0,0,0,0,318
UCL321069,206,10,0,22,0,240,88,0,0,0,0,92,31,0,0,3,0,31,4,3,0,0,0,7,0,0,0,0,0,0,28,0,0,4,0,31,8,0,0,45,0,49,0,0,0,0,0,0,64,0,0,51,0,119,5,0,0,0,0,4,8,0,0,0,0,11,370,15,0,79,0,461
UCL321070,79,0,0,8,0,83,132,0,0,0,0,132,18,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,26,7,0,0,0,0,7,0,0,0,0,0,0,48,0,0,0,0,48,0,0,0,0,0,0,5,0,0,0,0,5,260,0,0,8,3,269
UCL321071,102,0,0,0,0,106,92,0,0,0,0,92,11,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,208,0,0,0,0,212
UCL321072,59,0,0,0,0,59,174,3,0,0,0,173,22,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,33,4,0,0,0,0,4,9,0,0,0,0,9,269,4,0,0,0,269
UCL321073,108,7,3,7,0,134,71,3,3,0,0,78,61,19,20,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,32,0,5,0,0,31,3,0,0,0,0,4,0,0,0,0,0,0,94,21,22,0,0,139,5,0,0,0,0,3,8,0,0,0,0,8,292,26,29,11,4,364
UCL321074,136,0,0,3,0,144,62,0,0,0,0,60,9,0,0,0,0,9,21,5,0,0,0,27,5,0,0,0,0,7,40,0,0,0,0,40,11,0,0,0,0,16,4,0,0,0,0,4,98,6,0,0,0,105,7,0,0,0,0,8,11,0,0,0,0,9,315,6,0,4,4,330
UCL321075,66,0,0,0,0,63,264,0,0,0,0,264,20,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,24,3,0,0,0,0,5,3,0,0,0,0,3,351,0,0,0,0,355
UCL321076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,3,20,0,0,160,10,0,6,0,0,14,0,0,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,148,8,21,0,3,185,0,0,0,0,0,0,4,0,3,0,0,12,155,8,32,0,3,199
UCL321077,25,0,0,0,0,28,37,0,0,0,0,37,57,5,0,0,0,63,4,0,0,0,0,3,5,0,0,0,0,5,12,0,0,0,0,12,8,0,0,3,0,15,0,0,0,0,0,0,82,13,0,3,0,95,4,0,0,0,0,4,0,0,0,0,0,7,152,19,0,4,0,173
UCL321078,85,0,0,0,5,92,90,0,0,0,0,90,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,13,0,0,0,0,0,0,4,0,0,0,0,4,191,0,0,0,3,197
UCL321079,57,0,0,9,0,67,25,0,0,0,0,23,4,0,0,0,0,0,74,0,15,0,0,90,56,3,3,0,0,63,33,0,0,0,0,33,40,0,11,0,0,50,3,0,0,0,0,3,206,8,30,0,0,244,17,0,0,0,5,23,11,0,0,0,0,14,320,7,29,6,5,370
UCL321080,192,0,0,0,0,192,319,0,0,5,4,325,24,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,0,16,0,0,0,0,0,5,0,0,0,0,0,0,42,0,0,0,0,43,7,0,0,0,0,7,7,0,0,0,0,7,567,3,0,5,4,580
UCL321081,65,0,0,0,0,63,88,0,0,0,0,88,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,16,0,0,0,0,0,0,7,0,0,0,0,7,170,0,0,0,0,176
UCL321082,104,0,0,0,0,104,93,0,0,0,0,93,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,15,4,0,0,0,0,4,0,0,0,0,0,0,217,0,0,0,0,217
UCL321083,163,4,0,0,0,167,268,0,0,0,0,271,56,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,28,10,0,0,0,0,10,0,0,0,0,0,0,91,0,0,0,0,98,8,0,0,0,0,8,6,0,0,0,0,6,543,8,0,0,0,552
UCL321084,114,9,12,0,0,141,53,8,9,0,0,72,7,0,10,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,26,5,11,0,0,44,0,0,0,0,0,5,0,0,0,0,0,0,40,9,21,0,0,72,8,0,0,0,0,9,4,8,4,0,0,17,219,25,51,3,0,300
UCL321085,195,0,0,0,0,197,33,0,0,0,0,33,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,15,4,0,0,0,0,3,0,0,0,0,0,0,22,0,0,0,0,28,5,0,0,0,0,5,3,0,0,0,0,3,264,0,0,0,0,268
UCL321086,4,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,70,4,0,0,0,76,31,0,0,0,0,31,0,0,0,0,0,0,11,0,0,0,0,16,0,0,0,0,0,0,116,4,3,0,4,124,11,0,0,0,0,16,6,0,0,0,0,6,131,14,3,0,3,153
UCL321087,104,0,4,0,0,102,79,0,0,0,0,83,18,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,32,0,0,0,0,0,0,6,0,0,0,0,6,215,0,3,0,0,215
UCL321088,137,0,0,4,0,142,37,0,0,0,0,43,36,0,4,0,0,34,13,0,0,0,0,19,3,0,0,0,0,5,42,0,0,0,0,41,10,4,0,0,0,17,0,0,0,0,0,3,108,0,11,0,0,116,3,0,0,0,0,5,11,0,0,0,0,11,300,0,15,4,0,325
UCL321089,140,0,0,9,5,148,20,0,0,0,0,22,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,15,4,0,0,0,0,3,0,0,0,0,0,0,21,0,0,3,0,27,28,0,0,0,0,28,11,0,0,0,0,11,220,0,0,11,4,230
UCL321090,119,13,3,0,0,136,83,0,3,0,0,85,38,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,49,12,23,3,0,0,38,0,0,0,0,0,3,259,40,7,0,0,309
UCL321091,139,0,0,7,0,146,30,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,4,0,20,22,0,0,5,0,35,12,0,0,0,0,18,223,0,0,19,3,247
UCL321092,113,0,0,4,0,123,56,0,0,0,0,56,9,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,20,0,7,0,0,29,0,0,0,0,0,0,8,0,0,0,0,11,201,0,5,4,0,214
UCL321093,118,0,0,0,0,118,101,0,0,0,0,101,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,16,8,0,0,0,0,4,6,0,0,0,0,6,239,0,0,0,0,241
UCL321094,116,0,0,0,0,116,99,0,0,0,0,99,20,0,6,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,27,0,6,0,0,32,3,0,0,0,0,3,0,0,0,0,0,0,250,0,6,0,0,252
UCL321095,134,8,5,0,0,152,95,8,0,0,0,109,42,22,5,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,20,16,3,0,0,35,8,0,0,0,0,6,0,0,0,0,0,0,65,34,12,0,0,108,5,0,0,0,0,5,6,0,0,0,0,6,308,52,21,3,0,380
UCL321096,91,0,0,0,0,91,52,0,0,0,0,55,23,3,4,0,0,28,6,0,8,0,0,22,0,0,4,0,0,9,33,0,0,0,0,31,19,6,0,0,0,25,0,0,0,0,0,0,80,7,17,0,0,106,24,0,0,0,3,26,3,0,0,0,0,3,256,7,17,3,3,286
UCL321097,118,0,0,0,0,118,172,0,0,0,0,173,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,14,0,0,0,0,0,0,4,0,0,0,0,4,305,0,0,0,0,308
UCL321098,48,0,0,0,0,48,89,0,0,0,0,89,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,153,0,0,0,0,153
UCL321099,101,0,0,0,0,103,34,0,0,0,0,36,14,3,0,0,0,21,13,3,3,0,0,17,0,0,6,0,0,4,57,0,0,0,3,57,26,4,0,0,0,29,0,0,0,0,0,0,112,16,11,0,3,135,7,0,0,0,0,10,3,0,0,0,0,5,259,11,11,3,0,284
UCL321100,88,0,0,0,0,88,33,0,0,0,0,33,12,0,0,0,0,14,4,0,0,0,0,6,0,0,0,0,0,0,36,0,0,0,0,39,13,0,0,0,0,13,5,0,0,0,0,5,64,4,3,0,0,75,9,0,0,0,0,8,7,0,0,0,0,7,208,4,8,0,0,212
UCL321101,145,0,0,0,0,151,53,0,0,0,0,53,35,0,0,0,0,39,8,0,0,0,0,14,0,6,0,0,0,6,21,0,0,0,0,26,8,0,0,0,0,11,3,0,0,0,0,3,85,8,0,0,0,94,8,0,0,0,0,8,4,0,0,0,0,10,294,11,0,3,0,314
UCL321102,70,0,0,0,0,70,138,0,0,0,0,138,16,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,20,0,0,0,0,0,0,4,0,0,0,0,4,236,0,0,0,0,236
UCL321103,169,0,0,0,0,173,178,0,0,0,0,182,13,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,23,8,0,0,0,0,8,6,0,0,0,0,6,383,0,0,0,0,386
UCL321104,0,0,0,0,0,3,0,0,0,0,0,4,8,0,0,0,0,8,5,0,0,0,0,5,12,0,0,0,0,12,9,0,0,0,0,9,165,3,0,0,0,170,0,0,0,0,0,0,197,3,0,0,0,194,9,0,0,0,0,10,0,0,0,0,0,0,213,4,0,0,3,216
UCL321105,253,4,0,0,0,253,204,0,0,0,0,204,15,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,28,4,0,0,0,0,4,14,0,0,0,0,14,508,4,0,0,0,510
UCL321106,206,0,0,6,0,213,140,0,0,6,0,147,45,0,0,0,0,46,8,0,0,0,0,8,0,0,0,0,0,0,40,0,0,0,0,40,6,0,0,11,0,10,5,0,0,0,0,4,95,0,0,8,0,106,5,0,0,0,0,8,10,0,0,0,0,11,455,0,0,26,3,485
UCL321107,114,0,0,15,0,131,82,0,0,0,0,81,46,0,4,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,23,0,5,0,0,31,0,0,0,3,0,5,0,0,0,0,0,0,68,0,10,3,0,84,6,0,0,0,0,3,0,0,0,0,0,0,272,0,10,17,0,301
