UCL_CODE_2021,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
UCL113006,17,9,12,7,0,6,57,5,13,12,18,18,19,8,0,85,14,99,84,93,81,61,22,12,467,14,58,83,99,94,92,25,7,476,158,326,272,276,313,223,100,22,1692,31,35,13,21,17,13,6,0,135,18,14,25,20,40,42,5,11,179,201,374,317,320,366,282,110,32,2003,3,8,7,0,8,8,6,4,48,322,479,366,213,197,138,124,54,1903,553,1042,884,758,774,605,299,114,5035
UCL113007,174,132,170,161,56,11,806,3,46,72,77,100,135,36,0,462,77,389,506,398,386,417,153,48,2370,31,144,231,288,345,312,128,32,1513,162,337,363,373,445,337,188,65,2271,24,12,11,18,41,37,9,0,154,8,20,12,42,105,100,52,27,358,191,368,393,436,584,478,248,100,2788,0,9,12,6,10,28,25,5,98,56,74,69,103,106,138,133,114,793,370,1134,1454,1428,1704,1659,777,310,8839
UCL113008,30,39,37,21,7,0,169,0,14,18,30,27,28,12,6,133,30,162,119,113,103,120,41,17,699,20,97,99,117,142,116,56,17,674,175,398,302,357,372,254,138,20,2007,37,32,23,22,37,16,4,0,171,18,24,17,18,41,37,27,11,187,228,448,341,400,449,304,159,37,2366,4,6,3,6,11,9,9,6,56,95,112,116,119,128,168,173,70,985,385,875,732,817,895,773,458,149,5084
UCL113009,60,44,21,19,4,0,182,3,13,34,28,30,15,5,0,127,32,163,235,157,81,92,29,0,782,38,130,181,233,178,115,23,5,905,154,456,464,475,356,202,94,13,2203,25,23,17,20,17,12,7,0,117,12,14,22,21,47,30,12,5,153,187,491,505,515,415,236,115,11,2471,0,3,12,3,8,8,6,0,41,52,52,44,53,46,50,45,10,357,315,883,1063,1035,782,534,227,30,4874
UCL113010,73,35,20,24,0,0,231,3,21,35,32,23,19,5,0,134,45,299,222,156,108,102,63,15,1012,24,114,150,148,119,81,50,8,700,229,607,464,378,304,164,88,21,2257,20,36,18,25,27,12,3,3,139,10,20,14,36,42,48,25,10,200,257,670,502,435,366,224,112,31,2598,8,8,13,8,10,11,16,3,68,73,121,106,89,102,98,99,71,753,411,1303,1098,897,755,555,350,128,5496
UCL113011,27,31,14,12,4,0,112,0,19,24,18,22,13,7,0,95,30,135,134,109,74,47,19,7,546,19,106,120,124,96,64,11,4,549,208,596,440,390,341,160,64,14,2210,22,31,27,28,23,15,0,0,143,9,18,29,33,30,27,9,0,153,239,640,494,448,395,203,73,14,2501,0,0,5,7,5,12,3,0,41,110,130,115,110,106,84,65,39,764,405,1063,917,858,707,432,177,57,4620
UCL113012,84,92,88,90,47,0,458,0,23,31,54,66,72,23,4,271,32,192,252,270,279,300,144,15,1484,37,135,190,262,345,300,144,23,1430,152,276,385,468,517,468,247,60,2560,20,25,25,19,42,42,9,0,180,8,22,23,50,75,98,51,13,340,181,322,434,531,628,608,312,74,3079,3,0,5,13,21,27,22,14,111,92,70,74,92,138,183,224,185,1065,353,798,1078,1306,1564,1581,912,321,7905
UCL113013,33,21,36,21,3,0,145,4,19,19,20,14,10,6,0,102,28,156,149,117,81,83,20,9,645,37,142,199,162,179,91,32,4,841,246,602,499,484,450,251,107,22,2656,39,55,39,35,28,18,3,0,216,20,32,28,42,40,30,16,4,223,309,686,575,561,516,300,126,24,3094,0,0,7,7,11,3,6,0,46,85,150,138,141,133,150,119,38,963,465,1187,1113,1033,963,656,316,90,5825
UCL113014,43,50,32,16,9,0,218,3,24,28,25,24,9,9,0,112,51,286,219,128,98,95,25,3,902,44,174,178,186,129,80,29,7,825,301,829,632,580,444,195,78,22,3081,48,44,27,29,26,21,0,4,200,14,35,21,42,54,32,16,7,226,357,909,683,652,522,251,100,29,3509,3,9,9,8,12,9,8,0,53,96,143,99,107,115,104,73,26,762,559,1610,1263,1156,935,560,238,78,6394
UCL113015,28,27,31,25,11,0,141,3,18,21,16,17,28,3,0,105,19,124,112,103,87,119,27,5,589,22,93,141,135,152,149,60,9,759,154,385,354,359,402,359,169,40,2225,23,30,28,25,29,19,4,0,161,5,23,11,37,46,76,33,6,244,187,435,394,426,477,454,205,45,2632,3,3,6,9,10,13,13,3,58,111,98,91,94,113,172,139,53,871,346,796,786,810,886,968,454,115,5152
UCL113016,72,37,34,31,13,0,242,0,28,21,36,28,29,17,0,155,47,186,181,159,145,154,70,21,966,40,129,169,196,192,157,85,33,1004,293,562,463,494,523,352,221,60,2966,53,60,46,34,43,30,5,3,273,15,28,32,44,63,53,35,21,293,363,648,543,571,627,435,261,87,3537,6,13,4,9,16,21,19,4,88,206,214,212,182,242,263,345,247,1911,657,1273,1207,1190,1285,1087,810,395,7893
UCL113017,67,50,82,81,31,3,373,0,30,43,34,60,61,20,0,260,16,214,261,217,249,252,95,26,1333,17,103,160,194,238,232,115,26,1084,173,368,434,417,519,482,238,67,2700,19,14,35,20,38,37,6,0,168,10,30,34,34,64,103,56,18,352,203,425,496,466,625,615,303,85,3225,5,0,9,5,17,30,12,7,85,93,88,118,120,178,193,175,87,1048,345,909,1154,1090,1435,1465,753,237,7400
UCL113018,3,0,9,5,0,0,19,0,3,4,4,4,11,0,0,24,5,32,31,16,23,17,5,0,121,0,29,22,31,34,20,24,4,151,35,73,58,96,76,96,41,0,484,0,3,0,0,4,0,7,0,16,0,0,4,12,6,7,4,0,33,30,81,65,106,87,108,50,5,532,0,0,0,0,0,3,4,0,11,25,13,14,32,38,77,57,23,276,72,162,141,183,184,232,140,28,1140
UCL114001,27,23,31,28,12,5,160,4,11,21,21,23,31,7,0,109,13,94,138,113,101,134,62,23,674,5,43,61,92,92,84,49,30,460,56,123,131,145,164,127,80,30,853,12,7,8,6,9,8,3,0,64,7,8,15,14,25,32,17,9,113,67,134,151,164,204,165,101,41,1032,0,0,3,4,10,6,10,5,33,27,22,27,40,33,38,59,58,307,117,324,418,461,489,491,315,155,2772
UCL114002,21,22,26,42,20,0,140,0,5,8,17,21,38,18,0,110,10,52,76,66,104,165,96,24,594,9,31,46,65,140,175,97,24,596,77,125,150,240,385,400,233,89,1694,4,12,4,10,19,29,14,6,104,3,0,4,16,46,67,48,15,206,88,135,161,267,453,496,291,110,2000,0,0,5,0,12,23,16,6,53,42,28,36,39,91,174,133,78,629,147,257,356,480,850,1112,676,243,4123
UCL114003,12,13,17,14,3,0,76,4,3,13,14,12,11,0,0,52,26,88,72,63,49,72,27,6,407,21,60,66,76,67,83,45,11,425,216,354,255,223,250,180,98,20,1598,22,38,19,18,16,7,3,4,131,13,19,18,18,38,33,15,6,160,257,408,297,255,300,221,124,30,1891,0,8,0,0,9,7,4,5,37,142,144,145,121,125,132,170,109,1092,451,734,606,541,575,536,370,168,3975
UCL114004,53,36,35,20,10,3,198,0,15,24,17,30,12,5,0,107,17,151,127,96,112,66,37,9,617,21,81,87,78,73,69,36,15,454,96,187,197,190,210,110,79,23,1087,11,9,9,16,15,7,5,4,77,4,13,9,18,26,30,13,5,119,109,214,208,216,248,150,98,32,1279,4,6,8,0,0,8,11,3,37,50,121,122,98,67,60,58,42,626,202,635,632,545,560,384,255,100,3319
