UCL_CODE_2021,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
UCL114030,..,714,714,1052,60,1109,247,3,252,166,4,168,72,0,72,34,0,34,1574,783,2353
UCL114031,..,571,571,909,50,960,368,3,369,337,0,337,165,0,165,65,0,65,1851,624,2472
UCL114032,..,410,410,511,32,547,283,3,290,300,0,300,152,3,156,68,0,68,1316,454,1774
UCL114033,..,812,812,853,38,890,344,4,354,318,0,318,125,3,130,60,0,60,1699,859,2558
UCL114034,..,830,830,1060,86,1141,420,5,427,357,0,358,174,0,174,99,0,99,2112,923,3037
UCL114035,..,681,681,699,79,776,282,16,302,232,4,240,114,6,120,89,9,100,1421,790,2214
UCL114036,..,870,870,1192,69,1259,273,13,283,223,0,227,78,0,78,37,0,37,1805,959,2763
UCL114037,..,634,634,710,26,739,319,5,327,279,0,287,151,0,151,57,0,57,1525,673,2197
UCL114038,..,1109,1109,951,72,1029,378,12,391,304,0,304,183,0,183,95,0,95,1915,1191,3103
UCL115001,..,231,231,257,17,273,104,0,104,81,0,81,57,0,57,16,0,16,510,246,759
UCL115002,..,322,322,538,33,568,240,4,248,240,0,240,103,0,103,50,0,50,1171,364,1539
UCL115003,..,106,106,212,12,219,168,0,167,207,0,207,107,0,107,59,0,59,751,122,871
UCL115004,..,199,199,289,15,304,79,3,81,79,8,91,32,0,33,18,7,22,495,232,729
UCL115005,..,146,146,138,8,148,48,6,55,32,0,32,19,0,19,14,0,11,247,159,411
UCL115006,..,143,143,212,25,232,155,16,163,140,4,150,46,0,46,17,0,17,573,177,758
UCL115007,..,280,280,360,14,376,180,0,183,179,0,179,113,0,113,54,0,54,886,297,1185
UCL115008,..,221,221,187,9,199,40,0,40,27,0,27,19,0,19,9,0,9,285,230,515
UCL115009,..,193,193,278,13,287,86,5,87,79,0,79,36,0,36,12,0,12,495,211,704
UCL115010,..,244,244,175,15,194,43,0,43,19,0,19,5,0,5,9,0,9,247,260,506
UCL115011,..,152,152,209,28,235,88,3,91,81,0,81,37,0,37,12,0,12,421,185,602
UCL115012,..,147,147,154,9,165,50,6,53,28,0,28,23,0,23,5,0,5,262,161,418
UCL115013,..,605,605,571,46,620,223,10,231,185,0,181,75,0,81,44,0,44,1095,664,1762
UCL115014,..,378,378,353,53,408,181,8,187,158,0,158,69,0,69,29,0,29,793,436,1227
UCL115015,..,265,265,326,18,342,70,0,69,60,0,60,15,0,15,16,0,16,489,281,773
UCL115016,..,131,131,135,15,143,55,0,55,51,0,51,20,0,20,5,0,5,260,149,407
UCL115017,..,291,291,447,15,464,101,0,101,104,0,104,50,0,50,7,0,7,715,308,1021
UCL115018,..,175,175,195,14,215,37,0,36,28,0,28,11,0,11,5,0,5,281,190,471
UCL115019,..,743,743,766,52,821,260,6,266,143,6,149,59,0,60,20,0,20,1249,803,2055
UCL115020,..,363,363,383,20,405,170,0,172,132,0,132,71,0,77,42,0,42,800,386,1185
UCL115021,..,176,176,159,9,165,52,3,53,46,0,47,20,0,20,5,0,8,284,192,468
UCL115022,..,236,236,459,21,480,133,4,143,154,0,154,51,0,51,25,0,25,824,262,1090
UCL115023,..,195,195,196,5,200,54,0,54,46,0,46,22,0,22,20,0,20,330,206,539
UCL115024,..,162,162,122,3,127,87,6,87,55,0,56,41,0,41,22,0,22,321,175,495
UCL115025,..,74,74,147,4,148,105,0,109,90,0,90,46,0,46,22,0,22,412,83,493
UCL115026,..,211,211,196,10,203,73,0,69,56,0,56,21,0,21,11,0,11,354,220,576
UCL115027,..,233,233,335,12,348,180,0,178,160,0,165,83,0,80,43,0,43,794,247,1046
UCL115028,..,287,287,381,17,398,125,4,127,119,0,118,44,0,46,15,0,15,683,310,993
UCL115029,..,265,265,200,48,249,91,13,107,68,0,71,29,0,28,7,0,7,397,320,719
UCL115030,..,146,146,184,17,197,58,0,59,36,0,33,22,0,22,9,0,9,311,160,473
UCL115031,..,355,355,498,15,518,102,4,106,98,0,103,42,0,42,15,0,18,759,377,1138
UCL115032,..,178,178,305,17,327,101,0,100,118,0,114,44,0,44,26,0,26,590,202,795
UCL115033,..,182,182,418,7,426,247,0,250,299,0,299,104,0,104,39,0,39,1117,186,1303
UCL115034,..,87,87,168,10,184,108,0,107,125,0,125,51,0,51,20,0,20,474,97,572
UCL115035,..,310,310,424,24,456,234,0,234,241,4,247,118,0,118,42,0,42,1055,344,1402
UCL115036,..,329,329,534,25,559,144,4,145,128,0,128,54,0,54,26,0,26,889,356,1250
UCL115037,..,58,58,148,10,154,77,0,77,70,0,71,36,0,36,13,0,13,343,61,411
UCL115038,..,216,216,216,24,239,68,0,68,44,0,44,18,0,18,21,0,21,361,243,603
UCL115039,..,409,409,373,21,396,141,3,146,140,0,137,65,0,65,35,0,35,753,432,1188
UCL115040,..,103,103,166,6,181,94,0,95,88,0,88,37,0,37,36,0,36,417,108,533
UCL115041,..,327,327,293,18,309,138,3,140,92,0,92,64,0,64,23,0,23,603,351,950
UCL115042,..,188,188,254,11,255,83,0,83,59,3,57,55,0,59,20,0,20,467,198,670
UCL115043,..,323,323,301,15,318,103,0,103,77,0,77,33,0,33,24,0,24,532,341,878
UCL115044,..,294,294,240,34,269,120,0,125,73,0,73,46,0,46,32,0,32,517,328,843
UCL115045,..,125,125,130,21,144,53,0,53,32,0,32,23,0,23,19,0,19,254,140,398
UCL115046,..,108,108,202,21,224,87,3,91,93,4,95,43,0,43,23,4,23,450,133,581
UCL115047,..,309,309,327,12,336,107,0,107,78,0,78,35,0,35,29,0,29,569,313,891
UCL115048,..,479,479,593,44,635,180,8,188,142,6,143,63,3,65,21,0,24,996,534,1527
UCL115049,..,152,152,143,11,155,54,0,55,48,0,48,26,0,26,13,0,13,287,157,448
UCL115050,..,71,71,202,8,206,117,6,122,152,6,159,61,0,66,18,0,18,552,86,643
UCL115051,..,255,255,374,21,394,72,4,75,71,0,71,35,0,35,13,0,13,566,275,843
UCL115052,..,206,206,200,4,204,83,0,83,76,0,76,29,0,29,19,0,19,412,207,623
UCL115053,..,195,195,171,6,178,45,0,45,38,0,38,14,0,14,4,0,4,270,208,482
UCL115054,..,46,46,103,5,106,52,0,52,68,0,68,31,0,31,30,0,30,289,48,339
UCL115055,..,326,326,313,15,329,108,0,108,92,0,92,48,0,48,20,0,20,576,346,922
UCL115056,..,441,441,494,30,527,134,3,135,103,0,105,56,0,56,34,0,34,820,479,1297
UCL115057,..,436,436,477,34,510,122,0,123,109,0,108,40,0,40,30,0,30,774,472,1251
UCL115058,..,210,210,337,11,346,69,0,69,46,0,45,26,0,26,3,0,3,486,220,703
UCL115059,..,300,300,273,19,296,59,0,59,57,0,57,28,0,28,9,0,9,433,317,754
