UCL_CODE_2021,F_Health_Occ_Mng,F_Health_Occ_Pro,F_Health_Occ_TTW,F_Health_Occ_CPS,F_Health_Occ_CA,F_Health_Occ_Sal,F_Health_Occ_MOD,F_Health_Occ_Lab,F_Health_Occ_IDNS,F_Health_Total,F_Educat_Occ_Mng,F_Educat_Occ_Pro,F_Educat_Occ_TTW,F_Educat_Occ_CPS,F_Educat_Occ_CA,F_Educat_Occ_Sal,F_Educat_Occ_MOD,F_Educat_Occ_Lab,F_Educat_Occ_IDNS,F_Educat_Total,F_ManagCom_Occ_Mng,F_ManagCom_Occ_Pro,F_ManagCom_Occ_TTW,F_ManagCom_Occ_CPS,F_ManagCom_Occ_CA,F_ManagCom_Occ_Sal,F_ManagCom_Occ_MOD,F_ManagCom_Occ_Lab,F_ManagCom_Occ_IDNS,F_ManagCom_Total,F_SocietCultu_Occ_Mng,F_SocietCultu_Occ_Pro,F_SocietCultu_Occ_TTW,F_SocietCultu_Occ_CPS,F_SocietCultu_Occ_CA,F_SocietCultu_Occ_Sal,F_SocietCultu_Occ_MOD,F_SocietCultu_Occ_Lab,F_SocietCultu_Occ_IDNS,F_SocietCultu_Total,F_CreatArt_Occ_Mng,F_CreatArt_Occ_Pro,F_CreatArt_Occ_TTW,F_CreatArt_Occ_CPS,F_CreatArt_Occ_CA,F_CreatArt_Occ_Sal,F_CreatArt_Occ_MOD,F_CreatArt_Occ_Lab,F_CreatArt_Occ_IDNS,F_CreatArt_Total,F_FoodHospPersServ_Occ_Mng,F_FoodHospPersServ_Occ_Pro,F_FoodHospPersServ_Occ_TTW,F_FoodHospPersServ_Occ_CPS,F_FoodHospPersServ_Occ_CA,F_FoodHospPersServ_Occ_Sal,F_FoodHospPersServ_Occ_MOD,F_FoodHospPersServ_Occ_Lab,F_FoodHospPersServ_Occ_IDNS,F_FoodHospPersServ_Total,F_MixFieldProg_Occ_Mng,F_MixFieldProg_Occ_Pro,F_MixFieldProg_Occ_TTW,F_MixFieldProg_Occ_CPS,F_MixFieldProg_Occ_CA,F_MixFieldProg_Occ_Sal,F_MixFieldProg_Occ_MOD,F_MixFieldProg_Occ_Lab,F_MixFieldProg_Occ_IDNS,F_MixFieldProg_Total,F_FS_ID_Occ_Mng,F_FS_ID_Occ_Pro,F_FS_ID_Occ_TTW,F_FS_ID_Occ_CPS,F_FS_ID_Occ_CA,F_FS_ID_Occ_Sal,F_FS_ID_Occ_MOD,F_FS_ID_Occ_Lab,F_FS_ID_Occ_IDNS,F_FS_ID_Total,F_FS_NS_Occ_Mng,F_FS_NS_Occ_Pro,F_FS_NS_Occ_TTW,F_FS_NS_Occ_CPS,F_FS_NS_Occ_CA,F_FS_NS_Occ_Sal,F_FS_NS_Occ_MOD,F_FS_NS_Occ_Lab,F_FS_NS_Occ_IDNS,F_FS_NS_Total,F_Tot_Occ_Mng,F_Tot_Occ_Pro,F_Tot_Occ_TTW,F_Tot_Occ_CPS,F_Tot_Occ_CA,F_Tot_Occ_Sal,F_Tot_Occ_MOD,F_Tot_Occ_Lab,F_Tot_Occ_IDNS,F_Total_Total,P_NatPhySci_Occ_Mng,P_NatPhySci_Occ_Pro,P_NatPhySci_Occ_TTW,P_NatPhySci_Occ_CPS,P_NatPhySci_Occ_CA,P_NatPhySci_Occ_Sal,P_NatPhySci_Occ_MOD,P_NatPhySci_Occ_Lab,P_NatPhySci_Occ_IDNS,P_NatPhySci_Total,P_InfoTechn_Occ_Mng,P_InfoTechn_Occ_Pro,P_InfoTechn_Occ_TTW,P_InfoTechn_Occ_CPS,P_InfoTechn_Occ_CA,P_InfoTechn_Occ_Sal,P_InfoTechn_Occ_MOD,P_InfoTechn_Occ_Lab,P_InfoTechn_Occ_IDNS,P_InfoTechn_Total,P_EngRelTech_Occ_Mng,P_EngRelTech_Occ_Pro,P_EngRelTech_Occ_TTW,P_EngRelTech_Occ_CPS,P_EngRelTech_Occ_CA,P_EngRelTech_Occ_Sal,P_EngRelTech_Occ_MOD,P_EngRelTech_Occ_Lab,P_EngRelTech_Occ_IDNS,P_EngRelTech_Total,P_ArchitBuild_Occ_Mng,P_ArchitBuild_Occ_Pro,P_ArchitBuild_Occ_TTW,P_ArchitBuild_Occ_CPS,P_ArchitBuild_Occ_CA,P_ArchitBuild_Occ_Sal,P_ArchitBuild_Occ_MOD,P_ArchitBuild_Occ_Lab,P_ArchitBuild_Occ_IDNS,P_ArchitBuild_Total,P_AgriEnviRelStu_Occ_Mng,P_AgriEnviRelStu_Occ_Pro,P_AgriEnviRelStu_Occ_TTW,P_AgriEnviRelStu_Occ_CPS,P_AgriEnviRelStu_Occ_CA,P_AgriEnviRelStu_Occ_Sal,P_AgriEnviRelStu_Occ_MOD,P_AgriEnviRelStu_Occ_Lab,P_AgriEnviRelStu_Occ_IDNS,P_AgriEnviRelStu_Total,P_Health_Occ_Mng,P_Health_Occ_Pro,P_Health_Occ_TTW,P_Health_Occ_CPS,P_Health_Occ_CA,P_Health_Occ_Sal,P_Health_Occ_MOD,P_Health_Occ_Lab,P_Health_Occ_IDNS,P_Health_Total,P_Educat_Occ_Mng,P_Educat_Occ_Pro,P_Educat_Occ_TTW,P_Educat_Occ_CPS,P_Educat_Occ_CA,P_Educat_Occ_Sal,P_Educat_Occ_MOD,P_Educat_Occ_Lab,P_Educat_Occ_IDNS,P_Educat_Total,P_ManagCom_Occ_Mng,P_ManagCom_Occ_Pro,P_ManagCom_Occ_TTW,P_ManagCom_Occ_CPS,P_ManagCom_Occ_CA,P_ManagCom_Occ_Sal,P_ManagCom_Occ_MOD,P_ManagCom_Occ_Lab,P_ManagCom_Occ_IDNS,P_ManagCom_Total,P_SocietCultu_Occ_Mng,P_SocietCultu_Occ_Pro,P_SocietCultu_Occ_TTW,P_SocietCultu_Occ_CPS,P_SocietCultu_Occ_CA,P_SocietCultu_Occ_Sal,P_SocietCultu_Occ_MOD,P_SocietCultu_Occ_Lab,P_SocietCultu_Occ_IDNS,P_SocietCultu_Total,P_CreatArt_Occ_Mng,P_CreatArt_Occ_Pro,P_CreatArt_Occ_TTW,P_CreatArt_Occ_CPS,P_CreatArt_Occ_CA,P_CreatArt_Occ_Sal,P_CreatArt_Occ_MOD,P_CreatArt_Occ_Lab,P_CreatArt_Occ_IDNS,P_CreatArt_Total
UCL115143,0,23,4,6,5,0,0,0,4,42,10,38,0,12,8,0,3,0,0,67,16,13,0,13,38,4,0,8,0,85,4,20,0,32,12,4,0,4,0,83,3,8,0,4,3,0,0,0,0,17,3,0,4,9,8,3,0,0,0,27,0,0,0,5,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,3,0,0,0,0,4,0,0,0,0,5,37,101,19,76,80,16,9,20,12,360,0,3,4,0,4,0,0,3,0,14,0,0,0,0,0,0,0,0,0,3,11,4,31,6,5,0,17,11,0,81,10,0,33,3,0,0,0,8,0,67,3,3,10,0,3,0,3,9,0,39,0,21,4,13,5,0,0,0,4,52,10,49,0,14,8,0,4,0,0,86,20,24,0,9,50,3,4,7,0,120,12,30,3,38,17,5,3,4,0,112,3,10,3,4,3,0,0,0,0,23
UCL115144,5,33,3,18,8,7,0,4,0,67,3,33,0,9,5,0,0,0,0,60,13,9,3,11,26,8,0,0,0,67,0,10,0,30,10,6,0,0,0,61,0,7,4,3,0,0,0,0,0,16,3,0,3,11,4,0,0,3,0,33,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,8,0,0,4,3,0,0,0,0,0,6,34,106,21,82,56,23,0,11,6,335,0,7,0,0,4,0,0,0,0,11,0,0,0,0,0,0,0,0,0,4,10,3,42,5,0,4,14,14,0,107,14,0,38,0,0,0,4,13,0,72,0,5,4,5,0,0,0,3,0,17,4,43,5,19,6,7,0,4,0,86,6,49,0,8,5,0,0,3,0,75,20,19,9,6,31,9,5,6,0,96,0,14,3,38,12,6,3,0,0,81,0,13,4,7,0,3,0,0,0,24
UCL115145,4,31,0,3,5,0,0,0,0,48,0,30,0,9,0,0,0,0,0,41,6,6,0,0,17,7,0,0,0,42,3,13,0,22,8,0,0,4,0,49,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,7,24,97,6,55,30,10,0,10,0,227,0,7,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,4,11,9,16,0,3,0,0,8,0,40,3,5,12,0,0,0,3,0,0,29,8,6,0,0,0,0,0,0,0,17,4,41,0,9,5,0,0,0,0,71,4,43,3,9,0,0,0,0,0,65,21,11,0,3,17,7,0,0,0,65,4,14,0,35,9,0,0,4,0,65,4,3,0,0,0,0,0,0,0,10
UCL115146,3,49,6,21,3,0,0,0,0,88,5,59,0,9,10,0,0,3,0,95,20,14,0,5,44,3,0,0,0,96,9,34,0,24,7,3,0,3,0,81,0,11,0,0,0,0,0,0,0,16,0,0,8,8,6,3,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,7,49,192,16,79,83,16,0,11,5,452,3,17,3,3,4,0,0,0,0,26,4,3,0,0,0,0,0,0,0,10,28,21,40,12,11,6,0,9,0,120,16,13,48,9,0,0,3,5,0,96,3,11,3,0,0,0,0,0,0,23,5,69,10,19,8,0,0,0,0,108,13,79,0,9,10,0,0,3,0,120,37,27,6,9,46,8,0,0,0,141,15,46,0,30,10,3,0,8,3,114,3,15,0,0,0,5,0,0,0,23
UCL115147,3,21,0,7,3,0,0,0,0,45,6,27,0,7,0,0,0,0,0,39,8,7,0,0,9,3,0,0,0,34,7,5,0,17,8,0,0,3,0,40,0,4,0,0,0,0,0,0,0,5,0,0,4,0,0,5,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,37,70,12,33,22,8,0,7,0,194,0,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,15,14,27,9,0,0,6,3,0,70,7,3,16,0,0,0,0,0,0,26,0,4,3,0,0,0,0,0,0,9,3,31,3,9,3,0,0,0,0,55,6,37,0,11,0,0,0,3,0,50,19,15,5,0,13,7,0,0,0,59,16,13,0,22,8,3,0,3,0,63,0,5,0,0,0,0,0,0,0,9
UCL115148,0,8,0,15,0,0,0,0,0,28,3,13,0,0,6,3,0,3,0,29,3,0,0,4,26,4,3,0,0,45,0,0,0,10,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,8,5,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,7,16,28,9,33,37,17,8,16,0,159,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,7,4,37,6,0,0,17,8,0,77,4,0,10,0,0,0,4,0,0,20,4,5,3,4,0,7,5,5,0,33,3,11,0,20,0,0,0,0,0,39,4,19,0,0,6,3,0,3,0,34,10,8,0,3,27,4,5,0,0,58,0,11,0,9,3,0,0,0,0,29,0,6,0,0,0,0,0,0,0,7
UCL115149,0,11,0,15,4,0,0,0,0,30,7,20,0,3,0,0,0,0,0,40,5,0,0,5,13,0,0,0,0,27,0,5,0,13,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,4,11,40,5,46,20,4,4,3,0,133,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,9,0,15,0,3,0,5,0,0,29,0,0,10,0,0,0,0,3,0,20,0,0,0,0,0,0,0,0,0,5,0,17,0,17,4,0,0,0,4,39,5,29,0,3,0,0,0,0,0,42,11,5,0,6,13,4,0,3,0,36,0,10,0,39,0,0,0,5,0,54,0,0,0,0,0,0,0,0,0,4
UCL115150,0,10,0,5,3,0,0,0,0,13,3,13,0,4,6,0,0,0,0,30,18,5,0,4,21,10,0,0,0,58,4,5,0,12,6,0,0,0,0,33,0,4,0,0,3,0,0,0,0,12,4,0,0,3,6,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,30,39,3,34,40,11,5,0,0,168,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,6,3,6,40,0,0,0,8,6,0,68,10,0,19,0,0,0,4,6,0,43,5,0,3,0,0,0,0,0,0,9,0,6,0,5,3,0,0,0,0,15,10,13,0,4,6,0,0,0,0,32,23,12,0,9,28,14,5,0,0,79,4,5,0,14,6,0,0,0,0,33,0,4,0,0,3,0,0,0,0,12
UCL115151,0,13,0,19,6,3,0,3,0,43,0,12,0,12,0,0,0,0,0,31,9,0,0,7,40,7,0,4,0,69,10,13,0,27,7,0,0,4,0,59,0,3,0,0,0,0,0,0,0,4,0,0,3,5,3,0,0,7,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,10,27,51,5,74,63,15,5,15,0,263,4,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,13,12,3,83,9,3,0,39,5,0,160,3,0,19,0,0,0,4,3,0,28,0,0,3,3,0,0,0,0,0,13,4,23,4,19,6,3,0,3,0,57,5,18,0,12,0,0,0,0,0,32,15,3,0,10,40,7,0,6,0,89,9,13,0,37,5,0,0,3,0,77,0,3,0,0,0,0,0,0,0,5
UCL115152,0,14,0,19,5,0,0,0,0,43,0,13,0,0,0,0,0,0,0,13,0,3,0,0,13,6,0,0,0,24,0,8,0,9,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,34,10,34,21,12,0,8,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,21,4,0,4,5,9,0,50,3,0,4,0,0,0,4,0,0,13,0,7,5,0,0,5,0,4,0,13,0,18,0,22,5,0,0,0,0,46,7,9,0,7,0,0,0,0,0,25,0,3,3,3,13,6,0,0,0,26,0,9,0,9,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,3
UCL115153,4,9,0,3,3,0,0,0,0,23,3,16,0,9,0,0,0,0,0,29,0,0,0,5,13,0,0,0,0,18,0,0,0,0,3,0,3,0,0,20,0,0,0,0,0,0,0,0,0,3,5,0,5,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,5,0,8,16,28,7,25,28,9,8,7,0,132,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,9,0,28,0,0,4,8,7,0,57,0,0,3,0,0,0,3,0,0,11,6,6,4,0,0,0,0,3,0,16,4,11,0,7,3,0,0,0,0,29,4,21,0,9,0,0,0,0,0,39,9,0,0,5,15,7,0,0,0,30,0,3,0,13,3,0,3,5,0,30,0,0,0,0,0,0,0,0,0,3
UCL115154,0,15,0,12,0,0,0,0,0,30,3,20,0,4,0,0,0,0,0,30,3,3,0,6,16,4,0,3,0,36,0,5,0,24,4,3,0,8,0,43,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,6,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,49,3,47,18,16,7,9,6,167,0,5,0,0,0,0,0,0,0,8,0,0,0,0,0,0,3,0,0,3,4,3,36,0,0,7,21,6,0,80,0,3,6,0,0,0,0,0,0,11,7,8,6,0,0,0,0,3,0,23,0,17,0,12,3,0,0,0,0,42,6,35,0,7,0,0,0,0,0,44,12,0,0,4,16,8,5,3,0,51,0,11,0,29,4,6,0,7,3,58,0,0,0,0,0,0,0,0,0,0
UCL115155,6,28,3,30,14,5,0,0,0,83,5,51,0,27,10,0,0,0,0,91,9,8,7,12,35,6,0,21,0,98,4,21,0,46,8,4,4,3,0,92,0,6,0,0,0,0,0,0,0,14,6,0,8,15,3,7,0,4,0,43,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,3,0,4,0,3,0,9,0,21,27,117,22,135,76,28,4,51,5,458,0,0,5,0,0,0,0,7,0,12,0,4,0,0,0,0,0,0,0,10,11,3,57,15,7,0,21,16,3,137,9,0,21,5,0,0,8,0,0,47,4,3,6,3,0,0,3,7,0,31,6,39,9,30,14,6,0,0,0,109,8,57,0,31,10,0,0,0,0,107,20,21,13,27,46,14,6,29,0,167,5,23,0,66,8,4,5,15,3,141,0,6,0,3,0,0,0,4,0,23
UCL115156,0,11,0,6,0,0,0,3,0,23,0,10,0,5,0,0,0,0,0,21,3,3,0,4,8,0,0,4,0,27,0,7,0,15,3,0,0,0,0,33,0,0,0,0,0,0,0,0,0,5,0,0,0,3,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14,40,4,35,23,4,0,8,0,136,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,3,0,21,0,0,0,9,0,0,43,0,4,6,0,4,0,6,4,0,12,4,0,5,0,7,0,0,4,0,17,0,14,0,6,0,0,0,3,0,29,0,14,0,5,0,0,0,0,0,28,9,9,0,4,8,0,0,4,0,38,0,10,0,19,0,0,0,0,0,38,0,4,0,0,0,0,0,0,0,7
UCL115157,0,7,0,8,0,0,0,0,0,25,0,4,0,5,0,0,0,0,0,14,0,7,0,4,14,0,0,0,0,27,0,8,0,12,0,0,0,4,0,22,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,22,6,40,19,6,0,12,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,6,18,3,0,50,0,0,5,0,0,0,4,0,0,14,0,0,0,0,0,0,0,0,0,8,0,7,0,8,0,0,0,0,0,20,0,9,0,5,0,0,0,0,0,19,0,7,0,4,17,3,5,0,0,38,0,8,0,19,0,0,0,4,0,29,0,0,0,0,0,0,0,0,0,0
UCL115158,5,23,6,14,0,7,0,0,0,58,5,44,0,15,13,3,0,0,0,80,10,12,3,7,52,10,3,3,0,104,4,8,0,29,4,6,0,4,0,54,0,0,5,0,3,0,0,0,0,5,4,0,11,4,0,0,5,4,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,3,16,33,101,26,71,72,21,9,24,8,375,4,10,0,0,0,0,0,0,0,20,0,0,4,0,0,0,0,0,0,7,19,21,88,0,3,5,33,13,0,178,5,0,23,0,3,0,3,3,4,37,5,5,13,0,0,0,5,0,0,33,6,36,5,20,4,5,0,0,0,79,12,55,3,15,13,3,4,4,0,102,24,13,13,9,53,15,10,3,0,139,4,11,0,29,8,6,0,6,0,61,0,0,5,4,3,0,3,0,0,10
UCL115159,4,26,5,9,6,0,0,0,0,45,9,35,0,11,0,0,0,0,0,56,14,14,5,7,46,7,0,5,0,88,5,7,0,11,16,4,0,0,0,48,0,3,3,4,6,4,0,0,0,17,4,0,8,6,7,6,0,4,0,31,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,7,42,97,19,51,83,15,9,9,0,323,5,5,3,0,3,0,0,0,0,15,5,5,0,0,0,0,0,0,0,10,16,7,64,7,4,5,19,3,0,118,8,0,46,0,0,0,3,12,0,75,3,3,10,0,5,0,3,0,0,26,5,24,0,11,6,0,0,3,0,51,11,47,3,11,4,0,0,0,0,71,33,18,10,7,48,10,7,5,0,127,12,17,0,17,13,4,4,0,3,64,0,3,3,4,6,4,0,0,0,21
UCL115160,5,41,3,8,8,4,0,0,0,70,19,76,0,12,4,0,0,0,0,111,36,31,0,11,69,12,0,3,0,159,10,21,0,34,13,0,0,3,0,81,0,4,0,0,3,0,0,0,0,19,0,0,9,4,6,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,3,0,0,0,0,5,80,180,24,70,118,24,11,11,7,525,3,9,0,0,3,0,0,0,0,14,8,15,3,0,3,0,0,0,0,26,40,21,107,5,11,8,29,15,7,234,20,3,58,3,0,3,8,14,0,104,3,0,7,0,0,3,3,4,0,19,10,54,3,15,8,8,0,3,0,93,28,90,0,13,4,0,0,0,0,139,74,42,8,12,83,14,4,3,0,243,10,28,0,63,13,5,3,4,0,124,4,9,3,0,8,0,0,0,0,29
UCL115161,4,69,0,48,0,3,0,5,0,135,8,37,0,22,4,0,0,0,0,76,9,14,3,11,50,10,0,0,3,104,9,23,4,80,9,8,0,5,3,145,3,4,0,0,3,0,0,0,0,7,4,0,20,7,5,8,0,5,0,42,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,7,0,0,0,11,0,4,0,0,0,21,34,160,33,187,79,43,9,27,8,555,0,4,0,0,0,0,0,0,0,13,0,5,0,0,0,0,3,0,0,14,16,5,74,7,11,6,29,31,0,175,9,0,37,3,4,3,7,7,0,62,4,0,12,8,0,0,6,11,0,41,9,89,4,57,0,4,0,5,5,170,8,51,0,28,4,4,4,0,0,95,16,15,5,21,60,12,4,5,3,142,5,32,4,96,9,8,3,5,4,171,5,3,0,6,3,0,0,0,0,20
UCL115162,4,62,0,17,8,0,0,0,0,100,14,57,0,17,4,0,0,0,0,96,10,28,6,13,61,15,0,9,0,140,12,31,0,43,13,0,0,0,0,99,4,5,0,4,4,0,0,0,0,15,0,0,10,10,8,9,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,8,49,195,20,115,113,32,5,18,6,542,3,13,7,3,3,0,0,0,0,25,5,9,0,0,0,0,0,0,0,18,10,11,56,3,7,9,13,14,0,130,11,0,31,0,0,0,3,9,0,55,6,3,17,0,5,3,0,10,0,47,6,82,7,23,11,0,0,5,0,129,13,81,3,25,4,0,0,0,0,129,18,40,11,12,63,23,7,8,0,194,11,49,3,60,14,0,4,3,0,143,3,10,3,7,5,3,0,0,0,32
UCL115163,0,24,4,12,9,0,0,4,0,51,4,17,0,11,0,0,0,0,0,41,9,3,0,7,27,14,3,0,0,67,5,14,0,16,6,0,0,0,0,49,0,0,0,0,0,0,0,0,0,5,0,0,9,10,6,5,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,7,34,62,18,64,47,14,0,13,3,263,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,4,0,0,11,19,12,58,3,7,0,24,10,0,133,10,0,37,0,0,0,4,3,0,58,0,0,5,0,0,0,5,0,0,8,0,29,4,16,9,0,0,4,0,58,4,19,0,13,3,0,3,0,0,44,21,9,5,9,26,12,3,0,0,90,13,15,3,29,11,3,5,0,0,67,0,4,0,0,0,0,0,0,0,8
UCL115164,0,10,3,8,0,0,0,3,0,24,3,10,0,0,0,0,0,0,0,12,3,3,0,6,21,10,0,0,0,40,4,4,0,22,5,0,0,0,0,33,0,3,0,0,0,0,0,0,0,3,0,0,9,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,36,8,35,29,9,0,0,0,137,0,0,3,4,0,0,0,0,0,7,0,0,0,0,0,0,0,3,0,8,6,8,40,0,0,4,5,3,3,71,5,0,10,0,0,0,0,4,0,26,0,0,0,0,0,0,0,3,0,5,0,13,3,11,0,0,0,3,0,34,3,14,0,0,0,0,0,0,0,16,15,8,0,4,26,12,0,0,0,63,8,4,0,21,5,0,0,0,0,36,0,7,4,0,0,0,0,0,0,11
UCL115165,0,8,4,10,0,0,0,0,3,26,0,13,0,12,0,0,0,0,0,24,6,3,0,4,23,9,0,0,0,39,3,3,0,6,3,3,0,4,0,19,0,0,0,0,0,0,0,0,0,0,0,0,7,3,3,0,0,3,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,3,0,13,13,30,12,32,31,12,3,13,4,152,7,3,5,0,0,0,0,4,0,12,0,0,0,0,0,0,0,0,0,0,6,5,38,0,0,0,12,10,7,78,3,0,15,0,0,0,4,0,0,23,0,5,3,0,0,0,0,0,0,14,0,15,4,10,0,0,0,0,3,28,0,14,0,12,0,0,0,0,0,35,6,3,0,0,19,5,0,0,0,45,3,0,0,9,3,3,0,4,0,21,0,0,0,0,0,0,0,0,0,3
UCL121001,7,14,0,3,4,0,0,0,0,33,0,6,0,6,4,0,0,0,0,21,8,3,0,0,7,0,0,0,0,18,0,0,0,12,4,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,27,5,19,21,4,0,10,8,107,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,7,24,0,3,3,12,7,0,57,0,0,3,0,0,0,5,0,0,11,5,0,0,0,0,0,0,3,3,21,7,15,0,3,4,0,0,0,0,30,6,11,0,6,4,0,0,0,0,24,7,3,0,0,9,0,5,3,0,22,0,4,0,6,4,0,0,0,0,22,0,0,0,0,0,0,0,0,0,6
UCL121002,0,11,0,7,0,0,0,0,0,17,0,15,0,0,0,0,0,0,0,19,0,0,0,0,10,0,0,0,0,11,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,26,0,14,10,0,0,5,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,4,0,15,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,12,0,12,0,0,0,0,0,18,0,19,0,0,0,0,0,0,0,23,0,0,0,0,10,0,0,0,0,12,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
UCL121003,0,5,0,0,0,0,0,0,0,15,3,15,0,3,0,0,0,0,0,23,3,0,0,0,0,4,0,0,0,16,6,12,0,5,0,0,0,6,0,23,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,39,0,7,14,13,0,0,0,90,0,3,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,5,13,0,0,0,0,5,0,25,9,0,16,0,0,0,0,0,0,23,0,0,3,0,0,0,0,3,0,11,0,12,0,0,3,0,0,0,0,18,5,19,0,3,0,5,0,0,0,36,4,5,0,0,5,4,0,0,0,23,8,16,0,3,0,0,0,0,0,35,0,6,0,0,0,4,0,0,0,11
