UCL_CODE_2021,Sme_Usl_ad_5_yr_ago_as_2021_M,Sme_Usl_ad_5_yr_ago_as_2021_F,Sme_Usl_ad_5_yr_ago_as_2021_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
UCL321007,324,305,630,27,29,60,7,10,15,6,3,7,234,245,482,3,3,3,4,0,0,4,7,11,3,4,3,0,3,5,0,0,0,262,266,534,22,18,42,6,5,14,323,326,648,118,84,205,766,711,1482
UCL321008,272,260,535,21,22,45,6,8,13,14,12,27,83,94,178,0,0,0,3,0,4,0,0,0,11,3,18,0,0,3,0,0,0,119,129,247,3,3,10,0,4,4,151,159,306,74,63,133,494,483,977
UCL321009,299,315,614,90,90,185,4,12,9,7,3,3,93,105,197,0,0,5,3,3,6,0,0,0,4,5,5,0,0,0,0,0,0,104,124,227,10,14,19,3,0,6,202,229,431,70,66,142,574,605,1186
UCL321010,224,230,459,46,46,91,3,3,9,3,4,12,73,81,153,0,0,0,3,10,15,0,0,0,0,0,0,0,0,0,0,0,0,85,104,191,20,17,33,8,8,11,156,168,327,23,22,49,410,423,834
UCL321011,255,220,477,12,11,23,0,0,4,0,0,4,81,85,161,0,0,0,0,5,7,0,0,0,0,0,3,0,0,0,0,0,0,86,94,182,3,0,3,0,3,6,103,105,210,24,17,43,385,344,731
UCL321012,176,172,350,28,20,54,0,3,10,0,0,4,47,47,94,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,56,59,116,0,6,0,3,5,8,89,89,180,47,51,95,316,314,629
UCL321013,218,206,421,28,23,48,15,16,32,4,0,7,75,62,137,0,5,6,5,0,8,0,0,0,0,5,11,3,0,6,0,0,0,109,98,206,7,6,14,0,4,4,144,132,277,33,30,58,390,363,753
UCL321014,151,127,278,5,3,14,0,0,5,0,0,0,80,67,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,68,158,3,6,5,5,0,5,98,76,170,23,13,31,268,220,485
UCL321015,286,291,578,72,69,147,12,6,19,0,3,8,60,76,134,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,92,171,0,9,11,10,3,13,158,182,334,49,50,100,499,520,1016
UCL321016,145,160,302,34,38,72,5,3,5,0,0,4,52,71,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,75,136,4,4,5,0,0,0,98,116,213,27,32,57,269,304,577
UCL321017,293,297,596,26,26,56,9,4,17,0,0,0,110,115,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,128,124,252,3,4,10,0,0,4,158,155,317,18,16,39,474,475,946
UCL321018,207,171,372,14,20,32,4,7,12,9,0,12,72,85,156,0,0,0,0,5,7,0,4,3,0,3,0,0,0,0,0,0,0,96,104,199,0,3,5,4,0,3,115,129,240,26,24,51,342,320,668
UCL321019,302,273,571,13,25,37,4,6,11,6,8,7,109,118,229,5,4,3,0,0,3,4,0,3,9,0,6,0,0,0,0,0,0,129,143,271,0,0,3,6,6,16,156,172,330,32,17,49,489,465,949
UCL321020,211,208,420,8,10,21,14,20,36,3,0,3,126,126,258,0,0,0,3,5,7,0,0,0,3,3,6,0,0,3,0,0,0,156,155,309,6,6,14,9,12,24,186,183,369,19,17,35,417,411,821
UCL321021,214,212,425,5,3,10,7,9,11,0,0,0,71,83,154,0,0,0,3,0,3,0,0,0,0,3,10,0,0,0,0,0,0,78,94,174,0,0,3,5,0,9,87,108,191,60,47,104,356,368,727
UCL321022,170,182,353,16,20,37,5,9,18,6,0,4,65,78,144,0,4,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,76,98,177,7,8,17,5,0,5,106,123,229,32,28,62,304,338,643
UCL321023,234,221,462,23,18,36,3,0,4,0,3,0,63,56,119,0,0,0,0,0,0,0,0,3,3,4,4,0,0,0,0,0,0,71,69,137,4,3,4,3,0,4,97,91,184,40,19,63,374,340,708
UCL321024,151,139,287,6,9,22,4,7,12,7,0,9,72,78,146,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,91,88,176,3,4,3,0,8,8,103,109,211,12,5,19,261,256,517
UCL321025,94,95,183,23,26,50,19,21,47,18,12,31,90,109,194,3,0,3,0,4,3,0,0,5,0,0,5,0,0,0,0,0,0,130,152,283,3,5,9,0,0,3,161,188,341,18,18,36,269,299,565
UCL321026,136,133,269,25,30,53,0,5,6,5,3,10,48,45,91,0,0,5,5,0,0,0,3,3,0,4,6,0,0,0,0,0,0,55,61,119,0,4,5,0,0,0,85,97,183,15,14,25,230,243,478
UCL321027,201,172,373,39,58,91,8,13,19,4,0,5,89,84,175,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,99,105,204,7,8,21,3,3,9,154,167,325,35,24,60,388,368,762
UCL321028,183,180,366,65,55,124,3,3,3,0,6,6,103,102,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,110,214,11,0,18,8,3,8,191,173,355,93,79,175,467,427,896
UCL321029,206,200,401,21,37,57,7,18,23,4,4,9,108,121,230,0,0,0,5,0,3,0,0,0,0,0,0,4,0,3,0,0,0,131,153,277,9,12,21,4,0,5,161,201,359,34,42,72,395,447,840
UCL321030,154,148,304,21,29,49,10,3,11,0,0,3,48,45,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,54,114,0,3,5,0,0,0,88,80,171,16,16,28,259,248,499
UCL321031,242,235,473,45,60,99,19,19,37,19,21,45,89,98,188,0,0,5,0,0,0,0,0,0,5,6,12,0,0,0,0,0,0,139,147,284,8,9,13,0,0,7,187,222,407,41,51,91,467,505,972
UCL321032,586,552,1132,36,30,62,52,56,103,26,32,53,166,192,355,8,11,15,3,3,4,0,0,0,0,4,8,0,4,4,0,0,0,249,295,547,16,17,35,10,4,12,309,351,662,60,62,118,957,959,1915
UCL321033,236,238,475,44,59,102,16,19,33,14,13,32,103,97,202,0,4,0,6,6,17,0,0,0,4,3,4,0,0,0,0,0,0,148,145,295,10,15,24,3,3,9,203,222,429,41,38,82,486,500,980
UCL321034,289,331,620,61,75,135,5,9,12,5,4,9,83,98,179,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,110,202,6,0,7,0,0,0,165,187,347,32,39,70,479,556,1038
UCL321035,470,448,918,48,61,109,23,37,60,13,17,25,298,293,588,9,7,18,0,7,5,0,0,0,5,4,10,0,0,0,0,0,0,352,356,713,12,11,22,10,8,16,416,436,854,65,39,106,944,925,1876
UCL321036,248,241,488,16,15,29,11,10,18,5,7,15,168,199,366,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,187,228,410,0,3,6,3,4,7,206,246,453,29,27,56,478,516,1000
UCL321037,239,205,444,42,49,92,4,3,10,0,0,4,49,65,117,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,60,74,128,8,3,8,0,0,0,113,124,241,46,31,79,394,370,760
UCL321038,196,186,382,26,25,53,23,23,44,12,12,25,134,146,285,0,3,3,3,3,7,0,0,6,0,0,0,0,0,4,0,0,0,182,194,378,9,3,9,0,4,7,219,226,451,22,21,45,440,439,876
UCL321039,257,281,543,16,23,37,25,20,41,0,0,7,119,133,248,4,4,3,0,5,4,0,4,0,5,3,6,5,0,8,0,0,0,153,170,324,16,13,31,3,0,4,184,207,390,17,22,45,462,509,971
UCL321040,186,172,354,31,27,55,10,10,21,6,4,7,64,75,135,4,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,80,92,175,3,5,15,3,0,6,118,123,242,12,18,36,316,318,638
UCL321041,191,216,406,73,64,137,10,7,14,0,0,0,77,76,157,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,93,85,175,17,16,35,0,0,0,185,166,350,65,48,113,443,433,874
UCL321042,167,168,336,32,26,58,5,6,14,0,0,0,84,89,170,0,0,0,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,89,95,190,0,0,0,9,7,12,131,126,260,18,15,34,320,305,626
UCL321043,222,202,424,4,8,13,8,3,17,0,0,0,111,93,205,0,0,0,0,4,6,0,0,3,0,0,0,0,0,0,0,0,0,121,105,225,0,9,5,0,0,0,131,119,245,11,9,17,367,332,697
UCL321044,452,392,846,29,26,44,42,43,90,17,13,31,277,265,542,8,9,9,8,9,16,3,0,3,8,8,12,6,0,6,0,0,0,363,349,707,15,16,34,20,8,30,421,397,818,144,127,274,1021,913,1932
