UCL_CODE_2021,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
UCL122005,32,25,11,0,132
UCL122006,23,41,6,9,135
UCL122007,30,40,26,4,179
UCL122008,25,11,8,0,123
UCL122009,16,17,5,0,121
UCL122010,37,17,0,0,149
UCL122011,52,20,4,0,201
UCL122012,15,18,10,0,103
UCL122013,17,15,5,0,87
UCL122014,29,32,9,0,158
UCL122015,35,39,23,3,157
UCL122016,17,20,6,0,129
UCL122017,29,25,8,0,142
UCL122018,26,43,11,5,157
UCL122019,31,15,9,0,132
UCL122020,42,35,13,3,143
UCL122021,23,28,9,0,114
UCL122022,62,43,25,4,238
UCL122023,49,55,26,8,248
UCL122024,21,19,3,0,116
UCL122025,33,10,5,0,123
UCL122026,15,5,4,0,91
UCL122027,26,29,20,6,124
UCL122028,32,20,14,3,159
UCL122029,32,46,19,0,173
UCL122030,63,40,6,0,218
UCL122031,20,18,4,0,201
UCL122032,31,24,9,0,211
UCL122033,18,4,4,0,101
UCL122034,22,14,4,5,116
UCL122035,50,44,18,0,205
UCL122036,31,23,5,0,171
UCL122037,21,5,4,0,135
UCL122038,35,31,7,3,161
UCL122039,44,35,12,3,188
UCL122040,29,21,0,0,105
UCL122041,52,38,8,4,216
UCL122042,17,18,8,0,150
UCL122043,23,21,4,4,136
UCL122044,13,8,0,0,51
UCL122045,22,16,12,0,98
UCL122046,100,75,27,9,300
UCL122047,66,54,25,0,216
UCL122048,42,21,21,3,202
UCL122049,22,44,14,8,148
UCL122050,22,10,5,0,75
UCL122051,20,14,7,7,115
UCL122052,31,38,10,0,145
UCL122053,33,20,18,12,125
UCL122054,24,34,11,4,232
UCL122055,59,68,49,6,250
UCL122056,17,35,10,0,122
UCL122057,21,22,3,0,127
UCL122058,45,51,24,0,239
UCL122059,38,38,13,0,226
UCL122060,37,33,12,4,183
UCL122061,12,4,0,0,65
UCL122062,24,15,4,0,130
UCL122063,20,12,7,4,123
UCL122064,27,14,8,3,114
UCL122065,66,53,23,0,215
UCL122066,43,20,4,0,191
UCL122067,52,48,18,0,239
UCL122068,18,11,0,0,77
UCL122069,47,30,10,5,174
UCL122070,41,36,21,7,237
UCL122071,18,33,16,4,166
UCL122072,22,17,19,0,119
UCL122073,41,35,15,0,149
UCL122074,28,25,7,0,99
UCL122075,26,10,4,0,137
UCL122076,24,15,9,0,99
UCL122077,33,20,8,0,141
UCL122078,39,31,19,5,159
UCL122079,31,28,13,3,168
UCL122080,34,19,15,0,206
UCL122081,23,20,14,6,120
UCL122082,25,29,16,0,101
UCL122083,34,16,3,0,160
UCL122084,17,7,3,0,86
UCL122085,15,21,8,0,105
UCL122086,24,32,9,0,141
UCL122087,19,36,4,0,106
UCL122088,22,28,3,0,118
UCL122089,34,31,12,3,227
UCL122090,65,52,17,3,294
UCL122091,27,18,15,7,159
UCL122092,46,47,16,3,215
UCL122093,24,13,16,4,155
UCL122094,43,32,17,3,189
UCL122095,32,12,0,5,115
UCL122096,40,26,19,0,130
UCL122097,18,14,13,0,101
UCL122098,76,60,11,10,290
UCL122099,25,25,5,0,115
UCL122100,74,75,32,9,298
UCL122101,46,57,6,0,225
UCL122102,46,37,13,0,157
UCL122103,23,11,3,0,89
UCL122104,55,25,12,0,205
UCL122105,50,18,3,0,186
UCL122106,41,27,15,0,157
UCL122107,41,28,7,0,187
UCL122108,33,49,26,6,142
UCL122109,10,4,0,0,69
UCL122110,37,25,14,0,196
UCL122111,52,31,3,0,199
UCL122112,49,47,23,4,170
UCL122113,29,19,9,0,104
UCL122114,47,49,20,3,170
UCL122115,38,37,14,0,165
UCL122116,50,48,29,11,194
UCL122117,38,29,8,0,218
UCL122118,23,12,3,0,155
UCL122119,55,59,21,0,219
UCL122120,42,30,9,4,224
UCL122121,25,16,4,0,146
UCL122122,46,39,14,3,276
UCL122123,18,21,11,5,88
UCL122124,20,9,11,0,168
UCL122125,27,36,15,6,116
UCL122126,77,36,19,0,227
UCL122127,34,26,3,8,149
UCL122128,21,15,3,0,83
UCL122129,29,24,10,6,148
UCL122130,17,23,7,0,106
UCL122131,35,16,6,5,267
UCL122132,30,8,10,0,139
UCL122133,25,36,19,3,127
UCL122134,48,38,4,0,230
UCL122135,15,12,10,3,110
UCL122136,7,0,0,0,39
UCL122137,28,15,8,11,115
UCL122138,27,24,17,6,162
UCL122139,27,23,7,0,111
UCL122140,18,16,5,8,106
UCL122141,60,24,6,0,230
UCL122142,33,25,3,0,108
UCL122143,23,21,3,0,127
UCL122144,40,34,15,7,195
UCL122145,20,23,6,0,83
UCL122146,33,20,3,4,97
UCL122147,14,23,5,5,78
UCL122148,39,16,10,0,104
UCL122149,17,9,0,0,119
UCL122150,49,22,10,0,221
UCL122151,33,28,16,5,141
UCL122152,30,35,20,0,134
UCL122153,55,40,16,0,218
UCL122154,81,61,5,0,276
UCL122155,52,29,5,4,215
UCL122156,29,31,10,0,169
UCL122157,54,20,5,0,219
UCL122158,16,0,9,5,69
UCL131001,64023,47124,17711,3611,299166
UCL179997,0,0,0,0,0
UCL199994,1165,680,173,28,7237
UCL201001,310307,204701,101983,39436,2448922
UCL203001,7419,6018,3039,1193,52433
UCL203002,7223,5789,3043,1265,49136
UCL203003,12274,9208,4654,1781,93207
UCL211001,2637,2039,922,241,17955
UCL211002,3193,2173,805,181,32277
UCL212001,1315,1008,477,119,10216
UCL212002,1032,809,460,218,6316
UCL212003,2218,1666,844,351,15631
UCL212004,2175,2080,845,314,12454
UCL212005,3030,2230,1243,573,21755
UCL212006,2859,1792,764,250,18763
UCL212007,1894,1612,680,253,12955
UCL212008,2039,1507,833,313,13424
UCL212009,2565,1913,1000,425,16105
UCL213001,954,941,635,265,6286
UCL213002,1046,1089,657,300,6005
UCL213003,764,701,378,152,5185
UCL213004,969,918,458,115,6876
UCL213005,1373,1359,669,179,8210
UCL213006,843,526,316,128,5489
UCL213007,1101,866,441,187,7407
UCL213008,921,726,305,82,7565
UCL213009,907,667,426,145,6147
UCL213010,1177,1024,536,204,7083
UCL213011,979,748,415,240,6047
UCL213012,843,721,319,110,4643
UCL213013,1008,865,462,210,6831
UCL213014,645,475,293,130,4665
UCL213015,770,392,137,23,6513
UCL213016,1456,1232,757,332,9463
UCL213017,1460,1176,654,211,9616
UCL213018,590,712,435,150,3828
UCL214001,523,425,233,84,3049
UCL214002,316,240,131,65,2907
UCL214003,847,772,505,200,4761
UCL214004,297,323,184,79,2133
UCL214005,74,87,30,14,463
UCL214006,677,788,402,164,3586
UCL214007,243,123,33,4,2582
UCL214008,716,656,360,182,4460
UCL214009,814,594,354,139,4456
UCL214010,603,712,367,105,3280
UCL214011,558,442,254,84,4072
UCL214012,430,370,213,123,2605
UCL214013,393,362,227,101,2606
UCL214014,551,714,368,96,3121
UCL214015,369,403,253,73,2558
UCL214016,530,593,365,109,3241
UCL214017,672,924,527,167,3422
UCL214018,1095,1252,555,165,5025
UCL214019,474,346,179,75,2644
UCL214020,401,392,237,116,2523
UCL214021,319,295,125,79,2492
UCL214022,646,688,395,138,3792
UCL215001,271,232,85,22,980
UCL215002,215,230,108,40,1206
UCL215003,412,487,217,56,2051
UCL215004,153,159,66,22,818
UCL215005,80,109,41,20,492
UCL215006,217,157,78,30,1288
UCL215007,284,273,163,52,1494
UCL215008,168,91,17,0,993
UCL215009,73,75,30,5,371
UCL215010,232,132,49,15,1173
UCL215011,91,91,50,16,507
UCL215012,326,367,159,50,1877
UCL215013,149,59,9,0,1872
UCL215014,83,37,29,6,542
UCL215015,251,229,145,40,1460
UCL215016,257,187,74,27,1777
UCL215017,201,100,85,32,1250
UCL215018,216,221,126,50,1299
UCL215019,252,186,52,15,1314
UCL215020,119,117,74,29,573
UCL215021,116,97,42,9,593
UCL215022,350,274,134,22,2118
UCL215023,107,80,68,27,612
UCL215024,115,161,88,34,758
UCL215025,135,127,45,13,557
UCL215026,111,92,52,9,550
UCL215027,112,76,58,31,564
UCL215028,266,259,144,73,1480
UCL215029,520,435,175,80,2213
UCL215030,101,91,48,28,561
UCL215031,117,96,57,26,591
UCL215032,228,280,149,63,1443
UCL215033,142,88,17,0,1295
UCL215034,117,149,101,47,656
UCL215035,103,89,50,8,766
UCL215036,108,81,37,7,621
UCL215037,128,119,59,12,661
UCL215038,171,164,118,46,885
UCL215039,98,129,68,37,679
UCL215040,100,106,27,28,559
UCL215041,292,254,132,63,1551
UCL215042,133,83,21,4,660
UCL215043,148,109,58,37,1379
UCL215044,141,116,44,13,842
UCL215045,291,266,149,55,1748
UCL215046,141,114,35,8,833
UCL215047,97,77,31,13,943
UCL215048,124,64,33,10,841
UCL215049,161,185,74,40,799
UCL215050,347,309,110,17,1677
UCL215051,329,294,146,44,2025
UCL215052,199,231,104,24,856
UCL215053,343,310,172,64,2049
UCL215054,141,97,60,26,823
UCL215055,244,262,97,17,947
UCL215056,129,83,31,7,768
UCL215057,161,142,62,23,899
UCL215058,103,88,44,14,499
UCL215059,253,254,113,32,1317
UCL215060,221,183,114,67,1301
UCL215061,159,165,88,47,952
UCL215062,121,107,52,23,683
UCL215063,90,100,51,16,551
UCL215064,134,81,66,46,839
UCL215065,293,259,153,50,1725
UCL215066,183,166,107,33,884
UCL215067,67,70,42,34,476
UCL215068,394,532,305,81,1878
UCL215069,335,423,202,91,1934
UCL215070,198,172,83,26,1317
UCL215071,376,223,108,9,1902
UCL215072,92,88,38,25,845
UCL215073,224,153,129,71,1167
UCL215074,345,239,103,12,2393
UCL215075,107,77,41,11,594
UCL215076,215,200,97,26,1148
UCL215077,189,169,78,31,920
UCL215078,144,71,36,0,903
UCL215079,148,166,103,47,916
UCL215080,154,165,52,4,1024
UCL215081,327,237,168,56,2007
UCL215082,160,114,31,5,1111
UCL215083,179,122,71,34,891
UCL215084,76,81,36,25,561
UCL215085,89,65,13,12,558
UCL215086,219,257,138,64,1785
UCL215087,167,108,35,0,879
UCL215088,239,176,89,23,1088
UCL215089,184,168,107,56,1014
UCL215090,160,143,58,40,1041
UCL215091,230,120,34,12,856
UCL215092,381,377,222,56,2520
UCL215093,269,202,64,12,1959
UCL215094,90,50,16,4,465
UCL215095,100,62,14,3,511
UCL215096,162,141,69,21,1179
UCL215097,208,211,114,37,1546
UCL215098,110,109,31,12,645
UCL215099,130,140,75,40,758
UCL215100,127,128,83,21,629
UCL221001,35,24,8,4,317
UCL221002,90,81,27,8,439
UCL221003,56,30,20,0,277
UCL221004,99,52,18,3,560
UCL221005,52,43,21,7,307
UCL221006,59,65,8,0,325
UCL221007,75,39,14,6,296
UCL221008,76,79,39,37,394
UCL221009,58,45,10,7,305
UCL221010,63,37,7,10,283
UCL221011,68,41,13,0,329
UCL221012,60,26,7,0,238
UCL221013,63,34,18,4,308
UCL221014,133,135,46,15,592
UCL221015,87,72,18,4,303
UCL221016,50,34,8,4,429
UCL221017,76,79,29,0,402
UCL221018,102,95,48,35,476
UCL221019,102,83,32,8,450
UCL221020,88,66,38,20,372
UCL221021,63,46,11,5,370
UCL221022,41,66,19,9,281
UCL221023,64,61,46,7,288
UCL221024,140,127,58,16,558
UCL221025,59,61,35,18,319
UCL221026,77,61,30,27,355
UCL221027,59,42,46,6,341
UCL221028,133,162,111,19,575
UCL221029,69,22,19,5,345
UCL221030,78,60,24,0,246
UCL221031,53,22,13,6,316
UCL221032,47,37,30,0,282
UCL221033,42,35,13,8,198
UCL221034,45,30,5,0,360
UCL221035,60,50,30,26,320
UCL221036,91,51,17,0,424
UCL221037,43,48,25,9,285
UCL221038,73,54,19,0,484
UCL221039,71,44,26,6,378
UCL221040,67,93,50,4,366
UCL221041,55,29,5,0,314
UCL221042,49,32,14,4,241
UCL221043,146,164,66,10,520
UCL221044,161,169,78,23,658
UCL221045,88,66,21,5,425
UCL221046,54,43,11,0,647
UCL221047,60,54,11,8,353
UCL221048,37,33,26,8,260
UCL221049,62,35,10,3,361
UCL221050,64,73,28,9,356
UCL221051,65,58,23,8,322
UCL221052,65,26,0,0,237
UCL221053,86,125,51,3,398
UCL221054,76,86,24,3,357
UCL221055,47,21,14,4,319
UCL221056,45,23,11,3,210
UCL221057,61,38,13,8,362
UCL221058,43,40,11,4,274
UCL221059,66,52,28,3,401
UCL221060,72,141,77,15,373
UCL221061,110,141,42,3,437
UCL221062,92,73,47,24,406
UCL221063,46,42,10,8,229
UCL221064,44,21,4,0,343
UCL221065,74,71,40,10,315
UCL221066,62,50,12,0,348
UCL221067,29,23,5,0,216
UCL221068,45,33,9,0,256
UCL221069,124,70,23,6,548
UCL221070,95,69,49,40,497
UCL221071,63,57,26,16,367
UCL221072,52,37,0,0,254
UCL221073,41,29,4,0,254
UCL221074,121,125,70,28,542
UCL221075,126,126,52,12,500
UCL221076,141,127,51,10,543
UCL221077,94,82,41,28,387
UCL221078,41,32,14,0,262
UCL221079,76,53,30,9,279
UCL221080,65,44,25,4,277
UCL221081,51,26,24,22,253
UCL221082,77,29,8,0,544
UCL221083,143,117,57,23,643
UCL221084,74,53,25,14,410
UCL222001,40,23,11,3,157
UCL222002,59,37,19,4,250
UCL222003,29,18,4,0,163
UCL222004,3,3,0,0,21
UCL222005,10,23,4,0,97
UCL222006,57,36,14,0,224
UCL222007,32,20,5,3,123
UCL222008,43,24,11,0,219
UCL222009,39,28,18,5,172
UCL222010,35,21,7,0,176
UCL222011,23,21,0,0,165
UCL222012,55,38,14,0,221
UCL222013,31,26,17,4,148
UCL222014,31,17,0,0,195
UCL222015,30,13,5,0,179
UCL222016,27,10,5,0,97
UCL222017,20,13,12,3,88
UCL222018,13,7,0,0,84
UCL222019,45,29,10,0,188
UCL222020,30,25,12,0,137
UCL222021,30,29,14,6,167
UCL222022,37,30,13,4,148
UCL222023,39,23,8,0,238
UCL222024,16,6,0,0,217
UCL222025,8,31,14,4,118
UCL222026,37,30,5,0,181
UCL222027,29,36,7,0,168
UCL222028,29,26,9,6,165
UCL222029,15,17,5,0,70
UCL222030,27,13,14,6,135
UCL222031,12,18,4,0,101
UCL222032,37,39,6,7,215
UCL222033,44,23,9,0,218
UCL222034,29,33,7,0,165
UCL222035,44,34,9,12,137
UCL222036,19,19,9,0,110
UCL222037,18,6,6,0,106
UCL222038,22,11,9,0,109
UCL222039,36,17,12,0,170
UCL222040,60,48,17,6,246
UCL222041,21,22,4,0,127
UCL222042,23,15,8,4,81
UCL222043,41,37,13,3,191
UCL222044,37,23,10,3,129
UCL222045,31,20,5,0,153
UCL222046,30,25,19,11,162
UCL222047,22,19,5,0,90
UCL222048,24,13,10,5,85
UCL222049,34,60,22,3,179
UCL222050,63,58,20,0,285
UCL222051,56,68,27,6,274
UCL222052,24,33,9,3,198
UCL222053,39,32,9,5,199
UCL222054,28,18,9,4,135
UCL222055,38,37,20,19,193
UCL222056,17,7,3,0,244
UCL222057,38,21,7,0,177
UCL222058,0,3,0,0,92
UCL222059,22,12,4,0,98
UCL222060,19,14,6,0,88
UCL222061,22,11,0,0,112
UCL222062,56,21,22,28,249
UCL222063,71,57,30,6,266
UCL222064,25,17,3,0,132
