UCL_CODE_2021,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
UCL113009,0,4,0,215,16,0,0,18,7,4,3,0,0,7,61,122,0,0,3,3,0,0,0,0,0,0,3,12,343,44,19,455,89,203,25,54,27,76,70,1401
UCL113010,0,0,0,220,10,3,0,8,3,5,0,3,3,3,46,95,0,0,0,0,0,0,0,0,0,0,5,12,253,47,18,445,89,174,20,43,18,65,57,1223
UCL113011,3,0,0,198,19,0,0,14,0,3,0,0,0,12,64,120,0,0,0,0,0,0,0,0,0,0,4,9,263,34,10,326,42,197,26,48,26,92,69,1131
UCL113012,0,9,0,231,17,4,0,18,9,8,3,6,0,11,58,129,0,0,0,0,0,0,0,0,0,0,3,8,252,75,16,390,54,157,34,80,19,141,68,1288
UCL113013,0,0,0,103,13,0,3,19,0,9,0,4,5,6,62,126,0,0,0,0,0,0,0,0,0,0,3,7,277,59,16,353,71,203,27,74,27,172,74,1346
UCL113014,0,4,0,366,24,0,4,9,3,3,0,4,0,8,90,148,0,0,4,0,0,0,0,0,0,0,3,14,367,46,15,543,94,314,27,55,23,100,94,1678
UCL113015,3,0,0,63,9,3,4,18,3,6,0,0,0,16,34,81,0,0,0,0,0,0,0,0,0,0,5,9,155,60,11,243,38,150,16,55,20,115,40,914
UCL113016,0,0,0,70,15,3,7,9,4,9,0,3,4,16,45,101,0,0,0,0,0,0,0,0,0,0,8,17,272,86,14,343,47,175,19,94,20,200,54,1330
UCL113017,0,0,0,106,6,7,0,18,0,6,0,0,0,7,44,106,0,0,0,5,0,0,0,0,0,0,0,5,194,110,13,398,60,141,28,80,28,122,51,1220
UCL113018,0,0,0,9,8,0,0,4,0,3,0,0,0,3,0,19,0,0,0,0,0,0,0,0,0,0,0,3,64,9,3,74,7,18,0,3,6,7,3,201
UCL114001,0,0,0,58,3,0,0,9,0,0,0,3,0,0,15,39,0,0,0,0,0,0,0,0,0,0,0,3,88,34,6,154,24,50,9,35,8,42,17,463
UCL114002,0,3,0,27,6,4,0,5,0,0,0,0,0,7,17,44,0,0,0,0,0,0,0,0,0,0,0,0,89,18,6,127,19,50,10,31,7,79,22,461
UCL114003,0,0,0,37,6,4,0,3,4,4,0,3,4,0,24,54,0,0,0,0,0,0,0,0,0,0,0,6,154,33,17,201,25,124,16,50,10,95,29,753
UCL114004,0,0,0,79,8,0,0,8,0,0,0,0,0,3,18,41,0,0,0,0,0,0,0,0,0,5,3,8,140,41,5,156,27,104,4,32,3,40,25,580
UCL114005,0,0,0,33,6,0,0,3,0,0,0,3,0,3,16,43,0,0,0,0,0,0,0,0,0,0,3,4,104,18,0,107,19,68,10,23,4,46,23,429
UCL114006,0,0,0,44,8,0,0,11,0,0,0,0,0,5,11,39,5,0,0,0,0,0,0,0,0,0,5,8,122,17,4,142,31,59,9,12,5,27,19,444
UCL114007,0,0,0,59,15,0,0,11,0,3,0,4,0,14,21,67,5,0,0,0,0,0,0,0,0,0,0,5,149,32,5,222,27,107,7,27,0,87,22,691
