UCL_CODE_2021,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
UCL322134,0,0,0,0,7,0,6,4,0,21
UCL322135,6,14,0,8,4,0,5,6,7,44
UCL322136,11,33,35,13,21,9,26,9,5,173
UCL322137,8,6,9,6,3,8,17,13,0,78
UCL322138,5,0,4,6,3,7,9,16,4,53
UCL322139,3,12,0,17,3,3,0,9,0,51
UCL331001,41538,28588,31392,19497,23291,13610,18392,26301,4555,207163
UCL379997,0,10,0,0,0,0,0,17,0,29
UCL399994,290,488,386,429,275,208,319,732,98,3219
UCL401001,70595,143421,75934,79822,79448,51114,33035,55991,10343,599698
UCL412001,1473,2190,2088,1863,1795,1272,1019,1432,231,13372
UCL412002,1387,2280,1594,1442,1383,1121,514,1049,181,10948
UCL412003,1241,1806,1757,1845,1290,1398,1134,1609,191,12280
UCL412004,732,1229,1513,1171,787,742,1325,1016,195,8715
UCL413001,1491,3005,791,795,842,496,153,478,85,8135
UCL413002,632,640,900,1056,643,717,469,1484,139,6672
UCL413003,426,763,690,906,557,483,465,688,107,5091
UCL413004,695,1087,966,962,684,703,362,938,109,6509
UCL413005,457,754,780,875,540,590,601,701,97,5391
UCL413006,573,872,784,953,521,574,246,650,70,5252
UCL414001,291,384,430,421,265,264,164,324,58,2600
UCL414002,317,531,455,370,337,259,138,268,34,2703
UCL414003,298,294,338,217,201,235,131,675,57,2453
UCL414004,315,381,434,373,339,249,225,540,36,2891
UCL414005,318,398,396,396,317,259,205,350,39,2674
UCL415001,167,187,129,125,98,64,63,193,11,1028
UCL415002,280,291,390,254,332,180,205,216,50,2197
UCL415003,98,96,105,87,79,49,95,141,21,769
UCL415004,135,210,119,94,87,68,31,66,9,818
UCL415005,74,88,92,110,71,66,33,117,9,652
UCL415006,145,294,205,268,150,157,110,341,35,1705
UCL415007,172,147,206,96,132,102,153,408,34,1443
UCL415008,115,176,123,176,109,65,78,137,17,997
UCL415009,222,267,260,196,165,134,83,224,27,1570
UCL415010,58,67,63,97,49,52,39,52,13,482
UCL415011,56,101,70,48,48,44,39,65,7,464
UCL415012,121,164,189,176,159,95,117,164,12,1184
UCL415013,195,238,128,109,137,94,24,64,19,1012
UCL415014,113,113,104,69,66,43,52,72,14,653
UCL415015,188,252,266,321,186,240,151,243,39,1885
UCL415016,102,147,182,133,117,100,101,177,29,1100
UCL415017,110,108,116,117,78,97,45,126,12,818
UCL415018,117,66,93,79,56,70,52,128,11,672
UCL415019,117,112,216,137,173,112,139,158,17,1183
UCL415020,119,169,189,149,109,88,46,146,19,1031
UCL415021,221,256,217,223,161,120,113,271,27,1614
UCL415022,121,162,154,116,105,90,59,110,27,933
UCL415023,49,42,56,54,38,28,28,55,4,353
UCL415024,78,73,134,127,63,78,66,149,24,789
UCL415025,76,109,86,84,103,49,26,74,12,620
UCL415026,191,237,220,176,175,120,71,122,20,1334
UCL415027,69,105,120,69,61,55,36,58,10,588
UCL415028,65,101,69,83,51,44,13,53,8,466
UCL415029,186,168,307,293,180,166,179,315,44,1832
UCL415030,165,206,248,232,150,139,101,172,24,1439
UCL415031,72,82,92,80,74,60,39,66,10,577
UCL415032,114,106,116,100,104,79,28,107,16,773
UCL415033,67,57,67,40,57,37,36,122,4,489
UCL415034,108,100,87,69,56,63,46,147,15,685
UCL415035,52,25,37,66,31,39,35,75,8,378
UCL415036,69,66,47,44,33,17,23,45,6,346
UCL415037,232,205,204,251,182,181,152,451,43,1906
UCL415038,125,59,95,69,49,54,13,62,15,544
UCL415039,165,242,540,139,205,88,448,189,43,2057
UCL415040,41,39,62,72,31,81,55,92,13,480
UCL415041,380,406,276,214,216,161,108,265,21,2055
UCL415042,114,80,70,74,58,44,54,66,17,586
UCL415043,179,151,292,161,211,120,168,173,45,1494
UCL415044,145,140,135,106,144,76,84,84,19,936
UCL415045,65,65,75,95,44,58,44,128,11,585
UCL415046,173,171,198,211,149,120,105,189,42,1352
UCL415047,140,180,234,140,119,85,92,151,28,1170
UCL415048,147,278,152,147,125,72,44,116,16,1099
UCL415049,139,159,139,109,94,95,39,99,15,886
UCL421001,49,45,61,42,29,39,41,55,9,373
UCL421002,51,31,20,23,16,21,15,39,4,219
UCL421003,48,79,82,65,66,41,22,50,8,456
UCL421004,57,36,59,47,28,23,29,62,8,351
UCL421005,42,47,51,47,34,40,28,41,10,341
UCL421006,63,46,68,35,64,29,26,33,4,373
UCL421007,65,27,33,50,26,19,10,34,8,276
UCL421008,78,40,59,58,28,31,62,43,10,409
UCL421009,50,52,60,36,39,28,26,56,8,347
UCL421010,35,69,71,34,43,20,8,32,8,323
UCL421011,25,9,31,22,23,26,26,43,0,206
UCL421012,22,22,22,37,18,21,32,21,0,203
UCL421013,75,82,88,71,53,38,35,77,9,533
UCL421014,44,65,64,49,45,17,21,40,6,352
UCL421015,17,17,32,36,19,5,29,43,3,208
UCL421016,45,67,58,28,43,18,21,15,8,300
UCL421017,24,28,50,42,32,17,32,38,10,268
UCL421018,96,53,106,39,65,57,57,82,5,555
UCL421019,51,33,44,34,21,19,31,38,10,282
UCL421020,51,18,39,20,31,18,19,34,3,222
UCL421021,27,39,36,23,15,13,20,21,0,186
UCL421022,71,114,75,63,61,28,33,57,15,518
UCL421023,33,46,51,55,35,30,50,123,8,428
UCL421024,49,31,39,40,33,23,32,66,4,318
UCL421025,30,23,44,52,36,19,26,61,8,302
UCL421026,33,27,35,33,29,34,23,37,7,255
UCL421027,23,28,53,35,27,21,20,54,5,249
UCL421028,39,66,59,28,39,32,19,34,4,310
UCL421029,51,44,24,29,15,16,10,29,8,218
UCL421030,53,23,33,24,23,16,38,57,9,282
UCL421031,42,25,44,27,32,26,20,45,10,278
UCL421032,38,8,29,18,15,32,21,83,7,245
UCL421033,19,32,4,34,8,0,0,3,3,106
UCL421034,47,60,59,76,47,19,61,62,7,446
UCL421035,30,35,29,44,23,21,16,50,4,253
UCL421036,65,60,116,74,68,58,46,54,10,556
UCL421037,66,60,79,41,48,39,26,71,4,428
UCL421038,89,137,51,58,58,30,14,40,7,484
UCL421039,37,34,55,39,45,31,44,39,4,329
UCL421040,28,40,74,35,44,25,25,44,7,317
UCL421041,45,34,40,17,21,28,21,35,9,262
UCL421042,23,40,46,37,25,22,12,42,3,255
UCL421043,26,27,41,30,22,21,20,36,0,226
UCL422001,11,12,22,11,9,15,22,15,0,119
UCL422002,3,43,4,18,7,3,3,5,3,91
UCL422003,14,9,13,12,9,7,3,25,0,90
UCL422004,8,5,18,13,12,4,24,22,0,104
UCL422005,17,4,15,10,3,6,5,16,0,80
UCL422006,40,35,28,26,17,9,9,25,0,189
UCL422007,17,5,7,7,6,6,5,11,6,79
UCL422008,24,20,34,27,27,16,25,35,8,223
UCL422009,23,15,12,16,4,4,9,15,0,92
UCL422010,26,35,22,14,28,15,14,7,3,176
UCL422011,7,10,4,10,9,4,0,8,0,54
UCL422012,20,24,52,34,24,25,18,36,6,239
UCL422013,23,31,30,21,31,15,15,13,3,178
UCL422014,12,21,16,13,19,9,10,4,4,112
UCL422015,10,22,16,27,20,7,9,16,3,122
UCL422016,6,9,12,15,6,11,7,20,0,90
UCL422017,16,3,16,6,6,3,9,12,0,73
UCL422018,7,4,9,0,3,0,7,18,0,59
UCL422019,21,6,21,22,12,3,11,22,4,119
UCL422020,21,26,12,16,14,6,7,35,5,137
UCL422021,14,19,15,22,10,6,7,13,3,119
UCL422022,3,36,0,10,3,0,0,13,3,66
UCL422023,8,6,16,7,10,5,11,23,6,93
UCL422024,10,5,9,10,0,0,0,7,0,38
UCL422025,13,9,13,18,9,6,8,19,3,100
UCL422026,27,42,47,32,29,15,11,29,0,234
UCL422027,7,10,8,7,4,4,0,8,0,50
UCL422028,24,10,23,12,10,13,9,21,0,116
UCL422029,11,26,3,20,4,0,0,8,0,76
UCL422030,4,11,15,25,5,7,3,22,3,95
UCL422031,0,4,14,13,3,10,15,35,0,101
UCL422032,16,35,32,12,15,16,7,14,4,158
UCL422033,16,14,26,13,11,14,18,13,4,133
UCL422034,33,25,25,15,18,16,17,32,0,179
UCL422035,11,17,34,31,30,25,21,37,9,202
UCL422036,7,3,21,16,12,7,25,38,0,129
UCL422037,5,24,11,13,12,8,13,9,0,96
UCL422038,7,3,18,9,11,5,16,21,7,97
UCL422039,8,6,16,6,4,4,11,10,4,77
UCL422040,27,14,15,22,16,11,0,21,3,126
UCL422041,17,12,14,17,18,14,12,21,4,118
UCL422042,14,9,17,11,0,6,20,17,4,102
UCL422043,19,6,7,13,7,8,6,7,0,63
UCL422044,12,11,10,10,4,5,13,18,0,90
UCL422045,35,20,25,19,13,12,10,20,5,172
UCL422046,20,12,20,21,14,9,18,25,3,143
UCL422047,30,10,7,11,7,7,5,18,0,80
UCL422048,14,5,9,18,3,7,10,24,0,89
