UCL_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
UCL112002,117,145,257,2478,2990,5460,0,0,0,183,211,391,89,85,172,4831,5510,10337,14,12,27,62,56,119,49,41,91,15,14,28,26,39,64,8,8,13,57,54,108,113,114,224,555,608,1163,37,37,71,36,46,83,442,586,1027,262,288,552,3,8,13,9231,10716,19942,209,208,424,155,119,277,3,4,11,6,15,20,83,72,154,55,63,123,146,157,300,6187,5708,11896,66,39,110,7,26,36,6264,5776,12038,1874,1107,2981,18001,18232,36230
UCL112003,251,375,628,1563,1897,3462,0,0,0,220,255,471,112,121,236,1983,2380,4360,3,3,4,99,116,218,69,84,147,15,21,37,44,59,105,7,0,8,30,56,86,49,47,92,195,261,459,23,31,49,24,26,47,243,330,572,347,352,704,20,29,50,5054,6067,11118,77,71,145,54,52,111,50,50,95,5,10,16,8,13,16,87,152,243,102,173,275,7653,7720,15369,111,89,203,61,109,168,7826,7913,15736,995,941,1932,14397,15650,30049
UCL112004,96,145,239,2028,2649,4676,0,0,0,106,111,215,64,59,120,2297,2720,5019,6,15,27,112,122,233,63,61,122,7,14,23,25,33,55,7,4,11,31,27,64,64,95,155,232,346,582,21,16,35,14,20,33,348,448,796,265,334,598,5,17,22,5685,7106,12789,272,239,512,78,55,133,51,41,90,0,0,0,45,50,92,22,57,76,71,100,172,4143,4060,8202,45,47,92,13,34,52,4202,4148,8346,702,774,1477,11158,12604,23762
UCL112005,58,108,169,2040,2506,4551,0,0,0,102,110,215,0,0,0,1676,1912,3590,0,3,3,19,22,41,34,58,98,20,19,36,12,21,31,0,0,0,55,77,130,62,84,147,286,358,640,38,53,88,29,35,58,366,511,872,153,176,336,7,3,11,4899,5941,10846,46,43,89,12,16,28,3,0,4,5,7,11,3,5,9,18,42,55,26,52,75,4656,4306,8959,39,14,53,11,17,32,4713,4337,9047,2192,757,2950,11953,11257,23211
UCL112006,144,196,338,2946,3700,6644,0,0,3,293,319,615,3,3,5,4561,5518,10077,9,12,18,48,63,105,24,33,56,9,14,20,37,46,85,17,11,25,42,42,87,142,166,309,545,622,1167,40,61,101,45,47,93,581,805,1389,427,499,923,3,0,6,9778,11957,21736,632,588,1214,278,230,506,8,12,20,12,9,22,158,136,296,25,41,64,199,187,378,5604,5169,10773,48,26,71,11,28,38,5659,5218,10879,1906,1806,3707,18604,20184,38783
UCL112007,25,28,54,452,521,972,0,0,0,16,23,38,0,0,0,774,905,1680,9,9,7,4,12,15,4,11,12,0,0,0,16,17,35,0,0,0,5,6,13,10,5,20,79,105,184,7,6,14,0,5,5,174,238,414,23,23,51,0,0,0,1573,1884,3455,7,8,19,5,3,6,0,3,3,0,0,0,8,7,19,0,0,9,9,9,23,1361,1263,2619,0,5,3,0,3,3,1363,1264,2625,222,244,469,3211,3441,6654
UCL112008,60,105,164,2175,2725,4899,0,0,0,106,134,240,0,0,0,1895,2280,4175,7,17,30,34,23,62,82,92,178,15,16,29,24,24,42,8,7,18,70,96,165,23,44,70,263,346,609,28,34,59,19,19,38,295,453,749,136,206,344,4,10,14,5187,6525,11716,65,65,126,30,29,51,0,5,5,10,0,13,8,7,9,10,17,30,31,25,57,3565,3327,6885,23,18,41,14,26,43,3600,3372,6975,694,759,1457,9669,10876,20554
UCL112009,91,106,202,2280,2711,4991,0,0,0,123,122,245,95,88,180,2810,3223,6032,10,8,13,84,76,162,39,39,80,8,19,30,18,24,39,0,5,5,28,34,67,54,56,110,185,210,396,30,44,76,23,29,58,331,383,717,164,173,335,6,5,6,6281,7264,13544,144,146,297,92,73,163,3,5,7,0,0,0,26,26,53,39,52,99,70,80,151,3813,3528,7337,39,30,68,19,21,40,3869,3578,7444,1342,820,2159,11890,12068,23963
UCL112010,57,93,144,1010,1182,2195,0,0,3,73,97,176,40,42,83,3483,3785,7268,10,8,18,15,13,30,38,53,87,71,68,140,33,26,57,14,10,23,73,66,138,141,167,309,209,251,463,13,22,33,113,130,241,346,453,803,195,239,434,0,4,9,5869,6623,12492,709,594,1304,382,278,664,0,4,5,3,0,3,429,361,790,23,19,38,448,376,828,2004,1773,3772,16,15,31,6,9,11,2023,1796,3821,815,732,1542,10310,10495,20799
UCL112011,29,58,84,1646,1961,3608,0,0,0,131,142,275,0,0,0,1702,1910,3610,12,8,19,28,29,52,27,32,62,28,28,50,11,20,27,6,3,5,51,58,108,64,52,119,184,242,428,27,33,59,25,30,55,299,433,732,137,161,298,3,0,6,4381,5140,9516,38,27,60,17,20,34,3,5,7,0,0,3,16,14,31,19,40,59,38,61,96,4664,4241,8903,17,26,50,11,17,28,4694,4285,8979,633,592,1229,9831,10185,20015
UCL112012,132,192,325,1455,1801,3252,0,0,0,96,122,219,0,0,0,2484,2908,5393,5,13,21,26,24,51,47,66,114,22,20,35,13,21,35,3,5,9,42,33,82,135,177,315,471,564,1032,27,37,63,92,89,183,420,541,955,375,426,799,44,49,98,5759,6906,12660,67,64,130,65,62,128,13,9,19,8,11,16,48,40,91,85,153,235,138,199,344,5964,5766,11727,69,53,124,38,40,78,6073,5858,11929,1188,1195,2380,13433,14488,27916
UCL112013,9,12,26,115,130,248,0,0,0,0,0,5,0,0,0,255,267,517,0,4,8,6,5,14,3,3,3,0,0,0,9,7,15,0,0,0,6,4,5,7,14,24,18,23,36,0,6,3,3,9,16,44,52,96,22,30,50,0,0,0,485,553,1043,0,0,0,9,6,15,0,0,0,0,0,0,8,3,8,0,4,3,3,9,9,580,503,1082,3,0,3,0,0,0,583,507,1087,118,100,223,1212,1193,2400
UCL112014,45,75,123,1386,1772,3163,0,0,0,141,191,330,0,0,3,1576,1827,3405,0,0,5,49,32,81,62,75,142,20,15,35,18,18,31,0,3,8,53,79,128,63,73,139,170,228,401,46,57,106,1077,1289,2366,287,351,640,414,481,895,79,91,172,5443,6597,12039,35,33,69,34,24,63,6,5,11,0,0,3,9,10,20,25,37,53,36,48,80,4342,3923,8255,47,40,88,21,40,63,4400,4003,8405,677,681,1361,10681,11467,22150
UCL112015,128,200,325,2426,2936,5357,0,0,0,258,276,529,0,0,0,2633,3108,5744,25,28,50,78,63,141,82,99,182,18,24,47,25,26,54,5,5,7,38,54,87,137,184,320,384,477,861,57,46,95,20,24,38,330,443,775,405,450,855,6,6,12,6924,8246,15172,217,184,402,83,78,164,14,16,26,3,9,13,49,41,85,60,89,145,114,137,249,6985,6595,13577,34,29,63,22,32,52,7040,6660,13695,2193,1362,3559,16709,16872,33583
UCL112016,153,182,341,2781,3431,6212,0,0,0,217,266,485,119,132,257,4954,5595,10547,10,21,33,89,91,178,65,80,137,25,26,52,35,34,66,17,8,27,210,217,432,206,301,507,391,449,848,29,37,64,26,36,60,799,1040,1839,496,551,1042,9,5,7,10486,12316,22803,263,229,485,146,129,278,15,10,27,4,4,9,64,46,118,48,74,120,119,126,246,6798,6291,13093,46,43,89,18,33,48,6861,6366,13226,1364,1364,2728,19407,20719,40127
UCL112017,146,224,374,3796,4917,8716,0,0,0,201,222,423,0,0,3,4616,5710,10326,7,16,27,76,84,162,65,90,155,10,21,34,55,65,117,25,22,49,223,237,459,194,267,459,578,738,1319,64,89,160,92,142,230,624,900,1520,592,733,1321,15,17,35,11243,14267,25510,160,145,302,71,70,140,22,21,46,9,0,12,40,33,72,60,95,157,107,129,240,9215,8676,17895,87,46,128,32,73,106,9332,8793,18134,1508,1547,3058,22598,25190,47793
UCL112018,141,177,319,3389,4238,7624,0,0,0,161,173,329,42,58,102,3502,4085,7586,4,13,15,38,25,56,56,76,137,27,22,51,22,19,38,11,9,18,57,57,114,138,182,328,369,509,880,40,49,89,33,31,59,444,646,1087,327,357,680,17,13,29,8679,10550,19230,234,216,446,165,118,283,4,3,10,6,13,19,87,74,158,32,66,98,121,154,276,6013,5520,11534,32,30,67,12,20,34,6062,5571,11633,1617,1602,3220,17022,18390,35415
UCL112019,149,175,322,3422,4210,7637,0,0,0,288,296,586,91,88,184,6332,7347,13679,34,34,69,81,78,155,52,74,129,21,28,52,187,268,453,83,93,175,138,128,262,208,264,473,794,1024,1822,38,36,68,69,64,127,697,978,1676,469,540,1004,9,11,17,13005,15550,28555,297,221,518,276,218,491,5,5,10,3,11,14,94,76,170,429,499,931,532,579,1116,7941,7421,15361,70,40,108,27,35,62,8032,7499,15531,1628,1516,3150,23923,25765,49686
UCL113001,72,121,189,1377,1833,3206,0,0,0,66,80,147,0,0,0,1691,2058,3748,0,4,8,22,33,52,43,46,90,4,7,12,24,24,47,7,0,8,26,26,51,49,79,135,299,379,680,13,21,37,29,35,67,248,330,577,137,181,320,9,16,27,4045,5158,9203,51,44,93,13,15,22,10,5,16,6,3,10,38,32,76,19,26,46,62,67,127,3687,3543,7235,26,15,42,18,39,57,3734,3602,7332,732,803,1536,8714,9821,18532
UCL113002,41,63,105,1059,1288,2343,0,0,0,48,62,109,0,0,0,1165,1351,2516,0,0,5,39,43,80,37,46,79,0,0,8,25,28,50,8,7,15,9,15,26,42,59,102,142,150,297,13,19,32,12,11,22,129,209,346,94,111,203,0,0,0,2819,3409,6230,35,26,64,14,14,25,3,3,9,3,0,4,7,16,26,16,24,38,25,37,62,2357,2186,4547,12,16,33,16,32,51,2389,2238,4626,587,550,1142,5922,6339,12263
UCL113003,36,40,79,710,813,1522,0,0,0,68,79,145,0,0,0,1413,1729,3145,17,22,40,21,28,52,9,14,27,13,11,27,49,61,109,6,5,17,45,54,98,41,59,98,66,66,135,48,72,124,13,22,33,434,631,1061,95,117,209,0,0,0,3051,3790,6836,34,32,67,27,28,55,0,0,3,0,0,0,0,0,6,23,37,54,26,36,59,4405,4113,8517,29,21,51,14,19,26,4442,4153,8597,882,886,1770,8501,8960,17456
UCL113004,95,131,230,343,379,720,0,0,0,16,18,29,0,0,0,587,724,1312,0,3,3,21,30,52,14,8,23,4,0,7,3,10,15,0,5,3,7,11,24,16,26,46,59,70,136,0,0,0,0,3,3,73,90,165,46,57,106,0,8,5,1202,1442,2647,28,20,50,12,9,17,54,53,101,0,4,9,0,0,0,15,36,44,15,39,50,3056,3117,6175,17,16,31,28,59,89,3099,3192,6289,588,563,1153,5088,5445,10538
UCL113005,18,57,77,1577,1927,3507,0,0,0,91,111,204,0,0,0,1389,1677,3069,3,0,3,14,15,28,49,68,115,8,14,24,11,17,26,0,0,0,9,18,24,41,74,117,316,442,759,36,44,79,14,26,39,167,229,395,131,153,284,0,0,0,3866,4809,8676,31,34,62,21,21,37,5,0,4,4,5,3,25,31,50,17,39,56,49,66,112,3467,3165,6635,14,13,28,14,20,30,3494,3197,6696,778,719,1498,8259,8897,17155
UCL113006,11,25,37,717,875,1597,0,0,0,26,42,73,0,0,0,980,1173,2150,0,0,4,9,4,18,35,50,77,7,4,9,0,11,9,0,0,3,10,18,32,24,31,58,90,106,196,24,41,61,94,112,206,198,264,459,93,105,195,0,0,0,2314,2841,5149,13,14,24,13,6,20,3,0,3,8,21,28,9,7,11,13,17,30,26,40,71,1917,1872,3797,11,6,17,3,6,13,1937,1890,3822,1291,648,1944,5612,5464,11073
UCL113007,31,67,98,1216,1394,2610,0,0,0,69,89,159,0,0,0,1518,1727,3236,0,0,3,72,82,149,28,45,73,0,7,6,23,22,45,3,5,3,16,18,32,32,41,69,191,200,389,8,4,15,7,0,6,203,267,471,116,139,254,4,8,7,3496,4046,7540,17,20,38,22,17,33,12,12,19,0,5,4,0,0,0,6,14,27,11,24,32,3117,2931,6048,24,13,36,11,17,33,3150,2966,6121,447,430,882,7183,7581,14761
UCL113008,36,62,94,838,1037,1880,0,0,0,82,74,158,72,59,129,1094,1275,2370,0,0,0,17,22,39,30,33,64,11,16,23,7,0,10,0,0,0,15,19,36,41,46,91,162,182,341,16,28,39,15,18,36,261,317,578,90,89,173,0,3,8,2758,3221,5977,42,37,77,25,11,38,5,6,16,0,3,6,4,3,8,19,39,53,20,47,72,2071,1881,3948,27,20,53,9,21,29,2108,1921,4024,499,402,899,5487,5709,11197
UCL113009,22,35,55,885,972,1858,0,0,0,113,131,245,0,0,0,909,992,1906,0,6,5,18,16,32,3,8,14,5,7,10,21,13,33,0,0,0,16,25,33,35,39,76,100,131,224,9,14,27,9,9,9,158,190,351,140,151,290,7,0,3,2423,2698,5127,10,14,24,16,11,24,5,5,12,0,0,0,3,4,0,5,12,21,9,14,27,2276,2033,4308,17,15,27,10,9,19,2297,2058,4355,217,182,396,4998,5019,10019
UCL113010,12,37,50,981,1208,2192,0,0,0,44,61,100,0,0,0,1334,1433,2771,0,0,0,17,17,30,20,43,63,0,0,8,0,5,8,0,0,0,11,8,20,57,58,118,133,161,292,6,13,18,5,6,8,118,170,287,79,94,181,0,4,10,2824,3277,6101,39,33,68,21,16,35,7,4,14,4,0,5,21,23,45,5,20,24,29,42,75,2282,2103,4382,18,12,29,6,9,14,2302,2124,4430,403,394,794,5631,5930,11563
UCL113011,31,50,79,1186,1408,2592,0,0,0,64,70,137,3,5,4,1118,1157,2274,0,0,3,11,11,28,22,33,57,3,0,0,4,0,8,10,6,17,11,12,26,27,29,50,106,103,203,7,7,13,16,12,26,112,144,251,81,80,167,5,9,14,2775,3096,5870,29,22,51,29,16,42,3,3,13,6,0,0,14,14,32,8,14,27,27,27,54,2150,1758,3911,16,10,24,3,9,17,2165,1785,3949,447,382,831,5507,5389,10901
UCL113012,58,92,153,1227,1547,2775,0,0,0,94,102,190,0,0,0,1409,1732,3136,6,4,12,86,96,182,21,33,54,6,0,8,12,21,39,0,5,5,12,16,34,111,145,260,204,232,441,11,19,31,13,9,25,223,256,481,111,135,247,4,3,8,3550,4364,7916,68,42,109,21,26,45,7,0,9,0,0,4,6,10,20,14,18,32,23,32,52,2842,2553,5394,20,18,35,18,21,34,2875,2583,5460,440,415,853,7033,7565,14593
UCL113013,40,65,101,1225,1395,2620,0,0,0,119,152,272,0,0,0,1240,1353,2594,3,8,11,24,20,44,16,18,32,10,14,24,11,10,17,0,3,3,53,47,95,50,46,95,115,144,259,15,27,46,10,15,27,212,305,515,129,147,278,3,3,5,3228,3710,6943,18,19,41,50,27,79,0,0,0,4,0,7,16,12,27,15,35,53,38,44,84,3001,2769,5769,27,16,42,11,10,21,3036,2796,5830,529,470,1003,6950,7130,14081
UCL113014,42,76,113,1483,1692,3180,0,0,0,77,91,165,65,57,122,1474,1605,3075,0,0,4,9,8,12,14,20,35,5,5,9,13,18,27,0,0,0,34,34,69,57,54,118,108,99,211,8,13,25,11,14,26,221,270,487,118,126,240,20,28,44,3720,4118,7843,41,32,73,29,18,47,0,0,0,0,0,0,3,3,6,18,21,36,18,20,42,2738,2496,5235,22,12,36,10,8,18,2768,2517,5283,455,366,820,7075,7151,14229
UCL113015,24,42,71,985,1202,2183,0,0,0,63,68,131,0,0,0,934,1085,2019,3,0,3,73,46,123,39,50,94,7,8,18,21,18,38,0,0,0,15,15,25,20,30,48,101,124,227,11,18,28,3,9,18,87,121,207,85,116,199,0,0,0,2442,2917,5363,8,4,9,25,15,36,0,3,7,3,0,6,0,0,0,15,19,32,17,22,42,2429,2187,4621,19,13,33,9,13,15,2455,2212,4673,433,377,814,5403,5595,11000
UCL113016,41,78,122,1693,2063,3757,0,0,0,189,199,386,0,0,0,1240,1498,2739,5,15,22,29,27,60,44,60,106,24,29,54,13,22,37,5,7,14,37,33,67,68,80,144,238,303,531,58,98,157,20,40,67,293,482,776,198,259,452,0,3,3,4156,5218,9377,41,42,92,37,45,83,4,9,7,4,5,4,12,16,26,15,22,37,32,41,74,3399,3210,6607,20,21,42,13,16,32,3433,3243,6677,845,836,1681,8583,9520,18110
UCL113017,77,99,173,1181,1374,2551,0,0,0,135,186,321,0,0,0,1318,1579,2897,0,6,6,48,42,87,32,36,66,9,8,10,17,17,35,0,0,0,10,18,29,22,26,46,164,178,338,4,13,17,6,3,16,190,250,439,108,151,263,0,9,6,3231,3888,7123,21,18,42,16,5,23,6,9,18,0,0,0,0,0,0,16,24,43,22,24,43,3071,2847,5918,25,17,36,16,15,30,3105,2875,5982,509,481,991,6987,7411,14396
UCL113018,7,8,10,173,195,365,0,0,0,0,5,10,0,0,0,336,361,695,0,5,5,0,0,4,3,3,7,0,3,3,6,0,5,0,0,0,0,8,5,0,4,4,41,35,79,0,0,0,0,0,0,69,67,138,9,8,20,0,0,0,637,696,1330,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424,411,835,0,0,0,0,0,0,422,414,838,100,110,207,1160,1228,2389
UCL114001,20,42,55,317,455,770,0,0,0,47,72,123,0,0,0,425,544,968,3,0,3,3,10,14,12,15,31,10,12,21,5,4,9,0,0,0,3,12,12,30,39,68,66,108,164,0,5,8,23,38,64,113,176,286,60,77,137,0,0,3,1126,1563,2679,5,6,16,4,0,4,5,3,7,0,0,0,0,0,4,9,14,18,7,14,21,1013,1055,2070,8,9,16,3,7,18,1033,1072,2103,139,152,296,2334,2851,5182
