UCL_CODE_2021,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
UCL113016,12,24,55,55,56,45,15,0,0,272,16,24,41,48,47,39,10,4,0,230,461,573,1224,1130,1211,1138,300,36,3,6080
UCL113017,7,14,37,42,43,41,17,0,0,206,17,14,45,34,28,40,10,6,0,190,398,336,927,1128,1183,1086,330,39,0,5439
UCL113018,0,4,12,7,6,7,5,0,0,36,0,0,3,3,16,5,3,0,0,42,61,67,158,160,216,197,71,12,3,940
UCL114001,9,9,21,16,19,14,10,0,0,89,8,8,7,11,14,12,7,3,0,70,152,125,348,404,456,451,121,19,0,2083
UCL114002,3,3,9,14,19,24,4,0,0,91,9,3,10,13,23,22,3,3,4,83,135,131,270,351,484,624,162,25,4,2175
UCL114003,13,21,36,25,19,22,6,0,0,138,13,28,40,28,37,18,11,14,0,183,231,443,745,600,651,588,161,27,0,3448
UCL114004,0,11,22,15,20,12,9,0,0,99,3,11,28,16,20,16,3,4,0,103,181,228,611,531,552,555,173,32,0,2875
UCL114005,10,11,12,10,15,6,4,0,0,71,7,9,10,21,19,18,3,0,0,90,110,153,332,357,398,429,131,20,0,1931
UCL114006,7,7,29,17,20,11,8,0,0,96,3,13,16,14,22,24,8,0,0,103,184,189,364,337,516,516,170,24,0,2301
UCL114007,8,16,26,24,32,21,12,0,0,136,7,16,28,32,26,16,16,4,0,144,231,312,624,569,624,566,209,36,4,3178
