UCL_CODE_2021,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
UCL112002,85,135,52,119,93,34,7,25,5,561,141,163,107,334,196,62,36,30,8,1086,433,185,1458,792,516,282,325,410,74,4483,25,23,31,45,55,40,22,41,3,280,28,16,31,76,86,41,19,36,9,341,0,15,8,13,13,15,7,12,0,86,17,24,23,40,24,21,19,34,24,223,1322,3045,1854,1848,1332,618,484,696,165,11366
UCL112003,117,194,56,119,107,44,13,17,6,673,133,193,118,195,160,62,21,47,16,948,289,176,852,418,319,149,168,242,24,2644,21,10,17,27,29,34,9,24,0,160,24,33,16,37,47,24,5,22,4,211,7,23,4,10,10,4,3,3,0,60,16,42,17,19,29,22,4,16,25,187,1443,3757,1292,1322,1098,467,281,474,141,10275
UCL112004,121,164,42,78,73,48,12,25,8,570,115,142,90,139,93,52,12,42,11,691,275,104,736,225,193,136,111,178,27,1977,13,10,10,17,29,15,11,15,0,111,37,30,26,30,51,28,4,21,4,242,11,19,3,11,10,6,3,5,0,74,23,23,20,17,30,31,7,18,15,181,1320,2435,1099,796,780,460,205,391,95,7579
UCL112005,39,48,37,45,43,16,11,11,6,246,77,76,59,154,77,42,20,28,5,536,196,136,939,530,277,174,423,271,38,2994,17,15,23,35,31,25,22,37,0,198,16,8,15,37,27,16,15,17,0,163,5,4,0,6,6,0,4,11,0,36,12,12,13,33,15,16,8,17,14,149,498,802,1134,940,536,330,512,429,72,5265
UCL112006,101,125,30,144,86,18,23,17,7,557,164,204,97,378,215,72,23,45,16,1207,466,222,1460,799,639,316,317,385,75,4681,21,22,23,55,77,39,20,38,6,304,30,22,31,69,93,39,24,33,3,348,7,22,16,17,19,6,6,8,3,107,21,47,37,50,36,24,31,48,51,341,1395,3353,1893,2111,1521,744,501,782,206,12498
UCL112007,14,28,11,23,14,6,0,4,5,107,28,33,14,61,29,10,0,13,3,186,104,22,295,88,86,36,45,65,14,761,4,0,4,0,8,3,0,0,0,26,6,0,0,13,14,7,3,3,0,44,0,0,0,0,0,0,0,0,0,11,5,8,6,4,11,9,6,10,0,47,267,471,353,253,195,84,61,121,26,1830
UCL112008,36,58,22,49,51,22,6,13,4,259,66,77,48,158,76,40,5,18,4,489,182,124,571,406,192,131,75,202,27,1913,11,0,11,28,31,29,4,15,0,135,15,10,8,38,34,25,11,14,0,156,9,8,4,8,4,0,0,9,0,37,19,21,18,58,18,18,11,25,24,209,478,1134,729,849,495,302,111,316,73,4486
UCL112009,53,84,23,77,46,23,7,16,4,329,141,106,80,241,134,46,22,41,22,833,278,142,920,562,326,207,275,256,57,3021,11,6,15,24,37,21,9,19,0,146,19,14,12,57,56,21,25,31,3,234,6,10,11,6,11,7,0,3,0,53,17,15,13,27,15,9,15,45,27,178,775,1496,1153,1269,750,366,373,476,124,6786
UCL112010,42,53,28,58,45,18,14,38,4,289,81,87,62,170,77,31,25,85,8,622,313,98,816,244,262,154,153,274,51,2360,10,4,13,20,50,22,12,24,0,150,19,14,15,41,59,30,20,31,3,225,7,3,9,6,6,0,4,19,0,63,21,17,18,21,25,19,16,75,40,256,784,1369,1046,711,661,329,280,787,136,6091
UCL112011,25,35,27,47,31,9,4,12,0,191,67,69,45,170,105,37,27,36,3,564,192,119,1099,493,381,158,387,247,42,3121,19,4,21,28,35,39,23,42,0,200,14,13,21,43,31,19,27,24,0,197,3,5,0,3,5,0,3,4,0,31,4,6,17,26,20,7,17,14,15,138,412,829,1265,902,711,314,510,399,78,5425
UCL112012,45,88,34,83,56,16,5,13,3,348,96,132,67,258,143,58,16,50,10,843,267,140,895,581,401,217,183,376,37,3104,18,9,18,33,53,34,13,38,5,214,24,21,19,58,58,42,14,39,8,276,8,7,3,11,10,10,0,9,0,54,11,29,19,22,16,19,14,30,32,184,772,2335,1175,1382,987,468,287,660,112,8182
UCL112013,12,17,0,12,8,4,0,5,0,49,21,13,9,25,24,7,0,3,0,105,53,10,107,39,37,20,21,29,4,315,0,0,0,3,8,0,0,4,0,21,4,0,0,3,3,6,0,4,0,17,0,3,0,4,0,0,0,0,0,10,0,0,0,3,0,0,0,9,0,26,120,181,124,117,91,43,30,51,10,763
UCL112014,52,71,28,72,58,13,10,12,0,316,84,117,68,196,108,46,27,39,12,695,272,158,951,397,316,145,210,227,49,2720,21,8,16,23,42,29,14,28,6,177,15,15,13,35,54,19,23,21,3,202,4,10,3,8,4,5,0,4,4,45,11,16,16,23,16,9,9,9,22,136,721,1604,1155,901,730,315,315,380,113,6243
UCL112015,63,111,47,107,75,22,14,27,11,472,126,144,120,328,143,51,17,39,11,976,371,190,1285,779,412,286,255,383,57,4006,22,9,22,43,51,39,12,48,0,242,17,17,18,77,44,27,16,32,4,254,9,9,6,7,15,12,4,11,3,76,14,24,32,52,26,28,11,37,26,253,921,1958,1644,1689,929,571,348,680,124,8879
UCL112016,97,154,60,109,110,35,16,31,9,623,180,217,153,363,250,64,41,56,18,1347,430,250,1616,737,605,287,423,382,55,4795,27,12,40,33,61,34,27,42,5,289,18,29,30,67,99,36,30,39,6,361,18,24,7,15,16,5,3,7,3,99,15,32,20,34,48,22,20,41,32,273,1497,4000,2125,1780,1571,596,618,707,162,13055
UCL112017,127,234,94,132,166,45,12,25,16,861,209,237,135,394,276,113,20,83,15,1482,536,278,1547,1003,630,401,218,408,77,5083,27,22,28,56,65,55,18,53,0,320,53,38,33,94,113,47,18,53,3,448,11,27,18,22,27,8,0,8,0,120,38,45,25,53,41,29,23,25,47,326,1738,4452,2046,2167,1734,812,339,753,199,14239
UCL112018,49,130,31,89,58,23,10,25,0,428,145,153,83,279,155,52,29,66,19,980,353,209,1201,644,482,292,294,436,48,3955,28,8,25,51,57,37,17,70,0,300,32,29,25,55,80,36,16,47,0,312,14,16,9,6,13,10,4,22,0,88,18,28,29,50,33,23,19,77,34,314,979,2567,1500,1496,1075,555,435,971,122,9705
UCL112019,123,186,61,141,109,36,15,29,11,710,200,251,147,472,275,92,29,56,24,1539,694,344,1959,951,775,394,374,508,82,6085,32,18,37,59,72,52,31,76,4,388,39,25,33,76,123,41,23,59,3,426,7,38,18,16,24,13,5,18,8,139,38,33,35,51,52,37,25,58,41,367,1891,4637,2555,2252,1841,836,563,957,220,15753
UCL113001,39,67,24,62,54,20,6,13,3,283,74,79,54,143,62,41,6,40,0,501,170,89,612,343,213,156,104,182,19,1893,15,9,10,22,16,17,3,18,0,110,23,20,12,36,33,16,6,9,4,165,5,9,6,11,8,0,0,6,0,48,16,21,12,27,12,9,4,20,18,141,580,1393,802,839,551,323,142,344,53,5035
UCL113002,26,30,16,38,28,13,3,10,0,170,35,36,24,68,69,20,8,19,3,277,142,52,386,220,138,111,68,148,19,1278,11,3,8,7,8,20,4,14,0,79,17,11,10,14,24,14,5,16,0,113,0,0,4,5,0,3,3,6,0,29,13,16,7,23,20,15,10,18,7,114,339,514,486,468,335,224,99,248,45,2759
UCL113003,35,60,18,48,18,0,4,3,0,188,70,77,32,146,79,13,11,14,10,449,174,87,753,388,235,91,229,120,35,2110,11,4,9,31,24,18,10,15,0,119,9,18,12,38,26,19,22,13,4,142,3,10,0,6,4,4,4,4,0,26,9,10,14,23,18,14,15,27,22,148,454,1073,859,791,452,172,300,214,78,4402
UCL113004,51,63,33,39,25,18,0,15,0,259,67,60,56,108,29,41,6,36,6,414,111,51,319,98,48,61,32,81,25,819,15,4,7,12,7,6,0,6,0,67,19,15,5,21,18,14,0,6,3,97,5,11,7,10,5,3,0,4,3,57,20,18,15,19,9,9,0,11,33,128,722,1202,566,548,275,248,73,283,104,4024
UCL113005,26,52,6,44,32,5,4,0,0,185,48,71,22,146,62,27,7,23,6,411,153,104,492,482,257,135,134,204,20,1986,6,3,8,29,32,31,7,25,0,150,13,11,7,41,21,18,11,25,4,151,0,7,0,3,7,5,3,4,0,28,10,14,12,20,17,3,8,28,20,122,372,914,568,874,507,254,177,332,55,4039
UCL113006,7,22,0,27,7,5,0,0,0,81,25,27,11,71,33,14,3,3,4,204,83,75,208,277,93,65,58,118,15,983,5,3,0,23,10,11,3,8,0,69,8,0,0,24,19,7,8,11,10,80,0,4,0,3,5,3,0,4,0,14,3,7,15,23,0,18,12,14,14,106,181,404,249,503,203,138,87,175,41,1965
UCL113007,56,92,26,53,49,19,10,5,4,306,101,95,57,139,88,28,7,24,8,551,177,95,569,169,145,71,102,75,27,1424,8,3,3,8,15,10,3,14,0,72,31,10,10,18,41,16,7,10,0,150,5,10,10,0,11,3,5,3,0,43,8,8,12,3,12,4,6,10,9,69,784,1747,759,553,529,202,158,162,72,4972
UCL113008,20,31,21,31,19,7,8,6,0,136,32,39,31,61,55,9,9,15,0,254,110,55,419,202,145,68,177,124,19,1323,9,0,10,14,31,13,7,15,0,101,5,8,7,19,18,5,4,9,0,79,0,0,3,4,6,0,5,5,0,23,5,10,3,13,6,6,13,14,8,84,264,509,526,430,337,137,242,198,39,2672
UCL113009,27,59,24,28,42,3,7,8,0,198,69,72,65,110,93,23,12,14,11,462,165,95,595,247,203,92,135,98,29,1652,8,5,8,20,23,10,0,10,0,83,3,7,12,10,19,15,0,4,0,71,0,5,9,0,5,0,0,6,0,21,9,4,12,6,7,3,3,4,14,72,415,723,742,496,456,165,168,155,74,3389
UCL113010,29,33,23,32,26,13,12,9,3,160,38,43,39,87,55,27,21,19,3,336,150,64,652,211,138,80,311,147,21,1774,8,3,13,5,15,19,13,17,0,88,17,3,4,19,16,12,8,13,0,103,6,6,7,5,6,3,0,6,0,34,3,7,9,13,13,14,16,14,12,94,380,808,789,463,349,196,398,249,46,3673
UCL113011,20,35,31,25,11,3,18,0,3,146,29,23,30,68,29,21,27,17,5,244,74,50,672,172,170,75,317,130,27,1683,3,0,4,10,14,14,21,20,4,93,6,0,9,10,23,6,20,20,0,90,0,0,5,0,5,3,5,4,0,20,5,11,6,12,10,14,19,14,15,92,209,457,798,348,309,142,440,220,50,2971
UCL113012,53,72,32,45,49,11,0,19,3,283,79,80,64,126,76,33,10,25,3,505,191,84,494,222,143,108,89,122,27,1475,10,7,9,14,18,12,4,16,0,88,20,7,18,25,36,14,4,11,0,140,7,6,5,4,3,3,3,0,0,37,15,12,13,17,14,13,9,17,10,106,598,968,703,571,447,220,132,237,65,3936
UCL113013,16,35,11,31,28,6,0,9,3,136,50,69,40,129,81,21,11,28,6,437,145,78,594,310,221,117,176,169,25,1840,8,6,15,18,30,16,15,10,0,124,15,0,5,27,22,10,16,21,0,115,5,3,5,3,7,0,0,4,0,27,7,4,10,9,13,14,17,20,12,110,331,558,694,602,470,207,248,272,51,3442
UCL113014,33,35,25,34,32,9,14,0,0,179,46,52,49,101,65,30,44,15,11,415,166,100,838,289,253,111,503,147,21,2429,5,3,4,18,24,12,33,24,0,126,9,3,13,22,35,8,17,10,5,122,3,3,4,0,8,0,0,10,5,32,7,13,12,9,12,10,18,10,16,112,427,769,1003,558,512,200,643,239,63,4412
UCL113015,23,23,7,30,10,5,0,3,3,119,52,32,32,95,34,17,3,18,4,299,106,63,443,259,141,88,62,136,17,1310,9,9,7,13,19,17,3,12,0,84,10,7,3,20,16,7,7,12,3,96,4,0,3,0,4,5,0,4,0,22,4,6,12,10,10,6,7,16,7,80,285,465,522,497,280,158,95,207,45,2556
UCL113016,24,46,13,33,25,6,4,3,6,155,37,62,39,151,51,28,5,26,3,406,170,87,454,429,172,157,114,206,21,1819,13,7,9,29,24,31,10,32,0,150,13,15,13,24,21,10,11,21,5,129,6,9,0,10,6,7,0,3,0,29,13,18,14,34,15,17,3,21,23,151,346,884,571,805,367,264,147,342,58,3775
UCL113017,48,51,20,37,24,16,0,5,5,200,63,41,26,110,62,26,0,19,8,359,177,67,602,222,143,129,66,158,27,1593,12,3,10,13,19,22,3,10,0,87,20,7,11,27,18,23,8,22,0,134,5,4,4,0,4,3,0,4,0,23,14,16,9,18,15,12,9,23,5,126,517,874,722,534,370,271,89,272,58,3703
UCL113018,4,9,3,5,5,4,0,0,0,30,12,12,3,22,5,0,0,4,0,67,39,9,131,30,35,24,22,21,4,313,0,0,0,5,0,0,0,3,0,8,0,0,5,6,4,0,0,0,0,13,0,0,0,0,0,0,0,0,0,3,4,3,3,3,6,0,0,0,0,31,79,113,149,74,64,33,30,39,14,588
UCL114001,16,16,7,20,19,0,0,8,0,92,19,26,8,46,23,10,5,14,0,159,53,29,169,91,67,29,26,47,10,530,4,0,0,3,7,4,0,7,0,33,4,0,3,14,8,3,7,8,0,48,0,3,0,0,3,0,0,0,0,12,0,7,5,8,6,4,3,4,4,43,173,432,234,248,181,69,42,96,18,1492
UCL114002,16,25,8,18,12,4,0,4,0,77,20,16,17,38,10,11,4,9,0,117,71,41,249,136,62,56,45,70,13,740,6,0,0,11,9,9,6,10,0,42,4,6,0,13,9,0,9,11,0,54,4,0,0,0,0,0,0,0,0,8,6,6,5,13,8,12,3,9,5,61,162,334,287,271,126,93,64,116,26,1481
UCL114003,9,14,6,13,10,4,4,3,0,60,25,16,6,60,31,13,9,4,0,161,80,42,276,238,120,75,77,181,8,1094,6,5,5,4,17,8,9,18,0,76,4,0,4,19,14,13,3,21,0,74,3,0,0,5,7,0,0,5,0,22,6,8,3,18,9,13,10,27,4,90,179,294,315,376,233,129,102,287,18,1947
UCL114004,18,26,12,20,17,0,0,0,0,97,29,35,24,55,28,14,5,5,7,217,93,29,224,131,104,55,67,63,12,774,3,3,4,8,12,12,4,6,0,46,9,4,7,5,10,6,6,0,4,63,0,5,4,0,0,4,0,0,0,17,5,6,0,11,4,7,3,9,9,53,267,508,313,280,229,111,100,98,36,1938
UCL114005,8,11,9,18,5,3,0,5,0,56,17,18,8,53,19,9,3,6,0,133,60,44,165,108,56,42,67,63,12,604,0,3,3,8,15,4,3,10,0,46,5,3,4,10,12,8,8,10,0,52,0,0,0,6,0,0,0,0,0,7,0,7,9,10,5,11,6,14,10,66,125,259,205,231,131,70,92,103,23,1232
UCL114006,16,14,7,12,8,3,4,3,0,69,23,15,19,51,19,14,0,12,0,139,72,22,225,91,65,42,64,118,11,710,0,0,0,6,9,6,3,12,3,42,8,4,4,9,3,6,0,16,0,40,0,0,0,0,0,3,0,0,0,9,3,3,6,4,7,3,8,10,0,37,167,259,261,198,131,78,81,178,18,1378
UCL114007,14,20,6,16,17,0,0,8,0,80,28,20,8,67,38,10,6,3,6,177,121,43,257,180,93,65,57,97,14,922,7,0,3,14,13,16,7,10,3,72,10,0,5,9,15,5,4,8,0,58,3,4,0,6,7,10,6,3,0,24,12,10,7,15,10,11,3,26,6,107,252,378,309,342,219,123,79,165,32,1890
UCL114008,20,24,8,18,11,5,3,4,0,89,31,22,5,60,25,11,7,8,3,167,82,33,241,112,91,52,67,74,15,762,0,0,0,4,10,9,0,7,0,37,6,4,4,11,12,6,3,9,0,46,6,4,0,3,0,0,0,0,0,9,4,9,13,14,7,9,5,6,10,74,213,391,289,287,190,89,91,112,37,1697
UCL114009,11,21,5,43,8,3,0,5,0,102,39,47,28,94,34,18,4,12,4,277,88,50,272,162,99,67,45,56,8,839,3,6,5,7,9,9,5,4,0,48,0,7,5,6,10,12,3,4,0,51,3,9,0,4,0,3,3,5,0,26,4,9,4,4,9,0,5,11,9,50,266,923,398,445,258,151,79,115,19,2654
UCL114010,11,23,3,18,17,0,5,3,0,83,24,23,16,52,17,12,3,4,0,157,105,36,272,109,93,44,85,82,12,841,4,7,3,8,10,0,0,11,0,45,17,8,4,14,11,16,0,9,0,72,3,0,3,4,0,0,0,3,0,18,9,7,11,9,4,3,11,15,9,71,239,432,321,257,179,89,107,127,29,1794
UCL114011,9,14,0,10,7,8,0,8,0,57,12,15,7,27,21,0,0,8,0,94,49,22,132,92,65,51,35,65,8,511,0,3,5,7,10,9,5,7,0,46,3,0,0,7,8,0,0,5,0,31,0,0,0,4,4,3,0,0,0,10,0,3,11,6,0,3,0,13,5,46,112,220,168,190,134,84,48,113,22,1093
UCL114012,40,25,8,21,30,8,4,3,5,144,92,98,32,73,80,19,4,0,6,410,117,55,245,59,121,27,18,21,8,678,10,8,3,4,16,3,3,4,0,46,12,8,3,3,6,4,0,0,0,33,5,3,7,0,3,0,0,0,0,24,3,5,3,3,5,0,7,4,7,37,630,900,333,254,427,96,47,45,54,2789
UCL114013,14,21,3,16,10,4,7,0,0,73,21,42,13,63,19,11,17,12,3,200,112,45,333,151,118,51,181,103,20,1118,6,6,6,12,16,3,13,10,0,61,10,4,6,21,15,16,11,5,3,87,3,3,8,0,0,0,0,3,0,18,4,0,8,15,7,3,10,12,9,58,250,467,404,316,214,102,259,157,41,2210
UCL114014,24,36,17,32,30,14,3,4,0,155,46,57,27,66,56,13,5,10,6,292,86,49,381,88,100,57,76,55,20,914,4,4,0,6,14,8,6,4,0,34,10,5,4,14,26,7,0,5,0,74,3,4,3,0,9,3,0,4,0,18,7,4,0,10,12,5,3,0,5,49,348,741,458,314,307,127,102,96,36,2529
UCL114015,13,35,0,22,11,3,0,4,0,100,23,26,7,58,28,14,0,17,0,178,100,51,319,231,100,88,72,151,20,1132,3,4,4,17,7,16,3,14,0,74,3,7,0,18,9,11,4,12,3,68,4,3,4,0,0,0,0,5,0,19,10,0,6,8,4,12,4,18,0,74,215,472,361,411,199,159,87,258,33,2198
UCL114016,10,18,13,19,14,6,3,10,0,92,23,22,17,49,22,6,9,16,3,170,118,51,293,116,107,40,80,86,26,925,8,6,5,13,12,9,3,11,0,62,8,0,8,9,15,7,6,10,0,63,3,0,0,0,3,0,0,3,0,18,5,5,0,7,8,5,10,14,11,61,243,430,369,264,224,82,120,194,40,1963
UCL114017,48,51,13,26,29,12,5,7,0,187,60,46,38,55,47,30,0,4,9,288,116,45,304,100,71,62,28,47,8,778,8,0,0,3,0,5,0,9,0,32,10,9,6,14,22,5,4,3,0,76,7,5,0,4,0,5,0,0,0,24,7,16,8,4,7,10,0,8,7,69,513,1121,418,299,279,163,58,107,38,2990
UCL114018,28,35,7,23,15,9,4,13,0,136,34,37,21,56,42,23,0,15,0,237,118,35,324,135,92,73,46,82,13,913,5,7,0,6,12,12,0,3,7,47,12,7,6,20,9,14,6,6,0,78,0,9,0,0,3,5,0,0,0,18,8,13,4,4,3,11,5,3,0,56,332,633,402,323,256,188,69,145,25,2380
UCL114019,19,24,7,27,17,3,0,3,0,102,19,25,14,43,31,10,3,4,4,155,73,28,209,102,84,48,69,62,11,686,3,6,3,6,12,6,0,13,5,52,4,0,0,8,8,3,3,5,0,31,0,0,0,0,0,0,4,7,0,14,9,9,11,10,12,7,9,7,3,77,205,438,269,247,200,87,101,122,31,1690
UCL114020,34,39,15,21,27,25,4,12,3,181,55,41,35,61,33,21,5,12,0,272,102,52,409,97,90,60,87,99,16,1003,4,0,12,8,17,9,3,17,0,77,11,9,11,9,21,10,9,12,0,79,4,0,0,0,3,4,3,4,0,18,4,6,8,4,12,3,11,13,0,65,382,733,556,313,306,163,136,196,34,2817
