SED_CODE_2021,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
SED60514,690,865,789,661,862,427,286,416,102,5095
SED69494,24,50,48,39,27,21,37,50,11,309
SED69797,0,0,0,0,0,0,0,5,0,12
SED70001,246,528,211,377,165,78,71,186,70,1926
SED70002,661,1479,700,1021,687,400,182,415,124,5665
SED70003,272,528,314,472,198,101,172,270,64,2395
SED70004,388,441,244,438,224,99,127,429,78,2460
SED70005,457,648,745,712,703,371,286,331,85,4337
SED70006,614,1258,575,837,584,270,173,313,120,4750
SED70007,528,739,813,768,851,405,310,387,94,4886
SED70008,557,1436,584,792,591,333,226,344,78,4937
SED70009,446,492,444,367,334,147,270,394,103,3000
SED70010,369,523,647,571,580,324,314,418,92,3830
SED70011,790,1361,475,565,572,301,164,226,85,4536
SED70012,812,1263,659,711,704,299,187,332,78,5043
SED70013,766,675,891,507,686,275,400,506,106,4816
SED70014,282,403,196,568,157,96,77,358,40,2183
SED70015,465,1078,614,642,553,345,253,424,83,4466
SED70016,369,650,571,516,588,337,216,419,94,3755
SED70017,522,728,589,668,500,221,197,327,100,3850
SED70018,272,675,365,406,283,153,182,176,94,2609
SED70019,515,856,497,718,516,197,160,366,119,3930
SED70020,708,658,1001,775,776,308,355,346,130,5048
SED70021,600,1765,485,724,545,317,193,351,89,5064
SED70022,1211,1850,850,1162,899,427,233,503,141,7271
SED70023,521,818,575,568,644,289,192,394,79,4073
SED70024,792,1163,1004,1144,988,472,342,415,123,6452
SED70025,650,1436,642,715,713,375,246,348,74,5196
SED79494,54,107,49,62,46,19,31,107,22,500
SED79797,0,18,9,5,0,0,4,26,0,56
SED80001,6920,10744,5597,4840,7988,2931,1661,2452,980,44108
SED80002,7858,14945,5664,6178,7360,3509,1384,3025,1034,50961
SED80003,11703,20320,2816,5043,6092,2606,583,1775,1087,52025
SED80004,8795,16290,3863,4617,6264,2481,890,2153,942,46284
SED80005,9089,15818,5912,6438,8431,3669,1490,2959,1220,55022
SED89494,28,51,25,30,27,21,5,19,0,216
SED89797,0,0,0,0,0,0,0,0,0,0
SED99191,364,299,391,333,279,135,135,270,43,2243
SED99494,0,4,0,0,0,0,0,0,0,3
SED99797,0,0,0,0,0,0,0,0,0,0
