SED_CODE_2021,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
SED10039,150,49,432,254,145,119,79,141,15,1384,0,0,0,5,4,3,0,4,0,14,56,68,34,35,33,9,21,23,16,307,59,52,100,76,67,54,56,61,93,613,3605,7003,4432,3520,2908,1237,1108,1347,375,25536
SED10040,141,33,376,194,151,137,71,186,22,1310,3,3,9,3,8,11,9,27,4,73,63,100,30,52,64,39,44,35,21,452,60,86,110,62,68,53,42,84,182,755,3858,10479,3390,3645,4297,2388,1275,2393,664,32376
SED10041,104,45,180,82,107,57,20,43,7,648,4,6,0,3,3,0,3,3,0,21,106,153,32,33,70,35,9,15,13,470,68,80,28,8,51,41,11,25,119,428,7778,16104,1831,1931,4121,1589,336,602,544,34820
SED10042,137,42,459,242,173,123,84,138,13,1406,8,0,0,3,3,3,4,0,0,22,34,52,45,48,29,13,40,23,6,286,41,40,105,64,58,46,71,58,91,569,2846,6213,4462,3362,2935,1208,1225,1263,363,23888
SED10043,93,27,268,142,107,94,85,90,12,922,0,5,0,10,4,9,3,7,4,35,42,41,27,37,47,26,43,30,16,299,41,62,66,69,67,50,84,72,142,656,2126,5688,2292,2446,2900,1582,1460,1235,490,20222
SED10044,210,72,331,145,157,103,21,55,16,1109,0,3,0,0,4,0,3,0,0,18,138,152,24,31,94,40,13,11,23,519,82,119,47,36,63,21,14,20,110,509,8706,17943,2634,2098,4651,1947,453,717,601,39737
SED10045,156,23,398,205,123,111,58,164,12,1248,0,5,4,8,4,0,0,3,0,19,69,46,37,41,46,23,25,35,8,334,107,65,97,85,58,47,45,116,109,723,3040,5758,3217,3225,2452,1098,843,1769,363,21770
SED10046,92,32,218,150,120,87,87,115,15,922,0,0,9,6,3,5,7,10,0,39,31,43,45,36,48,18,51,29,5,313,45,63,79,89,79,35,101,100,159,753,2025,5329,2814,2704,3162,1231,1639,1307,484,20707
SED10047,177,53,356,237,279,193,241,184,25,1744,0,8,0,7,14,0,6,7,0,44,50,50,45,62,79,37,115,49,18,509,57,78,106,112,123,46,199,114,188,1015,3610,8066,4667,4315,5074,1725,2957,1899,666,32976
SED10048,169,43,315,182,197,137,130,171,22,1369,0,7,8,4,10,6,4,8,0,37,73,81,59,83,76,48,95,73,11,598,81,81,87,78,100,53,114,116,217,928,3860,9861,4125,4307,5000,1966,2207,1917,703,33945
SED10049,167,53,563,366,228,190,148,185,19,1916,0,7,3,0,0,7,6,8,0,24,44,37,51,44,43,17,61,28,8,339,63,51,95,89,67,36,101,102,115,718,3428,6904,5613,4205,3651,1474,1952,1520,409,29152
SED10050,173,75,326,147,121,72,28,58,12,1012,0,0,0,5,0,0,0,0,0,21,144,169,35,44,73,25,18,15,13,528,80,111,60,39,70,34,18,27,121,559,9360,15260,2944,2394,3678,1972,536,694,552,37376
SED10051,165,54,328,182,196,89,64,117,19,1202,0,5,3,6,5,5,0,3,0,34,103,130,38,48,70,47,24,22,16,501,84,95,82,71,79,46,28,82,153,710,5879,11591,3700,2780,4061,1724,954,1330,547,32559
SED10052,190,49,313,163,225,128,46,76,8,1195,0,4,0,5,0,6,0,4,0,17,70,78,36,29,67,26,18,20,13,358,71,73,72,50,96,36,34,27,106,555,5596,9700,3836,2527,4189,1647,669,874,460,29499
SED10053,235,73,462,202,296,133,63,150,30,1638,6,3,0,4,5,0,0,3,0,30,147,157,38,80,77,21,31,33,20,610,97,77,125,75,100,48,53,65,137,781,6529,8578,4539,3334,4429,1376,1129,1541,664,32119
SED10054,99,41,254,156,144,101,168,135,17,1107,0,0,3,3,10,0,5,8,0,29,26,47,42,55,68,27,94,51,25,428,35,41,75,82,87,46,129,99,186,775,2209,5833,3175,3169,3718,1314,2491,1744,500,24148
SED10055,149,51,283,179,269,111,113,107,16,1276,0,0,0,4,8,0,3,0,0,17,57,43,50,37,65,22,63,42,17,379,66,44,92,58,103,46,70,56,123,654,4085,6851,4480,2932,4395,1436,1639,1260,447,27523
SED10056,179,28,424,246,157,105,75,216,22,1456,3,0,5,7,0,4,3,14,0,35,58,34,43,34,31,11,28,94,4,334,160,38,149,90,81,65,111,233,143,1065,4349,4681,3883,2816,2555,1017,1252,2365,430,23341
SED10057,130,22,425,241,108,125,39,161,17,1270,0,3,0,4,0,0,0,10,0,22,24,36,39,40,21,8,21,27,14,223,57,46,111,104,55,87,64,105,87,708,2157,4392,2940,3143,1858,1109,677,1346,312,17926
SED10058,168,54,471,247,151,125,42,110,16,1383,6,5,0,0,4,0,0,0,0,18,67,115,39,36,57,24,23,13,16,392,62,66,84,69,64,45,25,58,92,557,4483,12885,3712,3406,3348,1360,821,1102,394,31499
SED10059,194,69,407,179,104,92,28,65,14,1145,0,5,0,5,0,7,4,9,0,28,215,373,54,58,134,60,17,16,19,941,76,144,40,48,61,45,19,39,139,593,7232,19875,2653,2449,3931,1785,525,937,581,39962
SED10060,169,46,225,102,105,71,11,36,11,772,0,10,0,6,0,0,0,0,0,12,164,245,19,31,100,37,11,13,27,651,75,112,35,21,84,34,8,16,123,495,9344,18981,1679,1665,4115,1881,245,512,690,39110
SED10061,127,23,347,193,106,112,42,151,3,1106,0,3,3,5,8,3,0,4,0,28,50,60,25,27,37,14,16,42,3,263,122,57,78,76,73,73,63,152,78,777,3900,5612,2854,2875,2385,1064,833,1836,307,21661
SED10062,151,33,293,128,169,115,55,59,6,1005,6,5,0,0,4,5,3,3,0,25,68,86,38,33,66,29,28,10,13,369,64,109,53,47,73,37,44,36,100,553,4584,9995,2900,2285,4228,1645,819,1002,442,27911
SED10063,181,41,445,262,178,118,91,169,19,1497,3,0,5,6,5,3,0,7,0,30,56,52,44,38,27,14,28,25,12,299,97,69,112,72,73,64,93,130,102,804,3983,6890,4035,3152,2950,1071,1379,1516,342,25328
SED10064,163,33,362,269,116,134,47,189,17,1335,0,8,0,6,0,0,0,7,0,22,38,39,28,34,24,13,31,37,5,245,95,63,112,114,63,61,80,126,100,812,2568,4462,3031,3344,2077,1034,794,1548,320,19173
SED10065,184,58,386,174,166,126,122,133,12,1369,0,4,10,0,8,3,0,11,0,38,87,165,57,72,91,39,60,47,22,636,77,122,86,68,105,53,55,62,226,847,5714,16954,4000,3612,5674,2379,1846,1925,856,42970
SED10066,159,54,318,190,247,146,103,148,13,1384,0,7,3,3,7,9,0,8,0,30,47,53,39,37,66,32,51,34,14,367,72,54,97,62,84,50,80,68,126,683,3492,7205,4136,3184,3848,1424,1519,1415,422,26648
SED10067,176,75,277,134,165,90,30,46,9,1003,0,4,0,0,0,3,0,0,0,10,98,124,39,36,43,25,16,8,12,401,94,71,56,37,56,44,13,37,99,516,6411,9418,3598,2152,3195,1566,532,763,449,28089
SED10068,192,55,522,284,186,154,44,176,17,1628,4,3,3,7,3,7,0,3,0,32,34,46,34,40,31,21,22,20,7,261,67,51,89,84,62,66,37,79,95,641,2866,6613,3539,3472,2745,1298,675,1319,321,22852
SED10069,159,39,463,277,140,136,82,135,19,1454,0,0,4,3,0,0,0,4,0,11,43,37,43,37,48,14,39,25,21,307,54,53,110,75,65,51,70,72,99,655,2597,4269,4154,3055,2509,1142,1069,1248,380,20436
SED10070,83,26,207,117,156,84,106,91,8,865,4,0,0,0,3,0,3,6,0,8,34,64,34,46,69,32,66,39,14,405,51,66,61,53,84,40,85,56,118,617,3083,7668,2949,2317,3878,1243,1583,1184,469,24380
SED10071,221,86,348,251,241,187,147,128,27,1646,9,4,0,3,10,3,4,3,0,34,107,134,76,113,156,52,109,60,28,836,89,92,84,66,109,59,73,60,194,822,7494,17669,4700,4231,7081,2378,2103,1586,814,48064
SED10072,200,55,489,238,209,129,86,128,31,1544,0,3,5,0,3,10,4,9,0,41,69,120,48,47,72,31,29,39,14,468,75,107,106,68,97,69,59,81,176,837,5076,11482,3818,3103,4730,2278,1262,1911,671,34336
SED10073,163,51,428,148,155,125,52,105,15,1249,10,4,4,0,7,4,9,7,0,37,80,144,30,45,90,38,27,36,15,500,77,136,69,50,73,52,19,36,187,694,6292,17725,3691,2856,5445,2308,909,1301,689,41227
SED10074,135,38,271,154,166,95,104,101,10,1076,4,3,3,4,3,0,3,0,0,28,65,97,47,47,69,27,62,38,15,464,49,77,57,45,84,32,60,51,160,623,4372,11271,3336,2687,4283,1524,1497,1285,554,30812
SED10075,173,42,469,295,199,151,104,162,19,1616,3,3,3,4,0,3,0,4,0,20,39,47,54,26,51,13,47,23,19,325,68,40,114,87,65,36,68,86,121,687,2915,6099,5131,4121,3479,1358,1498,1569,432,26605
SED10076,169,40,483,273,132,139,55,162,10,1464,0,0,0,7,4,4,0,3,0,18,36,43,31,56,27,21,24,20,9,273,68,41,109,76,65,64,44,95,62,615,2611,4667,3892,3145,2159,1214,659,1447,262,20050
SED10077,164,46,515,197,143,112,78,161,19,1423,6,4,6,3,6,10,10,14,4,63,84,169,41,50,112,50,41,37,11,603,79,124,106,66,104,64,61,94,272,974,5237,15365,3553,3547,5091,2622,1231,2602,860,40110
SED10078,151,49,383,156,117,90,38,102,13,1092,0,5,8,0,5,0,0,11,0,30,142,282,59,55,126,47,22,30,14,771,57,107,72,60,74,42,17,59,120,608,5921,16129,2944,2562,4137,1665,669,1209,472,35715
SED10079,102,37,360,209,167,127,55,128,19,1203,0,0,0,0,0,0,3,7,0,18,31,39,36,27,22,10,38,27,10,243,58,42,91,57,55,45,69,72,77,566,2548,5069,4051,3074,2607,1098,1014,1227,280,20980
SED10080,321,83,774,325,168,133,45,159,26,2028,0,10,9,4,7,6,5,14,0,55,210,297,43,68,101,55,14,32,28,841,132,149,96,95,70,56,21,90,211,918,9901,21081,3030,3227,4430,2600,644,1876,896,47683
SED10081,170,46,410,265,149,133,103,189,21,1482,5,4,0,3,0,6,0,7,0,33,38,38,40,31,26,9,37,44,10,266,109,38,113,80,75,69,90,151,97,819,3415,5710,3781,3181,2662,1211,1411,1874,326,23572
SED10082,160,54,333,195,166,115,39,78,10,1156,3,0,0,0,4,0,0,3,0,17,47,84,43,29,39,16,12,17,6,291,67,62,51,60,58,36,24,30,80,469,4267,8807,3593,2743,3180,1229,515,986,355,25683
SED10083,154,56,378,236,162,132,81,156,12,1366,0,0,3,9,3,6,0,0,4,27,35,54,39,45,42,23,17,20,7,284,55,50,81,65,60,61,45,67,98,582,3003,6090,3966,3201,2933,1322,918,1278,343,23050
SED10084,194,50,557,310,175,159,50,201,22,1709,0,0,3,7,3,0,0,5,0,21,34,56,47,41,35,16,12,30,11,273,84,75,129,89,68,51,57,105,122,782,3091,6363,4100,3408,2556,1319,786,1606,418,23642
SED10085,135,23,382,241,101,113,172,153,18,1338,0,5,0,3,0,0,0,9,0,20,54,33,50,40,30,20,79,38,14,357,109,47,132,78,70,50,177,138,133,920,3254,4083,4985,2656,2428,994,2668,1794,384,23252
SED10086,167,71,256,127,106,59,12,40,6,841,5,4,3,0,4,6,0,4,0,27,161,252,28,44,72,36,12,13,20,629,122,155,53,40,68,49,11,26,165,689,8825,16862,1827,1755,3303,2136,307,561,869,36454
SED10087,179,49,426,322,163,148,68,192,16,1561,5,3,5,11,11,9,4,22,4,73,64,59,40,46,41,22,27,24,9,326,91,52,112,89,59,48,70,107,127,758,3683,7221,4324,3765,2922,1307,1069,1632,404,26335
SED10088,203,65,440,190,168,120,35,91,12,1324,0,5,0,3,0,3,0,0,5,22,102,108,53,39,66,32,28,25,15,472,90,90,106,54,64,46,37,47,104,644,6867,10727,4074,3002,3897,1864,841,1201,460,32922
SED10089,130,51,497,274,204,142,89,141,10,1536,0,4,10,5,7,3,3,12,0,36,44,68,41,47,57,23,32,38,11,352,39,55,106,76,63,39,52,84,116,634,3019,9542,4418,3894,3437,1357,1294,1441,380,28771
SED10090,164,69,273,121,107,82,17,45,12,888,0,4,0,4,3,0,0,0,0,19,163,185,29,31,91,33,12,9,18,572,85,108,48,42,59,41,15,18,112,524,8657,17220,1989,1930,4111,1937,403,624,615,37494
SED10091,166,40,391,211,241,133,84,142,23,1438,0,4,3,5,0,4,0,0,0,23,64,75,51,35,41,21,37,36,16,374,82,52,120,67,97,62,76,62,125,740,4208,6377,5330,3004,3296,1438,1479,1518,440,27097
SED10092,149,38,389,215,178,96,69,144,13,1300,3,0,4,7,0,0,6,5,0,26,41,80,41,52,57,17,32,36,13,376,45,52,88,66,57,49,56,76,107,588,3178,8723,4000,3508,3281,1347,1216,1545,433,27234
SED10093,166,54,422,249,213,171,90,153,16,1536,4,4,0,4,0,6,3,0,0,23,36,34,46,33,44,14,34,36,11,301,57,51,107,101,63,44,66,72,106,669,2638,4919,3996,3823,2852,1313,1144,1547,360,22580
SED19494,11,3,33,9,9,8,3,25,0,108,0,0,0,0,0,0,0,0,0,3,8,10,5,5,0,0,9,3,0,31,4,10,6,3,10,3,8,19,19,84,186,453,205,217,159,95,124,224,44,1714
SED19797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED20106,243,68,561,255,143,108,25,88,24,1511,7,0,7,7,5,4,4,6,0,33,183,274,47,91,112,62,24,30,22,838,100,112,55,55,57,41,23,46,163,653,8460,17456,2894,3014,4335,2018,591,1369,763,40901
SED20207,207,84,517,279,230,149,149,149,29,1794,5,5,0,4,10,0,4,9,0,30,106,138,66,84,115,48,59,41,20,675,93,98,109,54,97,59,72,71,242,890,5942,13079,4715,4012,5108,2104,1891,1745,863,39463
SED20302,282,65,786,369,261,237,302,316,31,2639,3,3,0,0,0,5,4,6,0,30,91,83,64,110,74,40,79,63,18,628,122,63,199,100,102,102,114,142,204,1142,4581,8717,6396,5424,4151,2223,2383,2674,675,37214
SED20401,133,41,342,180,152,122,57,126,14,1160,0,3,0,0,3,0,3,3,0,13,49,71,50,49,39,16,11,23,13,326,42,52,98,53,71,30,41,50,87,534,2965,7281,3866,2868,2981,1276,801,1202,355,23586
SED20508,146,37,453,202,128,120,55,118,13,1271,6,4,0,6,0,0,0,7,0,22,70,92,36,52,60,21,22,25,7,384,68,59,108,73,69,49,31,65,82,601,3371,6856,3878,3049,2473,1102,706,1210,386,23030
SED20604,171,43,457,240,160,131,101,191,8,1487,0,0,3,7,3,8,0,12,0,37,47,64,50,45,37,23,35,37,13,344,79,40,94,67,46,48,76,103,103,655,3524,5660,3793,3346,2470,1041,1150,1596,350,22939
SED20704,132,40,416,207,156,111,64,151,18,1299,0,3,0,3,4,0,0,6,0,20,50,68,31,35,35,17,36,21,5,314,50,47,96,64,41,43,56,69,78,543,2927,7340,3557,3333,2499,1138,954,1383,311,23445
SED20804,131,17,364,192,108,97,57,147,12,1126,6,0,6,0,0,0,4,10,0,24,59,81,31,45,54,25,26,28,19,361,50,48,72,64,38,36,59,73,97,535,2347,5834,3064,2824,1969,944,764,1332,294,19368
SED20906,145,52,325,127,112,107,31,62,11,970,4,0,9,0,0,5,0,0,0,22,104,174,43,46,69,44,13,23,19,524,69,86,56,36,58,34,16,31,79,465,5375,10456,2550,2132,3278,1491,440,741,402,26867
SED21001,111,41,272,147,84,89,34,108,14,897,4,6,8,10,0,3,0,5,0,32,76,134,32,39,74,41,15,21,16,456,52,69,62,53,55,43,24,32,127,516,4775,12242,2280,2364,3342,1624,565,997,479,28675
SED21106,159,47,181,92,97,71,6,26,14,694,0,0,0,3,4,0,0,0,0,11,138,188,26,48,75,38,3,13,19,550,76,86,40,18,33,32,4,14,91,398,6623,11100,1514,1550,2538,1464,227,403,451,25871
SED21203,67,19,297,137,89,74,81,117,12,896,0,0,3,5,0,0,3,6,0,17,38,44,39,46,31,16,23,33,15,285,23,41,96,59,51,30,84,83,149,620,1335,3997,2503,2460,1758,940,1377,1365,430,16168
SED21303,127,78,424,169,109,74,33,85,5,1110,3,0,0,5,0,0,0,4,0,25,198,373,57,111,151,48,23,33,18,1007,59,114,57,43,63,26,21,30,120,529,5880,18147,3022,3147,4012,1559,571,1017,510,37866
