SED_CODE_2021,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SED30032,5227,4242,1775,419,25487
SED30033,4838,4962,2815,870,26341
SED30034,5312,4240,1859,575,26730
SED30035,3654,2403,965,255,23448
SED30036,3326,1952,1015,337,27063
SED30037,3287,2002,1039,475,23504
SED30038,3731,2316,1017,279,24515
SED30039,3508,1747,541,74,32556
SED30040,4295,3214,2011,847,27574
SED30041,4571,3013,1292,381,25614
SED30042,3682,2259,928,218,27044
SED30043,3880,2593,1090,269,23266
SED30044,3922,2470,1075,281,29112
SED30045,4387,2824,1376,593,28173
SED30046,3641,2604,1245,305,27720
SED30047,4289,2505,1247,537,26660
SED30048,4423,3388,1771,511,39332
SED30049,3836,2245,1237,486,31406
SED30050,5256,4115,1914,708,29427
SED30051,5023,4509,1823,422,24277
SED30052,4479,2667,1145,372,48915
SED30053,3923,2824,1410,560,30131
SED30054,4261,2533,1208,472,30336
SED30055,3881,2349,846,169,22416
SED30056,5117,3614,1954,701,29543
SED30057,3691,2667,1318,496,26193
SED30058,4299,3139,1481,536,28933
SED30059,4734,3140,1608,583,30683
SED30060,3764,2417,943,246,25834
SED30061,3611,2160,1120,444,25173
SED30062,3580,2186,1150,500,32540
SED30063,4504,3875,1744,354,23154
SED30064,4568,3530,1704,592,25820
SED30065,5104,3981,1753,485,29788
SED30066,5790,4962,2491,780,28050
SED30067,3645,2219,974,444,31357
SED30068,4685,3546,1886,657,23841
SED30069,4508,2867,1032,218,28309
SED30070,4584,5053,2721,679,25261
SED30071,5068,4310,2077,704,27364
SED30072,4893,3985,1954,588,27320
SED30073,3335,2062,1109,554,23474
SED30074,4027,2645,1343,544,28093
SED30075,4903,3607,1598,462,26458
SED30076,4288,2553,1054,329,44437
SED30077,4011,3349,1632,462,22099
SED30078,4225,3230,2010,893,31528
SED30079,3862,2794,1108,255,27217
SED30080,3809,2226,1166,655,32609
SED30081,3964,2721,1114,321,30788
SED30082,5361,4334,2282,573,34014
SED30083,3831,2284,980,315,29059
SED30084,3350,2074,927,227,22915
SED30085,3591,2535,1297,433,32352
SED30086,4192,3074,1668,477,26380
SED30087,3617,2993,1767,715,28379
SED30088,4407,2787,1081,275,26722
SED30089,2781,1470,660,153,18628
SED30090,2921,1708,713,241,18358
SED30091,3113,2415,1325,529,27361
SED30092,4443,2589,954,195,27548
SED30093,3216,1966,789,258,26886
