SED_CODE_2021,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_or_lt_rail_M,One_met_Tram_or_lt_rail_F,One_met_Tram_or_lt_rail_P,One_met_Taxi_or_Rideshare_M,One_met_Taxi_or_Rideshare_F,One_met_Taxi_or_Rideshare_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_or_lt_rail_M,Two_mt_trn_Trm_or_lt_rail_F,Two_mt_trn_Trm_or_lt_rail_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_or_lt_rail_M,Two_mth_Bu_Trm_or_lt_rail_F,Two_mth_Bu_Trm_or_lt_rail_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Tr_2_oth_meth_M,Three_meth_Tr_2_oth_meth_F,Three_meth_Tr_2_oth_meth_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
SED10041,697,661,1356,44,70,109,0,0,0,0,0,0,5,10,22,5803,4621,10425,236,555,787,87,3,89,78,5,76,55,16,69,82,73,149,322,455,781,7406,6471,13876,85,129,212,0,0,0,7,3,13,75,58,129,19,26,50,20,12,34,206,233,439,0,0,0,0,0,0,6,7,11,7,5,15,0,0,5,17,16,30,55,37,95,272,288,564,30,42,66,0,5,5,5,0,3,30,44,68,11605,10584,22189,1810,2839,4645,69,56,124,21192,20274,41465
SED10042,59,42,105,41,61,102,3,0,4,0,0,0,9,8,15,10946,8674,19623,564,602,1167,342,9,351,117,18,138,50,9,58,67,33,102,217,183,400,12414,9644,22060,17,15,33,0,0,0,0,0,0,7,8,12,6,0,11,4,0,4,39,22,66,0,0,0,0,0,0,8,6,11,5,13,21,0,0,0,11,19,26,99,47,145,153,93,239,8,14,27,4,3,5,4,0,5,17,23,38,2778,3980,6760,2146,3233,5380,82,67,148,17594,17036,34626
SED10043,676,466,1143,85,95,182,0,0,0,0,0,4,48,26,80,7850,4170,12020,367,735,1104,192,0,193,129,13,139,36,7,42,128,71,202,254,280,530,9769,5869,15635,167,202,370,0,0,3,3,10,11,83,31,110,12,36,45,16,7,23,286,277,562,0,0,0,0,0,0,10,9,19,3,13,14,8,0,10,14,24,40,102,44,140,399,340,747,58,56,110,0,4,5,0,3,3,65,57,119,3579,4136,7715,2853,2279,5138,161,90,258,16825,12785,29610
SED10044,259,291,551,486,534,1016,33,26,58,0,0,5,21,33,48,7210,5024,12234,284,612,899,131,3,132,158,19,185,140,30,168,103,78,176,591,660,1252,9422,7302,16727,128,163,291,4,3,8,3,4,7,20,13,36,10,9,19,15,3,18,174,193,365,0,6,4,11,8,17,27,14,42,13,20,37,15,14,25,66,60,133,62,46,113,301,306,610,29,29,60,7,6,17,3,0,3,39,36,76,12087,12456,24544,2075,3108,5188,76,71,144,24010,23285,47291
SED10045,6,0,6,62,44,108,0,0,3,0,0,0,17,17,36,10231,9411,19641,632,793,1421,367,15,381,141,20,157,96,24,115,100,40,137,569,540,1105,12218,10900,23118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,10,3,0,10,3,0,8,12,9,21,105,59,169,118,68,191,0,0,0,5,7,6,7,5,15,10,4,25,2204,2658,4867,1515,2430,3946,130,127,262,16207,16191,32402
SED10046,288,295,582,165,177,339,4,0,5,0,0,0,28,21,47,9306,6040,15343,532,857,1389,229,0,231,52,3,62,34,4,43,109,86,194,284,396,676,11017,7889,18903,143,140,282,0,0,0,0,0,3,64,41,107,14,25,38,8,5,19,225,217,447,0,0,0,0,0,0,3,6,10,19,24,41,3,5,13,28,42,62,113,64,171,367,320,687,48,43,99,6,3,12,5,0,4,61,56,113,3306,4565,7871,2952,2537,5491,117,87,203,17819,15457,33267
SED10047,438,395,833,102,151,253,8,0,8,0,0,0,48,53,103,14380,9693,24069,870,1109,1977,666,15,681,135,16,148,69,7,76,150,107,254,193,196,390,17054,11734,28786,180,253,429,0,0,0,7,4,6,134,69,199,21,38,63,20,8,28,363,370,729,0,0,0,4,0,4,9,8,17,9,17,31,3,10,9,20,33,57,158,82,243,544,488,1030,85,100,186,5,9,14,11,3,12,95,112,203,5492,7571,13061,3397,3887,7288,153,108,263,26732,23891,50628
SED10048,882,969,1849,84,134,222,0,4,3,0,0,0,32,34,65,11867,8359,20232,612,1052,1657,293,9,301,109,8,120,51,6,60,147,85,234,196,196,390,14269,10852,25126,163,262,425,0,0,0,10,11,15,167,121,289,22,64,79,22,11,37,384,468,851,0,0,0,0,0,0,8,6,18,10,14,22,0,0,4,19,21,40,96,71,166,499,558,1056,97,123,224,4,4,5,4,0,4,107,129,239,6483,7299,13780,3798,3643,7444,121,88,209,25281,22568,47850
SED10049,83,53,140,51,64,119,7,0,6,0,0,0,17,11,32,14430,11120,25551,762,804,1564,281,3,290,130,8,138,55,13,66,88,70,163,209,262,472,16118,12415,28532,8,20,25,0,0,0,6,7,11,21,9,32,5,4,8,18,5,20,56,44,103,0,0,0,0,0,0,0,0,3,4,12,12,0,0,4,9,14,18,139,63,197,200,115,319,16,16,32,0,0,0,6,0,3,19,23,46,2841,4529,7369,2731,4156,6889,75,56,126,21984,21301,43280
SED10050,10,6,15,540,579,1122,165,61,225,0,0,3,23,23,47,6795,4922,11721,281,501,780,168,0,171,324,48,376,282,105,389,105,70,171,595,648,1242,9284,6985,16272,43,30,71,17,11,24,0,0,0,4,0,5,0,0,0,5,0,3,65,42,108,27,25,49,6,3,4,17,13,30,12,12,33,12,6,18,81,58,137,115,61,166,259,156,410,29,24,49,20,12,28,9,3,7,55,33,89,11615,11963,23577,1883,3163,5043,83,53,137,23172,22347,45524
