SED_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
SED40004,14794,16539,31337,6310,3850,10158,2575,4602,7174,323,446,774,428,410,836,9637,9312,18947,4827,6906,11732,4.5,4.4,4.4,65.1,56.3,60.5,62.2,53.8,57.8,2387,2124,4517,532,848,1385,4424,4903,9325,1243,1645,2890,1350,844,2195,66,108,172,178,336,518,1595,1286,2882,15198,16690,31889,2358,2520,4880,10131,11236,21373,6722,7354,14076
SED40005,15763,15119,30885,6100,3105,9210,1796,3825,5617,539,543,1088,441,333,776,8879,7808,16687,5742,6286,12032,5,4.3,4.6,56.3,51.6,54,53.5,49.4,51.5,162,210,372,83,233,313,771,1428,2194,754,1290,2050,3867,2326,6194,189,302,489,240,270,506,4302,2898,7199,14826,14505,29330,2058,2009,4067,10783,10368,21147,5355,5433,10791
SED40006,16062,16777,32840,7030,4601,11637,2679,4500,7177,444,611,1053,626,498,1125,10780,10210,20994,4608,5920,10533,5.8,4.9,5.4,67.1,60.9,63.9,63.2,57.9,60.5,735,896,1638,215,407,621,2314,3121,5432,1193,1592,2790,3543,2045,5589,190,200,396,171,287,458,3908,2529,6440,15834,16296,32126,2436,2533,4970,10089,10393,20480,7140,7532,14670
SED40007,15067,16261,31328,6731,4129,10852,2261,4630,6893,404,545,956,456,346,802,9846,9653,19502,4720,6140,10864,4.6,3.6,4.1,65.4,59.4,62.2,62.4,57.2,59.7,917,971,1888,343,569,915,2796,3422,6220,1499,1654,3154,3135,1508,4642,121,168,287,262,373,633,3515,2050,5570,15146,16078,31220,2142,2280,4424,10597,11127,21726,6021,6530,12550
SED40008,18174,17930,36099,7153,4455,11604,3102,4444,7540,513,626,1138,876,619,1487,11636,10138,21770,5610,6987,12599,7.5,6.1,6.8,64,56.5,60.3,59.2,53.1,56.2,1162,1335,2492,251,452,706,3179,3609,6796,1384,1386,2768,2751,1664,4417,166,209,370,197,268,467,3114,2139,5258,17054,16909,33967,3307,3067,6386,10477,10730,21209,8769,8294,17064
SED40009,14683,15627,30305,6636,3920,10553,2322,4788,7117,423,618,1048,522,376,899,9903,9710,19618,4378,5514,9895,5.3,3.9,4.6,67.5,62.2,64.7,63.9,59.7,61.8,755,797,1551,275,547,822,2129,3127,5265,1460,1775,3238,3941,2101,6040,167,226,391,245,373,617,4350,2691,7048,15452,15953,31405,1793,1970,3765,11308,11501,22806,5141,5630,10774
SED40010,15766,17133,32900,6942,4704,11644,2867,4793,7658,357,534,897,565,444,1005,10734,10476,21207,4482,6100,10578,5.2,4.2,4.7,68.1,61.1,64.5,64.5,58.5,61.4,1969,2042,4010,497,880,1379,4295,4854,9146,1309,1580,2892,1991,1183,3172,109,147,251,209,287,494,2301,1616,3914,14654,15797,30448,3098,3270,6365,9121,10048,19169,7954,8307,16260
SED40011,15619,17020,32640,6769,4311,11081,2736,5056,7790,417,566,981,573,452,1024,10491,10384,20879,4540,6094,10633,5.5,4.4,4.9,67.2,61,64,63.5,58.4,60.8,1305,1413,2717,403,673,1081,3213,4209,7417,1402,1636,3035,2786,1564,4352,142,184,321,257,314,568,3186,2056,5244,15623,16745,32369,2547,2600,5148,10328,11195,21524,6895,7265,14159
SED40012,15450,15991,31441,5732,2985,8720,1930,3472,5402,529,566,1093,966,810,1776,9157,7835,16987,5306,7180,12482,10.6,10.3,10.4,59.3,49,54,53,43.9,48.4,175,187,363,67,222,288,692,1136,1829,846,1236,2082,3677,2738,6416,324,396,717,194,306,498,4196,3439,7641,16102,16341,32447,2320,2392,4711,10426,10409,20831,6841,7168,14013
SED40013,17991,17915,35908,8006,4895,12898,3005,4703,7703,525,571,1091,739,579,1310,12269,10743,23009,5058,6560,11621,6,5.4,5.7,68.2,60,64.1,64.1,56.7,60.4,1505,1570,3074,309,554,871,3311,3972,7279,1503,1609,3118,3023,1760,4783,173,223,398,211,278,489,3409,2269,5675,17243,17338,34589,3355,3263,6619,9768,10024,19787,9623,9439,19060
SED40014,14170,15642,29807,3487,1937,5427,2014,3505,5516,399,471,876,386,270,649,6285,6184,12470,7233,8790,16025,6.1,4.4,5.2,44.3,39.6,41.8,41.7,37.8,39.6,361,444,801,216,417,631,1275,1862,3140,1169,1796,2960,3920,2166,6086,161,278,439,307,440,743,4384,2884,7266,13378,14483,27861,2045,2243,4286,8635,9315,17948,6265,6906,13168
SED40015,14678,14419,29095,5914,3045,8950,1875,4135,6010,685,614,1300,381,252,631,8854,8037,16895,4680,5398,10082,4.3,3.1,3.7,60.3,55.8,58.1,57.7,54,55.9,163,233,393,80,292,370,782,1698,2483,727,1348,2075,3840,2119,5961,190,286,480,237,273,511,4273,2681,6949,14346,14034,28374,2007,2164,4172,10427,9999,20424,5032,5325,10357
SED40016,15851,15888,31740,6640,3751,10389,2511,3942,6458,481,489,970,753,576,1328,10386,8754,19142,4825,6454,11282,7.2,6.6,6.9,65.5,55.1,60.3,60.8,51.5,56.1,879,908,1784,171,334,498,1857,2331,4194,1138,1379,2514,3670,2076,5743,199,275,482,182,296,479,4053,2642,6701,15852,15694,31547,2608,2434,5039,10490,10496,20988,6911,6694,13596
SED40017,15541,15584,31121,6773,3367,10144,1923,4485,6407,577,624,1204,409,311,725,9692,8791,18477,4904,5936,10834,4.2,3.6,3.9,62.3,56.4,59.4,59.7,54.4,57.1,206,286,496,105,315,420,844,1767,2613,772,1532,2306,4375,2599,6969,211,325,539,259,308,567,4843,3234,8074,15897,15634,31532,1866,1994,3863,11440,11036,22470,5380,5786,11169
SED40018,15119,17626,32741,5932,4093,10030,2446,4572,7012,446,608,1050,464,357,816,9288,9623,18914,5249,7405,12652,5,3.7,4.3,61.4,54.6,57.8,58.4,52.6,55.3,1081,1204,2287,314,646,966,2735,3699,6437,1434,1829,3265,3031,1694,4727,134,187,319,233,395,628,3400,2270,5670,14574,16542,31109,2567,2876,5445,9139,10567,19708,7234,8160,15391
SED40019,15061,14458,29522,6169,3524,9687,1454,3039,4491,607,570,1184,739,488,1228,8973,7620,16592,4711,5695,10404,8.2,6.4,7.4,59.6,52.7,56.2,54.7,49.3,52,238,289,530,86,227,316,800,1429,2228,675,1031,1706,4404,2048,6455,253,339,590,188,253,439,4842,2641,7486,14140,13632,27776,2405,2420,4822,9993,9541,19530,5576,5588,11163
SED40020,15277,15527,30807,5512,3050,8559,1911,3946,5860,489,551,1042,492,410,901,8402,7957,16360,5966,6718,12677,5.8,5.1,5.5,55,51.2,53.1,51.8,48.6,50.2,182,246,434,113,303,422,762,1482,2242,810,1414,2226,4139,2690,6824,232,342,573,227,329,557,4598,3357,7958,14391,15015,29406,2134,2279,4415,9781,9973,19754,5970,6524,12495
SED40021,15864,17692,33550,6690,4234,10924,2669,4750,7425,394,525,916,544,508,1060,10300,10023,20321,4975,7022,11998,5.3,5.1,5.2,64.9,56.7,60.6,61.5,53.8,57.4,1481,1549,3025,326,551,872,3124,3988,7113,1408,1680,3082,2665,1500,4167,104,151,256,241,286,525,3011,1935,4950,15427,16723,32146,2839,2999,5839,9733,10723,20460,7656,8221,15879
SED40022,14277,14669,28946,6339,3560,9897,2419,4805,7222,454,549,1002,337,317,648,9546,9231,18775,4068,4868,8939,3.5,3.4,3.5,66.9,62.9,64.9,64.5,60.8,62.6,1177,1242,2423,421,746,1171,2811,3738,6557,1294,1704,2999,3079,1394,4470,115,167,277,220,312,533,3410,1867,5278,14987,15312,30299,1488,1625,3112,11171,11296,22461,4599,4937,9535
SED40023,13910,14986,28898,5783,3195,8975,1940,4173,6104,418,511,933,590,379,968,8732,8259,16991,4605,6158,10762,6.8,4.6,5.7,62.8,55.1,58.8,58.5,52.5,55.4,219,323,550,140,303,440,1006,1703,2709,1043,1516,2560,4362,2594,6959,237,320,556,254,371,622,4853,3286,8135,14581,15386,29971,1527,1699,3223,10744,11134,21874,4624,5130,9755
SED40024,15529,16883,32413,6549,3840,10385,2176,4633,6813,504,679,1185,677,517,1197,9901,9680,19579,4876,6424,11300,6.8,5.4,6.1,63.8,57.3,60.4,59.4,54.2,56.7,303,481,788,162,402,568,1260,2186,3444,1175,1803,2971,4771,3046,7817,262,372,628,262,393,658,5289,3810,9099,15813,16626,32431,2393,2643,5038,9962,10255,20223,7209,8094,15301
SED40025,14673,16080,30754,7051,4055,11104,2287,4927,7210,534,697,1231,369,339,704,10246,10017,20260,3782,5465,9244,3.6,3.4,3.5,69.8,62.3,65.9,67.3,60.2,63.6,494,703,1196,278,560,844,1804,2968,4768,1383,1886,3266,3974,2400,6367,205,296,503,286,361,640,4459,3049,7512,14907,15900,30801,2520,2755,5277,9308,9907,19212,7074,7783,14855
SED40026,14458,15486,29946,7037,4076,11118,2028,4479,6506,416,598,1015,489,381,867,9967,9531,19501,4038,5503,9548,4.9,4,4.4,68.9,61.5,65.1,65.6,59.1,62.2,439,378,816,171,332,498,1388,2101,3486,1312,1812,3122,4132,2485,6621,171,288,454,248,375,623,4549,3149,7699,15456,16231,31688,1658,1774,3430,11429,11821,23254,4883,5378,10260
SED40027,13556,15116,28672,5694,3641,9331,1902,3650,5546,368,474,846,416,352,768,8380,8116,16499,4655,6452,11106,5,4.3,4.7,61.8,53.7,57.5,58.7,51.3,54.8,559,645,1206,193,360,549,1748,2379,4126,1198,1470,2670,3325,1802,5133,143,200,336,213,340,554,3686,2340,6024,13216,14439,27660,1959,2156,4115,9030,9936,18968,5429,5970,11398
SED40028,13968,15145,29113,6221,3723,9944,1801,3963,5762,460,566,1030,560,444,1002,9040,8700,17746,4336,5816,10152,6.2,5.1,5.7,64.8,57.4,60.9,60.7,54.5,57.5,268,335,606,145,324,466,936,1708,2644,1010,1583,2596,3958,2737,6694,235,347,575,202,329,531,4391,3410,7798,14155,14926,29080,2439,2655,5097,8860,9206,18059,6813,7514,14320
SED40029,16556,15673,32230,7496,3246,10741,1856,4491,6342,654,631,1284,343,249,585,10340,8614,18950,4839,5895,10726,3.3,2.9,3.1,62.4,55,58.8,60.4,53.4,57,151,228,381,82,292,373,812,1779,2590,828,1366,2192,3943,2231,6178,238,316,550,267,309,580,4450,2852,7303,15849,14956,30806,2218,2233,4451,11295,10436,21724,5919,5990,11905
SED40030,15037,15705,30745,5594,3019,8606,2359,4657,7018,514,624,1136,504,379,880,8965,8677,17641,5145,6175,11324,5.6,4.3,5,59.6,55.2,57.4,56.3,52.8,54.5,406,515,924,210,477,694,1372,2248,3630,1126,1825,2942,4290,2400,6687,190,284,476,284,428,712,4770,3115,7887,15114,15548,30662,1944,2128,4068,10398,10521,20913,5868,6433,12303
SED40031,15115,15677,30799,6927,4085,11011,2469,4661,7128,367,512,879,506,387,893,10260,9646,19913,4478,5644,10124,4.9,4,4.5,67.9,61.5,64.6,64.5,59.1,61.8,1230,1163,2394,360,567,920,2941,3537,6477,1356,1617,2972,2963,1472,4437,91,153,248,235,337,569,3291,1958,5255,15670,16035,31698,2095,2056,4151,10968,11308,22275,5995,6085,12079
SED40032,14216,15916,30134,6134,4051,10186,2253,4318,6571,395,517,917,449,359,807,9233,9243,18475,4509,6160,10670,4.9,3.9,4.4,64.9,58.1,61.3,61.8,55.9,58.6,946,1107,2053,310,560,870,2661,3422,6079,1434,1628,3063,2909,1501,4413,136,168,301,258,362,620,3303,2032,5335,13330,14679,28011,2562,2801,5366,8352,9330,17685,6840,7474,14313
SED40033,14446,14714,29160,6215,3281,9494,1723,4222,5943,458,583,1043,420,311,733,8820,8391,17215,4792,5418,10208,4.8,3.7,4.3,61.1,57.1,59,58.1,55,56.5,196,253,445,133,295,434,848,1600,2445,711,1207,1910,3914,2445,6357,165,328,497,201,296,497,4277,3068,7347,13709,14250,27963,2089,2214,4303,9352,9470,18825,5648,6213,11865
SED40034,14047,13790,27840,4259,1988,6245,1487,3217,4708,438,475,911,448,305,762,6639,5985,12622,6325,6795,13127,6.8,5.1,6,47.2,43.4,45.3,44,41.2,42.6,105,173,272,81,216,299,550,1203,1747,712,1220,1933,3676,2016,5693,174,250,423,206,232,437,4060,2495,6552,13117,12807,25934,1828,1843,3670,9512,9082,18594,4830,4956,9788
SED40035,14822,15620,30445,6459,3573,10030,2073,4078,6155,432,514,945,500,392,893,9459,8558,18021,4877,6597,11475,5.3,4.6,5,63.8,54.8,59.2,60.5,52.3,56.3,651,653,1302,213,404,618,1818,2511,4327,1295,1666,2957,4086,2058,6144,192,243,435,245,360,603,4526,2658,7189,15265,15808,31075,1855,1913,3773,10759,11248,22009,5484,5657,11139
SED40036,16177,16405,32580,6966,3812,10776,2514,4160,6672,456,492,949,789,705,1495,10721,9171,19895,4799,6605,11411,7.4,7.7,7.5,66.3,55.9,61.1,61.4,51.6,56.5,627,595,1218,117,256,372,1614,2120,3730,1051,1273,2325,3348,2223,5575,219,319,536,221,265,488,3790,2806,6597,17217,17384,34603,2368,2183,4548,11607,11698,23303,6689,6766,13448
SED40037,14944,15826,30769,6424,4234,10655,1991,3999,5989,431,568,998,609,482,1096,9452,9289,18744,4790,5947,10736,6.5,5.2,5.8,63.3,58.7,60.9,59.2,55.6,57.4,460,681,1139,207,448,654,1529,2337,3869,1199,1645,2842,3985,2242,6226,203,270,470,250,326,572,4435,2836,7270,14658,15325,29976,2064,2248,4315,10239,10634,20870,5683,6216,11896
SED40038,16846,17209,34059,6072,3156,9229,2280,3640,5918,516,487,1004,982,775,1756,9841,8064,17904,5994,8182,14177,9.9,9.7,9.8,58.4,46.9,52.6,52.6,42.3,47.4,225,247,474,70,165,240,908,1261,2161,732,1180,1917,3611,2590,6207,275,397,669,190,301,489,4076,3290,7367,17628,17856,35478,2240,2274,4514,11767,11854,23624,6836,7027,13865
SED40039,14474,15095,29562,5582,3093,8673,2039,3976,6012,449,524,970,700,449,1153,8766,8046,16812,4985,6390,11370,8,5.6,6.8,60.6,53.3,56.9,55.7,50.3,53,207,309,522,110,282,395,975,1604,2581,865,1404,2273,4423,2627,7050,269,359,623,220,369,594,4909,3356,8267,14715,15045,29763,1744,1859,3605,10377,10420,20794,5212,5718,10929
SED40040,15305,15664,30972,7211,3681,10890,2037,4722,6753,562,661,1224,338,288,627,10150,9345,19498,4430,5616,10045,3.3,3.1,3.2,66.3,59.7,63,64.1,57.8,60.9,363,469,835,205,444,646,1415,2258,3668,1242,1857,3094,4562,2329,6889,187,292,481,282,384,670,5032,3004,8038,15918,15893,31813,1697,1831,3532,11702,11531,23236,5178,5482,10662
SED40041,14649,14340,28992,5152,2894,8042,1509,3428,4934,473,493,962,605,389,994,7739,7202,14937,5785,6125,11917,7.8,5.4,6.7,52.8,50.2,51.5,48.7,47.5,48.1,167,190,358,95,269,358,574,1335,1907,610,1101,1706,3782,2064,5845,211,306,517,176,210,385,4170,2578,6745,13665,13859,27523,1762,1973,3730,10159,10104,20256,4493,4931,9429
SED40042,15788,16182,31972,6532,3512,10043,1989,3860,5848,558,605,1160,891,796,1684,9966,8777,18744,4714,6329,11042,8.9,9.1,9,63.1,54.2,58.6,57.5,49.3,53.3,170,193,360,61,207,266,666,1215,1880,800,1264,2069,3841,3048,6887,332,427,756,198,319,513,4369,3787,8156,15968,16387,32354,3006,3051,6060,9749,9839,19586,7831,8261,16093
SED40043,17175,17945,35125,7490,4517,12012,2897,4905,7799,495,629,1121,663,594,1253,11547,10638,22184,4938,6676,11619,5.7,5.5,5.6,67.2,59.3,63.2,63.4,56,59.6,1587,1695,3281,318,558,876,3156,3840,6993,1601,1693,3295,3079,1835,4915,177,219,392,220,316,536,3471,2373,5847,17025,17823,34847,2932,2779,5708,10467,11193,21661,8279,8311,16588
SED40044,14827,17112,31941,6552,4333,10886,2531,4741,7275,354,532,886,431,400,832,9871,10013,19880,4563,6667,11238,4.4,4,4.2,66.6,58.5,62.2,63.6,56.2,59.6,2164,1973,4142,556,917,1468,4399,5139,9535,1194,1663,2858,1505,892,2397,92,121,211,198,284,487,1795,1290,3092,14655,16522,31177,2630,2849,5480,9619,10873,20490,6919,7748,14673
SED40045,14732,15620,30356,6693,3949,10639,2381,4916,7299,413,592,1000,428,307,739,9917,9760,19675,4503,5521,10030,4.3,3.1,3.7,67.3,62.5,64.8,64.4,60.5,62.4,1608,1592,3197,505,909,1421,3498,4431,7929,1478,1696,3175,2615,1226,3837,137,178,310,245,334,581,2993,1732,4726,15871,16408,32283,1751,1889,3638,11337,11738,23078,5490,5812,11307
SED40046,15477,16034,31509,6904,4498,11409,2828,4625,7457,438,587,1028,571,458,1027,10747,10174,20920,4193,5383,9573,5.3,4.5,4.9,69.4,63.5,66.4,65.8,60.6,63.1,1125,1320,2445,305,583,887,3067,3626,6687,1365,1468,2832,2904,1539,4444,137,198,333,215,287,500,3251,2019,5271,14831,15264,30093,2648,2600,5251,9474,9929,19400,7199,7200,14399
SED40047,14433,15053,29486,6700,3808,10504,2030,4372,6394,415,548,961,530,407,936,9674,9132,18798,4333,5563,9896,5.5,4.4,5,67,60.7,63.8,63.3,58,60.6,452,531,986,182,373,559,1460,2132,3592,1316,1619,2926,4106,2305,6412,183,253,434,255,353,606,4535,2910,7446,15493,15929,31422,1586,1663,3251,11333,11681,23017,4912,5123,10034
SED49494,1668,1306,2975,233,117,351,124,141,264,64,48,106,150,113,266,562,423,989,651,613,1266,26.3,27,0,34,32.3,0,25,23.6,0,36,44,76,6,22,29,108,125,234,65,96,154,308,166,472,33,30,60,23,21,45,363,214,577,369,226,596,947,917,1865,262,144,404,1008,965,1975
SED49797,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,50,0,50,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,4,0,4,6,0,6,0,0,0,6,0,6,0,0,0
SED50106,15562,16411,31970,6093,3483,9576,2192,4592,6790,636,599,1237,413,296,715,9335,8977,18311,5268,6585,11854,4.4,3.3,3.9,60,54.7,57.3,57.4,52.9,55.1,338,425,765,194,453,646,1257,2301,3556,1144,1836,2979,4258,2456,6717,300,441,735,222,403,625,4775,3302,8074,14801,15711,30518,2597,2796,5392,9860,10291,20155,6652,7398,14052
SED50202,19398,20367,39756,8657,4559,13214,2329,4739,7063,673,747,1425,1015,1000,2011,12675,11051,23722,5215,7981,13198,8,9.1,8.5,65.4,54.2,59.7,60.1,49.3,54.6,372,474,849,156,315,471,1290,2104,3398,1373,1965,3337,5107,3473,8585,393,546,934,245,450,690,5743,4466,10209,20028,20603,40629,2903,3156,6059,12634,12762,25400,8666,9444,18106
SED50304,18380,19975,38364,8940,6002,14943,2852,5373,8232,550,679,1227,632,561,1200,12977,12622,25601,4321,6380,10702,4.9,4.5,4.7,70.6,63.2,66.7,67.1,60.4,63.6,1389,1409,2798,354,658,1010,3603,4428,8030,1818,2052,3862,3419,1919,5333,203,277,479,205,384,592,3826,2583,6406,17268,18671,35944,3105,3402,6514,10362,11477,21842,8849,9506,18353
SED50405,20456,22088,42541,11361,6309,17669,2296,6287,8578,920,916,1844,758,855,1616,15347,14368,29710,3743,6729,10480,5,6,5.4,75,65,69.8,71.3,61.2,66,544,645,1189,206,537,747,1817,3161,4976,1795,2545,4333,6252,4015,10263,364,558,916,290,517,805,6902,5087,11986,22058,23357,45416,3890,4321,8214,13059,13571,26631,10680,12032,22710
SED50502,17278,17846,35119,7987,4795,12781,2505,4595,7102,538,596,1138,701,632,1332,11735,10616,22351,4527,6394,10921,6,6,6,67.9,59.5,63.6,63.9,56,59.9,641,744,1390,246,510,755,2118,2879,4994,1387,1703,3091,4094,2194,6287,265,318,583,212,421,632,4565,2931,7496,17765,18093,35861,2388,2385,4776,12512,12760,25272,6466,6667,13136
SED50605,17615,18983,36602,8137,4673,12812,2895,5536,8430,450,562,1014,589,514,1099,12079,11282,23360,4948,7210,12160,4.9,4.5,4.7,68.6,59.4,63.8,65.2,56.7,60.8,2091,1736,3833,537,866,1405,4986,5572,10562,1658,2012,3668,2343,1191,3530,156,196,352,213,427,639,2714,1804,4518,17739,18786,36529,2982,3170,6147,11602,12451,24054,8201,8683,16881
SED50702,20519,20122,40633,9926,6167,16091,2964,4841,7807,747,718,1465,775,672,1443,14411,12403,26811,4547,6427,10970,5.4,5.4,5.4,70.2,61.6,66,66.5,58.3,62.4,1214,1166,2384,296,542,835,3281,4069,7346,1973,2121,4085,4288,2199,6485,293,333,629,256,402,665,4837,2942,7777,18500,18112,36618,3932,3976,7910,10754,10608,21362,10495,10358,20855
SED50805,14951,17303,32259,7170,4488,11652,2301,5284,7583,445,572,1018,436,400,836,10345,10743,21085,3919,5902,9815,4.2,3.7,4,69.2,62.1,65.4,66.3,59.8,62.8,1253,1311,2561,477,914,1388,3504,4659,8161,1423,1832,3252,2715,1346,4060,158,208,371,220,412,640,3092,1967,5062,14957,16882,31842,2454,2946,5402,9959,11121,21084,6570,7794,14366
SED50906,17473,18606,36082,7682,4348,12032,1992,4990,6982,694,656,1351,589,541,1130,10953,10534,21487,5393,7064,12457,5.4,5.1,5.3,62.7,56.6,59.6,59.3,53.7,56.4,463,460,922,212,478,687,1528,2568,4095,1193,1714,2905,4979,3128,8109,320,490,818,222,457,676,5520,4081,9602,16327,17523,33850,3282,3598,6880,10760,11411,22172,7759,8709,16465
SED51004,17897,18699,36600,9383,5211,14594,2567,5963,8536,740,740,1475,682,703,1390,13374,12625,25994,3638,5426,9067,5.1,5.6,5.3,74.7,67.5,71,70.9,63.7,67.2,651,666,1309,256,479,735,2104,3284,5392,1736,2421,4162,5113,2602,7707,265,396,664,269,460,727,5650,3458,9105,18416,18902,37325,2890,3099,5983,12375,12563,24939,7803,8330,16132
SED51104,20540,22506,43040,10254,5822,16074,2510,6379,8889,948,912,1864,894,961,1851,14611,14069,28680,4524,7339,11860,6.1,6.8,6.5,71.1,62.5,66.6,66.8,58.2,62.3,461,490,948,202,516,716,1569,2884,4453,1748,2807,4563,6293,3704,9992,342,522,861,286,557,847,6922,4782,11702,21447,22820,44261,3947,4515,8464,12465,12809,25273,10999,12664,23666
SED51205,21756,21454,43207,9780,5421,15203,3789,5662,9449,762,732,1496,868,829,1704,15202,12641,27847,5149,7643,12791,5.7,6.6,6.1,69.9,58.9,64.5,65.9,55.1,60.5,1442,1630,3076,292,523,814,3737,4569,8306,2175,2121,4298,4106,2226,6332,284,320,601,263,397,661,4649,2941,7598,20993,20882,41880,3894,3652,7549,12418,12580,25001,10818,10473,21293
SED51304,16475,17480,33955,7833,4063,11893,2494,5665,8153,453,618,1068,479,383,861,11263,10718,21975,4663,6316,10979,4.3,3.5,3.9,68.4,61.3,64.7,65.4,59.1,62.2,1381,1169,2551,494,875,1375,3946,4579,8522,1769,1988,3753,3178,1411,4583,143,209,353,195,492,684,3515,2113,5626,17892,18806,36700,2090,2165,4259,12860,13480,26342,6140,6528,12668
SED51401,16062,14989,31051,6661,3338,9994,1472,3435,4901,624,599,1221,469,338,809,9224,7709,16932,4912,5670,10586,5.1,4.4,4.8,57.4,51.5,54.5,54.5,49.2,51.9,170,221,388,91,289,381,743,1558,2307,713,1249,1962,3651,1795,5446,216,378,599,220,310,535,4092,2488,6579,14314,13871,28183,2170,2129,4304,10451,9866,20312,5202,5335,10536
SED51504,17186,18517,35703,8327,4907,13236,3041,5867,8909,485,580,1064,457,429,889,12312,11781,24096,4293,6177,10467,3.7,3.6,3.7,71.7,63.6,67.5,69,61.3,65,2480,2161,4645,572,1027,1600,5222,5806,11026,1573,1905,3474,1875,1002,2878,114,162,279,194,376,565,2182,1536,3719,18003,18783,36787,2914,2985,5899,11596,12199,23794,8332,8630,16962
SED51605,18663,19417,38083,10510,5782,16286,2429,6187,8620,690,755,1451,641,622,1267,14269,13346,27620,3504,5346,8854,4.5,4.7,4.6,76.5,68.7,72.5,73,65.5,69.2,845,890,1731,256,596,852,2506,3730,6236,1640,2168,3810,5100,2673,7771,282,380,660,250,425,678,5629,3476,9105,19456,20044,39505,3021,3171,6187,13023,13351,26380,8070,8589,16656
SED51706,17522,18206,35729,8067,3845,11914,1812,5115,6926,840,737,1576,524,479,1009,11253,10172,21428,4984,6984,11971,4.7,4.7,4.7,64.2,55.9,60,61.2,53.2,57.1,219,285,507,147,392,546,1072,2104,3181,1114,1690,2803,5724,3270,8994,279,516,794,245,439,687,6253,4224,10475,17606,18028,35631,2708,2913,5618,12428,12485,24913,6729,7374,14101
SED51804,17532,19345,36885,7593,4483,12074,3114,5406,8519,443,619,1065,471,440,916,11630,10945,22571,5002,7513,12519,4.1,4,4,66.3,56.6,61.2,63.6,54.3,58.7,2717,2291,5010,502,1030,1531,5736,6309,12045,1336,1892,3230,1363,751,2116,79,128,208,138,366,503,1585,1242,2828,16626,17944,34571,3365,3754,7116,10317,11205,21521,8854,9707,18561
SED51902,18295,18637,36933,9644,5079,14724,2142,5599,7737,810,790,1599,488,536,1017,13079,11995,25080,4265,5913,10179,3.7,4.5,4.1,71.5,64.4,67.9,68.8,61.5,65.1,411,492,906,202,497,699,1539,2538,4083,1418,2261,3682,6008,3165,9167,263,405,671,269,480,752,6538,4055,10594,19476,19965,39444,2591,2772,5364,13631,13541,27172,6941,7737,14675
