SED_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
SED30025,20609,21996,42607,10831,7032,17869,2920,6111,9038,972,1641,2611,618,498,1117,15345,15292,30633,4722,6258,10981,4,3.3,3.6,74.5,69.5,71.9,71.5,67.2,69.3,1266,1335,2603,519,977,1493,3744,5281,9027,2235,2673,4908,4976,2653,7630,250,270,519,303,439,741,5530,3368,8894,21422,22376,43798,3604,3867,7474,14090,14746,28836,9642,10294,19934
SED30026,20346,21257,41604,10319,6655,16977,2697,5468,8158,1018,1555,2576,648,484,1131,14681,14162,28843,4890,6522,11407,4.4,3.4,3.9,72.1,66.6,69.3,69,64.3,66.6,1594,1639,3240,593,1074,1665,4139,5379,9522,2087,2353,4440,4167,2247,6409,215,246,469,295,432,735,4687,2924,7611,20945,21440,42388,3839,3949,7789,13101,13652,26747,10229,10450,20682
SED30027,19761,20876,40641,8522,5096,13618,2930,5637,8565,967,1541,2505,782,626,1409,13197,12898,26098,5532,7020,12550,5.9,4.8,5.4,66.8,61.8,64.2,62.8,58.8,60.8,600,767,1366,224,532,751,1800,3062,4861,1671,2747,4421,5814,3222,9034,214,312,524,368,575,948,6399,4110,10508,19935,20612,40551,3216,3451,6666,12760,13083,25846,9154,9826,18975
SED30028,19842,19583,39425,9707,5104,14810,1967,4952,6922,863,742,1597,986,846,1832,13518,11646,25169,4793,6758,11553,7.3,7.3,7.3,68.1,59.5,63.8,63.2,55.2,59.2,342,377,725,193,392,581,1354,2375,3735,1143,1583,2726,6984,3524,10510,345,536,879,252,381,631,7584,4432,12020,19090,18722,37807,4184,4490,8673,12069,11456,23526,9792,10426,20215
SED30029,21089,20391,41484,7595,4222,11818,2619,5105,7726,1049,1392,2433,563,444,1005,11822,11158,22983,8000,8078,16072,4.7,4,4.4,56.1,54.7,55.4,53.4,52.5,53,603,791,1394,301,649,949,1949,3052,5006,1684,2620,4302,6039,3083,9121,226,350,568,346,458,798,6610,3881,10492,19214,19595,38806,2971,3313,6285,12800,12858,25663,8369,9066,17438
SED30030,21348,23260,44612,11160,8296,19458,3241,5978,9217,1081,1569,2651,686,584,1272,16172,16424,32595,4308,5940,10252,4.2,3.6,3.9,75.7,70.6,73.1,72.5,68.1,70.2,2199,2435,4636,704,1281,1977,5840,7270,13108,1873,2319,4189,3448,1716,5163,207,203,407,256,337,596,3908,2261,6165,19825,20898,40725,4953,5420,10376,11489,12193,23684,11924,12926,24849
SED30031,15870,14847,30713,8589,5066,13657,1335,3522,4852,704,632,1332,354,310,669,10981,9531,20506,2668,3768,6431,3.2,3.3,3.3,69.2,64.2,66.8,66.9,62.1,64.6,179,271,450,102,305,408,752,1854,2605,763,1212,1972,4427,2231,6657,231,338,573,220,252,475,4883,2824,7699,14234,13683,27916,3220,3348,6569,8772,8176,16948,7494,7720,15215
SED30032,22447,22958,45408,6862,3801,10663,2645,5351,7995,865,820,1684,745,622,1370,11116,10593,21706,9566,10853,20420,6.7,5.9,6.3,49.5,46.1,47.8,46.2,43.4,44.8,265,360,629,170,430,596,1123,2234,3355,1302,2265,3568,6746,3919,10666,378,530,909,373,529,898,7504,4974,12477,20861,21080,41936,3816,4082,7900,13427,13165,26597,10130,10923,21058
SED30033,21738,24781,46522,5664,4137,9800,2419,4811,7228,604,720,1323,938,735,1669,9618,10403,20015,10649,12772,23415,9.7,7.1,8.4,44.2,42,43,39.9,39,39.4,433,524,955,235,489,725,1394,2692,4088,1536,2419,3957,6337,3769,10111,310,431,746,359,559,918,7007,4762,11768,19499,21746,41250,4396,5000,9394,11659,12642,24302,11230,13086,24309
SED30034,24224,23144,47366,8484,4931,13415,2645,5440,8085,938,837,1778,723,553,1270,12790,11755,24542,8928,9082,18006,5.6,4.7,5.2,52.8,50.8,51.8,49.8,48.4,49.1,365,530,893,196,489,691,1451,2581,4029,1353,2151,3505,6474,3213,9688,258,438,691,309,414,720,7039,4059,11102,21183,20933,42122,3674,3825,7500,14544,14261,28804,9039,9341,18387
