SED_CODE_2021,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
SED10034,1160,853,626,375,117,27,3904,33,282,391,338,331,240,48,4,1670,703,2771,2899,2145,1444,980,285,99,11328,361,991,1601,1829,1318,793,326,80,7297,1114,2045,2294,2436,2190,1369,752,213,12405,88,86,98,143,136,97,24,12,692,74,97,214,363,401,390,182,58,1781,1274,2234,2608,2942,2722,1856,959,282,14882,19,41,77,74,92,105,69,27,512,228,321,351,391,394,380,470,411,2937,2651,7359,9087,8573,6927,4725,2275,918,42522
SED10035,4390,1796,922,437,166,26,15412,83,828,688,399,247,163,37,3,2444,3719,14710,7241,3215,1793,924,330,77,32010,1088,3063,2273,1522,980,530,201,74,9725,843,2666,1608,1223,940,475,286,96,8134,128,153,118,135,71,52,15,0,673,105,292,233,280,291,145,65,20,1437,1077,3112,1965,1638,1298,672,367,125,10239,116,268,189,113,107,79,33,12,910,1336,2600,1291,673,600,495,357,202,7562,7789,31883,18036,9352,5954,3296,1488,511,78310
SED10036,1122,757,472,204,40,7,3558,42,186,252,194,139,109,11,5,941,1059,3033,2743,1967,1276,607,171,36,10893,448,1340,1767,1693,1178,516,169,30,7148,972,1953,2091,2146,1645,912,430,89,10236,116,111,156,152,118,59,12,7,732,79,162,268,349,318,194,81,19,1477,1168,2224,2510,2649,2085,1163,524,111,12447,36,71,102,99,100,70,24,14,511,742,934,939,682,623,554,533,468,5491,3566,8684,9441,8034,5876,3226,1480,674,40976
SED10037,2687,1976,1199,693,243,38,8064,27,211,446,576,442,318,117,14,2149,1015,3227,4473,3799,2601,1520,676,161,17478,386,798,1360,1761,1494,997,533,137,7465,715,1115,1267,1647,1486,954,561,168,7905,129,59,77,115,103,107,55,4,657,69,86,139,335,395,383,224,52,1681,913,1259,1481,2092,1982,1442,839,232,10245,18,48,89,105,103,119,73,20,581,255,293,431,422,322,417,366,217,2731,2661,7017,10984,10735,8151,5498,2849,824,48720
SED10038,1368,1139,941,622,178,18,5359,27,290,444,424,362,325,78,17,1963,898,2798,2937,2464,1587,1047,419,102,12258,347,831,1341,1534,1246,835,331,112,6578,1063,1938,2105,2242,2099,1383,734,240,11806,153,94,117,127,144,96,38,17,793,64,89,171,262,364,347,167,59,1524,1282,2127,2386,2632,2609,1828,935,314,14121,18,29,53,55,84,86,61,24,421,619,410,481,440,461,473,584,428,3898,3234,7533,9009,8699,7291,5219,2593,1024,44599
SED10039,584,491,572,521,177,28,2810,16,229,269,267,333,383,89,8,1587,393,1784,1769,1503,1495,1417,496,114,8974,245,920,1185,1304,1419,1171,472,121,6841,1242,2825,2466,2407,2482,1711,872,242,14247,146,156,124,151,156,127,48,12,924,80,137,166,258,385,405,197,74,1707,1473,3118,2761,2814,3030,2248,1116,322,16878,16,32,51,52,69,120,82,22,443,565,783,740,651,638,789,661,499,5325,2726,7297,7351,7073,7558,6644,3091,1114,42861
SED10040,2343,1138,649,288,72,17,8079,57,300,309,244,184,140,38,15,1283,1756,6102,4191,2355,1969,983,394,158,17909,1193,1666,1618,1512,1278,729,279,98,8359,661,1251,1165,1299,1175,728,378,140,6790,70,85,114,124,120,57,21,0,600,72,155,194,306,314,241,97,42,1424,797,1494,1470,1737,1608,1025,493,184,8813,62,160,121,118,117,103,49,27,762,730,1205,822,600,608,594,560,573,5695,4736,14353,10872,7710,6420,3853,1885,1064,50893
SED10041,3851,2946,1812,1032,570,155,12062,28,227,543,652,507,350,156,41,2499,1174,3609,5456,4948,3379,2194,1249,546,22564,270,601,992,1297,1227,1050,733,404,6575,337,528,538,671,697,450,309,175,3710,61,32,46,84,65,64,29,26,403,48,55,101,203,243,285,255,109,1299,445,613,685,953,1008,799,596,310,5413,24,50,118,117,102,117,121,56,705,287,352,397,379,346,380,501,585,3230,2293,7097,12037,11288,8379,5916,3929,2102,53055
SED10042,442,432,390,434,197,50,2279,26,142,197,200,283,244,107,11,1206,343,1635,1579,1255,1136,1122,483,151,7707,239,871,1096,1239,1331,1018,489,158,6436,1294,2778,2622,2691,2730,2038,969,305,15418,199,161,160,135,126,125,50,17,970,88,131,130,270,341,430,244,74,1697,1577,3071,2913,3096,3198,2588,1259,398,18092,22,33,37,60,83,96,74,22,433,434,470,505,507,600,801,859,516,4703,2660,6538,6765,6793,7019,6304,3478,1299,40855
SED10043,1577,708,387,152,40,10,5054,32,206,225,148,104,57,35,5,808,1263,4236,2882,1463,987,523,191,63,11613,568,1379,1709,1172,839,373,143,50,6237,706,1409,1389,1291,1035,563,289,99,6786,100,101,136,128,100,45,15,9,632,99,162,235,231,251,151,47,21,1200,906,1677,1763,1658,1386,753,349,123,8613,43,145,154,89,94,74,33,19,647,1133,1581,1327,965,949,716,530,327,7531,4058,11300,9645,6206,4743,2654,1318,592,40502
SED10044,3467,2257,1480,967,387,86,11215,33,397,550,537,443,283,133,27,2393,1357,6103,5907,4273,2758,1784,845,228,23258,310,1000,1467,1554,1233,863,468,171,7071,389,1016,936,944,932,617,344,160,5342,59,62,70,91,116,67,33,10,502,47,97,162,268,314,285,178,61,1405,502,1172,1167,1305,1362,967,559,229,7255,26,93,112,87,84,114,58,26,605,306,630,678,459,430,504,536,765,4307,2590,11910,13341,10471,7794,5478,2979,1533,56109
SED10045,412,451,455,397,139,11,2148,18,120,262,287,336,328,77,15,1443,177,1253,1738,1692,1553,1313,370,82,8171,167,573,873,1124,1362,1038,334,84,5541,968,1942,2120,2308,2702,1713,569,142,12460,160,172,133,173,175,131,33,7,977,92,106,145,213,342,311,125,35,1376,1215,2223,2399,2697,3221,2153,728,180,14813,15,32,30,57,85,109,56,22,395,841,718,882,1013,1205,1185,771,507,7126,2440,5181,6592,7312,8209,6524,2479,906,39645
SED10046,809,366,210,104,31,3,2714,46,163,192,125,76,31,11,4,657,1020,3076,2144,1295,901,498,142,23,9111,609,1523,1672,1387,995,402,143,29,6764,1006,2059,1991,1885,1529,676,292,71,9505,153,166,193,168,145,42,13,0,880,121,183,288,336,280,138,36,11,1391,1281,2410,2470,2387,1948,864,334,81,11777,35,88,106,106,101,58,21,5,522,1077,1377,1328,1002,1015,672,444,135,7049,4152,9748,8730,6669,5251,2636,1122,281,38593
