SED_CODE_2021,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
SED22501,6,49,0,775,3,0,0,6,4,0,0,6,4,17,130,164,6,3,0,6,0,3,0,3,4,28,26,80,1082,299,37,804,110,532,58,563,88,2386,181,6135
SED22607,0,52,0,1316,4,0,3,3,4,3,0,5,4,14,186,217,4,0,5,0,0,6,0,6,3,34,28,83,2110,388,47,1118,158,647,73,490,71,1692,240,7052
SED22704,4,37,0,477,11,0,0,3,4,14,0,12,10,40,327,422,9,4,10,10,0,3,0,8,4,93,80,232,1457,473,95,1163,153,773,112,663,128,3245,481,8749
SED22802,3,28,0,416,7,0,0,3,7,4,0,4,3,13,140,184,12,0,6,8,0,6,0,0,4,48,33,114,1378,279,39,956,119,522,72,430,105,2201,204,6302
SED22901,0,18,0,389,5,3,0,3,8,9,3,12,0,18,148,204,0,0,0,7,0,3,0,4,4,32,27,77,1136,262,32,744,101,566,50,467,75,2396,203,6031
SED23007,6,3,5,1020,3,0,4,5,7,6,6,4,6,11,203,250,3,0,0,0,0,6,0,0,3,42,63,118,2474,458,62,1212,204,762,89,391,100,1877,310,7949
SED23101,0,31,0,467,0,0,5,4,0,0,0,3,0,16,139,176,0,0,0,0,0,0,0,0,3,40,29,81,859,274,28,543,56,489,55,440,66,2988,198,5996
SED23205,3,21,0,403,4,0,0,4,10,4,4,0,0,11,127,167,0,4,4,4,0,3,0,5,0,40,42,106,1271,286,37,875,129,550,66,427,86,2118,197,6044
SED23308,5,46,0,680,6,0,3,6,0,0,0,3,5,20,162,206,6,0,0,0,3,3,0,7,0,51,29,104,1531,386,42,1134,142,583,72,540,100,2297,225,7042
SED23402,3,48,0,641,8,0,0,6,6,15,0,4,0,25,185,246,4,3,5,7,8,6,0,4,3,47,53,148,1913,323,59,1242,151,781,82,483,94,2442,280,7848
SED23502,3,47,5,324,3,3,3,8,3,11,4,9,0,42,302,389,12,7,3,7,0,8,0,6,0,110,78,232,1052,459,102,1036,108,600,94,817,133,4172,460,9023
SED23602,11,30,0,441,9,0,5,8,6,7,0,9,0,30,267,340,8,5,8,12,0,7,0,4,3,69,78,193,1040,445,79,1025,124,607,96,663,139,3173,397,7789
SED23702,3,25,3,382,8,5,0,14,6,7,5,9,5,19,186,261,11,0,4,0,5,3,7,6,3,72,56,160,1529,345,49,1130,144,630,83,550,108,2683,275,7527
SED23806,13,197,0,1782,10,0,0,9,0,8,0,4,0,13,183,220,7,3,0,3,0,0,0,3,0,17,17,57,1968,393,34,987,113,679,66,549,76,1919,218,7011
SED23901,5,81,4,1044,13,0,0,3,0,5,0,6,0,20,175,231,7,0,0,3,0,4,0,4,4,42,35,98,1720,312,48,866,145,577,57,489,80,2123,243,6676
SED24006,10,193,0,1248,0,5,0,4,0,5,0,0,0,22,165,199,0,0,0,0,0,0,3,6,5,28,26,64,1064,332,26,719,74,505,52,534,62,2170,209,5734
SED24105,0,13,3,282,3,4,3,0,3,6,0,6,9,19,134,175,3,8,4,4,0,0,3,3,0,41,53,118,1101,271,39,680,87,633,40,418,82,2363,225,5936
SED24207,0,7,0,347,3,3,6,0,8,4,7,8,5,26,177,246,11,0,7,3,0,0,0,0,0,27,71,123,1521,258,45,773,127,726,54,404,94,2275,294,6576
SED24308,4,14,0,373,7,0,3,10,4,7,4,4,9,28,168,241,6,3,0,8,5,4,0,0,3,46,61,136,1265,250,46,929,139,613,76,471,99,2424,282,6589
