SED_CODE_2021,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
SED51902,180,628,235,428,33,1631,164,143,726,477,634,65,2219,13,3,42,34,108,11,211,19,9,72,113,659,20,887,22,11,101,104,386,106,731,738,574,3169,2710,8068,603,15861
SED52006,152,581,184,329,38,1394,114,88,578,405,632,50,1858,4,8,33,29,57,10,138,6,3,36,94,339,20,503,16,4,47,67,227,87,445,483,388,2227,2026,5821,497,11437
SED52102,126,423,180,329,26,1208,143,88,722,395,565,52,1955,8,9,59,30,96,7,208,23,12,59,118,492,16,723,41,5,100,87,302,74,619,814,408,2999,2244,6359,490,13307
SED52205,352,880,227,225,39,2331,545,214,1380,388,432,77,3036,57,26,195,60,81,13,432,35,22,124,98,302,15,601,88,21,234,102,216,94,760,2496,1017,6268,2416,4502,539,17237
SED52301,158,611,207,422,35,1549,173,133,758,427,649,67,2204,3,3,20,12,37,6,80,8,8,37,79,419,15,574,9,4,34,51,206,54,351,472,432,2294,1802,6010,429,11435
SED52404,303,941,253,322,39,2143,261,160,1066,478,461,87,2510,18,13,102,44,83,7,265,22,14,108,108,384,16,656,41,13,158,101,224,62,588,1361,827,5192,2677,5498,521,16072
SED52505,277,1059,242,386,39,2427,551,250,1975,624,606,101,4112,33,8,98,46,89,9,274,58,10,135,142,405,25,774,88,19,311,187,297,102,1009,2917,956,8333,3658,6083,680,22617
SED52604,269,819,266,351,32,2054,246,137,1012,467,537,83,2476,10,6,81,30,68,15,206,25,22,109,145,410,16,730,33,13,136,94,268,64,615,1341,728,4708,2775,5670,530,15758
SED52702,256,840,253,315,37,2019,207,145,780,356,382,49,1929,11,9,77,34,58,8,199,28,24,73,100,425,15,660,28,19,111,78,240,55,527,1173,783,4099,2333,5020,441,13849
SED52803,116,432,107,251,36,1049,133,74,424,236,275,49,1182,0,0,15,24,35,9,73,6,4,24,59,433,13,539,14,5,33,41,220,79,388,613,321,2180,1437,6078,494,11129
